"","mydata[, 2]"
"2013-10-15",1099.86095527495
"2013-10-16",1102.65933219726
"2013-10-17",1088.58564336706
"2013-10-18",1086.51804634091
"2013-10-21",1096.25318267376
"2013-10-22",1097.78209856927
"2013-10-23",1112.02197309943
"2013-10-24",1113.05974582225
"2013-10-25",1105.69951852466
"2013-10-28",1106.18197931066
"2013-10-29",1100.23658878438
"2013-10-30",1101.74943387206
"2013-10-31",1093.4532631257
"2013-11-01",1092.12363650649
"2013-11-05",1097.00645129027
"2013-11-06",1089.6155061594
"2013-11-07",1097.56048452039
"2013-11-08",1089.92640608016
"2013-11-11",1094.22987773245
"2013-11-12",1093.42034569595
"2013-11-13",1092.01446027149
"2013-11-14",1092.50953424115
"2013-11-15",1093.80807324774
"2013-11-18",1094.09825037409
"2013-11-19",1096.27267650578
"2013-11-20",1098.58076584127
"2013-11-21",1101.06542959445
"2013-11-22",1104.36807049155
"2013-11-25",1114.20289672383
"2013-11-26",1112.94782574546
"2013-11-27",1109.68565307707
"2013-11-29",1105.75338964239
"2013-12-02",1105.61576791056
"2013-12-03",1111.50767657975
"2013-12-04",1111.9474009541
"2013-12-05",1113.90228176202
"2013-12-06",1112.21090570641
"2013-12-09",1117.83457329779
"2013-12-10",1116.74877188146
"2013-12-11",1122.87958455465
"2013-12-12",1121.6721836152
"2013-12-13",1120.41325152033
"2013-12-16",1116.76242199723
"2013-12-17",1116.62852539186
"2013-12-18",1118.8341715217
"2013-12-19",1115.13756562033
"2013-12-20",1118.88092236004
"2013-12-24",1114.88459123986
"2013-12-27",1117.68699429371
"2013-12-30",1118.91986178909
"2014-01-06",1116.02309838593
"2014-01-07",1115.82613572269
"2014-01-08",1123.6302714463
"2014-01-09",1129.12455458729
"2014-01-10",1125.48227538997
"2014-01-14",1114.87222326601
"2014-01-15",1115.26781153871
"2014-01-16",1124.3005049545
"2014-01-17",1123.83301293688
"2014-01-21",1122.37790337601
"2014-01-22",1123.35681330417
"2014-01-23",1123.92270154488
"2014-01-24",1124.51386809432
"2014-01-27",1118.29812354933
"2014-02-05",1110.71042317421
"2014-02-06",1119.28918865251
"2014-02-07",1123.30039751466
"2014-02-10",1132.50250842565
"2014-02-12",1130.93962237363
"2014-02-13",1128.39139914863
"2014-02-14",1132.65677922095
"2014-02-18",1132.16237414893
"2014-02-19",1128.46060894505
"2014-02-20",1131.28185705524
"2014-02-21",1135.90932972709
"2014-02-24",1130.84243734349
"2014-02-25",1134.1671275135
"2014-02-26",1131.61692531662
"2014-02-27",1135.62383362984
"2014-03-03",1137.49488973947
"2014-03-04",1134.34029241715
"2014-03-05",1134.42608915994
"2014-03-06",1143.66873390075
"2014-03-07",1142.28255459192
"2014-03-10",1140.65625905965
"2014-03-11",1145.64192761925
"2014-03-12",1141.53082483944
"2014-03-13",1147.28702084365
"2014-03-14",1144.3257033591
"2014-03-17",1152.16921377322
"2014-03-18",1155.47304129389
"2014-03-19",1158.20760324145
"2014-03-20",1155.51323572937
"2014-03-24",1150.85840538572
"2014-03-25",1140.37627133194
"2014-03-26",1139.20193900257
"2014-03-27",1128.70374373804
"2014-03-28",1129.26379542182
"2014-03-31",1123.43539282097
"2014-04-01",1126.70384006378
"2014-04-02",1130.43159245418
"2014-04-03",1138.02821156573
"2014-04-07",1133.51331282891
"2014-04-08",1126.18695466772
"2014-04-09",1134.99964349917
"2014-04-10",1152.00324242425
"2014-04-11",1152.0948170254
"2014-04-14",1140.4977263999
"2014-04-15",1143.45361394711
"2014-04-16",1149.13641286613
"2014-04-17",1148.55123886987
"2014-04-22",1148.8490966635
"2014-04-23",1152.84770219003
"2014-04-24",1153.16840427601
"2014-04-25",1151.62967250505
"2014-04-28",1149.42597717975
"2014-04-30",1140.017481033
"2014-05-02",1146.04513666723
"2014-05-07",1137.65750707548
"2014-05-08",1132.05615345164
"2014-05-09",1129.56003982935
"2014-05-12",1120.42705690217
"2014-05-13",1120.0205809366
"2014-05-14",1122.17736914047
"2014-05-15",1120.89839195712
"2014-05-16",1117.18830872805
"2014-05-19",1114.97313564854
"2014-05-20",1121.08401763814
"2014-05-21",1117.99365197412
"2014-05-22",1120.8589083022
"2014-05-23",1117.91498448693
"2014-05-27",1119.16075869854
"2014-05-28",1120.07791135066
"2014-05-29",1115.55879891371
"2014-05-30",1117.1915566321
"2014-06-03",1125.75791941057
"2014-06-05",1124.48539345281
"2014-06-09",1124.03250735423
"2014-06-10",1122.06875463075
"2014-06-11",1126.22371643955
"2014-06-12",1129.34678148196
"2014-06-13",1127.61132458392
"2014-06-16",1125.18651482154
"2014-06-17",1122.60524389359
"2014-06-18",1125.52292280716
"2014-06-19",1125.18897329758
"2014-06-20",1126.76180969344
"2014-06-23",1121.23613741259
"2014-06-24",1126.7326852547
"2014-06-25",1122.09535204312
"2014-06-26",1116.740881109
"2014-06-27",1116.72960222828
"2014-06-30",1112.48356685746
"2014-07-02",1118.19965701323
"2014-07-03",1117.28532569852
"2014-07-07",1118.04725515121
"2014-07-08",1117.52646175033
"2014-07-09",1114.86074981951
"2014-07-10",1118.7870393242
"2014-07-11",1119.75216132373
"2014-07-14",1130.53546138151
"2014-07-15",1132.8928204742
"2014-07-16",1132.29841683848
"2014-07-17",1130.73721640167
"2014-07-18",1134.86176468425
"2014-07-22",1147.415366295
"2014-07-24",1141.37636857715
"2014-07-25",1142.16362503526
"2014-07-28",1151.47782715553
"2014-07-29",1159.20247622481
"2014-07-30",1155.35114694384
"2014-07-31",1149.13493733269
"2014-08-01",1142.13011030672
"2014-08-04",1136.26781386738
"2014-08-05",1140.14501236646
"2014-08-06",1156.25226682864
"2014-08-07",1147.77573680155
"2014-08-08",1143.15314991758
"2014-08-11",1142.42706673003
"2014-08-12",1141.72403726527
"2014-08-13",1139.18885829618
"2014-08-14",1139.91507953363
"2014-08-18",1137.60691342603
"2014-08-19",1136.76172817343
"2014-08-20",1139.16957537037
"2014-08-21",1135.78484076792
"2014-08-22",1139.12545739942
"2014-08-25",1139.28000012049
"2014-08-26",1139.29949959871
"2014-08-27",1138.97219691384
"2014-08-28",1137.59165611882
"2014-08-29",1134.34278216909
"2014-09-02",1141.9495218486
"2014-09-03",1149.04181755654
"2014-09-04",1144.44453626372
"2014-09-05",1146.62882095476
"2014-09-11",1152.81251659214
"2014-09-12",1155.21405674631
"2014-09-16",1156.94363246698
"2014-09-17",1159.63256882368
"2014-09-18",1162.50240162798
"2014-09-19",1159.41717108884
"2014-09-22",1147.44551938427
"2014-09-24",1145.1686044888
"2014-09-25",1147.3425153094
"2014-09-26",1146.4733095657
"2014-09-29",1145.08112819499
"2014-09-30",1142.71658972784
"2014-10-06",1141.06135410619
"2014-10-07",1149.14949979277
"2014-10-08",1145.87747690577
"2014-10-14",1135.07265402513
"2014-10-15",1139.38179740577
"2014-10-16",1140.31389539842
"2014-10-17",1137.81236227007
"2014-10-20",1146.25171243727
"2014-10-21",1141.87695881037
"2014-10-22",1151.49775730914
"2014-10-23",1148.14244580207
"2014-10-24",1150.79570291618
"2014-10-27",1146.59922409099
"2014-10-28",1149.01593236341
"2014-10-29",1146.21830772537
"2014-10-30",1152.00921204774
"2014-10-31",1144.66609903975
"2014-11-04",1144.30718196311
"2014-11-05",1145.05694653516
"2014-11-06",1146.68416488717
"2014-11-07",1143.26367038119
"2014-11-10",1144.23963677179
"2014-11-11",1147.05072431463
"2014-11-12",1140.92982151444
"2014-11-13",1141.56971589762
"2014-11-14",1141.87483974622
"2014-11-17",1129.39441491673
"2014-11-18",1123.19786255193
"2014-11-19",1127.70026766118
"2014-11-20",1128.23523840734
"2014-11-21",1129.42589775547
"2014-11-25",1129.22517686986
"2014-11-26",1125.48025933657
"2014-11-28",1123.49584589988
"2014-12-01",1121.48408839812
"2014-12-02",1115.94652152489
"2014-12-03",1116.685584564
"2014-12-04",1118.22484998903
"2014-12-05",1115.02232583638
"2014-12-08",1116.17182763949
"2014-12-09",1109.68697673506
"2014-12-10",1117.99756270745
"2014-12-11",1115.68341049636
"2014-12-12",1121.89871457517
