Date,price1,price2
20100921,62.3511,19.0197
20100922,62.3312,18.7608
20100924,64.869,18.6384
20100927,65.2528,19.1912
20100928,65.1184,19.6061
20100929,65.4964,19.6565
20100930,64.8635,19.7284
20101001,64.1303,19.688
20101004,63.3805,19.6413
20101005,64.9469,19.5932
20101006,64.8908,20.011
20101007,64.5025,19.9875
20101008,65.8093,19.6907
20101012,64.9696,19.6498
20101013,66.1884,19.9142
20101014,65.602,20.4531
20101015,65.3291,20.4439
20101018,65.7887,20.4175
20101019,64.5283,20.4577
20101020,65.5815,20.3058
20101021,65.1876,20.315
20101022,64.5371,20.3884
20101025,65.4073,20.5756
20101026,64.7957,20.1072
20101027,64.0954,20.21
20101028,63.9484,20.2558
20101029,64.6534,20.9553
20101101,65.5193,21.0485
20101102,65.9501,21.3212
20101104,67.9736,21.7985
20101105,68.7781,22.3661
20101108,68.4165,23.3625
20101109,67.9291,23.5947
20101110,67.8197,23.0989
20101111,67.7679,23.1159
20101112,66.8599,22.7533
20101115,67.757,22.5414
20101116,66.5317,22.7089
20101117,66.8079,22.5154
20101118,68.4296,22.6572
20101119,68.8392,22.9143
20101122,68.9621,23.4184
20101124,69.5539,23.4884
20101126,69.2012,23.9904
20101129,68.6188,23.8449
20101130,69.485,23.6564
20101201,71.6805,23.5132
20101202,72.8474,24.5668
20101203,73.3661,25.1471
20101206,73.5655,24.886
20101207,75.1256,25.0746
20101208,74.0719,25.0171
20101209,73.779,25.0542
20101210,74.0872,24.7972
20101213,75.5511,24.7738
20101214,76.1597,25.295
20101215,77.134,25.0075
20101216,76.7318,24.9766
20101217,76.465,25.0965
20101220,76.7827,24.9624
20101221,77.8228,25.1257
20101222,77.8671,25.1501
20101227,77.2621,25.3345
20101228,77.1483,25.5683
20101229,77.3901,25.618
20101230,77.4158,25.5394
20110104,77.0346,26.0125
20110105,77.6823,25.8444
20110106,77.3791,26.1771
20110107,77.3587,26.4204
20110111,77.5866,26.2873
20110112,77.3938,26.4282
20110113,77.6283,26.3082
20110114,77.3005,26.0611
20110118,79.2848,25.5876
20110119,79.3973,26.3476
20110120,77.866,25.903
20110121,77.4409,24.9801
20110124,77.8265,24.3909
20110125,77.6634,24.9858
20110126,79.0116,25.0861
20110127,80.0982,24.7721
20110128,79.4322,25.8294
20110131,80.1188,25.2353
20110201,80.6247,25.8204
20110202,81.8254,26.3313
20110203,81.7429,26.4039
20110204,82.1818,26.1371
20110207,83.1036,26.2616
20110208,82.9238,26.3135
20110209,82.6564,25.8591
20110210,83.0169,25.323
20110214,85.5226,25.9018
20110215,85.0264,26.2036
20110216,85.8974,26.2113
20110217,85.5753,26.324
20110218,86.9732,26.1571
20110222,85.5541,25.6389
20110223,82.8128,25.3083
20110224,83.1913,25.1121
20110225,84.5058,25.0958
20110228,85.0561,25.3479
20110301,83.7255,26.3786
20110302,83.691,26.5299
20110303,85.8855,26.6192
20110304,85.3593,27.2075
20110307,84.8478,26.9553
20110308,85.8238,26.8815
20110309,84.9931,26.9581
20110310,82.1186,26.2358
20110311,81.9984,25.9468
20110314,84.0326,26.2377
20110315,82.8659,24.7745
20110316,83.7743,27.1406
20110317,85.0023,26.9635
20110318,87.0872,26.8922
20110322,88.3498,27.5541
20110323,88.4376,27.6091
20110324,89.5732,27.9587
20110325,90.7022,28.869
20110328,91.0465,28.9335
20110329,91.1723,28.4087
20110330,92.1336,28.8054
20110331,92.3026,29.1495
20110401,93.5678,28.6903
20110404,93.6463,28.7156
20110405,93.2145,28.2317
20110406,92.4615,27.6797
20110407,91.055,27.437
20110408,91.0424,27.5734
20110411,90.3217,28.1172
20110412,88.6545,28.1197
20110413,88.897,28.3408
20110414,88.386,28.8197
20110415,89.0755,28.635
20110418,85.6357,28.5669
20110419,87.3267,27.7443
20110420,89.8062,27.917
20110421,90.718,28.2439
20110425,90.4758,29.1564
20110426,92.7295,28.7037
20110427,92.5833,28.6252
20110428,93.2799,29.5638
20110502,95.3682,30.5184
20110506,92.6025,30.133
20110509,92.8128,29.8495
20110510,93.5961,29.9822
20110511,91.6251,29.8485
20110512,90.1407,28.9357
20110513,89.4954,28.5526
20110516,88.6147,28.0919
20110517,85.4981,27.9101
20110518,86.5274,27.749
20110519,87.9127,27.4093
20110520,87.0601,26.6383
20110523,84.4114,24.8757
20110524,84.8706,24.9507
20110525,85.5745,24.8854
20110526,86.0823,25.2525
20110527,87.2138,25.5365
20110531,87.5899,25.3041
20110601,85.4412,25.8909
20110602,85.2805,25.4123
20110603,84.2051,25.4427
20110606,83.2921,25.0115
20110607,83.715,24.9839
20110608,82.0856,24.7606
20110609,82.4426,24.3653
20110610,80.8306,24.5399
20110613,79.811,24.1537
20110614,81.0748,24.3977
20110615,80.1358,24.9883
20110616,79.5733,25.0604
20110617,79.9472,25.0024
20110620,81.0913,24.8706
20110621,84.0083,25.3383
20110622,84.3802,26.1752
20110623,81.959,25.9231
20110624,83.2545,26.1105
20110627,83.7831,25.9321
20110628,86.0074,26.1871
20110629,86.0712,26.3014
20110630,87.8835,26.2975
20110701,89.9759,26.4289
20110705,89.9758,26.6995
20110706,91.0034,26.9596
20110707,93.1803,26.8004
20110708,91.0849,27.0376
20110711,89.922,27.148
20110712,89.3844,26.5785
20110713,90.9425,26.8281
20110714,90.1844,26.935
20110715,90.1904,26.7277
20110719,91.2641,26.8435
20110720,92.1586,27.3402
20110721,93.1359,27.3441
20110722,87.6457,27.6504
20110725,88.1214,26.9651
20110726,88.0054,26.8196
20110727,85.4115,26.5598
20110728,84.1999,26.7855
20110729,82.495,26.6494
20110801,83.7668,26.8841
20110802,82.8127,26.1217
20110803,79.9463,25.3807
20110804,76.6593,24.9551
20110805,74.8461,23.5467
20110808,71.1011,23.2657
20110809,70.9533,22.4422
20110810,71.0555,23.3425
20110811,72.3479,22.423
20110812,75.1798,22.447
20110815,76.4419,22.6682
20110816,74.827,23.2291
20110817,73.8522,23.0407
20110818,69.6566,22.6022
20110819,68.503,21.8772
20110822,67.699,21.4687
20110823,67.9449,20.9057
20110824,70.292,21.4335
20110825,70.3032,21.8369
20110826,70.294,22.0197
20110829,73.2263,22.0227
20110830,74.7775,22.4471
20110831,76.8255,22.4967
20110901,75.1038,23.2885
20110902,71.4649,23.2193
20110906,70.4114,20.8986
20110907,73.242,21.1917
20110908,73.068,20.8404
20110909,70.3548,20.0322
20110912,68.901,19.2542
20110913,71.0356,19.8352
20110914,70.9231,19.5783
20110915,72.2945,19.3661
20110916,72.1065,19.8031
20110920,70.621,19.3673
20110921,67.6095,19.4833
20110922,62.2333,18.9788
20110926,62.8067,18.3503
20110927,65.9662,18.7608
