OEX Index,NKY Index,HSI Index,HSCEI Index,SHCSI100 Index,KOSPI2 Index,TAMSCI Index,E100 Index
,8031 JT Equity,,,,006260  KS Equity,,MAERSKA DC Equity
,4183 JT Equity,,,,010620  KS Equity,,RMS FP Equity
,7003 JT Equity,,,,011200  KS Equity,,EDF FP Equity
,8801 JT Equity,,,,003490  KS Equity,,VOW GY Equity
,5706 JT Equity,,,,030200 KS Equity,,UHRN SE Equity
,9104 JT Equity,,,,047040  KS Equity,,
,6767 JT Equity,,,,000080  KS Equity,,
,8411 JT Equity,,,,017670 KS Equity,,
,8725 JT Equity,,,,,,
,6701 JT Equity,,,,,,
,5333 JT Equity,,,,,,
,2282 JT Equity,,,,,,
,2871 JT Equity,,,,,,
,7731 JT Equity,,,,,,
,5214 JT Equity,,,,,,
,9062 JT Equity,,,,,,
,4272 JT Equity,,,,,,
,5703 JT Equity,,,,,,
,3863 JT Equity,,,,,,
,5202 JT Equity,,,,,,
,4041 JT Equity,,,,,,
,5401 JT Equity,,,,,,
,1332 JT Equity,,,,,,
,9432 JT Equity,,,,,,
,9101 JT Equity,,,,,,
,4021 JT Equity,,,,,,
,7201 JT Equity,,,,,,
,2002 JT Equity,,,,,,
,5413 JT Equity,,,,,,
,3105 JT Equity,,,,,,
,3110 JT Equity,,,,,,
,6988 JT Equity,,,,,,
,8604 JT Equity,,,,,,
,6471 JT Equity,,,,,,
,6472 JT Equity,,,,,,
,9613 JT Equity,,,,,,
,9437 JT Equity,,,,,,
,1802 JT Equity,,,,,,
,9007 JT Equity,,,,,,
,3861 JT Equity,,,,,,
,6703 JT Equity,,,,,,
,6103 JT Equity,,,,,,
,7733 JT Equity,,,,,,
,9532 JT Equity,,,,,,
,5541 JT Equity,,,,,,
,6752 JT Equity,,,,,,
,6773 JT Equity,,,,,,
,8308 JT Equity,,,,,,
,7752 JT Equity,,,,,,
,2501 JT Equity,,,,,,
,7735 JT Equity,,,,,,
,9735 JT Equity,,,,,,
,1928 JT Equity,,,,,,
,3382 JT Equity,,,,,,
,6753 JT Equity,,,,,,
,1803 JT Equity,,,,,,
,4063 JT Equity,,,,,,
,8303 JT Equity,,,,,,
,4507 JT Equity,,,,,,
,4911 JT Equity,,,,,,
,8355 JT Equity,,,,,,
,4004 JT Equity,,,,,,
,5002 JT Equity,,,,,,
,9412 JT Equity,,,,,,
,9984 JT Equity,,,,,,
,2768 JT Equity,,,,,,
,8630 JT Equity,,,,,,
,6758 JT Equity,,,,,,
,8729 JT Equity,,,,,,
,3436 JT Equity,,,,,,
,4005 JT Equity,,,,,,
,8053 JT Equity,,,,,,
,4506 JT Equity,,,,,,
,5802 JT Equity,,,,,,
,6302 JT Equity,,,,,,
,5713 JT Equity,,,,,,
,8316 JT Equity,,,,,,
,8309 JT Equity,,,,,,
,5232 JT Equity,,,,,,
,8830 JT Equity,,,,,,
,7269 JT Equity,,,,,,
,8795 JT Equity,,,,,,
,5233 JT Equity,,,,,,
,1801 JT Equity,,,,,,
,6976 JT Equity,,,,,,
,2531 JT Equity,,,,,,
,8233 JT Equity,,,,,,
,4502 JT Equity,,,,,,
