Date,OEX,v_rtn,v_disp,zscore_S,corr,enter_disp,exit_disp
2/14/2017,1032.130005,0.00524964,0.002936203,-1.711719031,-0.714170088,1,0
2/15/2017,1037.589966,0.005289993,0.003014439,-1.229395969,-0.749236949,1,0
2/16/2017,1037.560059,-2.88E-05,0.002998571,-1.037588045,-0.804025607,1,0
2/17/2017,1039.22998,0.001609469,0.002630024,-1.476898853,-0.842262223,1,0
2/21/2017,1045.22998,0.005773505,0.002408697,-1.630018845,-0.867755678,1,0
2/22/2017,1045.140015,-8.61E-05,0.002509677,-1.274331981,-0.870948442,1,0
2/23/2017,1047.099976,0.00187531,0.002264244,-1.467298009,-0.95937277,1,0
2/24/2017,1047.810059,0.000678143,0.002322447,-1.122872883,-0.958582866,1,0
2/27/2017,1048.339966,0.000505728,0.002432612,-0.75195098,-0.924425868,1,0
2/28/2017,1046.550049,-0.001707382,0.002488245,-0.418530221,-0.900452586,1,0
3/1/2017,1061.209961,0.014007846,0.004351361,2.731176246,0.494612734,0,1
3/2/2017,1056.119995,-0.00479638,0.004801134,2.19808829,0.697380662,0,1
3/3/2017,1056.839966,0.000681713,0.004778999,1.643775973,0.847073769,0,1
3/6/2017,1054.01001,-0.002677753,0.0049702,1.426083861,0.884401442,0,1
3/7/2017,1051.920044,-0.001982871,0.004834502,1.064311368,0.828156181,0,1
3/8/2017,1050.219971,-0.001616162,0.004879376,0.901834809,0.728403181,0,1
3/9/2017,1052.01001,0.001704442,0.004874816,0.730071991,0.652517407,0,1
3/10/2017,1055.02002,0.002861199,0.004927411,0.624406137,0.595668442,0,1
3/13/2017,1054.219971,-0.000758326,0.004946898,0.503159317,0.484013873,0,1
3/14/2017,1051.430054,-0.002646428,0.004997918,0.921704636,-0.793714384,0,1
3/15/2017,1058.609985,0.006828729,0.003192319,-2.973551189,-0.638296006,1,0
3/16/2017,1057.819946,-0.000746298,0.002824286,-2.222733306,-0.737448612,1,0
3/17/2017,1055.339966,-0.002344425,0.002913405,-1.589200457,-0.77492641,1,0
3/20/2017,1053.439941,-0.001800391,0.002848072,-1.317577247,-0.681654038,1,0
3/21/2017,1041.26001,-0.011562055,0.004480285,0.413325425,-0.470575309,0,1
3/22/2017,1042.22998,0.000931535,0.004510789,0.497306614,-0.449965155,0,1
3/23/2017,1040.469971,-0.001688695,0.004440225,0.483681753,-0.477983247,0,1
3/24/2017,1039.079956,-0.001335949,0.00424054,0.356264391,-0.578021601,0,0
3/27/2017,1038.089966,-0.000952756,0.004237483,0.469899851,-0.733331502,0,1
3/28/2017,1045.339966,0.00698398,0.004914894,1.363431893,-0.862875076,0,1
3/29/2017,1045.689941,0.000334795,0.004282989,0.419291838,-0.857412442,0,1
3/30/2017,1049.180054,0.003337617,0.004497816,0.551706416,-0.71851435,0,1
3/31/2017,1046.060059,-0.002973746,0.004523181,0.435743274,-0.514816925,0,1
4/3/2017,1045.530029,-0.000506692,0.004513284,0.263616482,0.484495057,0,0
4/4/2017,1047.209961,0.001606775,0.002735511,-2.822988237,-0.136412221,1,0
4/5/2017,1043.709961,-0.003342214,0.002970015,-1.740228818,-0.077740048,1,0
4/6/2017,1043.660034,-4.78E-05,0.002908799,-1.426622895,0.009450142,1,0
4/7/2017,1042.680054,-0.000938984,0.0028887,-1.178955538,0.169974888,1,0
4/10/2017,1042.719971,3.83E-05,0.002859151,-0.998959934,0.548303878,1,0
4/11/2017,1040.380005,-0.002244098,0.001943763,-1.639177231,0.733506373,1,0
4/12/2017,1037.829956,-0.002451075,0.002006562,-1.261157334,0.780758989,1,0
4/13/2017,1030.400024,-0.007159103,0.002314447,-0.76388921,0.592733742,1,0
4/17/2017,1039.140015,0.008482134,0.003805658,1.227154963,0.428210634,0,1
4/18/2017,1036.52002,-0.002521311,0.003845523,1.661592941,0.087189938,0,1
4/19/2017,1033.339966,-0.00306801,0.003801401,1.281502301,-0.081906194,0,1
4/20/2017,1040.459961,0.006890274,0.004443672,1.671753496,0.001937867,0,1
4/21/2017,1037.069946,-0.003258189,0.004528865,1.398958577,-0.01135928,0,1
4/24/2017,1048.530029,0.011050444,0.005717528,1.876483179,0.461032437,0,1
4/25/2017,1055.400024,0.006552025,0.005984003,1.587782932,0.704726409,0,1
4/26/2017,1054.400024,-0.000947508,0.005921098,1.276505089,0.846629274,0,1
4/27/2017,1055.27002,0.00082511,0.005790529,1.014666183,0.9397327,0,1
4/28/2017,1054.859985,-0.000388559,0.005067597,0.203462994,0.908857862,0,0
5/1/2017,1057.310059,0.002322653,0.004642764,-0.414970442,0.789296497,1,0
5/2/2017,1058.27002,0.000907928,0.004437016,-0.814471541,0.581908266,1,0
5/3/2017,1058.310059,3.78E-05,0.00416559,-1.335534854,0.177886524,1,0
5/4/2017,1058.420044,0.000103925,0.003924468,-1.477489095,-0.109309401,1,0
5/5/2017,1061.26001,0.002683213,0.003558415,-1.597493081,-0.784712871,1,0
5/8/2017,1062.689941,0.00134739,0.002045258,-2.154089763,-0.951756278,1,0
5/9/2017,1060.619995,-0.001947836,0.001353718,-1.954435255,-0.891768796,1,0
5/10/2017,1059.099976,-0.001433142,0.00141203,-1.522775592,-0.778471283,1,0
5/11/2017,1057.23999,-0.001756195,0.001548455,-1.198448947,-0.53438647,1,0
5/12/2017,1056.810059,-0.000406654,0.001549138,-0.994888966,-0.186870371,1,0
5/15/2017,1060.920044,0.003889048,0.001813849,-0.634834374,-0.113779178,1,0
5/16/2017,1060.790039,-0.00012254,0.001808064,-0.484886061,-0.047223287,1,0
5/17/2017,1040.680054,-0.018957555,0.006042308,2.43130341,-0.753946274,0,1
5/18/2017,1044.439941,0.003612913,0.006233426,1.939433732,-0.872134645,0,1
5/19/2017,1050.790039,0.006079907,0.006527338,1.641166554,-0.885814196,0,1
5/22/2017,1055.52002,0.004501357,0.006705436,1.35892905,-0.779985776,0,1
5/23/2017,1058.530029,0.002851683,0.006767138,1.124311504,-0.61222023,0,1
5/24/2017,1060.76001,0.002106677,0.006784582,0.928022542,-0.434692331,0,1
5/25/2017,1064.930054,0.003931185,0.006836629,0.7762184,-0.259062112,0,1
5/26/2017,1065.349976,0.000394319,0.00682731,0.618540926,-0.163804068,0,1
5/30/2017,1064.26001,-0.001023106,0.006765886,0.434701466,-0.000740369,0,1
5/31/2017,1062.910034,-0.001268464,0.006782391,0.592862047,0.960904141,0,1
6/1/2017,1069.73999,0.006425714,0.002572213,-2.970527049,-0.339959927,1,0
6/2/2017,1074.359985,0.004318802,0.002604105,-1.987969984,-0.693020832,1,0
6/5/2017,1074,-0.000335069,0.002513512,-1.552946412,-0.846009512,1,0
6/6/2017,1071.619995,-0.00221602,0.002697033,-1.175647818,-0.902872559,1,0
6/7/2017,1073.469971,0.001726336,0.002662315,-0.974670912,-0.934938528,1,0
6/8/2017,1073.040039,-0.000400507,0.002702283,-0.778560956,-0.948129402,1,0
6/9/2017,1071.900024,-0.001062416,0.002602742,-0.66446825,-0.942063939,1,0
6/12/2017,1070.709961,-0.001110237,0.00265645,-0.481586055,-0.929700417,1,0
6/13/2017,1074.640015,0.003670512,0.002757624,-0.239053735,-0.879573521,1,0
6/14/2017,1074,-0.000595562,0.002709859,0.883865151,0.238868892,0,1
6/15/2017,1071.660034,-0.002178739,0.002177639,-2.729249363,0.305119089,1,0
6/16/2017,1071.849976,0.000177241,0.001690869,-2.602918753,0.355823153,1,0
