X,data1,data2,rt_J,rt_N,correlation,zscoreJ,zscoreN,gc1,gc2
8/7/2012,78.6,8803.31,-0.00216285,0.008843265,0.220885186,0.430758227,0.072567787,0.245044982,0.622397685
8/8/2012,78.43,8881.16,0.001657529,0.01097154,0.2207826,-0.957573137,-0.10160727,0.235805263,0.647418022
8/9/2012,78.56,8978.6,-0.003691446,-0.009707527,0.219483338,-0.112267862,-0.110179957,0.265214995,0.66724643
8/10/2012,78.27,8891.44,0.000638814,-0.000707422,0.223015342,-1.736785102,-1.041851791,0.265502754,0.614736058
8/13/2012,78.32,8885.15,0.005362615,0.005034243,0.223276852,0.561692581,0.035978873,0.347565816,0.616552441
8/14/2012,78.74,8929.88,0.003175006,-0.000542001,0.224616916,1.461609706,0.542647775,0.329410869,0.568528601
8/15/2012,78.99,8925.04,0.004557539,0.018792073,0.223021144,0.890474794,-0.341391252,0.325845959,0.498277749
8/16/2012,79.35,9092.76,0.002646503,0.007669838,0.218867992,0.479400332,1.604155469,0.312095235,0.535137536
8/17/2012,79.56,9162.5,-0.001633987,0.000945157,0.218807325,0.736763556,0.530948643,0.086466599,0.535487569
8/20/2012,79.43,9171.16,-0.001762558,-0.001552693,0.218391399,-0.658684088,1.181332911,0.114887303,0.115514748
8/21/2012,79.29,9156.92,-0.008954471,-0.002749833,0.223858681,0.676522507,-1.048325425,0.217272374,0.151630839
8/22/2012,78.58,9131.74,-0.00114533,0.005078988,0.21176765,-0.439279796,0.087946656,0.361912729,0.20138192
8/23/2012,78.49,9178.12,0.002293286,-0.011697385,0.201457487,0.823001851,-0.770399888,0.365712875,0.156621329
8/24/2012,78.67,9070.76,0.000889793,0.001612875,0.192648798,0.075010605,0.861511819,0.367244523,0.160308614
8/27/2012,78.74,9085.39,-0.002921006,-0.005734481,0.194556691,-0.230403567,0.047751151,0.362105212,0.163427863
8/28/2012,78.51,9033.29,0.002420074,0.004042824,0.194907328,-0.218877509,-1.121822576,0.364099201,0.157916055
8/29/2012,78.7,9069.81,-0.000889454,-0.009485314,0.19738744,0.73652425,-0.650879562,0.358683271,0.166270063
8/30/2012,78.63,8983.78,-0.00305227,-0.016014417,0.196906604,0.124362252,-0.065553402,0.333338149,0.169840243
8/31/2012,78.39,8839.91,-0.001658375,-0.006337169,0.19684221,1.805428672,1.427845375,0.319662014,0.175799152
9/3/2012,78.26,8783.89,0.002044467,-0.000954019,0.196071619,-0.368717989,-0.513940955,0.334048277,0.162736212
9/4/2012,78.42,8775.51,-0.000382555,-0.01090421,0.195565588,0.921067156,0.190938414,0.271339225,0.162516912
9/5/2012,78.39,8679.82,0.005995663,8.64E-05,0.181862184,-0.102542744,1.083964753,0.333517234,0.184944481
9/6/2012,78.86,8680.57,-0.007735227,0.022012379,0.184812673,-0.907486221,-0.497115285,0.31693645,0.147149542
9/7/2012,78.25,8871.65,0.000511182,-0.000256998,0.189678971,0.35562389,-1.122051947,0.294421124,0.175150384
9/10/2012,78.29,8869.37,-0.006641972,-0.006989222,0.193891197,0.294732515,-0.263044223,0.288302771,0.178496854
9/11/2012,77.77,8807.38,0.001028674,0.017324108,0.18679307,0.957476,0.27039452,0.299014893,0.19271555
9/12/2012,77.85,8959.96,-0.00475273,0.003927473,0.20230574,-0.400671373,0.613070534,0.344856924,0.194412656
9/13/2012,77.48,8995.15,0.011744966,0.018258728,0.199571757,-0.451179417,-1.217448029,0.276679313,0.247550653
9/14/2012,78.39,9159.39,0.005357826,-0.003888905,0.195727936,0.209021965,-0.047392646,0.248308328,0.254070251
9/18/2012,78.81,9123.77,-0.00545616,0.011885438,0.197047855,-1.665368001,-0.407302553,0.226951521,0.208595571
9/19/2012,78.38,9232.21,-0.00178617,-0.015730795,0.194613497,2.038737333,-0.354955422,0.233032462,0.180019252
9/20/2012,78.24,9086.98,-0.000894683,0.002533295,0.194707077,-0.896458961,0.912202846,0.134222149,0.148680268
