,1099 HK Equity,,1066 HK Equity,,874 HK Equity,,460 HK Equity,,867 HK Equity,,1666 HK Equity,,2877 HK Equity,,853 HK Equity,,325 HK Equity,,8058 HK Equity,,8231 HK Equity,,963 HK Equity
5/30/2012,2.3131,1/5/2011,1.3,1/5/2011,1.7939,7/9/2013,0.6137,6/6/2013,0.91087,1/5/2011,1.0509,1/5/2011,2.9598,6/4/2013,0.768,3/4/2013,0.96181,1/5/2011,1.2727,1/5/2011,0.22134,6/8/2011,0.26987
5/31/2012,2.265,1/6/2011,1.3,1/6/2011,1.73161,,,6/7/2013,0.90434,1/6/2011,1.0485,1/6/2011,2.99752,6/5/2013,0.7576,3/5/2013,0.96185,1/6/2011,1.2672,1/6/2011,0.22256,6/9/2011,0.2698
6/1/2012,2.2214,1/7/2011,1.29,1/7/2011,1.64698,,,6/10/2013,0.9325,1/7/2011,1.0444,1/7/2011,3.16529,6/6/2013,0.7473,3/6/2013,0.96186,1/7/2011,1.2481,1/7/2011,0.2226,6/10/2011,0.26978
6/4/2012,2.1885,1/10/2011,1.29,1/10/2011,1.61494,,,6/11/2013,0.93372,1/10/2011,1.0501,1/10/2011,3.02158,6/7/2013,0.7459,3/7/2013,0.96179,1/10/2011,1.2472,1/10/2011,0.22244,6/13/2011,0.26973
6/5/2012,2.191,1/11/2011,1.27,1/11/2011,1.65668,,,6/13/2013,0.92352,1/11/2011,1.0376,1/11/2011,2.95192,6/10/2013,0.7522,3/8/2013,0.96176,1/11/2011,1.2129,1/11/2011,0.2148,6/14/2011,0.26978
6/6/2012,2.2634,1/12/2011,1.24,1/12/2011,1.71593,,,6/14/2013,0.95868,1/12/2011,0.9947,1/12/2011,3.02282,6/11/2013,0.7521,3/11/2013,0.96167,1/12/2011,1.2169,1/12/2011,0.21224,6/15/2011,0.26959
6/7/2012,2.3253,1/13/2011,1.23,1/13/2011,1.6517,,,6/17/2013,0.94847,1/13/2011,1.0077,1/13/2011,2.93293,6/13/2013,0.7303,3/12/2013,0.96175,1/13/2011,1.2092,1/13/2011,0.20582,6/16/2011,0.26931
6/8/2012,2.284,1/14/2011,1.21,1/14/2011,1.6079,,,6/18/2013,0.96793,1/14/2011,0.9969,1/14/2011,2.87493,6/14/2013,0.7267,3/13/2013,0.96149,1/14/2011,1.1860,1/14/2011,0.2071,6/17/2011,0.2695
6/11/2012,2.3247,1/17/2011,1.21,1/17/2011,1.61014,,,6/19/2013,0.96175,1/17/2011,0.9645,1/17/2011,2.8229,6/17/2013,0.75,3/14/2013,0.96156,1/17/2011,1.1703,1/17/2011,0.20963,6/20/2011,0.26949
6/12/2012,2.3223,1/18/2011,1.22,1/18/2011,1.64318,,,6/20/2013,0.95826,1/18/2011,0.9686,1/18/2011,2.74506,6/18/2013,0.7849,3/15/2013,0.96125,1/18/2011,1.1597,1/18/2011,0.20958,6/21/2011,0.26959
6/13/2012,2.3924,1/19/2011,1.2,1/19/2011,1.63283,,,6/21/2013,0.94351,1/19/2011,0.9707,1/19/2011,2.7321,6/19/2013,0.7826,3/18/2013,0.96113,1/19/2011,1.1648,1/19/2011,0.20957,6/22/2011,0.26965
6/14/2012,2.4489,1/20/2011,1.15,1/20/2011,1.58014,,,6/24/2013,0.88939,1/20/2011,0.9549,1/20/2011,2.71065,6/20/2013,0.7829,3/19/2013,0.96114,1/20/2011,1.1434,1/20/2011,0.2094,6/23/2011,0.26956
6/15/2012,2.5547,1/21/2011,1.13,1/21/2011,1.53536,,,6/25/2013,0.88943,1/21/2011,0.9564,1/21/2011,2.65094,6/21/2013,0.7824,3/20/2013,0.96108,1/21/2011,1.0475,1/21/2011,0.21567,6/24/2011,0.26966
6/18/2012,2.7258,1/24/2011,1.11,1/24/2011,1.49554,,,6/26/2013,0.8931,1/24/2011,0.9256,1/24/2011,2.59732,6/24/2013,0.7824,3/21/2013,0.96101,1/24/2011,1.1146,1/24/2011,0.21163,6/27/2011,0.26965
6/19/2012,2.7517,1/25/2011,1.11,1/25/2011,1.49907,,,6/27/2013,0.91003,1/25/2011,0.9241,1/25/2011,2.66958,6/25/2013,0.7824,3/22/2013,0.96092,1/25/2011,1.1564,1/25/2011,0.21177,6/28/2011,0.26972
6/20/2012,2.668,1/26/2011,1.16,1/26/2011,1.48978,,,6/28/2013,0.8922,1/26/2011,0.9375,1/26/2011,2.62637,6/26/2013,0.7977,3/25/2013,0.96117,1/26/2011,1.1430,1/26/2011,0.21191,6/29/2011,0.2698
6/21/2012,2.6161,1/27/2011,1.21,1/27/2011,1.53317,,,7/2/2013,0.88991,1/27/2011,0.9416,1/27/2011,2.69653,6/27/2013,0.8366,3/26/2013,0.96133,1/27/2011,1.1313,1/27/2011,0.2093,6/30/2011,0.26988
6/22/2012,2.5358,1/28/2011,1.26,1/28/2011,1.51416,,,7/3/2013,0.88728,1/28/2011,0.9367,1/28/2011,2.61128,6/28/2013,0.8445,3/27/2013,0.96096,1/28/2011,1.1087,1/28/2011,0.20916,7/4/2011,0.26993
6/25/2012,2.5746,1/31/2011,1.3,1/31/2011,1.47806,,,7/4/2013,0.87312,1/31/2011,0.9174,1/31/2011,2.52245,7/2/2013,0.8486,3/28/2013,0.96098,1/31/2011,1.1316,1/31/2011,0.19374,7/5/2011,0.26992
6/26/2012,2.584,2/1/2011,1.25,2/1/2011,1.4553,,,7/5/2013,0.8369,2/1/2011,0.9326,2/1/2011,2.5795,7/3/2013,0.8164,4/2/2013,0.96103,2/1/2011,1.1422,2/1/2011,0.20533,7/6/2011,0.26984
6/27/2012,2.6809,2/2/2011,1.25,2/2/2011,1.51272,,,7/8/2013,0.82644,2/2/2011,0.9374,2/2/2011,2.65175,7/4/2013,0.8099,4/3/2013,0.96112,2/2/2011,1.1763,2/2/2011,0.20546,7/7/2011,0.26979
6/28/2012,2.5905,2/7/2011,1.19,2/7/2011,1.49549,,,7/9/2013,0.80703,2/7/2011,0.9293,2/7/2011,2.62096,7/5/2013,0.7853,4/5/2013,0.96066,2/7/2011,1.1563,2/7/2011,0.2197,7/8/2011,0.26983
