,1099 HK Equity,,1066 HK Equity,,874 HK Equity,,460 HK Equity,,867 HK Equity,,1666 HK Equity,,2877 HK Equity,,853 HK Equity,,325 HK Equity,,8058 HK Equity,,8231 HK Equity,,963 HK Equity
8/23/2010,3.82,4/6/2009,0.45,4/6/2009,0.35869,9/26/2011,0.3372,8/25/2011,0.49938,4/6/2009,0.3824,4/6/2009,0.58062,8/23/2011,0.4361,5/26/2011,0.40202,4/6/2009,0.2774,4/6/2009,0.06193,9/2/2009,0.16385
8/24/2010,3.7676,4/7/2009,0.46,4/7/2009,0.39354,9/27/2011,0.3553,8/26/2011,0.49467,4/7/2009,0.3871,4/7/2009,0.57934,8/24/2011,0.4349,5/27/2011,0.4098,4/7/2009,0.3045,4/7/2009,0.05935,9/3/2009,0.16385
8/25/2010,3.7546,4/8/2009,0.45,4/8/2009,0.37547,9/28/2011,0.3836,8/29/2011,0.47897,4/8/2009,0.3699,4/8/2009,0.57676,8/25/2011,0.4643,5/30/2011,0.41006,4/8/2009,0.3097,4/8/2009,0.05806,9/4/2009,0.16515
8/26/2010,3.8311,4/9/2009,0.46,4/9/2009,0.38192,9/30/2011,0.3712,8/30/2011,0.47287,4/9/2009,0.3746,4/9/2009,0.59353,8/26/2011,0.4913,5/31/2011,0.40373,4/9/2009,0.3071,4/9/2009,0.06451,9/7/2009,0.16644
8/27/2010,3.7988,4/14/2009,0.49,4/14/2009,0.39225,10/3/2011,0.3429,8/31/2011,0.49657,4/14/2009,0.3776,4/14/2009,0.6516,8/29/2011,0.5106,6/1/2011,0.41143,4/14/2009,0.3213,4/14/2009,0.06839,9/8/2009,0.16774
8/30/2010,3.8886,4/15/2009,0.47,4/15/2009,0.38838,10/4/2011,0.3276,9/1/2011,0.49952,4/15/2009,0.3837,4/15/2009,0.66966,8/30/2011,0.494,6/2/2011,0.40874,4/15/2009,0.3200,4/15/2009,0.07226,9/9/2009,0.16773
8/31/2010,3.8117,4/16/2009,0.48,4/16/2009,0.37934,10/6/2011,0.3405,9/2/2011,0.49644,4/16/2009,0.3828,4/16/2009,0.6632,8/31/2011,0.4983,6/3/2011,0.39859,4/16/2009,0.3200,4/16/2009,0.0658,9/10/2009,0.16773
9/1/2010,3.8911,4/17/2009,0.47,4/17/2009,0.37677,10/7/2011,0.356,9/5/2011,0.48468,4/17/2009,0.3828,4/17/2009,0.65806,9/1/2011,0.5011,6/7/2011,0.39847,4/17/2009,0.3187,4/17/2009,0.07226,9/11/2009,0.16774
9/2/2010,3.906,4/20/2009,0.48,4/20/2009,0.38451,10/10/2011,0.3521,9/6/2011,0.48527,4/20/2009,0.3789,4/20/2009,0.6516,9/2/2011,0.4866,6/8/2011,0.39195,4/20/2009,0.3174,4/20/2009,0.07097,9/14/2009,0.16774
9/3/2010,3.9247,4/21/2009,0.47,4/21/2009,0.37419,10/11/2011,0.3689,9/7/2011,0.48721,4/21/2009,0.3720,4/21/2009,0.65031,9/5/2011,0.4659,6/9/2011,0.37516,4/21/2009,0.3071,4/21/2009,0.07097,9/15/2009,0.16774
9/6/2010,4.0371,4/22/2009,0.47,4/22/2009,0.35354,10/12/2011,0.3857,9/8/2011,0.4921,4/22/2009,0.3742,4/22/2009,0.63096,9/6/2011,0.462,6/10/2011,0.3854,4/22/2009,0.3058,4/22/2009,0.06452,9/16/2009,0.17548
9/7/2010,4.0487,4/23/2009,0.51,4/23/2009,0.36258,10/13/2011,0.4037,9/9/2011,0.48928,4/23/2009,0.3742,4/23/2009,0.59741,9/7/2011,0.4619,6/13/2011,0.38533,4/23/2009,0.3097,4/23/2009,0.06452,9/17/2009,0.17806
9/8/2010,3.9507,4/24/2009,0.5,4/24/2009,0.36645,10/14/2011,0.3947,9/12/2011,0.47857,4/24/2009,0.3768,4/24/2009,0.59741,9/8/2011,0.4633,6/14/2011,0.38412,4/24/2009,0.2968,4/24/2009,0.07484,9/18/2009,0.21934
9/9/2010,3.9901,4/27/2009,0.47,4/27/2009,0.41548,10/17/2011,0.4153,9/14/2011,0.46472,4/27/2009,0.3914,4/27/2009,0.60644,9/9/2011,0.4645,6/15/2011,0.39154,4/27/2009,0.3226,4/27/2009,0.06452,9/21/2009,0.21934
9/10/2010,4.0167,4/28/2009,0.47,4/28/2009,0.39866,10/18/2011,0.3818,9/15/2011,0.47923,4/28/2009,0.3742,4/28/2009,0.58832,9/12/2011,0.4564,6/16/2011,0.38857,4/28/2009,0.3225,4/28/2009,0.06451,9/22/2009,0.21935
9/13/2010,4.1071,4/29/2009,0.47,4/29/2009,0.38322,10/19/2011,0.3845,9/16/2011,0.48669,4/29/2009,0.3733,4/29/2009,0.59869,9/14/2011,0.46,6/17/2011,0.37217,4/29/2009,0.3200,4/29/2009,0.06839,9/23/2009,0.21934
9/14/2010,3.9661,4/30/2009,0.47,4/30/2009,0.39741,10/20/2011,0.3818,9/19/2011,0.48235,4/30/2009,0.3910,4/30/2009,0.61161,9/15/2011,0.4557,6/20/2011,0.37216,4/30/2009,0.3161,4/30/2009,0.06839,9/24/2009,0.21935
9/15/2010,3.9334,5/4/2009,0.48,5/4/2009,0.39483,10/21/2011,0.3855,9/20/2011,0.4766,5/4/2009,0.4000,5/4/2009,0.62838,9/16/2011,0.4953,6/21/2011,0.36459,5/4/2009,0.3213,5/4/2009,0.07484,9/25/2009,0.21935
9/16/2010,3.9849,5/5/2009,0.48,5/5/2009,0.39999,10/24/2011,0.4076,9/21/2011,0.48188,5/5/2009,0.3974,5/5/2009,0.63741,9/19/2011,0.4965,6/22/2011,0.3621,5/5/2009,0.3265,5/5/2009,0.07097,9/28/2009,0.22063
9/17/2010,4.0956,5/6/2009,0.48,5/6/2009,0.40645,10/25/2011,0.4013,9/22/2011,0.45894,5/6/2009,0.4052,5/6/2009,0.65419,9/20/2011,0.4929,6/23/2011,0.37097,5/6/2009,0.3265,5/6/2009,0.07226,9/29/2009,0.22064
9/20/2010,4.0762,5/7/2009,0.5,5/7/2009,0.40258,10/26/2011,0.4142,9/23/2011,0.45889,5/7/2009,0.3987,5/7/2009,0.67741,9/21/2011,0.4994,6/24/2011,0.36211,5/7/2009,0.3303,5/7/2009,0.06839,9/30/2009,0.21677
9/21/2010,4.1099,5/8/2009,0.52,5/8/2009,0.42064,10/27/2011,0.4299,9/26/2011,0.4376,5/8/2009,0.4254,5/8/2009,0.68257,9/22/2011,0.4884,6/27/2011,0.36596,5/8/2009,0.3316,5/8/2009,0.06839,10/2/2009,0.21677
9/22/2010,4.0669,5/11/2009,0.54,5/11/2009,0.41032,10/28/2011,0.4225,9/27/2011,0.43695,5/11/2009,0.4301,5/11/2009,0.69547,9/23/2011,0.4871,6/28/2011,0.3866,5/11/2009,0.3548,5/11/2009,0.07226,10/5/2009,0.21676
9/24/2010,4.0672,5/12/2009,0.53,5/12/2009,0.3987,10/31/2011,0.4299,9/28/2011,0.44308,5/12/2009,0.4301,5/12/2009,0.71612,9/26/2011,0.4885,6/29/2011,0.39314,5/12/2009,0.3923,5/12/2009,0.07226,10/6/2009,0.21677
9/27/2010,4.0667,5/13/2009,0.52,5/13/2009,0.39999,11/1/2011,0.4169,9/30/2011,0.44354,5/13/2009,0.4421,5/13/2009,0.71225,9/27/2011,0.522,6/30/2011,0.39839,5/13/2009,0.4039,5/13/2009,0.07226,10/7/2009,0.21935
9/28/2010,4.0863,5/14/2009,0.56,5/14/2009,0.39869,11/2/2011,0.4349,10/3/2011,0.43231,5/14/2009,0.4353,5/14/2009,0.7032,9/28/2011,0.5261,7/4/2011,0.39462,5/14/2009,0.4103,5/14/2009,0.07355,10/8/2009,0.21935
9/29/2010,4.1315,5/15/2009,0.58,5/15/2009,0.39606,11/3/2011,0.4261,10/4/2011,0.40421,5/15/2009,0.4464,5/15/2009,0.72891,9/30/2011,0.5266,7/5/2011,0.39589,5/15/2009,0.4103,5/15/2009,0.07096,10/9/2009,0.21935
9/30/2010,4.1303,5/18/2009,0.6,5/18/2009,0.4063,11/4/2011,0.4364,10/6/2011,0.41636,5/18/2009,0.4515,5/18/2009,0.75328,10/3/2011,0.5162,7/6/2011,0.39962,5/18/2009,0.4140,5/18/2009,0.07094,10/12/2009,0.21935
10/4/2010,4.17,5/19/2009,0.58,5/19/2009,0.41538,11/7/2011,0.4222,10/7/2011,0.42837,5/19/2009,0.4653,5/19/2009,0.82301,10/4/2011,0.5357,7/7/2011,0.40854,5/19/2009,0.4193,5/19/2009,0.07224,10/13/2009,0.23226
10/5/2010,4.1516,5/20/2009,0.6,5/20/2009,0.43473,11/8/2011,0.4067,10/10/2011,0.44724,5/20/2009,0.4756,5/20/2009,0.85785,10/6/2011,0.5526,7/8/2011,0.40602,5/20/2009,0.4270,5/20/2009,0.07353,10/14/2009,0.23226
10/6/2010,4.1778,5/21/2009,0.6,5/21/2009,0.42827,11/9/2011,0.4092,10/11/2011,0.46353,5/21/2009,0.4962,5/21/2009,0.87072,10/7/2011,0.559,7/11/2011,0.41085,5/21/2009,0.4489,5/21/2009,0.07869,10/15/2009,0.23225
10/7/2010,4.1719,5/22/2009,0.64,5/22/2009,0.41666,11/10/2011,0.3843,10/12/2011,0.46792,5/22/2009,0.4807,5/22/2009,0.84234,10/10/2011,0.5655,7/12/2011,0.40925,5/22/2009,0.4386,5/22/2009,0.08127,10/16/2009,0.21934
10/8/2010,4.1377,5/25/2009,0.67,5/25/2009,0.40766,11/11/2011,0.3921,10/13/2011,0.46286,5/25/2009,0.4748,5/25/2009,0.83855,10/11/2011,0.5861,7/13/2011,0.41085,5/25/2009,0.4451,5/25/2009,0.08127,10/19/2009,0.21935
10/11/2010,4.086,5/26/2009,0.64,5/26/2009,0.40504,11/14/2011,0.3958,10/14/2011,0.4543,5/26/2009,0.4850,5/26/2009,0.80233,10/12/2011,0.5926,7/14/2011,0.40705,5/26/2009,0.4412,5/26/2009,0.07869,10/20/2009,0.22967
10/12/2010,4.0596,5/27/2009,0.65,5/27/2009,0.41665,11/15/2011,0.3906,10/17/2011,0.44139,5/27/2009,0.5151,5/27/2009,0.83329,10/13/2011,0.6043,7/15/2011,0.40799,5/27/2009,0.4424,5/27/2009,0.07998,10/21/2009,0.22967
10/13/2010,4.0399,5/29/2009,0.6,5/29/2009,0.41021,11/16/2011,0.3894,10/18/2011,0.43627,5/29/2009,0.5160,5/29/2009,0.79977,10/14/2011,0.603,7/18/2011,0.41042,5/29/2009,0.4450,5/29/2009,0.07224,10/22/2009,0.22064
10/14/2010,4.0798,6/1/2009,0.57,6/1/2009,0.42443,11/17/2011,0.3904,10/19/2011,0.44664,6/1/2009,0.5083,6/1/2009,0.83468,10/17/2011,0.6158,7/19/2011,0.40408,6/1/2009,0.4515,6/1/2009,0.07998,10/23/2009,0.22065
10/15/2010,4.0993,6/2/2009,0.6,6/2/2009,0.42316,11/18/2011,0.38,10/20/2011,0.4456,6/2/2009,0.4989,6/2/2009,0.87728,10/18/2011,0.5991,7/20/2011,0.40424,6/2/2009,0.4425,6/2/2009,0.07741,10/27/2009,0.22064
10/18/2010,3.9962,6/3/2009,0.6,6/3/2009,0.43085,11/21/2011,0.3736,10/21/2011,0.43692,6/3/2009,0.4902,6/3/2009,0.90943,10/19/2011,0.6031,7/21/2011,0.41071,6/3/2009,0.4296,6/3/2009,0.07998,10/28/2009,0.23225
10/19/2010,4.0078,6/4/2009,0.57,6/4/2009,0.4309,11/22/2011,0.3722,10/24/2011,0.44142,6/4/2009,0.4782,6/4/2009,0.90952,10/20/2011,0.5592,7/22/2011,0.41076,6/4/2009,0.4309,6/4/2009,0.07741,10/29/2009,0.22709
10/20/2010,3.9616,6/5/2009,0.55,6/5/2009,0.43736,11/23/2011,0.358,10/25/2011,0.44506,6/5/2009,0.4808,6/5/2009,0.91859,10/21/2011,0.5731,7/25/2011,0.40681,6/5/2009,0.4258,6/5/2009,0.0787,10/30/2009,0.22709
10/21/2010,4.0117,6/8/2009,0.54,6/8/2009,0.46961,11/24/2011,0.3643,10/26/2011,0.44424,6/8/2009,0.4928,6/8/2009,0.90439,10/24/2011,0.5888,7/26/2011,0.40692,6/8/2009,0.4283,6/8/2009,0.07741,11/2/2009,0.23225
10/22/2010,3.9414,6/9/2009,0.53,6/9/2009,0.46574,11/25/2011,0.345,10/27/2011,0.45301,6/9/2009,0.4774,6/9/2009,0.91213,10/25/2011,0.5788,7/27/2011,0.40432,6/9/2009,0.4077,6/9/2009,0.08128,11/3/2009,0.23225
10/25/2010,3.938,6/10/2009,0.58,6/10/2009,0.46956,11/28/2011,0.3579,10/28/2011,0.48172,6/10/2009,0.4902,6/10/2009,0.92105,10/26/2011,0.5699,7/28/2011,0.40039,6/10/2009,0.4193,6/10/2009,0.07998,11/4/2009,0.22709
10/26/2010,3.9503,6/11/2009,0.63,6/11/2009,0.51219,11/29/2011,0.3671,10/31/2011,0.4943,6/11/2009,0.4946,6/11/2009,0.93536,10/27/2011,0.5804,7/29/2011,0.38618,6/11/2009,0.4206,6/11/2009,0.07741,11/5/2009,0.23226
10/27/2010,3.9502,6/12/2009,0.64,6/12/2009,0.52257,11/30/2011,0.3642,11/1/2011,0.46495,6/12/2009,0.4860,6/12/2009,0.89031,10/28/2011,0.5693,8/1/2011,0.39536,6/12/2009,0.4194,6/12/2009,0.07742,11/6/2009,0.23484
10/28/2010,3.9452,6/15/2009,0.61,6/15/2009,0.49415,12/1/2011,0.3694,11/2/2011,0.46323,6/15/2009,0.4739,6/15/2009,0.90185,10/31/2011,0.5702,8/2/2011,0.39516,6/15/2009,0.4129,6/15/2009,0.07741,11/9/2009,0.23484
10/29/2010,3.9284,6/16/2009,0.61,6/16/2009,0.48516,12/2/2011,0.3759,11/3/2011,0.472,6/16/2009,0.4611,6/16/2009,0.88257,11/1/2011,0.5752,8/3/2011,0.38078,6/16/2009,0.4103,6/16/2009,0.07742,11/10/2009,0.23484
11/1/2010,3.9152,6/17/2009,0.63,6/17/2009,0.47353,12/5/2011,0.3745,11/4/2011,0.46862,6/17/2009,0.4559,6/17/2009,0.90319,11/2/2011,0.5726,8/4/2011,0.3948,6/17/2009,0.4155,6/17/2009,0.07871,11/11/2009,0.23484
11/2/2010,3.8897,6/18/2009,0.6,6/18/2009,0.49675,12/6/2011,0.3628,11/7/2011,0.48312,6/18/2009,0.4602,6/18/2009,0.88254,11/3/2011,0.5741,8/5/2011,0.38428,6/18/2009,0.4064,6/18/2009,0.07871,11/12/2009,0.23226
11/3/2010,3.9801,6/19/2009,0.64,6/19/2009,0.5187,12/7/2011,0.3705,11/8/2011,0.4711,6/19/2009,0.4654,6/19/2009,0.87999,11/4/2011,0.5768,8/8/2011,0.35356,6/19/2009,0.4065,6/19/2009,0.07871,11/13/2009,0.23355
11/4/2010,3.96,6/22/2009,0.64,6/22/2009,0.49546,12/8/2011,0.3691,11/9/2011,0.46238,6/22/2009,0.4654,6/22/2009,0.90318,11/7/2011,0.5805,8/9/2011,0.33423,6/22/2009,0.4116,6/22/2009,0.08129,11/16/2009,0.23355
11/5/2010,3.9094,6/23/2009,0.63,6/23/2009,0.47225,12/9/2011,0.3598,11/10/2011,0.45585,6/23/2009,0.4568,6/23/2009,0.89289,11/8/2011,0.5831,8/10/2011,0.35868,6/23/2009,0.3935,6/23/2009,0.08129,11/17/2009,0.23354
11/8/2010,3.9416,6/24/2009,0.64,6/24/2009,0.4929,12/12/2011,0.3546,11/11/2011,0.45683,6/24/2009,0.4697,6/24/2009,0.88257,11/9/2011,0.5765,8/11/2011,0.35674,6/24/2009,0.4000,6/24/2009,0.08,11/18/2009,0.25161
11/9/2010,3.9477,6/25/2009,0.64,6/25/2009,0.48644,12/13/2011,0.3536,11/14/2011,0.46176,6/25/2009,0.4593,6/25/2009,0.92901,11/10/2011,0.5758,8/12/2011,0.35672,6/25/2009,0.4000,6/25/2009,0.08,11/19/2009,0.29161
11/10/2010,3.8962,6/26/2009,0.66,6/26/2009,0.49418,12/14/2011,0.3507,11/15/2011,0.4643,6/26/2009,0.4731,6/26/2009,1.01933,11/11/2011,0.5914,8/15/2011,0.38495,6/26/2009,0.3935,6/26/2009,0.08129,11/20/2009,0.29161
11/11/2010,3.8771,6/29/2009,0.65,6/29/2009,0.5329,12/15/2011,0.3431,11/16/2011,0.46088,6/29/2009,0.4800,6/29/2009,1.01419,11/14/2011,0.6143,8/16/2011,0.38765,6/29/2009,0.3845,6/29/2009,0.08,11/23/2009,0.28387
11/12/2010,3.7735,6/30/2009,0.64,6/30/2009,0.53806,12/16/2011,0.352,11/17/2011,0.46234,6/30/2009,0.4731,6/30/2009,1.01031,11/15/2011,0.6194,8/17/2011,0.38385,6/30/2009,0.3948,6/30/2009,0.08,11/24/2009,0.29032
11/15/2010,3.715,7/2/2009,0.68,7/2/2009,0.50967,12/19/2011,0.3661,11/18/2011,0.45535,7/2/2009,0.4860,7/2/2009,0.99354,11/16/2011,0.586,8/18/2011,0.38483,7/2/2009,0.3961,7/2/2009,0.07742,11/25/2009,0.29032
11/16/2010,3.6815,7/3/2009,0.66,7/3/2009,0.51096,12/20/2011,0.3662,11/21/2011,0.45358,7/3/2009,0.4903,7/3/2009,0.99354,11/17/2011,0.5574,8/19/2011,0.37069,7/3/2009,0.3948,7/3/2009,0.07742,11/26/2009,0.29032
11/17/2010,3.6224,7/6/2009,0.65,7/6/2009,0.51612,12/21/2011,0.3611,11/22/2011,0.45347,7/6/2009,0.4903,7/6/2009,0.97934,11/18/2011,0.5418,8/22/2011,0.37183,7/6/2009,0.3871,7/6/2009,0.07742,11/27/2009,0.2774
11/18/2010,3.6823,7/7/2009,0.65,7/7/2009,0.50322,12/22/2011,0.3585,11/23/2011,0.44394,7/7/2009,0.4731,7/7/2009,0.97418,11/21/2011,0.5469,8/23/2011,0.38093,7/7/2009,0.3819,7/7/2009,0.08129,11/30/2009,0.26451
11/19/2010,3.7852,7/8/2009,0.61,7/8/2009,0.49029,12/23/2011,0.3639,11/24/2011,0.45153,7/8/2009,0.4731,7/8/2009,0.94446,11/22/2011,0.5352,8/24/2011,0.34894,7/8/2009,0.3858,7/8/2009,0.08387,12/1/2009,0.26451
11/22/2010,3.8104,7/9/2009,0.61,7/9/2009,0.49674,12/28/2011,0.3627,11/25/2011,0.4532,7/9/2009,0.4757,7/9/2009,0.94833,11/23/2011,0.5209,8/25/2011,0.36171,7/9/2009,0.3806,7/9/2009,0.08129,12/2/2009,0.26451
11/23/2010,3.6927,7/10/2009,0.61,7/10/2009,0.49673,12/29/2011,0.3538,11/28/2011,0.45668,7/10/2009,0.4757,7/10/2009,0.94443,11/24/2011,0.549,8/26/2011,0.3669,7/10/2009,0.3832,7/10/2009,0.08128,12/3/2009,0.28387
11/24/2010,3.667,7/13/2009,0.61,7/13/2009,0.48513,12/30/2011,0.3541,11/29/2011,0.47069,7/13/2009,0.4636,7/13/2009,0.93155,11/25/2011,0.5002,8/29/2011,0.37206,7/13/2009,0.3845,7/13/2009,0.07999,12/4/2009,0.28387
11/25/2010,3.6858,7/14/2009,0.6,7/14/2009,0.4903,1/3/2012,0.3579,11/30/2011,0.47448,7/14/2009,0.4679,7/14/2009,0.93545,11/28/2011,0.5157,8/30/2011,0.38108,7/14/2009,0.3793,7/14/2009,0.08,12/7/2009,0.29676
11/26/2010,3.5996,7/15/2009,0.62,7/15/2009,0.49677,1/4/2012,0.3592,12/1/2011,0.47881,7/15/2009,0.4645,7/15/2009,0.96773,11/29/2011,0.5379,8/31/2011,0.37885,7/15/2009,0.3806,7/15/2009,0.08516,12/8/2009,0.29676
11/29/2010,3.6763,7/16/2009,0.63,7/16/2009,0.49418,1/5/2012,0.3593,12/2/2011,0.48064,7/16/2009,0.4731,7/16/2009,0.99223,11/30/2011,0.5315,9/1/2011,0.37259,7/16/2009,0.3806,7/16/2009,0.08387,12/9/2009,0.29676
11/30/2010,3.6571,7/17/2009,0.61,7/17/2009,0.51483,1/6/2012,0.3516,12/5/2011,0.48136,7/17/2009,0.4731,7/17/2009,0.99999,12/1/2011,0.547,9/2/2011,0.36463,7/17/2009,0.3871,7/17/2009,0.08903,12/10/2009,0.3032
12/1/2010,3.6509,7/20/2009,0.63,7/20/2009,0.51096,1/9/2012,0.3451,12/6/2011,0.47261,7/20/2009,0.4843,7/20/2009,1.01289,12/2/2011,0.551,9/5/2011,0.36325,7/20/2009,0.4039,7/20/2009,0.08387,12/11/2009,0.30966
12/2/2010,3.6504,7/21/2009,0.62,7/21/2009,0.50064,1/10/2012,0.3503,12/7/2011,0.47261,7/21/2009,0.4903,7/21/2009,1.02321,12/5/2011,0.5328,9/6/2011,0.35292,7/21/2009,0.4116,7/21/2009,0.08129,12/14/2009,0.32639
12/3/2010,3.6398,7/22/2009,0.61,7/22/2009,0.50322,1/11/2012,0.3541,12/8/2011,0.47411,7/22/2009,0.4938,7/22/2009,1.02579,12/6/2011,0.5262,9/7/2011,0.36566,7/22/2009,0.4258,7/22/2009,0.08516,12/15/2009,0.34565
12/6/2010,3.5435,7/23/2009,0.63,7/23/2009,0.50838,1/12/2012,0.3502,12/9/2011,0.46258,7/23/2009,0.4938,7/23/2009,1.02579,12/7/2011,0.5275,9/8/2011,0.35932,7/23/2009,0.4232,7/23/2009,0.08387,12/16/2009,0.35084
12/7/2010,3.4911,7/24/2009,0.64,7/24/2009,0.51483,1/13/2012,0.3592,12/12/2011,0.46255,7/24/2009,0.4946,7/24/2009,1.0116,12/8/2011,0.5247,9/9/2011,0.36825,7/24/2009,0.4323,7/24/2009,0.08516,12/17/2009,0.3623
12/8/2010,3.4629,7/27/2009,0.65,7/27/2009,0.52515,1/16/2012,0.3476,12/13/2011,0.45854,7/27/2009,0.4920,7/27/2009,1.0116,12/9/2011,0.5153,9/12/2011,0.34611,7/27/2009,0.4439,7/27/2009,0.08258,12/18/2009,0.39961
12/9/2010,3.4153,7/28/2009,0.64,7/28/2009,0.52257,1/17/2012,0.3567,12/14/2011,0.45045,7/28/2009,0.4946,7/28/2009,1.00515,12/12/2011,0.5229,9/14/2011,0.35366,7/28/2009,0.4387,7/28/2009,0.08258,12/21/2009,0.37391
12/10/2010,3.4216,7/29/2009,0.62,7/29/2009,0.50064,1/18/2012,0.3556,12/15/2011,0.44037,7/29/2009,0.4774,7/29/2009,0.99999,12/13/2011,0.5181,9/15/2011,0.34787,7/29/2009,0.4297,7/29/2009,0.08387,12/22/2009,0.3998
12/13/2010,3.3746,7/30/2009,0.61,7/30/2009,0.49935,1/19/2012,0.3724,12/16/2011,0.44022,7/30/2009,0.4817,7/30/2009,0.99483,12/14/2011,0.5151,9/16/2011,0.35925,7/30/2009,0.4310,7/30/2009,0.08387,12/23/2009,0.39981
12/14/2010,3.3449,7/31/2009,0.65,7/31/2009,0.51483,1/20/2012,0.3673,12/19/2011,0.4119,7/31/2009,0.4852,7/31/2009,0.97418,12/15/2011,0.5141,9/19/2011,0.34765,7/31/2009,0.4361,7/31/2009,0.08387,12/24/2009,0.39965
12/15/2010,3.2733,8/3/2009,0.65,8/3/2009,0.53419,1/26/2012,0.3674,12/20/2011,0.44287,8/3/2009,0.4972,8/3/2009,0.96773,12/16/2011,0.5075,9/20/2011,0.33114,8/3/2009,0.4452,8/3/2009,0.08,12/28/2009,0.3997
12/16/2010,3.3172,8/4/2009,0.66,8/4/2009,0.54838,1/27/2012,0.3675,12/21/2011,0.43864,8/4/2009,0.4955,8/4/2009,0.97289,12/19/2011,0.51,9/21/2011,0.33381,8/4/2009,0.4710,8/4/2009,0.08774,12/29/2009,0.42423
12/17/2010,3.4332,8/5/2009,0.64,8/5/2009,0.53289,1/30/2012,0.3572,12/22/2011,0.42149,8/5/2009,0.4938,8/5/2009,0.97546,12/20/2011,0.5243,9/22/2011,0.29613,8/5/2009,0.5071,8/5/2009,0.08387,12/30/2009,0.42426
12/20/2010,3.4466,8/6/2009,0.63,8/6/2009,0.529,1/31/2012,0.3623,12/23/2011,0.44579,8/6/2009,0.4937,8/6/2009,0.97027,12/21/2011,0.5179,9/23/2011,0.29482,8/6/2009,0.5135,8/6/2009,0.08387,12/31/2009,0.42433
12/21/2010,3.5117,8/7/2009,0.61,8/7/2009,0.52253,2/1/2012,0.3572,12/28/2011,0.43724,8/7/2009,0.4886,8/7/2009,0.95475,12/22/2011,0.5127,9/26/2011,0.26153,8/7/2009,0.4851,8/7/2009,0.08386,1/4/2010,0.39843
12/22/2010,3.5157,8/10/2009,0.61,8/10/2009,0.51868,2/2/2012,0.3649,12/29/2011,0.434,8/10/2009,0.4808,8/10/2009,0.95221,12/23/2011,0.5079,9/27/2011,0.27063,8/10/2009,0.4839,8/10/2009,0.08645,1/5/2010,0.38675
12/23/2010,3.5042,8/11/2009,0.59,8/11/2009,0.5135,2/3/2012,0.4024,12/30/2011,0.44464,8/11/2009,0.4903,8/11/2009,0.95604,12/28/2011,0.499,9/28/2011,0.27072,8/11/2009,0.4903,8/11/2009,0.08644,1/6/2010,0.38686
12/24/2010,3.4444,8/12/2009,0.61,8/12/2009,0.4993,2/6/2012,0.3972,1/3/2012,0.44027,8/12/2009,0.4817,8/12/2009,0.95473,12/29/2011,0.485,9/30/2011,0.26972,8/12/2009,0.4903,8/12/2009,0.08773,1/7/2010,0.41266
12/28/2010,3.4124,8/13/2009,0.62,8/13/2009,0.50317,2/7/2012,0.3973,1/4/2012,0.43599,8/13/2009,0.4817,8/13/2009,0.96119,12/30/2011,0.4931,10/3/2011,0.25425,8/13/2009,0.5096,8/13/2009,0.08902,1/8/2010,0.41262
12/29/2010,3.437,8/14/2009,0.65,8/14/2009,0.49157,2/8/2012,0.4101,1/5/2012,0.41983,8/14/2009,0.4662,8/14/2009,0.96767,1/3/2012,0.5034,10/4/2011,0.24664,8/14/2009,0.5135,8/14/2009,0.08903,1/11/2010,0.41004
12/30/2010,3.5083,8/17/2009,0.67,8/17/2009,0.46704,2/9/2012,0.4203,1/6/2012,0.42839,8/17/2009,0.4473,8/17/2009,0.91086,1/4/2012,0.4944,10/6/2011,0.25444,8/17/2009,0.5070,8/17/2009,0.08902,1/12/2010,0.41262
12/31/2010,3.4865,8/18/2009,0.66,8/18/2009,0.45796,2/10/2012,0.4023,1/9/2012,0.42577,8/18/2009,0.4464,8/18/2009,0.90303,1/5/2012,0.4868,10/7/2011,0.25445,8/18/2009,0.5018,8/18/2009,0.08901,1/13/2010,0.41255
1/3/2011,3.5721,8/19/2009,0.69,8/19/2009,0.49666,2/13/2012,0.4037,1/10/2012,0.42752,8/19/2009,0.4601,8/19/2009,0.94172,1/6/2012,0.4623,10/10/2011,0.25446,8/19/2009,0.4902,8/19/2009,0.08901,1/14/2010,0.41249
1/4/2011,3.6167,8/20/2009,0.67,8/20/2009,0.49926,2/14/2012,0.3921,1/11/2012,0.42319,8/20/2009,0.4636,8/20/2009,0.95596,1/9/2012,0.4571,10/11/2011,0.25447,8/20/2009,0.4967,8/20/2009,0.0916,1/15/2010,0.41236
1/5/2011,3.6032,8/21/2009,0.68,8/21/2009,0.48893,2/15/2012,0.396,1/12/2012,0.42744,8/21/2009,0.4593,8/21/2009,0.95851,1/10/2012,0.4765,10/12/2011,0.24424,8/21/2009,0.5109,8/21/2009,0.08385,1/18/2010,0.39932
1/6/2011,3.615,8/24/2009,0.66,8/24/2009,0.48901,2/16/2012,0.3934,1/13/2012,0.44034,8/24/2009,0.4679,8/24/2009,0.96641,1/11/2012,0.4738,10/13/2011,0.24943,8/24/2009,0.5226,8/24/2009,0.09806,1/19/2010,0.3929
1/7/2011,3.6542,8/25/2009,0.68,8/25/2009,0.49932,2/17/2012,0.3921,1/16/2012,0.44198,8/25/2009,0.4619,8/25/2009,0.96768,1/12/2012,0.4648,10/14/2011,0.25844,8/25/2009,0.5316,8/25/2009,0.08258,1/20/2010,0.39261
