Date,USGG10YR Index,,USGGBE10 Index,,USGG5YR Index,,USGGBE05 Index,Date,GJGB10 Index,Date,GJGB2 Index,,GJGB5 Index,,JYGGBE05 Index,Date,M2% YOY Index,Date,JMNSM2Y Index,,USDJPY Curncy
1/30/1998,-4.13,8/31/2001,-11.00,1/30/1998,-5.81,1/31/2005,-0.01,1/30/1998,3.35,1/30/1998,21.57,1/30/1998,11.07,6/29/2012,-15.77,1/31/1998,3.57,1/31/1998,18.42,1/30/1998,-2.71
2/27/1998,2.13,9/28/2001,-5.58,2/27/1998,3.83,2/28/2005,9.92,2/27/1998,-5.49,2/27/1998,-14.85,2/27/1998,-7.81,7/31/2012,-8.42,2/28/1998,8.62,2/28/1998,11.11,2/27/1998,-0.75
3/31/1998,0.57,10/31/2001,-14.17,3/31/1998,0.59,3/31/2005,2.74,3/31/1998,-1.06,3/31/1998,-3.24,3/31/1998,-4.52,8/31/2012,-1.50,3/31/1998,4.76,3/31/1998,-10.00,3/31/1998,5.53
4/30/1998,0.30,11/30/2001,8.00,4/30/1998,0.32,4/29/2005,-4.61,4/30/1998,-8.00,4/30/1998,-15.31,4/30/1998,-10.30,9/28/2012,26.48,4/30/1998,3.03,4/30/1998,-20.00,4/30/1998,-0.15
5/29/1998,-2.10,12/31/2001,12.23,5/29/1998,-1.54,5/31/2005,-9.87,5/29/1998,-15.59,5/29/1998,-18.64,5/29/1998,-16.67,10/31/2012,11.60,5/31/1998,2.94,5/31/1998,8.33,5/29/1998,4.46
6/30/1998,-1.91,1/31/2002,6.25,6/30/1998,-1.48,6/30/2005,-6.20,6/30/1998,10.92,6/30/1998,29.63,6/30/1998,14.24,11/30/2012,8.50,6/30/1998,2.86,6/30/1998,-12.82,6/30/1998,-0.01
7/31/1998,0.88,2/28/2002,3.28,7/31/1998,0.62,7/29/2005,2.23,7/31/1998,-4.02,7/31/1998,-9.82,7/31/1998,-6.23,12/31/2012,3.11,7/31/1998,-1.39,7/31/1998,2.94,7/31/1998,4.24
8/31/1998,-9.43,3/29/2002,26.07,8/31/1998,-12.80,8/31/2005,4.15,8/31/1998,-16.13,8/31/1998,-20.40,8/31/1998,-18.67,1/31/2013,16.16,8/31/1998,-2.82,8/31/1998,8.57,8/31/1998,-3.71
9/30/1998,-11.17,4/30/2002,-5.11,9/30/1998,-12.11,9/30/2005,11.48,9/30/1998,-39.85,9/30/1998,-11.69,9/30/1998,-20.23,2/28/2013,33.64,9/30/1998,7.25,9/30/1998,0.00,9/30/1998,-2.04
10/30/1998,4.19,5/31/2002,0.62,10/30/1998,0.36,10/31/2005,-3.19,10/30/1998,8.57,10/30/1998,-17.75,10/30/1998,-4.07,3/29/2013,6.92,10/31/1998,6.76,10/31/1998,2.63,10/30/1998,-15.01
11/30/1998,2.37,6/28/2002,-13.03,11/30/1998,5.93,11/30/2005,-12.13,11/30/1998,45.47,11/30/1998,4.79,11/30/1998,21.53,4/30/2013,14.32,11/30/1998,3.80,11/30/1998,10.26,11/30/1998,6.00
12/31/1998,-1.40,7/31/2002,-1.26,12/31/1998,1.29,12/30/2005,-2.83,12/31/1998,79.60,12/31/1998,151.63,12/31/1998,100.84,5/31/2013,2.10,12/31/1998,3.66,12/31/1998,-9.30,12/31/1998,-7.60
1/29/1999,0.06,8/30/2002,1.39,1/29/1999,0.18,1/31/2006,12.89,1/29/1999,-6.67,1/29/1999,-18.83,1/29/1999,-5.63,6/28/2013,-32.57,1/31/1999,-1.18,1/31/1999,-7.69,1/29/1999,2.40
2/26/1999,13.67,9/30/2002,-18.16,2/26/1999,14.80,2/28/2006,5.01,2/26/1999,-2.66,2/26/1999,-49.60,2/26/1999,-15.97,,,2/28/1999,-2.38,2/28/1999,-5.56,2/26/1999,2.47
3/31/1999,-0.85,10/31/2002,5.75,3/31/1999,-2.28,3/31/2006,-4.42,3/31/1999,-12.46,3/31/1999,-12.70,3/31/1999,-24.78,,,3/31/1999,-6.10,3/31/1999,8.82,3/31/1999,-0.25
4/30/1999,2.02,11/29/2002,10.55,4/30/1999,2.18,4/28/2006,3.95,4/30/1999,-18.42,4/30/1999,-47.27,4/30/1999,-25.49,,,4/30/1999,0.00,4/30/1999,5.41,4/30/1999,0.49
5/31/1999,5.12,12/31/2002,-5.96,5/31/1999,7.12,5/31/2006,0.45,5/31/1999,3.96,5/31/1999,-27.59,5/31/1999,-10.16,,,5/31/1999,0.00,5/31/1999,5.13,5/31/1999,1.94
6/30/1999,2.81,1/31/2003,16.65,6/30/1999,1.11,6/30/2006,-2.38,6/30/1999,25.00,6/30/1999,328.57,6/30/1999,90.43,,,6/30/1999,-1.30,6/30/1999,4.88,6/30/1999,-0.57
7/30/1999,2.13,2/28/2003,8.53,7/30/1999,2.57,7/31/2006,-4.02,7/30/1999,-5.03,7/30/1999,-14.44,7/30/1999,-9.13,,,7/31/1999,2.63,7/31/1999,-6.98,7/30/1999,-5.43
8/31/1999,1.14,3/31/2003,-6.54,8/31/1999,1.28,8/31/2006,-4.68,8/31/1999,8.95,8/31/1999,-22.08,8/31/1999,9.05,,,8/31/1999,-1.28,8/31/1999,-12.50,8/31/1999,-4.19
9/30/1999,-1.56,4/30/2003,-5.64,9/30/1999,-1.89,9/29/2006,-7.44,9/30/1999,-10.59,9/30/1999,-10.00,9/30/1999,-18.43,,,9/30/1999,-9.09,9/30/1999,-5.71,9/30/1999,-2.98
10/29/1999,2.50,5/30/2003,-3.22,10/29/1999,3.34,10/31/2006,-7.41,10/29/1999,5.14,10/29/1999,-11.11,10/29/1999,3.39,,,10/31/1999,-7.14,10/31/1999,9.09,10/29/1999,-2.22
11/30/1999,2.77,6/30/2003,3.54,11/30/1999,2.81,11/30/2006,7.03,11/30/1999,1.15,11/30/1999,52.08,11/30/1999,10.93,,,11/30/1999,-6.15,11/30/1999,-19.44,11/30/1999,-1.86
12/31/1999,4.05,7/31/2003,16.07,12/31/1999,3.78,12/29/2006,1.09,12/31/1999,-8.97,12/31/1999,-24.66,12/31/1999,-7.88,,,12/31/1999,-3.28,12/31/1999,-10.34,12/31/1999,0.34
1/31/2000,3.46,8/29/2003,7.81,1/31/2000,5.34,1/31/2007,6.68,1/31/2000,3.58,1/31/2000,23.64,1/31/2000,2.14,,,1/31/2000,1.69,1/31/2000,0.00,1/31/2000,4.69
2/29/2000,-3.84,9/30/2003,-8.20,2/29/2000,-1.32,2/28/2007,0.70,2/29/2000,6.74,2/29/2000,11.76,2/29/2000,19.37,,,2/29/2000,-3.33,2/29/2000,-19.23,2/29/2000,2.80
3/31/2000,-6.32,10/31/2003,19.50,3/31/2000,-4.26,3/30/2007,4.86,3/31/2000,-3.83,3/31/2000,22.37,3/31/2000,0.44,,,3/31/2000,6.90,3/31/2000,-9.52,3/31/2000,-6.84
4/28/2000,3.46,11/28/2003,-3.12,4/28/2000,3.55,4/30/2007,-2.13,4/28/2000,-0.95,4/28/2000,-19.35,4/28/2000,-5.68,,,4/30/2000,8.06,4/30/2000,52.63,4/28/2000,5.25
5/31/2000,0.97,12/31/2003,-0.95,5/31/2000,-0.29,5/31/2007,-5.43,5/31/2000,-5.61,5/31/2000,6.67,5/31/2000,-4.63,,,5/31/2000,-8.96,5/31/2000,-24.14,5/31/2000,-0.48
6/30/2000,-3.84,1/30/2004,1.89,6/30/2000,-5.12,6/29/2007,-2.79,6/30/2000,5.77,6/30/2000,30.00,6/30/2000,7.77,,,6/30/2000,-3.28,6/30/2000,-13.64,6/30/2000,-1.43
7/31/2000,0.00,2/27/2004,2.35,7/31/2000,-0.63,7/31/2007,-7.16,7/31/2000,-4.43,7/31/2000,-23.08,7/31/2000,-8.11,,,7/31/2000,-5.08,7/31/2000,5.26,7/31/2000,3.12
8/31/2000,-5.07,3/31/2004,-0.56,8/31/2000,-2.81,8/31/2007,-8.95,8/31/2000,12.12,8/31/2000,60.00,8/31/2000,23.04,,,8/31/2000,5.36,8/31/2000,-10.00,8/31/2000,-2.52
9/29/2000,1.34,4/30/2004,1.98,9/29/2000,-2.04,9/28/2007,7.39,9/29/2000,-2.12,9/29/2000,-4.69,9/29/2000,-6.77,,,9/30/2000,5.08,9/30/2000,11.11,9/29/2000,1.38
10/31/2000,-0.88,5/31/2004,10.32,10/31/2000,-0.75,10/31/2007,7.09,10/31/2000,-1.84,10/31/2000,-18.03,10/31/2000,-8.55,,,10/31/2000,0.00,10/31/2000,5.00,10/31/2000,0.65
11/30/2000,-4.92,6/30/2004,-5.03,11/30/2000,-6.54,11/30/2007,1.80,11/30/2000,-10.54,11/30/2000,-4.00,11/30/2000,-12.15,,,11/30/2000,-6.45,11/30/2000,-9.52,11/30/2000,1.41
12/29/2000,-6.51,7/30/2004,-2.87,12/29/2000,-8.31,12/31/2007,1.02,12/29/2000,1.48,12/29/2000,-2.08,12/29/2000,2.13,,,12/31/2000,5.17,12/31/2000,5.26,12/29/2000,3.65
1/31/2001,0.04,8/31/2004,-4.61,1/31/2001,-4.18,1/31/2008,-8.39,1/31/2001,-8.99,1/31/2001,-23.40,1/31/2001,-16.15,,,1/31/2001,9.84,1/31/2001,10.00,1/31/2001,1.89
2/28/2001,-4.26,9/30/2004,0.70,2/28/2001,-2.35,2/29/2008,11.23,2/28/2001,-9.88,2/28/2001,-37.50,2/28/2001,-21.74,,,2/28/2001,5.97,2/28/2001,18.18,2/28/2001,0.69
3/30/2001,0.43,10/29/2004,2.29,3/30/2001,-2.13,3/31/2008,-7.60,3/30/2001,-5.33,3/30/2001,-39.56,3/30/2001,-13.81,,,3/31/2001,8.45,3/31/2001,-3.85,3/30/2001,7.64
4/30/2001,8.56,11/30/2004,8.05,4/30/2001,7.22,4/30/2008,3.67,4/30/2001,4.77,4/30/2001,-23.53,4/30/2001,-4.42,,,4/30/2001,0.00,4/30/2001,-8.00,4/30/2001,-2.26
5/31/2001,0.81,12/31/2004,-1.24,5/31/2001,0.57,5/30/2008,10.45,5/31/2001,-7.02,5/31/2001,-42.31,5/31/2001,-25.05,,,5/31/2001,3.90,5/31/2001,13.04,5/31/2001,-3.44
6/29/2001,0.58,1/31/2005,-3.80,6/29/2001,0.73,6/30/2008,7.77,6/29/2001,-4.10,6/29/2001,-1.67,6/29/2001,-6.17,,,6/30/2001,5.00,6/30/2001,11.54,6/29/2001,4.55
7/31/2001,-6.61,2/28/2005,7.34,7/31/2001,-8.57,7/31/2008,-19.79,7/31/2001,12.14,7/31/2001,55.93,7/31/2001,12.60,,,7/31/2001,3.57,7/31/2001,3.45,7/31/2001,0.28
8/31/2001,-4.39,3/31/2005,1.35,8/31/2001,-3.23,8/29/2008,-14.14,8/31/2001,2.99,8/31/2001,-5.43,8/31/2001,13.14,,,8/31/2001,-1.15,8/31/2001,-3.33,8/31/2001,-4.97
9/28/2001,-5.05,4/29/2005,-3.97,9/28/2001,-13.15,9/30/2008,-46.26,9/28/2001,2.61,9/28/2001,0.00,9/28/2001,9.46,,,9/30/2001,17.44,9/30/2001,10.34,9/28/2001,0.65
