,489 HK,,7201 JP,,7203 JP,,7267 JP,,7269 JP,,7270 JP,,MSIL IN,,TTMT IN,,6902 JP,,7202 jp,,5108 jp,,volvb ss,,bmw gr,,000270 KS,,dai gr,,f,,005380 KS
8/23/2010,-0.3559,8/24/2010,-2.7481,8/24/2010,-0.8319,8/24/2010,0,8/24/2010,-2.1965,8/24/2010,-3.3473,8/23/2010,0.4356,8/23/2010,0,8/24/2010,-0.9758,8/24/2010,2.1429,8/24/2010,-1.5666,8/23/2010,-2.8169,8/23/2010,-0.143,8/23/2010,-3.9557,8/23/2010,-0.1785,8/23/2010,-1.3594,8/23/2010,-4.3011
8/24/2010,1.0714,8/25/2010,-1.5699,8/25/2010,-2.349,8/25/2010,-3.1016,8/25/2010,-0.6862,8/25/2010,0,8/24/2010,-0.9678,8/24/2010,-0.3546,8/25/2010,-2.8278,8/25/2010,-0.6993,8/25/2010,-1.7905,8/24/2010,-0.8454,8/24/2010,-1.5748,8/24/2010,-0.3295,8/24/2010,-1.4432,8/24/2010,-3.1654,8/24/2010,1.4981
8/25/2010,-3.8869,8/26/2010,0.638,8/26/2010,0.6186,8/26/2010,1.766,8/26/2010,2.8894,8/26/2010,1.5152,8/25/2010,-1.0543,8/25/2010,-1.9224,8/26/2010,0.7055,8/26/2010,-2.4648,8/26/2010,-0.135,8/25/2010,1.6443,8/25/2010,0.5091,8/25/2010,0.1653,8/25/2010,-0.4665,8/25/2010,0.6893,8/25/2010,-0.738
8/26/2010,3.125,8/27/2010,3.1696,8/27/2010,0.444,8/27/2010,1.6269,8/27/2010,3.0525,8/27/2010,2.3454,8/26/2010,0.586,8/26/2010,0.514,8/27/2010,2.3643,8/27/2010,3.6101,8/27/2010,2.2989,8/26/2010,2.0371,8/26/2010,0.6995,8/26/2010,0.8251,8/26/2010,-0.9894,8/26/2010,-1.3251,8/26/2010,1.1152
8/27/2010,1.426,8/30/2010,0.4608,8/30/2010,-0.374,8/30/2010,1.5653,8/30/2010,0.5332,8/30/2010,0,8/27/2010,-0.6926,8/27/2010,-0.6617,8/30/2010,0.5133,8/30/2010,0.6969,8/30/2010,0.2644,8/27/2010,1.1157,8/27/2010,0.1437,8/27/2010,0.982,8/27/2010,0.9993,8/27/2010,3.4915,8/27/2010,1.4706
8/30/2010,5.2724,8/31/2010,-1.8349,8/31/2010,-2.3891,8/31/2010,-2.662,8/31/2010,-1.8268,8/31/2010,-1.6667,8/30/2010,1.3662,8/30/2010,-0.0959,8/31/2010,-3.0638,8/31/2010,-3.4602,8/31/2010,-3.8893,8/30/2010,-1.6841,8/30/2010,-1.5786,8/30/2010,1.2966,8/30/2010,-1.0545,8/30/2010,-1.8166,8/30/2010,2.1739
8/31/2010,0.8347,9/1/2010,0.4673,9/1/2010,-0.1049,9/1/2010,1.0076,9/1/2010,1.5006,9/1/2010,-2.7542,8/31/2010,1.793,8/31/2010,2.071,9/1/2010,-0.3073,9/1/2010,2.1505,9/1/2010,1.3717,8/31/2010,1.2404,8/31/2010,0.8748,8/31/2010,-1.44,8/31/2010,0.9605,8/31/2010,-0.5727,8/31/2010,0.3546
9/1/2010,2.9801,9/2/2010,2.9457,9/2/2010,-0.245,9/2/2010,1.8525,9/2/2010,1.4784,9/2/2010,3.268,9/1/2010,1.2127,9/1/2010,0.0396,9/2/2010,3.0383,9/2/2010,1.0526,9/2/2010,1.6915,9/1/2010,3.3256,9/1/2010,3.2643,9/1/2010,3.5714,9/1/2010,4.9133,9/1/2010,2.8799,9/1/2010,1.7668
9/2/2010,2.09,9/3/2010,0.4518,9/3/2010,2.0702,9/3/2010,-1.2242,9/3/2010,2.0979,9/3/2010,1.4768,9/2/2010,0.3103,9/2/2010,0.6134,9/3/2010,-0.8974,9/3/2010,0.3472,9/3/2010,-0.9315,9/2/2010,0.2823,9/2/2010,2.018,9/2/2010,-0.627,9/2/2010,1.5404,9/2/2010,0.8613,9/2/2010,-0.6944
9/3/2010,3.622,9/6/2010,2.099,9/6/2010,1.5813,9/6/2010,1.0977,9/6/2010,1.5411,9/6/2010,2.2869,9/3/2010,-0.3603,9/3/2010,-0.3147,9/6/2010,3.2342,9/6/2010,1.3841,9/6/2010,3.4251,9/3/2010,1.1261,9/3/2010,1.0633,9/3/2010,0.7886,9/3/2010,1.9941,9/3/2010,3.0743,9/3/2010,2.7972
