,489 HK,,7201 JP,,7203 JP,,7267 JP,,7269 JP,,7270 JP,,MSIL IN,,TTMT IN,,6902 JP,,7202 jp,,5108 jp,,volvb ss,,bmw gr,,000270 KS,,dai gr,,f,,005380 KS
12/9/2011,-1.9048,12/20/2011,1.0264,12/20/2011,-0.4423,12/20/2011,1.0236,12/20/2011,0.3209,12/20/2011,1.7897,12/12/2011,-2.7998,12/12/2011,-3.0874,12/20/2011,0.3937,12/20/2011,1.1527,12/20/2011,0.8304,11/30/2011,6.3274,11/24/2011,1.6008,12/9/2011,-2.1038,11/24/2011,1.5678,12/2/2011,2.9273,12/9/2011,-3.139
12/12/2011,0.1618,12/21/2011,1.3062,12/21/2011,1.4136,12/21/2011,2.4229,12/21/2011,0.8957,12/21/2011,2.6374,12/13/2011,-0.1774,12/13/2011,0.874,12/21/2011,1.0294,12/21/2011,1.1396,12/21/2011,0.9412,12/1/2011,-0.9702,11/25/2011,0.2194,12/12/2011,-1.2894,11/25/2011,-0.0336,12/5/2011,1.9266,12/12/2011,1.3889
12/13/2011,-2.4233,12/22/2011,-0.8596,12/22/2011,-0.5974,12/22/2011,0,12/22/2011,0.2536,12/22/2011,-1.4989,12/14/2011,-0.9252,12/14/2011,-1.0061,12/22/2011,0.7763,12/22/2011,-0.8451,12/22/2011,-0.9324,12/2/2011,1.8289,11/28/2011,5.5323,12/13/2011,-2.7576,11/28/2011,8.3753,12/6/2011,-0.5401,12/13/2011,-3.8813
12/14/2011,-1.8212,12/26/2011,0.578,12/26/2011,0.641,12/26/2011,1.2473,12/26/2011,1.7078,12/26/2011,1.5217,12/15/2011,-1.6831,12/15/2011,-2.5127,12/26/2011,1.637,12/26/2011,0.2841,12/26/2011,0.8824,12/5/2011,0.7056,11/29/2011,-0.5091,12/14/2011,-1.3433,11/29/2011,-1.6261,12/7/2011,0.2715,12/14/2011,-0.7126
12/15/2011,0,12/27/2011,-1.7241,12/27/2011,-0.2389,12/27/2011,-0.5947,12/27/2011,0.1866,12/27/2011,-0.6424,12/16/2011,-0.0161,12/16/2011,-0.1448,12/27/2011,-0.4263,12/27/2011,-0.8499,12/27/2011,-0.1749,12/6/2011,-2.5478,11/30/2011,5.9136,12/15/2011,-1.9667,11/30/2011,5.5416,12/8/2011,-2.9783,12/15/2011,-2.6316
12/16/2011,4.5531,12/28/2011,0.2924,12/28/2011,0.838,12/28/2011,0.1282,12/28/2011,-1.3656,12/28/2011,-1.0776,12/19/2011,-1.5995,12/19/2011,4.2923,12/28/2011,-0.7136,12/28/2011,2,12/28/2011,0.4673,12/7/2011,-1.0458,12/1/2011,-1.2169,12/16/2011,2.3148,12/1/2011,0,12/9/2011,2.6047,12/16/2011,2.457
12/19/2011,-0.4839,12/29/2011,0.8746,12/29/2011,0.1187,12/29/2011,-0.8109,12/29/2011,-0.1888,12/29/2011,-0.6536,12/20/2011,-0.0545,12/20/2011,-2.7253,12/29/2011,0.4312,12/29/2011,0.8403,12/29/2011,1.1047,12/8/2011,-3.8309,12/2/2011,1.1594,12/19/2011,-1.9608,12/2/2011,1.0292,12/12/2011,-1.6319,12/19/2011,-1.199
12/20/2011,1.7828,12/30/2011,0,12/30/2011,1.3834,12/30/2011,1.0327,12/30/2011,0.3783,12/30/2011,1.9737,12/21/2011,4.9937,12/21/2011,1.2007,12/30/2011,1.4313,12/30/2011,-1.1111,12/30/2011,0.345,12/9/2011,1.0989,12/5/2011,0.4226,12/20/2011,3.6923,12/5/2011,2.4332,12/13/2011,-3.4101,12/20/2011,1.2136
12/21/2011,4.2994,1/4/2012,1.0116,1/4/2012,3.0799,1/4/2012,4.046,1/4/2012,2.1985,1/4/2012,1.0753,12/22/2011,0.4106,12/22/2011,3.7288,1/4/2012,3.1044,1/4/2012,2.2472,1/4/2012,0.9742,12/12/2011,-2.7174,12/6/2011,0.1498,12/21/2011,0.5935,12/6/2011,-1.179,12/14/2011,-3.1489,12/21/2011,2.1583
12/22/2011,1.9847,1/5/2012,-1.1445,1/5/2012,0,1/5/2012,0.4093,1/5/2012,-1.2907,1/5/2012,2.3404,12/23/2011,0.9991,12/23/2011,0.7353,1/5/2012,-1.3686,1/5/2012,1.6484,1/5/2012,-0.5675,12/13/2011,2.6536,12/7/2011,-0.3739,12/22/2011,0.4425,12/7/2011,-0.1604,12/15/2011,0.9852,12/22/2011,0.2347
12/23/2011,5.5389,1/6/2012,-2.1708,1/6/2012,-0.2269,1/6/2012,0,1/6/2012,-1.3699,1/6/2012,-1.0395,12/26/2011,-0.6151,12/26/2011,0.9732,1/6/2012,-2.2664,1/6/2012,-0.8108,1/6/2012,-0.6849,12/14/2011,-2.9252,12/8/2011,-4.0036,12/23/2011,-0.2937,12/8/2011,-3.9591,12/16/2011,0,12/23/2011,0.7026
12/28/2011,-2.8369,1/10/2012,-0.1479,1/10/2012,-0.4549,1/10/2012,1.3861,1/10/2012,-0.1894,1/10/2012,0,12/27/2011,-0.655,12/27/2011,-2.49,1/10/2012,-0.284,1/10/2012,0.2725,1/10/2012,0.5172,12/15/2011,0.4905,12/9/2011,0.2048,12/26/2011,-1.0309,12/9/2011,3.7724,12/19/2011,-2.2439,12/26/2011,-0.2326
12/29/2011,0.438,1/11/2012,0.5926,1/11/2012,0,1/11/2012,-0.5629,1/11/2012,-0.6325,1/11/2012,1.8908,12/28/2011,-0.3997,12/28/2011,-1.0434,1/11/2012,0.3797,1/11/2012,0.8152,1/11/2012,-1.4866,12/16/2011,-2.0223,12/12/2011,-2.0067,12/27/2011,-1.4881,12/12/2011,-2.7411,12/20/2011,3.0938,12/27/2011,-0.6993
12/30/2011,-3.1977,1/12/2012,-1.4728,1/12/2012,-1.1805,1/12/2012,-0.1213,1/12/2012,-0.3819,1/12/2012,-1.0309,12/29/2011,-3.9143,12/29/2011,-0.5827,1/12/2012,-2.0331,1/12/2012,-0.5391,1/12/2012,-0.8125,12/19/2011,-0.427,12/13/2011,0.5878,12/28/2011,0,12/13/2011,-0.844,12/21/2011,3.1946,12/28/2011,0
1/3/2012,4.8048,1/13/2012,2.5411,1/13/2012,1.6185,1/13/2012,3.3603,1/13/2012,3.131,1/13/2012,2.5,12/30/2011,-0.3743,12/30/2011,-0.2512,1/13/2012,3.2819,1/13/2012,1.355,1/13/2012,1.4043,12/20/2011,1.787,12/14/2011,-4.1847,12/29/2011,0.7553,12/14/2011,-3.5568,12/22/2011,2.6266,12/29/2011,0
1/4/2012,-1.4327,1/16/2012,0.4373,1/16/2012,-1.5169,1/16/2012,-0.1958,1/16/2012,-1.487,1/16/2012,-0.813,1/2/2012,2.2433,1/2/2012,2.9379,1/16/2012,-1.028,1/16/2012,0,1/16/2012,-1.5003,12/21/2011,1.6152,12/15/2011,0.1771,1/2/2012,-0.2999,12/15/2011,1.3712,12/23/2011,0.0914,1/2/2012,-0.2347
1/5/2012,-0.1453,1/17/2012,1.8868,1/17/2012,-0.0385,1/17/2012,0.7457,1/17/2012,0.6289,1/17/2012,1.4344,1/3/2012,1.4805,1/3/2012,5.4363,1/17/2012,0.5194,1/17/2012,1.6043,1/17/2012,0.9959,12/22/2011,2.0041,12/16/2011,-2.0522,1/3/2012,2.406,12/16/2011,-1.4303,12/27/2011,-1.2785,1/3/2012,4.2353
1/6/2012,-3.4934,1/18/2012,-1.1396,1/18/2012,-0.4622,1/18/2012,-0.1558,1/18/2012,-1.5,1/18/2012,0.404,1/4/2012,-0.4775,1/4/2012,3.7381,1/18/2012,0.3288,1/18/2012,-0.2632,1/18/2012,-0.7541,12/23/2011,1.4905,12/19/2011,0.9323,1/4/2012,0.8811,12/19/2011,-1.1672,12/28/2011,-2.6827,1/4/2012,0.9029
1/9/2012,4.0724,1/19/2012,1.4409,1/19/2012,1.4319,1/19/2012,0.4682,1/19/2012,3.0457,1/19/2012,0,1/5/2012,-1.5608,1/5/2012,0.4473,1/19/2012,3.1367,1/19/2012,0,1/19/2012,-0.4091,12/27/2011,0.6008,12/20/2011,3.8339,1/5/2012,-0.4367,12/20/2011,6.3677,12/29/2011,1.5209,1/5/2012,0
1/10/2012,2.7536,1/20/2012,2.4148,1/20/2012,3.0523,1/20/2012,3.2233,1/20/2012,2.7709,1/20/2012,1.6097,1/6/2012,1.7462,1/6/2012,0.7422,1/20/2012,0.8171,1/20/2012,0,1/20/2012,0.7042,12/28/2011,-2.2561,12/21/2011,0.6887,1/6/2012,-2.193,12/21/2011,1.1253,12/30/2011,0.7491,1/6/2012,-1.7897
1/11/2012,0.4231,1/23/2012,-0.5548,1/23/2012,0.7034,1/23/2012,0.5643,1/23/2012,-1.438,1/23/2012,1.1881,1/7/2012,0.5107,1/7/2012,-0.1719,1/23/2012,-1.4408,1/23/2012,0.5277,1/23/2012,-0.9907,12/29/2011,0.611,12/22/2011,0.57,1/9/2012,-0.4484,12/22/2011,1.4243,1/3/2012,3.4387,1/9/2012,0.9112
1/12/2012,1.264,1/24/2012,0.5579,1/24/2012,2.6838,1/24/2012,-0.0748,1/24/2012,2.4316,1/24/2012,-0.1957,1/9/2012,1.7232,1/9/2012,-1.3038,1/24/2012,1.8273,1/24/2012,-0.7874,1/24/2012,-0.2943,12/30/2011,1.6194,12/23/2011,-0.8313,1/10/2012,2.2523,12/23/2011,0.6437,1/4/2012,1.5274,1/10/2012,2.2573
1/13/2012,-0.9709,1/25/2012,2.4965,1/25/2012,1.9334,1/25/2012,3.8188,1/25/2012,3.9763,1/25/2012,3.9216,1/10/2012,1.5756,1/10/2012,2.2433,1/25/2012,3.7236,1/25/2012,2.6455,1/25/2012,4.1913,1/2/2012,3.3201,12/27/2011,0.6668,1/11/2012,-0.5874,12/27/2011,0.436,1/5/2012,2.5664,1/11/2012,0.2208
1/16/2012,-3.5014,1/26/2012,-0.6766,1/26/2012,1.405,1/26/2012,-1.1179,1/26/2012,-0.9703,1/26/2012,0,1/11/2012,0.1571,1/11/2012,-0.0975,1/26/2012,0.2595,1/26/2012,0.5155,1/26/2012,-1.9263,1/3/2012,2.9563,12/28/2011,-2.8766,1/12/2012,1.3294,12/28/2011,-3.7048,1/6/2012,1.0354,1/12/2012,1.1013
1/17/2012,2.4673,1/27/2012,-0.8174,1/27/2012,-1.6973,1/27/2012,-1.9329,1/27/2012,0,1/27/2012,-2.6415,1/12/2012,0.6681,1/12/2012,0.6345,1/27/2012,-1.0785,1/27/2012,0.7692,1/27/2012,0.6932,1/4/2012,0,12/29/2011,0.5651,1/13/2012,0,12/29/2011,0.8476,1/9/2012,0.7686,1/13/2012,-0.8715
1/18/2012,-2.4079,1/30/2012,-0.2747,1/30/2012,-1.7266,1/30/2012,-0.2603,1/30/2012,-0.8069,1/30/2012,-1.1628,1/13/2012,-1.7547,1/13/2012,1.2609,1/30/2012,1.0031,1/30/2012,-1.7812,1/30/2012,-1.0327,1/5/2012,1.3733,12/30/2011,0.2906,1/16/2012,-0.7289,12/30/2011,1.0968,1/10/2012,0,1/16/2012,-0.6593
1/19/2012,3.9187,1/31/2012,-0.9642,1/31/2012,0.753,1/31/2012,-0.5966,1/31/2012,0.9878,1/31/2012,1.5686,1/16/2012,3.1728,1/16/2012,2.3707,1/31/2012,-2.2021,1/31/2012,0,1/31/2012,0.7536,1/9/2012,-1.9704,1/2/2012,2.4343,1/17/2012,1.0279,1/2/2012,3.8178,1/11/2012,2.2881,1/17/2012,2.2124
1/20/2012,2.514,2/1/2012,1.2517,2/1/2012,1.6014,2/1/2012,0.3001,2/1/2012,0.9781,2/1/2012,0.9653,1/17/2012,9.9499,1/17/2012,1.7076,2/1/2012,2.0751,2/1/2012,0.7772,2/1/2012,1.3234,1/10/2012,2.2613,1/3/2012,3.6779,1/18/2012,-2.907,1/3/2012,3.578,1/12/2012,0.58,1/18/2012,-2.1645
1/26/2012,0.9537,2/2/2012,0.8242,2/2/2012,1.7863,2/2/2012,1.7951,2/2/2012,0.6268,2/2/2012,2.6769,1/18/2012,-0.591,1/18/2012,-1.6329,2/2/2012,1.6436,2/2/2012,0.7712,2/2/2012,0.0568,1/11/2012,0.3071,1/4/2012,2.1102,1/19/2012,1.0479,1/4/2012,-0.0822,1/13/2012,-0.8237,1/19/2012,0.6637
1/27/2012,-0.135,2/3/2012,-0.4087,2/3/2012,-0.2409,2/3/2012,-1.2491,2/3/2012,0.6229,2/3/2012,-1.676,1/19/2012,2.5549,1/19/2012,2.151,2/3/2012,-0.9362,2/3/2012,-0.5102,2/3/2012,-0.8513,1/12/2012,1.6534,1/5/2012,0.1603,1/20/2012,-0.2963,1/5/2012,1.9893,1/17/2012,-0.2076,1/20/2012,1.978
1/30/2012,-2.027,2/6/2012,3.2832,2/6/2012,3.001,2/6/2012,2.9018,2/6/2012,1.5757,2/6/2012,-1.5152,1/20/2012,-2.3408,1/20/2012,0.2976,2/6/2012,3.823,2/6/2012,1.5385,2/6/2012,2.0034,1/13/2012,-0.7229,1/6/2012,-1.1028,1/25/2012,1.7831,1/6/2012,-2.0716,1/18/2012,2.705,1/25/2012,0.8621
1/31/2012,0,2/7/2012,0.1325,2/7/2012,0,2/7/2012,-0.0723,2/7/2012,-1.7729,2/7/2012,-2.5,1/23/2012,5.179,1/23/2012,0,2/7/2012,0.331,2/7/2012,-0.2525,2/7/2012,-0.7856,1/16/2012,1.2743,1/9/2012,1.9784,1/26/2012,0.7299,1/9/2012,0.9478,1/19/2012,2.188,1/26/2012,-2.1368
2/1/2012,-0.5517,2/8/2012,2.381,2/8/2012,4.99,2/8/2012,2.6773,2/8/2012,2.8201,2/8/2012,4.931,1/24/2012,-0.2326,1/24/2012,1.3008,2/8/2012,0.9072,2/8/2012,1.0127,2/8/2012,0.7353,1/17/2012,1.1384,1/10/2012,3.7566,1/27/2012,-2.7536,1/10/2012,3.9053,1/20/2012,-0.1586,1/27/2012,-3.4934
2/2/2012,1.6644,2/9/2012,-1.0336,2/9/2012,-0.1595,2/9/2012,-0.5638,2/9/2012,-0.8777,2/9/2012,0.5639,1/25/2012,1.969,1/25/2012,4.055,2/9/2012,-0.1226,2/9/2012,3.5088,2/9/2012,-1.6844,1/18/2012,0.9479,1/11/2012,0.306,1/30/2012,-0.8942,1/11/2012,-0.0262,1/23/2012,0.556,1/30/2012,-2.2624
2/3/2012,-2.3192,2/10/2012,-1.1749,2/10/2012,-2.2364,2/10/2012,-1.8427,2/10/2012,-1.1068,2/10/2012,-1.8692,1/27/2012,2.5323,1/27/2012,3.8536,2/10/2012,-1.6776,2/10/2012,-0.9685,2/10/2012,-1.4278,1/19/2012,1.9953,1/12/2012,0.9998,1/31/2012,1.5038,1/12/2012,0.1572,1/24/2012,1.2638,1/31/2012,2.3148
2/6/2012,-0.6983,2/13/2012,0.2642,2/13/2012,0.1634,2/13/2012,0.361,2/13/2012,-0.1119,2/13/2012,0.7619,1/30/2012,-1.4331,1/30/2012,-2.4807,2/13/2012,0.9988,2/13/2012,1.467,2/13/2012,0.6373,1/20/2012,-0.6904,1/13/2012,-2.6174,2/1/2012,-0.8889,1/13/2012,-1.3471,1/25/2012,0.858,2/1/2012,-1.1312
2/7/2012,1.2658,2/14/2012,0.9223,2/14/2012,1.7945,2/14/2012,0.5755,2/14/2012,1.4566,2/14/2012,1.3233,1/31/2012,-0.5531,1/31/2012,4.2112,2/14/2012,-0.5768,2/14/2012,1.2048,2/14/2012,0.6908,1/23/2012,1.5643,1/16/2012,3.6871,2/2/2012,-0.299,1/16/2012,4.5605,1/26/2012,-1.0828,2/2/2012,-0.2288
2/8/2012,6.9444,2/15/2012,2.7415,2/15/2012,4.6474,2/15/2012,3.2904,2/15/2012,3.3683,2/15/2012,5.9701,2/1/2012,2.3679,2/1/2012,1.9077,2/15/2012,5.2632,2/15/2012,3.0952,2/15/2012,1.5437,1/24/2012,-1.3691,1/17/2012,2.7916,2/3/2012,-0.4498,1/17/2012,3.753,1/27/2012,-4.5348,2/3/2012,-0.6881
2/9/2012,-0.6494,2/16/2012,-1.2706,2/16/2012,0,2/16/2012,-0.2078,2/16/2012,-0.2671,2/16/2012,-0.3521,2/2/2012,0.2346,2/2/2012,-0.785,2/16/2012,-0.5512,2/16/2012,-2.5404,2/16/2012,-0.732,1/25/2012,0.7519,1/18/2012,0.5173,2/6/2012,-1.9578,1/18/2012,1.1854,1/30/2012,0.6552,2/6/2012,-1.8476
2/10/2012,-1.6993,2/17/2012,2.0592,2/17/2012,0.6126,2/17/2012,2.3595,2/17/2012,1.4997,2/17/2012,3.8869,2/3/2012,1.9053,2/3/2012,0.4869,2/17/2012,2.7316,2/17/2012,2.1327,2/17/2012,3.9705,1/26/2012,4.6498,1/19/2012,1.2062,2/7/2012,3.0722,1/19/2012,0,1/31/2012,1.0578,2/7/2012,3.0588
2/13/2012,2.7926,2/20/2012,1.8916,2/20/2012,1.9787,2/20/2012,0.8475,2/20/2012,1.4248,2/20/2012,-1.3605,2/6/2012,0.959,2/6/2012,1.6556,2/20/2012,2.3507,2/20/2012,0.232,2/20/2012,4.2008,1/27/2012,-0.7131,1/20/2012,1.017,2/8/2012,-0.5961,1/20/2012,1.401,2/1/2012,-0.7246,2/8/2012,1.1416
2/14/2012,0.2587,2/21/2012,-1.4851,2/21/2012,-0.8955,2/21/2012,-1.3445,2/21/2012,-0.5203,2/21/2012,0.1724,2/7/2012,-0.463,2/7/2012,-0.5561,2/21/2012,-1.0542,2/21/2012,-0.463,2/21/2012,-0.4188,1/30/2012,-2.5967,1/23/2012,0.1888,2/9/2012,-0.8996,1/23/2012,-0.9886,2/2/2012,-0.5677,2/9/2012,-0.6772
2/15/2012,1.1613,2/22/2012,2.2613,2/22/2012,1.8072,2/22/2012,2.0784,2/22/2012,1.4644,2/22/2012,3.6145,2/8/2012,1.5678,2/8/2012,0.0999,2/22/2012,1.7504,2/22/2012,3.0233,2/22/2012,-0.5783,1/31/2012,-0.2269,1/24/2012,-0.7693,2/10/2012,-0.3026,1/24/2012,-0.7819,2/3/2012,4.323,2/10/2012,-1.1364
2/16/2012,-3.699,2/23/2012,1.5971,2/23/2012,-0.2959,2/23/2012,0.4673,2/23/2012,1.0309,2/23/2012,2.4917,2/9/2012,0.2764,2/9/2012,2.6736,2/23/2012,0.7853,2/23/2012,-0.9029,2/23/2012,0.5288,2/1/2012,2.5583,1/25/2012,0.9335,2/13/2012,3.6419,1/25/2012,1.9641,2/6/2012,1.3292,2/13/2012,1.8391
2/17/2012,1.1921,2/24/2012,0.2418,2/24/2012,0.2967,2/24/2012,2.6578,2/24/2012,0.051,2/24/2012,1.1345,2/10/2012,-2,2/10/2012,0.0194,2/24/2012,0.6679,2/24/2012,-0.2278,2/24/2012,0.1578,2/2/2012,0.6098,1/26/2012,1.9439,2/14/2012,0.2928,1/26/2012,2.6278,2/7/2012,-0.6173,2/14/2012,-1.1287
2/20/2012,0.6545,2/27/2012,0.965,2/27/2012,0,2/27/2012,1.6181,2/27/2012,-0.306,2/27/2012,1.2821,2/13/2012,-1.5708,2/13/2012,0.3691,2/27/2012,-0.3317,2/27/2012,0.2283,2/27/2012,1.313,2/3/2012,4.3526,1/27/2012,-0.3998,2/15/2012,0.8759,1/27/2012,-1.0775,2/8/2012,-0.3106,2/15/2012,-0.2283
2/21/2012,1.4304,2/28/2012,-1.0753,2/28/2012,0.1479,2/28/2012,-0.7962,2/28/2012,-0.665,2/28/2012,-2.2152,2/14/2012,3.4815,2/14/2012,3.736,2/28/2012,0.2219,2/28/2012,3.1891,2/28/2012,1.6589,2/6/2012,0.8976,1/30/2012,-0.4323,2/16/2012,-0.1447,1/30/2012,-0.773,2/9/2012,-1.1682,2/16/2012,0.2288
2/22/2012,0.2564,2/29/2012,0.4831,2/29/2012,-0.8863,2/29/2012,-0.6421,2/29/2012,-0.7724,2/29/2012,-0.6472,2/15/2012,2.7688,2/15/2012,7.4268,2/29/2012,-0.8487,2/29/2012,1.1038,2/29/2012,-0.255,2/7/2012,-0.9942,1/31/2012,1.6282,2/17/2012,4.3478,1/31/2012,0.0708,2/10/2012,-1.9701,2/17/2012,1.8265
2/23/2012,-3.3248,3/1/2012,-0.601,3/1/2012,-0.5961,3/1/2012,-0.1616,3/1/2012,0.8822,3/1/2012,0.3257,2/16/2012,4.3598,2/16/2012,-4.1515,3/1/2012,0.5955,3/1/2012,0.4367,3/1/2012,-0.4601,2/8/2012,0.5814,2/1/2012,3.845,2/20/2012,-0.5556,2/1/2012,3.5976,2/13/2012,0.8039,2/20/2012,0.4484
2/24/2012,-1.5873,3/2/2012,-1.0883,3/2/2012,-0.5997,3/2/2012,0,3/2/2012,0.4115,3/2/2012,0.3247,2/17/2012,-2.7986,2/17/2012,-0.7068,3/2/2012,-0.185,3/2/2012,-0.8696,3/2/2012,0.2568,2/9/2012,-0.3153,2/2/2012,-0.6171,2/21/2012,1.257,2/2/2012,0.0569,2/14/2012,-0.4785,2/21/2012,1.1161
2/27/2012,-0.2688,3/5/2012,-0.978,3/5/2012,-0.3017,3/5/2012,-1.2945,3/5/2012,-1.332,3/5/2012,-2.4272,2/21/2012,-0.8929,2/21/2012,-0.9673,3/5/2012,-1.0378,3/5/2012,0,3/5/2012,-0.3586,2/10/2012,-1.2124,2/3/2012,3.2082,2/22/2012,-1.2414,2/3/2012,3.1065,2/15/2012,-0.8013,2/22/2012,-1.1038
2/28/2012,1.8868,3/6/2012,-1.358,3/6/2012,-0.6051,3/6/2012,-1.9344,3/6/2012,-1.5057,3/6/2012,-1.8242,2/22/2012,-0.2596,2/22/2012,-1.0505,3/6/2012,-1.0487,3/6/2012,-1.5351,3/6/2012,0,2/13/2012,0.6403,2/6/2012,1.3121,2/23/2012,-1.8156,2/6/2012,0.2869,2/16/2012,2.9079,2/23/2012,-2.2321
2/29/2012,0.6614,3/7/2012,0.1252,3/7/2012,-1.2177,3/7/2012,-0.5349,3/7/2012,-1.1597,3/7/2012,0.5068,2/23/2012,-2.063,2/23/2012,0,3/7/2012,-0.9084,3/7/2012,-0.4454,3/7/2012,0.4113,2/14/2012,-1.1665,2/7/2012,-1.4789,2/24/2012,-0.2845,2/7/2012,-1.4856,2/17/2012,0.0785,2/24/2012,-1.1416
3/1/2012,-3.548,3/8/2012,2.125,3/8/2012,2.6194,3/8/2012,2.0168,3/8/2012,2.88,3/8/2012,3.1933,2/24/2012,0.4572,2/24/2012,-1.1175,3/8/2012,2.33,3/8/2012,2.0134,3/8/2012,2.6114,2/15/2012,2.0386,2/8/2012,-0.4018,2/27/2012,-3.1384,2/8/2012,0.5139,2/21/2012,-1.7255,2/27/2012,-3.0023
3/2/2012,-1.3624,3/9/2012,2.3256,3/9/2012,2.7027,3/9/2012,2.8007,3/9/2012,2.4883,3/9/2012,4.3974,2/27/2012,-2.198,2/27/2012,-2.072,3/9/2012,3.3968,3/9/2012,1.3158,3/9/2012,1.8962,2/16/2012,0.7361,2/9/2012,3.6167,2/28/2012,0.8837,2/9/2012,4.1342,2/22/2012,-1.9952,2/28/2012,-0.7143
3/5/2012,0.4144,3/12/2012,0.8373,3/12/2012,-0.4386,3/12/2012,-0.641,3/12/2012,-0.7587,3/12/2012,1.8721,2/28/2012,1.0024,2/28/2012,5.1548,3/12/2012,-0.6859,3/12/2012,-0.2165,3/12/2012,0.4407,2/17/2012,2.0877,2/10/2012,-2.8647,2/29/2012,3.2117,2/10/2012,-0.9178,2/23/2012,0.9772,2/29/2012,3.5971
3/6/2012,-4.1265,3/13/2012,-0.2372,3/13/2012,0.2937,3/13/2012,0,3/13/2012,0.5607,3/13/2012,-1.3783,2/29/2012,-1.1657,2/29/2012,-0.878,3/13/2012,-0.3272,3/13/2012,-0.2169,3/13/2012,-1.1702,2/20/2012,2.1984,2/13/2012,1.2169,3/2/2012,1.4144,2/13/2012,1.6911,2/24/2012,-1.371,3/2/2012,1.8519
3/7/2012,2.726,3/14/2012,3.805,3/14/2012,2.0498,3/14/2012,2.7419,3/14/2012,1.5205,3/14/2012,4.5031,3/1/2012,4.8016,3/1/2012,-1.384,3/14/2012,1.4223,3/14/2012,2.3913,3/14/2012,1.48,2/21/2012,-0.7504,2/14/2012,-1.5417,3/5/2012,-0.1395,2/14/2012,-0.9639,2/27/2012,0.5724,3/5/2012,0
3/8/2012,1.8156,3/15/2012,1.7182,3/15/2012,2.8694,3/15/2012,3.4537,3/15/2012,1.0984,3/15/2012,1.7831,3/2/2012,1.1787,3/2/2012,0.1684,3/15/2012,1.4743,3/15/2012,0.4246,3/15/2012,0.6806,2/22/2012,-2.5706,2/15/2012,0.3735,3/6/2012,0.5587,2/15/2012,-0.3636,2/28/2012,-0.4065,3/6/2012,-1.5909
3/9/2012,-1.6461,3/16/2012,-0.1126,3/16/2012,-0.1395,3/16/2012,-0.607,3/16/2012,-0.7407,3/16/2012,0.146,3/3/2012,-0.8681,3/3/2012,0.1121,3/16/2012,0.6733,3/16/2012,-0.6342,3/16/2012,-1.014,2/23/2012,-2.5867,2/16/2012,1.3883,3/7/2012,-1.3889,2/16/2012,0.3113,2/29/2012,1.0612,3/7/2012,-1.6166
3/12/2012,-1.5342,3/19/2012,0.451,3/19/2012,-0.1397,3/19/2012,-0.6107,3/19/2012,-0.6468,3/19/2012,-0.4373,3/5/2012,-0.2881,3/5/2012,2.3139,3/19/2012,-1.1616,3/19/2012,1.9149,3/19/2012,-1.122,2/24/2012,0.478,2/17/2012,1.6234,3/8/2012,2.1127,2/17/2012,2.1188,3/1/2012,2.2617,3/8/2012,-0.4695
3/13/2012,1.2748,3/21/2012,-2.9181,3/21/2012,-1.5385,3/21/2012,-1.0753,3/21/2012,-1.352,3/21/2012,-2.3426,3/6/2012,1.247,3/6/2012,-2.6081,3/21/2012,-1.3533,3/21/2012,-0.8351,3/21/2012,-1.2827,2/27/2012,-1.6913,2/20/2012,0.3473,3/9/2012,-0.5517,2/20/2012,1.7919,3/2/2012,0.4739,3/9/2012,0.2358
3/14/2012,-0.4196,3/22/2012,1.5029,3/22/2012,0.4261,3/22/2012,1.7081,3/22/2012,1.3198,3/22/2012,1.4993,3/7/2012,-1.731,3/7/2012,0.3558,3/22/2012,0.5415,3/22/2012,2.3158,3/22/2012,1.1994,2/28/2012,2.6882,2/21/2012,-0.5399,3/12/2012,0,2/21/2012,-1.3589,3/5/2012,-2.044,3/12/2012,1.4118
3/15/2012,0.7022,3/23/2012,-2.6196,3/23/2012,-1.9802,3/23/2012,-2.9008,3/23/2012,-1.0521,3/23/2012,-1.6248,3/9/2012,2.5066,3/9/2012,4.7397,3/23/2012,-2.0467,3/23/2012,-1.6461,3/23/2012,-1.5802,2/29/2012,1.0995,2/22/2012,-1.4196,3/13/2012,1.2483,2/22/2012,-0.1252,3/6/2012,-2.9695,3/13/2012,3.7123
3/16/2012,0,3/26/2012,2.4561,3/26/2012,0.2886,3/26/2012,-0.6289,3/26/2012,0.6582,3/26/2012,0.1502,3/12/2012,-0.3057,3/12/2012,1.2649,3/26/2012,1.1364,3/26/2012,-0.4184,3/26/2012,-0.0502,3/1/2012,0.6214,2/23/2012,-1.6801,3/14/2012,-0.411,2/23/2012,-2.0167,3/7/2012,1.2407,3/14/2012,0.6711
3/19/2012,-2.7894,3/27/2012,2.0548,3/27/2012,3.5971,3/27/2012,3.481,3/27/2012,1.5594,3/27/2012,1.3493,3/13/2012,2.3182,3/13/2012,-0.4222,3/27/2012,2.2109,3/27/2012,1.2605,3/27/2012,1.6566,3/2/2012,-0.6691,2/24/2012,1.2636,3/15/2012,0.1376,2/24/2012,1.0238,3/8/2012,1.7974,3/15/2012,1.3333
