"","mtd.ret","ytd.ret","ann.ret.incep","ann.std.incep","downrisk.incep","drawdown.incep","sharpe.incep","sortino.incep","inforatio.incep","alpha.incep","beta.incep","corr.bhf.incep","corr.bidx.incep","omega.incep","wl.incep","skewness.incep","kurtosis.incep"
"NHINDIA.MP.Equity",NA,0.308290837583144,0.146209035504428,0.201548956347992,0.131268241445218,-0.301294864720149,0.700619036005418,1.07572885832678,0.583882821618506,0.00399949334141438,1.1223265168251,0.512215079990629,0.538075884950982,1.79619537681924,0.603174603174603,-0.130586966093518,-0.0159149142557617
"NIRVANA.US.Equity",-0.006,0.0703043103269649,0.085527251504028,0.115393810754621,0.0750910773511403,-0.211916424243736,0.697847232684474,1.07239440882526,0.144481152024457,0.000831802890984961,0.804215624955969,0.698865124985552,0.668205332862764,1.78088998205934,0.640625,-0.0849048196578235,0.473614509953428
"NLEMMAU.US.Equity",0.013,0.169131919719143,0.054428305293627,0.0754366976520041,0.0447500102660796,-0.206038580578191,0.655228911552358,1.10454288166038,0.184161137545358,0.000483281125314228,0.510827614640461,0.714244779028319,0.649249531149239,1.69851089596885,0.625,-0.145942104134125,0.432978509498048
"NLWEIJI.US.Equity",0.001,0.152032237857919,0.11909334388232,0.112691212498865,0.0760212786283269,-0.152621822791199,1.0124422424106,1.50080800982222,0.787117978565835,0.00487485307296816,0.619280205141509,0.584529943271616,0.526886526527717,2.28152800530345,0.671875,-0.018149835413597,0.742605997573512
"NODALPB.ID.Equity",0.005214,0.0961143923684957,0.112975022061583,0.0648657398450051,0.0477185978847685,-0.052875,1.66459246930023,2.2627450689629,0.701311236872426,0.00628096276632612,0.348699126443288,0.526395512022023,0.515413072989787,3.5981888020486,0.734375,-0.398588086481532,1.17536650813766
"NODOMGB.ID.Equity",0.006547,0.105260658242706,0.145172009166642,0.0703774646531118,0.0482872505533293,-0.0550850000000002,1.99171723303113,2.90287824550776,0.984185987231602,0.00809891206109779,0.423657546043084,0.598047014919499,0.577166712117697,4.180186258794,0.796875,-0.39427592532209,1.23619374472239
"NORASXD.KY.Equity",NA,0.019836056450568,0.0510045018832688,0.135683155845328,0.0644421915437056,-0.17027590610331,0.339058312703986,0.71388791692579,0.131538463366642,0.00453362228386982,0.044517814563653,0.241151552416771,0.0317039050140641,1.39507661320804,0.492063492063492,0.645211356539264,0.413941286400539
"NORMNIA.CN.Equity",-0.013165,-0.029342124940984,-0.039058952997699,0.0563671334429154,0.0360159962616581,-0.19722591643676,-0.78164260459189,-1.22331623641918,-0.95740835314554,-0.00355016661401926,0.0447910231216221,0.0860423569195597,0.0761877204948399,0.608141162715567,0.40625,0.0720755823130608,0.269338376086971
"NORNRWA.KY.Equity",NA,-0.0262293775773801,0.0516704004888802,0.0845647079461002,0.034877730894119,-0.113125900902659,0.551889808673223,1.33811458751606,0.106332723757725,0.00339990706709309,0.135222982321064,0.323708894831484,0.154513423444174,1.61974102243189,0.492063492063492,0.734007364284986,0.408521031326812
"NORPOLO.KY.Equity",0.010099,0.0680715668313958,0.0778413391891621,0.0260266209174559,0.0153172167303214,-0.037009085664799,2.79872440683638,4.75552056692965,0.740490455056926,0.00575623005151952,0.0657669661749824,0.387245556531169,0.242275762005602,8.1931284487223,0.828125,-0.16030385281306,0.406328595271727
"NOSCEMF.KY.Equity",0.027999,0.368004892704571,0.0806956573494826,0.154190433077851,0.0863948785389212,-0.408163438052463,0.490923177518179,0.876159080603157,0.279517027173932,-0.00166726603351814,1.11575693070558,0.731571536084987,0.693796510729402,1.53711791376327,0.640625,0.159199661091796,0.370790357252384
"NPJAMGO.KY.Equity",NA,0.240360268727223,0.0706719268107523,0.105720979416221,0.0837924026000312,-0.265066265175772,0.621181596816309,0.783745599517251,0.0781978907201532,-0.000319010753465531,0.800537950388423,0.757296925786373,0.731687448971048,1.69881976834088,0.650793650793651,-0.659210156788954,1.5864239238087
"NRCNSGLP.CN.Equity",NA,0.165487408739639,0.101706301873803,0.0964952029465256,0.0547324030724666,-0.117625001016853,1.00218766240011,1.76689303675854,0.285344785963004,0.00438905070955449,0.519249194289615,0.530820092280951,0.523204285861088,2.12177988944998,0.612903225806452,-0.183518013943443,-0.396780990147983
"NRRLRMF.KY.Equity",NA,0.0982709643725439,0.0335141086498236,0.0547104646838306,0.0512927571709308,-0.0797135611217188,0.521181986199631,0.555909064408482,-0.328704788750421,-0.000382412706127404,0.4115214749947,0.686760298299207,0.731679017377128,1.64135191156149,0.709677419354839,-1.04279141293834,1.27497768840639
"NTADUSA.KY.Equity",NA,0.246664550655873,0.106911206700282,0.134568532474148,0.115183666408023,-0.331938913848592,0.757318258782826,0.884771338492338,0.607039055591454,0.00231341902423985,0.856883277463551,0.686696263114967,0.615294466605441,1.84790063657601,0.650793650793651,-1.04588870771871,1.87759673638464
"NTASIAN.KY.Equity",NA,0.246885980646407,0.107557901495785,0.134732435968193,0.115182321093419,-0.331508457911677,0.761196817669034,0.890396204228296,0.614287289359106,0.00235329970335055,0.858227807851382,0.686673707653057,0.615510234455845,1.85373128679318,0.650793650793651,-1.03843752858089,1.86634237728859
"NUMCOPA.KY.Equity",NA,0.0166517831975208,0.0458351074179042,0.0591811101286673,0.049062691948088,-0.0832975563207013,0.69000238976801,0.832304665653299,0.318839501869835,0.00453972326940224,-0.0806846180421886,0.0191531576995354,-0.13173843450269,1.91901358220273,0.698412698412698,-0.596288540939693,4.48172357587919
"NUWAVIP.US.Equity",NA,0.0794809983191822,0.0125347017781736,0.131024625090249,0.0614367967914995,-0.20588734068352,0.0575059976167364,0.122641514070866,-0.096976399532432,0.00584409471719725,-0.520354335574138,-0.335486419707083,-0.386317829619199,1.13170359428853,0.419354838709677,0.981796842171988,1.40802916503567
