"","mtd.ret","ytd.ret","ann.ret.5","ann.std.5","downrisk.5","drawdown.5","sharpe.5","sortino.5","inforatio.5","alpha.5","beta.5","corr.bhf.5","corr.bidx.5","omega.5","wl.5","skewness.5","kurtosis.5"
"ALLIVFD.AU.Equity",0.005257,-0.0299024390548189,-0.0206309169686056,0.133952674959208,0.205072542530686,-0.136213253019,-0.191343076772531,-0.124984635448065,-0.605978446822498,0.00703528950010039,0.644215447271059,0.318009408276257,0.223277596407021,0.91531602265717,0.75,-2.32310227943327,4.56294332956585
"ALTACIF.MP.Equity",0.003794,0.233366838674661,0.187698388953884,0.109915384371136,0.150555437550425,-0.063508,1.66217304337482,1.21349578551551,0.590829368968924,0.0147684537595805,0.0106979631844705,0.0561469064925162,0.00451864289468997,3.72797168659995,0.833333333333333,-0.933780780582859,1.47673481324642
"APEXGCE.US.Equity",-0.016099,0.172669162822716,0.174572654429702,0.0779861813633439,0.0232760306538722,-0.016099,2.17439361006342,7.28529090510935,1.8456498947881,0.0127712756415556,0.0763998150956825,0.331215329596715,0.0454820526654447,6.27901535305619,0.666666666666667,1.02234672046327,0.99341404265906
"APSASPH.KY.Equity",-0.007124,-0.0177099318923775,-0.077961141967329,0.117228202391745,0.058285723905724,-0.136367715533086,-0.707689278473238,-1.42335269098685,-0.535115076449412,0.00873763559762393,1.19830191703262,0.387794722247265,0.47456920506004,0.624682643822049,0.333333333333333,0.773396613472359,0.131857673359516
"APSCHIA.KY.Equity",0.024567,0.237660283271206,0.155510785997425,0.141214097195776,0.0866797822101556,-0.0724779428525865,1.06583399948208,1.73640014037542,0.986295491622288,0.0219843147785113,0.730966470908782,0.227884818707607,0.240317173463798,2.60478587325028,0.666666666666667,0.650547498230052,1.13517119585091
"APSCHIN.KY.Equity",0.011901,-0.008662256217015,-0.0669529228921019,0.136441420960525,0.041344743121535,-0.159157438984049,-0.527353954433815,-1.74031611904306,-0.407018325636343,0.0111369935224441,1.29777651715173,0.325286173502411,0.441589849908722,0.725923653930294,0.333333333333333,1.1721661694438,0.0831593647292643
"ARASALP.KY.Equity",NA,0.320101321783059,0.293355001290911,0.117086385529504,0.04414843565745,-0.053794337490601,2.46275431585724,6.53148853400542,1.70448331532364,0.00884997605451269,1.21166884352915,0.381864999283043,0.480386232277344,5.86838494887226,0.666666666666667,0.219989299281291,-0.902385144509423
"ARCJVAB.KY.Equity",0.03865,0.154808158949455,0.387005719733591,0.0899141904277224,NA,-0.000323999999999991,4.2485587415778,NA,2.15898734835931,0.035847748573993,0.634045279625604,0.293533244163511,0.327383991956004,1035.5462962963,0.916666666666667,1.06523459579164,0.153899075256652
"ARMACRO.KY.Equity",NA,0.0238056286854371,0.0512144852656184,0.0345393812691331,0.0225737465211249,-0.0209159019598973,1.33802296299149,2.04726695333316,-0.561578721096435,0.00388555259856494,0.0299424496019664,0.139846203838492,0.0400953187248743,2.71515254237288,0.666666666666667,-0.648038191196465,-0.608174824650158
"ARNASIA.KY.Equity",NA,0.284569306408799,0.258491492041737,0.110758212518408,0.0444763050061491,-0.0537863770928936,2.28869251568689,5.69947283180765,1.5551181504566,0.00756436176923234,1.11247468764555,0.394021808191451,0.466258981722571,5.34761686945385,0.666666666666667,0.263967363198193,-0.737620343846773
"ASCREHA.KY.Equity",0.027816,0.0830971302419474,0.150209140550631,0.119789968107821,0.162077662976735,-0.0908180461510002,1.21219783963821,0.895923212882669,0.205474265789754,0.0135238150324173,0.0983162909813598,0.287912007360553,0.0381039888678759,2.58012079157029,0.75,-1.94642951933356,3.43551574957863
"ASEASCF.KY.Equity",NA,0.679680049462372,0.615144952444733,0.278465486081228,0.065854236155315,-0.0701924777983487,2.19109722009411,9.26508282634585,1.70448325022164,0.0339014098542829,1.09373891602092,0.136089334460465,0.237462510023812,5.58470468396003,0.583333333333333,0.742167627494823,-0.739970989553171
"ASUKTII.KY.Equity",NA,0.0261113064644742,0.0104122058559393,0.0320910065396409,0.0115437405425748,-0.017379814791031,0.168651794989782,0.46884333860228,-1.65547781925374,-0.00240721574225948,0.300883249296317,0.134272320126698,0.435238878306431,1.35945434631086,0.416666666666667,1.61937384413401,2.24422435067198
"ATCHSTA.KY.Equity",NA,-0.0330550093066402,-0.0414560569931587,0.0858896868420079,0.0365742857701965,-0.0963183160562946,-0.540880502668656,-1.27018357337314,-0.698048472101984,-0.00698678866209019,0.34063230261426,0.372578151004902,0.184101709806972,0.715997165669538,0.583333333333333,0.11658812797055,-1.01886213391326
"ATHASIE.SP.Equity",-0.001962,0.150432074981375,0.0391982929269061,0.0953291630905541,0.0811439543712284,-0.0966887002487911,0.358739044991099,0.421452136414885,-0.0197474440635676,-0.00624287882778087,0.785217262572566,0.304572927113509,0.382410195986814,1.42092658841617,0.666666666666667,-0.620585806750321,0.430786589817739
"ATLRIVR.KY.Equity",0.008335,-0.18505475451592,-0.201817961987543,0.122492396240449,0.0639911796849118,-0.218938909501039,-1.68841469621971,-3.23197607867054,-1.44918343668316,-0.0293244241706721,0.90363878536759,0.356135731323821,0.342492556472909,0.276800833658981,0.166666666666667,1.45564062012136,1.9895537653854
"CAMAMAP.KY.Equity",NA,0.042458476143177,0.00979719309849791,0.0432543312387221,0.0213603060521814,-0.0439079471238779,0.110906652839505,0.224584473966749,-0.583367351130066,-0.000186037743246681,0.107541481733335,0.0403900576669026,0.148375320205427,1.20443639306982,0.333333333333333,0.342778984219137,-0.702643436359511
"CAMCCGA.KY.Equity",-0.009416,0.0335480617583233,0.0205380377693993,0.0409060609012228,0.0220814904297695,-0.018016,0.379846835091737,0.70366798014918,-0.26645660016767,-0.00317663284599124,0.395411175913851,0.430832956307983,0.448772962792901,1.44958582653691,0.5,-0.0243261329635897,-1.11140135861194
