"","ann.ret.60","ann.std.60","downrisk.60","drawdown.60","sharpe.60","sortino.60","omega.60","wl.60","skewness.60","kurtosis.60"
"CROSSEG.US.Equity",0.0889426069554458,0.105498251509418,0.0198652020614037,-0.290048987522955,0.0850736396033629,0.382120152428931,1.8836991818521,0.629139072847682,-0.762112886603608,1.27407786390868
"CVOPPLP.US.Equity",0.0641377187825156,0.130073700400826,0.0290465950190151,-0.585197874652782,0.0254476904935483,0.205033891922351,1.83005754096817,0.768211920529801,-2.90585034863203,22.9189756352969
"DAFLSLP.US.Equity",0.141545231594784,0.159435071816208,0.0285553774065029,-0.25023605717123,0.155372136297188,0.425523823569438,1.98836510900943,0.66887417218543,-0.465620445879776,0.924278038848328
"DAFLSSP.US.Equity",0.154081042834019,0.186362523390423,0.0337199263322787,-0.290784247620054,0.157271857581127,0.399198589202786,1.94968312794118,0.675496688741722,-0.413322862750314,1.38589496484252
"DALGCHI.KY.Equity",0.0720691709464327,0.208141384079531,0.0391211404626621,-0.634244849070494,0.0436842952910434,0.194901819496568,1.52696374138389,0.543046357615894,0.262303459750496,12.8698530773995
"DAVSTLP.US.Equity",0.0788729152603831,0.123212343317084,0.0186092938046366,-0.196129323426815,0.0550240071449047,0.37385150967137,1.77117847767487,0.556291390728477,1.07648370088193,4.19370274298376
"DBESTFU.US.Equity",0.0741119630444387,0.292888417963135,0.0507515173375102,-0.350069818442996,0.0527132075306127,0.186336907561036,1.32672794769567,0.503311258278146,0.335781267134417,0.015591289424127
"DELEMRG.US.Equity",0.0668662878960127,0.20260756601452,0.0399646701923434,-0.554909287315448,0.0367311770638774,0.178866095201275,1.3891680887049,0.602649006622517,-0.53312346612446,3.10465995001188
"DENALIP.US.Equity",0.0475933373022361,0.0690465285104173,0.0107025541306984,-0.110710278846135,-0.0462824892060662,0.380983514677691,1.7465796528907,0.56953642384106,0.499461728479998,0.840743652443241
"DGHMENV.US.Equity",0.055578513365798,0.0842361872429992,0.0157637384445551,-0.208666125651826,-0.00771245934863067,0.3052865264524,1.70326100210781,0.596026490066225,-0.468676156143512,1.78808570086209
"DIVSTE1.ID.Equity",0.0503287733179421,0.141966842342034,0.024875891687835,-0.225832596191974,-0.00181357581613696,0.198010007379857,1.35326523972481,0.52317880794702,0.279781789145056,-0.214699838852327
"DLFDHFI.GU.Equity",0.125563910684166,0.0862549078935422,0.0162323935174279,-0.222945583303363,0.20985882110957,0.629938559895555,3.86698900951988,0.774834437086093,-2.41391486661543,23.6050064601158
"DLFDHMA.KY.Equity",0.0396945943615787,0.0646777047293293,0.014223497471829,-0.214868139210629,-0.084179832210936,0.241030126206198,1.77211697078713,0.71523178807947,-2.74192256094385,18.788863422042
"DORASPS.KY.Equity",0.13097106217305,0.158581449169626,0.027212382600963,-0.414360328298954,0.138572172606342,0.416855418557559,2.06930124429107,0.649006622516556,0.103132413398213,5.54164232095003
"DORSEFL.BH.Equity",-0.0053095464510674,0.296014572383042,0.0587405830087283,-0.703710363315744,-0.0212519177878874,0.0542040948415037,1.10498343847013,0.543046357615894,0.165056048365417,1.21039414089225
"DRURDIV.US.Equity",0.0414176460069364,0.174227737198208,0.0310612321760002,-0.294112451337289,-0.00750917344802019,0.148813301324303,1.26840496223716,0.543046357615894,0.508434853058002,1.1084132645604
"DUNLCAP.US.Equity",0.0364091984527062,0.11197837927963,0.0230085313863421,-0.267033814359041,-0.0461370490055676,0.152491377658694,1.32330444864832,0.642384105960265,-0.536417500869923,0.623318126551235
"DUNNWMA.US.Equity",0.0927258020055506,0.281245623563474,0.0483340432829643,-0.36360833652,0.0693366199985149,0.219914239506781,1.39846075473216,0.503311258278146,0.339195445401701,0.647820098530347
"DYNADOM.US.Equity",0.069199820356616,0.166503575938152,0.0326768762444135,-0.364105934568749,0.0364846119490088,0.206679762046629,1.43261455811465,0.609271523178808,-0.498901972839625,0.640441423778309
"DYNALPHA.CN.Equity",0.0407800651045562,0.092260734265519,0.0182926475001,-0.201836707538243,-0.0490588372485857,0.20190611287804,1.46673105071248,0.56953642384106,-0.829355141519469,3.62257872571997
"EAGLEGL.US.Equity",0.0356273934848741,0.195025886691044,0.0355308419331265,-0.545839190246592,-0.0092695500703443,0.126035078447044,1.23576514068547,0.529801324503311,0.286676768156698,0.0234093506696227
"ECFVFII.US.Equity",0.12147880647862,0.175249908099501,0.0301944308720787,-0.433502240760588,0.115418974212235,0.358976114374182,1.94171573171216,0.688741721854305,0.945906355042057,12.7301283150935
"ECFVFIN.VI.Equity",0.11319878296214,0.175693337717171,0.0305649481760827,-0.43828832307814,0.10298358842501,0.334473078736658,1.87101280821531,0.662251655629139,0.937330340431759,12.6849838210801
"ECFVFLP.US.Equity",0.121766743086516,0.175460131989808,0.0303066086819579,-0.434814556177775,0.115790474031494,0.358499387914681,1.94162888136371,0.688741721854305,0.910747935188316,12.5388140046038
"ECGLPAR.US.Equity",0.00614133649664805,0.141762933751911,0.0272197664213548,-0.297888910082128,-0.0894696172167544,0.0491773516998256,1.08419954652682,0.483443708609272,0.169444560570941,-0.491129852857815
"ECKFUTU.US.Equity",0.0475277703706443,0.131795222616891,0.0239664238091267,-0.254131298205642,-0.0107398736413857,0.191575963316161,1.37144387891776,0.589403973509934,0.141017133342225,0.189878568357268
"ECOSTCP.US.Equity",0.101190396849317,0.0696515744886052,0.011288812371911,-0.13907828541057,0.16241153062779,0.732190067394262,2.90811649594863,0.708609271523179,-0.478714387693142,1.03999693104435
"EDFAGFI.BH.Equity",0.0412499437299043,0.135941079951569,0.0259073458556597,-0.21921895420789,-0.0219226055826094,0.159788478036397,1.29059244982339,0.562913907284768,-0.134821207674493,-0.608496132364398
"EDFCURI.BH.Equity",0.0660176712236078,0.215868266960198,0.0389691052126277,-0.31578036215805,0.0361386130912836,0.18609630842041,1.34126600756171,0.543046357615894,0.164666083742751,-0.148182695726666
"EDFDFLI.BH.Equity",0.0450199558158586,0.123604335567677,0.0220220447514102,-0.293966789832931,-0.0195090626170685,0.195435413278004,1.35365844367581,0.556291390728477,0.216906940408074,0.212806567124561
"EDFDGLI.ID.Equity",0.0659383350085689,0.138535906705136,0.0236778182704057,-0.199130315708629,0.0280068502724323,0.258471717610283,1.46373782541867,0.543046357615894,0.317135987463401,0.262819844849466
"EDFGCFI.NA.Equity",0.0538662858983296,0.136903590396634,0.0243368049816576,-0.215080522969066,0.0037835854032662,0.211594324119607,1.38600716038792,0.56953642384106,0.284392351145435,0.625999185199602
"EDGWDLP.US.Equity",0.0715364926923192,0.102159960435886,0.0199037473495895,-0.308703763498345,0.0410821821771445,0.312079739673687,1.71590220416164,0.66887417218543,-0.823583281242272,2.33647055924441
"EGMEEGO.US.Equity",0.0414815567090601,0.0944845627449204,0.0169631787074512,-0.187670281568379,-0.0454802723019846,0.221627679494023,1.41142420642887,0.589403973509934,0.273328234979566,0.873413987697196
"EGMLASR.US.Equity",0.0323781348872949,0.0838837825130406,0.0160112048137985,-0.187658543050653,-0.0846429343137031,0.184268307738554,1.3468036742955,0.56953642384106,-0.183296167939736,-0.512996625165214
"EGMPART.US.Equity",0.0321752300162637,0.0867686031946323,0.0165236445124406,-0.189606195507119,-0.081674380447098,0.178787746452587,1.33205747182907,0.589403973509934,-0.157661270222331,-0.594185001065476
"ELCOENG.US.Equity",0.0511253920767556,0.217020553542734,0.045301757066636,-0.591601496994608,0.0187036582806481,0.136236547244937,1.30023563053236,0.622516556291391,-0.647929244376492,2.08008259751505
"ELCOSEL.US.Equity",0.0554662138085038,0.22771888218358,0.0466318985108743,-0.579745327940233,0.0260328830794801,0.143921180460402,1.31584916668796,0.615894039735099,-0.533273868202201,1.82554579816153
"EMEVALU.BM.Equity",-0.141567457019282,0.738186470821744,0.118887646582201,-0.969370085565632,0.0108844973659165,0.0615660576942154,1.12501012309228,0.437086092715232,1.84175298793648,7.71294457349398
"ENNESMI.KY.Equity",0.0824278580262672,0.0838023032546645,0.0155469816499487,-0.342375901652124,0.079158204846453,0.444778738607442,2.12818495940669,0.695364238410596,-0.768575153952091,1.73957240753442
"EQUINPA.US.Equity",0.133581980966279,0.240744242780151,0.0389065113125882,-0.557566108298673,0.112521136522916,0.329504422708828,1.63725845211838,0.56953642384106,0.69939384927486,2.23875194348673
"ESSGLSF.US.Equity",0.101540872266859,0.156759122188803,0.0298626524817377,-0.351198813359797,0.0912759994165232,0.305748579492147,1.73972529241335,0.655629139072848,-0.785282272576469,3.73843946120209
"ETCSTAN.US.Equity",0.0556866752892211,0.131095107763296,0.0235096950552193,-0.240019636994772,0.00614234643253204,0.222565640210811,1.43746193455512,0.602649006622517,0.153467741553228,0.277468890819688
"ETCSTPL.US.Equity",0.0574105101410851,0.151817629284578,0.0273436240252538,-0.280524439657585,0.0139020644535618,0.205140017943424,1.3993399339934,0.596026490066225,0.166506989852326,0.235073079810296
"EURSMCO.KY.Equity",0.0910279872820521,0.1211341332429,0.0228480904729099,-0.406712115767652,0.0829149449349059,0.345735849692819,1.81174295294203,0.642384105960265,-0.62075735159699,2.04272878148634
"EURUSDI.ID.Equity",0.096367525149492,0.0754542994787218,0.013830782621404,-0.233820412370785,0.134708248025666,0.57366135002259,2.68347052392849,0.728476821192053,-1.1013579539244,3.65253587715269
"FABRAFF.KY.Equity",0.103869410011768,0.342422412481844,0.0619924488352364,-0.760780787052923,0.0821765162635736,0.211687926944311,1.42888142384111,0.556291390728477,0.137013782266352,2.13863172471394
"FBDREOI.KY.Equity",0.0893243036286062,0.244553540765017,0.0481290643241883,-0.727007437233192,0.0669858296935291,0.202143279202038,1.46854032959466,0.582781456953642,-0.679811630109625,3.7279895751156
"FGOFGCC.KY.Equity",0.0815852896323357,0.102155344839905,0.0175126366793689,-0.17593774164407,0.0673794398136074,0.398969048917184,1.84241149599849,0.602649006622517,-0.060111201913484,0.206641203188001
"FGOFGDD.KY.Equity",0.0995815178599522,0.128779055118638,0.020526422214804,-0.171851135146805,0.0973369071363696,0.41987491590759,1.85460637087898,0.615894039735099,0.336016875967576,0.603983371997322
"FINEDGE.US.Equity",0.0682656884134956,0.117497302705963,0.0231554781707889,-0.475495706894474,0.0323279316732904,0.26328614383711,1.60184717252633,0.649006622516556,-0.708336325667424,1.41720300728018
"FOFIPAR.US.Equity",-0.0326028720676406,0.183883496497319,0.0395210750718454,-0.789519944321926,-0.119078458835672,-0.0334250365174027,0.930222063638653,0.490066225165563,-0.463999943198307,3.45260361374073
"FORABRE.VI.Equity",0.0279067353397944,0.11282538341048,0.0219709305237505,-0.432452023627582,-0.0667540685568604,0.128616665166495,1.27498872204679,0.543046357615894,-0.246815805454672,2.0271024123248
"FORGHDG.CN.Equity",0.102309805721041,0.140161047538425,0.0245107966355361,-0.259974895910051,0.0977878727829454,0.365414317603397,1.85426670355478,0.655629139072848,0.175953423994457,4.11893934349798
"FORTCON.US.Equity",0.0824168192692711,0.10109897427181,0.0172889326048745,-0.174146263092357,0.0699873123347762,0.407345153969868,1.86585809700068,0.602649006622517,-0.0565604334001005,0.274048762859661
"FORTDIV.US.Equity",0.101256606477228,0.128390502818655,0.0202840080559679,-0.166162846726209,0.100961041109491,0.430976646761014,1.8781847562797,0.615894039735099,0.356198690000795,0.647805678447333
"FPP395A.KY.Equity",-0.039913597825519,0.232920273022928,0.0531229235319006,-0.741018332198454,-0.088912597602742,-0.0184163645519306,0.957345652723139,0.543046357615894,-1.11397040760242,5.87186106244721
"FPPGEMD.KY.Equity",0.0199601628847288,0.0975328409606333,0.0242270144675989,-0.385300207543572,-0.103868062629197,0.0856714275167143,1.29201412505707,0.695364238410596,-4.00027699384619,24.7753100967661
"FRIVFLP.US.Equity",0.0654613364014776,0.176320633448283,0.0299407811128736,-0.307934786274424,0.0307060803136506,0.219196703822115,1.39309884145043,0.509933774834437,0.403169290746387,-0.0270054648452143
"FRTNHDG.KY.Equity",0.188228389872209,0.222851221207828,0.040350010134911,-0.467297170915,0.179549616437228,0.410178713126725,2.01401310789773,0.642384105960265,-0.424748395441694,1.38876701096057
"FTCFUTF.LX.Equity",0.0313463612927964,0.176401747505555,0.0324621303741831,-0.436469180030489,-0.0225738415670826,0.118614421691015,1.2061557172008,0.549668874172185,0.263586088435738,-0.341162615282646
"GAAOPPO.KY.Equity",-0.0391975729742856,0.225273913668748,0.0481225486611254,-0.63485368754289,-0.0944135886820072,-0.0236855274446558,0.947669734120862,0.470198675496689,-0.462769573656711,5.81253534371763
