,1171 HK Equity,,.CHCOALIN G Index,,CLSPCHQI Index,,1171 HK Equity,,.CHCOALIN G Index,,CLSPCHQI Index
5/27/2011,30.55,6/3/2011,16566000,2/10/2012,142.88,5/27/2011,0.8251,6/3/2011,-1.04,2/10/2012,-0.61
6/3/2011,30.1,6/10/2011,16791000,2/24/2012,142.32,6/3/2011,-1.473,6/10/2011,1.36,2/24/2012,-0.39
6/10/2011,29.8,6/17/2011,16746000,3/9/2012,141.64,6/10/2011,-0.9967,6/17/2011,-0.27,3/9/2012,-0.48
6/17/2011,28.7,6/24/2011,19284000,3/23/2012,142.45,6/17/2011,-3.6913,6/24/2011,15.16,3/23/2012,0.57
6/24/2011,30.05,7/1/2011,20314000,4/6/2012,142.87,6/24/2011,4.7038,7/1/2011,5.34,4/6/2012,0.29
7/1/2011,29.6,7/8/2011,21458000,4/20/2012,144.85,7/1/2011,-1.4975,7/8/2011,5.63,4/20/2012,1.39
7/8/2011,30.6,7/15/2011,21756000,5/4/2012,144.16,7/8/2011,3.3784,7/15/2011,1.39,5/4/2012,-0.48
7/15/2011,29.55,7/22/2011,21001000,5/18/2012,142.27,7/15/2011,-3.4314,7/22/2011,-3.47,5/18/2012,-1.31
7/22/2011,29.8,7/29/2011,21686872.8,6/1/2012,140.23,7/22/2011,0.846,7/29/2011,3.27,6/1/2012,-1.43
7/29/2011,29.9,8/5/2011,22431800,6/15/2012,137,7/29/2011,0.3356,8/5/2011,3.43,6/15/2012,-2.3
8/5/2011,27.3,8/12/2011,21821800,6/29/2012,127.29,8/5/2011,-8.6957,8/12/2011,-2.72,6/29/2012,-7.09
8/12/2011,23.4,8/19/2011,21255400,7/13/2012,121.99,8/12/2011,-14.2857,8/19/2011,-2.60,7/13/2012,-4.16
8/19/2011,23.1,8/26/2011,20981300,7/27/2012,117.55,8/19/2011,-1.2821,8/26/2011,-1.29,7/27/2012,-3.64
8/26/2011,19.78,9/2/2011,21122500,8/10/2012,116.24,8/26/2011,-14.3723,9/2/2011,0.67,8/10/2012,-1.11
9/2/2011,21.4,9/9/2011,20796100,8/24/2012,116.1,9/2/2011,8.1901,9/9/2011,-1.55,8/24/2012,-0.12
