Date,1171 HK equity,386 HK equity,857 HK equity,883 HK equity,005490 KS equity,2600 HK equity,5406 jp equity,6502 JP equity,1138 HK equity,6305 jp equity,6752 jp equity,105560 KS equity,2628 HK equity,8306 JP equity,8316 JP equity,8591 JP equity,8604 JP equity,055550 KS equity,2601 HK equity,1336 HK equity,8411 jp equity,8630 jp equity,8766 jp equity,2409 TT equity,FENG equity,IBM equity,762 HK equity,9984 jp equity,015760 KS equity,902 HK equity,8801 jp equity,esm7 index,nhm7 index
6/23/2016,0.0013,-0.3624,0.3717,-0.6154,0.243,-0.4086,2.2156,-0.5415,0.9042,0.0703,1.8429,1.5195,0.8327,1.4533,0.6961,0.4482,1.2218,0.7477,0.0013,-0.1825,0.8438,1.866,0.5602,0.3036,1.0471,1.5891,0.0013,0.1601,-0.7001,0.9341,0.1572,1.41,2.38
6/24/2016,-2.4515,-3.4746,-4.4354,-3.9371,-7.2495,-2.4767,-3.4621,-5.8532,-3.5869,-3.4795,-5.1635,-5.9189,-3.0699,-5.4208,-5.6893,-5.0094,-8.1236,-6.6392,-2.9033,-0.1919,-3.2091,-7.4862,-6.2153,-2.0675,-4.4041,-5.6389,-3.9051,-6.2869,-4.0679,-1.1167,-5.2778,-4.21,-5.35
6/27/2016,5.5986,1.0977,-1.5799,-1.2197,0.2173,2.4947,-0.8023,0.7343,-0.9638,-2.3883,-0.7519,-3.4454,-0.8863,-2.619,-1.3667,-2.7207,-5.3401,-0.6571,-0.831,-0.9583,-2.035,2.3678,-0.5405,1.5397,-3.252,-2.1079,0.4707,3.1283,0.3213,1.4587,-0.0259,-1.74,0.66
6/28/2016,0.0271,-0.1599,-0.7575,-0.0819,2.396,-0.3846,-2.0227,-2.9196,-0.6757,-1.1724,-2.4063,0.9534,-0.2181,-2.394,-2.3758,-2.7633,-2.4885,1.3814,0.0271,-0.1592,-2.6877,-2.1221,-2.1617,2.1166,1.1204,1.5331,-1.9911,-0.5998,3.0206,-1.6308,-0.6311,2.22,1.81
6/29/2016,-1.5772,2.2511,2.3755,1.9669,3.5874,0.4171,1.1801,6.6149,1.8907,2.3311,3.3587,2.534,0.9867,2.1443,1.5461,4.219,2.458,1.6871,1.0059,1.4965,1.8033,3.5817,6.3314,6.1057,0.554,1.8943,0.6474,2.4301,2.6461,-1.071,2.2479,1.92,1.17
6/30/2016,0.5959,2.5575,2.117,2.8811,-0.0804,-0.0064,-0.4555,-0.7428,1.1509,0.4261,-0.5909,-0.1388,1.0884,-1.02,-0.0798,-0.5695,0.6748,1.6386,3.5648,1.2802,-1.0559,-0.6396,-0.0994,7.0017,1.3774,2.2363,2.5509,-0.7811,0.6675,0.8374,-0.1772,1.15,-0.46
7/5/2016,-3.3643,-1.7908,-2.2543,-1.8575,-1.9736,-1.1653,2.1673,2.67,-0.6827,-0.5426,1.0446,-0.7926,-1.1977,-0.21,-0.4822,1.3791,0.7212,-1.1837,-2.2755,-2.6709,1.3791,0.3671,-0.1813,-0.0535,0.271,-0.4398,-1.2445,-0.1503,-0.6244,-3.085,0.226,-0.66,0.18
7/6/2016,1.0204,-2.3551,-1.7208,-1.0449,-3.5053,1.1673,-2.2663,-4.0658,-3.8288,-2.2566,-3.1439,-2.6766,-1.5606,-3.5145,-2.2857,-4.9993,-4.386,-1.9619,-1.7375,-1.4572,-2.5667,-0.1824,-1.975,-2.2615,-1.3514,0.4549,-1.7478,-1.9207,-0.3849,-2.537,-5.2968,0.52,-0.41
7/7/2016,2.4256,1.8566,2.3359,1.5853,1.0831,1.5398,-0.459,-0.954,1.1723,1.1105,1.0585,1.4369,0.4891,0.8478,0.7549,-0.4267,0.1584,0.8723,0.7872,0.5558,1.1774,-1.7448,0.3004,2.4202,3.5616,0.1509,3.1779,-0.7349,0.1645,-0.8664,-1.3475,-0.12,0.22
7/11/2016,2.1926,3.1495,1.5309,1.055,2.9818,1.8953,2.6021,3.4565,0.6894,3.6514,5.5497,0.8459,1.3493,1.8919,0.5092,2.4047,3.6842,0.5461,2.1752,0.8411,0.7923,1.6114,3.7863,2.1634,2.6042,0.5633,-1.2519,2.8854,0.9196,0.6739,3.6834,0.49,2.58
