,992 HK Equity,,2018 HK Equity,,2038 HK Equity,,981 HK Equity,,3888 HK Equity,,696 HK Equity,,285 HK Equity,,2369 HK Equity,,354 HK Equity,,268 HK Equity,,1900 HK Equity,,161 HK Equity,,74 HK Equity,,1075 HK Equity,,877 HK Equity
4/26/2011,0.5855,4/26/2011,2.68945,4/26/2011,0.60738,4/26/2011,0.07978,4/26/2011,0.65499,4/26/2011,0.67258,4/26/2011,0.57135,4/26/2011,0.40921,4/26/2011,0.2535,4/26/2011,0.63569,,,4/26/2011,0.46197,4/26/2011,0.50701,4/26/2011,0.0534,4/23/2013,0.2138
4/27/2011,0.58821,4/27/2011,2.60638,4/27/2011,0.60365,4/27/2011,0.08366,4/27/2011,0.66028,4/27/2011,0.67959,4/27/2011,0.56246,4/27/2011,0.40158,4/27/2011,0.25098,4/27/2011,0.65256,,,4/27/2011,0.46722,4/27/2011,0.50197,4/27/2011,0.05341,4/24/2013,0.2241
4/28/2011,0.58306,4/28/2011,2.58707,4/28/2011,0.5985,4/28/2011,0.08366,4/28/2011,0.65771,4/28/2011,0.66071,4/28/2011,0.54573,4/28/2011,0.38484,4/28/2011,0.2497,4/28/2011,0.63197,,,4/28/2011,0.46336,4/28/2011,0.49425,4/28/2011,0.05277,4/25/2013,0.2228
4/29/2011,0.58193,4/29/2011,2.61355,4/29/2011,0.58966,4/29/2011,0.09012,4/29/2011,0.65146,4/29/2011,0.67292,4/29/2011,0.53559,4/29/2011,0.38624,4/29/2011,0.24591,4/29/2011,0.64116,,,4/29/2011,0.4622,4/29/2011,0.49696,4/29/2011,0.05407,4/26/2013,0.22283
5/3/2011,0.5729,5/3/2011,2.6392,5/3/2011,0.56646,5/3/2011,0.09913,5/3/2011,0.67332,5/3/2011,0.68576,5/3/2011,0.55101,5/3/2011,0.37721,5/3/2011,0.24847,5/3/2011,0.6244,,,5/3/2011,0.45961,5/3/2011,0.49051,5/3/2011,0.05278,4/29/2013,0.21904
5/4/2011,0.55734,5/4/2011,2.62582,5/4/2011,0.56507,5/4/2011,0.09525,5/4/2011,0.67319,5/4/2011,0.67362,5/4/2011,0.53804,5/4/2011,0.37328,5/4/2011,0.24456,5/4/2011,0.60883,,,5/4/2011,0.46853,5/4/2011,0.48655,5/4/2011,0.05277,4/30/2013,0.2255
5/5/2011,0.55455,5/5/2011,2.69557,5/5/2011,0.55841,5/5/2011,0.0965,5/5/2011,0.65749,5/5/2011,0.6785,5/5/2011,0.55069,5/5/2011,0.37313,5/5/2011,0.24061,5/5/2011,0.61889,,,5/5/2011,0.47092,5/5/2011,0.48507,5/5/2011,0.05275,5/2/2013,0.232
5/6/2011,0.55714,5/6/2011,2.64414,5/6/2011,0.57129,5/6/2011,0.09521,5/6/2011,0.65621,5/6/2011,0.66993,5/6/2011,0.54041,5/6/2011,0.37571,5/6/2011,0.23675,5/6/2011,0.61504,,,5/6/2011,0.46707,5/6/2011,0.49409,5/6/2011,0.05468,5/3/2013,0.23069
5/9/2011,0.56097,5/9/2011,2.71477,5/9/2011,0.57512,5/9/2011,0.11065,5/9/2011,0.66518,5/9/2011,0.67162,5/9/2011,0.53523,5/9/2011,0.37183,5/9/2011,0.24446,5/9/2011,0.63559,,,5/9/2011,0.4709,5/9/2011,0.49406,5/9/2011,0.05211,5/6/2013,0.22294
5/11/2011,0.56616,5/11/2011,2.77935,5/11/2011,0.57131,5/11/2011,0.11709,5/11/2011,0.68068,5/11/2011,0.67425,5/11/2011,0.5623,5/11/2011,0.37058,5/11/2011,0.24191,5/11/2011,0.63565,,,5/11/2011,0.47867,5/11/2011,0.49411,5/11/2011,0.05469,5/7/2013,0.21905
