,992 HK Equity,,2018 HK Equity,,2038 HK Equity,,981 HK Equity,,3888 HK Equity,,696 HK Equity,,285 HK Equity,,2369 HK Equity,,354 HK Equity,,268 HK Equity,,1900 HK Equity,,161 HK Equity,,74 HK Equity,,1075 HK Equity,,877 HK Equity
2/13/2009,0.21024,2/13/2009,0.37662,2/13/2009,0.34051,2/13/2009,0.03289,2/13/2009,0.38178,2/13/2009,0.27602,2/13/2009,0.33535,2/13/2009,0.05224,2/13/2009,0.07223,2/13/2009,0.08384,4/15/2011,0.557,2/13/2009,0.22314,2/13/2009,0.10447,2/13/2009,0.01806,1/28/2011,0.60951
2/16/2009,0.20249,2/16/2009,0.38048,2/16/2009,0.33276,2/16/2009,0.03224,2/16/2009,0.37403,2/16/2009,0.27515,2/16/2009,0.33663,2/16/2009,0.05095,2/16/2009,0.07352,2/16/2009,0.09673,4/18/2011,0.55421,2/16/2009,0.22829,2/16/2009,0.10318,2/16/2009,0.02025,1/31/2011,0.60688
2/17/2009,0.19215,2/17/2009,0.37012,2/17/2009,0.32498,2/17/2009,0.03482,2/17/2009,0.36754,2/17/2009,0.27082,2/17/2009,0.3353,2/17/2009,0.05223,2/17/2009,0.0748,2/17/2009,0.0935,4/19/2011,0.52199,2/17/2009,0.22955,2/17/2009,0.10059,2/17/2009,0.01999,2/1/2011,0.62627
2/18/2009,0.19212,2/18/2009,0.37392,2/18/2009,0.34685,2/18/2009,0.03739,2/18/2009,0.36748,2/18/2009,0.27765,2/18/2009,0.33266,2/18/2009,0.05351,2/18/2009,0.07221,2/18/2009,0.09133,4/20/2011,0.50959,2/18/2009,0.22435,2/18/2009,0.10315,2/18/2009,0.01999,2/2/2011,0.62281
2/19/2009,0.19599,2/19/2009,0.38425,2/19/2009,0.34299,2/19/2009,0.03804,2/19/2009,0.3662,2/19/2009,0.27938,2/19/2009,0.34041,2/19/2009,0.05609,2/19/2009,0.0735,2/19/2009,0.09671,4/21/2011,0.50979,2/19/2009,0.22565,2/19/2009,0.10187,2/19/2009,0.01883,2/7/2011,0.65524
2/20/2009,0.19346,2/20/2009,0.37789,2/20/2009,0.32888,2/20/2009,0.03547,2/20/2009,0.36242,2/20/2009,0.27428,2/20/2009,0.33533,2/20/2009,0.05417,2/20/2009,0.07223,2/20/2009,0.09458,4/26/2011,0.48899,2/20/2009,0.22055,2/20/2009,0.09931,2/20/2009,0.01883,2/8/2011,0.65139
2/23/2009,0.19477,2/23/2009,0.38566,2/23/2009,0.33407,2/23/2009,0.03612,2/23/2009,0.35729,2/23/2009,0.27431,2/23/2009,0.33149,2/23/2009,0.05224,2/23/2009,0.07094,2/23/2009,0.09459,4/27/2011,0.49039,2/23/2009,0.22056,2/23/2009,0.10706,2/23/2009,0.01883,2/9/2011,0.62557
2/24/2009,0.18314,2/24/2009,0.37273,2/24/2009,0.31728,2/24/2009,0.03482,2/24/2009,0.34694,2/24/2009,0.27514,2/24/2009,0.3263,2/24/2009,0.05159,2/24/2009,0.07094,2/24/2009,0.09351,4/28/2011,0.4994,2/24/2009,0.21926,2/24/2009,0.10318,2/24/2009,0.01831,2/10/2011,0.61876
2/25/2009,0.18441,2/25/2009,0.38558,2/25/2009,0.31466,2/25/2009,0.03675,2/25/2009,0.34561,2/25/2009,0.27081,2/25/2009,0.3211,2/25/2009,0.04965,2/25/2009,0.06577,2/25/2009,0.09134,4/29/2011,0.49181,2/25/2009,0.2231,2/25/2009,0.10961,2/25/2009,0.01883,2/11/2011,0.62724
2/26/2009,0.18442,2/26/2009,0.38689,2/26/2009,0.30177,2/26/2009,0.03482,2/26/2009,0.34691,2/26/2009,0.25964,2/26/2009,0.32241,2/26/2009,0.04836,2/26/2009,0.06706,2/26/2009,0.08812,5/3/2011,0.49437,2/26/2009,0.2231,2/26/2009,0.10317,2/26/2009,0.01741,2/14/2011,0.64136
2/27/2009,0.18567,2/27/2009,0.40101,2/27/2009,0.29656,2/27/2009,0.03481,2/27/2009,0.33782,2/27/2009,0.26132,2/27/2009,0.35072,2/27/2009,0.04706,2/27/2009,0.06705,2/27/2009,0.08489,5/4/2011,0.48269,2/27/2009,0.2192,2/27/2009,0.10315,2/27/2009,0.01844,2/15/2011,0.67104
3/2/2009,0.1779,3/2/2009,0.38029,3/2/2009,0.29649,3/2/2009,0.03287,3/2/2009,0.32357,3/2/2009,0.25267,3/2/2009,0.33904,3/2/2009,0.04447,3/2/2009,0.06446,3/2/2009,0.08487,5/5/2011,0.47092,3/2/2009,0.21915,3/2/2009,0.09539,3/2/2009,0.01727,2/16/2011,0.70986
3/3/2009,0.18043,3/3/2009,0.36731,3/3/2009,0.30029,3/3/2009,0.03351,3/3/2009,0.30802,3/3/2009,0.25174,3/3/2009,0.33637,3/3/2009,0.04704,3/3/2009,0.06315,3/3/2009,0.09129,5/6/2011,0.47093,3/3/2009,0.21394,3/3/2009,0.09666,3/3/2009,0.01791,2/17/2011,0.73323
3/4/2009,0.18944,3/4/2009,0.40336,3/4/2009,0.33248,3/4/2009,0.03415,3/4/2009,0.33248,3/4/2009,0.26633,3/4/2009,0.33763,3/4/2009,0.04961,3/4/2009,0.06057,3/4/2009,0.09558,5/9/2011,0.47991,3/4/2009,0.20877,3/4/2009,0.10309,3/4/2009,0.01997,2/18/2011,0.75533
3/5/2009,0.19466,3/5/2009,0.40737,3/5/2009,0.32744,3/5/2009,0.03416,3/5/2009,0.33518,3/5/2009,0.26298,3/5/2009,0.3326,3/5/2009,0.04899,3/5/2009,0.06252,3/5/2009,0.09561,5/11/2011,0.4851,3/5/2009,0.21142,3/5/2009,0.10442,3/5/2009,0.01959,2/21/2011,0.75669
3/6/2009,0.19083,3/6/2009,0.40874,3/6/2009,0.33138,3/6/2009,0.03352,3/6/2009,0.3288,3/6/2009,0.27421,3/6/2009,0.3404,3/6/2009,0.04706,3/6/2009,0.0606,3/6/2009,0.09241,5/12/2011,0.47348,3/6/2009,0.21275,3/6/2009,0.10186,3/6/2009,0.01999,2/22/2011,0.69426
3/9/2009,0.18695,3/9/2009,0.38679,3/9/2009,0.28235,3/9/2009,0.03223,3/9/2009,0.33779,3/9/2009,0.26559,3/9/2009,0.34295,3/9/2009,0.04577,3/9/2009,0.05931,3/9/2009,0.0924,5/13/2011,0.4696,3/9/2009,0.21273,3/9/2009,0.09541,3/9/2009,0.01934,2/23/2011,0.71068
3/10/2009,0.18952,3/10/2009,0.38678,3/10/2009,0.27848,3/10/2009,0.03223,3/10/2009,0.34552,3/10/2009,0.27332,3/10/2009,0.3365,3/10/2009,0.04706,3/10/2009,0.0606,3/10/2009,0.09132,5/16/2011,0.47187,3/10/2009,0.20628,3/10/2009,0.09412,3/10/2009,0.01908,2/24/2011,0.66952
3/11/2009,0.19728,3/11/2009,0.38941,3/11/2009,0.28883,3/11/2009,0.03224,3/11/2009,0.34815,3/11/2009,0.26906,3/11/2009,0.3417,3/11/2009,0.04706,3/11/2009,0.06447,3/11/2009,0.09348,5/17/2011,0.46046,3/11/2009,0.20244,3/11/2009,0.09671,3/11/2009,0.01973,2/25/2011,0.71461
3/12/2009,0.19732,3/12/2009,0.40625,3/12/2009,0.29921,3/12/2009,0.03353,3/12/2009,0.34048,3/12/2009,0.26482,3/12/2009,0.34306,3/12/2009,0.04707,3/12/2009,0.06255,3/12/2009,0.09243,5/18/2011,0.46172,3/12/2009,0.19861,3/12/2009,0.09673,3/12/2009,0.01909,2/28/2011,0.74726
3/13/2009,0.19606,3/13/2009,0.40373,3/13/2009,0.3186,3/13/2009,0.03354,3/13/2009,0.34827,3/13/2009,0.27259,3/13/2009,0.34698,3/13/2009,0.04837,3/13/2009,0.06449,3/13/2009,0.09459,5/19/2011,0.46948,3/13/2009,0.19993,3/13/2009,0.09932,3/13/2009,0.01909,3/1/2011,0.72403
3/16/2009,0.21543,3/16/2009,0.42828,3/16/2009,0.36765,3/16/2009,0.03418,3/16/2009,0.35088,3/16/2009,0.28036,3/16/2009,0.3483,3/16/2009,0.04966,3/16/2009,0.0645,3/16/2009,0.0946,5/20/2011,0.45276,3/16/2009,0.20382,3/16/2009,0.09933,3/16/2009,0.01948,3/2/2011,0.68799
3/17/2009,0.21928,3/17/2009,0.41277,3/17/2009,0.3573,3/17/2009,0.03418,3/17/2009,0.34698,3/17/2009,0.2812,3/17/2009,0.34698,3/17/2009,0.0516,3/17/2009,0.0645,3/17/2009,0.09567,5/23/2011,0.42686,3/17/2009,0.2167,3/17/2009,0.09674,3/17/2009,0.01948,3/3/2011,0.72278
3/18/2009,0.23477,3/18/2009,0.42568,3/18/2009,0.36505,3/18/2009,0.03612,3/18/2009,0.34699,3/18/2009,0.28981,3/18/2009,0.36118,3/18/2009,0.05031,3/18/2009,0.06708,3/18/2009,0.09675,5/24/2011,0.42689,3/18/2009,0.21413,3/18/2009,0.09804,3/18/2009,0.01935,3/4/2011,0.7332
3/19/2009,0.22706,3/19/2009,0.44122,3/19/2009,0.36639,3/19/2009,0.03612,3/19/2009,0.37285,3/19/2009,0.29587,3/19/2009,0.35994,3/19/2009,0.05031,3/19/2009,0.06709,3/19/2009,0.09783,5/25/2011,0.42916,3/19/2009,0.21932,3/19/2009,0.09676,3/19/2009,0.02064,3/7/2011,0.76289
3/20/2009,0.22709,3/20/2009,0.4387,3/20/2009,0.37805,3/20/2009,0.03419,3/20/2009,0.38064,3/20/2009,0.28558,3/20/2009,0.36773,3/20/2009,0.04968,3/20/2009,0.06839,3/20/2009,0.0957,5/26/2011,0.42771,3/20/2009,0.21419,3/20/2009,0.09806,3/20/2009,0.01987,3/8/2011,0.76011
3/23/2009,0.23612,3/23/2009,0.4645,3/23/2009,0.40773,3/23/2009,0.03677,3/23/2009,0.40127,3/23/2009,0.3045,3/23/2009,0.37031,3/23/2009,0.05097,3/23/2009,0.07096,3/23/2009,0.1,5/27/2011,0.42265,3/23/2009,0.21806,3/23/2009,0.09806,3/23/2009,0.02129,3/9/2011,0.72817
3/24/2009,0.24774,3/24/2009,0.4658,3/24/2009,0.43999,3/24/2009,0.03742,3/24/2009,0.39483,3/24/2009,0.30967,3/24/2009,0.37419,3/24/2009,0.05032,3/24/2009,0.07097,3/24/2009,0.1,5/30/2011,0.40235,3/24/2009,0.21419,3/24/2009,0.10839,3/24/2009,0.02323,3/10/2011,0.71382
3/25/2009,0.24258,3/25/2009,0.44516,3/25/2009,0.44128,3/25/2009,0.03613,3/25/2009,0.38709,3/25/2009,0.30623,3/25/2009,0.38064,3/25/2009,0.05613,3/25/2009,0.07226,3/25/2009,0.1,5/31/2011,0.41016,3/25/2009,0.21032,3/25/2009,0.10839,3/25/2009,0.02077,3/11/2011,0.74602
3/26/2009,0.24774,3/26/2009,0.47741,3/26/2009,0.46322,3/26/2009,0.03677,3/26/2009,0.39741,3/26/2009,0.30967,3/26/2009,0.38838,3/26/2009,0.05548,3/26/2009,0.06968,3/26/2009,0.10645,6/1/2011,0.414,3/26/2009,0.21935,3/26/2009,0.10839,3/26/2009,0.02194,3/14/2011,0.74702
3/27/2009,0.2516,3/27/2009,0.4903,3/27/2009,0.4632,3/27/2009,0.04,3/27/2009,0.38579,3/27/2009,0.3045,3/27/2009,0.3703,3/27/2009,0.05484,3/27/2009,0.07354,3/27/2009,0.11182,6/2/2011,0.40874,3/27/2009,0.22579,3/27/2009,0.10838,3/27/2009,0.02219,3/15/2011,0.713
3/30/2009,0.23354,3/30/2009,0.47096,3/30/2009,0.39741,3/30/2009,0.03871,3/30/2009,0.41934,3/30/2009,0.30193,3/30/2009,0.35096,3/30/2009,0.05226,3/30/2009,0.07355,3/30/2009,0.10752,6/3/2011,0.42816,3/30/2009,0.22064,3/30/2009,0.10322,3/30/2009,0.02232,3/16/2011,0.72449
3/31/2009,0.22967,3/31/2009,0.47096,3/31/2009,0.42322,3/31/2009,0.03806,3/31/2009,0.41677,3/31/2009,0.30623,3/31/2009,0.35354,3/31/2009,0.05226,3/31/2009,0.07484,3/31/2009,0.10753,6/7/2011,0.43189,3/31/2009,0.21935,3/31/2009,0.10581,3/31/2009,0.02181,3/17/2011,0.69077
4/1/2009,0.23871,4/1/2009,0.4787,4/1/2009,0.43354,4/1/2009,0.03742,4/1/2009,0.41548,4/1/2009,0.30967,4/1/2009,0.35483,4/1/2009,0.05742,4/1/2009,0.07613,4/1/2009,0.10645,6/8/2011,0.41637,4/1/2009,0.21806,4/1/2009,0.10968,4/1/2009,0.02297,3/18/2011,0.70251
4/2/2009,0.26322,4/2/2009,0.51612,4/2/2009,0.44387,4/2/2009,0.03806,4/2/2009,0.42451,4/2/2009,0.31656,4/2/2009,0.38064,4/2/2009,0.05677,4/2/2009,0.07742,4/2/2009,0.11075,6/9/2011,0.41113,4/2/2009,0.23226,4/2/2009,0.11613,4/2/2009,0.02452,3/21/2011,0.70018
4/3/2009,0.26709,4/3/2009,0.55225,4/3/2009,0.42064,4/3/2009,0.04,4/3/2009,0.46451,4/3/2009,0.31828,4/3/2009,0.38709,4/3/2009,0.0671,4/3/2009,0.07742,4/3/2009,0.12258,6/10/2011,0.41109,4/3/2009,0.23484,4/3/2009,0.11871,4/3/2009,0.02903,3/22/2011,0.70435
4/6/2009,0.29031,4/6/2009,0.56642,4/6/2009,0.42966,4/6/2009,0.03935,4/6/2009,0.45804,4/6/2009,0.32256,4/6/2009,0.38708,4/6/2009,0.0658,4/6/2009,0.08258,4/6/2009,0.1258,6/13/2011,0.41102,4/6/2009,0.23741,4/6/2009,0.11741,4/6/2009,0.02826,3/23/2011,0.70059
4/7/2009,0.27741,4/7/2009,0.57418,4/7/2009,0.45289,4/7/2009,0.03871,4/7/2009,0.43741,4/7/2009,0.32171,4/7/2009,0.37676,4/7/2009,0.06322,4/7/2009,0.08129,4/7/2009,0.12473,6/14/2011,0.41752,4/7/2009,0.24386,4/7/2009,0.11613,4/7/2009,0.02852,3/24/2011,0.69163
4/8/2009,0.24645,4/8/2009,0.55095,4/8/2009,0.43999,4/8/2009,0.03871,4/8/2009,0.41289,4/8/2009,0.30623,4/8/2009,0.35999,4/8/2009,0.06,4/8/2009,0.08,4/8/2009,0.12795,6/15/2011,0.41337,4/8/2009,0.23225,4/8/2009,0.11871,4/8/2009,0.02968,3/25/2011,0.65821
4/9/2009,0.25289,4/9/2009,0.52643,4/9/2009,0.45676,4/9/2009,0.03806,4/9/2009,0.41805,4/9/2009,0.31053,4/9/2009,0.35741,4/9/2009,0.06322,4/9/2009,0.08258,4/9/2009,0.12473,6/16/2011,0.38472,4/9/2009,0.28128,4/9/2009,0.12645,4/9/2009,0.03484,3/28/2011,0.67695
4/14/2009,0.26709,4/14/2009,0.54451,4/14/2009,0.50064,4/14/2009,0.04,4/14/2009,0.4387,4/14/2009,0.35096,4/14/2009,0.3729,4/14/2009,0.05935,4/14/2009,0.08129,4/14/2009,0.12473,6/17/2011,0.38244,4/14/2009,0.29419,4/14/2009,0.14322,4/14/2009,0.03871,3/29/2011,0.66863
4/15/2009,0.30064,4/15/2009,0.54966,4/15/2009,0.53934,4/15/2009,0.04387,4/15/2009,0.45676,4/15/2009,0.34236,4/15/2009,0.3716,4/15/2009,0.05677,4/15/2009,0.08645,4/15/2009,0.1301,6/20/2011,0.37216,4/15/2009,0.29806,4/15/2009,0.14838,4/15/2009,0.03677,3/30/2011,0.65647
4/16/2009,0.2916,4/16/2009,0.51611,4/16/2009,0.51611,4/16/2009,0.04258,4/16/2009,0.44256,4/16/2009,0.34751,4/16/2009,0.39869,4/16/2009,0.06,4/16/2009,0.08,4/16/2009,0.1258,6/21/2011,0.35817,4/16/2009,0.29676,4/16/2009,0.14709,4/16/2009,0.03419,3/31/2011,0.66096
4/17/2009,0.30064,4/17/2009,0.53806,4/17/2009,0.54709,4/17/2009,0.04323,4/17/2009,0.45935,4/17/2009,0.35698,4/17/2009,0.46451,4/17/2009,0.05742,4/17/2009,0.08129,4/17/2009,0.14086,6/22/2011,0.36338,4/17/2009,0.29419,4/17/2009,0.14709,4/17/2009,0.03548,4/1/2011,0.65563
4/20/2009,0.29677,4/20/2009,0.53161,4/20/2009,0.53161,4/20/2009,0.04064,4/20/2009,0.49161,4/20/2009,0.36989,4/20/2009,0.46322,4/20/2009,0.05548,4/20/2009,0.08387,4/20/2009,0.16129,6/23/2011,0.36969,4/20/2009,0.27871,4/20/2009,0.15226,4/20/2009,0.03484,4/4/2011,0.66909
4/21/2009,0.27871,4/21/2009,0.53161,4/21/2009,0.5329,4/21/2009,0.04,4/21/2009,0.48903,4/21/2009,0.37849,4/21/2009,0.49419,4/21/2009,0.05677,4/21/2009,0.08258,4/21/2009,0.15161,6/24/2011,0.38137,4/21/2009,0.27613,4/21/2009,0.1458,4/21/2009,0.03355,4/6/2011,0.68829
4/22/2009,0.28,4/22/2009,0.53161,4/22/2009,0.50967,4/22/2009,0.03871,4/22/2009,0.47612,4/22/2009,0.36989,4/22/2009,0.47741,4/22/2009,0.05419,4/22/2009,0.08387,4/22/2009,0.13871,6/27/2011,0.38779,4/22/2009,0.2658,4/22/2009,0.14193,4/22/2009,0.03123,4/7/2011,0.68334
4/23/2009,0.29161,4/23/2009,0.55483,4/23/2009,0.54967,4/23/2009,0.03935,4/23/2009,0.49032,4/23/2009,0.36043,4/23/2009,0.4929,4/23/2009,0.05548,4/23/2009,0.08387,4/23/2009,0.14193,6/28/2011,0.39302,4/23/2009,0.28129,4/23/2009,0.17419,4/23/2009,0.03548,4/8/2011,0.67082
4/24/2009,0.29677,4/24/2009,0.56257,4/24/2009,0.60257,4/24/2009,0.04,4/24/2009,0.47999,4/24/2009,0.36387,4/24/2009,0.53935,4/24/2009,0.05871,4/24/2009,0.08,4/24/2009,0.15054,6/29/2011,0.39314,4/24/2009,0.27742,4/24/2009,0.17419,4/24/2009,0.03484,4/11/2011,0.67318
4/27/2009,0.26322,4/27/2009,0.51741,4/27/2009,0.58064,4/27/2009,0.03742,4/27/2009,0.45677,4/27/2009,0.33118,4/27/2009,0.5058,4/27/2009,0.05419,4/27/2009,0.08,4/27/2009,0.13871,6/30/2011,0.39454,4/27/2009,0.26064,4/27/2009,0.16258,4/27/2009,0.03097,4/12/2011,0.6625
4/28/2009,0.26836,4/28/2009,0.51607,4/28/2009,0.54316,4/28/2009,0.03419,4/28/2009,0.44124,4/28/2009,0.3191,4/28/2009,0.46833,4/28/2009,0.05354,4/28/2009,0.07741,4/28/2009,0.13439,7/4/2011,0.42932,4/28/2009,0.24513,4/28/2009,0.16514,4/28/2009,0.03225,4/13/2011,0.65847
4/29/2009,0.27741,4/29/2009,0.52902,4/29/2009,0.52386,4/29/2009,0.03677,4/29/2009,0.44773,4/29/2009,0.34236,4/29/2009,0.49676,4/29/2009,0.05484,4/29/2009,0.07871,4/29/2009,0.13978,7/5/2011,0.42674,4/29/2009,0.2529,4/29/2009,0.18064,4/29/2009,0.03032,4/14/2011,0.65597
4/30/2009,0.27484,4/30/2009,0.54451,4/30/2009,0.62322,4/30/2009,0.03935,4/30/2009,0.45548,4/30/2009,0.35268,4/30/2009,0.51225,4/30/2009,0.05548,4/30/2009,0.07742,4/30/2009,0.14193,7/6/2011,0.41761,4/30/2009,0.2529,4/30/2009,0.19097,4/30/2009,0.03213,4/15/2011,0.65219
5/4/2009,0.30193,5/4/2009,0.55096,5/4/2009,0.73418,5/4/2009,0.04129,5/4/2009,0.48386,5/4/2009,0.35182,5/4/2009,0.56257,5/4/2009,0.05677,5/4/2009,0.08129,5/4/2009,0.14516,7/7/2011,0.41753,5/4/2009,0.25806,5/4/2009,0.20516,5/4/2009,0.03097,4/18/2011,0.64294
5/5/2009,0.31871,5/5/2009,0.55612,5/5/2009,0.69935,5/5/2009,0.04129,5/5/2009,0.48386,5/5/2009,0.35354,5/5/2009,0.62451,5/5/2009,0.05677,5/5/2009,0.08,5/5/2009,0.14301,7/8/2011,0.40859,5/5/2009,0.27096,5/5/2009,0.21032,5/5/2009,0.03097,4/19/2011,0.6197
5/6/2009,0.32258,5/6/2009,0.56902,5/6/2009,0.73547,5/6/2009,0.04258,5/6/2009,0.48903,5/6/2009,0.35526,5/6/2009,0.6658,5/6/2009,0.05935,5/6/2009,0.08258,5/6/2009,0.16021,7/11/2011,0.39673,5/6/2009,0.30193,5/6/2009,0.20903,5/6/2009,0.0329,4/20/2011,0.63956
5/7/2009,0.32258,5/7/2009,0.60644,5/7/2009,0.7058,5/7/2009,0.04193,5/7/2009,0.52903,5/7/2009,0.35784,5/7/2009,0.6516,5/7/2009,0.05677,5/7/2009,0.0929,5/7/2009,0.16666,7/12/2011,0.36563,5/7/2009,0.29032,5/7/2009,0.20903,5/7/2009,0.03213,4/21/2011,0.62694
5/8/2009,0.37935,5/8/2009,0.66193,5/8/2009,0.70193,5/8/2009,0.04452,5/8/2009,0.58322,5/8/2009,0.35268,5/8/2009,0.6516,5/8/2009,0.05806,5/8/2009,0.08903,5/8/2009,0.16344,7/13/2011,0.36463,5/8/2009,0.30322,5/8/2009,0.21032,5/8/2009,0.03226,4/26/2011,0.61124
5/11/2009,0.36903,5/11/2009,0.64515,5/11/2009,0.66967,5/11/2009,0.04129,5/11/2009,0.53419,5/11/2009,0.35268,5/11/2009,0.66451,5/11/2009,0.06064,5/11/2009,0.09032,5/11/2009,0.15054,7/14/2011,0.35569,5/11/2009,0.30193,5/11/2009,0.20258,5/11/2009,0.0311,4/27/2011,0.58563
5/12/2009,0.37806,5/12/2009,0.64128,5/12/2009,0.65031,5/12/2009,0.04258,5/12/2009,0.53548,5/12/2009,0.35526,5/12/2009,0.63612,5/12/2009,0.06,5/12/2009,0.09032,5/12/2009,0.14839,7/15/2011,0.35539,5/12/2009,0.31225,5/12/2009,0.20258,5/12/2009,0.03071,4/28/2011,0.57276
5/13/2009,0.36903,5/13/2009,0.63225,5/13/2009,0.66322,5/13/2009,0.04387,5/13/2009,0.54838,5/13/2009,0.34924,5/13/2009,0.6516,5/13/2009,0.05935,5/13/2009,0.08903,5/13/2009,0.15699,7/18/2011,0.37195,5/13/2009,0.33032,5/13/2009,0.20129,5/13/2009,0.03213,4/29/2011,0.5652
5/14/2009,0.3445,5/14/2009,0.6632,5/14/2009,0.62965,5/14/2009,0.04258,5/14/2009,0.56385,5/14/2009,0.35095,5/14/2009,0.62965,5/14/2009,0.05871,5/14/2009,0.08516,5/14/2009,0.15483,7/19/2011,0.3656,5/14/2009,0.32773,5/14/2009,0.19612,5/14/2009,0.02839,5/3/2011,0.58706
5/15/2009,0.37155,5/15/2009,0.73407,5/15/2009,0.66698,5/15/2009,0.04257,5/15/2009,0.60635,5/15/2009,0.37155,5/15/2009,0.63731,5/15/2009,0.05934,5/15/2009,0.0916,5/15/2009,0.15589,7/20/2011,0.36446,5/15/2009,0.3393,5/15/2009,0.20642,5/15/2009,0.03032,5/4/2011,0.56378
5/18/2009,0.37277,5/18/2009,0.72232,5/18/2009,0.70426,5/18/2009,0.04321,5/18/2009,0.61397,5/18/2009,0.36804,5/18/2009,0.64364,5/18/2009,0.06256,5/18/2009,0.09416,5/18/2009,0.16661,7/21/2011,0.36322,5/18/2009,0.35084,5/18/2009,0.20122,5/18/2009,0.03096,5/5/2011,0.53525
5/19/2009,0.37023,5/19/2009,0.77012,5/19/2009,0.73529,5/19/2009,0.04515,5/19/2009,0.63725,5/19/2009,0.3612,5/19/2009,0.67079,5/19/2009,0.06127,5/19/2009,0.1032,5/19/2009,0.1634,7/22/2011,0.3684,5/19/2009,0.35862,5/19/2009,0.20511,5/19/2009,0.03096,5/6/2011,0.54556
5/20/2009,0.40119,5/20/2009,0.80367,5/20/2009,0.71595,5/20/2009,0.04773,5/20/2009,0.65403,5/20/2009,0.36808,5/20/2009,0.68112,5/20/2009,0.06192,5/20/2009,0.10578,5/20/2009,0.16018,7/25/2011,0.34136,5/20/2009,0.3612,5/20/2009,0.2064,5/20/2009,0.03677,5/9/2011,0.54038
5/21/2009,0.3857,5/21/2009,0.83847,5/21/2009,0.67981,5/21/2009,0.04837,5/21/2009,0.76881,5/21/2009,0.37151,5/21/2009,0.67078,5/21/2009,0.06063,5/21/2009,0.1032,5/21/2009,0.16017,7/26/2011,0.34274,5/21/2009,0.34055,5/21/2009,0.21671,5/21/2009,0.03741,5/11/2011,0.52628
5/22/2009,0.36119,5/22/2009,0.79719,5/22/2009,0.67078,5/22/2009,0.04708,5/22/2009,0.71335,5/22/2009,0.35947,5/22/2009,0.68755,5/22/2009,0.06192,5/22/2009,0.10191,5/22/2009,0.15802,7/27/2011,0.34014,5/22/2009,0.33023,5/22/2009,0.21284,5/22/2009,0.03805,5/12/2011,0.51337
5/25/2009,0.40895,5/25/2009,0.78307,5/25/2009,0.66439,5/25/2009,0.04773,5/25/2009,0.72502,5/25/2009,0.3552,5/25/2009,0.70567,5/25/2009,0.06579,5/25/2009,0.10966,5/25/2009,0.15696,7/28/2011,0.32981,5/25/2009,0.32381,5/25/2009,0.21415,5/25/2009,0.03741,5/13/2011,0.49276
5/26/2009,0.39085,5/26/2009,0.73784,5/26/2009,0.65657,5/26/2009,0.05353,5/26/2009,0.73655,5/26/2009,0.35516,5/26/2009,0.6656,5/26/2009,0.07482,5/26/2009,0.11867,5/26/2009,0.15694,7/29/2011,0.31818,5/26/2009,0.33022,5/26/2009,0.23993,5/26/2009,0.03676,5/16/2011,0.47445
5/27/2009,0.39343,5/27/2009,0.79459,5/27/2009,0.67592,5/27/2009,0.05289,5/27/2009,0.72752,5/27/2009,0.36204,5/27/2009,0.67979,5/27/2009,0.06966,5/27/2009,0.11609,5/27/2009,0.16232,8/1/2011,0.31449,5/27/2009,0.34828,5/27/2009,0.2554,5/27/2009,0.03676,5/17/2011,0.5119
5/29/2009,0.39989,5/29/2009,0.82299,5/29/2009,0.71335,5/29/2009,0.05289,5/29/2009,0.66046,5/29/2009,0.35001,5/29/2009,0.70948,5/29/2009,0.06708,5/29/2009,0.12513,5/29/2009,0.16339,8/2/2011,0.28739,5/29/2009,0.33797,5/29/2009,0.24638,5/29/2009,0.03676,5/18/2011,0.50287
6/1/2009,0.42443,6/1/2009,0.82694,6/1/2009,0.73147,6/1/2009,0.05547,6/1/2009,0.67729,6/1/2009,0.3595,6/1/2009,0.71599,6/1/2009,0.07353,6/1/2009,0.1432,6/1/2009,0.17201,8/3/2011,0.27052,6/1/2009,0.35219,6/1/2009,0.24898,6/1/2009,0.03741,5/19/2011,0.46691
6/2/2009,0.40252,6/2/2009,0.83342,6/2/2009,0.68764,6/2/2009,0.05354,6/2/2009,0.67473,6/2/2009,0.36984,6/2/2009,0.72118,6/2/2009,0.07741,6/2/2009,0.13417,6/2/2009,0.16664,8/4/2011,0.27303,6/2/2009,0.34317,6/2/2009,0.23996,6/2/2009,0.03677,5/20/2011,0.43989
6/3/2009,0.40505,6/3/2009,0.86686,6/3/2009,0.69272,6/3/2009,0.05482,6/3/2009,0.69143,6/3/2009,0.38699,6/3/2009,0.70691,6/3/2009,0.07998,6/3/2009,0.13545,6/3/2009,0.16555,8/5/2011,0.24466,6/3/2009,0.34829,6/3/2009,0.2438,6/3/2009,0.03805,5/23/2011,0.423
6/4/2009,0.39219,6/4/2009,0.80632,6/4/2009,0.68118,6/4/2009,0.05354,6/4/2009,0.73536,6/4/2009,0.36983,6/4/2009,0.7044,6/4/2009,0.07999,6/4/2009,0.13417,6/4/2009,0.16341,8/8/2011,0.24723,6/4/2009,0.34188,6/4/2009,0.24254,6/4/2009,0.03741,5/24/2011,0.41789
6/5/2009,0.39092,6/5/2009,0.84376,6/5/2009,0.7999,6/5/2009,0.05483,6/5/2009,0.72636,6/5/2009,0.37243,6/5/2009,0.73023,6/5/2009,0.08128,6/5/2009,0.15224,6/5/2009,0.16772,8/9/2011,0.2305,6/5/2009,0.34576,6/5/2009,0.25029,6/5/2009,0.03612,5/25/2011,0.42402
