,p.zoo,c.zoo,m.zoo,s.zoo
8/31/2011,1.275498779,-0.209666594,-0.036531333,0.553195802
9/1/2011,1.241355984,0.583599922,0.860072408,0.591523485
9/2/2011,-0.882375725,-0.333063607,-0.971451472,0.035618355
9/5/2011,-1.889264203,0.178152592,-1.469564661,-2.007811682
9/6/2011,-1.665566589,1.729429333,-1.737779456,0.907538795
9/7/2011,1.247785795,-0.950048675,1.496124634,1.050291259
9/8/2011,0.028314804,0.530715488,0.216356902,0.601820084
9/9/2011,-0.490207093,0.195780737,-0.526981242,0.864317938
9/12/2011,-1.540409569,-0.950048675,-1.814412254,-1.1731788
9/14/2011,-0.728658381,-0.809023516,-0.917808513,-0.068937261
9/15/2011,1.338700333,0.142896302,1.304542638,-1.304901999
9/16/2011,1.67549284,0.178152592,1.68004335,-1.658172155
9/20/2011,-1.782050841,-0.333063607,-1.277982666,2.222448485
9/21/2011,-0.270696333,-0.015757001,0.132060824,0.653492787
9/22/2011,-1.476410519,-0.544601345,-1.630493538,-1.324782153
9/26/2011,-1.828754198,-0.615113924,-1.707126336,-2.206770233
9/27/2011,2.205129837,1.006675397,2.116850301,0.789415742
9/28/2011,1.261791818,-0.49171691,0.009448347,1.044135542
9/30/2011,0.170867204,0.495459198,-0.051857892,0.107916965
10/3/2011,-0.54932148,-1.020561254,-1.408258423,-0.378423977
10/4/2011,-0.55445536,0.372062184,-0.848838995,-0.622964929
10/6/2011,2.075137997,-0.192038449,1.22790984,1.290756747
10/7/2011,1.04402558,-0.015757001,0.706806811,-0.495205986
10/11/2011,0.665165162,-0.103897725,1.450144955,-0.479348963
10/12/2011,0.725276419,1.376866437,-0.350725806,2.166046149
10/13/2011,0.16124741,-0.861907951,0.699143532,-0.226977624
10/14/2011,-0.870861877,0.706996935,-0.695573398,0.363297474
10/17/2011,1.002755165,-0.93242053,1.105297363,1.463228049
10/18/2011,-0.86747252,-0.051013291,-1.232002987,-2.099552154
10/19/2011,-0.533172187,-0.051013291,0.224020182,-0.064515087
10/20/2011,-0.889453502,-0.051013291,-0.833512435,1.32276517
10/21/2011,-0.403429565,-1.196842702,-0.074847732,1.411437596
10/24/2011,0.386340641,-0.474088765,1.411828556,1.979667244
10/25/2011,-0.545732748,-0.051013291,-0.749216357,-0.846415516
10/26/2011,-0.117975859,0.178152592,-0.16680709,-0.842169968
10/27/2011,2.049020005,-0.562229489,1.519114474,2.756510957
10/28/2011,0.231427053,-0.333063607,1.021001285,-0.198684873
10/31/2011,0.781450039,5.431339739,-0.572960921,-0.229142918
11/1/2011,-0.995271245,0.424946619,-1.346952184,0.597339035
11/2/2011,-1.428461075,-0.756139082,-1.737779456,-1.378345401
11/4/2011,2.371656959,0.372062184,1.381175437,1.109185974
11/7/2011,-0.859647091,-0.456460621,-0.343062526,0.384636424
11/8/2011,-0.735237723,-0.756139082,-1.017431151,-1.173832967
11/9/2011,0.932824739,0.178152592,0.837082569,-0.086599787
11/10/2011,-1.828405293,-0.421204331,-2.274209044,-2.989828538
11/11/2011,0.238554673,-1.055817543,0.078417865,0.063780273
11/14/2011,0.943939839,-0.333063607,0.76044977,0.674229901
11/15/2011,-0.600460908,-0.12152587,-0.59595076,-1.136028618
11/16/2011,-1.237610326,0.037127433,-0.749216357,-0.952043967
