,4063 JP Equity,,5401 JP Equity,,5411 JP Equity,,6988 JP Equity,,8015 JP Equity,,3407 JP Equity,,5201 JP Equity,,4188 JP Equity,,5713 JP Equity,,4005 JP Equity,,3405 JP Equity,,4185 JP Equity,,5486 JP Equity,,5711 JP Equity,,3861 JP Equity,,5406 JP Equity,,5233 JP Equity,,4182 JP Equity,,4613 JP Equity,,5901 JP Equity,,4217 JP Equity,,4612 JP Equity,,4202 JP Equity,,5714 JP Equity,,4088 JP Equity,,4091 JP Equity,,4205 JP Equity,,4183 JP Equity,,4021 JP Equity,,4272 JP Equity,,4118 JP Equity,,5471 JP Equity,,4631 JP Equity,,5463 JP Equity,,1911 JP Equity,,4042 JP Equity,,5631 JP Equity,,5444 JP Equity,,3401 JP Equity,,4114 JP Equity,,4004 JP Equity,,4208 JP Equity,,8012 JP Equity,,4061 JP Equity,,3863 JP Equity,,4634 JP Equity,,7947 JP Equity,,7966 JP Equity,,5232 JP Equity,,3941 JP Equity,,4206 JP Equity,,5706 JP Equity,,5803 JP Equity,,4095 JP Equity,,4043 JP Equity,,4045 JP Equity,,4401 JP Equity,,4403 JP Equity,,4201 JP Equity,,4186 JP Equity,,4203 JP Equity
8/3/2010,50.8277,8/3/2010,3.4857,8/3/2010,31.9072,8/3/2010,37.0133,8/3/2010,15.8312,8/3/2010,5.4208,8/3/2010,10.5386,8/3/2010,5.3392,8/3/2010,13.8377,8/3/2010,4.4999,8/3/2010,12.8818,8/3/2010,17.848,8/3/2010,11.343,8/3/2010,2.6696,8/3/2010,4.9079,8/3/2010,2.145,8/3/2010,1.4106,8/3/2010,5.5957,8/3/2010,8.6151,8/3/2010,16.8687,8/3/2010,20.0396,8/3/2010,5.9221,8/3/2010,7.2511,8/3/2010,5.5374,8/3/2010,10.9699,8/3/2010,8.9998,8/3/2010,7.2628,8/3/2010,2.9028,8/3/2010,12.0308,8/3/2010,9.3728,8/3/2010,6.3068,8/3/2010,4.8963,8/3/2010,1.7253,8/3/2010,19.9114,8/3/2010,7.9039,8/3/2010,2.7512,8/3/2010,9.6526,8/3/2010,23.9683,8/3/2010,3.2991,8/3/2010,10.5852,8/3/2010,2.0051,8/3/2010,2.4248,8/3/2010,11.273,8/3/2010,4.9895,,,8/3/2010,3.9753,8/3/2010,52.9844,8/3/2010,19.7365,8/3/2010,1.8886,8/3/2010,6.4817,8/3/2010,11.4596,8/3/2010,2.7979,8/3/2010,4.9196,8/3/2010,12.9051,8/3/2010,5.33924,8/3/2010,4.48823,8/3/2010,9.96736,8/3/2010,4.16181,8/3/2010,6.21357,8/3/2010,17.13686,8/3/2010,5.28095
8/4/2010,49.1015,8/4/2010,3.4087,8/4/2010,30.8638,8/4/2010,36.1159,8/4/2010,15.513,8/4/2010,5.2174,8/4/2010,10.3188,8/4/2010,5.1015,8/4/2010,13.6116,8/4/2010,4.3826,8/4/2010,12.3826,8/4/2010,17.2638,8/4/2010,11.0261,8/4/2010,2.6319,8/4/2010,4.8696,8/4/2010,2.0986,8/4/2010,1.3913,8/4/2010,5.4261,8/4/2010,8.487,8/4/2010,16.4406,8/4/2010,19.9073,8/4/2010,5.7971,8/4/2010,7.0261,8/4/2010,5.6696,8/4/2010,10.6551,8/4/2010,8.6841,8/4/2010,7.0609,8/4/2010,2.7826,8/4/2010,11.687,8/4/2010,9.2058,8/4/2010,6.1565,8/4/2010,4.7536,8/4/2010,1.6696,8/4/2010,19.5478,8/4/2010,7.7101,8/4/2010,2.7015,8/4/2010,9.2986,8/4/2010,23.3855,8/4/2010,3.2348,8/4/2010,10.3073,8/4/2010,1.9362,8/4/2010,2.458,8/4/2010,11.0145,8/4/2010,4.8696,,,8/4/2010,3.8609,8/4/2010,52.2899,8/4/2010,19.2464,8/4/2010,1.8667,8/4/2010,6.7015,8/4/2010,11.0957,8/4/2010,2.7826,8/4/2010,4.7768,8/4/2010,12.6377,8/4/2010,5.21739,8/4/2010,4.33623,8/4/2010,9.7971,8/4/2010,4.23188,8/4/2010,6.52754,8/4/2010,16.37101,8/4/2010,5.18261
8/5/2010,50.3375,8/5/2010,3.4683,8/5/2010,31.6457,8/5/2010,36.3129,8/5/2010,16.0033,8/5/2010,5.3073,8/5/2010,10.4865,8/5/2010,5.1327,8/5/2010,13.9316,8/5/2010,4.446,8/5/2010,12.919,8/5/2010,17.6792,8/5/2010,11.2779,8/5/2010,2.7351,8/5/2010,4.9697,8/5/2010,2.1532,8/5/2010,1.4083,8/5/2010,5.4702,8/5/2010,8.6127,8/5/2010,16.9576,8/5/2010,20.0535,8/5/2010,5.9474,8/5/2010,7.2626,8/5/2010,5.8426,8/5/2010,11.0917,8/5/2010,8.9386,8/5/2010,7.2626,8/5/2010,2.7933,8/5/2010,11.79,8/5/2010,9.4041,8/5/2010,6.2616,8/5/2010,4.8417,8/5/2010,1.7109,8/5/2010,19.6113,8/5/2010,7.8562,8/5/2010,2.77,8/5/2010,9.567,8/5/2010,23.5335,8/5/2010,3.2472,8/5/2010,10.149,8/5/2010,1.967,8/5/2010,2.4674,8/5/2010,11.1732,8/5/2010,4.993,,,8/5/2010,3.9106,8/5/2010,53.5964,8/5/2010,19.3319,8/5/2010,1.9088,8/5/2010,6.8552,8/5/2010,11.243,8/5/2010,2.8748,8/5/2010,4.7602,8/5/2010,13.0121,8/5/2010,5.49348,8/5/2010,4.37616,8/5/2010,10.05587,8/5/2010,4.24814,8/5/2010,6.64572,8/5/2010,17.2486,8/5/2010,5.21415
8/6/2010,50.088,8/6/2010,3.4956,8/6/2010,31.8358,8/6/2010,36.3636,8/6/2010,15.9883,8/6/2010,5.3842,8/6/2010,10.7801,8/6/2010,5.2669,8/6/2010,13.9707,8/6/2010,4.5631,8/6/2010,12.7859,8/6/2010,17.8651,8/6/2010,11.3666,8/6/2010,2.8035,8/6/2010,4.9736,8/6/2010,2.1936,8/6/2010,1.4546,8/6/2010,5.6188,8/6/2010,8.7625,8/6/2010,17.1144,8/6/2010,20.176,8/6/2010,6.0763,8/6/2010,6.9091,8/6/2010,5.8416,8/6/2010,11.39,8/6/2010,8.8798,8/6/2010,7.4018,8/6/2010,2.8387,8/6/2010,11.8006,8/6/2010,9.4194,8/6/2010,6.2991,8/6/2010,4.8798,8/6/2010,1.7713,8/6/2010,20.4927,8/6/2010,7.8827,8/6/2010,2.8622,8/6/2010,9.6422,8/6/2010,23.4956,8/6/2010,3.3431,8/6/2010,10.4516,8/6/2010,1.9707,8/6/2010,2.4868,8/6/2010,11.2375,8/6/2010,4.739,,,8/6/2010,3.9648,8/6/2010,54.6628,8/6/2010,19.6833,8/6/2010,1.9589,8/6/2010,6.8856,8/6/2010,11.5191,8/6/2010,2.8856,8/6/2010,4.7859,8/6/2010,13.0675,8/6/2010,5.47801,8/6/2010,4.46921,8/6/2010,10.35777,8/6/2010,4.29326,8/6/2010,6.05279,8/6/2010,17.39589,8/6/2010,5.37243
8/9/2010,48.3345,8/9/2010,3.4824,8/9/2010,32.0405,8/9/2010,35.7559,8/9/2010,15.7116,8/9/2010,5.311,8/9/2010,10.5987,8/9/2010,5.2527,8/9/2010,13.2192,8/9/2010,4.5656,8/9/2010,12.7184,8/9/2010,17.5052,8/9/2010,11.1228,8/9/2010,2.7603,8/9/2010,4.9849,8/9/2010,2.2013,8/9/2010,1.4326,8/9/2010,5.5672,8/9/2010,8.6187,8/9/2010,16.853,8/9/2010,19.6483,8/9/2010,6.0447,8/9/2010,6.9182,8/9/2010,5.7536,8/9/2010,11.2392,8/9/2010,8.7817,8/9/2010,7.5705,8/9/2010,2.7953,8/9/2010,11.6352,8/9/2010,9.3408,8/9/2010,6.2311,8/9/2010,4.8567,8/9/2010,1.7354,8/9/2010,19.9627,8/9/2010,7.7219,8/9/2010,2.7836,8/9/2010,9.5621,8/9/2010,23.4219,8/9/2010,3.2728,8/9/2010,10.4123,8/9/2010,1.9567,8/9/2010,2.5274,8/9/2010,11.1577,8/9/2010,4.7053,,,8/9/2010,4.0531,8/9/2010,55.3809,8/9/2010,19.4736,8/9/2010,1.9334,8/9/2010,6.8251,8/9/2010,11.577,8/9/2010,2.8418,8/9/2010,4.6005,8/9/2010,12.4738,8/9/2010,5.42744,8/9/2010,4.37922,8/9/2010,10.12113,8/9/2010,4.18123,8/9/2010,5.87002,8/9/2010,17.15584,8/9/2010,5.29932
8/10/2010,48.4209,8/10/2010,3.4611,8/10/2010,32.4904,8/10/2010,36.0681,8/10/2010,15.6975,8/10/2010,5.349,8/10/2010,10.5932,8/10/2010,5.116,8/10/2010,13.1104,8/10/2010,4.6382,8/10/2010,12.6093,8/10/2010,17.1542,8/10/2010,11.1875,8/10/2010,2.9018,8/10/2010,4.8945,8/10/2010,2.1676,8/10/2010,1.4451,8/10/2010,5.5355,8/10/2010,8.2508,8/10/2010,16.9677,8/10/2010,19.4849,8/10/2010,6.2813,8/10/2010,6.7941,8/10/2010,5.687,8/10/2010,11.2341,8/10/2010,8.6004,8/10/2010,7.3884,8/10/2010,2.8318,8/10/2010,11.5138,8/10/2010,9.1831,8/10/2010,6.1881,8/10/2010,4.7547,8/10/2010,1.8063,8/10/2010,19.0188,8/10/2010,7.6448,8/10/2010,2.7969,8/10/2010,9.4511,8/10/2010,23.319,8/10/2010,3.2281,8/10/2010,10.3018,8/10/2010,1.9462,8/10/2010,2.4706,8/10/2010,11.0593,8/10/2010,4.4517,,,8/10/2010,4.0904,8/10/2010,53.5485,8/10/2010,20.021,8/10/2010,1.9695,8/10/2010,6.7941,8/10/2010,11.339,8/10/2010,2.8435,8/10/2010,4.6848,8/10/2010,12.9822,8/10/2010,5.37233,8/10/2010,4.32351,8/10/2010,9.92891,8/10/2010,4.09043,8/10/2010,5.67533,8/10/2010,16.86284,8/10/2010,5.24414
8/11/2010,47.5437,8/11/2010,3.4002,8/11/2010,31.4808,8/11/2010,34.3417,8/11/2010,15.3242,8/11/2010,5.194,8/11/2010,10.2708,8/11/2010,5.0416,8/11/2010,12.9675,8/11/2010,4.4437,8/11/2010,12.264,8/11/2010,16.356,8/11/2010,11.1854,8/11/2010,2.8726,8/11/2010,4.8189,8/11/2010,2.1456,8/11/2010,1.3366,8/11/2010,5.4051,8/11/2010,8.0314,8/11/2010,16.3794,8/11/2010,18.9823,8/11/2010,6.261,8/11/2010,6.3431,8/11/2010,5.5341,8/11/2010,10.775,8/11/2010,8.2542,8/11/2010,6.941,8/11/2010,2.7436,8/11/2010,11.0681,8/11/2010,8.9577,8/11/2010,5.9913,8/11/2010,4.6313,8/11/2010,1.7353,8/11/2010,18.994,8/11/2010,7.4921,8/11/2010,2.7201,8/11/2010,9.2508,8/11/2010,23.2149,8/11/2010,3.1774,8/11/2010,10.0129,8/11/2010,1.8994,8/11/2010,2.4036,8/11/2010,10.904,8/11/2010,4.3733,,,8/11/2010,3.9395,8/11/2010,53.0543,8/11/2010,19.7913,8/11/2010,1.9229,8/11/2010,6.6831,8/11/2010,11.1736,8/11/2010,2.767,8/11/2010,4.5726,8/11/2010,12.522,8/11/2010,5.38164,8/11/2010,4.19744,8/11/2010,9.88393,8/11/2010,4.0333,8/11/2010,5.49889,8/11/2010,16.46148,8/11/2010,5.15887
8/12/2010,46.5441,8/12/2010,3.3046,8/12/2010,30.882,8/12/2010,33.4768,8/12/2010,14.9639,8/12/2010,5.0966,8/12/2010,9.9488,8/12/2010,5.0035,8/12/2010,12.4855,8/12/2010,4.3053,8/12/2010,11.8804,8/12/2010,15.5806,8/12/2010,10.7866,8/12/2010,2.8043,8/12/2010,4.829,8/12/2010,2.0945,8/12/2010,1.3381,8/12/2010,5.306,8/12/2010,8.0987,8/12/2010,16.0577,8/12/2010,17.9777,8/12/2010,6.1206,8/12/2010,6.2253,8/12/2010,5.4689,8/12/2010,10.7982,8/12/2010,8.1685,8/12/2010,6.8187,8/12/2010,2.6647,8/12/2010,10.7633,8/12/2010,8.8201,8/12/2010,6.0042,8/12/2010,4.573,8/12/2010,1.7221,8/12/2010,18.7573,8/12/2010,7.3656,8/12/2010,2.5948,8/12/2010,9.0063,8/12/2010,22.6204,8/12/2010,3.0952,8/12/2010,9.879,8/12/2010,1.8385,8/12/2010,2.3621,8/12/2010,10.7517,8/12/2010,4.317,,,8/12/2010,3.9563,8/12/2010,52.5367,8/12/2010,19.0365,8/12/2010,1.8618,8/12/2010,6.6791,8/12/2010,11.0426,8/12/2010,2.7694,8/12/2010,4.4566,8/12/2010,12.2178,8/12/2010,5.17803,8/12/2010,4.11915,8/12/2010,10.01862,8/12/2010,3.94461,8/12/2010,5.39912,8/12/2010,15.66209,8/12/2010,4.98022
8/13/2010,46.5777,8/13/2010,3.2947,8/13/2010,30.5685,8/13/2010,33.7935,8/13/2010,15.0928,8/13/2010,5.0928,8/13/2010,9.884,8/13/2010,4.9536,8/13/2010,12.5406,8/13/2010,4.2923,8/13/2010,11.7285,8/13/2010,15.5801,8/13/2010,10.7077,8/13/2010,2.877,8/13/2010,4.8144,8/13/2010,2.0766,8/13/2010,1.3225,8/13/2010,5.2668,8/13/2010,7.9582,8/13/2010,15.9745,8/13/2010,18.0394,8/13/2010,6.1021,8/13/2010,6.2529,8/13/2010,5.464,8/13/2010,10.9629,8/13/2010,8.1671,8/13/2010,6.8794,8/13/2010,2.6798,8/13/2010,10.9397,8/13/2010,8.9327,8/13/2010,6.0557,8/13/2010,4.6056,8/13/2010,1.7633,8/13/2010,18.4919,8/13/2010,7.3782,8/13/2010,2.5638,8/13/2010,8.9907,8/13/2010,23.0046,8/13/2010,3.1671,8/13/2010,10.0232,8/13/2010,1.833,8/13/2010,2.3782,8/13/2010,10.7541,8/13/2010,4.2691,,,8/13/2010,3.9559,8/13/2010,52.0882,8/13/2010,19.1183,8/13/2010,1.8794,8/13/2010,6.6705,8/13/2010,11.1833,8/13/2010,2.7958,8/13/2010,4.4432,8/13/2010,12.297,8/13/2010,5.31323,8/13/2010,4.09513,8/13/2010,9.84919,8/13/2010,3.95592,8/13/2010,5.49884,8/13/2010,15.83527,8/13/2010,4.9768
8/16/2010,46.0457,8/16/2010,3.3392,8/16/2010,30.6386,8/16/2010,33.9192,8/16/2010,15.1142,8/16/2010,5.1318,8/16/2010,9.8301,8/16/2010,4.9092,8/16/2010,12.6069,8/16/2010,4.3234,8/16/2010,11.8805,8/16/2010,15.7118,8/16/2010,10.7557,8/16/2010,2.9057,8/16/2010,4.8389,8/16/2010,2.1324,8/16/2010,1.324,8/16/2010,5.2607,8/16/2010,8.0375,8/16/2010,16.1336,8/16/2010,18.4651,8/16/2010,6.1394,8/16/2010,6.3035,8/16/2010,5.4599,8/16/2010,11.3064,8/16/2010,8.4007,8/16/2010,6.8776,8/16/2010,2.6831,8/16/2010,11.0135,8/16/2010,9.3263,8/16/2010,6.1746,8/16/2010,4.6514,8/16/2010,1.7106,8/16/2010,18.7346,8/16/2010,7.3931,8/16/2010,2.5893,8/16/2010,8.9748,8/16/2010,22.5425,8/16/2010,3.1517,8/16/2010,10.0293,8/16/2010,1.8746,8/16/2010,2.355,8/16/2010,10.9315,8/16/2010,4.3585,,,8/16/2010,3.9133,8/16/2010,52.8998,8/16/2010,19.6251,8/16/2010,1.9215,8/16/2010,6.7956,8/16/2010,11.1775,8/16/2010,2.812,8/16/2010,4.464,8/16/2010,12.2437,8/16/2010,5.33099,8/16/2010,4.12419,8/16/2010,10.02929,8/16/2010,3.9836,8/16/2010,5.45987,8/16/2010,15.80551,8/16/2010,4.94435
8/17/2010,45.9011,8/17/2010,3.3096,8/17/2010,30.1602,8/17/2010,33.423,8/17/2010,14.969,8/17/2010,5.0988,8/17/2010,9.7065,8/17/2010,4.9234,8/17/2010,12.5482,8/17/2010,4.2568,8/17/2010,11.7998,8/17/2010,15.2614,8/17/2010,10.607,8/17/2010,2.8535,8/17/2010,4.8532,8/17/2010,2.1284,8/17/2010,1.2864,8/17/2010,5.2509,8/17/2010,7.964,8/17/2010,15.8929,8/17/2010,18.1382,8/17/2010,6.0929,8/17/2010,6.3151,8/17/2010,5.4847,8/17/2010,11.5425,8/17/2010,8.3265,8/17/2010,6.8764,8/17/2010,2.6079,8/17/2010,10.759,8/17/2010,9.2504,8/17/2010,6.0929,8/17/2010,4.6544,8/17/2010,1.7425,8/17/2010,18.6177,8/17/2010,7.4143,8/17/2010,2.5962,8/17/2010,9.2387,8/17/2010,22.6991,8/17/2010,3.1108,8/17/2010,9.9404,8/17/2010,1.8594,8/17/2010,2.3155,8/17/2010,10.7707,8/17/2010,4.2685,,,8/17/2010,3.8358,8/17/2010,52.9763,8/17/2010,19.9977,8/17/2010,1.8828,8/17/2010,6.8062,8/17/2010,11.1566,8/17/2010,2.7833,8/17/2010,4.5258,8/17/2010,12.1272,8/17/2010,5.46135,8/17/2010,4.08139,8/17/2010,10.01053,8/17/2010,3.99953,8/17/2010,5.39118,8/17/2010,15.61221,8/17/2010,4.84154
8/18/2010,46.5144,8/18/2010,3.3743,8/18/2010,30.8846,8/18/2010,33.8957,8/18/2010,15.1142,8/18/2010,5.1084,8/18/2010,9.7364,8/18/2010,4.9561,8/18/2010,12.7944,8/18/2010,4.3234,8/18/2010,11.8453,8/18/2010,15.6415,8/18/2010,11.0252,8/18/2010,2.894,8/18/2010,5.0029,8/18/2010,2.2027,8/18/2010,1.2888,8/18/2010,5.2724,8/18/2010,8.0726,8/18/2010,16.0047,8/18/2010,18.2894,8/18/2010,6.1394,8/18/2010,6.362,8/18/2010,5.5419,8/18/2010,11.7868,8/18/2010,8.3656,8/18/2010,6.8776,8/18/2010,2.6362,8/18/2010,10.8963,8/18/2010,9.4083,8/18/2010,6.1746,8/18/2010,4.7686,8/18/2010,1.7106,8/18/2010,19.0744,8/18/2010,7.522,8/18/2010,2.6011,8/18/2010,9.2912,8/18/2010,22.8237,8/18/2010,3.14,8/18/2010,10.0059,8/18/2010,1.8629,8/18/2010,2.2964,8/18/2010,10.9666,8/18/2010,4.3234,,,8/18/2010,3.843,8/18/2010,52.4898,8/18/2010,20.0352,8/18/2010,1.8746,8/18/2010,6.9713,8/18/2010,11.2595,8/18/2010,2.8237,8/18/2010,4.6397,8/18/2010,12.0211,8/18/2010,5.43644,8/18/2010,4.04218,8/18/2010,10.06444,8/18/2010,4.01875,8/18/2010,5.27241,8/18/2010,15.75864,8/18/2010,4.86233
8/19/2010,47.6442,8/19/2010,3.4224,8/19/2010,31.7745,8/19/2010,34.4937,8/19/2010,15.3657,8/19/2010,5.1688,8/19/2010,9.9391,8/19/2010,5.0281,8/19/2010,13.1622,8/19/2010,4.3718,8/19/2010,12.1542,8/19/2010,16.1627,8/19/2010,11.2049,8/19/2010,2.9653,8/19/2010,4.9695,8/19/2010,2.2035,8/19/2010,1.3244,8/19/2010,5.3329,8/19/2010,8.1224,8/19/2010,16.233,8/19/2010,18.624,8/19/2010,6.1533,8/19/2010,6.3408,8/19/2010,5.579,8/19/2010,11.8612,8/19/2010,8.4037,8/19/2010,6.9855,8/19/2010,2.6137,8/19/2010,11.0408,8/19/2010,9.5406,8/19/2010,6.1299,8/19/2010,4.8523,8/19/2010,1.7229,8/19/2010,19.6437,8/19/2010,7.6418,8/19/2010,2.6137,8/19/2010,9.4468,8/19/2010,23.4998,8/19/2010,3.1763,8/19/2010,9.9742,8/19/2010,1.9105,8/19/2010,2.3676,8/19/2010,11.076,8/19/2010,4.3952,,,8/19/2010,3.7858,8/19/2010,53.3873,8/19/2010,20.0774,8/19/2010,1.8167,8/19/2010,6.9151,8/19/2010,11.4393,8/19/2010,2.8715,8/19/2010,4.782,8/19/2010,12.1074,8/19/2010,5.55556,8/19/2010,4.03188,8/19/2010,10.03282,8/19/2010,3.985,8/19/2010,5.28598,8/19/2010,16.15096,8/19/2010,4.92264
8/20/2010,46.1547,8/20/2010,3.361,8/20/2010,31.3456,8/20/2010,33.4461,8/20/2010,14.8325,8/20/2010,5.0414,8/20/2010,9.6978,8/20/2010,4.8781,8/20/2010,12.837,8/20/2010,4.2362,8/20/2010,11.5183,8/20/2010,15.381,8/20/2010,10.9348,8/20/2010,2.8125,8/20/2010,4.843,8/20/2010,2.1706,8/20/2010,1.2837,8/20/2010,5.1815,8/20/2010,7.8889,8/20/2010,15.8945,8/20/2010,17.68,8/20/2010,5.975,8/20/2010,6.1501,8/20/2010,5.2632,8/20/2010,11.6,8/20/2010,8.0756,8/20/2010,6.6752,8/20/2010,2.6024,8/20/2010,10.4213,8/20/2010,9.3827,8/20/2010,6.0217,8/20/2010,4.773,8/20/2010,1.6922,8/20/2010,19.2905,8/20/2010,7.3638,8/20/2010,2.5791,8/20/2010,9.1259,8/20/2010,22.6981,8/20/2010,3.0809,8/20/2010,9.7211,8/20/2010,1.8555,8/20/2010,2.2873,8/20/2010,10.8998,8/20/2010,4.2712,,,8/20/2010,3.6177,8/20/2010,52.5732,8/20/2010,19.944,8/20/2010,1.7038,8/20/2010,6.7803,8/20/2010,11.1098,8/20/2010,2.8008,8/20/2010,4.668,8/20/2010,11.6933,8/20/2010,5.4032,8/20/2010,3.8861,8/20/2010,9.8728,8/20/2010,3.94445,8/20/2010,5.19314,8/20/2010,15.71945,8/20/2010,4.77302
8/23/2010,46.1421,8/23/2010,3.3419,8/23/2010,31.0155,8/23/2010,33.3255,8/23/2010,14.81,8/23/2010,5.007,8/23/2010,9.8147,8/23/2010,4.9015,8/23/2010,12.9104,8/23/2010,4.2331,8/23/2010,11.3978,8/23/2010,15.0094,8/23/2010,10.6121,8/23/2010,2.7439,8/23/2010,4.796,8/23/2010,2.1576,8/23/2010,1.2547,8/23/2010,5.4292,8/23/2010,7.962,8/23/2010,15.8419,8/23/2010,17.3311,8/23/2010,5.9451,8/23/2010,6.0507,8/23/2010,5.2767,8/23/2010,11.5736,8/23/2010,7.962,8/23/2010,6.6252,8/23/2010,2.6149,8/23/2010,10.2603,8/23/2010,9.5802,8/23/2010,6.0389,8/23/2010,4.7022,8/23/2010,1.712,8/23/2010,19.3246,8/23/2010,7.2584,8/23/2010,2.5446,8/23/2010,9.1229,8/23/2010,22.7017,8/23/2010,3.084,8/23/2010,9.7327,8/23/2010,1.841,8/23/2010,2.2162,8/23/2010,10.7763,8/23/2010,4.2566,,,8/23/2010,3.5882,8/23/2010,52.3569,8/23/2010,19.9226,8/23/2010,1.7003,8/23/2010,6.7425,8/23/2010,11.0342,8/23/2010,2.8025,8/23/2010,4.6318,8/23/2010,11.5854,8/23/2010,5.28846,8/23/2010,3.88133,8/23/2010,10.16651,8/23/2010,3.97514,8/23/2010,5.05394,8/23/2010,15.60741,8/23/2010,4.77251
8/24/2010,46.4328,8/24/2010,3.3532,8/24/2010,31.1891,8/24/2010,32.6992,8/24/2010,14.7206,8/24/2010,5.0297,8/24/2010,9.9643,8/24/2010,4.8752,8/24/2010,13.0083,8/24/2010,4.2331,8/24/2010,11.201,8/24/2010,14.6017,8/24/2010,10.7729,8/24/2010,2.7586,8/24/2010,4.8276,8/24/2010,2.1522,8/24/2010,1.2604,8/24/2010,5.3627,8/24/2010,8.1213,8/24/2010,15.8264,8/24/2010,17.2414,8/24/2010,5.9334,8/24/2010,6.0048,8/24/2010,5.2675,8/24/2010,11.522,8/24/2010,7.8002,8/24/2010,6.6112,8/24/2010,2.5803,8/24/2010,10.1665,8/24/2010,9.7146,8/24/2010,5.9453,8/24/2010,4.6611,8/24/2010,1.736,8/24/2010,19.4768,8/24/2010,7.3246,8/24/2010,2.5208,8/24/2010,9.0606,8/24/2010,22.9489,8/24/2010,3.0916,8/24/2010,9.0488,8/24/2010,1.8668,8/24/2010,2.2235,8/24/2010,10.8442,8/24/2010,4.2331,,,8/24/2010,3.591,8/24/2010,53.0321,8/24/2010,20.2021,8/24/2010,1.7241,8/24/2010,6.8728,8/24/2010,11.0939,8/24/2010,2.7705,8/24/2010,4.5184,8/24/2010,11.522,8/24/2010,5.1843,8/24/2010,3.80499,8/24/2010,10.39239,8/24/2010,4.11415,8/24/2010,5.23187,8/24/2010,15.81451,8/24/2010,4.76813
8/25/2010,45.3793,8/25/2010,3.3132,8/25/2010,29.9965,8/25/2010,32.2447,8/25/2010,14.0575,8/25/2010,4.958,8/25/2010,9.7858,8/25/2010,4.7568,8/25/2010,12.6612,8/25/2010,4.1415,8/25/2010,11.0756,8/25/2010,14.2942,8/25/2010,10.6851,8/25/2010,2.6506,8/25/2010,4.7095,8/25/2010,2.1063,8/25/2010,1.2188,8/25/2010,5.313,8/25/2010,8.1411,8/25/2010,15.6431,8/25/2010,17.0157,8/25/2010,6.0111,8/25/2010,5.9165,8/25/2010,5.1828,8/25/2010,11.6199,8/25/2010,7.7269,8/25/2010,6.5554,8/25/2010,2.5086,8/25/2010,9.8568,8/25/2010,9.5255,8/25/2010,5.9165,8/25/2010,4.5675,8/25/2010,1.7039,8/25/2010,19.2758,8/25/2010,7.3482,8/25/2010,2.5086,8/25/2010,8.7209,8/25/2010,22.1986,8/25/2010,3.0529,8/25/2010,9.0285,8/25/2010,1.7986,8/25/2010,2.1773,8/25/2010,10.8271,8/25/2010,4.0587,,,8/25/2010,3.6209,8/25/2010,52.5382,8/25/2010,20.2698,8/25/2010,1.6684,8/25/2010,6.7093,8/25/2010,11.1348,8/25/2010,2.6861,8/25/2010,4.3545,8/25/2010,11.5489,8/25/2010,4.87516,8/25/2010,3.76287,8/25/2010,10.33014,8/25/2010,4.09419,8/25/2010,5.09999,8/25/2010,15.84428,8/25/2010,4.75683
8/26/2010,45.7069,8/26/2010,3.3188,8/26/2010,30.2114,8/26/2010,32.5381,8/26/2010,14.1491,8/26/2010,4.925,8/26/2010,9.9327,8/26/2010,4.8069,8/26/2010,12.7318,8/26/2010,4.1337,8/26/2010,11.1728,8/26/2010,14.3971,8/26/2010,10.6649,8/26/2010,2.6692,8/26/2010,4.736,8/26/2010,2.1141,8/26/2010,1.1574,8/26/2010,5.362,8/26/2010,8.2438,8/26/2010,15.5073,8/26/2010,17.0308,8/26/2010,6.0824,8/26/2010,6.0943,8/26/2010,5.2085,8/26/2010,11.5625,8/26/2010,7.8068,8/26/2010,6.6493,8/26/2010,2.5157,8/26/2010,10.2634,8/26/2010,9.5075,8/26/2010,5.9289,8/26/2010,4.6888,8/26/2010,1.7007,8/26/2010,19.2276,8/26/2010,7.2281,8/26/2010,2.492,8/26/2010,8.9524,8/26/2010,22.6645,8/26/2010,3.0353,8/26/2010,9.0351,8/26/2010,1.8425,8/26/2010,2.1613,8/26/2010,10.8067,8/26/2010,4.1455,,,8/26/2010,3.614,8/26/2010,52.9704,8/26/2010,20.4205,8/26/2010,1.6535,8/26/2010,6.7556,8/26/2010,11.0783,8/26/2010,2.7046,8/26/2010,4.3109,8/26/2010,11.6688,8/26/2010,4.87776,8/26/2010,3.803,8/26/2010,10.34605,8/26/2010,4.07464,8/26/2010,5.36199,8/26/2010,16.00331,8/26/2010,4.81871
