Date2,Price2
10/31/2012,4199.91
11/1/2012,4251.89
11/2/2012,4304.25
11/5/2012,4286.81
11/6/2012,4272.64
11/7/2012,4284.59
11/8/2012,4194.05
11/9/2012,4183.57
11/12/2012,4183.27
11/13/2012,4137.7
11/14/2012,4184.12
11/15/2012,4137.61
11/16/2012,4158.15
11/19/2012,4197.39
11/20/2012,4192
11/21/2012,4213.74
11/22/2012,4271.87
11/23/2012,4325.83
11/26/2012,4334.45
11/27/2012,4321.84
11/28/2012,4297.22
11/29/2012,4352.85
11/30/2012,4388.65
12/3/2012,4333.85
12/4/2012,4345.66
12/5/2012,4424.6
12/6/2012,4430.43
12/7/2012,4448.31
12/10/2012,4476.1
12/11/2012,4465.39
12/12/2012,4522.86
12/13/2012,4476.76
12/14/2012,4507.6
12/17/2012,4461.47
12/18/2012,4455.97
12/19/2012,4499.92
12/20/2012,4505.06
12/21/2012,4485.33
12/24/2012,4486.15
12/27/2012,4498.14
12/28/2012,4531.78
12/31/2012,4531.12
1/2/2013,4674.02
1/3/2013,4715.42
1/4/2013,4743.77
1/7/2013,4736.53
1/8/2013,4669.55
1/9/2013,4712.27
1/10/2013,4722.67
1/11/2013,4665.43
1/14/2013,4715.17
1/15/2013,4690.98
1/16/2013,4667.87
1/17/2013,4649.91
1/18/2013,4711
1/21/2013,4721.71
1/22/2013,4737.12
1/23/2013,4707.86
1/24/2013,4677.6
1/25/2013,4635.92
1/28/2013,4655.58
1/29/2013,4707.26
1/30/2013,4738.94
1/31/2013,4698.83
2/1/2013,4690.96
2/4/2013,4694.31
2/5/2013,4630.47
2/6/2013,4642.87
2/7/2013,4608.92
2/8/2013,4614.96
2/14/2013,4638.17
2/15/2013,4681.24
2/18/2013,4667.93
2/19/2013,4586.88
2/20/2013,4596.56
2/21/2013,4536
2/22/2013,4532.27
2/25/2013,4532.81
2/26/2013,4473.03
2/27/2013,4488.92
2/28/2013,4591.6
3/1/2013,4588.31
3/4/2013,4455.64
3/5/2013,4453.63
3/6/2013,4498.35
3/7/2013,4499.69
3/8/2013,4558.88
3/11/2013,4515.54
3/12/2013,4469.42
3/13/2013,4362.94
3/14/2013,4380.52
3/15/2013,4338.49
3/18/2013,4289.9
3/19/2013,4299.96
3/20/2013,4387.18
3/21/2013,4374.71
3/22/2013,4402.25
3/25/2013,4428.34
3/26/2013,4422.21
3/27/2013,4445.51
3/28/2013,4362.55
4/2/2013,4361.3
4/3/2013,4355.9
