Date,USGG10YR Index,,USGGBE10 Index,,USGG5YR Index,,USGGBE05 Index,Date,GJGB10 Index,Date,GJGB2 Index,,GJGB5 Index,,JYGGBE05 Index,,USDJPY Curncy,,TPX Index
8/25/2009,-1.1726,8/25/2009,-4.1201,8/25/2009,-1.6326,8/25/2009,-6.9752,8/25/2009,0,8/25/2009,-1.2,8/25/2009,-1.395,8/25/2009,1.521,8/25/2009,-0.39,8/26/2009,1.04301
8/26/2009,-0.0553,8/26/2009,-0.1064,8/26/2009,-0.28,8/26/2009,0.633,8/26/2009,-1.053,8/26/2009,-0.81,8/26/2009,-0.943,8/26/2009,3.962,8/26/2009,0.07,8/27/2009,-0.4571
8/27/2009,0.5911,8/27/2009,-0.7004,8/27/2009,1.368,8/27/2009,0.0352,8/27/2009,-0.836,8/27/2009,0,8/27/2009,-0.794,8/27/2009,5.035,8/27/2009,-0.79,8/28/2009,0.58056
8/28/2009,-0.2186,8/28/2009,-0.7287,8/28/2009,-0.9492,8/28/2009,-3.6977,8/28/2009,0.766,8/28/2009,3.673,8/28/2009,-0.64,8/28/2009,2.577,8/28/2009,0.09,8/31/2009,0.42488
8/31/2009,-1.3952,8/31/2009,-3.4038,8/31/2009,-2.4588,8/31/2009,-5.5746,8/31/2009,-0.38,8/31/2009,0,8/31/2009,-1.127,8/31/2009,0.529,8/31/2009,-0.51,9/1/2009,0.03461
9/1/2009,-1.0308,9/1/2009,0.2699,9/1/2009,-2.9337,9/1/2009,-0.5022,9/1/2009,-1.145,9/1/2009,-0.394,9/1/2009,-0.814,9/1/2009,3.647,9/1/2009,-0.21,9/2/2009,-0.94626
9/2/2009,-1.6913,9/2/2009,-3.6293,9/2/2009,-2.1547,9/2/2009,-2.8303,9/2/2009,1.776,9/2/2009,-1.581,9/2/2009,-2.791,9/2/2009,3.233,9/2/2009,-0.75,9/3/2009,-1.18092
9/3/2009,1.1608,9/3/2009,4.9665,9/3/2009,1.4641,9/3/2009,9.2047,9/3/2009,-0.607,9/3/2009,-1.205,9/3/2009,1.182,9/3/2009,3.586,9/3/2009,0.46,9/4/2009,-1.18344
9/4/2009,2.8047,9/4/2009,5.5977,9/4/2009,2.3153,9/4/2009,8.8731,9/4/2009,1.603,9/4/2009,-0.813,9/4/2009,2.003,9/4/2009,1.522,9/4/2009,0.4,9/7/2009,1.00117
9/7/2009,0.1064,9/7/2009,0.2093,9/7/2009,0.1414,9/7/2009,0.3307,9/7/2009,2.479,9/7/2009,0.41,9/7/2009,4.092,9/7/2009,2.489,9/7/2009,0.08,9/8/2009,0.99496
9/8/2009,1.1876,9/8/2009,3.1646,9/8/2009,1.5639,9/8/2009,6.233,9/8/2009,-2.126,9/8/2009,0,9/8/2009,-4.717,9/8/2009,-4.313,9/8/2009,-0.81,9/9/2009,-0.44472
9/9/2009,-0.3218,9/9/2009,0.8793,9/9/2009,-1.1207,9/9/2009,1.314,9/9/2009,-0.15,9/9/2009,-5.306,9/9/2009,1.815,9/9/2009,-1.857,9/9/2009,-0.31,9/10/2009,2.11766
9/10/2009,-3.5704,9/10/2009,-4.035,9/10/2009,-3.5341,9/10/2009,-2.3799,9/10/2009,-0.225,9/10/2009,-4.741,9/10/2009,-1.945,9/10/2009,-1.74,9/10/2009,-0.34,9/11/2009,0.62551
9/11/2009,-0.0063,9/11/2009,-0.4767,9/11/2009,0.8717,9/11/2009,4.8489,9/11/2009,-1.504,9/11/2009,-2.715,9/11/2009,-3.306,9/11/2009,-1.873,9/11/2009,-1.11,9/14/2009,-2.13239
9/14/2009,2.2045,9/14/2009,1.6779,9/14/2009,2.9109,9/14/2009,3.1501,9/14/2009,-0.763,9/14/2009,0,9/14/2009,-2.564,9/14/2009,-3.038,9/14/2009,0.25,9/15/2009,-0.20773
9/15/2009,0.9753,9/15/2009,2.2407,9/15/2009,1.1352,9/15/2009,1.136,9/15/2009,1.615,9/15/2009,0,9/15/2009,3.509,9/15/2009,1.707,9/15/2009,0.12,9/16/2009,-0.03991
9/16/2009,0.4297,9/16/2009,2.2024,9/16/2009,1.8292,9/16/2009,5.2573,9/16/2009,0.606,9/16/2009,0,9/16/2009,0.169,9/16/2009,5.051,9/16/2009,-0.13,9/17/2009,0.39329
9/17/2009,-2.4613,9/17/2009,-2.5561,9/17/2009,-3.1757,9/17/2009,-6.7194,9/17/2009,1.43,9/17/2009,2.326,9/17/2009,4.061,9/17/2009,2.411,9/17/2009,0.16,9/18/2009,-0.01947
9/18/2009,2.3532,9/18/2009,-0.4747,9/18/2009,3.8572,9/18/2009,-0.408,9/18/2009,0,9/18/2009,4.091,9/18/2009,2.276,9/18/2009,4.174,9/18/2009,0.23,9/24/2009,1.2341
9/21/2009,0.4835,9/21/2009,-0.5829,9/21/2009,0.0014,9/21/2009,-3.9181,9/21/2009,0.148,9/21/2009,0.437,9/21/2009,0.159,9/21/2009,0.089,9/21/2009,0.7,9/25/2009,-1.39425
9/22/2009,-1.0187,9/22/2009,0.5038,9/22/2009,-1.5161,9/22/2009,1.8378,9/22/2009,0,9/22/2009,0,9/22/2009,0,9/22/2009,0.089,9/22/2009,-0.9,9/28/2009,-1.74435
9/23/2009,-0.7568,9/23/2009,-0.1161,9/23/2009,-1.8175,9/23/2009,-0.1128,9/23/2009,0,9/23/2009,0,9/23/2009,0,9/23/2009,-0.089,9/23/2009,0.21,9/29/2009,-0.72627
9/24/2009,-1.0859,9/24/2009,-2.6974,9/24/2009,-0.2719,9/24/2009,-3.8195,9/24/2009,-1.63,9/24/2009,-1.739,9/24/2009,-3.81,9/24/2009,1.601,9/24/2009,-0.01,9/30/2009,1.22961
9/25/2009,-1.8615,9/25/2009,-0.5613,9/25/2009,0,9/25/2009,-0.4913,9/25/2009,-0.753,9/25/2009,-2.655,9/25/2009,-2.64,9/25/2009,-1.085,9/25/2009,-1.8,10/1/2009,-1.52992
9/28/2009,-1.165,9/28/2009,-0.8425,9/28/2009,-1.4072,9/28/2009,-0.3571,9/28/2009,-2.124,9/28/2009,3.636,9/28/2009,-0.847,9/28/2009,-3.936,9/28/2009,-0.01,10/2/2009,-2.361
9/29/2009,0.3332,9/29/2009,-0.5373,9/29/2009,0.1426,9/29/2009,-1.3655,9/29/2009,0,9/29/2009,0.877,9/29/2009,0.171,9/29/2009,-1.119,9/29/2009,0.51,10/5/2009,-0.82276
9/30/2009,0.4444,9/30/2009,2.2199,9/30/2009,-0.9981,9/30/2009,1.9478,9/30/2009,0.853,9/30/2009,8.696,9/30/2009,2.56,9/30/2009,3.404,9/30/2009,-0.42,10/6/2009,1.46357
10/1/2009,-3.8195,10/1/2009,-3.3979,10/1/2009,-5.5917,10/1/2009,-3.3867,10/1/2009,-0.077,10/1/2009,-1.6,10/1/2009,-1.165,10/1/2009,2.907,10/1/2009,-0.11,10/7/2009,1.60163
10/2/2009,1.251,10/2/2009,-0.1275,10/2/2009,1.0466,10/2/2009,1.6005,10/2/2009,-3.077,10/2/2009,-2.439,10/2/2009,-5.051,10/2/2009,1.361,10/2/2009,0.22,10/8/2009,0.77052
10/5/2009,0.0537,10/5/2009,1.2949,10/5/2009,0.1459,10/5/2009,-1.0978,10/5/2009,0.714,10/5/2009,0,10/5/2009,1.773,10/5/2009,2.852,10/5/2009,-0.3,10/9/2009,-0.48019
10/6/2009,1.0766,10/6/2009,1.8126,10/6/2009,1.4982,10/6/2009,4.1508,10/6/2009,-1.497,10/6/2009,0,10/6/2009,-1.568,10/6/2009,0,10/6/2009,-0.79,10/13/2009,0.47597
10/7/2009,-2.2477,10/7/2009,-0.2223,10/7/2009,-3.2582,10/7/2009,-1.2838,10/7/2009,1.6,10/7/2009,2.083,10/7/2009,3.363,10/7/2009,-3.693,10/7/2009,-0.25,10/14/2009,-0.43915
