,902 HK Equity,,991 HK Equity,,916 HK Equity,,2688 HK Equity,,1798 HK Equity,,1600 HK Equity,,1265 HK Equity,,1733 HK Equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/9/2010,0.5982,7/9/2010,0.4284,2/15/2012,0.8228,7/9/2010,2.3697,2/25/2013,0.2076,1/14/2013,0.5637,7/9/2010,0.2007,12/10/2012,0.1561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/12/2010,0.5984,7/12/2010,0.4349,2/16/2012,0.8422,7/12/2010,2.3651,2/26/2013,0.2062,1/15/2013,0.5599,7/12/2010,0.2007,12/11/2012,0.1639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/13/2010,0.5969,7/13/2010,0.4284,2/17/2012,0.8563,7/13/2010,2.3672,2/27/2013,0.2063,1/16/2013,0.5650,7/13/2010,0.2007,12/12/2012,0.1639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/14/2010,0.5971,7/14/2010,0.4324,2/20/2012,0.8511,7/14/2010,2.3679,2/28/2013,0.2205,1/17/2013,0.5740,7/14/2010,0.2072,12/13/2012,0.1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/15/2010,0.5844,7/15/2010,0.4222,2/21/2012,0.8615,7/15/2010,2.3065,3/1/2013,0.2282,1/18/2013,0.5714,7/15/2010,0.2059,12/14/2012,0.1613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/16/2010,0.5830,7/16/2010,0.4299,2/22/2012,0.8614,7/16/2010,2.3165,3/4/2013,0.2308,1/21/2013,0.5740,7/16/2010,0.2046,12/17/2012,0.1626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/19/2010,0.5762,7/19/2010,0.4180,2/23/2012,0.8381,7/19/2010,2.2892,3/5/2013,0.2308,1/22/2013,0.5959,7/19/2010,0.2071,12/18/2012,0.1665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/20/2010,0.5840,7/20/2010,0.4270,2/24/2012,0.8280,7/20/2010,2.3075,3/6/2013,0.2244,1/23/2013,0.5907,7/20/2010,0.2109,12/19/2012,0.1677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/21/2010,0.5954,7/21/2010,0.4295,2/27/2012,0.8059,7/21/2010,2.3121,3/7/2013,0.2256,1/24/2013,0.5933,7/21/2010,0.2135,12/20/2012,0.1677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/2010,0.5866,7/22/2010,0.4284,2/28/2012,0.8111,7/22/2010,2.3618,3/8/2013,0.2218,1/25/2013,0.6191,7/22/2010,0.2148,12/21/2012,0.1626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/23/2010,0.5845,7/23/2010,0.4378,2/29/2012,0.8652,7/23/2010,2.3665,3/11/2013,0.2076,1/28/2013,0.6175,7/23/2010,0.2189,12/24/2012,0.1652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/26/2010,0.5808,7/26/2010,0.4314,3/1/2012,0.8872,7/26/2010,2.3489,3/12/2013,0.2011,1/29/2013,0.6122,7/26/2010,0.2163,12/27/2012,0.1664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/27/2010,0.5870,7/27/2010,0.4364,3/2/2012,0.9254,7/27/2010,2.3455,3/13/2013,0.1972,1/30/2013,0.6135,7/27/2010,0.2163,12/28/2012,0.1664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/28/2010,0.5858,7/28/2010,0.4378,3/5/2012,0.9068,7/28/2010,2.3716,3/14/2013,0.2049,1/31/2013,0.6034,7/28/2010,0.2163,12/31/2012,0.1677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/29/2010,0.5808,7/29/2010,0.4340,3/6/2012,0.8992,7/29/2010,2.3411,3/15/2013,0.1959,2/1/2013,0.6021,7/29/2010,0.2112,1/2/2013,0.1742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/30/2010,0.5819,7/30/2010,0.4287,3/7/2012,0.9106,7/30/2010,2.3663,3/18/2013,0.1842,2/4/2013,0.6075,7/30/2010,0.2099,1/3/2013,0.1858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/2/2010,0.5912,8/2/2010,0.4366,3/8/2012,0.9078,8/2/2010,2.4033,3/19/2013,0.1752,2/5/2013,0.6190,8/2/2010,0.2112,1/4/2013,0.1806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/3/2010,0.5876,8/3/2010,0.4330,3/9/2012,0.9128,8/3/2010,2.4947,3/20/2013,0.1933,2/6/2013,0.6138,8/3/2010,0.2100,1/7/2013,0.1871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/4/2010,0.5899,8/4/2010,0.4315,3/12/2012,0.9126,8/4/2010,2.4911,3/21/2013,0.1945,2/7/2013,0.6215,8/4/2010,0.2112,1/8/2013,0.1780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/5/2010,0.5873,8/5/2010,0.4302,3/13/2012,0.9047,8/5/2010,2.4678,3/22/2013,0.2022,2/8/2013,0.6473,8/5/2010,0.2112,1/9/2013,0.1819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/6/2010,0.6029,8/6/2010,0.4316,3/14/2012,0.9109,8/6/2010,2.4451,3/25/2013,0.1997,2/14/2013,0.6564,8/6/2010,0.2113,1/10/2013,0.1819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/9/2010,0.6030,8/9/2010,0.4355,3/15/2012,0.8787,8/9/2010,2.4608,3/26/2013,0.1933,2/15/2013,0.6629,8/9/2010,0.2087,1/11/2013,0.1793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/10/2010,0.5977,8/10/2010,0.4264,3/16/2012,0.8760,8/10/2010,2.4602,3/27/2013,0.1907,2/18/2013,0.6642,8/10/2010,0.2074,1/14/2013,0.1780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/11/2010,0.5846,8/11/2010,0.4210,3/19/2012,0.8760,8/11/2010,2.4026,3/28/2013,0.1881,2/19/2013,0.6616,8/11/2010,0.2022,1/15/2013,0.1793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/12/2010,0.5973,8/12/2010,0.4107,3/20/2012,0.8476,8/12/2010,2.3430,4/2/2013,0.1855,2/20/2013,0.6706,8/12/2010,0.1944,1/16/2013,0.1754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/13/2010,0.6060,8/13/2010,0.4104,3/21/2012,0.8461,8/13/2010,2.3956,4/3/2013,0.1791,2/21/2013,0.6705,8/13/2010,0.1994,1/17/2013,0.1741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/16/2010,0.6060,8/16/2010,0.4092,3/22/2012,0.8524,8/16/2010,2.3366,4/5/2013,0.1674,2/22/2013,0.6653,8/16/2010,0.1982,1/18/2013,0.1729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/17/2010,0.5985,8/17/2010,0.4054,3/23/2012,0.8638,8/17/2010,2.3424,4/8/2013,0.1803,2/25/2013,0.6704,8/17/2010,0.1982,1/21/2013,0.1741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/18/2010,0.6011,8/18/2010,0.4055,3/26/2012,0.8457,8/18/2010,2.3040,4/9/2013,0.1790,2/26/2013,0.6716,8/18/2010,0.1982,1/22/2013,0.1728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/19/2010,0.6049,8/19/2010,0.4054,3/27/2012,0.8539,8/19/2010,2.3681,4/10/2013,0.1842,2/27/2013,0.6690,8/19/2010,0.1982,1/23/2013,0.1690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/20/2010,0.6006,8/20/2010,0.4090,3/28/2012,0.8539,8/20/2010,2.3148,4/11/2013,0.1933,2/28/2013,0.6757,8/20/2010,0.1955,1/24/2013,0.1625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/23/2010,0.5981,8/23/2010,0.4206,3/29/2012,0.8423,8/23/2010,2.3280,4/12/2013,0.2036,3/1/2013,0.7015,8/23/2010,0.1916,1/25/2013,0.1586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/24/2010,0.5941,8/24/2010,0.4166,3/30/2012,0.8359,8/24/2010,2.3969,4/15/2013,0.2048,3/4/2013,0.7027,8/24/2010,0.1916,1/28/2013,0.1586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/25/2010,0.5851,8/25/2010,0.4076,4/2/2012,0.8319,8/25/2010,2.4174,4/16/2013,0.2023,3/5/2013,0.7091,8/25/2010,0.1916,1/29/2013,0.1585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/26/2010,0.5824,8/26/2010,0.4050,4/3/2012,0.8320,8/26/2010,2.4015,4/17/2013,0.2113,3/6/2013,0.7027,8/26/2010,0.1877,1/30/2013,0.1611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/27/2010,0.5824,8/27/2010,0.3998,4/5/2012,0.8475,8/27/2010,2.5222,4/18/2013,0.2035,3/7/2013,0.6846,8/27/2010,0.1903,1/31/2013,0.1586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/30/2010,0.5900,8/30/2010,0.4037,4/10/2012,0.8126,8/30/2010,2.6224,4/19/2013,0.2293,3/8/2013,0.6949,8/30/2010,0.1967,2/1/2013,0.1573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/31/2010,0.6004,8/31/2010,0.3960,4/11/2012,0.8178,8/31/2010,2.6804,4/22/2013,0.2203,3/11/2013,0.6897,8/31/2010,0.1903,2/4/2013,0.1561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/1/2010,0.5994,9/1/2010,0.4013,4/12/2012,0.8075,9/1/2010,2.7591,4/23/2013,0.2202,3/12/2013,0.6897,9/1/2010,0.1891,2/5/2013,0.1535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/2/2010,0.6049,9/2/2010,0.4105,4/13/2012,0.7874,9/2/2010,2.7477,4/24/2013,0.2190,3/13/2013,0.6728,9/2/2010,0.1931,2/6/2013,0.1522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/3/2010,0.6022,9/3/2010,0.4118,4/16/2012,0.7785,9/3/2010,2.6830,4/25/2013,0.2151,3/14/2013,0.6922,9/3/2010,0.1969,2/7/2013,0.1509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/6/2010,0.5962,9/6/2010,0.4108,4/17/2012,0.7836,9/6/2010,2.7494,4/26/2013,0.2267,3/15/2013,0.6971,9/6/2010,0.1996,2/8/2013,0.1547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/7/2010,0.5883,9/7/2010,0.4120,4/18/2012,0.8053,9/7/2010,2.7485,4/29/2013,0.2281,3/18/2013,0.6919,9/7/2010,0.1983,2/14/2013,0.1548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/8/2010,0.5804,9/8/2010,0.4041,4/19/2012,0.7922,9/8/2010,2.6639,4/30/2013,0.2332,3/19/2013,0.6725,9/8/2010,0.1956,2/15/2013,0.1560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/9/2010,0.5831,9/9/2010,0.4106,4/20/2012,0.7769,9/9/2010,2.7738,5/2/2013,0.2307,3/20/2013,0.6545,9/9/2010,0.1956,2/18/2013,0.1548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/10/2010,0.5896,9/10/2010,0.4094,4/23/2012,0.7808,9/10/2010,2.7872,5/3/2013,0.2268,3/21/2013,0.7085,9/10/2010,0.1931,2/19/2013,0.1470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/13/2010,0.5948,9/13/2010,0.4107,4/24/2012,0.7732,9/13/2010,2.8775,5/6/2013,0.2268,3/22/2013,0.7072,9/13/2010,0.1918,2/20/2013,0.1522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/14/2010,0.5975,9/14/2010,0.4069,4/25/2012,0.7809,9/14/2010,2.9810,5/7/2013,0.2268,3/25/2013,0.7215,9/14/2010,0.1919,2/21/2013,0.1509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/15/2010,0.5961,9/15/2010,0.4056,4/26/2012,0.7887,9/15/2010,3.0579,5/8/2013,0.2229,3/26/2013,0.7216,9/15/2010,0.1918,2/22/2013,0.1496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/16/2010,0.6193,9/16/2010,0.4326,4/27/2012,0.7900,9/16/2010,3.0579,5/9/2013,0.2268,3/27/2013,0.7265,9/16/2010,0.1918,2/25/2013,0.1483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/17/2010,0.6491,9/17/2010,0.4443,4/30/2012,0.7901,9/17/2010,3.0588,5/10/2013,0.2242,3/28/2013,0.7600,9/17/2010,0.2022,2/26/2013,0.1444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/20/2010,0.6362,9/20/2010,0.4443,5/2/2012,0.7863,9/20/2010,3.0395,5/13/2013,0.2255,4/2/2013,0.7395,9/20/2010,0.1996,2/27/2013,0.1379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/21/2010,0.6262,9/21/2010,0.4277,5/3/2012,0.7642,9/21/2010,2.9439,5/14/2013,0.2448,4/3/2013,0.7614,9/21/2010,0.1997,2/28/2013,0.1444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/22/2010,0.6407,9/22/2010,0.4267,5/4/2012,0.7782,9/22/2010,2.9390,5/15/2013,0.2461,4/5/2013,0.7611,9/22/2010,0.1998,3/1/2013,0.1431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/24/2010,0.6356,9/24/2010,0.4267,5/7/2012,0.7550,9/24/2010,2.9392,5/16/2013,0.2563,4/8/2013,0.7277,9/24/2010,0.2063,3/4/2013,0.1354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/27/2010,0.6329,9/27/2010,0.4267,5/8/2012,0.7537,9/27/2010,2.9002,5/20/2013,0.2551,4/9/2013,0.7406,9/27/2010,0.2062,3/5/2013,0.1354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/28/2010,0.6278,9/28/2010,0.4215,5/9/2012,0.7471,9/28/2010,2.8810,5/21/2013,0.2487,4/10/2013,0.7459,9/28/2010,0.2063,3/6/2013,0.1367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/29/2010,0.6278,9/29/2010,0.4215,5/10/2012,0.7587,9/29/2010,2.8747,5/22/2013,0.2345,4/11/2013,0.7602,9/29/2010,0.2024,3/7/2013,0.1367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/30/2010,0.6224,9/30/2010,0.4175,5/11/2012,0.7521,9/30/2010,2.8738,5/23/2013,0.2306,4/12/2013,0.7537,9/30/2010,0.1998,3/8/2013,0.1444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/4/2010,0.6252,10/4/2010,0.4189,5/14/2012,0.6709,10/4/2010,3.0228,5/24/2013,0.2460,4/15/2013,0.7588,10/4/2010,0.2024,3/11/2013,0.1418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/5/2010,0.6189,10/5/2010,0.4190,5/15/2012,0.6372,10/5/2010,3.0622,5/27/2013,0.2563,4/16/2013,0.7510,10/5/2010,0.1999,3/12/2013,0.1380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/6/2010,0.6164,10/6/2010,0.4165,5/16/2012,0.6218,10/6/2010,3.0366,5/28/2013,0.2550,4/17/2013,0.7407,10/6/2010,0.2037,3/13/2013,0.1353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/7/2010,0.6242,10/7/2010,0.4165,5/17/2012,0.6256,10/7/2010,3.0564,5/29/2013,0.2486,4/18/2013,0.7355,10/7/2010,0.2063,3/14/2013,0.1366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/8/2010,0.6187,10/8/2010,0.4086,5/18/2012,0.6091,10/8/2010,3.0550,5/30/2013,0.2512,4/19/2013,0.7561,10/8/2010,0.2037,3/15/2013,0.1314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/11/2010,0.6200,10/11/2010,0.4266,5/21/2012,0.6181,10/11/2010,3.0355,5/31/2013,0.2499,4/22/2013,0.7342,10/11/2010,0.2037,3/18/2013,0.1224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/12/2010,0.6238,10/12/2010,0.4240,5/22/2012,0.5963,10/12/2010,3.0608,6/3/2013,0.2461,4/23/2013,0.7315,10/12/2010,0.2139,3/19/2013,0.1250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/13/2010,0.6289,10/13/2010,0.4240,5/23/2012,0.5783,10/13/2010,3.0348,6/4/2013,0.2422,4/24/2013,0.7328,10/13/2010,0.2217,3/20/2013,0.1288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/14/2010,0.6355,10/14/2010,0.4202,5/24/2012,0.5938,10/14/2010,2.9648,6/5/2013,0.2500,4/25/2013,0.7354,10/14/2010,0.2295,3/21/2013,0.1275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/15/2010,0.6407,10/15/2010,0.4331,5/25/2012,0.5926,10/15/2010,3.0036,6/6/2013,0.2435,4/26/2013,0.7741,10/15/2010,0.2243,3/22/2013,0.1237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/18/2010,0.6355,10/18/2010,0.4396,5/28/2012,0.5784,10/18/2010,3.0358,6/7/2013,0.2409,4/29/2013,0.8298,10/18/2010,0.2140,3/25/2013,0.1237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/19/2010,0.6315,10/19/2010,0.4420,5/29/2012,0.6131,10/19/2010,3.0413,6/10/2013,0.2421,4/30/2013,0.8569,10/19/2010,0.2139,3/26/2013,0.1263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/20/2010,0.6081,10/20/2010,0.4316,5/30/2012,0.6143,10/20/2010,3.0276,6/11/2013,0.2408,5/2/2013,0.8648,10/20/2010,0.2139,3/27/2013,0.1237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/21/2010,0.5963,10/21/2010,0.4289,5/31/2012,0.6120,10/21/2010,3.0973,6/13/2013,0.2331,5/3/2013,0.8248,10/21/2010,0.2189,3/28/2013,0.1159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/22/2010,0.5886,10/22/2010,0.4199,6/1/2012,0.6133,10/22/2010,3.0398,6/14/2013,0.2397,5/6/2013,0.8621,10/22/2010,0.2125,4/2/2013,0.1108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/25/2010,0.5891,10/25/2010,0.4267,6/4/2012,0.6071,10/25/2010,3.1002,6/17/2013,0.2423,5/7/2013,0.8517,10/25/2010,0.2114,4/3/2013,0.1108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/26/2010,0.5826,10/26/2010,0.4215,6/5/2012,0.6122,10/26/2010,3.0932,6/18/2013,0.2423,5/8/2013,0.8866,10/26/2010,0.2062,4/5/2013,0.1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/27/2010,0.5658,10/27/2010,0.4073,6/6/2012,0.6200,10/27/2010,2.9643,6/19/2013,0.2411,5/9/2013,0.8919,10/27/2010,0.2191,4/8/2013,0.1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/28/2010,0.5737,10/28/2010,0.4061,6/7/2012,0.6406,10/28/2010,2.9654,6/20/2013,0.2283,5/10/2013,0.8904,10/28/2010,0.2140,4/9/2013,0.1069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/29/2010,0.5715,10/29/2010,0.4025,6/8/2012,0.6651,10/29/2010,3.0060,6/21/2013,0.2307,5/13/2013,0.8890,10/29/2010,0.2116,4/10/2013,0.1069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/2010,0.5766,11/1/2010,0.4077,6/11/2012,0.6649,11/1/2010,3.1348,6/24/2013,0.2243,5/14/2013,0.8954,11/1/2010,0.2103,4/11/2013,0.1082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/2/2010,0.5702,11/2/2010,0.4064,6/12/2012,0.6573,11/2/2010,3.2705,6/25/2013,0.2011,5/15/2013,0.8954,11/2/2010,0.2090,4/12/2013,0.1082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/3/2010,0.5702,11/3/2010,0.4103,6/13/2012,0.6690,11/3/2010,3.3544,6/26/2013,0.2088,5/16/2013,0.8862,11/3/2010,0.2051,4/15/2013,0.1044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/4/2010,0.5689,11/4/2010,0.4076,6/14/2012,0.6548,11/4/2010,3.3538,6/27/2013,0.2127,5/20/2013,0.8774,11/4/2010,0.2141,4/16/2013,0.1005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/5/2010,0.5703,11/5/2010,0.4103,6/15/2012,0.6767,11/5/2010,3.1998,6/28/2013,0.2153,5/21/2013,0.8878,11/5/2010,0.2129,4/17/2013,0.1018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/8/2010,0.5716,11/8/2010,0.4051,6/18/2012,0.6753,11/8/2010,3.2127,7/2/2013,0.2128,5/22/2013,0.8954,11/8/2010,0.2129,4/18/2013,0.1018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/9/2010,0.5715,11/9/2010,0.4038,6/19/2012,0.6831,11/9/2010,3.2446,7/3/2013,0.2012,5/23/2013,0.8747,11/9/2010,0.2077,4/19/2013,0.1030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/10/2010,0.5754,11/10/2010,0.4025,6/20/2012,0.6883,11/10/2010,3.2125,7/4/2013,0.2051,5/24/2013,0.8733,11/10/2010,0.2038,4/22/2013,0.1018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/11/2010,0.5858,11/11/2010,0.4013,6/21/2012,0.6689,11/11/2010,3.1675,7/5/2013,0.2115,5/27/2013,0.8746,11/11/2010,0.2052,4/23/2013,0.1005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/12/2010,0.5793,11/12/2010,0.3870,6/22/2012,0.6597,11/12/2010,3.2123,7/8/2013,0.2076,5/28/2013,0.8810,11/12/2010,0.2116,4/24/2013,0.0992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/15/2010,0.5753,11/15/2010,0.3805,6/25/2012,0.6482,11/15/2010,3.1797,7/9/2013,0.2153,5/29/2013,0.8939,11/15/2010,0.2154,4/25/2013,0.1017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/16/2010,0.5764,11/16/2010,0.3791,6/26/2012,0.6405,11/16/2010,3.1334,,,5/30/2013,0.8772,11/16/2010,0.2076,4/26/2013,0.0953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/17/2010,0.5633,11/17/2010,0.3764,6/27/2012,0.6380,11/17/2010,3.0358,,,5/31/2013,0.8979,11/17/2010,0.2050,4/29/2013,0.0928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/18/2010,0.5598,11/18/2010,0.3753,6/28/2012,0.6418,11/18/2010,3.0955,,,6/3/2013,0.8966,11/18/2010,0.2115,4/30/2013,0.0941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
