,902 HK Equity,,991 HK Equity,,916 HK Equity,,2688 HK Equity,,1798 HK Equity,,1600 HK Equity,,1265 HK Equity,,1733 HK Equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/31/2009,0.7884,7/31/2009,0.6568,3/3/2011,0.8987,7/31/2009,1.6568,3/15/2012,0.1817,2/7/2012,0.2489,7/31/2009,0.1110,1/3/2012,0.2961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/3/2009,0.8297,8/3/2009,0.6852,3/4/2011,0.9014,8/3/2009,1.7032,3/16/2012,0.1816,2/8/2012,0.2489,8/3/2009,0.1161,1/4/2012,0.2961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/4/2009,0.8284,8/4/2009,0.6852,3/7/2011,0.8990,8/4/2009,1.6826,3/19/2012,0.1816,2/9/2012,0.2514,8/4/2009,0.1148,1/5/2012,0.2885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/5/2009,0.8116,8/5/2009,0.6761,3/8/2011,0.9039,8/5/2009,1.6025,3/20/2012,0.1791,2/10/2012,0.2515,8/5/2009,0.1187,1/6/2012,0.2807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/6/2009,0.8580,8/6/2009,0.6890,3/9/2011,0.9105,8/6/2009,1.6773,3/21/2012,0.1790,2/13/2012,0.2489,8/6/2009,0.1148,1/9/2012,0.2820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/7/2009,0.8322,8/7/2009,0.6528,3/10/2011,0.9064,8/7/2009,1.6773,3/22/2012,0.1764,2/14/2012,0.2476,8/7/2009,0.1161,1/10/2012,0.2833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/10/2009,0.8503,8/10/2009,0.6658,3/11/2011,0.8937,8/10/2009,1.7109,3/23/2012,0.1725,2/15/2012,0.2476,8/10/2009,0.1342,1/11/2012,0.2833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/11/2009,0.8438,8/11/2009,0.6670,3/14/2011,0.9087,8/11/2009,1.7108,3/26/2012,0.1725,2/16/2012,0.2476,8/11/2009,0.1458,1/12/2012,0.2820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/12/2009,0.7973,8/12/2009,0.6477,3/15/2011,0.9349,8/12/2009,1.5818,3/27/2012,0.1739,2/17/2012,0.2502,8/12/2009,0.1445,1/13/2012,0.2730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/13/2009,0.7857,8/13/2009,0.6516,3/16/2011,0.9694,8/13/2009,1.5766,3/28/2012,0.1726,2/20/2012,0.2579,8/13/2009,0.1510,1/16/2012,0.2613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/14/2009,0.7677,8/14/2009,0.6400,3/17/2011,0.9996,8/14/2009,1.5483,3/29/2012,0.1623,2/21/2012,0.2592,8/14/2009,0.1419,1/17/2012,0.2730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/17/2009,0.7393,8/17/2009,0.6064,3/18/2011,1.0127,8/17/2009,1.4398,3/30/2012,0.1623,2/22/2012,0.2605,8/17/2009,0.1252,1/18/2012,0.2693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/18/2009,0.7573,8/18/2009,0.5908,3/21/2011,0.9862,8/18/2009,1.4603,4/2/2012,0.1610,2/23/2012,0.2604,8/18/2009,0.1367,1/19/2012,0.2462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/19/2009,0.7224,8/19/2009,0.5741,3/22/2011,1.0046,8/19/2009,1.5222,4/3/2012,0.1687,2/24/2012,0.2618,8/19/2009,0.1251,1/20/2012,0.2320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/20/2009,0.7444,8/20/2009,0.5896,3/23/2011,0.9919,8/20/2009,1.5301,4/5/2012,0.1662,2/27/2012,0.2618,8/20/2009,0.1303,1/26/2012,0.2462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/21/2009,0.7353,8/21/2009,0.5831,3/24/2011,1.0022,8/21/2009,1.4939,4/10/2012,0.1636,2/28/2012,0.2669,8/21/2009,0.1342,1/27/2012,0.2489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/24/2009,0.7497,8/24/2009,0.5897,3/25/2011,1.0046,8/24/2009,1.5483,4/11/2012,0.1649,2/29/2012,0.2669,8/24/2009,0.1368,1/30/2012,0.2398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/25/2009,0.7380,8/25/2009,0.5793,3/28/2011,1.0129,8/25/2009,1.6205,4/12/2012,0.1661,3/1/2012,0.2747,8/25/2009,0.1484,1/31/2012,0.2385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
