"","ann.ret.36","ann.std.36","downrisk.36","drawdown.36","sharpe.36","sortino.36","info_ratio.36","omega.36","wl.36","skewness.36","kurtosis.36"
"BASSFIN.US.Equity",0.133429744463013,0.06571057998128,0.00744296834453686,-0.04528288,0.298584952811335,1.43274304249035,2.15474296667672,4.6354071969697,0.75,0.623480319999016,1.44730474930428
"BKHYDRA.US.Equity",0.0209831655057739,0.076266555421414,0.0144931526188519,-0.0772722331363793,-0.137744165709824,0.135746096148178,0.028523312833114,1.25034462769605,0.527777777777778,-0.0341172978117497,-0.547549662796138
"BLAUCAP.US.Equity",0.0173600508066425,0.0440780377538358,0.00817554450616118,-0.0862448810592702,-0.273978520733684,0.185166056180416,0.474856464156657,1.45989485320799,0.638888888888889,0.100023551636479,1.94180499515331
"BLULIOU.US.Equity",0.0595966667563261,0.0870549706918675,0.0139522658643677,-0.116771056492747,0.00552336696421416,0.368313333870695,0.581815499928611,1.72265299983984,0.583333333333333,0.52855195552529,1.34109813243157
"BOOTHAR.US.Equity",0.0670100866600449,0.0261367533685349,0.00278128667266709,-0.01399186396561,0.0592737437768591,1.9585259857441,1.36620764142147,5.66904761904762,0.75,-0.211062063448596,-0.669614765502683
"BPCENHO.US.Equity",-0.0301552192696,0.145418189375922,0.0299580753711657,-0.24720547525124,-0.159414500400459,-0.056478928603956,-0.442844578693824,0.899120918431565,0.472222222222222,0.154170143533883,0.170727668120694
"BPIPMNF.US.Equity",0.0297965553370818,0.0195404539987225,0.00203355692759701,-0.01390762968604,-0.449381201417778,1.21221642613372,0.935926787276077,4.18581275129236,0.722222222222222,1.54127529010178,4.87964180309823
"BPLSREF.US.Equity",0.0721249708409182,0.0455067276428651,0.00618683638416634,-0.038098765024,0.0687939074460503,0.954239267961138,1.21614038088449,3.66,0.722222222222222,0.177173394461273,1.31282716420373
"BPPMNEU.US.Equity",0.0308853288811648,0.0201951224068727,0.00244281441169811,-0.0133428664640001,-0.419480522531343,1.04572004642148,1.01546004420558,3.28539476627153,0.638888888888889,0.426881613245084,0.709688237496613
"BRAPART.US.Equity",0.0791999098475031,0.107899863188933,0.0162111929782412,-0.07312,0.0589479474541609,0.421690810805015,0.194855944068884,1.87455579246624,0.583333333333333,0.50430027604771,0.391270888656593
"BROOELS.US.Equity",0.065003595703554,0.0580307950551544,0.00856437587237584,-0.0380120799999999,0.0237201517829397,0.63021067635765,0.60567681438119,2.34566772627482,0.638888888888889,0.237525110093958,0.331102213559605
"BUCKPII.US.Equity",0.0148151807545438,0.123022533483756,0.0253628188058382,-0.240798164115238,-0.0888143097440488,0.072779327212005,-0.117120363839478,1.15551603089165,0.611111111111111,-0.422651992198834,1.6808161797629
"BVASX.US.Equity",0.0506560294147356,0.0664795600440287,0.0110037375645227,-0.0656050935993567,-0.0362308218709489,0.391202936202627,0.00637677079692896,1.72629235600131,0.583333333333333,0.00629364160145674,-0.689656685253778
"CADMAST.US.Equity",0.151858410461113,0.154805370894645,0.0290148429447948,-0.218451154587129,0.175287604655396,0.442302353927978,0.924990833327393,2.05239179954442,0.75,-0.76008946903117,0.260901419252368
"CANGROA.BH.Equity",0.0700954413795591,0.126997483016678,0.0222309406508637,-0.141947184145458,0.0358509799932922,0.284033565313307,0.409463779810229,1.5597537552327,0.527777777777778,-0.154207812130751,-0.0171818263580987
"CARIROY.US.Equity",0.0795929030066798,0.109052930585499,0.0031639351815948,-0.054082693018434,0.0582655445704393,2.16004741176624,0.256621849411589,4.81245544984039,0.555555555555556,5.36544632117935,28.1868038887423
"CARROYA.BH.Equity",0.0678189567214962,0.0755257452162916,0.00465945871915994,-0.0495588706779103,0.0322339571507833,1.22391421868975,0.492619314952306,3.78940217391304,0.638888888888889,3.29387679851197,10.4987026310129
"CASPAII.US.Equity",0.14487169967797,0.0717141202805908,0.00917570766268799,-0.06539906,0.316124920468627,1.25815303503932,1.76303126218027,4.00506146059291,0.694444444444444,-0.0731049614150529,0.0424369761459396
"CAYENQP.US.Equity",0.0615527071553841,0.0984917686776292,0.0151313271944885,-0.149258302889369,0.0132352246313289,0.355309582989776,1.04252929138102,1.69681379608295,0.583333333333333,0.71885239368508,1.17043009573435
"CAYENRG.US.Equity",0.0622973185365929,0.0984894393856761,0.0150930123889243,-0.148754224277692,0.0152989801438468,0.360098572913819,1.05154784600908,1.70731795489135,0.583333333333333,0.721541408860498,1.17655320250831
"CCMPART.US.Equity",0.0137740039312684,0.0720999832452262,0.0152767723303495,-0.14336981376032,-0.175225713957896,0.0885621920120275,-0.208184626763849,1.1808628359661,0.583333333333333,-0.653113107430943,0.109043207747272
"CENSQCA.US.Equity",0.00508520724628747,0.150622582107225,0.0299593126872838,-0.28917378917427,-0.0841376550680853,0.0447811044637401,0.0718815901747556,1.07532427429152,0.555555555555556,0.0132658049406814,-0.852843443465428
"CHESSIC.US.Equity",0.0951580523738964,0.0688251942365931,0.0146236300402997,-0.0629999999999998,0.140930670156736,0.533385196171027,0.955724199985742,3.04665451895044,0.805555555555556,-2.28673879603491,6.15277504532547
"CHILTFS.US.Equity",0.0435084236497452,0.0876447243950582,0.0161342888835479,-0.145978793773984,-0.0447942743569266,0.239655227111341,0.0828574048977136,1.50526315789474,0.583333333333333,-0.205443001093197,0.440486550966793
"CHORMST.KY.Equity",0.204178663482325,0.232073886811609,0.0391890657199173,-0.305557268889467,0.190414345020888,0.45310115933911,0.922442720261558,2.09424834811188,0.694444444444444,0.106382268725477,1.85874495273581
"CLEVCAP.US.Equity",0.0744824578319963,0.0527626737402403,0.00762370396271465,-0.0317253701949999,0.0733231971495839,0.802340382768152,0.693290580357913,2.60597596195922,0.666666666666667,-0.132750397481509,-0.79594503533575
"COLUMLP.US.Equity",0.0406326982979117,0.150829421154211,0.0289467902653587,-0.196745780355101,-0.0172252614342198,0.146821114225092,-0.0122525186601715,1.29142857142857,0.555555555555556,-0.194679802211988,0.579199774384346
"CONHEAL.US.Equity",0.0365335582754944,0.113364624534624,0.0216556929941195,-0.10614424,-0.0453256136280279,0.162391221809405,0.0524119562070184,1.32713098572625,0.527777777777778,-0.235597261473718,-0.124739553388759
"CONSMET.US.Equity",-0.040877471472122,0.0908919197992869,0.0219450384236772,-0.211005011594463,-0.309878541396676,-0.142659429718241,-0.307409989850009,0.718311126440574,0.555555555555556,-0.883298285773608,1.60230836395388
