"","mtd.ret","ytd.ret","ann.ret.incep","ann.std.incep","downrisk.incep","drawdown.incep","sharpe.incep","sortino.incep","inforatio.incep","alpha.incep","beta.incep","corr.bhf.incep","corr.bidx.incep","omega.incep","wl.incep","skewness.incep","kurtosis.incep"
"HILCMNEA.CN.Equity",0.005784,0.0670372208576657,0.0959215109573957,0.0723624985098791,0.046925452365699,-0.115612181077087,1.25647279778465,1.93757345691261,0.323228603057351,0.00354737204341386,0.529505331080874,0.74103639822948,0.701579240162632,2.6933762442428,0.71875,-0.238250785309045,0.104986431442995
"HSBCTGH.GR.Equity",-0.011599,-0.035353696922298,0.0251589439931923,0.0334725518282197,0.0184932012373779,-0.0437984849976633,0.602252977204949,1.09007325094412,-0.628957237983059,0.000577019111112171,0.18858711179056,0.635068539445114,0.540185761999615,1.67507032086227,0.59375,-0.252616313734466,-0.886790903379169
"INSGFIZ.PW.Equity",NA,-0.0107955097618082,0.0913768814304396,0.0889497313578545,0.0524121029416263,-0.0960910398778102,0.971075236674252,1.64803311797356,0.429766127737967,0.00681636235437386,0.144802423734662,0.124455373338301,0.172946804638119,2.06785945829971,0.633333333333333,-0.347327268328669,-0.413684289590008
"KEYREOH.US.Equity",NA,0.462054014781048,0.058982577889322,0.127652458115794,0.0920070210723909,-0.225671719744,0.422887100539452,0.586722374663654,-0.254908092820793,0.00118984271677179,0.526905422724984,0.437590087409363,0.398848850173976,1.46930214093062,0.571428571428571,-0.44109484721917,0.749690445936239
"KLPAGEN.NO.Equity",-0.004158,0.0753462902980704,0.0357816979395329,0.0651696852092582,0.0464655968832575,-0.103068722571863,0.472331542506207,0.662462122608053,0.164271867129903,0.00283108434114525,0.0339690408385017,0.12488602213185,0.0499755528681351,1.52451315092255,0.625,-0.487110250935641,0.0667765485679701
"LMLSMOME.CN.Equity",-0.004501,0.0364926755623565,0.0436662033288544,0.0521631522509801,0.0423276825243919,-0.0791621431920468,0.741255113241894,0.913496818697136,0.176108593533181,0.00275740638603026,0.112853576632384,0.264745801848237,0.207429941931937,1.94968104581489,0.671875,-0.667054578108591,2.35904136935051
"MAGGFDI.US.Equity",NA,0.015441130654015,0.0215758832798341,0.0348510094760429,0.0294159191563051,-0.0559657382482958,0.475621324289862,0.563500436337076,-0.34816018295063,0.000825811823421219,0.123922552143485,0.276957499659738,0.343589469695967,1.78383798556065,0.619047619047619,0.0604805361776854,9.45831281036416
"MATAMNC.US.Equity",NA,-0.0557148125436829,0.0375509659598487,0.0813761738687542,0.0428807312150375,-0.0967037773739978,0.400006100217342,0.759104731601072,-0.0256097467551907,0.00494678831330469,-0.202363715966764,-0.310011606383421,-0.241898892497135,1.46955492113372,0.483870967741935,0.551072916006516,1.3245352001142
"MWJMA1U.ID.Equity",NA,0.0350454150268569,0.069261825314098,0.0294232410190759,0.00672567912008695,-0.0090164762199999,2.18404985611324,9.55469688141577,0.488825522121505,0.00549228920990178,0.0175607682618497,0.0170121728937539,0.0580565872823345,7.7509522980838,0.774193548387097,1.71868379896467,5.57810711242098
"MWMGLFU.ID.Equity",NA,0.103826587881979,0.0792534954036765,0.0547981508876674,0.0377341028882934,-0.0708226092240001,1.35503651493444,1.96780868551437,0.535919244930033,0.00606822524233616,0.054438628439287,0.252267023386929,0.0966361839097264,2.7857465742497,0.709677419354839,-0.54623698914753,0.170937836210599
"MWTFNEE.ID.Equity",NA,0.0779856979518487,0.154611009120735,0.0496513093891871,0.0189414761582762,-0.0249419794520002,3.01323390986576,7.8985929011327,1.2046239777109,0.0130435522929484,-0.115766201373449,-0.213924634449868,-0.231630197715097,8.09428678856962,0.813559322033898,-0.0234922012946506,-0.212038584555122
"NORMNIA.CN.Equity",-0.013165,-0.029342124940984,-0.039058952997699,0.0563671334429154,0.0360159962616581,-0.19722591643676,-0.78164260459189,-1.22331623641918,-0.95740835314554,-0.00355016661401926,0.0447910231216221,0.0860423569195597,0.0761877204948399,0.608141162715567,0.40625,0.0720755823130608,0.269338376086971
"PACAPRV.KY.Equity",0.005879,0.0392782405442325,0.036767409652765,0.0432595102821815,0.0255738749213868,-0.0835346917892512,0.734345105747764,1.24218209991317,-0.270462352957117,0.0024615856280195,0.0769142198141286,0.160316544537136,0.170468832491096,1.79712317780438,0.6875,-0.522303097391735,-0.549061055213158
"PAGORAE.KY.Equity",NA,0.0304321064622164,0.0676301058438953,0.0410958719400508,0.0168739693355551,-0.0309559952921301,1.52399992717657,3.7116403733132,0.232346449326612,0.00595672479276523,-0.0518030982064418,-0.0479237694177418,-0.121804236382878,3.52750143104535,0.714285714285714,0.663255169253814,1.00289340578031
"PEGAEUR.VI.Equity",0.008415,0.0215552205406739,-0.00338055254167346,0.0491577492156714,0.0420565015708743,-0.118662691270408,-0.170482836895261,-0.199268893717905,-0.68708995593612,-0.00146184199908558,0.158109523322988,0.443668038575085,0.310770886957933,0.964843055921476,0.555555555555556,-0.901263140284132,2.09547801295999
"PMGLMKNE.CN.Equity",-0.011905,-0.0359411391820548,-0.00588743159951277,0.0420647535172178,0.0288118918562368,-0.157229719387169,-0.258825517545381,-0.377879788451171,-0.635861115996721,-0.000729170238505702,0.037922200428832,0.152922577015214,0.086436092815114,0.914370531154239,0.515625,-0.295824635088884,0.150573867040939
"PMMNCLA.CN.Equity",0.000626,0.0220091726773288,0.0131507989477382,0.0288279780039742,0.020382015279341,-0.0595369483456164,0.282739182977541,0.399901522790033,-0.520420276864031,0.000379486863651886,0.0910069585746929,0.309876094503629,0.302677658050033,1.42701967561661,0.546875,-0.365731554253586,0.0742418295591878
"PRYNCIP.MV.Equity",-0.025103,-0.162191603937798,0.0249816579870781,0.0791446866973644,0.0449432026390481,-0.162191603937798,0.252469986563779,0.444597999558611,-0.490843844179853,0.00142193244952488,0.112677220240828,0.149930948016459,0.137176532915457,1.32855554628462,0.476190476190476,0.575991011489025,1.2930706486077
