"","ann.ret.incep","ann.std.incep","downrisk.incep","drawdown.incep","sharpe.incep","sortino.incep","omega.incep","wl.incep","skewness.incep","kurtosis.incep"
"CSCO.UW.Equity",0.078377054958976,0.251775918449964,0.0247571669721959,-0.382427549922932,-0.0839550742530732,0.0835598599681744,0.541462937408717,0.527027027027027,-0.537252035982033,3.52935666801909
"CVS.UN.Equity",0.162758869645197,0.173700447900032,0.0160848193584695,-0.327511861024785,-0.0749704092758067,0.198579719655792,0.583930784146736,0.589189189189189,-0.286391862675334,0.674590472633743
"CVX.UN.Equity",0.101969710207775,0.203941517736346,0.0189913989705013,-0.403781639034366,-0.0965880596258637,0.119440128589709,0.552704979368493,0.52972972972973,-0.0915776698526654,1.70581156917946
"DD.UN.Equity",0.165354656901521,0.227935844864948,0.021209614907306,-0.369882974410024,-0.0491244571143171,0.162531207633425,0.576044248852337,0.559459459459459,-0.210225690893543,3.07738265049176
"DIS.UN.Equity",0.199000126671065,0.205160382076132,0.01770078256966,-0.315197677021985,-0.0387353847347665,0.220213656583486,0.591015173244886,0.551351351351351,0.131566617300694,1.51391460643097
"DOW.UN.Equity",0.182713502679093,0.272717443349625,0.0254714054321014,-0.442686894821021,-0.0277430209094917,0.155106627088768,0.571735041978389,0.554054054054054,-0.302025191008739,2.51389326332025
"DVN.UN.Equity",-0.0749875307844032,0.347747782132537,0.0344417583240759,-0.784750309862283,-0.11051833689311,-0.00957064173751279,0.495355526182406,0.497297297297297,-0.072189611097207,1.53665949462169
"EBAY.UW.Equity",0.218243468564202,0.281808011902788,0.0232600694101472,-0.235034144732157,-0.0114531593075394,0.195717967699938,0.579558154730579,0.518918918918919,0.609378003618115,2.5282151386066
"EMC.UN.Equity",0.0777674719015222,0.247219704617193,0.0234283016602823,-0.287171276124307,-0.0866691525862093,0.0865920088071489,0.539725978384426,0.518518518518518,-0.110810526423934,1.23831132852569
"EMR.UN.Equity",0.072407779577327,0.226704015961469,0.0207888749028664,-0.346588256258702,-0.100624730802045,0.0883424691870804,0.53887144667086,0.510810810810811,0.159753230835776,1.61865872653899
"EXC.UN.Equity",0.0449309692771365,0.193670482802886,0.0186356513536011,-0.344438007993124,-0.141265925602429,0.0647137983481723,0.529216062437389,0.516216216216216,-0.109425789935356,1.12014028788343
"F.UN.Equity",0.0378319198845745,0.277244448384435,0.0253836045951564,-0.513433791525964,-0.0924141164081398,0.0570039160293637,0.525023376876378,0.502702702702703,0.281243119229517,1.02317347119747
"FB.UW.Equity",0.334248166562494,0.384051473703272,0.0308044134818277,-0.528798797842563,0.0362654656430483,0.225014481073635,0.595423131857068,0.560885608856089,0.950156169822298,5.58298858867748
"FCX.UN.Equity",-0.0816632550434883,0.522688150067369,0.0471729905799002,-0.919770800651007,-0.0560150103790178,0.0199228182772742,0.509325403157356,0.464864864864865,0.583118808177931,2.63264426091934
"FDX.UN.Equity",0.159367438315585,0.22552463627286,0.0208140690662493,-0.312369594844252,-0.053202418527085,0.160281658665347,0.570365547274289,0.578378378378378,-0.120299303305172,1.71844267603169
"FOXA.UW.Equity",0.157463493187028,0.240413904571093,0.0213250992100604,-0.384548743180352,-0.0489748286304896,0.157898824992082,0.56598838967645,0.554054054054054,0.188990029907944,0.925740952537965
"GD.UN.Equity",0.203328589175126,0.191168368441953,0.0168327976106172,-0.274925908017594,-0.0409427054383224,0.232557735668858,0.596116686798245,0.591891891891892,0.124526601532007,1.59554702724604
"GE.UN.Equity",0.114128905476027,0.211119723984194,0.0184499023751903,-0.297268546095082,-0.0852550797445238,0.135717996380886,0.557523345882653,0.527027027027027,0.438367440394284,2.00706645912999
"GILD.UW.Equity",0.231885504637676,0.275538069710452,0.0249231175619766,-0.442657531097467,-0.00659848324817478,0.190500657009047,0.581778054191847,0.567567567567568,-0.140764648548194,1.49003190120595
"GM.UN.Equity",0.0284276174893534,0.280971626898266,0.0262018884076881,-0.503334425737065,-0.0950738127314129,0.0494455710628632,0.521713999493832,0.492836676217765,0.0800886599720131,0.955063431815172
"GOOG.UW.Equity",0.168934078348843,0.253189238639208,0.0198352818830313,-0.16761289400961,-0.0401463715591443,0.181011772930811,0.575088010711526,0.563218390804598,2.30732732855346,17.5550669766688
"GOOGL.UW.Equity",0.217268751669382,0.258558615838088,0.0206445932171114,-0.246318048862657,-0.0164470388533085,0.213628868086662,0.586849548083279,0.551351351351351,1.31455743090685,8.26929783214438
"GS.UN.Equity",0.0824964506595873,0.258265831280799,0.024242268744455,-0.488930190874249,-0.0791890921517621,0.0892589948304853,0.539500031328831,0.545945945945946,0.103471414752565,1.48529432935541
"HAL.UN.Equity",0.0847152170636891,0.347728610292091,0.0328047624480497,-0.593796852878344,-0.0469790327211922,0.0833601772041909,0.537771533080619,0.497297297297297,-0.192166819221488,1.83136899389132
"HD.UN.Equity",0.279191136440397,0.196782330774075,0.0165574296095643,-0.19407161331688,0.00425904865705266,0.308998706017085,0.624867563416197,0.591891891891892,0.0337872278716118,2.03805303017462
"HON.UN.Equity",0.209745459342283,0.198170940218574,0.0176510152129743,-0.302010973285737,-0.0347403965743382,0.229181519458044,0.599207272939374,0.572972972972973,-0.169328648252429,1.77757215354122
"HPQ.UN.Equity",0.0119122440429076,0.331060442091107,0.0329156569614736,-0.73570254776559,-0.0805502112720582,0.0395542478638034,0.519677785017085,0.516216216216216,-0.516139827585405,3.86304258249102
"IBM.UN.Equity",0.0430458572788097,0.186265899295292,0.017848360506735,-0.38910913722813,-0.149255747357781,0.0641324708242825,0.529914348806828,0.516216216216216,-0.178721202398646,1.95820589192014
"INTC.UW.Equity",0.118794925193525,0.221916622175876,0.0205455004013833,-0.292127147181101,-0.0769090357717354,0.128163263339212,0.554872132335266,0.548648648648649,-0.0465801278665627,0.634633812116071
"JNJ.UN.Equity",0.155240288199991,0.13099489702564,0.0113148711073382,-0.142829151164582,-0.113235830111923,0.260099223514843,0.60383238461691,0.591891891891892,0.0926177001506597,0.868521460888019
"JPM.UN.Equity",0.154024381821979,0.246852357253791,0.0226829349262296,-0.394500238632188,-0.0484052612482597,0.147378564072531,0.565745071333473,0.543243243243243,-0.0373073557154593,1.5819409636528
"KO.UN.Equity",0.121352052575443,0.14257973958511,0.0133288365465176,-0.127829820678198,-0.131478684349344,0.180088506741979,0.577001286798206,0.581081081081081,-0.299154145927287,0.214210686249829
