"","APEXGCE.US.Equity","HFRIAWJ.Index","HFRIEM.Index","HFRIEMNI.Index","HFRIFWI.Index","MXAP.Index"
"55",1507.92049799026,1268.92118799702,1203.93928300447,1191.54695905108,1229.75436401095,1232.43602450317
"56",1522.84891092036,1275.86218689536,1223.54182241035,1197.4332010288,1234.57500111787,1248.08796201436
"57",1559.24499989136,1282.47115302348,1239.16155731524,1202.04092398635,1241.16763162384,1264.68753190915
"58",1571.71895989049,1287.56256350098,1245.87533463277,1192.25871494695,1243.57549682919,1297.06353272602
"59",1622.79982608693,1296.25361080461,1259.24980635005,1191.89984507375,1247.30622331968,1313.2768268851
"60",1646.33042356519,1313.80488469491,1289.27787723228,1199.81167624535,1260.62745378474,1362.26205252791
"61",1684.52528939191,1322.71248181314,1312.28504095149,1210.51399639746,1266.82974085736,1367.02996971176
"62",1657.4044322327,1331.58788256611,1322.09174706252,1216.14409699471,1275.07680247034,1369.2172176633
"63",1725.35801395424,1354.81077523806,1342.15052304895,1229.22859133427,1288.60536734455,1427.40894941399
"64",1674.28741674119,1356.30106709082,1351.20198617639,1236.43678779386,1295.4736339525,1447.67815649567
