Date1,Price1
12/7/2011,6.3867
12/8/2011,6.407
12/9/2011,6.4072
12/12/2011,6.4175
12/13/2011,6.4345
12/14/2011,6.4465
12/15/2011,6.4482
12/16/2011,6.407
12/19/2011,6.4195
12/20/2011,6.3865
12/21/2011,6.3895
12/22/2011,6.3907
12/23/2011,6.385
12/26/2011,6.379
12/27/2011,6.3815
12/28/2011,6.3935
12/29/2011,6.4025
12/30/2011,6.3825
1/2/2012,6.383
1/3/2012,6.3344
1/4/2012,6.3365
1/5/2012,6.3435
1/6/2012,6.3445
1/9/2012,6.332
1/10/2012,6.3135
1/11/2012,6.3175
1/12/2012,6.3145
1/13/2012,6.3055
1/16/2012,6.321
1/17/2012,6.3065
1/18/2012,6.273
1/19/2012,6.2845
1/20/2012,6.2915
1/23/2012,6.2835
1/24/2012,6.285
1/25/2012,6.2835
1/26/2012,6.262
1/27/2012,6.2585
1/30/2012,6.2855
1/31/2012,6.2845
2/1/2012,6.2775
2/2/2012,6.2738
2/3/2012,6.2713
2/6/2012,6.2745
2/7/2012,6.2685
2/8/2012,6.2575
2/9/2012,6.2645
2/10/2012,6.278
2/13/2012,6.278
2/14/2012,6.2815
2/15/2012,6.2835
2/16/2012,6.2905
2/17/2012,6.2845
2/20/2012,6.2765
2/21/2012,6.282
2/22/2012,6.2843
2/23/2012,6.281
2/24/2012,6.2815
2/27/2012,6.2915
2/28/2012,6.2852
2/29/2012,6.2875
3/1/2012,6.285
3/2/2012,6.281
3/5/2012,6.2908
3/6/2012,6.3155
3/7/2012,6.3065
3/8/2012,6.2975
3/9/2012,6.296
3/12/2012,6.3195
3/13/2012,6.3393
3/14/2012,6.3535
3/15/2012,6.331
3/16/2012,6.32
3/19/2012,6.3205
3/20/2012,6.3375
3/21/2012,6.3375
3/22/2012,6.3345
3/23/2012,6.327
3/26/2012,6.3315
3/27/2012,6.34
3/28/2012,6.3405
3/29/2012,6.333
3/30/2012,6.3323
4/2/2012,6.326
4/3/2012,6.323
4/4/2012,6.328
4/5/2012,6.3343
4/6/2012,6.331
4/9/2012,6.3335
4/10/2012,6.3405
4/11/2012,6.3395
4/12/2012,6.329
4/13/2012,6.3295
4/16/2012,6.3435
4/17/2012,6.3415
4/18/2012,6.344
4/19/2012,6.346
4/20/2012,6.3375
4/23/2012,6.3438
4/24/2012,6.3495
4/25/2012,6.3505
4/26/2012,6.345
4/27/2012,6.3474
4/30/2012,6.343
5/1/2012,6.3445
5/2/2012,6.342
5/3/2012,6.3425
5/4/2012,6.344
5/7/2012,6.3469
5/8/2012,6.3485
5/9/2012,6.3555
5/10/2012,6.355
5/11/2012,6.359
5/14/2012,6.3755
5/15/2012,6.3783
5/16/2012,6.3895
5/17/2012,6.386
5/18/2012,6.391
5/21/2012,6.384
5/22/2012,6.3855
5/23/2012,6.401
5/24/2012,6.4095
5/25/2012,6.4103
5/28/2012,6.4075
5/29/2012,6.407
5/30/2012,6.4235
5/31/2012,6.437
6/1/2012,6.4395
6/4/2012,6.4335
6/5/2012,6.4325
6/6/2012,6.416
6/7/2012,6.409
6/8/2012,6.425
6/11/2012,6.4205
6/12/2012,6.422
6/13/2012,6.4205
6/14/2012,6.4135
6/15/2012,6.407
6/18/2012,6.407
6/19/2012,6.4002
6/20/2012,6.403
