"","ann.ret.incep","ann.std.incep","downrisk.incep","drawdown.incep","sharpe.incep","sortino.incep","omega.incep","wl.incep","skewness.incep","kurtosis.incep"
"X002415.CH.Equity",0.342763851043181,0.396182184435496,0.0331786534379419,-0.452686633664422,0.039270053415293,0.215726647144042,0.588603413854526,0.547752808988764,0.617359583358092,3.97425081563611
"X002594.CH.Equity",0.101720607632601,0.461345868796021,0.0384805431683212,-0.566982760453125,-0.0181458404362573,0.0997667997660122,0.543935620673913,0.519354838709677,0.92827340291911,3.46096408772636
"X600000.CH.Equity",0.124827460171988,0.290603404636356,0.0231654779148845,-0.354658451057726,-0.0483480647028535,0.131730500497866,0.553619989672094,0.480555555555556,1.12185326906188,4.13171928426588
"X600010.CH.Equity",0.12465303611212,0.493988882318432,0.0407154623883677,-0.614525122079555,-0.00712268615252664,0.11081951975959,0.549237693080719,0.504249291784703,1.07141966001569,4.76558902926776
"X600011.CH.Equity",0.0730910248207473,0.309415406229724,0.0280331443433434,-0.449854830492435,-0.0636087770160647,0.080999193672374,0.537287712438693,0.491758241758242,0.292322808442895,3.30889913552287
"X600015.CH.Equity",0.107596695185641,0.308711151846594,0.0262499897150163,-0.395777555370256,-0.04982893440192,0.109211345772709,0.545932507630372,0.486263736263736,0.584004496915868,1.90283148744279
"X600016.CH.Equity",0.134510000160545,0.295770122689859,0.0239428492612565,-0.349684329163135,-0.0427486614456055,0.13559888344731,0.558963317809305,0.486263736263736,1.08219517093448,5.68997894525875
"X600018.CH.Equity",0.111993140086389,0.469437694030723,0.0329264996911671,-0.549070938559561,-0.0167162284186034,0.118803557846261,0.554910278882288,0.5,3.86538289786694,33.416672978877
"X600019.CH.Equity",0.0578959005569473,0.286963742026294,0.0258514440372148,-0.484849536326804,-0.0787072670976396,0.0722538767789609,0.53284799154579,0.485549132947977,0.323030020247315,3.37364291929391
"X600023.CH.Equity",0.0116435873135825,0.415189351257937,0.0367584287359295,-0.60091800810728,-0.0554050149533904,0.049239822181368,0.526726527517076,0.505376344086022,1.50535526671128,13.9216449302299
"X600028.CH.Equity",0.0324305233004987,0.26224546699842,0.0238038707970013,-0.44749556100089,-0.102625842674916,0.0532609147847353,0.523884431409395,0.478021978021978,0.473558697852425,4.29112838309849
"X600030.CH.Equity",0.0627673287990935,0.426516294727178,0.0343096960673439,-0.624126250400286,-0.0366796471012297,0.0824986249279785,0.535987995979192,0.494505494505495,1.54392323494412,7.37218232854281
