,7751 JP Equity,,6758 JP Equity,,6971 JP Equity,,6502 JP Equity,,6752 JP Equity,,7974 JP Equity,,4901 JP Equity,,3765 JP Equity,,9613 JP Equity,,6594 JP Equity,,7731 JP Equity,,7752 JP Equity,,8035 JP Equity,,6702 JP Equity,,4307 JP Equity,,6701 JP Equity,,6753 JP Equity,,4716 JP Equity,,6762 JP Equity,,6963 JP Equity,,4704 JP Equity,,4902 JP Equity,,7832 JP Equity,,4768 JP Equity,,6857 JP Equity,,6448 JP Equity,,8036 JP Equity,,9766 JP Equity,,3436 JP Equity,,4684 JP Equity,,6724 JP Equity,,6952 JP Equity,,4739 JP Equity,,5214 JP Equity,,4062 JP Equity,,9719 JP Equity,,6592 JP Equity,,6723 JP Equity,,6976 JP Equity,,6727 JP Equity,,6925 JP Equity,,3668 JP Equity,,6588 JP Equity,,6457 JP Equity,,6967 JP Equity,,6479 JP Equity,,6703 JP Equity,,3774 JP Equity,,6770 JP Equity,,7735 JP Equity,,3105 JP Equity,,9684 JP Equity,,4733 JP Equity,,6256 JP Equity,,6756 JP Equity,,1973 JP Equity,,7732 JP Equity,,9697 JP Equity,,2327 JP Equity,,3626 JP Equity
12/24/2010,52.3649,12/24/2010,35.7022,12/24/2010,101.5927,12/24/2010,5.3210,12/24/2010,13.8031,12/24/2010,295.7288,12/24/2010,35.3885,12/24/2010,32.2515,12/24/2010,3410.9556,12/24/2010,100.5068,12/24/2010,19.9928,12/24/2010,14.4667,12/24/2010,62.5000,12/24/2010,6.8050,12/24/2010,21.6337,12/24/2010,2.9802,12/24/2010,10.2196,12/24/2010,48.8658,12/24/2010,67.9295,12/24/2010,64.7925,12/24/2010,33.1443,12/24/2010,10.2317,12/24/2010,10.7264,12/24/2010,68.2915,12/24/2010,22.3576,12/24/2010,14.7080,12/24/2010,22.4542,12/24/2010,21.1873,12/24/2010,14.3581,12/24/2010,200.0483,12/24/2010,17.6641,12/24/2010,7.9513,12/24/2010,37.1018,12/24/2010,14.2978,12/24/2010,30.4899,12/24/2010,16.7954,12/24/2010,51.0980,12/24/2010,9.6646,12/24/2010,14.7563,12/24/2010,3.6740,12/24/2010,17.8692,,,12/24/2010,4.6091,12/24/2010,24.2037,12/24/2010,11.1366,12/24/2010,6.2259,12/24/2010,0.8567,12/24/2010,13.4532,12/24/2010,10.9315,12/24/2010,6.7688,12/24/2010,10.8470,12/24/2010,17.3263,12/24/2010,50.7963,12/27/2010,1031.1143,12/27/2010,9.4790,12/24/2010,12.6810,12/24/2010,6.0570,12/24/2010,15.8543,12/24/2010,21.4165,12/24/2010,13.3808
12/27/2010,51.9778,12/27/2010,35.6971,12/27/2010,101.5437,12/27/2010,5.3546,12/27/2010,13.7603,12/27/2010,295.3449,12/27/2010,35.6488,12/27/2010,31.9465,12/27/2010,3461.1674,12/27/2010,101.4231,12/27/2010,20.1158,12/27/2010,14.5200,12/27/2010,62.9522,12/27/2010,6.8862,12/27/2010,21.9609,12/27/2010,2.9667,12/27/2010,10.2750,12/27/2010,48.7820,12/27/2010,69.1028,12/27/2010,64.6406,12/27/2010,33.5987,12/27/2010,10.2508,12/27/2010,10.5765,12/27/2010,69.3440,12/27/2010,22.6725,12/27/2010,14.8095,12/27/2010,22.5880,12/27/2010,21.3459,12/27/2010,14.5080,12/27/2010,202.3637,12/27/2010,17.9088,12/27/2010,8.1163,12/27/2010,37.1442,12/27/2010,14.4356,12/27/2010,30.9455,12/27/2010,17.3782,12/27/2010,51.1336,12/27/2010,9.8649,12/27/2010,15.0868,12/27/2010,3.7416,12/27/2010,18.1380,,,12/27/2010,4.6672,12/27/2010,24.2041,12/27/2010,11.3242,12/27/2010,6.2711,12/27/2010,0.8563,12/27/2010,13.9532,12/27/2010,11.3121,12/27/2010,6.9223,12/27/2010,10.9262,12/27/2010,17.4023,12/27/2010,50.9527,12/28/2010,1066.6017,12/28/2010,9.6676,12/27/2010,12.5784,12/27/2010,6.1143,12/27/2010,15.9793,12/27/2010,21.4665,12/27/2010,13.5191
12/28/2010,51.5646,12/28/2010,36.0039,12/28/2010,101.7899,12/28/2010,5.3817,12/28/2010,14.0753,12/28/2010,295.7506,12/28/2010,35.8700,12/28/2010,31.7789,12/28/2010,3446.9743,12/28/2010,101.0593,12/28/2010,20.0414,12/28/2010,14.5501,12/28/2010,62.9490,12/28/2010,6.9280,12/28/2010,22.0382,12/28/2010,3.0074,12/28/2010,10.3129,12/28/2010,48.8859,12/28/2010,69.5239,12/28/2010,65.1406,12/28/2010,32.9965,12/28/2010,10.3373,12/28/2010,10.6782,12/28/2010,68.0628,12/28/2010,22.5253,12/28/2010,14.8423,12/28/2010,22.9027,12/28/2010,21.3320,12/28/2010,14.7571,12/28/2010,200.4140,12/28/2010,18.0446,12/28/2010,8.0482,12/28/2010,37.2580,12/28/2010,14.5501,12/28/2010,31.3284,12/28/2010,17.6549,12/28/2010,51.0167,12/28/2010,10.0451,12/28/2010,15.2076,12/28/2010,3.8293,12/28/2010,18.9578,,,12/28/2010,4.6877,12/28/2010,24.4003,12/28/2010,11.3600,12/28/2010,6.2584,12/28/2010,0.8523,12/28/2010,14.0935,12/28/2010,11.2992,12/28/2010,6.9889,12/28/2010,11.0069,12/28/2010,17.5454,12/28/2010,52.7213,12/29/2010,1088.9758,12/29/2010,9.7653,12/28/2010,12.6872,12/28/2010,6.1853,12/28/2010,15.9869,12/28/2010,21.5147,12/28/2010,13.5030
12/29/2010,51.5155,12/29/2010,36.1281,12/29/2010,102.6644,12/29/2010,5.4143,12/29/2010,14.2264,12/29/2010,298.4600,12/29/2010,36.2381,12/29/2010,30.7871,12/29/2010,3496.7001,12/29/2010,101.0755,12/29/2010,20.4473,12/29/2010,14.6541,12/29/2010,63.6764,12/29/2010,6.9665,12/29/2010,22.5251,12/29/2010,3.0188,12/29/2010,10.3276,12/29/2010,49.3156,12/29/2010,70.0318,12/29/2010,65.6319,12/29/2010,33.0970,12/29/2010,10.5109,12/29/2010,10.7431,12/29/2010,68.5651,12/29/2010,22.7939,12/29/2010,14.8741,12/29/2010,23.1239,12/29/2010,21.5595,12/29/2010,14.7275,12/29/2010,203.8621,12/29/2010,18.2963,12/29/2010,8.1276,12/29/2010,37.7047,12/29/2010,14.5197,12/29/2010,31.4593,12/29/2010,17.8563,12/29/2010,51.3322,12/29/2010,10.0831,12/29/2010,15.3386,12/29/2010,3.9141,12/29/2010,19.0785,,,12/29/2010,4.7910,12/29/2010,24.7128,12/29/2010,11.4153,12/29/2010,6.3065,12/29/2010,0.8678,12/29/2010,14.1897,12/29/2010,11.5253,12/29/2010,7.1254,12/29/2010,11.0975,12/29/2010,17.7096,12/29/2010,52.7988,12/30/2010,1076.5843,12/30/2010,9.8728,12/29/2010,12.9553,12/29/2010,6.1476,12/29/2010,16.1330,12/29/2010,21.9995,12/29/2010,13.5908
12/30/2010,51.5048,12/30/2010,35.8087,12/30/2010,101.4191,12/30/2010,5.4074,12/30/2010,14.1057,12/30/2010,291.5341,12/30/2010,35.9188,12/30/2010,30.2545,12/30/2010,3438.9528,12/30/2010,100.4404,12/30/2010,20.1493,12/30/2010,14.5584,12/30/2010,62.8823,12/30/2010,6.9122,12/30/2010,22.1189,12/30/2010,2.9851,12/30/2010,10.2398,12/30/2010,48.8133,12/30/2010,69.1216,12/30/2010,64.8397,12/30/2010,32.7991,12/30/2010,10.3254,12/30/2010,10.6680,12/30/2010,67.7759,12/30/2010,22.4737,12/30/2010,14.7296,12/30/2010,23.2200,12/30/2010,21.1157,12/30/2010,14.1913,12/30/2010,204.5510,12/30/2010,18.1062,12/30/2010,8.0132,12/30/2010,37.2523,12/30/2010,14.3382,12/30/2010,31.3433,12/30/2010,17.8126,12/30/2010,51.1989,12/30/2010,9.9462,12/30/2010,15.1701,12/30/2010,3.9485,12/30/2010,18.9381,,,12/30/2010,4.8202,12/30/2010,24.4678,12/30/2010,11.1329,12/30/2010,6.2638,12/30/2010,0.8564,12/30/2010,14.1118,12/30/2010,11.5244,12/30/2010,7.0590,12/30/2010,10.8882,12/30/2010,17.6168,12/30/2010,53.2175,1/4/2011,1063.5697,1/4/2011,9.9633,12/30/2010,12.8945,12/30/2010,6.1292,12/30/2010,15.9775,12/30/2010,21.6785,12/30/2010,13.2371
1/4/2011,51.8949,1/4/2011,36.3570,1/4/2011,104.0342,1/4/2011,5.4890,1/4/2011,14.3276,1/4/2011,285.4523,1/4/2011,36.3081,1/4/2011,31.1736,1/4/2011,3479.2176,1/4/2011,103.4230,1/4/2011,21.3570,1/4/2011,14.7555,1/4/2011,63.5697,1/4/2011,6.9927,1/4/2011,22.7384,1/4/2011,3.0562,1/4/2011,10.4279,1/4/2011,49.0220,1/4/2011,70.2934,1/4/2011,66.9927,1/4/2011,33.0807,1/4/2011,10.5257,1/4/2011,10.8191,1/4/2011,67.4817,1/4/2011,22.8240,1/4/2011,14.9878,1/4/2011,23.5697,1/4/2011,21.4548,1/4/2011,14.4621,1/4/2011,206.7237,1/4/2011,18.3863,1/4/2011,8.2152,1/4/2011,37.3472,1/4/2011,14.4621,1/4/2011,32.6773,1/4/2011,17.7017,1/4/2011,51.7726,1/4/2011,10.1223,1/4/2011,15.6235,1/4/2011,3.9853,1/4/2011,20.0978,,,1/4/2011,4.9756,1/4/2011,24.8411,1/4/2011,11.2225,1/4/2011,6.3936,1/4/2011,0.8680,1/4/2011,14.4254,1/4/2011,11.6015,1/4/2011,7.4450,1/4/2011,11.1247,1/4/2011,17.7873,1/4/2011,53.4230,1/5/2011,1082.6724,1/5/2011,9.7933,1/4/2011,13.0685,1/4/2011,6.2225,1/4/2011,16.1247,1/4/2011,21.8215,1/4/2011,13.6919
1/5/2011,50.6489,1/5/2011,35.6405,1/5/2011,101.2978,1/5/2011,5.5275,1/5/2011,14.1072,1/5/2011,274.8138,1/5/2011,35.5924,1/5/2011,30.8219,1/5/2011,3416.2461,1/5/2011,100.9373,1/5/2011,21.1007,1/5/2011,14.5157,1/5/2011,62.0043,1/5/2011,6.7892,1/5/2011,22.8671,1/5/2011,3.0762,1/5/2011,10.5624,1/5/2011,48.3658,1/5/2011,69.8150,1/5/2011,66.5705,1/5/2011,32.3480,1/5/2011,10.0697,1/5/2011,10.6345,1/5/2011,67.8923,1/5/2011,22.4225,1/5/2011,15.0084,1/5/2011,22.7349,1/5/2011,21.0046,1/5/2011,14.3475,1/5/2011,206.8013,1/5/2011,18.0365,1/5/2011,8.2072,1/5/2011,36.8902,1/5/2011,14.3115,1/5/2011,32.3600,1/5/2011,17.2915,1/5/2011,51.1896,1/5/2011,11.0310,1/5/2011,15.3689,1/5/2011,3.9654,1/5/2011,19.7549,,,1/5/2011,5.0829,1/5/2011,24.1769,1/5/2011,11.3314,1/5/2011,6.3326,1/5/2011,0.8532,1/5/2011,13.9510,1/5/2011,11.4756,1/5/2011,7.4862,1/5/2011,10.9108,1/5/2011,17.6160,1/5/2011,52.6917,1/6/2011,1126.8791,1/6/2011,10.0662,1/5/2011,12.7253,1/5/2011,6.0803,1/5/2011,16.0538,1/5/2011,21.5934,1/5/2011,13.4944
1/6/2011,51.4131,1/6/2011,36.1996,1/6/2011,104.5099,1/6/2011,5.7005,1/6/2011,14.4678,1/6/2011,282.3812,1/6/2011,36.1395,1/6/2011,31.1485,1/6/2011,3476.8491,1/6/2011,103.4275,1/6/2011,21.8641,1/6/2011,14.5280,1/6/2011,64.3416,1/6/2011,6.8190,1/6/2011,23.4275,1/6/2011,3.1028,1/6/2011,10.7757,1/6/2011,48.5268,1/6/2011,72.2790,1/6/2011,67.2279,1/6/2011,32.7841,1/6/2011,10.3668,1/6/2011,10.6675,1/6/2011,68.1900,1/6/2011,23.0307,1/6/2011,15.0812,1/6/2011,23.3915,1/6/2011,21.5394,1/6/2011,14.9248,1/6/2011,210.7036,1/6/2011,18.2441,1/6/2011,8.4666,1/6/2011,38.6651,1/6/2011,14.2033,1/6/2011,32.8443,1/6/2011,17.0776,1/6/2011,51.6536,1/6/2011,11.8581,1/6/2011,16.0072,1/6/2011,4.1311,1/6/2011,19.9519,,,1/6/2011,5.1112,1/6/2011,24.3656,1/6/2011,11.8942,1/6/2011,6.4462,1/6/2011,0.8659,1/6/2011,14.1551,1/6/2011,11.8220,1/6/2011,7.6609,1/6/2011,11.4131,1/6/2011,17.7270,1/6/2011,54.2995,1/7/2011,1105.6185,1/7/2011,10.0675,1/6/2011,12.8803,1/6/2011,6.1576,1/6/2011,16.0794,1/6/2011,22.0686,1/6/2011,13.6981
1/7/2011,50.8199,1/7/2011,36.4119,1/7/2011,104.5334,1/7/2011,5.7150,1/7/2011,14.3598,1/7/2011,284.7842,1/7/2011,36.5324,1/7/2011,31.0707,1/7/2011,3416.9279,1/7/2011,105.7391,1/7/2011,22.0400,1/7/2011,14.4201,1/7/2011,64.6250,1/7/2011,6.7639,1/7/2011,22.9564,1/7/2011,3.0866,1/7/2011,10.7668,1/7/2011,48.5893,1/7/2011,72.8237,1/7/2011,66.9158,1/7/2011,33.4941,1/7/2011,10.4895,1/7/2011,10.7307,1/7/2011,67.8804,1/7/2011,22.9081,1/7/2011,15.0711,1/7/2011,23.4627,1/7/2011,21.4734,1/7/2011,14.8300,1/7/2011,212.9250,1/7/2011,18.4953,1/7/2011,8.5966,1/7/2011,37.8587,1/7/2011,14.1910,1/7/2011,32.8069,1/7/2011,17.0726,1/7/2011,51.6639,1/7/2011,11.7796,1/7/2011,16.2527,1/7/2011,4.2049,1/7/2011,20.1230,,,1/7/2011,5.1242,1/7/2011,24.2344,1/7/2011,11.6349,1/7/2011,6.4505,1/7/2011,0.8802,1/7/2011,14.3598,1/7/2011,12.1654,1/7/2011,7.6079,1/7/2011,11.3335,1/7/2011,18.1336,1/7/2011,55.7029,1/11/2011,1093.2437,1/11/2011,10.0324,1/7/2011,12.9853,1/7/2011,6.1008,1/7/2011,16.0719,1/7/2011,22.0883,1/7/2011,13.4193
1/11/2011,49.8620,1/11/2011,36.1214,1/11/2011,103.0841,1/11/2011,5.7602,1/11/2011,14.1846,1/11/2011,288.4915,1/11/2011,36.3615,1/11/2011,30.9732,1/11/2011,3328.9332,1/11/2011,104.6442,1/11/2011,21.9489,1/11/2011,14.1366,1/11/2011,63.9626,1/11/2011,6.6243,1/11/2011,22.5969,1/11/2011,3.0481,1/11/2011,10.6564,1/11/2011,47.9419,1/11/2011,72.9629,1/11/2011,66.6027,1/11/2011,32.6173,1/11/2011,10.4404,1/11/2011,10.7764,1/11/2011,67.2027,1/11/2011,22.5369,1/11/2011,15.0366,1/11/2011,23.3529,1/11/2011,21.3009,1/11/2011,14.5326,1/11/2011,213.2485,1/11/2011,18.3367,1/11/2011,8.5323,1/11/2011,37.5015,1/11/2011,13.8486,1/11/2011,33.3013,1/11/2011,17.1127,1/11/2011,51.4221,1/11/2011,11.4845,1/11/2011,16.3807,1/11/2011,4.2422,1/11/2011,19.9688,,,1/11/2011,5.0522,1/11/2011,24.1810,1/11/2011,11.4005,1/11/2011,6.3843,1/11/2011,0.8760,1/11/2011,14.9706,1/11/2011,12.0125,1/11/2011,7.6323,1/11/2011,11.2205,1/11/2011,17.6527,1/11/2011,57.1223,1/12/2011,1089.3351,1/12/2011,10.0998,1/11/2011,12.9365,1/11/2011,6.0722,1/11/2011,16.2487,1/11/2011,21.6729,1/11/2011,13.2245
1/12/2011,49.9579,1/12/2011,36.0346,1/12/2011,103.5229,1/12/2011,5.7954,1/12/2011,14.1157,1/12/2011,284.3573,1/12/2011,36.2511,1/12/2011,32.7402,1/12/2011,3313.6948,1/12/2011,104.8455,1/12/2011,21.9430,1/12/2011,14.1036,1/12/2011,64.5666,1/12/2011,6.6250,1/12/2011,22.7245,1/12/2011,3.0299,1/12/2011,10.7250,1/12/2011,48.0342,1/12/2011,72.7426,1/12/2011,66.7308,1/12/2011,32.2592,1/12/2011,10.2802,1/12/2011,10.6890,1/12/2011,66.8510,1/12/2011,22.4480,1/12/2011,15.1978,1/12/2011,24.6844,1/12/2011,21.0172,1/12/2011,14.6086,1/12/2011,211.3743,1/12/2011,18.3480,1/12/2011,8.4405,1/12/2011,37.4534,1/12/2011,13.7429,1/12/2011,33.8824,1/12/2011,17.1336,1/12/2011,51.1002,1/12/2011,11.6989,1/12/2011,16.3160,1/12/2011,4.1030,1/12/2011,19.9832,,,1/12/2011,4.9898,1/12/2011,24.0832,1/12/2011,11.2661,1/12/2011,6.3244,1/12/2011,0.8777,1/12/2011,14.3742,1/12/2011,12.1438,1/12/2011,7.6229,1/12/2011,11.1579,1/12/2011,17.7829,1/12/2011,56.5709,1/13/2011,1099.0207,1/13/2011,10.0955,1/12/2011,12.7570,1/12/2011,6.0238,1/12/2011,16.1597,1/12/2011,21.0653,1/12/2011,13.2380
1/13/2011,51.2635,1/13/2011,35.9811,1/13/2011,105.4286,1/13/2011,5.8760,1/13/2011,14.2788,1/13/2011,291.2586,1/13/2011,36.8758,1/13/2011,32.7651,1/13/2011,3338.1695,1/13/2011,104.7032,1/13/2011,22.5124,1/13/2011,14.4118,1/13/2011,65.0466,1/13/2011,6.6377,1/13/2011,22.8751,1/13/2011,3.0226,1/13/2011,10.8451,1/13/2011,48.3618,1/13/2011,73.8726,1/13/2011,67.2228,1/13/2011,32.8134,1/13/2011,10.5429,1/13/2011,10.9056,1/13/2011,66.0138,1/13/2011,22.4399,1/13/2011,15.3790,1/13/2011,24.4348,1/13/2011,21.3034,1/13/2011,15.0042,1/13/2011,211.5826,1/13/2011,18.5346,1/13/2011,8.4996,1/13/2011,37.1781,1/13/2011,13.8798,1/13/2011,34.2038,1/13/2011,17.2651,1/13/2011,50.5985,1/13/2011,11.7882,1/13/2011,16.4914,1/13/2011,4.3133,1/13/2011,19.8888,,,1/13/2011,5.0538,1/13/2011,23.9995,1/13/2011,11.2199,1/13/2011,6.2749,1/13/2011,0.8826,1/13/2011,15.4334,1/13/2011,12.3927,1/13/2011,7.7258,1/13/2011,11.3167,1/13/2011,18.2082,1/13/2011,56.4623,1/14/2011,1083.7854,1/14/2011,10.1869,1/13/2011,12.9610,1/13/2011,5.9122,1/13/2011,16.4793,1/13/2011,21.1824,1/13/2011,13.5292
1/14/2011,50.4521,1/14/2011,35.4551,1/14/2011,102.9536,1/14/2011,5.8831,1/14/2011,14.1169,1/14/2011,287.0404,1/14/2011,36.7089,1/14/2011,33.2731,1/14/2011,3246.5341,1/14/2011,102.2303,1/14/2011,22.2544,1/14/2011,14.0326,1/14/2011,66.9078,1/14/2011,6.5341,1/14/2011,22.4955,1/14/2011,2.9777,1/14/2011,10.5606,1/14/2011,47.4382,1/14/2011,73.0561,1/14/2011,68.9572,1/14/2011,31.8264,1/14/2011,10.2471,1/14/2011,10.6932,1/14/2011,65.5817,1/14/2011,21.9771,1/14/2011,15.1537,1/14/2011,24.3520,1/14/2011,20.8559,1/14/2011,15.0693,1/14/2011,208.9210,1/14/2011,18.1435,1/14/2011,8.1013,1/14/2011,36.4678,1/14/2011,13.8638,1/14/2011,34.4786,1/14/2011,17.1067,1/14/2011,49.7890,1/14/2011,11.6094,1/14/2011,16.1784,1/14/2011,4.2074,1/14/2011,19.5901,,,1/14/2011,4.8704,1/14/2011,23.7854,1/14/2011,10.9825,1/14/2011,6.0518,1/14/2011,0.8559,1/14/2011,15.4792,1/14/2011,11.9470,1/14/2011,8.0289,1/14/2011,11.1513,1/14/2011,18.0229,1/14/2011,56.0579,1/17/2011,1114.6035,1/17/2011,10.5174,1/14/2011,12.8029,1/14/2011,5.7866,1/14/2011,16.6124,1/14/2011,20.8198,1/14/2011,13.1284
1/17/2011,50.5924,1/17/2011,35.5053,1/17/2011,102.9981,1/17/2011,5.9961,1/17/2011,14.0716,1/17/2011,292.5532,1/17/2011,37.1736,1/17/2011,33.8491,1/17/2011,3257.9787,1/17/2011,101.0638,1/17/2011,22.0382,1/17/2011,14.1804,1/17/2011,69.3907,1/17/2011,6.6127,1/17/2011,22.7394,1/17/2011,2.9860,1/17/2011,10.6020,1/17/2011,47.4492,1/17/2011,73.2592,1/17/2011,67.4565,1/17/2011,31.6852,1/17/2011,10.1064,1/17/2011,10.7834,1/17/2011,65.5222,1/17/2011,22.3525,1/17/2011,15.2321,1/17/2011,24.9275,1/17/2011,20.9260,1/17/2011,15.9091,1/17/2011,210.3482,1/17/2011,18.3632,1/17/2011,8.0150,1/17/2011,36.5087,1/17/2011,13.9265,1/17/2011,35.1306,1/17/2011,17.1784,1/17/2011,50.2901,1/17/2011,11.5812,1/17/2011,16.3806,1/17/2011,4.2432,1/17/2011,19.9952,,,1/17/2011,4.9081,1/17/2011,23.9724,1/17/2011,11.1823,1/17/2011,6.0687,1/17/2011,0.8462,1/17/2011,16.3080,1/17/2011,11.7021,1/17/2011,8.3535,1/17/2011,11.2428,1/17/2011,18.4478,1/17/2011,56.5160,1/18/2011,1100.7733,1/18/2011,10.6452,1/17/2011,12.7539,1/17/2011,5.8027,1/17/2011,16.7432,1/17/2011,21.3129,1/17/2011,12.8989
1/18/2011,50.5075,1/18/2011,35.6573,1/18/2011,102.2233,1/18/2011,5.9812,1/18/2011,14.0164,1/18/2011,291.3243,1/18/2011,37.1556,1/18/2011,32.8782,1/18/2011,3293.8618,1/18/2011,100.7733,1/18/2011,22.0276,1/18/2011,14.1977,1/18/2011,69.4780,1/18/2011,6.6578,1/18/2011,22.3175,1/18/2011,2.9362,1/18/2011,10.5365,1/18/2011,47.1242,1/18/2011,72.7405,1/18/2011,66.9406,1/18/2011,31.1020,1/18/2011,10.0894,1/18/2011,10.7661,1/18/2011,65.4906,1/18/2011,22.3296,1/18/2011,15.2610,1/18/2011,24.9638,1/18/2011,20.7709,1/18/2011,16.2397,1/18/2011,206.6216,1/18/2011,18.3905,1/18/2011,8.0595,1/18/2011,36.6119,1/18/2011,13.9802,1/18/2011,34.5698,1/18/2011,16.9768,1/18/2011,50.2658,1/18/2011,11.6844,1/18/2011,16.4693,1/18/2011,4.1052,1/18/2011,19.9372,,,1/18/2011,4.9299,1/18/2011,23.7192,1/18/2011,11.1407,1/18/2011,6.0778,1/18/2011,0.8458,1/18/2011,16.0283,1/18/2011,11.8294,1/18/2011,8.6153,1/18/2011,11.2736,1/18/2011,18.2214,1/18/2011,55.5220,1/19/2011,1107.1777,1/19/2011,10.8032,1/18/2011,12.8565,1/18/2011,5.7395,1/18/2011,16.8560,1/18/2011,21.3388,1/18/2011,12.6631
1/19/2011,51.2085,1/19/2011,36.2305,1/19/2011,102.6611,1/19/2011,6.0791,1/19/2011,14.2456,1/19/2011,294.4336,1/19/2011,37.6587,1/19/2011,32.7881,1/19/2011,3347.1680,1/19/2011,102.7832,1/19/2011,22.7783,1/19/2011,14.4531,1/19/2011,70.1904,1/19/2011,6.7505,1/19/2011,23.0347,1/19/2011,2.9541,1/19/2011,10.6934,1/19/2011,47.6074,1/19/2011,72.0215,1/19/2011,67.6270,1/19/2011,31.3843,1/19/2011,10.3149,1/19/2011,11.0352,1/19/2011,67.0166,1/19/2011,22.5708,1/19/2011,15.4053,1/19/2011,25.8667,1/19/2011,21.0693,1/19/2011,16.6870,1/19/2011,212.1582,1/19/2011,18.5791,1/19/2011,8.2153,1/19/2011,37.6587,1/19/2011,14.2334,1/19/2011,34.9243,1/19/2011,17.1143,1/19/2011,50.7813,1/19/2011,11.8774,1/19/2011,16.7603,1/19/2011,4.2450,1/19/2011,20.6909,,,1/19/2011,5.0537,1/19/2011,24.1943,1/19/2011,11.4258,1/19/2011,6.1768,1/19/2011,0.8667,1/19/2011,16.1011,1/19/2011,12.0728,1/19/2011,8.9233,1/19/2011,11.4868,1/19/2011,18.5791,1/19/2011,57.9224,1/20/2011,1079.8745,1/20/2011,10.2799,1/19/2011,12.8296,1/19/2011,5.7373,1/19/2011,17.5293,1/19/2011,21.7896,1/19/2011,12.9395
1/20/2011,49.4691,1/20/2011,35.4247,1/20/2011,100.3861,1/20/2011,5.8880,1/20/2011,13.9358,1/20/2011,278.7162,1/20/2011,36.6192,1/20/2011,31.0690,1/20/2011,3275.8205,1/20/2011,97.7317,1/20/2011,22.1163,1/20/2011,14.0565,1/20/2011,66.7230,1/20/2011,6.5999,1/20/2011,22.8041,1/20/2011,2.8837,1/20/2011,10.4609,1/20/2011,46.6337,1/20/2011,69.2568,1/20/2011,65.7577,1/20/2011,30.8277,1/20/2011,10.1110,1/20/2011,10.8470,1/20/2011,65.5164,1/20/2011,21.8267,1/20/2011,14.8890,1/20/2011,24.6863,1/20/2011,20.8253,1/20/2011,16.2886,1/20/2011,202.3407,1/20/2011,17.9416,1/20/2011,7.9754,1/20/2011,36.1487,1/20/2011,14.0203,1/20/2011,33.5183,1/20/2011,16.6626,1/20/2011,49.7708,1/20/2011,11.3296,1/20/2011,15.9508,1/20/2011,4.0812,1/20/2011,19.8721,,,1/20/2011,4.9228,1/20/2011,24.5777,1/20/2011,11.1487,1/20/2011,6.0811,1/20/2011,0.8446,1/20/2011,15.2932,1/20/2011,11.6916,1/20/2011,8.3615,1/20/2011,11.2090,1/20/2011,18.2432,1/20/2011,55.6829,1/21/2011,1043.4047,1/21/2011,10.0955,1/20/2011,12.6810,1/20/2011,5.5743,1/20/2011,17.0126,1/20/2011,20.9460,1/20/2011,12.6327
1/21/2011,49.0872,1/21/2011,34.1797,1/21/2011,99.6252,1/21/2011,5.8034,1/21/2011,13.7831,1/21/2011,273.8484,1/21/2011,36.4527,1/21/2011,30.5767,1/21/2011,3390.1584,1/21/2011,95.9981,1/21/2011,22.1980,1/21/2011,14.2304,1/21/2011,65.2884,1/21/2011,6.6256,1/21/2011,22.5003,1/21/2011,2.9501,1/21/2011,10.3857,1/21/2011,46.7900,1/21/2011,67.5855,1/21/2011,64.5629,1/21/2011,30.7218,1/21/2011,10.1197,1/21/2011,10.7242,1/21/2011,66.4974,1/21/2011,21.7144,1/21/2011,14.6415,1/21/2011,24.3864,1/21/2011,20.4328,1/21/2011,15.7659,1/21/2011,204.6911,1/21/2011,18.0148,1/21/2011,7.8104,1/21/2011,35.3283,1/21/2011,14.0491,1/21/2011,32.5475,1/21/2011,15.9836,1/21/2011,49.3894,1/21/2011,10.7000,1/21/2011,15.3186,1/21/2011,4.0956,1/21/2011,19.5986,,,1/21/2011,4.7515,1/21/2011,24.7249,1/21/2011,11.1111,1/21/2011,5.9848,1/21/2011,0.8222,1/21/2011,14.5992,1/21/2011,11.4980,1/21/2011,8.3061,1/21/2011,11.1837,1/21/2011,18.3291,1/21/2011,55.5556,1/24/2011,1055.4410,1/24/2011,10.4938,1/21/2011,12.7433,1/21/2011,5.6221,1/21/2011,16.7694,1/21/2011,20.1548,1/21/2011,12.3564
