,939 HK Equity,,3988 HK Equity,,2628 HK Equity,,3328 HK Equity,,2318 HK Equity,,998 HK Equity,,2328 HK Equity,,2007 HK Equity,,960 HK Equity,,2777 HK Equity,,410 HK Equity,,3618 HK Equity,,3900 HK Equity,,3377 HK Equity,,272 HK Equity,,1918 HK Equity,,588 HK Equity,,1387 HK Equity,,1638 HK Equity,,337 HK Equity,,1777 HK Equity,,2868 HK Equity,,1238 HK Equity,,832 HK Equity,,3883 HK Equity,,2118 HK Equity,,8207 HK Equity,,733 HK Equity,,
10/22/2009,0.86743,10/22/2009,0.5667,10/22/2009,4.60639,10/22/2009,1.1264,10/22/2009,8.81924,10/22/2009,0.7327,10/22/2009,0.6513,10/22/2009,0.39972,5/9/2011,1.5723,10/22/2009,2.1084,10/22/2009,0.61031,6/8/2012,0.3970,10/22/2009,1.63095,10/22/2009,1.0658,10/22/2009,0.5970,3/26/2012,0.30637,10/22/2009,0.39096,4/12/2010,0.2372,5/30/2011,0.3612,10/22/2009,0.56522,5/16/2011,0.1594,10/22/2009,0.47483,3/29/2011,0.3208,11/25/2009,0.27431,10/22/2009,0.1987,12/29/2011,0.24316,5/14/2012,0.0901,10/22/2009,0.22483,,
10/23/2009,0.88247,10/23/2009,0.5766,10/23/2009,4.87097,10/23/2009,1.1777,10/23/2009,9.30323,10/23/2009,0.7464,10/23/2009,0.7195,10/23/2009,0.39849,5/11/2011,1.6136,10/23/2009,2.1239,10/23/2009,0.60774,6/11/2012,0.4046,10/23/2009,1.59484,10/23/2009,1.0684,10/23/2009,0.5982,3/27/2012,0.32197,10/23/2009,0.40258,4/13/2010,0.2384,5/31/2011,0.3806,10/23/2009,0.59292,5/17/2011,0.1582,10/23/2009,0.47226,3/30/2011,0.3212,11/26/2009,0.26802,10/23/2009,0.2039,12/30/2011,0.22404,5/15/2012,0.0912,10/23/2009,0.2131,,
10/27/2009,0.86492,10/27/2009,0.5642,10/27/2009,4.89665,10/27/2009,1.1598,10/27/2009,9.21267,10/27/2009,0.7513,10/27/2009,0.7113,10/27/2009,0.39111,5/12/2011,1.5929,10/27/2009,2.0645,10/27/2009,0.57805,6/12/2012,0.4098,10/27/2009,1.51222,10/27/2009,1.0451,10/27/2009,0.5875,3/28/2012,0.31813,10/27/2009,0.3858,4/14/2010,0.2358,6/1/2011,0.3767,10/27/2009,0.58409,5/18/2011,0.1595,10/27/2009,0.44515,3/31/2011,0.3241,11/27/2009,0.2592,10/27/2009,0.1974,1/3/2012,0.22271,5/16/2012,0.0890,10/27/2009,0.20039,,
10/28/2009,0.8474,10/28/2009,0.5506,10/28/2009,4.77407,10/28/2009,1.1353,10/28/2009,8.94816,10/28/2009,0.7302,10/28/2009,0.6831,10/28/2009,0.38988,5/13/2011,1.6057,10/28/2009,2.0077,10/28/2009,0.55611,6/13/2012,0.4151,10/28/2009,1.48383,10/28/2009,1.0168,10/28/2009,0.5791,3/29/2012,0.30525,10/28/2009,0.38064,4/15/2010,0.2294,6/2/2011,0.3753,10/28/2009,0.58157,5/19/2011,0.1608,10/28/2009,0.43612,4/1/2011,0.3240,11/30/2009,0.26424,10/28/2009,0.1923,1/4/2012,0.21242,5/17/2012,0.0914,10/28/2009,0.1955,,
10/29/2009,0.82735,10/29/2009,0.5357,10/29/2009,4.67718,10/29/2009,1.0741,10/29/2009,8.75439,10/29/2009,0.7052,10/29/2009,0.6584,10/29/2009,0.36773,5/16/2011,1.6303,10/29/2009,1.8967,10/29/2009,0.53804,6/14/2012,0.4112,10/29/2009,1.44509,10/29/2009,0.9741,10/29/2009,0.5613,3/30/2012,0.29623,10/29/2009,0.3703,4/16/2010,0.2281,6/3/2011,0.3729,10/29/2009,0.5652,5/20/2011,0.1582,10/29/2009,0.4103,4/4/2011,0.3230,12/1/2009,0.26424,10/29/2009,0.1858,1/5/2012,0.21893,5/18/2012,0.0876,10/29/2009,0.19549,,
10/30/2009,0.85241,10/30/2009,0.5667,10/30/2009,4.71607,10/30/2009,1.0563,10/30/2009,8.98053,10/30/2009,0.7401,10/30/2009,0.6854,10/30/2009,0.37266,5/17/2011,1.6592,10/30/2009,1.9303,10/30/2009,0.54709,6/15/2012,0.4305,10/30/2009,1.46321,10/30/2009,0.9974,10/30/2009,0.5720,4/2/2012,0.29489,10/30/2009,0.37677,4/19/2010,0.2190,6/7/2011,0.3728,10/30/2009,0.5627,5/23/2011,0.1556,10/30/2009,0.42709,4/6/2011,0.3229,12/2/2009,0.26928,10/30/2009,0.1923,1/6/2012,0.21763,5/21/2012,0.0889,10/30/2009,0.19843,,
11/2/2009,0.8474,11/2/2009,0.5593,11/2/2009,4.78697,11/2/2009,1.0452,11/2/2009,9.00622,11/2/2009,0.7376,11/2/2009,0.6937,11/2/2009,0.37758,5/18/2011,1.6925,11/2/2009,1.9096,11/2/2009,0.5574,6/18/2012,0.4240,11/2/2009,1.44512,11/2/2009,1.0064,11/2/2009,0.5839,4/3/2012,0.32069,11/2/2009,0.37418,4/20/2010,0.2319,6/8/2011,0.3611,11/2/2009,0.55388,5/24/2011,0.1543,11/2/2009,0.43741,4/7/2011,0.3217,12/3/2009,0.27431,11/2/2009,0.1948,1/9/2012,0.21503,5/22/2012,0.0850,11/2/2009,0.19941,,
11/3/2009,0.82736,11/3/2009,0.5444,11/3/2009,4.65788,11/3/2009,1.0262,11/3/2009,8.83837,11/3/2009,0.7414,11/3/2009,0.6748,11/3/2009,0.37634,5/19/2011,1.6927,11/3/2009,1.8606,11/3/2009,0.54062,6/19/2012,0.4189,11/3/2009,1.41672,11/3/2009,0.9858,11/3/2009,0.5791,4/5/2012,0.34002,11/3/2009,0.37418,4/21/2010,0.2306,6/9/2011,0.3610,11/3/2009,0.54758,5/25/2011,0.1542,11/3/2009,0.42708,4/8/2011,0.3219,12/4/2009,0.26424,11/3/2009,0.1884,1/10/2012,0.21247,5/23/2012,0.0837,11/3/2009,0.1955,,
11/4/2009,0.84741,11/4/2009,0.5593,11/4/2009,4.79994,11/4/2009,1.0452,11/4/2009,9.0773,11/4/2009,0.7626,11/4/2009,0.6913,11/4/2009,0.38004,5/20/2011,1.6901,11/4/2009,1.8968,11/4/2009,0.5458,6/20/2012,0.4150,11/4/2009,1.42966,11/4/2009,0.9987,11/4/2009,0.5827,4/10/2012,0.32969,11/4/2009,0.36645,4/22/2010,0.2280,6/10/2011,0.3584,11/4/2009,0.56648,5/26/2011,0.1541,11/4/2009,0.42709,4/11/2011,0.3218,12/7/2009,0.2655,11/4/2009,0.1910,1/11/2012,0.21117,5/24/2012,0.0863,11/4/2009,0.19355,,
11/5/2009,0.83865,11/5/2009,0.5605,11/5/2009,4.73542,11/5/2009,1.0441,11/5/2009,9.05795,11/5/2009,0.7700,11/5/2009,0.6854,11/5/2009,0.37881,5/23/2011,1.6149,11/5/2009,1.8580,11/5/2009,0.55096,6/21/2012,0.4072,11/5/2009,1.41676,11/5/2009,0.9858,11/5/2009,0.5887,4/11/2012,0.32713,11/5/2009,0.35871,4/23/2010,0.2332,6/13/2011,0.3558,11/5/2009,0.56899,5/27/2011,0.1567,11/5/2009,0.42967,4/12/2011,0.3177,12/8/2009,0.30198,11/5/2009,0.1923,1/12/2012,0.20857,5/25/2012,0.0863,11/5/2009,0.19452,,
11/6/2009,0.84741,11/6/2009,0.5692,11/6/2009,4.8322,11/6/2009,1.0697,11/6/2009,9.18053,11/6/2009,0.7838,11/6/2009,0.6937,11/6/2009,0.3825,5/24/2011,1.5841,11/6/2009,1.8684,11/6/2009,0.56257,6/22/2012,0.3994,11/6/2009,1.43482,11/6/2009,0.9961,11/6/2009,0.5922,4/12/2012,0.32327,11/6/2009,0.37032,4/26/2010,0.2499,6/14/2011,0.3597,11/6/2009,0.58032,5/30/2011,0.1543,11/6/2009,0.43741,4/13/2011,0.3215,12/9/2009,0.31833,11/6/2009,0.1961,1/13/2012,0.20858,5/28/2012,0.0876,11/6/2009,0.19355,,
11/9/2009,0.87369,11/9/2009,0.5840,11/9/2009,4.95477,11/9/2009,1.0942,11/9/2009,9.21924,11/9/2009,0.7950,11/9/2009,0.7066,11/9/2009,0.38127,5/25/2011,1.5470,11/9/2009,1.9380,11/9/2009,0.5587,6/25/2012,0.3892,11/9/2009,1.48385,11/9/2009,1.0400,11/9/2009,0.5934,4/13/2012,0.33507,11/9/2009,0.37419,4/27/2010,0.2524,6/15/2011,0.3633,11/9/2009,0.59165,5/31/2011,0.1569,11/9/2009,0.43483,4/14/2011,0.3216,12/10/2009,0.30826,11/9/2009,0.1974,1/16/2012,0.20211,5/29/2012,0.0889,11/9/2009,0.1955,,
11/10/2009,0.8812,11/10/2009,0.5902,11/10/2009,4.96123,11/10/2009,1.0964,11/10/2009,9.37407,11/10/2009,0.7900,11/10/2009,0.6913,11/10/2009,0.37758,5/26/2011,1.5516,11/10/2009,1.9174,11/10/2009,0.55096,6/26/2012,0.3957,11/10/2009,1.48127,11/10/2009,1.0335,11/10/2009,0.5922,4/16/2012,0.3274,11/10/2009,0.3729,4/28/2010,0.2420,6/16/2011,0.3591,11/10/2009,0.58032,6/1/2011,0.1581,11/10/2009,0.43096,4/15/2011,0.3216,12/11/2009,0.30072,11/10/2009,0.1961,1/17/2012,0.19962,5/30/2012,0.0850,11/10/2009,0.19257,,
11/11/2009,0.88997,11/11/2009,0.5927,11/11/2009,5.02574,11/11/2009,1.0942,11/11/2009,9.33536,11/11/2009,0.7950,11/11/2009,0.7101,11/11/2009,0.37143,5/27/2011,1.5390,11/11/2009,1.9329,11/11/2009,0.5458,6/27/2012,0.3983,11/11/2009,1.49675,11/11/2009,1.0439,11/11/2009,0.5898,4/17/2012,0.31962,11/11/2009,0.3729,4/29/2010,0.2408,6/17/2011,0.3581,11/11/2009,0.58158,6/2/2011,0.1542,11/11/2009,0.4258,4/18/2011,0.3176,12/14/2009,0.29816,11/11/2009,0.1884,1/18/2012,0.19971,5/31/2012,0.0850,11/11/2009,0.18964,,
11/12/2009,0.87995,11/12/2009,0.5791,11/12/2009,4.94832,11/12/2009,1.0808,11/12/2009,9.32246,11/12/2009,0.7850,11/12/2009,0.6972,11/12/2009,0.36651,5/30/2011,1.5503,11/12/2009,1.9303,11/12/2009,0.54967,6/28/2012,0.3905,11/12/2009,1.59482,11/12/2009,1.0322,11/12/2009,0.5839,4/18/2012,0.3144,11/12/2009,0.37419,4/30/2010,0.2473,6/20/2011,0.3503,11/12/2009,0.60424,6/3/2011,0.1530,11/12/2009,0.42322,4/19/2011,0.3124,12/15/2009,0.28677,11/12/2009,0.1884,1/19/2012,0.20491,6/1/2012,0.0825,11/12/2009,0.20039,,
11/13/2009,0.89247,11/13/2009,0.5976,11/13/2009,4.99348,11/13/2009,1.0819,11/13/2009,9.35472,11/13/2009,0.8161,11/13/2009,0.6984,11/13/2009,0.36897,5/31/2011,1.5841,11/13/2009,1.9200,11/13/2009,0.54193,6/29/2012,0.4009,11/13/2009,1.64901,11/13/2009,1.0503,11/13/2009,0.5827,4/19/2012,0.3156,11/13/2009,0.38064,5/3/2010,0.2473,6/21/2011,0.3530,11/13/2009,0.64201,6/7/2011,0.1581,11/13/2009,0.46193,4/20/2011,0.3153,12/16/2009,0.27421,11/13/2009,0.1897,1/20/2012,0.19973,6/4/2012,0.0773,11/13/2009,0.20332,,
11/16/2009,0.92501,11/16/2009,0.6112,11/16/2009,5.0451,11/16/2009,1.1053,11/16/2009,9.49665,11/16/2009,0.8461,11/16/2009,0.7090,11/16/2009,0.37143,6/1/2011,1.5660,11/16/2009,1.9329,11/16/2009,0.54322,7/3/2012,0.4036,11/16/2009,1.65675,11/16/2009,1.0748,11/16/2009,0.5851,4/20/2012,0.30794,11/16/2009,0.38709,5/4/2010,0.2447,6/22/2011,0.3493,11/16/2009,0.63194,6/8/2011,0.1581,11/16/2009,0.49032,4/21/2011,0.3180,12/17/2009,0.2829,11/16/2009,0.1910,1/26/2012,0.21272,6/5/2012,0.0786,11/16/2009,0.20332,,
11/17/2009,0.925,11/17/2009,0.6100,11/17/2009,5.00632,11/17/2009,1.1008,11/17/2009,9.52879,11/17/2009,0.8685,11/17/2009,0.7160,11/17/2009,0.37512,6/2/2011,1.5475,11/17/2009,1.9303,11/17/2009,0.55353,7/4/2012,0.4036,11/17/2009,1.63609,11/17/2009,1.0671,11/17/2009,0.5851,4/23/2012,0.29763,11/17/2009,0.3858,5/5/2010,0.2382,6/23/2011,0.3466,11/17/2009,0.63696,6/9/2011,0.1567,11/17/2009,0.46579,4/26/2011,0.3101,12/18/2009,0.2753,11/17/2009,0.1910,1/27/2012,0.22307,6/6/2012,0.0825,11/17/2009,0.20918,,
11/18/2009,0.91875,11/18/2009,0.5976,11/18/2009,5.03864,11/18/2009,1.0942,11/18/2009,9.38698,11/18/2009,0.8635,11/18/2009,0.6995,11/18/2009,0.37143,6/3/2011,1.4838,11/18/2009,1.8709,11/18/2009,0.54193,7/5/2012,0.4049,11/18/2009,1.52256,11/18/2009,1.0800,11/18/2009,0.5708,4/24/2012,0.30026,11/18/2009,0.38064,5/6/2010,0.2264,6/24/2011,0.3480,11/18/2009,0.62061,6/10/2011,0.1567,11/18/2009,0.46967,4/27/2011,0.3076,12/21/2009,0.27033,11/18/2009,0.1871,1/30/2012,0.22048,6/7/2012,0.0825,11/18/2009,0.21114,,
11/19/2009,0.89622,11/19/2009,0.5852,11/19/2009,4.97413,11/19/2009,1.0819,11/19/2009,9.18053,11/19/2009,0.8423,11/19/2009,0.6925,11/19/2009,0.3702,6/7/2011,1.4885,11/19/2009,1.8245,11/19/2009,0.54193,7/6/2012,0.3986,11/19/2009,1.50966,11/19/2009,1.0452,11/19/2009,0.5625,4/25/2012,0.30154,11/19/2009,0.38322,5/7/2010,0.2262,6/27/2011,0.3506,11/19/2009,0.61557,6/13/2011,0.1541,11/19/2009,0.52644,4/28/2011,0.3063,12/22/2009,0.26789,11/19/2009,0.1871,1/31/2012,0.22047,6/8/2012,0.0786,11/19/2009,0.20821,,
11/20/2009,0.88995,11/20/2009,0.5840,11/20/2009,4.96116,11/20/2009,1.0674,11/20/2009,9.05783,11/20/2009,0.8062,11/20/2009,0.6831,11/20/2009,0.36651,6/8/2011,1.4907,11/20/2009,1.7935,11/20/2009,0.54966,7/9/2012,0.3907,11/20/2009,1.53544,11/20/2009,1.0335,11/20/2009,0.5613,4/26/2012,0.30286,11/20/2009,0.38064,5/10/2010,0.2378,6/28/2011,0.3558,11/20/2009,0.5992,6/14/2011,0.1503,11/20/2009,0.52773,4/29/2011,0.3116,12/23/2009,0.26412,11/20/2009,0.1858,2/1/2012,0.21923,6/11/2012,0.0799,11/20/2009,0.20332,,
11/23/2009,0.92626,11/23/2009,0.5951,11/23/2009,5.08381,11/23/2009,1.0908,11/23/2009,9.46439,11/23/2009,0.8386,11/23/2009,0.6972,11/23/2009,0.36528,6/9/2011,1.4724,11/23/2009,1.7961,11/23/2009,0.54709,7/10/2012,0.3972,11/23/2009,1.56901,11/23/2009,1.0413,11/23/2009,0.5577,4/27/2012,0.29899,11/23/2009,0.38709,5/11/2010,0.2352,6/29/2011,0.3508,11/23/2009,0.62186,6/15/2011,0.1515,11/23/2009,0.52128,5/3/2011,0.3077,12/24/2009,0.2703,11/23/2009,0.1871,2/2/2012,0.2192,6/12/2012,0.0812,11/23/2009,0.2043,,
11/24/2009,0.89497,11/24/2009,0.5716,11/24/2009,5.02574,11/24/2009,1.0641,11/24/2009,9.44504,11/24/2009,0.8299,11/24/2009,0.7066,11/24/2009,0.36651,6/10/2011,1.4645,11/24/2009,1.7961,11/24/2009,0.5458,7/11/2012,0.3972,11/24/2009,1.57675,11/24/2009,1.0245,11/24/2009,0.5601,4/30/2012,0.30935,11/24/2009,0.37806,5/12/2010,0.2352,6/30/2011,0.3663,11/24/2009,0.64201,6/16/2011,0.1488,11/24/2009,0.49806,5/4/2011,0.3025,12/28/2009,0.26908,11/24/2009,0.1871,2/3/2012,0.21537,6/13/2012,0.0812,11/24/2009,0.20528,,
11/25/2009,0.89497,11/25/2009,0.5543,11/25/2009,5.25155,11/25/2009,1.0441,11/25/2009,9.75471,11/25/2009,0.8137,11/25/2009,0.7466,11/25/2009,0.36774,6/13/2011,1.4642,11/25/2009,1.8142,11/25/2009,0.5458,7/12/2012,0.3816,11/25/2009,1.56643,11/25/2009,1.0193,11/25/2009,0.5589,5/2/2012,0.31194,11/25/2009,0.37161,5/13/2010,0.2352,7/4/2011,0.3728,11/25/2009,0.64201,6/17/2011,0.1489,11/25/2009,0.50709,5/5/2011,0.3037,12/29/2009,0.26784,11/25/2009,0.1845,2/6/2012,0.21924,6/14/2012,0.0786,11/25/2009,0.21896,,
11/26/2009,0.86242,11/26/2009,0.5382,11/26/2009,5.15471,11/26/2009,1.0218,11/26/2009,9.56104,11/26/2009,0.7999,11/26/2009,0.7654,11/26/2009,0.36405,6/14/2011,1.4337,11/26/2009,1.7703,11/26/2009,0.5445,7/13/2012,0.3842,11/26/2009,1.54577,11/26/2009,1.0193,11/26/2009,0.5470,5/3/2012,0.32477,11/26/2009,0.36902,5/14/2010,0.2338,7/5/2011,0.3728,11/26/2009,0.64074,6/20/2011,0.1476,11/26/2009,0.54966,5/6/2011,0.2998,12/30/2009,0.27667,11/26/2009,0.1858,2/7/2012,0.21926,6/15/2012,0.0773,11/26/2009,0.21603,,
11/27/2009,0.82108,11/27/2009,0.5110,11/27/2009,4.8513,11/27/2009,0.9806,11/27/2009,9.03168,11/27/2009,0.7438,11/27/2009,0.7148,11/27/2009,0.34928,6/15/2011,1.4506,11/27/2009,1.6876,11/27/2009,0.52771,7/16/2012,0.3803,11/27/2009,1.47603,11/27/2009,0.9625,11/27/2009,0.5268,5/4/2012,0.31437,11/27/2009,0.34965,5/17/2010,0.2282,7/6/2011,0.3714,11/27/2009,0.62561,6/21/2011,0.1476,11/27/2009,0.5161,5/9/2011,0.3075,12/31/2009,0.27922,11/27/2009,0.1729,2/8/2012,0.22441,6/18/2012,0.0799,11/27/2009,0.20527,,
11/30/2009,0.86368,11/30/2009,0.5407,11/30/2009,5.00639,11/30/2009,1.0285,11/30/2009,9.32891,11/30/2009,0.7975,11/30/2009,0.7348,11/30/2009,0.36036,6/16/2011,1.4235,11/30/2009,1.7522,11/30/2009,0.53806,7/17/2012,0.3764,11/30/2009,1.57933,11/30/2009,0.9974,11/30/2009,0.5435,5/7/2012,0.31307,11/30/2009,0.36,5/18/2010,0.2245,7/7/2011,0.3713,11/30/2009,0.68103,6/22/2011,0.1464,11/30/2009,0.52903,5/11/2011,0.2985,1/4/2010,0.27915,11/30/2009,0.1768,2/9/2012,0.23467,6/19/2012,0.0799,11/30/2009,0.21701,,
12/1/2009,0.8812,12/1/2009,0.5494,12/1/2009,5.03864,12/1/2009,1.0418,12/1/2009,9.45794,12/1/2009,0.8099,12/1/2009,0.7607,12/1/2009,0.35667,6/17/2011,1.4245,12/1/2009,1.7729,12/1/2009,0.53677,7/18/2012,0.3752,12/1/2009,1.63869,12/1/2009,1.0206,12/1/2009,0.5351,5/8/2012,0.30277,12/1/2009,0.36387,5/19/2010,0.2167,7/8/2011,0.3726,12/1/2009,0.68607,6/23/2011,0.1515,12/1/2009,0.51354,5/12/2011,0.2946,1/5/2010,0.28161,12/1/2009,0.1794,2/10/2012,0.2334,6/20/2012,0.0799,12/1/2009,0.2346,,
12/2/2009,0.89372,12/2/2009,0.5494,12/2/2009,5.03864,12/2/2009,1.0340,12/2/2009,9.41923,12/2/2009,0.8261,12/2/2009,0.7607,12/2/2009,0.38373,6/20/2011,1.4296,12/2/2009,1.8632,12/2/2009,0.55225,7/19/2012,0.3804,12/2/2009,1.71869,12/2/2009,1.0593,12/2/2009,0.5530,5/9/2012,0.30269,12/2/2009,0.37419,5/20/2010,0.2115,7/11/2011,0.3698,12/2/2009,0.71879,6/24/2011,0.1541,12/2/2009,0.51999,5/13/2011,0.2998,1/6/2010,0.2842,12/2/2009,0.1948,2/13/2012,0.22827,6/21/2012,0.0786,12/2/2009,0.2346,,
12/3/2009,0.90123,12/3/2009,0.5605,12/3/2009,5.15477,12/3/2009,1.0407,12/3/2009,9.39988,12/3/2009,0.8311,12/3/2009,0.7983,12/3/2009,0.38865,6/21/2011,1.4815,12/3/2009,1.9613,12/3/2009,0.56902,7/20/2012,0.3842,12/3/2009,1.81933,12/3/2009,1.0877,12/3/2009,0.5708,5/10/2012,0.29753,12/3/2009,0.37806,5/24/2010,0.2166,7/12/2011,0.3554,12/3/2009,0.72761,6/27/2011,0.1541,12/3/2009,0.51741,5/16/2011,0.3022,1/7/2010,0.28044,12/3/2009,0.1961,2/14/2012,0.23085,6/22/2012,0.0786,12/3/2009,0.23949,,
12/4/2009,0.89873,12/4/2009,0.5518,12/4/2009,5.29025,12/4/2009,1.0407,12/4/2009,9.54826,12/4/2009,0.8535,12/4/2009,0.8336,12/4/2009,0.3948,6/22/2011,1.4638,12/4/2009,2.0155,12/4/2009,0.56257,7/23/2012,0.3674,12/4/2009,1.80127,12/4/2009,1.1071,12/4/2009,0.5696,5/11/2012,0.3052,12/4/2009,0.37677,5/25/2010,0.2089,7/13/2011,0.3634,12/4/2009,0.72761,6/28/2011,0.1528,12/4/2009,0.50064,5/17/2011,0.3023,1/8/2010,0.27287,12/4/2009,0.1948,2/15/2012,0.2386,6/25/2012,0.0773,12/4/2009,0.23851,,
12/7/2009,0.89119,12/7/2009,0.5469,12/7/2009,5.29012,12/7/2009,1.0273,12/7/2009,9.54157,12/7/2009,0.8535,12/7/2009,0.8477,12/7/2009,0.39356,6/23/2011,1.4787,12/7/2009,2.0386,12/7/2009,0.56514,7/24/2012,0.3622,12/7/2009,1.78832,12/7/2009,1.1200,12/7/2009,0.5649,5/14/2012,0.29617,12/7/2009,0.38192,5/26/2010,0.2123,7/14/2011,0.3750,12/7/2009,0.715,6/29/2011,0.1542,12/7/2009,0.50708,5/18/2011,0.3048,1/11/2010,0.27538,12/7/2009,0.1948,2/16/2012,0.23601,6/26/2012,0.0773,12/7/2009,0.24926,,
12/8/2009,0.87241,12/8/2009,0.5382,12/8/2009,5.19973,12/8/2009,1.0373,12/8/2009,9.39951,12/8/2009,0.8361,12/8/2009,0.8653,12/8/2009,0.40708,6/24/2011,1.5152,12/8/2009,2.0257,12/8/2009,0.56384,7/25/2012,0.3648,12/8/2009,1.83474,12/8/2009,1.1109,12/8/2009,0.5791,5/15/2012,0.29995,12/8/2009,0.37805,5/27/2010,0.2131,7/15/2011,0.3695,12/8/2009,0.72128,6/30/2011,0.1568,12/8/2009,0.50191,5/19/2011,0.3048,1/12/2010,0.27538,12/8/2009,0.1987,2/17/2012,0.23729,6/27/2012,0.0709,12/8/2009,0.27565,,
12/9/2009,0.85612,12/9/2009,0.5283,12/9/2009,5.09645,12/9/2009,1.0140,12/9/2009,9.1478,12/9/2009,0.8099,12/9/2009,0.8300,12/9/2009,0.38863,6/27/2011,1.5024,12/9/2009,1.9431,12/9/2009,0.54448,7/26/2012,0.3622,12/9/2009,1.87085,12/9/2009,1.0838,12/9/2009,0.5660,5/16/2012,0.29094,12/9/2009,0.37159,5/28/2010,0.2183,7/18/2011,0.3694,12/9/2009,0.72631,7/4/2011,0.1607,12/9/2009,0.48126,5/20/2011,0.2946,1/13/2010,0.26528,12/9/2009,0.1987,2/20/2012,0.23342,6/28/2012,0.0735,12/9/2009,0.26196,,
12/10/2009,0.84986,12/10/2009,0.5246,12/10/2009,5.11573,12/10/2009,1.0173,12/10/2009,9.08317,12/10/2009,0.8161,12/10/2009,0.8112,12/10/2009,0.37633,6/28/2011,1.4539,12/10/2009,1.8760,12/10/2009,0.53802,7/27/2012,0.3738,12/10/2009,1.86308,12/10/2009,1.0709,12/10/2009,0.5529,5/17/2012,0.30505,12/10/2009,0.36384,5/31/2010,0.2196,7/19/2011,0.3656,12/10/2009,0.71497,7/5/2011,0.1645,12/10/2009,0.46706,5/23/2011,0.2906,1/14/2010,0.26398,12/10/2009,0.1897,2/21/2012,0.236,6/29/2012,0.0748,12/10/2009,0.24632,,
12/11/2009,0.85612,12/11/2009,0.5295,12/11/2009,5.10935,12/11/2009,1.0173,12/11/2009,9.02522,12/11/2009,0.8435,12/11/2009,0.8077,12/11/2009,0.38002,6/29/2011,1.5161,12/11/2009,1.8709,12/11/2009,0.529,7/30/2012,0.3830,12/11/2009,1.90697,12/11/2009,1.0580,12/11/2009,0.5577,5/18/2012,0.28586,12/11/2009,0.36385,6/1/2010,0.2118,7/20/2011,0.3696,12/11/2009,0.7326,7/6/2011,0.1645,12/11/2009,0.489,5/24/2011,0.2957,1/15/2010,0.2639,12/11/2009,0.1923,2/22/2012,0.24372,7/3/2012,0.0800,12/11/2009,0.2385,,
12/14/2009,0.85727,12/14/2009,0.5282,12/14/2009,5.12159,12/14/2009,1.0172,12/14/2009,8.97891,12/14/2009,0.8484,12/14/2009,0.8358,12/14/2009,0.38735,6/30/2011,1.5370,12/14/2009,1.9016,12/14/2009,0.5328,7/31/2012,0.3895,12/14/2009,1.90673,12/14/2009,1.0514,12/14/2009,0.5612,5/21/2012,0.30005,12/14/2009,0.35993,6/2/2010,0.2130,7/21/2011,0.3684,12/14/2009,0.71992,7/7/2011,0.1632,12/14/2009,0.49281,5/25/2011,0.2904,1/18/2010,0.26254,12/14/2009,0.1909,2/23/2012,0.2411,7/4/2012,0.0812,12/14/2009,0.25411,,
12/15/2009,0.83829,12/15/2009,0.5145,12/15/2009,5.01715,12/15/2009,1.0091,12/15/2009,8.91222,12/15/2009,0.8320,12/15/2009,0.8203,12/15/2009,0.36881,7/4/2011,1.6247,12/15/2009,1.8340,12/15/2009,0.52622,8/1/2012,0.3972,12/15/2009,1.73859,12/15/2009,0.9725,12/15/2009,0.5385,5/22/2012,0.3078,12/15/2009,0.35339,6/3/2010,0.2182,7/22/2011,0.3710,12/15/2009,0.69206,7/8/2011,0.1645,12/15/2009,0.47463,5/26/2011,0.2890,1/19/2010,0.26256,12/15/2009,0.1844,2/24/2012,0.23858,7/5/2012,0.0851,12/15/2009,0.24232,,
12/16/2009,0.82084,12/16/2009,0.5071,12/16/2009,4.99819,12/16/2009,1.0014,12/16/2009,8.84197,12/16/2009,0.8059,12/16/2009,0.8133,12/16/2009,0.36393,7/5/2011,1.6735,12/16/2009,1.7852,12/16/2009,0.51078,8/2/2012,0.3869,12/16/2009,1.65876,12/16/2009,0.9223,12/16/2009,0.5266,5/23/2012,0.30523,12/16/2009,0.34568,6/4/2010,0.2156,7/25/2011,0.3670,12/16/2009,0.64807,7/11/2011,0.1643,12/16/2009,0.44758,5/27/2011,0.2942,1/20/2010,0.25985,12/16/2009,0.1793,2/27/2012,0.22179,7/6/2012,0.0903,12/16/2009,0.23941,,
12/17/2009,0.80674,12/17/2009,0.4995,12/17/2009,4.91877,12/17/2009,0.9832,12/17/2009,8.59979,12/17/2009,0.7832,12/17/2009,0.7977,12/17/2009,0.365,7/6/2011,1.7167,12/17/2009,1.7690,12/17/2009,0.50413,8/3/2012,0.3881,12/17/2009,1.60134,12/17/2009,0.9051,12/17/2009,0.5359,5/24/2012,0.31042,12/17/2009,0.33522,6/7/2010,0.2140,7/26/2011,0.3658,12/17/2009,0.64655,7/12/2011,0.1604,12/17/2009,0.42935,5/30/2011,0.2944,1/21/2010,0.25727,12/17/2009,0.1779,2/28/2012,0.23468,7/9/2012,0.0877,12/17/2009,0.22466,,
