,939 HK Equity,,3988 HK Equity,,2628 HK Equity,,3328 HK Equity,,2318 HK Equity,,998 HK Equity,,2328 HK Equity,,2007 HK Equity,,960 HK Equity,,2777 HK Equity,,410 HK Equity,,3618 HK Equity,,3900 HK Equity,,3377 HK Equity,,272 HK Equity,,1918 HK Equity,,588 HK Equity,,1387 HK Equity,,1638 HK Equity,,337 HK Equity,,1777 HK Equity,,2868 HK Equity,,1238 HK Equity,,832 HK Equity,,3883 HK Equity,,2118 HK Equity,,8207 HK Equity,,733 HK Equity,,
9/30/2009,0.77481,9/30/2009,0.5048,9/30/2009,4.35478,9/30/2009,1.0507,9/30/2009,7.93538,9/30/2009,0.6367,9/30/2009,0.6267,9/30/2009,0.34437,4/13/2011,1.6076,9/30/2009,1.7574,9/30/2009,0.53548,5/18/2012,0.3786,9/30/2009,1.39353,9/30/2009,0.9058,9/30/2009,0.5292,3/5/2012,0.33877,9/30/2009,0.3458,3/17/2010,0.2319,5/6/2011,0.4349,9/30/2009,0.55389,4/19/2011,0.1710,9/30/2009,0.36645,3/8/2011,0.3094,11/4/2009,0.27431,9/30/2009,0.1703,12/6/2011,0.25475,4/20/2012,0.1117,9/30/2009,0.2043,,
10/2/2009,0.76228,10/2/2009,0.4900,10/2/2009,4.2386,10/2/2009,1.0107,10/2/2009,7.75464,10/2/2009,0.6118,10/2/2009,0.6114,10/2/2009,0.34806,4/14/2011,1.6335,10/2/2009,1.7290,10/2/2009,0.53547,5/21/2012,0.3889,10/2/2009,1.37287,10/2/2009,0.8800,10/2/2009,0.5185,3/6/2012,0.32462,10/2/2009,0.33806,3/18/2010,0.2358,5/9/2011,0.4362,10/2/2009,0.55514,4/20/2011,0.1712,10/2/2009,0.36128,3/9/2011,0.3121,11/5/2009,0.27683,10/2/2009,0.1652,12/7/2011,0.25475,4/23/2012,0.1063,10/2/2009,0.19843,,
10/5/2009,0.77102,10/5/2009,0.4998,10/5/2009,4.2643,10/5/2009,1.0140,10/5/2009,7.85766,10/5/2009,0.6080,10/5/2009,0.6137,10/5/2009,0.35051,4/15/2011,1.6080,10/5/2009,1.7470,10/5/2009,0.53804,5/22/2012,0.4083,10/5/2009,1.33671,10/5/2009,0.8916,10/5/2009,0.5209,3/7/2012,0.31814,10/5/2009,0.33031,3/19/2010,0.2384,5/11/2011,0.4362,10/5/2009,0.5438,4/21/2011,0.1686,10/5/2009,0.36514,3/10/2011,0.3081,11/6/2009,0.27683,10/5/2009,0.1677,12/8/2011,0.25463,4/24/2012,0.1042,10/5/2009,0.19549,,
10/6/2009,0.78482,10/6/2009,0.5135,10/6/2009,4.41285,10/6/2009,1.0452,10/6/2009,8.09022,10/6/2009,0.6168,10/6/2009,0.6443,10/6/2009,0.35913,4/18/2011,1.6588,10/6/2009,1.8580,10/6/2009,0.54322,5/23/2012,0.4044,10/6/2009,1.4503,10/6/2009,0.9406,10/6/2009,0.5423,3/8/2012,0.3417,10/6/2009,0.3458,3/22/2010,0.2384,5/12/2011,0.3603,10/6/2009,0.5413,4/26/2011,0.1673,10/6/2009,0.38709,3/11/2011,0.3030,11/9/2009,0.27557,10/6/2009,0.1794,12/9/2011,0.25314,4/25/2012,0.1052,10/6/2009,0.21603,,
10/7/2009,0.80986,10/7/2009,0.5308,10/7/2009,4.51607,10/7/2009,1.0808,10/7/2009,8.28376,10/7/2009,0.6392,10/7/2009,0.6725,10/7/2009,0.37389,4/19/2011,1.6045,10/7/2009,1.9458,10/7/2009,0.55483,5/24/2012,0.4096,10/7/2009,1.47869,10/7/2009,0.9523,10/7/2009,0.5387,3/9/2012,0.3481,10/7/2009,0.35354,3/23/2010,0.2396,5/13/2011,0.3564,10/7/2009,0.5136,4/27/2011,0.1660,10/7/2009,0.39483,3/14/2011,0.3055,11/10/2009,0.27179,10/7/2009,0.1806,12/12/2011,0.25312,4/26/2012,0.1063,10/7/2009,0.21994,,
10/8/2009,0.81361,10/8/2009,0.5370,10/8/2009,4.57413,10/8/2009,1.0942,10/8/2009,8.25796,10/8/2009,0.6716,10/8/2009,0.6796,10/8/2009,0.37758,4/20/2011,1.6369,10/8/2009,1.9484,10/8/2009,0.56257,5/25/2012,0.4096,10/8/2009,1.43998,10/8/2009,0.9368,10/8/2009,0.5423,3/12/2012,0.34804,10/8/2009,0.35225,3/24/2010,0.2358,5/16/2011,0.3574,10/8/2009,0.53123,4/28/2011,0.1660,10/8/2009,0.41806,3/15/2011,0.2962,11/11/2009,0.27305,10/8/2009,0.1806,12/13/2011,0.25198,4/27/2012,0.1063,10/8/2009,0.21505,,
10/9/2009,0.81737,10/9/2009,0.5308,10/9/2009,4.57413,10/9/2009,1.0930,10/9/2009,8.41279,10/9/2009,0.6716,10/9/2009,0.6760,10/9/2009,0.37143,4/21/2011,1.7070,10/9/2009,1.9277,10/9/2009,0.56773,5/28/2012,0.4084,10/9/2009,1.41934,10/9/2009,0.9161,10/9/2009,0.5435,3/13/2012,0.34667,10/9/2009,0.37032,3/25/2010,0.2371,5/17/2011,0.3589,10/9/2009,0.53375,4/29/2011,0.1674,10/9/2009,0.42193,3/16/2011,0.3026,11/12/2009,0.27431,10/9/2009,0.1768,12/14/2011,0.25306,4/30/2012,0.1074,10/9/2009,0.21016,,
10/12/2009,0.8136,10/12/2009,0.5271,10/12/2009,4.49666,10/12/2009,1.0797,10/12/2009,8.36753,10/12/2009,0.6816,10/12/2009,0.6513,10/12/2009,0.36897,4/26/2011,1.6188,10/12/2009,1.8529,10/12/2009,0.56386,5/29/2012,0.4199,10/12/2009,1.40383,10/12/2009,0.9122,10/12/2009,0.5363,3/14/2012,0.35689,10/12/2009,0.36128,3/26/2010,0.2370,5/18/2011,0.3627,10/12/2009,0.54129,5/3/2011,0.1674,10/12/2009,0.40773,3/17/2011,0.2960,11/13/2009,0.27683,10/12/2009,0.1781,12/15/2011,0.24932,5/2/2012,0.1096,10/12/2009,0.21407,,
10/13/2009,0.82613,10/13/2009,0.5370,10/13/2009,4.54833,10/13/2009,1.0986,10/13/2009,8.45796,10/13/2009,0.6778,10/13/2009,0.6525,10/13/2009,0.36897,4/27/2011,1.5651,10/13/2009,1.8348,10/13/2009,0.55612,5/30/2012,0.4173,10/13/2009,1.42708,10/13/2009,0.9213,10/13/2009,0.5411,3/15/2012,0.35044,10/13/2009,0.36,3/29/2010,0.2383,5/19/2011,0.3614,10/13/2009,0.55389,5/4/2011,0.1596,10/13/2009,0.41419,3/18/2011,0.3333,11/16/2009,0.27808,10/13/2009,0.1819,12/16/2011,0.25051,5/3/2012,0.1074,10/13/2009,0.2131,,
10/14/2009,0.84115,10/14/2009,0.5469,10/14/2009,4.63865,10/14/2009,1.1309,10/14/2009,8.58699,10/14/2009,0.6866,10/14/2009,0.6631,10/14/2009,0.3702,4/28/2011,1.5651,10/14/2009,1.8684,10/14/2009,0.54967,5/31/2012,0.4265,10/14/2009,1.46837,10/14/2009,0.9226,10/14/2009,0.5447,3/16/2012,0.34653,10/14/2009,0.36516,3/30/2010,0.2370,5/20/2011,0.3602,10/14/2009,0.5413,5/5/2011,0.1608,10/14/2009,0.42322,3/21/2011,0.3283,11/17/2009,0.27682,10/14/2009,0.1819,12/19/2011,0.25048,5/4/2012,0.1020,10/14/2009,0.21114,,
10/15/2009,0.85365,10/15/2009,0.5568,10/15/2009,4.59343,10/15/2009,1.1420,10/15/2009,8.63849,10/15/2009,0.7015,10/15/2009,0.6549,10/15/2009,0.36774,4/29/2011,1.5939,10/15/2009,1.8838,10/15/2009,0.54708,6/1/2012,0.4304,10/15/2009,1.47093,10/15/2009,0.9380,10/15/2009,0.5565,3/19/2012,0.32979,10/15/2009,0.36644,3/31/2010,0.2318,5/23/2011,0.3523,10/15/2009,0.52115,5/6/2011,0.1583,10/15/2009,0.4258,3/22/2011,0.3310,11/18/2009,0.27557,10/15/2009,0.1794,12/20/2011,0.24928,5/7/2012,0.0977,10/15/2009,0.21407,,
10/16/2009,0.84362,10/16/2009,0.5469,10/16/2009,4.61267,10/16/2009,1.1464,10/16/2009,8.64472,10/16/2009,0.6816,10/16/2009,0.6454,10/16/2009,0.3665,5/3/2011,1.5372,10/16/2009,1.8373,10/16/2009,0.54062,6/4/2012,0.4150,10/16/2009,1.44251,10/16/2009,0.9354,10/16/2009,0.5494,3/20/2012,0.32847,10/16/2009,0.36772,4/1/2010,0.2318,5/24/2011,0.3600,10/16/2009,0.53498,5/9/2011,0.1621,10/16/2009,0.42707,3/23/2011,0.3323,11/19/2009,0.27934,10/16/2009,0.1781,12/21/2011,0.2493,5/8/2012,0.0988,10/16/2009,0.20918,,
10/19/2009,0.8574,10/19/2009,0.5543,10/19/2009,4.69659,10/19/2009,1.1620,10/19/2009,8.7416,10/19/2009,0.7040,10/19/2009,0.6619,10/19/2009,0.3911,5/4/2011,1.5292,10/19/2009,1.9432,10/19/2009,0.5574,6/5/2012,0.4124,10/19/2009,1.56123,10/19/2009,1.0013,10/19/2009,0.5732,3/21/2012,0.31939,10/19/2009,0.37934,4/7/2010,0.2384,5/25/2011,0.3546,10/19/2009,0.55136,5/11/2011,0.1608,10/19/2009,0.45031,3/24/2011,0.3336,11/20/2009,0.27305,10/19/2009,0.1884,12/22/2011,0.24929,5/9/2012,0.0966,10/19/2009,0.21309,,
10/20/2009,0.86869,10/20/2009,0.5617,10/20/2009,4.69026,10/20/2009,1.1554,10/20/2009,8.80634,10/20/2009,0.7202,10/20/2009,0.6666,10/20/2009,0.3948,5/5/2011,1.4951,10/20/2009,2.0593,10/20/2009,0.57032,6/6/2012,0.4267,10/20/2009,1.62837,10/20/2009,1.0606,10/20/2009,0.5839,3/22/2012,0.32965,10/20/2009,0.38322,4/8/2010,0.2372,5/26/2011,0.3584,10/20/2009,0.5413,5/12/2011,0.1621,10/20/2009,0.46838,3/25/2011,0.3259,11/23/2009,0.27683,10/20/2009,0.1884,12/23/2011,0.24947,5/10/2012,0.0945,10/20/2009,0.2258,,
10/21/2009,0.86243,10/21/2009,0.5654,10/21/2009,4.69671,10/21/2009,1.1420,10/21/2009,8.8386,10/21/2009,0.7190,10/21/2009,0.6631,10/21/2009,0.40587,5/6/2011,1.5312,10/21/2009,2.1187,10/21/2009,0.58967,6/7/2012,0.4163,10/21/2009,1.66708,10/21/2009,1.0722,10/21/2009,0.6006,3/23/2012,0.32054,10/21/2009,0.39225,4/9/2010,0.2359,5/27/2011,0.3584,10/21/2009,0.58536,5/13/2011,0.1608,10/21/2009,0.48645,3/28/2011,0.3218,11/24/2009,0.27431,10/21/2009,0.2000,12/28/2011,0.24949,5/11/2012,0.0955,10/21/2009,0.2258,,
