,914 HK Equity,,2899 HK Equity,,358 HK Equity,,2600 HK Equity,,3993 HK Equity,,656 HK Equity,,3323 HK Equity,,2009 HK Equity,,3983 HK Equity,,1818 HK Equity,,2128 HK Equity,,691 HK Equity,,930 HK Equity,,2626 HK Equity,,246 HK Equity,,468 HK Equity,,189 HK Equity,,906 HK Equity,,743 HK Equity,,2233 HK Equity,,1053 HK Equity,,1768 HK Equity,,2198 HK Equity,,3868 HK Equity,,3833 HK Equity,,1091 HK Equity,,1938 HK Equity,,769 HK Equity,,1266 HK Equity,,609 HK Equity,,3330 HK Equity,,1090 HK Equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/11/2010,2.0494,6/11/2010,0.4809,6/11/2010,1.8868,6/11/2010,0.7830,6/11/2010,0.5789,6/11/2010,0.6610,6/11/2010,0.7586,8/30/2011,1.0445,6/11/2010,0.6071,6/11/2010,1.0808,7/27/2012,0.4435,8/11/2010,0.5794,1/10/2012,0.3799,6/11/2010,0.3350,3/24/2011,1.4628,1/17/2013,0.5405,6/11/2010,0.2131,12/19/2011,0.3982,6/28/2010,0.4793,9/25/2012,0.1819,6/11/2010,0.2272,1/16/2013,0.2554,10/24/2012,0.3329,6/11/2010,0.2393,6/11/2010,0.4775,12/24/2012,0.1071,3/20/2012,0.3671,6/11/2010,0.2182,,,6/11/2010,0.0616,6/11/2010,0.3556,1/9/2013,0.1935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/14/2010,2.0877,6/14/2010,0.4894,6/14/2010,1.9097,6/14/2010,0.8047,6/14/2010,0.5891,6/14/2010,0.6879,6/14/2010,0.7713,8/31/2011,1.1224,6/14/2010,0.6199,6/14/2010,1.0729,7/30/2012,0.4371,8/12/2010,0.5600,1/11/2012,0.3798,6/14/2010,0.3401,3/25/2011,1.4524,1/18/2013,0.5572,6/14/2010,0.2066,12/20/2011,0.4253,6/29/2010,0.4805,9/26/2012,0.1741,6/14/2010,0.2387,1/17/2013,0.2593,10/25/2012,0.3342,6/14/2010,0.2505,6/14/2010,0.4749,12/27/2012,0.1109,3/21/2012,0.3645,6/14/2010,0.2246,,,6/14/2010,0.0635,6/14/2010,0.3555,1/10/2013,0.1922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/15/2010,2.1177,6/15/2010,0.4903,6/15/2010,1.9123,6/15/2010,0.8073,6/15/2010,0.5878,6/15/2010,0.6546,6/15/2010,0.7752,9/1/2011,1.1049,6/15/2010,0.6186,6/15/2010,1.0768,7/31/2012,0.4501,8/13/2010,0.5738,1/12/2012,0.3798,6/15/2010,0.3350,3/28/2011,1.4308,1/21/2013,0.5585,6/15/2010,0.2054,12/21/2011,0.4305,6/30/2010,0.4880,9/27/2012,0.1741,6/15/2010,0.2439,1/18/2013,0.2670,10/26/2012,0.3277,6/15/2010,0.2533,6/15/2010,0.4839,12/28/2012,0.1109,3/22/2012,0.3747,6/15/2010,0.2246,,,6/15/2010,0.0642,6/15/2010,0.3542,1/11/2013,0.1883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/17/2010,2.1663,6/17/2010,0.4872,6/17/2010,1.9137,6/17/2010,0.8066,6/17/2010,0.5869,6/17/2010,0.6679,6/17/2010,0.7809,9/2/2011,1.0554,6/17/2010,0.6191,6/17/2010,1.1045,8/1/2012,0.4668,8/16/2010,0.5623,1/13/2012,0.3798,6/17/2010,0.3404,3/29/2011,1.4091,1/22/2013,0.5494,6/17/2010,0.2068,12/22/2011,0.4292,7/2/2010,0.4798,9/28/2012,0.1754,6/17/2010,0.2453,1/21/2013,0.2606,10/29/2012,0.3264,6/17/2010,0.2590,6/17/2010,0.4932,12/31/2012,0.1110,3/23/2012,0.3566,6/17/2010,0.2286,,,6/17/2010,0.0642,6/17/2010,0.3545,1/14/2013,0.1845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/18/2010,2.1759,6/18/2010,0.5028,6/18/2010,1.8992,6/18/2010,0.8005,6/18/2010,0.5744,6/18/2010,0.6797,6/18/2010,0.7748,9/5/2011,1.0012,6/18/2010,0.6271,6/18/2010,1.1629,8/2/2012,0.4656,8/17/2010,0.5521,1/16/2012,0.3798,6/18/2010,0.3328,3/30/2011,1.4183,1/23/2013,0.5895,6/18/2010,0.2236,12/23/2011,0.4385,7/5/2010,0.4748,10/3/2012,0.1728,6/18/2010,0.2441,1/22/2013,0.2605,10/30/2012,0.3239,6/18/2010,0.2526,6/18/2010,0.4742,1/2/2013,0.1174,3/26/2012,0.3617,6/18/2010,0.2287,,,6/18/2010,0.0643,6/18/2010,0.3598,1/15/2013,0.1871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/21/2010,2.2691,6/21/2010,0.5285,6/21/2010,2.0384,6/21/2010,0.8416,6/21/2010,0.6074,6/21/2010,0.7078,6/21/2010,0.8223,9/6/2011,0.9420,6/21/2010,0.6254,6/21/2010,1.1826,8/3/2012,0.4629,8/18/2010,0.5664,1/17/2012,0.3799,6/21/2010,0.3462,3/31/2011,1.4222,1/24/2013,0.5933,6/21/2010,0.2239,12/28/2011,0.4321,7/6/2010,0.4763,10/4/2012,0.1728,6/21/2010,0.2587,1/23/2013,0.2554,10/31/2012,0.3226,6/21/2010,0.2614,6/21/2010,0.4954,1/3/2013,0.1187,3/27/2012,0.3735,6/21/2010,0.2329,,,6/21/2010,0.0637,6/21/2010,0.3616,1/16/2013,0.1870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/22/2010,2.1978,6/22/2010,0.5244,6/22/2010,2.0487,6/22/2010,0.8534,6/22/2010,0.6208,6/22/2010,0.6940,6/22/2010,0.8200,9/7/2011,0.9122,6/22/2010,0.6156,6/22/2010,1.1773,8/6/2012,0.4822,8/19/2010,0.5701,1/18/2012,0.3801,6/22/2010,0.3573,4/1/2011,1.4295,1/25/2013,0.5675,6/22/2010,0.2236,12/29/2011,0.4310,7/7/2010,0.4852,10/5/2012,0.1729,6/22/2010,0.2558,1/24/2013,0.2554,11/1/2012,0.3277,6/22/2010,0.2620,6/22/2010,0.4897,1/4/2013,0.1187,3/28/2012,0.3645,6/22/2010,0.2378,,,6/22/2010,0.0636,6/22/2010,0.3612,1/17/2013,0.1845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/23/2010,2.1516,6/23/2010,0.5195,6/23/2010,2.0059,6/23/2010,0.8409,6/23/2010,0.6044,6/23/2010,0.7111,6/23/2010,0.8229,9/8/2011,0.9060,6/23/2010,0.6224,6/23/2010,1.1946,8/7/2012,0.4964,8/20/2010,0.5684,1/19/2012,0.3802,6/23/2010,0.3523,4/4/2011,1.4360,1/28/2013,0.5556,6/23/2010,0.2212,12/30/2011,0.4313,7/8/2010,0.4918,10/8/2012,0.1703,6/23/2010,0.2520,1/25/2013,0.2502,11/2/2012,0.3329,6/23/2010,0.2621,6/23/2010,0.4886,1/7/2013,0.1239,3/29/2012,0.3581,6/23/2010,0.2392,,,6/23/2010,0.0624,6/23/2010,0.3575,1/18/2013,0.1845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/24/2010,2.1258,6/24/2010,0.5109,6/24/2010,2.0006,6/24/2010,0.8229,6/24/2010,0.6030,6/24/2010,0.7072,6/24/2010,0.8229,9/9/2011,0.8969,6/24/2010,0.5992,6/24/2010,1.1803,8/8/2012,0.4899,8/23/2010,0.5608,1/20/2012,0.3801,6/24/2010,0.3549,4/6/2011,1.5155,1/29/2013,0.5671,6/24/2010,0.2173,1/3/2012,0.4313,7/9/2010,0.4953,10/9/2012,0.1677,6/24/2010,0.2533,1/28/2013,0.2501,11/5/2012,0.3355,6/24/2010,0.2631,6/24/2010,0.5002,1/8/2013,0.1277,3/30/2012,0.3503,6/24/2010,0.2392,,,6/24/2010,0.0636,6/24/2010,0.3536,1/21/2013,0.1832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/25/2010,2.1383,6/25/2010,0.5039,6/25/2010,1.9771,6/25/2010,0.8073,6/25/2010,0.5965,6/25/2010,0.6942,6/25/2010,0.8330,9/12/2011,0.8281,6/25/2010,0.5952,6/25/2010,1.1878,8/9/2012,0.4977,8/24/2010,0.5774,1/26/2012,0.3803,6/25/2010,0.3458,4/7/2011,1.5031,1/30/2013,0.6045,6/25/2010,0.2134,1/4/2012,0.4339,7/12/2010,0.4954,10/10/2012,0.1677,6/25/2010,0.2494,1/29/2013,0.2526,11/6/2012,0.3393,6/25/2010,0.2593,6/25/2010,0.4911,1/9/2013,0.1277,4/2/2012,0.3400,6/25/2010,0.2391,,,6/25/2010,0.0669,6/25/2010,0.3548,1/22/2013,0.1870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/28/2010,2.0989,6/28/2010,0.5012,6/28/2010,1.9636,6/28/2010,0.8109,6/28/2010,0.5770,6/28/2010,0.6927,6/28/2010,0.8353,9/14/2011,0.7663,6/28/2010,0.5924,6/28/2010,1.1758,8/10/2012,0.4847,8/25/2010,0.5658,1/27/2012,0.3804,6/28/2010,0.3470,4/8/2011,1.5090,1/31/2013,0.6060,6/28/2010,0.2108,1/5/2012,0.4443,7/13/2010,0.4876,10/11/2012,0.1690,6/28/2010,0.2467,1/30/2013,0.2501,11/7/2012,0.3419,6/28/2010,0.2573,6/28/2010,0.4935,1/10/2013,0.1251,4/3/2012,0.3490,6/28/2010,0.2377,,,6/28/2010,0.0694,6/28/2010,0.3508,1/23/2013,0.1870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/29/2010,2.0128,6/29/2010,0.4968,6/29/2010,1.8989,6/29/2010,0.7876,6/29/2010,0.5666,6/29/2010,0.6822,6/29/2010,0.8094,9/15/2011,0.7574,6/29/2010,0.5910,6/29/2010,1.1692,8/13/2012,0.4885,8/26/2010,0.5657,1/30/2012,0.3804,6/29/2010,0.3405,4/11/2011,1.5240,2/1/2013,0.6344,6/29/2010,0.2069,1/6/2012,0.4443,7/14/2010,0.4890,10/12/2012,0.1703,6/29/2010,0.2390,1/31/2013,0.2488,11/8/2012,0.3393,6/29/2010,0.2461,6/29/2010,0.4959,1/11/2013,0.1200,4/5/2012,0.3529,6/29/2010,0.2287,,,6/29/2010,0.0687,6/29/2010,0.3443,1/24/2013,0.1844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/30/2010,1.9607,6/30/2010,0.5017,6/30/2010,1.8879,6/30/2010,0.7731,6/30/2010,0.5664,6/30/2010,0.7064,6/30/2010,0.8053,9/16/2011,0.7762,6/30/2010,0.5600,6/30/2010,1.1790,8/14/2012,0.4783,8/27/2010,0.5631,1/31/2012,0.3804,6/30/2010,0.3301,4/12/2011,1.4588,2/4/2013,0.6539,6/30/2010,0.2029,1/9/2012,0.4455,7/15/2010,0.4930,10/15/2012,0.1690,6/30/2010,0.2415,2/1/2013,0.2527,11/9/2012,0.3380,6/30/2010,0.2506,6/30/2010,0.4945,1/14/2013,0.1264,4/10/2012,0.3361,6/30/2010,0.2286,,,6/30/2010,0.0694,6/30/2010,0.3455,1/25/2013,0.1870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/2/2010,1.9373,7/2/2010,0.4850,7/2/2010,1.8552,7/2/2010,0.7480,7/2/2010,0.5658,7/2/2010,0.7031,7/2/2010,0.7711,9/19/2011,0.7184,7/2/2010,0.5555,7/2/2010,1.1509,8/15/2012,0.4679,8/30/2010,0.5618,2/1/2012,0.3804,7/2/2010,0.3233,4/13/2011,1.4558,2/5/2013,0.6396,7/2/2010,0.2014,1/10/2012,0.4520,7/16/2010,0.4878,10/16/2012,0.1677,7/2/2010,0.2348,2/4/2013,0.2528,11/12/2012,0.3368,7/2/2010,0.2439,7/2/2010,0.4837,1/15/2013,0.1226,4/11/2012,0.3323,7/2/2010,0.2284,,,7/2/2010,0.0731,7/2/2010,0.3349,1/28/2013,0.1779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/5/2010,1.9163,7/5/2010,0.4739,7/5/2010,1.8504,7/5/2010,0.7327,7/5/2010,0.5556,7/5/2010,0.6994,7/5/2010,0.7597,9/20/2011,0.7098,7/5/2010,0.5608,7/5/2010,1.1433,8/16/2012,0.4719,8/31/2010,0.5477,2/2/2012,0.3804,7/5/2010,0.3182,4/14/2011,1.4483,2/6/2013,0.6448,7/5/2010,0.1976,1/11/2012,0.4417,7/19/2010,0.4797,10/17/2012,0.1729,7/5/2010,0.2335,2/5/2013,0.2424,11/13/2012,0.3355,7/5/2010,0.2421,7/5/2010,0.4748,1/16/2013,0.1251,4/12/2012,0.3799,7/5/2010,0.2246,,,7/5/2010,0.0783,7/5/2010,0.3336,1/29/2013,0.1779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/6/2010,2.0072,7/6/2010,0.4776,7/6/2010,1.9130,7/6/2010,0.7691,7/6/2010,0.5713,7/6/2010,0.7164,7/6/2010,0.7832,9/21/2011,0.7549,7/6/2010,0.5701,7/6/2010,1.1414,8/17/2012,0.4822,9/1/2010,0.5557,2/3/2012,0.3804,7/6/2010,0.3210,4/15/2011,1.4588,2/7/2013,0.6280,7/6/2010,0.2016,1/12/2012,0.4468,7/20/2010,0.4862,10/18/2012,0.1845,7/6/2010,0.2427,2/6/2013,0.2476,11/14/2012,0.3368,7/6/2010,0.2440,7/6/2010,0.4802,1/17/2013,0.1264,4/13/2012,0.3815,7/6/2010,0.2273,,,7/6/2010,0.0847,7/6/2010,0.3377,1/30/2013,0.1779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/7/2010,1.9725,7/7/2010,0.4715,7/7/2010,1.8921,7/7/2010,0.7561,7/7/2010,0.5609,7/7/2010,0.7098,7/7/2010,0.7779,9/22/2011,0.7141,7/7/2010,0.5674,7/7/2010,1.1103,8/20/2012,0.5002,9/2/2010,0.5676,2/6/2012,0.3805,7/7/2010,0.3273,4/18/2011,1.4685,2/8/2013,0.6176,7/7/2010,0.2054,1/13/2012,0.4339,7/21/2010,0.4732,10/19/2012,0.1807,7/7/2010,0.2388,2/7/2013,0.2437,11/15/2012,0.3509,7/7/2010,0.2477,7/7/2010,0.4775,1/18/2013,0.1264,4/16/2012,0.3893,7/7/2010,0.2259,,,7/7/2010,0.0847,7/7/2010,0.3299,1/31/2013,0.1882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/8/2010,1.9733,7/8/2010,0.4768,7/8/2010,1.9416,7/8/2010,0.7653,7/8/2010,0.5637,7/8/2010,0.7101,7/8/2010,0.7846,9/23/2011,0.7358,7/8/2010,0.5740,7/8/2010,1.1506,8/21/2012,0.5015,9/3/2010,0.6215,2/7/2012,0.3805,7/8/2010,0.3172,4/19/2011,1.4605,2/14/2013,0.6577,7/8/2010,0.2042,1/16/2012,0.4313,7/22/2010,0.4708,10/22/2012,0.1845,7/8/2010,0.2427,2/8/2013,0.2347,11/16/2012,0.3586,7/8/2010,0.2497,7/8/2010,0.4931,1/21/2013,0.1238,4/17/2012,0.3802,7/8/2010,0.2273,,,7/8/2010,0.0841,7/8/2010,0.3352,2/1/2013,0.1857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/9/2010,2.0540,7/9/2010,0.4786,7/9/2010,1.9760,7/9/2010,0.7822,7/9/2010,0.5802,7/9/2010,0.7217,7/9/2010,0.8118,9/26/2011,0.6679,7/9/2010,0.5763,7/9/2010,1.1578,8/22/2012,0.4925,9/6/2010,0.6426,2/8/2012,0.3805,7/9/2010,0.3216,4/20/2011,1.4721,2/15/2013,0.6990,7/9/2010,0.2213,1/17/2012,0.4456,7/23/2010,0.4802,10/24/2012,0.1832,7/9/2010,0.2496,2/14/2013,0.2386,11/19/2012,0.3625,7/9/2010,0.2539,7/9/2010,0.4991,1/22/2013,0.1251,4/18/2012,0.3750,7/9/2010,0.2316,,,7/9/2010,0.0881,7/9/2010,0.3448,2/4/2013,0.1857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/12/2010,2.1446,7/12/2010,0.4787,7/12/2010,1.9636,7/12/2010,0.7965,7/12/2010,0.6035,7/12/2010,0.7296,7/12/2010,0.8518,9/27/2011,0.7901,7/12/2010,0.5842,7/12/2010,1.1941,8/23/2012,0.4912,9/7/2010,0.6308,2/9/2012,0.3804,7/12/2010,0.3191,4/21/2011,1.4830,2/18/2013,0.6835,7/12/2010,0.2213,1/18/2012,0.4368,7/26/2010,0.4906,10/25/2012,0.1781,7/12/2010,0.2458,2/15/2013,0.2386,11/20/2012,0.3626,7/12/2010,0.2567,7/12/2010,0.5186,1/23/2013,0.1225,4/19/2012,0.3813,7/12/2010,0.2303,,,7/12/2010,0.0785,7/12/2010,0.3423,2/5/2013,0.1857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/13/2010,2.1356,7/13/2010,0.4203,7/13/2010,1.9426,7/13/2010,0.7964,7/13/2010,0.5905,7/13/2010,0.7295,7/13/2010,0.8298,9/28/2011,0.8135,7/13/2010,0.5995,7/13/2010,1.1501,8/24/2012,0.4951,9/8/2010,0.6254,2/10/2012,0.3804,7/13/2010,0.3139,4/26/2011,1.4567,2/19/2013,0.6628,7/13/2010,0.2161,1/19/2012,0.4407,7/27/2010,0.4892,10/26/2012,0.1729,7/13/2010,0.2406,2/18/2013,0.2399,11/21/2012,0.3600,7/13/2010,0.2511,7/13/2010,0.5107,1/24/2013,0.1225,4/20/2012,0.3801,7/13/2010,0.2290,,,7/13/2010,0.0836,7/13/2010,0.3396,2/6/2013,0.1857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/14/2010,2.1105,7/14/2010,0.4281,7/14/2010,1.9870,7/14/2010,0.7927,7/14/2010,0.5894,7/14/2010,0.7245,7/14/2010,0.8275,9/30/2011,0.7526,7/14/2010,0.5868,7/14/2010,1.1749,8/27/2012,0.4887,9/9/2010,0.6320,2/13/2012,0.3805,7/14/2010,0.3127,4/27/2011,1.4313,2/20/2013,0.6383,7/14/2010,0.2188,1/20/2012,0.4588,7/28/2010,0.4944,10/29/2012,0.1768,7/14/2010,0.2445,2/19/2013,0.2450,11/22/2012,0.3638,7/14/2010,0.2549,7/14/2010,0.5148,1/25/2013,0.1174,4/23/2012,0.3840,7/14/2010,0.2291,,,7/14/2010,0.0843,7/14/2010,0.3513,2/7/2013,0.1741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/15/2010,2.0637,7/15/2010,0.4136,7/15/2010,1.9590,7/15/2010,0.7787,7/15/2010,0.5792,7/15/2010,0.7259,7/15/2010,0.8250,10/3/2011,0.6780,7/15/2010,0.5779,7/15/2010,1.1430,8/28/2012,0.4951,9/10/2010,0.6257,2/14/2012,0.3805,7/15/2010,0.2999,4/28/2011,1.4441,2/21/2013,0.6447,7/15/2010,0.2137,1/26/2012,0.4603,7/29/2010,0.4996,10/30/2012,0.1742,7/15/2010,0.2394,2/20/2013,0.2515,11/23/2012,0.3613,7/15/2010,0.2503,7/15/2010,0.5071,1/28/2013,0.1160,4/24/2012,0.3776,7/15/2010,0.2291,,,7/15/2010,0.0830,7/15/2010,0.3462,2/8/2013,0.1805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/16/2010,2.0634,7/16/2010,0.3981,7/16/2010,1.9536,7/16/2010,0.7928,7/16/2010,0.5791,7/16/2010,0.7181,7/16/2010,0.8224,10/4/2011,0.6294,7/16/2010,0.5727,7/16/2010,1.1531,8/29/2012,0.4874,9/13/2010,0.6399,2/15/2012,0.3805,7/16/2010,0.2934,4/29/2011,1.4214,2/22/2013,0.6447,7/16/2010,0.2175,1/27/2012,0.4668,7/30/2010,0.5008,10/31/2012,0.1806,7/16/2010,0.2394,2/21/2013,0.2424,11/26/2012,0.3639,7/16/2010,0.2484,7/16/2010,0.5071,1/29/2013,0.1147,4/25/2012,0.3827,7/16/2010,0.2252,,,7/16/2010,0.0830,7/16/2010,0.3475,2/14/2013,0.1806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/19/2010,2.0662,7/19/2010,0.3832,7/19/2010,1.9368,7/19/2010,0.7742,7/19/2010,0.5710,7/19/2010,0.7060,7/19/2010,0.8102,10/6/2011,0.6528,7/19/2010,0.5967,7/19/2010,1.1394,8/30/2012,0.4912,9/14/2010,0.6438,2/16/2012,0.3805,7/19/2010,0.2932,5/3/2011,1.3466,2/25/2013,0.6472,7/19/2010,0.2096,1/30/2012,0.4552,8/2/2010,0.4997,11/1/2012,0.1845,7/19/2010,0.2379,2/22/2013,0.2450,11/27/2012,0.3613,7/19/2010,0.2491,7/19/2010,0.5131,1/30/2013,0.1186,4/26/2012,0.3802,7/19/2010,0.2276,,,7/19/2010,0.0836,7/19/2010,0.3498,2/15/2013,0.1805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/20/2010,2.1480,7/20/2010,0.4116,7/20/2010,1.9937,7/20/2010,0.8026,7/20/2010,0.5852,7/20/2010,0.7242,7/20/2010,0.8502,10/7/2011,0.7505,7/20/2010,0.6431,7/20/2010,1.1268,8/31/2012,0.4745,9/15/2010,0.6373,2/17/2012,0.3804,7/20/2010,0.3010,5/4/2011,1.3026,2/26/2013,0.6484,7/20/2010,0.2161,1/31/2012,0.4693,8/3/2010,0.4845,11/2/2012,0.1832,7/20/2010,0.2457,2/25/2013,0.2450,11/28/2012,0.3535,7/20/2010,0.2585,7/20/2010,0.5171,1/31/2013,0.1148,4/27/2012,0.3828,7/20/2010,0.2290,,,7/20/2010,0.0836,7/20/2010,0.3499,2/18/2013,0.1728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/21/2010,2.1990,7/21/2010,0.4081,7/21/2010,2.0524,7/21/2010,0.8282,7/21/2010,0.5954,7/21/2010,0.7356,7/21/2010,0.8564,10/10/2011,0.7197,7/21/2010,0.6455,7/21/2010,1.1522,9/3/2012,0.4705,9/16/2010,0.6309,2/20/2012,0.3804,7/21/2010,0.3061,5/5/2011,1.3150,2/27/2013,0.6342,7/21/2010,0.2096,2/1/2012,0.4643,8/4/2010,0.4882,11/5/2012,0.1897,7/21/2010,0.2701,2/26/2013,0.2410,11/29/2012,0.3561,7/21/2010,0.2752,7/21/2010,0.5157,2/1/2013,0.1173,4/30/2012,0.3777,7/21/2010,0.2289,,,7/21/2010,0.0862,7/21/2010,0.3536,2/19/2013,0.1702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/2010,2.2341,7/22/2010,0.4125,7/22/2010,2.1071,7/22/2010,0.8349,7/22/2010,0.6123,7/22/2010,0.7461,7/22/2010,0.8696,10/11/2011,0.7544,7/22/2010,0.6355,7/22/2010,1.1385,9/4/2012,0.4629,9/17/2010,0.6452,2/21/2012,0.3772,7/22/2010,0.3126,5/6/2011,1.2854,2/28/2013,0.6474,7/22/2010,0.2071,2/2/2012,0.4706,8/5/2010,0.4907,11/6/2012,0.1871,7/22/2010,0.2792,2/27/2013,0.2411,11/30/2012,0.3561,7/22/2010,0.2837,7/22/2010,0.5159,2/4/2013,0.1148,5/2/2012,0.3957,7/22/2010,0.2303,,,7/22/2010,0.0836,7/22/2010,0.3512,2/20/2013,0.1702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/23/2010,2.2875,7/23/2010,0.4283,7/23/2010,2.1682,7/23/2010,0.8485,7/23/2010,0.6270,7/23/2010,0.7481,7/23/2010,0.9322,10/12/2011,0.8497,7/23/2010,0.6412,7/23/2010,1.1536,9/5/2012,0.4525,9/20/2010,0.6375,2/22/2012,0.3772,7/23/2010,0.3129,5/9/2011,1.3021,3/1/2013,0.6447,7/23/2010,0.2112,2/3/2012,0.4707,8/6/2010,0.4895,11/7/2012,0.1923,7/23/2010,0.2678,2/28/2013,0.2476,12/3/2012,0.3574,7/23/2010,0.2812,7/23/2010,0.5214,2/5/2013,0.1109,5/3/2012,0.3995,7/23/2010,0.2382,,,7/23/2010,0.0830,7/23/2010,0.3528,2/21/2013,0.1741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/26/2010,2.2750,7/26/2010,0.4284,7/26/2010,2.1866,7/26/2010,0.8473,7/26/2010,0.6130,7/26/2010,0.7727,7/26/2010,0.9130,10/13/2011,0.9077,7/26/2010,0.6555,7/26/2010,1.1384,9/6/2012,0.4641,9/21/2010,0.6429,2/23/2012,0.3771,7/26/2010,0.3168,5/11/2011,1.3382,3/4/2013,0.6447,7/26/2010,0.2112,2/6/2012,0.4682,8/9/2010,0.4947,11/8/2012,0.1858,7/26/2010,0.2704,3/1/2013,0.2450,12/4/2012,0.3561,7/26/2010,0.2812,7/26/2010,0.5254,2/6/2013,0.1122,5/4/2012,0.3968,7/26/2010,0.2382,,,7/26/2010,0.0837,7/26/2010,0.3657,2/22/2013,0.1754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/27/2010,2.2829,7/27/2010,0.4283,7/27/2010,2.2065,7/27/2010,0.8638,7/27/2010,0.6154,7/27/2010,0.7788,7/27/2010,0.9114,10/14/2011,0.8460,7/27/2010,0.6694,7/27/2010,1.1213,9/7/2012,0.4951,9/22/2010,0.6432,2/24/2012,0.3772,7/27/2010,0.3180,5/12/2011,1.2866,3/5/2013,0.6550,7/27/2010,0.2098,2/7/2012,0.4669,8/10/2010,0.4817,11/9/2012,0.1819,7/27/2010,0.2832,3/4/2013,0.2501,12/5/2012,0.3613,7/27/2010,0.2811,7/27/2010,0.5201,2/7/2013,0.1122,5/7/2012,0.3865,7/27/2010,0.2356,,,7/27/2010,0.0850,7/27/2010,0.3566,2/25/2013,0.1753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/28/2010,2.3605,7/28/2010,0.4412,7/28/2010,2.1888,7/28/2010,0.8639,7/28/2010,0.6142,7/28/2010,0.7764,7/28/2010,0.9360,10/17/2011,0.8781,7/28/2010,0.6528,7/28/2010,1.0893,9/10/2012,0.4952,9/24/2010,0.6214,2/27/2012,0.3772,7/28/2010,0.3245,5/13/2011,1.2814,3/6/2013,0.6460,7/28/2010,0.2112,2/8/2012,0.4720,8/11/2010,0.4815,11/12/2012,0.1742,7/28/2010,0.2807,3/5/2013,0.2424,12/6/2012,0.3600,7/28/2010,0.2886,7/28/2010,0.5253,2/8/2013,0.1122,5/8/2012,0.3955,7/28/2010,0.2382,,,7/28/2010,0.0856,7/28/2010,0.3541,2/26/2013,0.1676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/29/2010,2.3437,7/29/2010,0.4378,7/29/2010,2.2226,7/29/2010,0.8641,7/29/2010,0.6284,7/29/2010,0.7636,7/29/2010,0.9439,10/18/2011,0.7920,7/29/2010,0.6477,7/29/2010,1.0817,9/11/2012,0.5030,9/27/2010,0.6252,2/28/2012,0.3772,7/29/2010,0.3206,5/16/2011,1.2472,3/7/2013,0.6369,7/29/2010,0.2086,2/9/2012,0.5016,8/12/2010,0.4802,11/13/2012,0.1703,7/29/2010,0.2769,3/6/2013,0.2489,12/7/2012,0.3639,7/29/2010,0.2952,7/29/2010,0.5241,2/14/2013,0.1109,5/9/2012,0.3826,7/29/2010,0.2369,,,7/29/2010,0.0844,7/29/2010,0.3606,2/27/2013,0.1689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
