,914 HK Equity,,2899 HK Equity,,358 HK Equity,,2600 HK Equity,,3993 HK Equity,,656 HK Equity,,3323 HK Equity,,2009 HK Equity,,3983 HK Equity,,1818 HK Equity,,2128 HK Equity,,691 HK Equity,,930 HK Equity,,2626 HK Equity,,246 HK Equity,,468 HK Equity,,189 HK Equity,,906 HK Equity,,743 HK Equity,,2233 HK Equity,,1053 HK Equity,,1768 HK Equity,,2198 HK Equity,,3868 HK Equity,,3833 HK Equity,,1091 HK Equity,,1938 HK Equity,,769 HK Equity,,1266 HK Equity,,609 HK Equity,,3330 HK Equity,,1090 HK Equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/17/2008,1.5140,12/17/2008,0.3983,12/17/2008,0.8090,12/17/2008,0.6297,12/17/2008,0.4723,12/17/2008,0.2981,12/17/2008,0.5813,3/10/2010,1.0092,12/17/2008,0.4284,12/17/2008,0.3677,1/31/2011,0.9610,2/20/2009,0.3057,7/21/2010,0.3781,12/17/2008,0.1561,10/6/2009,1.3006,7/27/2011,0.5519,12/17/2008,0.0484,7/2/2010,0.8044,1/5/2009,0.5160,4/1/2011,0.4294,12/17/2008,0.2645,7/26/2011,0.5071,5/3/2011,0.4377,12/17/2008,0.1289,12/17/2008,0.2658,7/6/2011,0.2891,9/27/2010,0.3867,12/17/2008,0.1058,10/5/2012,0.1677,12/17/2008,0.0174,12/17/2008,0.2594,7/19/2011,0.2925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/18/2008,1.6451,12/18/2008,0.4241,12/18/2008,0.8374,12/18/2008,0.6477,12/18/2008,0.5110,12/18/2008,0.3677,12/18/2008,0.6000,3/11/2010,1.0066,12/18/2008,0.4490,12/18/2008,0.4000,2/1/2011,0.9753,2/23/2009,0.3018,7/22/2010,0.3885,12/18/2008,0.1600,10/7/2009,1.3548,7/28/2011,0.5441,12/18/2008,0.0490,7/5/2010,0.7956,1/6/2009,0.5159,4/4/2011,0.4220,12/18/2008,0.2813,7/27/2011,0.5057,5/4/2011,0.4209,12/18/2008,0.1307,12/18/2008,0.2826,7/7/2011,0.2981,9/28/2010,0.3841,12/18/2008,0.1123,10/8/2012,0.1625,12/18/2008,0.0171,12/18/2008,0.2800,7/20/2011,0.2836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/19/2008,1.6710,12/19/2008,0.4043,12/19/2008,0.8103,12/19/2008,0.6052,12/19/2008,0.4890,12/19/2008,0.3677,12/19/2008,0.5968,3/12/2010,1.0055,12/19/2008,0.4361,12/19/2008,0.3865,2/2/2011,1.0068,2/24/2009,0.2966,7/23/2010,0.3863,12/19/2008,0.1561,10/8/2009,1.4064,7/29/2011,0.5273,12/19/2008,0.0490,7/6/2010,0.8191,1/7/2009,0.5096,4/6/2011,0.4348,12/19/2008,0.2774,7/28/2011,0.4864,5/5/2011,0.4207,12/19/2008,0.1353,12/19/2008,0.2787,7/8/2011,0.2930,9/29/2010,0.3790,12/19/2008,0.1148,10/9/2012,0.1664,12/19/2008,0.0168,12/19/2008,0.2684,7/21/2011,0.2695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2008,1.5697,12/22/2008,0.3656,12/22/2008,0.7664,12/22/2008,0.5845,12/22/2008,0.4645,12/22/2008,0.3329,12/22/2008,0.5677,3/15/2010,0.9949,12/22/2008,0.4335,12/22/2008,0.3484,2/7/2011,1.0201,2/25/2009,0.3160,7/26/2010,0.3915,12/22/2008,0.1368,10/9/2009,1.3445,8/1/2011,0.5327,12/22/2008,0.0490,7/7/2010,0.8087,1/8/2009,0.4706,4/7/2011,0.4363,12/22/2008,0.2567,7/29/2011,0.4863,5/6/2011,0.4323,12/22/2008,0.1399,12/22/2008,0.2748,7/11/2011,0.2863,9/30/2010,0.3802,12/22/2008,0.1071,10/10/2012,0.1638,12/22/2008,0.0165,12/22/2008,0.2542,7/22/2011,0.2696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/23/2008,1.4408,12/23/2008,0.3406,12/23/2008,0.7071,12/23/2008,0.5264,12/23/2008,0.4374,12/23/2008,0.3200,12/23/2008,0.5535,3/16/2010,0.9831,12/23/2008,0.4065,12/23/2008,0.3355,2/8/2011,1.0124,2/26/2009,0.3005,7/27/2010,0.3862,12/23/2008,0.1303,10/12/2009,1.3238,8/2/2011,0.5093,12/23/2008,0.0465,7/8/2010,0.8141,1/9/2009,0.4641,4/8/2011,0.4313,12/23/2008,0.2413,8/1/2011,0.4916,5/9/2011,0.4375,12/23/2008,0.1344,12/23/2008,0.2452,7/12/2011,0.2733,10/4/2010,0.3893,12/23/2008,0.1045,10/11/2012,0.1612,12/23/2008,0.0165,12/23/2008,0.2348,7/25/2011,0.2669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/24/2008,1.4708,12/24/2008,0.3604,12/24/2008,0.7186,12/24/2008,0.5380,12/24/2008,0.4451,12/24/2008,0.3226,12/24/2008,0.5754,3/17/2010,0.9882,12/24/2008,0.4090,12/24/2008,0.3387,2/9/2011,0.9660,2/27/2009,0.3056,7/28/2010,0.3914,12/24/2008,0.1342,10/13/2009,1.3419,8/3/2011,0.4872,12/24/2008,0.0477,7/9/2010,0.8182,1/12/2009,0.4410,4/11/2011,0.4428,12/24/2008,0.2516,8/2/2011,0.4875,5/11/2011,0.4118,12/24/2008,0.1463,12/24/2008,0.2555,7/13/2011,0.2773,10/5/2010,0.3997,12/24/2008,0.1058,10/12/2012,0.1613,12/24/2008,0.0165,12/24/2008,0.2477,7/26/2011,0.2696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/29/2008,1.4859,12/29/2008,0.3905,12/29/2008,0.7419,12/29/2008,0.5303,12/29/2008,0.4516,12/29/2008,0.3368,12/29/2008,0.5935,3/18/2010,0.9857,12/29/2008,0.4155,12/29/2008,0.3729,2/10/2011,0.9602,3/2/2009,0.2965,7/29/2010,0.3915,12/29/2008,0.1419,10/14/2009,1.4039,8/4/2011,0.4845,12/29/2008,0.0471,7/12/2010,0.8197,1/13/2009,0.4384,4/12/2011,0.4361,12/29/2008,0.2503,8/3/2011,0.4872,5/12/2011,0.4079,12/29/2008,0.1444,12/29/2008,0.2568,7/14/2011,0.2748,10/6/2010,0.3972,12/29/2008,0.1123,10/15/2012,0.1600,12/29/2008,0.0165,12/29/2008,0.2593,7/27/2011,0.2785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/30/2008,1.4925,12/30/2008,0.4034,12/30/2008,0.7342,12/30/2008,0.5174,12/30/2008,0.4439,12/30/2008,0.3213,12/30/2008,0.6000,3/19/2010,0.9769,12/30/2008,0.4052,12/30/2008,0.3884,2/11/2011,0.9672,3/3/2009,0.2964,7/30/2010,0.3991,12/30/2008,0.1381,10/15/2009,1.3393,8/5/2011,0.4547,12/30/2008,0.0413,7/13/2010,0.8015,1/14/2009,0.4383,4/13/2011,0.4411,12/30/2008,0.2503,8/4/2011,0.4692,5/13/2011,0.3988,12/30/2008,0.1426,12/30/2008,0.2477,7/15/2011,0.2720,10/7/2010,0.3985,12/30/2008,0.1097,10/16/2012,0.1587,12/30/2008,0.0161,12/30/2008,0.2581,7/28/2011,0.2823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2008,1.5333,12/31/2008,0.4043,12/31/2008,0.7329,12/31/2008,0.5264,12/31/2008,0.4542,12/31/2008,0.3277,12/31/2008,0.6006,3/22/2010,0.9599,12/31/2008,0.4103,12/31/2008,0.3871,2/14/2011,0.9697,3/4/2009,0.3028,8/2/2010,0.3980,12/31/2008,0.1419,10/16/2009,1.3135,8/8/2011,0.4150,12/31/2008,0.0419,7/14/2010,0.8210,1/15/2009,0.4380,4/14/2011,0.4515,12/31/2008,0.2542,8/5/2011,0.4803,5/16/2011,0.3716,12/31/2008,0.1454,12/31/2008,0.2581,7/18/2011,0.2758,10/8/2010,0.3906,12/31/2008,0.1110,10/17/2012,0.1638,12/31/2008,0.0161,12/31/2008,0.2555,7/29/2011,0.2835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/2/2009,1.6300,1/2/2009,0.4094,1/2/2009,0.8090,1/2/2009,0.5870,1/2/2009,0.4851,1/2/2009,0.3716,1/2/2009,0.6090,3/23/2010,0.9650,1/2/2009,0.4219,1/2/2009,0.3890,2/15/2011,0.8840,3/5/2009,0.2939,8/3/2010,0.3982,1/2/2009,0.1497,10/19/2009,1.3651,8/9/2011,0.3675,1/2/2009,0.0419,7/15/2010,0.8148,1/16/2009,0.4381,4/15/2011,0.4644,1/2/2009,0.2709,8/8/2011,0.4714,5/17/2011,0.3730,1/2/2009,0.1545,1/2/2009,0.2851,7/19/2011,0.2707,10/11/2010,0.3957,1/2/2009,0.1161,10/18/2012,0.1703,1/2/2009,0.0161,1/2/2009,0.2568,8/1/2011,0.2811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/5/2009,1.7415,1/5/2009,0.4291,1/5/2009,0.8798,1/5/2009,0.6424,1/5/2009,0.5121,1/5/2009,0.4051,1/5/2009,0.6095,3/24/2010,0.9663,1/5/2009,0.4451,1/5/2009,0.3928,2/16/2011,0.8703,3/6/2009,0.2863,8/4/2010,0.3954,1/5/2009,0.1509,10/20/2009,1.3393,8/10/2011,0.3830,1/5/2009,0.0452,7/16/2010,0.8147,1/19/2009,0.4473,4/18/2011,0.4668,1/5/2009,0.2941,8/9/2011,0.4520,5/18/2011,0.3704,1/5/2009,0.1645,1/5/2009,0.3006,7/20/2011,0.2708,10/12/2010,0.3957,1/5/2009,0.1187,10/19/2012,0.1626,1/5/2009,0.0171,1/5/2009,0.2580,8/2/2011,0.2771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/6/2009,1.8272,1/6/2009,0.4170,1/6/2009,0.9132,1/6/2009,0.6449,1/6/2009,0.5172,1/6/2009,0.4063,1/6/2009,0.6062,3/25/2010,0.9535,1/6/2009,0.4579,1/6/2009,0.3773,2/17/2011,0.8989,3/9/2009,0.2901,8/5/2010,0.3916,1/6/2009,0.1509,10/21/2009,1.3419,8/11/2011,0.3593,1/6/2009,0.0516,7/19/2010,0.8076,1/20/2009,0.4343,4/19/2011,0.4654,1/6/2009,0.3134,8/10/2011,0.4445,5/19/2011,0.3653,1/6/2009,0.1627,1/6/2009,0.2928,7/21/2011,0.2721,10/13/2010,0.3943,1/6/2009,0.1200,10/22/2012,0.1626,1/6/2009,0.0226,1/6/2009,0.2515,8/3/2011,0.2692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/7/2009,1.7459,1/7/2009,0.4094,1/7/2009,0.9443,1/7/2009,0.6515,1/7/2009,0.5006,1/7/2009,0.3832,1/7/2009,0.5773,3/26/2010,0.9585,1/7/2009,0.4464,1/7/2009,0.3786,2/18/2011,0.8825,3/10/2009,0.2952,8/6/2010,0.3955,1/7/2009,0.1522,10/22/2009,1.3213,8/12/2011,0.3850,1/7/2009,0.0497,7/20/2010,0.8464,1/21/2009,0.4266,4/20/2011,0.4684,1/7/2009,0.3135,8/11/2011,0.4312,5/20/2011,0.3524,1/7/2009,0.1673,1/7/2009,0.2851,7/22/2011,0.2747,10/14/2010,0.3919,1/7/2009,0.1174,10/24/2012,0.1742,1/7/2009,0.0252,1/7/2009,0.2541,8/4/2011,0.2692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/8/2009,1.6290,1/8/2009,0.3757,1/8/2009,0.8265,1/8/2009,0.5906,1/8/2009,0.4642,1/8/2009,0.3520,1/8/2009,0.5190,3/29/2010,0.9570,1/8/2009,0.4216,1/8/2009,0.3436,2/21/2011,0.8723,3/11/2009,0.3082,8/9/2010,0.3930,1/8/2009,0.1418,10/23/2009,1.3523,8/15/2011,0.3785,1/8/2009,0.0587,7/21/2010,0.8693,1/22/2009,0.4343,4/21/2011,0.4583,1/8/2009,0.2888,8/12/2011,0.4312,5/23/2011,0.3459,1/8/2009,0.1571,1/8/2009,0.2669,7/25/2011,0.2733,10/15/2010,0.3996,1/8/2009,0.1135,10/25/2012,0.1677,1/8/2009,0.0251,1/8/2009,0.2398,8/5/2011,0.2511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/9/2009,1.5943,1/9/2009,0.3825,1/9/2009,0.8418,1/9/2009,0.5801,1/9/2009,0.4718,1/9/2009,0.3584,1/9/2009,0.5531,3/30/2010,0.9852,1/9/2009,0.4332,1/9/2009,0.3597,2/22/2011,0.8290,3/12/2009,0.3082,8/10/2010,0.3916,1/9/2009,0.1405,10/27/2009,1.3161,8/16/2011,0.3979,1/9/2009,0.0548,7/22/2010,0.8825,1/23/2009,0.4294,4/26/2011,0.4504,1/9/2009,0.2875,8/15/2011,0.4491,5/24/2011,0.3549,1/9/2009,0.1635,1/9/2009,0.2785,7/26/2011,0.2721,10/18/2010,0.4331,1/9/2009,0.1122,10/26/2012,0.1677,1/9/2009,0.0251,1/9/2009,0.2514,8/8/2011,0.2434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
