,2333 HK Equity,,1128 HK Equity,,1211 HK Equity,,489 HK Equity,,2282 HK Equity,,2238 HK Equity,,3333 HK Equity,,670 HK Equity,,1055 HK Equity,,2313 HK Equity,,3383 HK Equity,,3308 HK Equity,,2020 HK Equity,,1833 HK Equity,,881 HK Equity,,425 HK Equity,,3918 HK Equity,,1293 HK Equity,,921 HK Equity,,3669 HK Equity,,210 HK Equity,,3368 HK Equity,,1728 HK Equity,,3818 HK Equity,,2006 HK Equity,,848 HK Equity,,1028 HK Equity,,1628 HK Equity,,2331 HK Equity,,2698 HK Equity,,1966 HK Equity,,331 HK Equity,,1234 HK Equity,,1899 HK Equity,,2200 HK Equity,,811 HK Equity,,1146 HK Equity,,2355 HK Equity,,1698 HK Equity,,672 HK Equity,,2722 HK Equity,,1086 HK Equity,,946 HK Equity,,1968 HK Equity,,2083 HK Equity,,496 HK Equity,,3666 HK Equity,,873 HK Equity,,238 HK Equity,,837 HK Equity,,1863 HK Equity
7/8/2010,0.74685,12/7/2011,2.6697,7/8/2010,7.13,7/8/2010,1.25202,,,10/31/2012,0.68513,1/5/2012,0.39,7/8/2010,0.41991,7/8/2010,0.41,7/8/2010,1.15443,7/8/2010,1.09,7/8/2010,2.13165,7/8/2010,1.80,7/8/2010,1.00419,5/30/2012,1.67,7/8/2010,1.19681,7/8/2010,0.12,,,7/8/2010,0.44,,,7/8/2010,0.94,7/8/2010,1.6822,2/15/2013,0.91,7/8/2010,0.64206,7/8/2010,0.23,7/8/2010,0.36854,,,12/30/2011,0.17615,7/8/2010,3.3002,7/8/2010,0.60097,4/12/2012,0.23054,2/17/2012,0.17797,11/24/2011,0.77991,7/8/2010,0.55217,,,7/8/2010,0.52007,,,7/8/2010,0.61124,11/28/2012,0.21677,7/8/2010,0.24398,8/16/2010,0.24961,1/25/2013,0.49911,2/28/2012,0.26563,11/28/2011,0.26298,,,7/8/2010,0.23114,,,8/10/2012,0.23976,1/7/2013,0.2103,3/1/2012,0.51449,6/28/2012,0.26421
7/9/2010,0.78011,12/8/2011,2.6042,7/9/2010,7.38,7/9/2010,1.27616,,,11/1/2012,0.69031,1/6/2012,0.39,7/9/2010,0.43739,7/9/2010,0.42,7/9/2010,1.20798,7/9/2010,1.15,7/9/2010,2.21785,7/9/2010,1.83,7/9/2010,1.02916,5/31/2012,1.61,7/9/2010,1.24786,7/9/2010,0.12,,,7/9/2010,0.45,,,7/9/2010,0.99,7/9/2010,1.68783,2/18/2013,0.92,7/9/2010,0.64837,7/9/2010,0.24,7/9/2010,0.39237,,,1/3/2012,0.17612,7/9/2010,3.33192,7/9/2010,0.60721,4/13/2012,0.22939,2/20/2012,0.17797,11/25/2011,0.77087,7/9/2010,0.57247,,,7/9/2010,0.52101,,,7/9/2010,0.62779,11/29/2012,0.21677,7/9/2010,0.25729,8/17/2010,0.25354,1/28/2013,0.50531,2/29/2012,0.26561,11/29/2011,0.28113,,,7/9/2010,0.23413,,,8/13/2012,0.23973,1/8/2013,0.20385,3/2/2012,0.51168,6/29/2012,0.27843
7/12/2010,0.7803,12/9/2011,2.49537,7/12/2010,7.26,7/12/2010,1.30221,,,11/2/2012,0.69676,1/9/2012,0.40,7/12/2010,0.44908,7/12/2010,0.43,7/12/2010,1.22243,7/12/2010,1.17,7/12/2010,2.23383,7/12/2010,1.89,7/12/2010,1.02942,6/1/2012,1.55,7/12/2010,1.25331,7/12/2010,0.12,,,7/12/2010,0.46,,,7/12/2010,0.98,7/12/2010,1.70626,2/19/2013,0.89,7/12/2010,0.64853,7/12/2010,0.24,7/12/2010,0.38603,,,1/4/2012,0.17433,7/12/2010,3.42924,7/12/2010,0.60736,4/16/2012,0.23201,2/21/2012,0.19731,11/28/2011,0.77097,7/12/2010,0.57519,,,7/12/2010,0.51728,,,7/12/2010,0.62794,11/30/2012,0.21677,7/12/2010,0.26507,8/18/2010,0.25872,1/29/2013,0.49751,3/1/2012,0.26563,11/30/2011,0.27671,,,7/12/2010,0.23162,,,8/14/2012,0.23978,1/9/2013,0.20511,3/5/2012,0.5088,7/3/2012,0.25791
7/13/2010,0.76058,12/12/2011,2.46181,7/13/2010,7.00,7/13/2010,1.2865,,,11/5/2012,0.69289,1/10/2012,0.41,7/13/2010,0.46186,7/13/2010,0.43,7/13/2010,1.22475,7/13/2010,1.16,7/13/2010,2.21021,7/13/2010,1.88,7/13/2010,1.0678,6/4/2012,1.44,7/13/2010,1.25177,7/13/2010,0.11,,,7/13/2010,0.45,,,7/13/2010,0.97,7/13/2010,1.7162,2/20/2013,0.92,7/13/2010,0.64068,7/13/2010,0.23,7/13/2010,0.38338,,,1/5/2012,0.17439,7/13/2010,3.4414,7/13/2010,0.61109,4/17/2012,0.22941,2/22/2012,0.19343,11/29/2011,0.8511,7/13/2010,0.58279,,,7/13/2010,0.51332,,,7/13/2010,0.62653,12/3/2012,0.21677,7/13/2010,0.26116,8/19/2010,0.25869,1/30/2013,0.49622,3/2/2012,0.2655,12/1/2011,0.29346,,,7/13/2010,0.23157,,,8/15/2012,0.23848,1/10/2013,0.21028,3/6/2012,0.49595,7/4/2012,0.26433
7/14/2010,0.73714,12/13/2011,2.46841,7/14/2010,7.10,7/14/2010,1.28948,,,11/6/2012,0.68384,1/11/2012,0.41,7/14/2010,0.462,7/14/2010,0.43,7/14/2010,1.1788,7/14/2010,1.18,7/14/2010,2.23921,7/14/2010,1.89,7/14/2010,1.06813,6/5/2012,1.44,7/14/2010,1.28433,7/14/2010,0.11,,,7/14/2010,0.47,,,7/14/2010,0.98,7/14/2010,1.74761,2/21/2013,0.86,7/14/2010,0.64088,7/14/2010,0.23,7/14/2010,0.37706,,,1/6/2012,0.17349,7/14/2010,3.44246,7/14/2010,0.619,4/18/2012,0.22936,2/23/2012,0.18953,11/30/2011,0.81468,7/14/2010,0.62415,,,7/14/2010,0.5212,,,7/14/2010,0.62415,12/4/2012,0.21677,7/14/2010,0.26381,8/20/2010,0.25592,1/31/2013,0.51444,3/5/2012,0.26535,12/2/2011,0.29225,,,7/14/2010,0.23164,,,8/16/2012,0.2385,1/11/2013,0.21156,3/7/2012,0.51263,7/5/2012,0.26434
7/15/2010,0.73005,12/14/2011,2.52287,7/15/2010,6.97,7/15/2010,1.25365,,,11/7/2012,0.70318,1/12/2012,0.42,7/15/2010,0.46722,7/15/2010,0.43,7/15/2010,1.15969,7/15/2010,1.15,7/15/2010,2.21899,7/15/2010,1.88,7/15/2010,1.04256,6/6/2012,1.43,7/15/2010,1.3283,7/15/2010,0.11,,,7/15/2010,0.46,,,7/15/2010,1.00,7/15/2010,1.71701,2/22/2013,0.85,7/15/2010,0.62554,7/15/2010,0.23,7/15/2010,0.37198,,,1/9/2012,0.169,7/15/2010,3.37868,7/15/2010,0.61395,4/19/2012,0.23058,2/24/2012,0.187,12/1/2011,0.88554,7/15/2010,0.61009,,,7/15/2010,0.5097,,,7/15/2010,0.61782,12/5/2012,0.21677,7/15/2010,0.25742,8/23/2010,0.25209,2/1/2013,0.51445,3/6/2012,0.26536,12/5/2011,0.29087,,,7/15/2010,0.23426,,,8/17/2012,0.2385,1/14/2013,0.21155,3/8/2012,0.52222,7/6/2012,0.26828
7/16/2010,0.74335,12/15/2011,2.45974,7/16/2010,6.54,7/16/2010,1.24707,,,11/8/2012,0.6773,1/13/2012,0.44,7/16/2010,0.47747,7/16/2010,0.44,7/16/2010,1.19688,7/16/2010,1.13,7/16/2010,2.22645,7/16/2010,1.91,7/16/2010,1.03344,6/7/2012,1.45,7/16/2010,1.28439,7/16/2010,0.11,,,7/16/2010,0.45,,,7/16/2010,0.97,7/16/2010,1.6988,2/25/2013,0.80,7/16/2010,0.61774,7/16/2010,0.23,7/16/2010,0.36936,,,1/10/2012,0.16901,7/16/2010,3.37829,7/16/2010,0.60745,4/20/2012,0.23063,2/27/2012,0.17795,12/2/2011,0.90249,7/16/2010,0.59072,,,7/16/2010,0.50063,,,7/16/2010,0.60488,12/6/2012,0.21677,7/16/2010,0.25739,8/24/2010,0.24817,2/4/2013,0.52234,3/7/2012,0.26533,12/6/2011,0.28177,,,7/16/2010,0.23165,,,8/20/2012,0.2372,1/15/2013,0.20769,3/9/2012,0.51829,7/9/2012,0.26433
7/19/2010,0.71298,12/16/2011,2.4409,7/19/2010,6.21,7/19/2010,1.22946,,,11/9/2012,0.67087,1/16/2012,0.42,7/19/2010,0.47198,7/19/2010,0.43,7/19/2010,1.17416,7/19/2010,1.15,7/19/2010,2.19913,7/19/2010,1.90,7/19/2010,1.04298,6/8/2012,1.42,7/19/2010,1.25518,7/19/2010,0.11,,,7/19/2010,0.46,,,7/19/2010,0.97,7/19/2010,1.67185,2/26/2013,0.76,7/19/2010,0.61344,7/19/2010,0.23,7/19/2010,0.38453,,,1/11/2012,0.169,7/19/2010,3.34371,7/19/2010,0.60187,4/23/2012,0.22934,2/28/2012,0.18955,12/5/2011,0.89965,7/19/2010,0.60444,,,7/19/2010,0.50413,,,7/19/2010,0.60701,12/7/2012,0.21677,7/19/2010,0.25592,8/25/2010,0.24945,2/5/2013,0.51324,3/8/2012,0.26562,12/7/2011,0.28563,,,7/19/2010,0.2392,,,8/21/2012,0.24366,1/16/2013,0.20767,3/12/2012,0.5285,7/10/2012,0.25791
7/20/2010,0.7347,12/19/2011,2.34037,7/20/2010,6.46,7/20/2010,1.29396,,,11/12/2012,0.66963,1/17/2012,0.46,7/20/2010,0.48491,7/20/2010,0.44,7/20/2010,1.22836,7/20/2010,1.21,7/20/2010,2.20204,7/20/2010,1.90,7/20/2010,1.03414,6/11/2012,1.43,7/20/2010,1.30939,7/20/2010,0.11,,,7/20/2010,0.49,,,7/20/2010,0.98,7/20/2010,1.6824,2/27/2013,0.77,7/20/2010,0.61482,7/20/2010,0.23,7/20/2010,0.3833,,,1/12/2012,0.16898,7/20/2010,3.35709,7/20/2010,0.61354,4/24/2012,0.22681,2/29/2012,0.19341,12/6/2011,0.88776,7/20/2010,0.62254,,,7/20/2010,0.50549,,,7/20/2010,0.62383,12/10/2012,0.21677,7/20/2010,0.26111,8/26/2010,0.24169,2/6/2013,0.54291,3/9/2012,0.26559,12/8/2011,0.28678,,,7/20/2010,0.26754,,,8/22/2012,0.24109,1/17/2013,0.20639,3/13/2012,0.53998,7/11/2012,0.25662
7/21/2010,0.74996,12/20/2011,2.31545,7/21/2010,6.45,7/21/2010,1.29623,,,11/13/2012,0.65672,1/18/2012,0.47,7/21/2010,0.50538,7/21/2010,0.46,7/21/2010,1.22807,7/21/2010,1.24,7/21/2010,2.28383,7/21/2010,1.94,7/21/2010,1.01589,6/12/2012,1.38,7/21/2010,1.3451,7/21/2010,0.11,,,7/21/2010,0.49,,,7/21/2010,0.97,7/21/2010,1.74374,2/28/2013,0.80,7/21/2010,0.61854,7/21/2010,0.23,7/21/2010,0.38964,,,1/13/2012,0.16899,7/21/2010,3.42061,7/21/2010,0.61725,4/25/2012,0.22938,3/1/2012,0.18568,12/7/2011,0.90834,7/21/2010,0.63783,,,7/21/2010,0.50923,,,7/21/2010,0.62497,12/11/2012,0.21677,7/21/2010,0.26233,8/27/2010,0.24297,2/7/2013,0.52739,3/12/2012,0.26554,12/9/2011,0.28783,,,7/21/2010,0.27648,,,8/23/2012,0.26818,1/18/2013,0.20509,3/14/2012,0.51793,7/12/2012,0.25781
7/22/2010,0.77184,12/21/2011,2.38251,7/22/2010,6.66,7/22/2010,1.28126,,,11/14/2012,0.66447,1/19/2012,0.49,7/22/2010,0.5107,7/22/2010,0.46,7/22/2010,1.24781,7/22/2010,1.25,7/22/2010,2.34126,7/22/2010,1.94,7/22/2010,1.02912,6/13/2012,1.47,7/22/2010,1.30184,7/22/2010,0.11,,,7/22/2010,0.49,,,7/22/2010,0.98,7/22/2010,1.71349,3/1/2013,0.78,7/22/2010,0.61104,7/22/2010,0.24,7/22/2010,0.38721,,,1/16/2012,0.16807,7/22/2010,3.40254,7/22/2010,0.63162,4/26/2012,0.2294,3/2/2012,0.19462,12/8/2011,0.90022,7/22/2010,0.64835,,,7/22/2010,0.53514,,,7/22/2010,0.62391,12/12/2012,0.21677,7/22/2010,0.26629,8/30/2010,0.25453,2/8/2013,0.5248,3/13/2012,0.26548,12/12/2011,0.28396,,,7/22/2010,0.26886,,,8/24/2012,0.26944,1/21/2013,0.20637,3/15/2012,0.53854,7/13/2012,0.25137
7/23/2010,0.77972,12/22/2011,2.40298,7/23/2010,6.78,7/23/2010,1.29524,,,11/15/2012,0.65532,1/20/2012,0.48,7/23/2010,0.49956,7/23/2010,0.46,7/23/2010,1.25661,7/23/2010,1.30,7/23/2010,2.43855,7/23/2010,1.97,7/23/2010,1.0519,6/14/2012,1.41,7/23/2010,1.34932,7/23/2010,0.11,,,7/23/2010,0.51,,,7/23/2010,0.96,7/23/2010,1.74845,3/4/2013,0.75,7/23/2010,0.60513,7/23/2010,0.24,7/23/2010,0.39398,,,1/17/2012,0.16814,7/23/2010,3.39904,7/23/2010,0.63603,4/27/2012,0.22424,3/5/2012,0.19064,12/9/2011,0.89304,7/23/2010,0.6502,,,7/23/2010,0.53689,,,7/23/2010,0.62573,12/13/2012,0.21677,7/23/2010,0.2678,8/31/2010,0.25326,2/14/2013,0.54551,3/14/2012,0.26541,12/13/2011,0.28541,,,7/23/2010,0.27682,,,8/27/2012,0.27206,1/22/2013,0.20507,3/16/2012,0.56167,7/16/2012,0.24105
7/26/2010,0.79531,12/23/2011,2.46641,7/26/2010,6.70,7/26/2010,1.33668,,,11/16/2012,0.68242,1/26/2012,0.52,7/26/2010,0.50866,7/26/2010,0.46,7/26/2010,1.25555,7/26/2010,1.31,7/26/2010,2.26901,7/26/2010,1.87,7/26/2010,1.06883,6/15/2012,1.40,7/26/2010,1.38562,7/26/2010,0.11,,,7/26/2010,0.50,,,7/26/2010,0.92,7/26/2010,1.72558,3/5/2013,0.78,7/26/2010,0.57305,7/26/2010,0.24,7/26/2010,0.40306,,,1/18/2012,0.17001,7/26/2010,3.30951,7/26/2010,0.65933,4/30/2012,0.23201,3/6/2012,0.18034,12/12/2011,0.89941,7/26/2010,0.64259,,,7/26/2010,0.52926,,,7/26/2010,0.6413,12/14/2012,0.21677,7/26/2010,0.2627,9/1/2010,0.25212,2/15/2013,0.55323,3/15/2012,0.26541,12/14/2011,0.2826,,,7/26/2010,0.26656,,,8/28/2012,0.24625,1/23/2013,0.2025,3/19/2012,0.56425,7/17/2012,0.24107
