,2333 HK Equity,,1128 HK Equity,,1211 HK Equity,,489 HK Equity,,2282 HK Equity,,2238 HK Equity,,3333 HK Equity,,670 HK Equity,,1055 HK Equity,,2313 HK Equity,,3383 HK Equity,,3308 HK Equity,,2020 HK Equity,,1833 HK Equity,,881 HK Equity,,425 HK Equity,,3918 HK Equity,,1293 HK Equity,,921 HK Equity,,3669 HK Equity,,210 HK Equity,,3368 HK Equity,,1728 HK Equity,,3818 HK Equity,,2006 HK Equity,,848 HK Equity,,1028 HK Equity,,1628 HK Equity,,2331 HK Equity,,2698 HK Equity,,1966 HK Equity,,331 HK Equity,,1234 HK Equity,,1899 HK Equity,,2200 HK Equity,,811 HK Equity,,1146 HK Equity,,2355 HK Equity,,1698 HK Equity,,672 HK Equity,,2722 HK Equity,,1086 HK Equity,,946 HK Equity,,1968 HK Equity,,2083 HK Equity,,496 HK Equity,,3666 HK Equity,,873 HK Equity,,238 HK Equity,,837 HK Equity,,1863 HK Equity
5/27/2010,0.63573,10/28/2011,2.93027,5/27/2010,7.51,5/27/2010,1.20804,6/28/2013,2.67,9/18/2012,0.6914,11/23/2011,0.36,5/27/2010,0.41466,5/27/2010,0.43,5/27/2010,1.11175,5/27/2010,1.08,5/27/2010,1.91283,5/27/2010,1.60,5/27/2010,0.85243,4/19/2012,2.04,5/27/2010,1.28121,5/27/2010,0.12,,,5/27/2010,0.38,,,5/27/2010,0.92,5/27/2010,1.53027,1/3/2013,0.76,5/27/2010,0.64317,5/27/2010,0.20,5/27/2010,0.31709,,,11/18/2011,0.17832,5/27/2010,3.30573,5/27/2010,0.59953,2/29/2012,0.22564,1/5/2012,0.13909,10/17/2011,1.07734,5/27/2010,0.56871,,,5/27/2010,0.49426,,,5/27/2010,0.56486,10/18/2012,0.21676,5/27/2010,0.23857,7/7/2010,0.2349,12/13/2012,0.33419,1/16/2012,0.26519,10/19/2011,0.26361,6/20/2013,0.16251,5/27/2010,0.25419,,,7/3/2012,0.23856,11/23/2012,0.20129,1/18/2012,0.47544,5/21/2012,0.25884
5/28/2010,0.65755,10/31/2011,2.86409,5/28/2010,8.22,5/28/2010,1.16741,7/2/2013,2.66,9/19/2012,0.70554,11/24/2011,0.38,5/28/2010,0.41867,5/28/2010,0.44,5/28/2010,1.12759,5/28/2010,1.06,5/28/2010,1.94696,5/28/2010,1.71,5/28/2010,0.86046,4/20/2012,2.03,5/28/2010,1.31253,5/28/2010,0.12,,,5/28/2010,0.40,,,5/28/2010,0.97,5/28/2010,1.55654,1/4/2013,0.81,5/28/2010,0.66012,5/28/2010,0.21,5/28/2010,0.32877,,,11/21/2011,0.1774,5/28/2010,3.41617,5/28/2010,0.6203,3/1/2012,0.22566,1/6/2012,0.1365,10/18/2011,0.99639,5/28/2010,0.5715,,,5/28/2010,0.49445,,,5/28/2010,0.58434,10/19/2012,0.21677,5/28/2010,0.23866,7/8/2010,0.24013,12/14/2012,0.35612,1/17/2012,0.2653,10/20/2011,0.26608,6/21/2013,0.16112,5/28/2010,0.25429,,,7/4/2012,0.24112,11/26/2012,0.20258,1/19/2012,0.47683,5/22/2012,0.27045
5/31/2010,0.71818,11/1/2011,2.87593,5/31/2010,8.39,5/31/2010,1.21622,7/3/2013,2.61,9/20/2012,0.68356,11/25/2011,0.38,5/31/2010,0.41739,5/31/2010,0.44,5/31/2010,1.12889,5/31/2010,1.08,5/31/2010,2.03688,5/31/2010,1.72,5/31/2010,0.88102,4/23/2012,2.03,5/31/2010,1.34851,5/31/2010,0.12,,,5/31/2010,0.40,,,5/31/2010,0.99,5/31/2010,1.62334,1/7/2013,0.86,5/31/2010,0.67168,5/31/2010,0.21,5/31/2010,0.32621,,,11/22/2011,0.1738,5/31/2010,3.47401,5/31/2010,0.62802,3/2/2012,0.22813,1/9/2012,0.14035,10/19/2011,0.97343,5/31/2010,0.57279,,,5/31/2010,0.48546,,,5/31/2010,0.59334,10/22/2012,0.21677,5/31/2010,0.24616,7/9/2010,0.247,12/17/2012,0.35482,1/18/2012,0.26542,10/21/2011,0.27372,6/24/2013,0.16241,5/31/2010,0.25686,,,7/5/2012,0.24113,11/27/2012,0.20258,1/20/2012,0.48967,5/23/2012,0.2653
6/1/2010,0.68287,11/2/2011,2.94666,6/1/2010,7.98,6/1/2010,1.1424,7/4/2013,2.62,9/21/2012,0.69776,11/28/2011,0.40,6/1/2010,0.41332,6/1/2010,0.44,6/1/2010,1.10389,6/1/2010,1.02,6/1/2010,2.02038,6/1/2010,1.70,6/1/2010,0.87413,4/24/2012,2.02,6/1/2010,1.3144,6/1/2010,0.12,,,6/1/2010,0.39,,,6/1/2010,0.99,6/1/2010,1.57369,1/8/2013,0.81,6/1/2010,0.66234,6/1/2010,0.21,6/1/2010,0.32988,,,11/23/2011,0.17464,6/1/2010,3.3181,6/1/2010,0.61356,3/5/2012,0.23057,1/10/2012,0.14036,10/20/2011,0.94734,6/1/2010,0.57248,,,6/1/2010,0.47108,,,6/1/2010,0.59046,10/24/2012,0.21677,6/1/2010,0.24709,7/12/2010,0.25221,12/18/2012,0.36645,1/19/2012,0.26548,10/24/2011,0.28285,6/25/2013,0.16242,6/1/2010,0.25415,,,7/6/2012,0.24507,11/28/2012,0.20129,1/26/2012,0.46798,5/24/2012,0.27049
6/2/2010,0.68263,11/3/2011,2.87704,6/2/2010,8.04,6/2/2010,1.12146,7/5/2013,2.66,9/24/2012,0.68361,11/29/2011,0.39,6/2/2010,0.40804,6/2/2010,0.42,6/2/2010,1.05859,6/2/2010,1.01,6/2/2010,2.03762,6/2/2010,1.78,6/2/2010,0.92386,4/25/2012,2.00,6/2/2010,1.24978,6/2/2010,0.11,,,6/2/2010,0.39,,,6/2/2010,1.02,6/2/2010,1.5526,1/9/2013,0.81,6/2/2010,0.6621,6/2/2010,0.21,6/2/2010,0.32977,,,11/24/2011,0.1746,6/2/2010,3.40031,6/2/2010,0.60307,3/6/2012,0.23058,1/11/2012,0.14035,10/21/2011,0.93039,6/2/2010,0.57356,,,6/2/2010,0.46835,,,6/2/2010,0.56715,10/25/2012,0.21677,6/2/2010,0.24807,7/13/2010,0.24958,12/19/2012,0.36645,1/20/2012,0.26545,10/25/2011,0.29971,6/26/2013,0.16238,6/2/2010,0.25534,,,7/9/2012,0.23468,11/29/2012,0.19871,1/27/2012,0.47065,5/25/2012,0.25635
6/3/2010,0.69312,11/4/2011,2.97393,6/3/2010,8.39,6/3/2010,1.18343,7/8/2013,2.64,9/25/2012,0.67323,11/30/2011,0.39,6/3/2010,0.42614,6/3/2010,0.43,6/3/2010,1.08203,6/3/2010,1.04,6/3/2010,2.07935,6/3/2010,1.81,6/3/2010,0.95881,4/26/2012,2.00,6/3/2010,1.29895,6/3/2010,0.12,,,6/3/2010,0.41,,,6/3/2010,1.05,6/3/2010,1.57106,1/10/2013,0.83,6/3/2010,0.67386,6/3/2010,0.21,6/3/2010,0.34399,,,11/25/2011,0.17369,6/3/2010,3.38857,6/3/2010,0.60969,3/7/2012,0.22927,1/12/2012,0.13905,10/24/2011,0.9604,6/3/2010,0.60455,,,6/3/2010,0.48261,,,6/3/2010,0.59428,10/26/2012,0.21677,6/3/2010,0.24922,7/14/2010,0.24837,12/20/2012,0.36129,1/26/2012,0.26558,10/26/2011,0.29459,6/27/2013,0.16757,6/3/2010,0.25543,,,7/10/2012,0.2347,11/30/2012,0.19613,1/30/2012,0.47707,5/28/2012,0.26408
6/4/2010,0.67563,11/7/2011,2.94765,6/4/2010,8.56,6/4/2010,1.14616,7/9/2013,2.62,9/26/2012,0.64354,12/1/2011,0.45,6/4/2010,0.42869,6/4/2010,0.43,6/4/2010,1.09097,6/4/2010,1.06,6/4/2010,2.0459,6/4/2010,1.78,6/4/2010,0.96391,4/27/2012,1.98,6/4/2010,1.31687,6/4/2010,0.13,,,6/4/2010,0.44,,,6/4/2010,1.05,6/4/2010,1.58127,1/11/2013,0.83,6/4/2010,0.66485,6/4/2010,0.21,6/4/2010,0.34269,,,11/28/2011,0.17193,6/4/2010,3.36919,6/4/2010,0.61223,3/8/2012,0.22952,1/13/2012,0.13777,10/25/2011,1.02904,6/4/2010,0.60324,,,6/4/2010,0.48645,,,6/4/2010,0.58656,10/29/2012,0.21677,6/4/2010,0.25563,7/15/2010,0.24069,12/21/2012,0.36386,1/27/2012,0.26562,10/27/2011,0.32689,6/28/2013,0.16503,6/4/2010,0.25157,,,7/11/2012,0.22696,12/3/2012,0.19484,1/31/2012,0.47704,5/29/2012,0.26533
6/7/2010,0.63876,11/8/2011,2.89613,6/7/2010,8.20,6/7/2010,1.074,,,9/27/2012,0.64096,12/2/2011,0.45,6/7/2010,0.42037,6/7/2010,0.41,6/7/2010,1.05093,6/7/2010,1.02,6/7/2010,1.95576,6/7/2010,1.70,6/7/2010,0.95609,4/30/2012,1.99,6/7/2010,1.27137,6/7/2010,0.12,,,6/7/2010,0.43,,,6/7/2010,1.01,6/7/2010,1.50206,1/14/2013,0.85,6/7/2010,0.6485,6/7/2010,0.20,6/7/2010,0.3345,,,11/29/2011,0.17205,6/7/2010,3.25533,6/7/2010,0.60236,3/9/2012,0.23078,1/16/2012,0.13774,10/26/2011,1.02141,6/7/2010,0.58186,,,6/7/2010,0.48317,,,6/7/2010,0.57032,10/30/2012,0.21677,6/7/2010,0.25098,7/16/2010,0.24324,12/24/2012,0.36643,1/30/2012,0.26561,10/28/2011,0.32201,7/2/2013,0.16766,6/7/2010,0.25376,,,7/12/2012,0.23074,12/4/2012,0.19226,2/1/2012,0.47844,5/30/2012,0.26531
6/8/2010,0.62111,11/9/2011,2.88236,6/8/2010,7.98,6/8/2010,1.06593,,,9/28/2012,0.65641,12/5/2011,0.45,6/8/2010,0.41253,6/8/2010,0.42,6/8/2010,1.04671,6/8/2010,1.00,6/8/2010,1.95506,6/8/2010,1.70,6/8/2010,0.96472,5/2/2012,2.01,6/8/2010,1.29398,6/8/2010,0.12,,,6/8/2010,0.41,,,6/8/2010,1.04,6/8/2010,1.54765,1/15/2013,0.82,6/8/2010,0.64443,6/8/2010,0.20,6/8/2010,0.32798,,,11/30/2011,0.16981,6/8/2010,3.27978,6/8/2010,0.60215,3/12/2012,0.23074,1/17/2012,0.15068,10/27/2011,1.06046,6/8/2010,0.57652,,,6/8/2010,0.48044,,,6/8/2010,0.57396,10/31/2012,0.21677,6/8/2010,0.2541,7/19/2010,0.24178,12/27/2012,0.36636,1/31/2012,0.2656,10/31/2011,0.29993,7/3/2013,0.16508,6/8/2010,0.25367,,,7/13/2012,0.22688,12/5/2012,0.19355,2/2/2012,0.48094,5/31/2012,0.25768
6/9/2010,0.62448,11/10/2011,2.75693,6/9/2010,7.95,6/9/2010,1.03952,,,10/3/2012,0.63444,12/6/2011,0.43,6/9/2010,0.41145,6/9/2010,0.42,6/9/2010,0.97671,6/9/2010,0.98,6/9/2010,2.07134,6/9/2010,1.73,6/9/2010,0.99978,5/3/2012,1.99,6/9/2010,1.21256,6/9/2010,0.12,,,6/9/2010,0.45,,,6/9/2010,1.05,6/9/2010,1.58171,1/16/2013,0.80,6/9/2010,0.64858,6/9/2010,0.21,6/9/2010,0.33967,,,12/1/2011,0.17787,6/9/2010,3.2557,6/9/2010,0.59474,3/13/2012,0.23326,1/18/2012,0.15848,10/28/2011,1.13347,6/9/2010,0.58962,,,6/9/2010,0.48195,,,6/9/2010,0.56398,11/1/2012,0.21677,6/9/2010,0.24674,7/20/2010,0.2431,12/28/2012,0.36766,2/1/2012,0.26566,11/1/2011,0.30625,7/4/2013,0.16508,6/9/2010,0.24866,,,7/16/2012,0.22172,12/6/2012,0.19613,2/3/2012,0.47459,6/1/2012,0.25255
6/10/2010,0.61394,11/11/2011,2.6034,6/10/2010,7.66,6/10/2010,0.992,,,10/4/2012,0.6177,12/7/2011,0.44,6/10/2010,0.42221,6/10/2010,0.43,6/10/2010,0.99842,6/10/2010,0.96,6/10/2010,2.06871,6/10/2010,1.80,6/10/2010,1.02024,5/4/2012,1.91,6/10/2010,1.24225,6/10/2010,0.11,,,6/10/2010,0.45,,,6/10/2010,1.01,6/10/2010,1.58105,1/17/2013,0.80,6/10/2010,0.65706,6/10/2010,0.20,6/10/2010,0.35035,,,12/2/2011,0.17881,6/10/2010,3.36871,6/10/2010,0.58263,3/14/2012,0.23191,1/19/2012,0.1598,10/31/2011,1.0684,6/10/2010,0.59161,,,6/10/2010,0.48124,,,6/10/2010,0.57749,11/2/2012,0.21677,6/10/2010,0.24169,7/21/2010,0.24433,12/31/2012,0.36125,2/2/2012,0.26561,11/2/2011,0.31139,7/5/2013,0.16764,6/10/2010,0.2387,,,7/17/2012,0.22818,12/7/2012,0.19484,2/6/2012,0.47718,6/4/2012,0.27066
6/11/2010,0.64794,11/14/2011,2.49296,6/11/2010,7.87,6/11/2010,1.04097,,,10/5/2012,0.6282,12/8/2011,0.44,6/11/2010,0.43256,6/11/2010,0.44,6/11/2010,1.00375,6/11/2010,0.98,6/11/2010,2.12815,6/11/2010,1.83,6/11/2010,1.0153,5/7/2012,1.87,6/11/2010,1.21939,6/11/2010,0.11,,,6/11/2010,0.45,,,6/11/2010,1.02,6/11/2010,1.60189,1/18/2013,0.81,6/11/2010,0.67259,6/11/2010,0.20,6/11/2010,0.36068,,,12/5/2011,0.17876,6/11/2010,3.46563,6/11/2010,0.58146,3/15/2012,0.22804,1/20/2012,0.15592,11/1/2011,1.07059,6/11/2010,0.59557,,,6/11/2010,0.47877,,,6/11/2010,0.58402,11/5/2012,0.21677,6/11/2010,0.23746,7/22/2010,0.24699,1/2/2013,0.37544,2/3/2012,0.26567,11/3/2011,0.30894,7/8/2013,0.16374,6/11/2010,0.24773,,,7/18/2012,0.22821,12/10/2012,0.19355,2/7/2012,0.47721,6/5/2012,0.2758
6/14/2010,0.70536,11/15/2011,2.53649,6/14/2010,8.03,6/14/2010,1.11142,,,10/8/2012,0.62047,12/9/2011,0.41,6/14/2010,0.44149,6/14/2010,0.45,6/14/2010,1.00619,6/14/2010,0.99,6/14/2010,2.12018,6/14/2010,1.83,6/14/2010,1.03442,5/8/2012,1.91,6/14/2010,1.26928,6/14/2010,0.11,,,6/14/2010,0.45,,,6/14/2010,1.03,6/14/2010,1.62992,1/21/2013,0.84,6/14/2010,0.6802,6/14/2010,0.21,6/14/2010,0.3555,,,12/6/2011,0.17869,6/14/2010,3.34326,6/14/2010,0.59165,3/16/2012,0.2293,1/26/2012,0.15599,11/2/2011,1.08216,6/14/2010,0.6032,,,6/14/2010,0.49539,,,6/14/2010,0.58523,11/6/2012,0.21676,6/14/2010,0.24278,7/23/2010,0.24592,1/3/2013,0.37931,2/6/2012,0.26567,11/4/2011,0.31928,7/9/2013,0.15856,6/14/2010,0.24898,,,7/19/2012,0.22951,12/11/2012,0.19226,2/8/2012,0.48363,6/6/2012,0.27197
6/15/2010,0.69409,11/16/2011,2.47488,6/15/2010,7.94,6/15/2010,1.12559,,,10/9/2012,0.62564,12/12/2011,0.40,6/15/2010,0.43637,6/15/2010,0.44,6/15/2010,1.01393,6/15/2010,1.01,6/15/2010,2.08946,6/15/2010,1.83,6/15/2010,1.02291,5/9/2012,1.89,6/15/2010,1.28345,6/15/2010,0.11,,,6/15/2010,0.46,,,6/15/2010,1.03,6/15/2010,1.64025,1/22/2013,0.90,6/15/2010,0.67638,6/15/2010,0.21,6/15/2010,0.35808,,,12/7/2011,0.17869,6/15/2010,3.33697,6/15/2010,0.60065,3/19/2012,0.23188,1/27/2012,0.15602,11/3/2011,1.08517,6/15/2010,0.59039,,,6/15/2010,0.50311,,,6/15/2010,0.58269,11/7/2012,0.21676,6/15/2010,0.24065,7/26/2010,0.24467,1/4/2013,0.38577,2/7/2012,0.26569,11/7/2011,0.3012,,,6/15/2010,0.26311,,,7/20/2012,0.22947,12/12/2012,0.19355,2/9/2012,0.50286,6/7/2012,0.27842
6/17/2010,0.69149,11/17/2011,2.51978,6/17/2010,7.96,6/17/2010,1.17902,,,10/10/2012,0.65397,12/13/2011,0.39,6/17/2010,0.44567,6/17/2010,0.44,6/17/2010,1.066,6/17/2010,1.04,6/17/2010,2.19365,6/17/2010,1.90,6/17/2010,1.01206,5/10/2012,1.80,6/17/2010,1.2715,6/17/2010,0.11,,,6/17/2010,0.45,,,6/17/2010,1.06,6/17/2010,1.65423,1/23/2013,0.91,6/17/2010,0.68841,6/17/2010,0.21,6/17/2010,0.35705,,,12/8/2011,0.17861,6/17/2010,3.48698,6/17/2010,0.61135,3/20/2012,0.23058,1/30/2012,0.15344,11/4/2011,1.12263,6/17/2010,0.60878,,,6/17/2010,0.50988,,,6/17/2010,0.57538,11/8/2012,0.21674,6/17/2010,0.24402,7/27/2010,0.24331,1/7/2013,0.38448,2/8/2012,0.26568,11/8/2011,0.30377,,,6/17/2010,0.2543,,,7/23/2012,0.22432,12/13/2012,0.19097,2/10/2012,0.49131,6/8/2012,0.29388
6/18/2010,0.67948,11/18/2011,2.46508,6/18/2010,7.72,6/18/2010,1.17316,,,10/11/2012,0.65141,12/14/2011,0.38,6/18/2010,0.44973,6/18/2010,0.45,6/18/2010,1.1526,6/18/2010,1.06,6/18/2010,2.17671,6/18/2010,1.94,6/18/2010,1.01254,5/11/2012,1.78,6/18/2010,1.23741,6/18/2010,0.11,,,6/18/2010,0.45,,,6/18/2010,1.08,6/18/2010,1.691,1/24/2013,0.91,6/18/2010,0.70415,6/18/2010,0.21,6/18/2010,0.35722,,,12/9/2011,0.17757,6/18/2010,3.52719,6/18/2010,0.63862,3/21/2012,0.22924,1/31/2012,0.15214,11/7/2011,1.13143,6/18/2010,0.60264,,,6/18/2010,0.50627,,,6/18/2010,0.57951,11/9/2012,0.21674,6/18/2010,0.24949,7/28/2010,0.24592,1/8/2013,0.39995,2/9/2012,0.26561,11/9/2011,0.31011,,,6/18/2010,0.25057,,,7/24/2012,0.22686,12/14/2012,0.19097,2/13/2012,0.47976,6/11/2012,0.29896
6/21/2010,0.71754,11/21/2011,2.43906,6/21/2010,8.13,6/21/2010,1.23794,,,10/12/2012,0.64116,12/15/2011,0.37,6/21/2010,0.48128,6/21/2010,0.48,6/21/2010,1.16201,6/21/2010,1.16,6/21/2010,2.23395,6/21/2010,1.98,6/21/2010,1.02689,5/14/2012,1.68,6/21/2010,1.2804,6/21/2010,0.12,,,6/21/2010,0.46,,,6/21/2010,1.11,6/21/2010,1.71664,1/25/2013,0.91,6/21/2010,0.73092,6/21/2010,0.22,6/21/2010,0.3616,,,12/12/2011,0.17845,6/21/2010,3.66748,6/21/2010,0.64342,3/22/2012,0.22663,2/1/2012,0.14959,11/8/2011,1.08766,6/21/2010,0.60739,,,6/21/2010,0.5276,,,6/21/2010,0.59066,11/12/2012,0.21676,6/21/2010,0.25629,7/29/2010,0.24596,1/9/2013,0.42442,2/10/2012,0.26564,11/10/2011,0.29304,,,6/21/2010,0.25608,,,7/25/2012,0.21911,12/17/2012,0.18838,2/14/2012,0.48105,6/12/2012,0.28867
6/22/2010,0.74443,11/22/2011,2.5232,6/22/2010,8.01,6/22/2010,1.23385,,,10/15/2012,0.6541,12/16/2011,0.40,6/22/2010,0.47426,6/22/2010,0.47,6/22/2010,1.15802,6/22/2010,1.16,6/22/2010,2.20037,6/22/2010,1.97,6/22/2010,1.01536,5/15/2012,1.72,6/22/2010,1.2647,6/22/2010,0.12,,,6/22/2010,0.46,,,6/22/2010,1.09,6/22/2010,1.70683,1/28/2013,0.91,6/22/2010,0.71718,6/22/2010,0.22,6/22/2010,0.36116,,,12/13/2011,0.17856,6/22/2010,3.58589,6/22/2010,0.62592,3/23/2012,0.22528,2/2/2012,0.15473,11/9/2011,1.08732,6/22/2010,0.60793,,,6/22/2010,0.54495,,,6/22/2010,0.59508,11/13/2012,0.21676,6/22/2010,0.25705,7/30/2010,0.25749,1/10/2013,0.43605,2/13/2012,0.26567,11/11/2011,0.29698,,,6/22/2010,0.24934,,,7/26/2012,0.22556,12/18/2012,0.18838,2/15/2012,0.48365,6/13/2012,0.29002
6/23/2010,0.74476,11/23/2011,2.52765,6/23/2010,7.93,6/23/2010,1.24727,,,10/16/2012,0.65795,12/19/2011,0.39,6/23/2010,0.47319,6/23/2010,0.47,6/23/2010,1.10711,6/23/2010,1.14,6/23/2010,2.20136,6/23/2010,1.94,6/23/2010,1.02867,5/16/2012,1.62,6/23/2010,1.25241,6/23/2010,0.11,,,6/23/2010,0.46,,,6/23/2010,1.09,6/23/2010,1.74617,1/29/2013,0.89,6/23/2010,0.71879,6/23/2010,0.23,6/23/2010,0.35618,,,12/14/2011,0.17841,6/23/2010,3.62608,6/23/2010,0.62363,3/26/2012,0.22785,2/3/2012,0.15863,11/10/2011,1.00252,6/23/2010,0.60177,,,6/23/2010,0.53748,,,6/23/2010,0.58249,11/14/2012,0.21676,6/23/2010,0.2636,8/2/2010,0.25888,1/11/2013,0.43344,2/14/2012,0.26568,11/14/2011,0.29427,,,6/23/2010,0.24945,,,7/27/2012,0.23204,12/19/2012,0.19226,2/16/2012,0.48104,6/14/2012,0.27969
6/24/2010,0.7663,11/24/2011,2.52444,6/24/2010,8.01,6/24/2010,1.27803,,,10/17/2012,0.66182,12/20/2011,0.38,6/24/2010,0.46158,6/24/2010,0.47,6/24/2010,1.16874,6/24/2010,1.13,6/24/2010,2.20891,6/24/2010,1.94,6/24/2010,1.06717,5/17/2012,1.69,6/24/2010,1.26003,6/24/2010,0.12,,,6/24/2010,0.46,,,6/24/2010,1.13,6/24/2010,1.73575,1/30/2013,0.90,6/24/2010,0.71616,6/24/2010,0.24,6/24/2010,0.37029,,,12/15/2011,0.17671,6/24/2010,3.54222,6/24/2010,0.61844,3/27/2012,0.22538,2/6/2012,0.15734,11/11/2011,0.98865,6/24/2010,0.5953,,,6/24/2010,0.55287,,,6/24/2010,0.58501,11/15/2012,0.21672,6/24/2010,0.26872,8/3/2010,0.25513,1/14/2013,0.43343,2/15/2012,0.26568,11/15/2011,0.29682,,,6/24/2010,0.24943,,,7/30/2012,0.22823,12/20/2012,0.19097,2/17/2012,0.48362,6/15/2012,0.28357
6/25/2010,0.73738,11/25/2011,2.50115,6/25/2010,7.96,6/25/2010,1.27653,,,10/18/2012,0.67093,12/21/2011,0.40,6/25/2010,0.45379,6/25/2010,0.46,6/25/2010,1.13512,6/25/2010,1.09,6/25/2010,2.14169,6/25/2010,1.93,6/25/2010,1.06056,5/18/2012,1.62,6/25/2010,1.22382,6/25/2010,0.12,,,6/25/2010,0.45,,,6/25/2010,1.07,6/25/2010,1.70461,1/31/2013,0.89,6/25/2010,0.70576,6/25/2010,0.24,6/25/2010,0.36509,,,12/16/2011,0.17754,6/25/2010,3.48378,6/25/2010,0.62991,3/28/2012,0.22282,2/7/2012,0.15219,11/14/2011,0.99976,6/25/2010,0.5772,,,6/25/2010,0.54378,,,6/25/2010,0.58492,11/16/2012,0.21672,6/25/2010,0.26096,8/4/2010,0.25632,1/15/2013,0.43601,2/16/2012,0.26567,11/16/2011,0.29169,,,6/25/2010,0.24811,,,7/31/2012,0.22955,12/21/2012,0.18838,2/20/2012,0.4836,6/18/2012,0.27451
6/28/2010,0.75562,11/28/2011,2.53739,6/28/2010,7.89,6/28/2010,1.28764,,,10/19/2012,0.68129,12/22/2011,0.41,6/28/2010,0.44849,6/28/2010,0.45,6/28/2010,1.14499,6/28/2010,1.10,6/28/2010,2.12293,6/28/2010,1.92,6/28/2010,1.05761,5/21/2012,1.58,6/28/2010,1.25294,6/28/2010,0.11,,,6/28/2010,0.44,,,6/28/2010,1.03,6/28/2010,1.71428,2/1/2013,0.88,6/28/2010,0.69779,6/28/2010,0.23,6/28/2010,0.36624,,,12/19/2011,0.17484,6/28/2010,3.4761,6/28/2010,0.61812,3/29/2012,0.21895,2/8/2012,0.15992,11/15/2011,0.99198,6/28/2010,0.57057,,,6/28/2010,0.55129,,,6/28/2010,0.60398,11/19/2012,0.21672,6/28/2010,0.25701,8/5/2010,0.25502,1/16/2013,0.43212,2/17/2012,0.26567,11/17/2011,0.28897,,,6/28/2010,0.24802,,,8/1/2012,0.22567,12/24/2012,0.18838,2/21/2012,0.48362,6/19/2012,0.27195
6/29/2010,0.72256,11/29/2011,2.70864,6/29/2010,7.77,6/29/2010,1.20384,,,10/22/2012,0.71354,12/23/2011,0.43,6/29/2010,0.42398,6/29/2010,0.43,6/29/2010,1.1229,6/29/2010,1.07,6/29/2010,2.12504,6/29/2010,1.86,6/29/2010,1.04453,5/22/2012,1.59,6/29/2010,1.20127,6/29/2010,0.11,,,6/29/2010,0.42,,,6/29/2010,0.99,6/29/2010,1.70106,2/4/2013,0.91,6/29/2010,0.67708,6/29/2010,0.22,6/29/2010,0.35332,,,12/20/2011,0.17489,6/29/2010,3.37256,6/29/2010,0.60642,3/30/2012,0.22539,2/9/2012,0.16375,11/16/2011,0.98044,6/29/2010,0.56274,,,6/29/2010,0.54989,,,6/29/2010,0.57687,11/20/2012,0.21677,6/29/2010,0.2531,8/6/2010,0.25249,1/17/2013,0.41537,2/20/2012,0.26566,11/18/2011,0.27989,,,6/29/2010,0.24411,,,8/2/2012,0.22568,12/27/2012,0.1935,2/22/2012,0.49775,6/20/2012,0.26164
6/30/2010,0.69865,11/30/2011,2.77352,6/30/2010,7.49,6/30/2010,1.17898,,,10/24/2012,0.70321,12/28/2011,0.43,6/30/2010,0.43794,6/30/2010,0.42,6/30/2010,1.14687,6/30/2010,1.04,6/30/2010,2.10624,6/30/2010,1.82,6/30/2010,1.00817,5/23/2012,1.56,6/30/2010,1.19439,6/30/2010,0.11,,,6/30/2010,0.42,,,6/30/2010,1.02,6/30/2010,1.70297,2/5/2013,0.89,6/30/2010,0.67425,6/30/2010,0.23,6/30/2010,0.36217,,,12/21/2011,0.17402,6/30/2010,3.31347,6/30/2010,0.61518,4/2/2012,0.2305,2/10/2012,0.15861,11/17/2011,0.95294,6/30/2010,0.5638,,,6/30/2010,0.53426,,,6/30/2010,0.59077,11/21/2012,0.21676,6/30/2010,0.25429,8/9/2010,0.25123,1/18/2013,0.42695,2/21/2012,0.26567,11/21/2011,0.26188,,,6/30/2010,0.24402,,,8/3/2012,0.22823,12/28/2012,0.18963,2/23/2012,0.50283,6/21/2012,0.26419
7/2/2010,0.67332,12/1/2011,2.87671,7/2/2010,7.24,7/2/2010,1.14187,,,10/25/2012,0.69288,12/29/2011,0.42,7/2/2010,0.42083,7/2/2010,0.40,7/2/2010,1.11621,7/2/2010,1.07,7/2/2010,2.04511,7/2/2010,1.80,7/2/2010,1.00331,5/24/2012,1.59,7/2/2010,1.14187,7/2/2010,0.11,,,7/2/2010,0.41,,,7/2/2010,0.95,7/2/2010,1.70383,2/6/2013,0.90,7/2/2010,0.64792,7/2/2010,0.22,7/2/2010,0.36694,,,12/22/2011,0.17223,7/2/2010,3.27166,7/2/2010,0.5966,4/3/2012,0.23182,2/13/2012,0.15476,11/18/2011,0.91157,7/2/2010,0.56965,,,7/2/2010,0.51064,,,7/2/2010,0.58377,11/22/2012,0.21675,7/2/2010,0.25147,8/10/2010,0.25118,1/21/2013,0.46176,2/22/2012,0.26564,11/22/2011,0.26053,,,7/2/2010,0.22966,,,8/6/2012,0.22951,12/31/2012,0.18966,2/24/2012,0.50812,6/22/2012,0.26028
