,Ticker,name,Nxt_dt,Last_dt,Country,Industry,L_Px,5d,rel_5d,1m,rel_1m,S,S_h,S_l,s_4w %,EPS,EPS_h,EPS_l,eps_4w %,eps_gaap_4w %,NI,NI_h,NI_l,net_4w %,OP,OP_h,OP_l,op_4w %,EBITDA,EBITDA_h,EBITDA_l,ebitda_4w %,ROA,ROA_h,ROA_l,roa_4w %,ROE,ROE_h,ROE_l,roe_4w %,Q_Y,S_0FQ,OP_0FQ,EPS_0FQ,S_1FQ,OP_1FQ,EPS_1FQ,S_2FQ,OP_2FQ,EPS_2FQ,S_3FQ,OP_3FQ,EPS_3FQ,S_4FQ,OP_4FQ,EPS_4FQ,S_mean,OP_mean,EPS_mean,S_trend_th,OP_trend_th,EPS_trend_th
21,6594 JP Equity,NIDEC CORP,7/23/2015,4/22/2015,JAPAN,Electrical Compo&Equip,9106,0.1,1.04,2.35,-0.4,282501.2,287977,275700,0,69.34,77.75,60.92,0,0,22739.5,23179,22300,0,31690.75,33500,30500,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Q,1.133111483,-2.320439766,-26.88796161,3.2491613,-2.801305913,-7.233619732,0.739589472,-1.472607467,-4.545775109,0.873500222,-0.972206295,-2.579484103,0.042326038,-3.972044367,5.755464526,1.21,-2.31,-7.1,0,---0-,----+
22,670 HK Equity,CHINA EAST AIR-H,8/14/2015,4/29/2015,CHINA,Airlines,6.18,1.31,1.24,10.55,12.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Q,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.33333333,NA,NA,NA,NA,NA,-43.33,NANANANANA,NANANANANA,NANANA-NA
23,6752 JP Equity,PANASONIC CORP,7/31/2015,4/28/2015,JAPAN,Home Furnishings,1772,0.8,1.75,4.27,1.46,1910568.5,1931500,1899774,0.27,19.25,23.5,15,0,0,44084.67,54254,38000,-4.43,92964.5,99258,85600,-5.26,158324,158324,158324,0,NA,NA,NA,NA,13.4,13.4,13.4,0,Q,-4.939129215,22.22190732,-13.17733087,0.906232942,8.685725249,-14.64304809,-0.852306941,18.6926548,-6.97939,1.659000656,21.36757179,-40.43557169,12.87813927,13.88458927,-23.31489767,1.93,16.97,-19.71,-00++,+++++,-----
24,6758 JP Equity,SONY CORP,7/31/2015,4/30/2015,JAPAN,Home Furnishings,3786.5,1.42,2.38,-2.43,-5.06,1815355.2,1890576,1750000,0,28.44,34.22,20,0,0,37242,50000,23000,0,69604.2,82821,56200,-4.59,171105,171105,171105,0,NA,NA,NA,NA,NA,NA,NA,NA,Q,6.580519324,13.02479745,7.172159472,3.081638625,20.42956029,0.3860888,4.952967654,43.12324416,-139.8791703,6.801097334,NA,NA,3.75687659,-219.2262117,-139.2249657,5.03,-35.66,-67.89,+++++,+++NA-,+0-NA-
25,7203 JP Equity,TOYOTA MOTOR,8/5/2015,5/8/2015,JAPAN,Auto Manufacturers,8394,-0.9,0.04,2.42,-0.34,6797331.44,7333200,6350000,-1.54,196.18,223.94,179.3,0.58,0.58,617717.38,704696,567000,-0.2,800980.86,904227,740000,-1.48,1024946,1083500,982000,3.21,NA,NA,NA,NA,15.81,15.81,15.81,-3.89,Q,0.522983041,-9.689606531,-7.39978532,4.056302182,6.271303983,14.54885134,1.613340536,-0.559145544,8.551837282,0.92117942,8.689940625,20.30206894,-0.969892006,-14.25303625,-15.22778893,1.23,-1.91,4.16,0++00,-+0+-,-+++-
26,7267 JP Equity,HONDA MOTOR CO,7/29/2015,4/28/2015,JAPAN,Auto Manufacturers,4102,-2.98,-2.06,-2.12,-4.75,3312545,3500000,3100000,0.22,86.46,105.29,74.3,0.69,0.69,146477.25,189760,122800,-1.66,198295.57,229732,156000,1.5,360188.5,459254,266000,8.16,NA,NA,NA,NA,10.07,10.07,10.07,6.22,Q,-3.411251367,-43.07357023,-27.11012541,2.105821761,-9.724456048,-3.639735647,-2.093651982,-11.26868061,-3.816372654,-0.965875768,6.895910842,0.109604562,-3.837432171,-17.71043101,7.49119221,-1.64,-14.98,-5.39,-+-0-,---+-,---0+
27,728 HK Equity,CHINA TELECOM-H,8/14/2015,4/28/2015,CHINA,Telecommunications,5.03,-1.76,-1.83,-11.75,-10,74000,74000,74000,0,NA,NA,NA,NA,NA,3000,3000,3000,0,5000,5000,5000,0,22000,22000,22000,0,NA,NA,NA,NA,NA,NA,NA,NA,Q,1.806069393,NA,NA,NA,NA,NA,NA,90.7,NA,-0.2643106,2.93196698,NA,-1.157346895,NA,NA,0.13,46.82,NA,+NANA0-,NANA++NA,NANANANANA
28,7731 JP Equity,NIKON CORP,8/6/2015,5/14/2015,JAPAN,Miscellaneous Manufactur,1480,-2.37,-1.45,-13.65,-15.97,178092.8,189964,160000,-2.25,3.05,13.7,-7.56,-0.75,-0.75,788.25,5653,-3000,-40.58,-1575,2700,-5000,-1.61,16994,16994,16994,0,NA,NA,NA,NA,NA,NA,NA,NA,Q,1.95875982,52.08622929,-63.14846367,-3.100213417,-10.83096861,-40.07018057,-0.313842754,129.4300335,354.3330034,-10.1355228,79.74358974,80.16624783,-4.137954353,1.317766236,-23.77648834,-3.15,50.35,61.5,+-0--,+-+++,--++-
29,7751 JP Equity,CANON INC,7/24/2015,4/27/2015,JAPAN,Office/Business Equip,4170,-1.99,-1.06,-1.95,-4.59,957229.29,992555,933600,-1.16,63.73,80.7,50.7,-3.07,-3.07,69271.67,88070,55100,-3.06,102978.57,119803,79200,-3.47,171454.67,175903,166573,0,6.7,6.7,6.7,0,9.8,9.8,9.8,0,Q,-2.861603175,-16.77206835,-37.02877989,0.244489415,-7.519508562,2.654479082,-3.278255218,-11.26045437,0.002115096,-1.693916904,22.50706805,31.51025056,0.947804004,15.04943155,-2.444109811,-1.33,0.4,-1.06,0,---++,-+0+-
30,7752 JP Equity,RICOH CO LTD,7/31/2015,4/28/2015,JAPAN,Office/Business Equip,1253,-3.8,-2.89,-0.2,-2.88,542233.33,549200,537500,-0.43,24.8,27.59,21.1,1.86,1.86,17966.33,20000,15300,1.79,30166.67,32000,28000,0.56,49292,49292,49292,NA,NA,NA,NA,NA,NA,NA,NA,NA,Q,-3.882124293,-34.83626404,-25.92575687,-1.756431203,-16.67003753,-11.58278677,1.13008029,-1.351565024,-1.188431945,-1.471457982,5.30620155,1.167315175,5.834361693,-4.671102348,8.892387991,-0.03,-10.44,-5.73,--+-+,---+-,---++
31,8053 JP Equity,SUMITOMO CORP,7/31/2015,5/1/2015,JAPAN,Distribution/Wholesale,1471.5,0.51,1.46,1.8,-0.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,52000,52000,52000,NA,48000,48000,48000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Q,NA,96.93584906,15.83840761,NA,-38.12592593,-56.70309789,NA,NA,-6.998983375,NA,-12.58857143,1798.190045,52.23976178,-49.88977337,0.58680224,52.24,-0.92,350.18,NANANANA+,+-NA--,0
32,8306 JP Equity,MITSUBISHI UFJ F,7/31/2015,5/15/2015,JAPAN,Banks,890,-1.81,-0.88,2.87,0.1,945430.33,1014088,911007,NA,17.75,19.6,15.89,NA,NA,272010,272010,272010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Q,8.192877737,NA,13.82173913,17.89027797,NA,51.37241295,8.903591726,NA,27.38561063,6.009661522,7.672846238,17.26519337,4.753190235,NA,3.241986804,9.15,7.67,22.62,+++++,NANANA+NA,+++++
33,8316 JP Equity,SMFG,7/30/2015,5/13/2015,JAPAN,Banks,5523,-1.22,-0.28,5.04,2.22,714602.67,734163,688511,1.49,131.5,136.09,126.9,0,0,186073,186073,186073,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Q,4.465241005,NA,-18.41113646,NA,NA,20.41945945,73.74293108,NA,6.214948649,2.869088413,NA,30.19503806,-6.399458099,NA,1.633987449,18.67,NA,8.01,+NA++-,NANANANANA,-++++
34,857 HK Equity,PETROCHINA-H,8/14/2015,4/27/2015,CHINA,Oil&Gas,8.93,0.22,0.15,-5.2,-3.32,526191.5,539801,512582,0,0.09,0.13,0.04,0,0,21133.5,23916,18351,0,29905,37109,22701,0,76969,76969,76969,0,NA,NA,NA,NA,NA,NA,NA,NA,Q,-23.1731277,-23.76518227,-16.66666667,5.100669575,3.25461955,-4.109589041,-13.50007797,-16.95399029,-12.28070175,3.128397967,5.681480284,-2.173913043,-9.18600878,17.07378813,7.954545455,-7.53,-2.94,-5.46,-+-+-,-+-++,----+
35,883 HK Equity,CNOOC,8/18/2015,4/24/2015,CHINA,Oil&Gas,11.72,0,-0.07,-8.29,-6.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Q,NA,NA,NA,NA,NA,NA,-4.023499468,NA,NA,NA,NA,NA,NA,NA,NA,-4.02,NA,NA,NANA-NANA,NANANANANA,NANANANANA
36,902 HK Equity,HUANENG POWER-H,7/29/2015,4/21/2015,CHINA,Electric,10.48,-0.19,-0.27,0.96,2.97,NA,NA,NA,NA,0.3,0.31,0.3,0,0,4456,4456,4456,0,9073,9073,9073,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Q,NA,NA,52.17391304,-1.262384076,94.02275551,-68,-17.64603587,33.60964021,-8,-4.715506745,40.43151547,-12,NA,NA,44.44444444,-7.87,56.02,1.72,NA---NA,NA+++NA,+---+
37,941 HK Equity,CHINA MOBILE,8/13/2015,4/20/2015,HONG KONG,Telecommunications,101.7,-0.59,-0.66,-3.33,-1.41,182000,182000,182000,0,NA,NA,NA,NA,NA,32000,32000,32000,0,34000,34000,34000,0,68000,68000,68000,0,NA,NA,NA,NA,NA,NA,NA,NA,Q,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.634180415,NA,NA,9.439963809,NA,NA,6.04,NA,NA,NANANA++,NANANANANA,NANANANANA
38,9433 JP Equity,KDDI CORP,7/30/2015,5/12/2015,JAPAN,Telecommunications,2858,1.6,2.56,2.57,-0.19,1081772.33,1139041,1046000,-1.63,49.74,55.33,44.15,0,0,136795,138590,135000,-1.3,223727,224000,223454,0.12,353443,353443,353443,0,NA,NA,NA,NA,NA,NA,NA,NA,Q,-0.073261045,-3.935947873,-13.90982711,3.123548655,1.57680482,5.125279839,-0.910149634,1.992133264,8.66474994,-5.679059859,4.191160031,14.70250751,4.584503053,-4.312478493,-15.73986215,0.21,-0.1,-0.23,0+0-+,-+++-,-+++-
39,9437 JP Equity,NTT DOCOMO INC,7/24/2015,4/28/2015,JAPAN,Telecommunications,2311.5,0.3,1.25,7.74,4.84,1122829,1135418,1110240,1.7,29.54,30.09,28.98,2.06,2.06,116792,116792,116792,0,173902,173902,173902,0,360161,360161,360161,0,NA,NA,NA,NA,NA,NA,NA,NA,Q,-3.094754856,-18.53801055,-36.26225066,2.857835685,17.88464711,20.1501514,-1.967951177,3.782679399,-1.156707236,-1.870704285,-3.492215481,3.116378229,-5.858100882,-6.243311456,-59.18909296,-1.99,-1.32,-14.67,-+---,-++--,-+-+-
40,9984 JP Equity,SOFTBANK CORP,8/7/2015,5/11/2015,JAPAN,Telecommunications,7272,-1.16,-0.22,-0.79,-3.46,2217474.67,2253527,2184633,0,132.79,141.17,124.41,-3.91,-3.91,167155.5,167879,166432,0,351383.33,386395,315659,0,670439,670439,670439,0,NA,NA,NA,NA,NA,NA,NA,NA,Q,-3.815050007,6.856699714,1.145895164,6.32705237,-9.850852848,-78.25740186,3.699637764,-13.97733534,37.24088773,-2.769903227,14.04328911,-39.45100513,6.602909293,-36.90693877,-34.61749875,2.01,-7.97,-22.79,-++-+,+--+-,+-+--
41,BABA US Equity,ALIBABA GRP-ADR,8/12/2015,5/7/2015,CHINA,Internet,86.73,-4.39,-4.46,-0.05,0.17,21171.96,22318,20080,-0.08,3.66,4.96,2.36,0.11,3.14,9666.18,12740,8135,-0.46,6644.86,10625,3500,0.05,11170.57,14852,6816,-2.14,NA,NA,NA,NA,31.23,31.23,31.23,0,Q,3.546181894,-42.99385983,15.65150347,-5.279237921,-11.64253103,8.578800258,5.237914039,-31.27520634,1.824817518,NA,NA,NA,NA,NA,NA,1.17,-28.64,8.69,#NAME?,#NAME?,#NAME?
42,CAT US Equity,CATERPILLAR INC,7/23/2015,4/23/2015,UNITED STATES,Machinery-Constr&Mining,87.7,1.92,1.84,-0.52,-0.3,12739.55,13170,12458,0.07,1.26,1.43,1.05,0,1.31,769.23,869,603,1.03,1069.9,1166,858,0,1704.4,1859,1575,0,5.5,5.5,5.5,0,17.3,17.3,17.3,0,Q,0.964440121,31.03921737,27.78603269,0.443243538,-20.81936685,-12.79069767,2.676165709,19.49523564,27.21893491,-2.445030877,10.42072166,11.03810775,1.026501279,26.13537628,30.89430894,0.53,13.25,16.83,00+-+,+-+++,+-+++
