"","ann.ret.60","ann.std.60","downrisk.60","drawdown.60","sharpe.60","sortino.60","inforatio.60","alpha.60","beta.60","corr.bhf.60","corr.bidx.60","omega.60","wl.60","skewness.60","kurtosis.60"
"EMEVALU.BM.Equity",-0.0212540830413825,1.03988409173847,0.518668810996189,-0.788016181705752,-0.025310439796325,0.240188401222491,-0.216886817441127,0.0222576162772133,0.328882552090525,0.100728383547346,0.0288108502166007,1.51702986913167,0.433333333333333,1.39664720512055,3.12588733729794
"FIEMKNA.CN.Equity",0.0516549389561778,0.0569949565583197,0.0304011368537428,-0.113080692371118,0.814841313623528,0.436299203913786,0.117846465224572,0.00426372268222292,-0.0437561273155283,-0.141910063257415,-0.0769754945257646,1.96655600365411,0.633333333333333,0.33124773273867,0.235131661961094
"GUEVORA.KY.Equity",0.214125386934729,0.0635107106677985,0.024533131345183,-0.053154159731,3.2778442510699,2.23918170753254,2.23183933093429,0.0129380761307281,0.320146710514109,0.476463646564911,0.442049590482498,12.5906989297784,0.916666666666667,0.522789315375106,6.19821144472587
"HILCMNEA.CN.Equity",0.0874182772692671,0.0735144700918217,0.0401052746979746,-0.115612181077088,1.11600334808238,0.579515137468886,0.263558916978906,0.00179661351287166,0.59589192626328,0.760580169863985,0.739431827430807,2.45707845238535,0.7,-0.184055390103224,0.0536026360269815
"HSBCTGH.GR.Equity",0.0321576136323112,0.0326385489339196,0.0192648213124337,-0.0437984849976631,0.82827363823033,0.393238508011844,-0.388770464092126,0.000900308363686955,0.15443067326346,0.590266221584201,0.48405587513434,1.97123959168661,0.616666666666667,-0.320620766823662,-0.689455635984427
"KEYREOH.US.Equity",0.0464180944531474,0.129802210672186,0.0875224885398033,-0.225671719744,0.317605172344374,0.159718548784453,-0.406557991937842,-0.00287010304658242,0.398869585986666,0.359548192373607,0.274288276233016,1.36698412958271,0.55,-0.372036314754867,0.639015372158248
"KLPAGEN.NO.Equity",0.0419048732815546,0.0668795145654622,0.044702709248993,-0.100617906366712,0.549283788644169,0.243900955106695,0.364257653649725,0.00597542551020598,-0.0553709207387302,0.00610923658611734,-0.0757699282414894,1.59909186187673,0.65,-0.552301050298617,0.00418347292994747
"LMLSMOME.CN.Equity",0.0412291290582669,0.0534023552922782,0.0343351428684955,-0.0791621431920467,0.675316811853436,0.304861553638367,0.251483580034779,0.00426813113303334,0.0738460552579914,0.139085155568397,0.132563203847551,1.85990792494363,0.666666666666667,-0.634013872056882,2.17400836814977
"MAGGFDI.US.Equity",0.0244682151528821,0.0350245723321136,0.0218596495946298,-0.0559657382482955,0.553303764628446,0.255684788993354,-0.33846680624966,0.000860501512562856,0.182511343302903,0.31325448735038,0.425166910708043,1.94948620958973,0.633333333333333,0.0231197370456839,9.80107288063515
"MATAMNC.US.Equity",0.0296473128492978,0.0814771555379955,0.0465765606866802,-0.0967037773739978,0.301110655988237,0.167530815569526,-0.100756059201932,0.00394975394293711,-0.201260750089969,-0.305136485936513,-0.221935400104095,1.36766833372199,0.466666666666667,0.611515475536903,1.4639783598117
"MWJMA1U.ID.Equity",0.0687767680648277,0.0297257339320663,0.00692893375635819,-0.00901647622000001,2.13573925514247,2.37382165054009,0.716025797916268,0.00558698484578239,0.0527192717843557,0.0933215427247663,0.15646149528449,7.48987760310923,0.766666666666667,1.73191923613205,5.54240277303603
"MWMGLFU.ID.Equity",0.0741971931082712,0.0551800808790359,0.0311312113866454,-0.070822609224,1.24830865258456,0.62118275884851,0.687533271554793,0.00698099180002144,0.00195332741477772,0.12528242740838,0.00336844893965111,2.62387654890004,0.7,-0.493728934072801,0.125585596610084
"NORMNIA.CN.Equity",0.0096853807558015,0.0534235234227554,0.0356979536276241,-0.0845963873769103,0.0872916526174458,0.0478577010601488,-0.453060371387767,0.000208619329022132,0.125261380870504,0.120520463782082,0.225866163012132,1.15551462719521,0.55,0.0398340784778942,-0.314212414835501
"PACAPRV.KY.Equity",0.0420012425997442,0.0439447348468428,0.0280993142941247,-0.0725358949676727,0.838150640677016,0.372896365990864,-0.259376663188944,0.00189652772929081,0.0294858793430305,0.0334520018354722,0.0595121345244533,1.91982146674753,0.716666666666667,-0.600613402596428,-0.501582310129298
"PAGORAE.KY.Equity",0.073460556835224,0.0413045578332464,0.0164867832702441,-0.0309559952921299,1.64990934857966,1.12898447239508,0.430371780537267,0.00554832396825651,-0.0467424192438949,0.000347751402601121,-0.11126637772948,3.90674479692867,0.733333333333333,0.612261190162919,0.977574519127929
"PEGAEUR.VI.Equity",-0.0073243479851256,0.0492957079592128,0.0392698699768665,-0.118662691270408,-0.248877710524749,-0.0804369216555968,-0.658491344102294,-0.000363673489217547,0.000198394745900032,0.135739523126217,0.000532778302556053,0.90335187795791,0.55,-0.914518557042022,2.1434862601217
"PMGLMKNE.CN.Equity",-0.00581649811266227,0.0426626817998977,0.0317993622483219,-0.15122255006665,-0.252387030917335,-0.0879316758329491,-0.890033869684362,-0.00080972477555272,0.0840944881654708,0.182689516304306,0.1778324460075,0.916302832310526,0.516666666666667,-0.3058976019978,0.153552401610584
"PMMNCLA.CN.Equity",0.0101180985033085,0.0294544102016222,0.0197331666946793,-0.0595369483456166,0.172964889094385,0.0777560156684103,-0.638693360011599,0.000396422880389718,0.103509996380406,0.277942793782246,0.310590331479326,1.31174538694983,0.516666666666667,-0.295232552664137,-0.039191141125849
"PRYNCIP.MV.Equity",0.0411789241905833,0.0776864783613585,0.0426638460432249,-0.119460808184251,0.463567059353986,0.255217424809427,-0.437877578267271,0.000653088787297327,-0.0995302824410012,-0.116063162727626,-0.140405003375477,1.58215079868086,0.5,0.609052610064362,1.44997321294738
"QQMEQHD.SS.Equity",0.0633406488365567,0.0851121077247881,0.0546144120173421,-0.117020174642859,0.682318820946024,0.313913742077837,0.520727504347567,0.00792838312933647,-0.128519115173079,-0.125230158292886,-0.140998777408199,1.70912257783584,0.683333333333333,-0.391881681446813,-0.416918432005141
"QUPANEF.VI.Equity",0.0717239719322791,0.113441744846419,0.0741420607604078,-0.192373566134239,0.585477602800868,0.273442804387381,0.0838661368609139,0.00162768016433269,0.525985436982232,0.538248757519707,0.449404161074579,1.65338429170335,0.616666666666667,-0.524177842304561,0.4676199666787
"QUQEQMN.US.Equity",0.0146825673810085,0.0586592481624428,0.0371494428814215,-0.149759243955292,0.164299954163813,0.0859010170872349,-0.46788547900117,0.00152103033308225,-0.137559376098592,-0.270535429392211,-0.199498038217104,1.23854760396876,0.516666666666667,0.158300939541087,0.962346286663037
"REALRTA.ID.Equity",0.074597065915301,0.112572364603968,0.0694685023618618,-0.238918928014156,0.615406401263598,0.302086810308597,0.490738166230405,0.00597690221112888,0.450571207948704,0.47929440446976,0.381239182827665,1.72085758648348,0.65,-0.0248173453975099,1.33290109024749
"ROTACRO.US.Equity",0.0929412688746616,0.0701798992093214,0.0331004653773931,-0.0656273615452921,1.24737247241853,0.740451804146459,0.638622182693319,0.00678787888037803,0.0596797978189482,0.0660606677396985,0.0865095504807672,2.7381829774153,0.633333333333333,0.170967819032624,-0.290965728856734
"SAEEALB.NA.Equity",0.0739349951790911,0.097060190246961,0.0622436494608084,-0.143911017804356,0.706977213559182,0.326910385309295,0.745195529967531,0.00946490174632549,-0.0917438744909008,-0.000195737565846518,-0.0993886009276761,1.78967175846198,0.616666666666667,-0.682760614756822,1.52286774839411
"SECHCAE.ID.Equity",0.0650323337447605,0.0341873466226659,0.0118598188856323,-0.0228720125931167,1.74798347372647,1.35355250098152,0.387422046128714,0.00535759034377325,-0.0697354659157147,-0.0607874559005831,-0.179804347079392,4.37852220926534,0.683333333333333,0.909458244612953,1.69372006617157
"SQPTEUR.LX.Equity",0.0589265325571917,0.0663740139004537,0.0380527600313039,-0.0566358682751249,0.808752445247714,0.40648258514333,0.126006673726728,0.00416359944633868,0.00762663205507756,0.0647071842959147,0.0105945040545995,1.93830315558609,0.616666666666667,-0.138614267365197,0.0366231289598113
"SUPBLAE.KY.Equity",-0.000940623332089663,0.0987135232151904,0.07467330561988,-0.192891587846603,-0.0599264480657026,-0.00413971957071971,-0.699012465451177,-0.00262602355056878,0.0222222757687258,0.159399560014501,0.0198214556943514,1.03151680363897,0.6,-0.59049063513706,0.622951895416092
"TALACTE.KY.Equity",0.0137079304497945,0.0398831638366834,0.0300713871445931,-0.0964554886397633,0.217332092349125,0.0884635626164984,-0.509189550346416,0.00124549520181058,-0.00964636112317268,-0.0237994866100456,-0.0205183649636681,1.29870318317123,0.633333333333333,-1.00102461335727,0.642900321299387
"TALENHE.KY.Equity",0.0397734400112761,0.079653745116694,0.0581297350965923,-0.167763061720183,0.434551754035636,0.182848704304975,-0.009813749114871,0.00355778510350165,-0.0122719030442371,-0.0194569296003409,-0.0130875365057091,1.46187452963929,0.65,-0.991858391651901,0.675938106309312
"TWOPPLD.VI.Equity",0.038425552284939,0.166134754995282,0.116031304604404,-0.293577160531019,0.200242617796157,0.115179341693633,-0.183344604304043,0.0020218216289768,-0.0295324463286963,0.161034772909339,-0.0160242652778095,1.27967737630064,0.6,-0.454766161049596,2.3316500339661
"VICARCA.KY.Equity",0.0706431372536773,0.0198086402147127,0.00395530967182091,-0.010137219364,3.29878365395435,4.14508535098597,0.908020250496933,0.00650042840798611,-0.011011497859749,0.0225829515743681,-0.0512948562655269,16.4335626601916,0.85,0.656366143693005,0.72786310418333
"WILIGEB.VI.Equity",0.120812256941344,0.0798940704398908,0.0399804124465969,-0.0922062545429821,1.44297307098639,0.801585534567247,0.553659491903901,0.0049530427820116,0.442425688100978,0.566502396046975,0.540593132115643,3.00278013141821,0.683333333333333,-0.0932900320501142,0.220399645712322
"WMF0001.AU.Equity",0.0490974077061737,0.0800506216463227,0.0488726320613081,-0.127760611322816,0.548343832401833,0.269027184759362,0.171257767818898,0.00495697243053224,-0.0414060604684678,-0.119486477970715,-0.0435120339892668,1.64642802095204,0.583333333333333,-0.00654545578881588,0.66208599521641
"ZALUSMN.US.Equity",0.00844274692795643,0.0850970938976797,0.0523355328624826,-0.154594027904538,0.0402551885556025,0.0376721207718939,-0.391924548218125,0.00127199000236428,-0.141510646817338,-0.107106139240633,-0.138827709273327,1.12243221035333,0.433333333333333,0.923849784770341,3.69420666602739
"ZEBGLAU.US.Equity",0.0469902349771829,0.0601167310690387,0.035394883926918,-0.066764667360394,0.695285009552135,0.3422925431017,-0.155572534530993,0.00237730285629808,0.026468006671663,-0.075265106618838,0.0414814960049822,1.8156326924981,0.6,-0.0726082439285509,0.21475918281809
