"","Omega (L = 0%)","Omega (L = 0%)","Omega (L = 0%)","Omega (L = 0%)"
"EMEVALU.BM.Equity",1.26623784668371,1.45469807268946,1.64249227816188,1.64249227816188
"FAAREMG.KY.Equity",3.12216276065695,1.54528574689902,1.08195206491284,1.08195206491284
"FIEMKNA.CN.Equity",0.234376442352072,1.41527506603882,1.99213777329702,1.99213777329702
"GLGELNU.KY.Equity",2.84990932172651,1.80807151509576,1.47889816308314,1.47889816308314
"GUEVORA.KY.Equity",Inf,7.41191694466539,11.5560426213217,11.5560426213217
"HARSMCP.US.Equity",4.81012658227848,2,3.2259301879555,3.2259301879555
"HERACPW.BM.Equity",Inf,Inf,Inf,Inf
"HILCMNEA.CN.Equity",1.7833025510793,1.15726419685494,2.41992333818209,2.41992333818209
"HSBCTGH.GR.Equity",1.94859667683117,1.42309107020448,2.07007635184604,2.07007635184604
"INSGFIZ.PW.Equity",1.14453653008561,2.8854918922295,2.8854918922295,2.8854918922295
"JADECPA.KY.Equity",0,0.0356554164475262,0.346925587865286,0.346925587865286
"KEYREOH.US.Equity",1.75980786026201,1.37962848079348,1.36970991774886,1.36970991774886
"KLPAGEN.NO.Equity",5.43466817697228,2.64543130340025,1.57741584875832,1.57741584875832
"LCIMNAU.KY.Equity",0.711431027073485,0.974557217046618,0.974557217046618,0.974557217046618
"LMLSMOME.CN.Equity",2.23720073664825,1.33594766022497,1.8900109652275,1.8900109652275
"LOGSTNE.US.Equity",8.55537037037037,2.31006479098252,3.53067442182523,3.53067442182523
"MAGGFDI.US.Equity",3.64227642276423,1.7571301747977,1.98285812194799,1.98285812194799
"MAQ8444.AU.Equity",5.383446783573,5.383446783573,5.383446783573,5.383446783573
"MATAMNC.US.Equity",1.06787116506439,1.66351123184538,1.36767286171289,1.36767286171289
"MNLUSDI.KY.Equity",Inf,Inf,Inf,Inf
"MWJMA1U.ID.Equity",4.45400528169014,7.12270423003407,7.38584245330446,7.38584245330446
"MWMGLFU.ID.Equity",53.6015968063872,2.94758627140708,2.71532126676635,2.71532126676635
"MWTFNEE.ID.Equity",6.92020972849504,9.23282566120967,7.96810331104744,7.96810331104744
"NORMNIA.CN.Equity",0.570040682494383,0.801826473892733,1.06762178109012,1.06762178109012
"OAKPAMN.US.Equity",0.146367346938776,0.652127968977218,1.36417176350663,1.36417176350663
"PACAPRV.KY.Equity",0.913007147632026,1.79218180037702,1.46028107415834,1.46028107415834
"PAGORAE.KY.Equity",2.13782294832827,3.0728038897893,3.53909230031292,3.53909230031292
"PCDAOAA.KY.Equity",1.305686299453,1.99651536666177,1.99651536666177,1.99651536666177
"PEGAEUR.VI.Equity",1.29002962052199,1.02694968146454,0.906134791172163,0.906134791172163
"PHNXCPF.US.Equity",2.0790273556231,2.17510600579283,2.17510600579283,2.17510600579283
"PMGLMKNE.CN.Equity",0.308793397837223,0.439410808327148,0.957225135630167,0.957225135630167
"PMMNCLA.CN.Equity",1.19858410895892,0.929156752086348,1.38061957272918,1.38061957272918
"PRYNCIP.MV.Equity",0.276555395447113,1.78799489582404,1.5506159312284,1.5506159312284
"PXPVSCF.KY.Equity",1.58545430995402,3.00743503070148,3.00743503070148,3.00743503070148
"QAAFFNU.KY.Equity",1.1634523547131,1.93672919002454,1.93672919002454,1.93672919002454
