"","mtd.ret","ytd.ret","ann.ret.5","ann.std.5","downrisk.5","drawdown.5","sharpe.5","sortino.5","inforatio.5","alpha.5","beta.5","corr.bhf.5","corr.bidx.5","omega.5","wl.5","skewness.5","kurtosis.5"
"CONCAPO.KY.Equity",NA,-0.0119148595065069,-0.00508843709035101,0.0908842942640694,0.0583650019342679,-0.231637054842061,-0.111003085539053,-0.172850796813351,-0.529574757349147,0.000288413378149803,0.0496210772221962,0.110453047280742,0.0538459615184276,0.991947280986986,0.483333333333333,-0.190306831412884,-0.600316187099712
"EMEVALU.BM.Equity",NA,-0.726679897836695,-0.0212540830413825,1.03988409173847,0.548963012189636,-0.788016181705752,-0.0252471244150789,-0.0478248669917915,-0.154608184585265,0.0313132483707331,0.678902385471477,0.130312128078995,0.0643869996248033,1.51702986913167,0.433333333333333,1.39664720512055,3.12588733729794
"FIEMKNA.CN.Equity",NA,-0.0697896361833263,0.0516549389561778,0.0569949565583197,0.027516348681815,-0.113080692371118,0.818580130128505,1.69553524327198,0.0714531114078109,0.00532974950263904,0.131706441253526,0.219507444977823,0.227901076041241,1.96655600365411,0.633333333333333,0.33124773273867,0.235131661961094
"GUEVORA.KY.Equity",0.026356,0.165363262083651,0.214125386934729,0.0635107106677985,0.0683451388937063,-0.053154159731,3.29275778425135,3.05984288450962,1.70547715022883,0.014607332960481,0.248710376332456,0.395092098931257,0.385657874262006,12.5906989297784,0.916666666666667,0.522789315375106,6.19821144472587
"HILCMNEA.CN.Equity",0.041068,0.0252888492219805,0.0874182772692671,0.0735144700918217,0.046925452365699,-0.115612181077088,1.12111638928124,1.75636617473532,0.270008088614605,0.0033234410707049,0.523745050866576,0.732766025829827,0.701620664940877,2.45707845238535,0.7,-0.184055390103224,0.0536026360269815
"HSBCTGH.GR.Equity",-0.003315,-0.000775551341962166,0.0321576136323112,0.0326385489339196,0.0189693635969351,-0.0437984849976633,0.83207172252954,1.43165654944265,-0.456715362581464,0.00122108241432331,0.196285326644169,0.702578849610048,0.592259810754557,1.97123959168661,0.616666666666667,-0.320620766823662,-0.689455635984427
"KEYREOH.US.Equity",0.028,0.398491151499509,0.0464180944531474,0.129802210672186,0.0920070210723909,-0.225671719744,0.319086202297035,0.450162324248708,-0.307219524382477,0.000640218412753901,0.515390914695498,0.430061129367692,0.391029876127983,1.36698412958271,0.55,-0.372036314754867,0.639015372158248
"KLPAGEN.NO.Equity",0.00354,0.091623923604637,0.0419048732815546,0.0668795145654622,0.0475264080966722,-0.100617906366712,0.551811321020158,0.776512990556479,0.245151483789452,0.00330314130347297,0.0412483723549881,0.143035597906905,0.0607391870356071,1.59909186187673,0.65,-0.552301050298617,0.00418347292994747
"LMLSMOME.CN.Equity",0.008326,0.0257679256696335,0.0412291290582669,0.0534023552922782,0.0430175293172201,-0.0791621431920465,0.678418186987823,0.842194557272359,0.186155932128797,0.00267752954003472,0.10892540813124,0.257395721622434,0.200874151297282,1.85990792494363,0.666666666666667,-0.634013872056882,2.17400836814977
"MAGGFDI.US.Equity",NA,0.0244160562693589,0.0244682151528821,0.0350245723321136,0.0307607411382013,-0.0559657382482958,0.555844478792734,0.632891615498329,-0.291577106882467,0.00109445529821241,0.129113948887241,0.283484595352138,0.363560013205263,1.94948620958973,0.633333333333333,0.0231197370456839,9.80107288063515
