,4502 JP Equity,,4503 JP Equity,,4578 JP Equity,,4523 JP Equity,,4568 JP Equity,,4519 JP Equity,,4543 JP Equity,,7741 JP Equity,,7733 JP Equity,,4528 JP Equity,,4507 JP Equity,,4508 JP Equity,,6869 JP Equity,,4151 JP Equity,,4530 JP Equity,,4506 JP Equity,,4536 JP Equity,,7459 JP Equity,,6965 JP Equity,,2784 JP Equity,,9987 JP Equity,,4974 JP Equity,,4544 JP Equity,,7701 JP Equity,,4555 JP Equity,,6849 JP Equity,,8086 JP Equity,,4569 JP Equity,,4527 JP Equity,,4534 JP Equity,,4521 JP Equity,,3360 JP Equity,,8129 JP Equity,,4516 JP Equity,,4547 JP Equity,,6376 JP Equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/20/2011,45.3583,6/20/2011,38.3178,,,6/20/2011,38.6293,6/20/2011,18.9533,6/20/2011,16.3115,6/20/2011,52.3988,6/20/2011,21.8941,6/20/2011,34.7290,6/20/2011,52.2118,6/20/2011,16.1122,6/20/2011,16.8100,6/20/2011,37.0966,6/20/2011,9.6698,6/20/2011,43.1153,6/20/2011,9.2461,6/20/2011,40.3738,6/20/2011,8.6231,6/20/2011,41.0592,6/20/2011,37.0717,6/20/2011,22.2056,6/20/2011,5.8567,6/20/2011,39.4393,6/20/2011,8.7103,6/20/2011,99.0654,6/20/2011,23.6760,6/20/2011,8.9720,6/20/2011,19.2025,6/20/2011,10.3801,6/20/2011,10.4673,6/20/2011,14.2928,6/20/2011,17.0343,6/20/2011,9.3209,6/20/2011,12.2492,6/20/2011,19.1402,6/20/2011,8.9720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/21/2011,45.3014,6/21/2011,38.4375,,,6/21/2011,38.8119,6/21/2011,19.1189,6/21/2011,16.3360,6/21/2011,52.4148,6/21/2011,22.1141,6/21/2011,34.9183,6/21/2011,52.8516,6/21/2011,16.1113,6/21/2011,16.7603,6/21/2011,37.4267,6/21/2011,9.6843,6/21/2011,42.7430,6/21/2011,9.2475,6/21/2011,40.5591,6/21/2011,8.6609,6/21/2011,41.6199,6/21/2011,37.1771,6/21/2011,22.4385,6/21/2011,5.8655,6/21/2011,39.6231,6/21/2011,8.8232,6/21/2011,100.9609,6/21/2011,23.8488,6/21/2011,9.0104,6/21/2011,19.2812,6/21/2011,10.4580,6/21/2011,10.5079,6/21/2011,14.2768,6/21/2011,17.2345,6/21/2011,9.3972,6/21/2011,12.4922,6/21/2011,19.3685,6/21/2011,9.1601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/22/2011,45.7268,6/22/2011,38.6151,,,6/22/2011,38.9894,6/22/2011,19.3512,6/22/2011,16.5440,6/22/2011,53.2127,6/22/2011,22.2458,6/22/2011,34.7224,6/22/2011,53.3999,6/22/2011,16.3693,6/22/2011,16.8684,6/22/2011,37.7417,6/22/2011,9.7193,6/22/2011,43.0443,6/22/2011,9.4198,6/22/2011,41.1728,6/22/2011,8.7336,6/22/2011,42.6700,6/22/2011,37.7417,6/22/2011,22.7199,6/22/2011,5.8765,6/22/2011,39.8004,6/22/2011,8.9083,6/22/2011,102.1834,6/22/2011,23.9426,6/22/2011,9.0580,6/22/2011,19.4261,6/22/2011,10.7923,6/22/2011,10.6301,6/22/2011,13.9239,6/22/2011,17.9788,6/22/2011,9.5571,6/22/2011,12.5515,6/22/2011,19.5758,6/22/2011,9.2077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/23/2011,45.2739,6/23/2011,38.4424,,,6/23/2011,38.7530,6/23/2011,19.2647,6/23/2011,16.4949,6/23/2011,52.7885,6/23/2011,22.0221,6/23/2011,33.7101,6/23/2011,53.0990,6/23/2011,16.2961,6/23/2011,16.4452,6/23/2011,36.9644,6/23/2011,9.6510,6/23/2011,43.1002,6/23/2011,9.3405,6/23/2011,40.4298,6/23/2011,8.6573,6/23/2011,42.1687,6/23/2011,37.6972,6/23/2011,22.3078,6/23/2011,5.8378,6/23/2011,39.4982,6/23/2011,8.7194,6/23/2011,101.7265,6/23/2011,23.7734,6/23/2011,8.8002,6/23/2011,19.2771,6/23/2011,10.7440,6/23/2011,10.5329,6/23/2011,13.9858,6/23/2011,17.6251,6/23/2011,9.4398,6/23/2011,12.5326,6/23/2011,19.4137,6/23/2011,9.0920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/24/2011,45.1605,6/24/2011,38.1936,,,6/24/2011,38.8778,6/24/2011,19.4203,6/24/2011,16.5837,6/24/2011,53.1227,6/24/2011,22.2568,6/24/2011,33.4412,6/24/2011,53.4959,6/24/2011,16.4220,6/24/2011,16.6459,6/24/2011,37.1734,6/24/2011,9.6915,6/24/2011,43.1077,6/24/2011,9.3307,6/24/2011,40.1841,6/24/2011,8.6962,6/24/2011,42.4857,6/24/2011,37.8826,6/24/2011,22.3563,6/24/2011,5.8472,6/24/2011,39.4377,6/24/2011,8.8082,6/24/2011,101.7666,6/24/2011,23.9612,6/24/2011,8.7584,6/24/2011,19.4451,6/24/2011,10.7987,6/24/2011,10.6121,6/24/2011,13.8716,6/24/2011,17.4670,6/24/2011,9.4427,6/24/2011,12.6648,6/24/2011,19.2088,6/24/2011,8.9699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/27/2011,44.8647,6/27/2011,37.5726,,,6/27/2011,38.3760,6/27/2011,18.9593,6/27/2011,16.2032,6/27/2011,52.1567,6/27/2011,21.8144,6/27/2011,33.1974,6/27/2011,52.8365,6/27/2011,16.0302,6/27/2011,16.3021,6/27/2011,37.3254,6/27/2011,9.5291,6/27/2011,42.5164,6/27/2011,9.1089,6/27/2011,39.3647,6/27/2011,8.5404,6/27/2011,41.7130,6/27/2011,37.0412,6/27/2011,21.8020,6/27/2011,5.7842,6/27/2011,38.9939,6/27/2011,8.6640,6/27/2011,100.7292,6/27/2011,23.7919,6/27/2011,8.7814,6/27/2011,19.0459,6/27/2011,10.5920,6/27/2011,10.3819,6/27/2011,13.6077,6/27/2011,17.2908,6/27/2011,9.2325,6/27/2011,12.6560,6/27/2011,18.8605,6/27/2011,8.8617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/28/2011,45.0222,6/28/2011,37.7347,,,6/28/2011,38.4758,6/28/2011,19.0464,6/28/2011,16.1191,6/28/2011,52.5568,6/28/2011,21.8503,6/28/2011,33.6833,6/28/2011,52.7421,6/28/2011,16.1932,6/28/2011,16.3785,6/28/2011,36.9442,6/28/2011,9.4615,6/28/2011,41.6255,6/28/2011,9.1527,6/28/2011,39.2169,6/28/2011,8.5721,6/28/2011,41.9343,6/28/2011,37.1171,6/28/2011,21.9738,6/28/2011,5.8177,6/28/2011,39.0316,6/28/2011,8.8068,6/28/2011,103.0138,6/28/2011,23.9625,6/28/2011,8.7698,6/28/2011,19.4911,6/28/2011,10.6719,6/28/2011,10.4496,6/28/2011,13.5746,6/28/2011,17.9101,6/28/2011,9.2638,6/28/2011,12.5371,6/28/2011,18.8488,6/28/2011,9.0168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/29/2011,45.4658,6/29/2011,38.2284,,,6/29/2011,38.9707,6/29/2011,19.3493,6/29/2011,16.2440,6/29/2011,53.3218,6/29/2011,22.0463,6/29/2011,33.7499,6/29/2011,53.6311,6/29/2011,16.3801,6/29/2011,16.5161,6/29/2011,37.0778,6/29/2011,9.5757,6/29/2011,42.3729,6/29/2011,9.2787,6/29/2011,40.2078,6/29/2011,8.6602,6/29/2011,42.4966,6/29/2011,37.9810,6/29/2011,22.2813,6/29/2011,5.8023,6/29/2011,40.0223,6/29/2011,9.0066,6/29/2011,105.2827,6/29/2011,24.3721,6/29/2011,8.8024,6/29/2011,19.6462,6/29/2011,11.0355,6/29/2011,10.6025,6/29/2011,13.8068,6/29/2011,17.9141,6/29/2011,9.9592,6/29/2011,12.6809,6/29/2011,19.0895,6/29/2011,8.8581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/30/2011,46.1147,6/30/2011,38.6668,,,6/30/2011,38.9151,6/30/2011,19.4762,6/30/2011,16.3357,6/30/2011,53.8108,6/30/2011,22.0209,6/30/2011,33.5278,6/30/2011,53.3764,6/30/2011,16.3232,6/30/2011,16.6956,6/30/2011,37.4876,6/30/2011,9.4960,6/30/2011,42.5149,6/30/2011,9.4712,6/30/2011,40.4667,6/30/2011,8.8381,6/30/2011,43.0114,6/30/2011,38.7289,6/30/2011,23.0015,6/30/2011,5.9459,6/30/2011,40.4047,6/30/2011,9.1112,6/30/2011,105.1390,6/30/2011,24.7890,6/30/2011,9.0492,6/30/2011,19.8362,6/30/2011,11.3580,6/30/2011,10.7001,6/30/2011,13.9896,6/30/2011,18.3962,6/30/2011,9.9305,6/30/2011,12.7110,6/30/2011,19.4265,6/30/2011,8.9871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/1/2011,45.9493,7/1/2011,38.5900,,,7/1/2011,38.6518,7/1/2011,19.3568,7/1/2011,16.2400,7/1/2011,53.8033,7/1/2011,22.8200,7/1/2011,33.3704,7/1/2011,52.9375,7/1/2011,16.3142,7/1/2011,16.5368,7/1/2011,37.2913,7/1/2011,9.4991,7/1/2011,42.3006,7/1/2011,9.3507,7/1/2011,39.8887,7/1/2011,8.9301,7/1/2011,42.6716,7/1/2011,38.4045,7/1/2011,23.1911,7/1/2011,6.0111,7/1/2011,39.8887,7/1/2011,9.1404,7/1/2011,102.2882,7/1/2011,24.8238,7/1/2011,9.1157,7/1/2011,19.5300,7/1/2011,11.3296,7/1/2011,10.6988,7/1/2011,13.9394,7/1/2011,18.2684,7/1/2011,9.8454,7/1/2011,12.5665,7/1/2011,19.2579,7/1/2011,8.8930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/4/2011,46.4281,7/4/2011,38.5044,,,7/4/2011,38.8139,7/4/2011,19.5989,7/4/2011,16.3056,7/4/2011,53.7328,7/4/2011,22.8674,7/4/2011,33.9606,7/4/2011,53.3614,7/4/2011,16.4665,7/4/2011,16.5779,7/4/2011,37.2663,7/4/2011,9.6199,7/4/2011,42.3425,7/4/2011,9.4094,7/4/2011,39.5568,7/4/2011,9.0628,7/4/2011,42.8377,7/4/2011,39.1853,7/4/2011,23.4122,7/4/2011,6.1409,7/4/2011,40.1139,7/4/2011,9.2485,7/4/2011,102.8847,7/4/2011,25.3683,7/4/2011,9.2856,7/4/2011,19.4627,7/4/2011,11.3408,7/4/2011,10.7342,7/4/2011,14.0027,7/4/2011,18.4103,7/4/2011,9.9542,7/4/2011,12.5418,7/4/2011,19.4627,7/4/2011,9.0875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/5/2011,46.5245,7/5/2011,38.6986,,,7/5/2011,38.7602,7/5/2011,19.7560,7/5/2011,16.3421,7/5/2011,53.9808,7/5/2011,22.7138,7/5/2011,33.6579,7/5/2011,53.4878,7/5/2011,16.6749,7/5/2011,16.5023,7/5/2011,37.1580,7/5/2011,9.6870,7/5/2011,42.0261,7/5/2011,9.4035,7/5/2011,39.3764,7/5/2011,8.9968,7/5/2011,42.5807,7/5/2011,38.5753,7/5/2011,23.3301,7/5/2011,6.0390,7/5/2011,40.0542,7/5/2011,9.1693,7/5/2011,102.4156,7/5/2011,24.7720,7/5/2011,9.2433,7/5/2011,19.4479,7/5/2011,11.1043,7/5/2011,10.7099,7/5/2011,13.8156,7/5/2011,18.3387,7/5/2011,9.8472,7/5/2011,12.4476,7/5/2011,19.4479,7/5/2011,8.8119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/6/2011,46.4542,7/6/2011,38.7942,,,7/6/2011,38.7942,7/6/2011,19.9531,7/6/2011,16.5061,7/6/2011,54.8555,7/6/2011,23.0665,7/6/2011,33.7163,7/6/2011,54.3613,7/6/2011,16.7284,7/6/2011,16.6790,7/6/2011,37.3116,7/6/2011,9.8221,7/6/2011,42.5006,7/6/2011,9.4515,7/6/2011,39.7208,7/6/2011,9.2291,7/6/2011,42.7477,7/6/2011,39.2884,7/6/2011,23.6224,7/6/2011,6.0045,7/6/2011,40.2768,7/6/2011,9.1920,7/6/2011,102.4216,7/6/2011,24.9444,7/6/2011,9.2661,7/6/2011,20.2743,7/6/2011,11.1811,7/6/2011,10.7858,7/6/2011,13.9115,7/6/2011,18.4705,7/6/2011,9.9580,7/6/2011,12.5278,7/6/2011,19.5824,7/6/2011,8.8090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/7/2011,46.1709,7/7/2011,38.5373,,,7/7/2011,38.6604,7/7/2011,19.9705,7/7/2011,16.4492,7/7/2011,54.7895,7/7/2011,22.8023,7/7/2011,33.7355,7/7/2011,53.8660,7/7/2011,16.5600,7/7/2011,16.6092,7/7/2011,37.1830,7/7/2011,9.8867,7/7/2011,42.3541,7/7/2011,9.5051,7/7/2011,39.2145,7/7/2011,9.3204,7/7/2011,42.6003,7/7/2011,39.2760,7/7/2011,24.5506,7/7/2011,6.0699,7/7/2011,39.6454,7/7/2011,9.0741,7/7/2011,101.9453,7/7/2011,25.0554,7/7/2011,9.2096,7/7/2011,19.9828,7/7/2011,11.1549,7/7/2011,10.7609,7/7/2011,13.8143,7/7/2011,18.4314,7/7/2011,9.9606,7/7/2011,12.5462,7/7/2011,19.4780,7/7/2011,8.7909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/8/2011,46.3675,7/8/2011,38.8669,,,7/8/2011,38.9288,7/8/2011,20.0471,7/8/2011,16.8237,7/8/2011,55.3558,7/8/2011,23.3697,7/8/2011,34.0069,7/8/2011,54.1780,7/8/2011,16.9353,7/8/2011,16.8981,7/8/2011,37.4411,7/8/2011,10.1909,7/8/2011,42.5242,7/8/2011,9.6702,7/8/2011,39.4867,7/8/2011,9.3975,7/8/2011,43.6400,7/8/2011,39.5487,7/8/2011,24.6839,7/8/2011,6.1121,7/8/2011,40.1066,7/8/2011,9.0875,7/8/2011,101.4133,7/8/2011,25.4277,7/8/2011,9.3169,7/8/2011,20.1711,7/8/2011,11.3439,7/8/2011,10.8356,7/8/2011,13.8235,7/8/2011,19.3280,7/8/2011,10.0794,7/8/2011,12.7077,7/8/2011,19.6256,7/8/2011,8.8644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/11/2011,46.2467,7/11/2011,38.7153,,,7/11/2011,38.8398,7/11/2011,20.1295,7/11/2011,16.8057,7/11/2011,55.3965,7/11/2011,23.5155,7/11/2011,33.8230,7/11/2011,54.7741,7/11/2011,16.9302,7/11/2011,16.8804,7/11/2011,38.0929,7/11/2011,10.2079,7/11/2011,42.8234,7/11/2011,9.5606,7/11/2011,39.5867,7/11/2011,9.4361,7/11/2011,44.0060,7/11/2011,40.3336,7/11/2011,24.7728,7/11/2011,6.0998,7/11/2011,40.6448,7/11/2011,9.1622,7/11/2011,101.4565,7/11/2011,25.6567,7/11/2011,9.4983,7/11/2011,20.6025,7/11/2011,11.3532,7/11/2011,10.8801,7/11/2011,13.8305,7/11/2011,19.4946,7/11/2011,10.2079,7/11/2011,12.7723,7/11/2011,19.6066,7/11/2011,8.8385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/12/2011,46.2602,7/12/2011,38.9064,,,7/12/2011,39.3463,7/12/2011,20.2514,7/12/2011,16.8825,7/12/2011,55.3111,7/12/2011,23.5198,7/12/2011,33.4381,7/12/2011,54.9340,7/12/2011,16.9076,7/12/2011,16.9579,7/12/2011,38.0893,7/12/2011,10.1949,7/12/2011,43.3690,7/12/2011,9.8052,7/12/2011,40.5405,7/12/2011,9.5160,7/12/2011,45.0660,7/12/2011,40.7920,7/12/2011,25.0911,7/12/2011,6.1848,7/12/2011,40.9177,7/12/2011,9.1641,7/12/2011,101.3199,7/12/2011,25.7197,7/12/2011,9.4092,7/12/2011,20.6160,7/12/2011,11.4645,7/12/2011,10.7857,7/12/2011,13.9032,7/12/2011,19.4595,7/12/2011,10.2326,7/12/2011,12.8850,7/12/2011,19.5726,7/12/2011,8.8372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/13/2011,46.6397,7/13/2011,39.1723,,,7/13/2011,39.8684,7/13/2011,20.3772,7/13/2011,17.1371,7/13/2011,55.8157,7/13/2011,23.7312,7/13/2011,33.1983,7/13/2011,55.2462,7/13/2011,17.3143,7/13/2011,17.5294,7/13/2011,38.4761,7/13/2011,10.4923,7/13/2011,44.1716,7/13/2011,9.9608,7/13/2011,40.7543,7/13/2011,9.6823,7/13/2011,44.9943,7/13/2011,41.4505,7/13/2011,25.2753,7/13/2011,6.2397,7/13/2011,41.5137,7/13/2011,9.2393,7/13/2011,103.0249,7/13/2011,26.1992,7/13/2011,9.3659,7/13/2011,21.2631,7/13/2011,11.7707,7/13/2011,10.9100,7/13/2011,13.9476,7/13/2011,20.2126,7/13/2011,10.4164,7/13/2011,13.2135,7/13/2011,19.8203,7/13/2011,8.8723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/14/2011,46.8513,7/14/2011,38.7582,,,7/14/2011,39.8963,7/14/2011,20.1947,7/14/2011,17.2357,7/14/2011,56.0825,7/14/2011,23.5584,7/14/2011,33.2448,7/14/2011,55.1973,7/14/2011,17.3369,7/14/2011,17.3116,7/14/2011,38.0627,7/14/2011,10.5084,7/14/2011,44.0061,7/14/2011,9.9772,7/14/2011,40.3389,7/14/2011,9.6485,7/14/2011,44.6383,7/14/2011,41.0976,7/14/2011,25.0759,7/14/2011,6.1583,7/14/2011,41.6034,7/14/2011,9.2438,7/14/2011,103.4396,7/14/2011,26.2013,7/14/2011,9.3576,7/14/2011,20.6247,7/14/2011,11.6211,7/14/2011,10.8371,7/14/2011,13.9226,7/14/2011,21.1052,7/14/2011,10.4831,7/14/2011,13.6571,7/14/2011,19.4992,7/14/2011,9.0794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/15/2011,46.9501,7/15/2011,38.9142,,,7/15/2011,40.5594,7/15/2011,20.4632,7/15/2011,17.5272,7/15/2011,56.5680,7/15/2011,23.7282,7/15/2011,33.3207,7/15/2011,55.4923,7/15/2011,17.6917,7/15/2011,17.6158,7/15/2011,37.9524,7/15/2011,10.5670,7/15/2011,44.4191,7/15/2011,10.0101,7/15/2011,40.5594,7/15/2011,9.7191,7/15/2011,44.7355,7/15/2011,41.0023,7/15/2011,25.1455,7/15/2011,6.0618,7/15/2011,41.8881,7/15/2011,9.2635,7/15/2011,104.2774,7/15/2011,26.3857,7/15/2011,9.3837,7/15/2011,20.8049,7/15/2011,11.7186,7/15/2011,10.8833,7/15/2011,13.9965,7/15/2011,20.8681,7/15/2011,10.4404,7/15/2011,13.6548,7/15/2011,19.6659,7/15/2011,9.2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/19/2011,46.8077,7/19/2011,38.5736,,,7/19/2011,40.3471,7/19/2011,20.2812,7/19/2011,17.2409,7/19/2011,56.4353,7/19/2011,23.1948,7/19/2011,33.3798,7/19/2011,55.7385,7/19/2011,17.3550,7/19/2011,17.6717,7/19/2011,37.6362,7/19/2011,10.5777,7/19/2011,44.2741,7/19/2011,9.9823,7/19/2011,40.9172,7/19/2011,9.6402,7/19/2011,44.3375,7/19/2011,40.6638,7/19/2011,25.2977,7/19/2011,6.2073,7/19/2011,41.9939,7/19/2011,9.2349,7/19/2011,104.7631,7/19/2011,26.6152,7/19/2011,9.3172,7/19/2011,20.8513,7/19/2011,11.6291,7/19/2011,10.8310,7/19/2011,13.9600,7/19/2011,20.4839,7/19/2011,10.4256,7/19/2011,13.7826,7/19/2011,19.2931,7/19/2011,9.5136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/20/2011,47.0992,7/20/2011,38.9108,,,7/20/2011,40.4342,7/20/2011,20.4520,7/20/2011,17.5194,7/20/2011,57.0014,7/20/2011,23.7146,7/20/2011,34.0866,7/20/2011,55.9223,7/20/2011,17.4686,7/20/2011,17.9129,7/20/2011,37.7047,7/20/2011,10.7909,7/20/2011,44.3062,7/20/2011,10.0927,7/20/2011,40.8785,7/20/2011,9.6483,7/20/2011,45.0044,7/20/2011,41.2594,7/20/2011,25.5935,7/20/2011,6.1445,7/20/2011,41.6402,7/20/2011,9.3437,7/20/2011,105.4970,7/20/2011,27.1677,7/20/2011,9.3817,7/20/2011,20.7566,7/20/2011,11.7304,7/20/2011,10.8163,7/20/2011,13.9901,7/20/2011,20.8963,7/20/2011,10.6640,7/20/2011,13.7997,7/20/2011,19.3475,7/20/2011,9.6357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/21/2011,47.3248,7/21/2011,39.1083,,,7/21/2011,40.8917,7/21/2011,20.4841,7/21/2011,17.6815,7/21/2011,57.0064,7/21/2011,23.2229,7/21/2011,34.2930,7/21/2011,55.7325,7/21/2011,17.4395,7/21/2011,17.9236,7/21/2011,38.2803,7/21/2011,10.7261,7/21/2011,44.3949,7/21/2011,10.1019,7/21/2011,40.5733,7/21/2011,9.6688,7/21/2011,45.2229,7/21/2011,40.7643,7/21/2011,25.4650,7/21/2011,6.1783,7/21/2011,41.6561,7/21/2011,9.4013,7/21/2011,105.8599,7/21/2011,27.6815,7/21/2011,9.4968,7/21/2011,20.6879,7/21/2011,11.8089,7/21/2011,10.7643,7/21/2011,13.9745,7/21/2011,20.9427,7/21/2011,10.6752,7/21/2011,13.6178,7/21/2011,19.3758,7/21/2011,9.7834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/2011,47.4704,7/22/2011,39.0595,,,7/22/2011,40.9711,7/22/2011,20.5939,7/22/2011,17.8667,7/22/2011,57.7928,7/22/2011,23.8690,7/22/2011,35.1727,7/22/2011,56.1361,7/22/2011,17.6883,7/22/2011,17.9177,7/22/2011,38.6135,7/22/2011,10.6920,7/22/2011,44.4119,7/22/2011,10.1695,7/22/2011,40.9711,7/22/2011,9.7235,7/22/2011,45.7500,7/22/2011,41.2260,7/22/2011,25.5384,7/22/2011,6.1297,7/22/2011,41.8631,7/22/2011,9.4304,7/22/2011,106.1552,7/22/2011,28.0107,7/22/2011,9.5578,7/22/2011,20.7086,7/22/2011,11.9154,7/22/2011,10.8322,7/22/2011,14.0308,7/22/2011,21.1801,7/22/2011,10.6792,7/22/2011,13.8142,7/22/2011,19.6381,7/22/2011,9.8254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/25/2011,47.6768,7/25/2011,38.9329,,,7/25/2011,41.1029,7/25/2011,20.5897,7/25/2011,17.7942,7/25/2011,57.2505,7/25/2011,23.4746,7/25/2011,34.6056,7/25/2011,56.4207,7/25/2011,17.7049,7/25/2011,18.0368,7/25/2011,38.6137,7/25/2011,10.6459,7/25/2011,44.3579,7/25/2011,10.1864,7/25/2011,40.6561,7/25/2011,9.7268,7/25/2011,45.5068,7/25/2011,41.2944,7/25/2011,25.6063,7/25/2011,6.1016,7/25/2011,42.2517,7/25/2011,9.3822,7/25/2011,106.8420,7/25/2011,27.8785,7/25/2011,9.4396,7/25/2011,20.9855,7/25/2011,12.0373,7/25/2011,10.7608,7/25/2011,14.2201,7/25/2011,21.3046,7/25/2011,10.6331,7/25/2011,14.0669,7/25/2011,19.6962,7/25/2011,10.0077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
