,4502 JP Equity,,4503 JP Equity,,4578 JP Equity,,4523 JP Equity,,4568 JP Equity,,4519 JP Equity,,4543 JP Equity,,7741 JP Equity,,7733 JP Equity,,4528 JP Equity,,4507 JP Equity,,4508 JP Equity,,6869 JP Equity,,4151 JP Equity,,4530 JP Equity,,4506 JP Equity,,4536 JP Equity,,7459 JP Equity,,6965 JP Equity,,2784 JP Equity,,9987 JP Equity,,4974 JP Equity,,4544 JP Equity,,7701 JP Equity,,4555 JP Equity,,6849 JP Equity,,8086 JP Equity,,4569 JP Equity,,4527 JP Equity,,4534 JP Equity,,4521 JP Equity,,3360 JP Equity,,8129 JP Equity,,4516 JP Equity,,4547 JP Equity,,6376 JP Equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/29/2011,47.6160,7/29/2011,38.8184,,,7/29/2011,40.5546,7/29/2011,20.6401,7/29/2011,17.7248,7/29/2011,56.1026,7/29/2011,24.2680,7/29/2011,35.5662,7/29/2011,55.8435,7/29/2011,17.2584,7/29/2011,18.0876,7/29/2011,38.1576,7/29/2011,10.6634,7/29/2011,43.4698,7/29/2011,10.1451,7/29/2011,40.1659,7/29/2011,9.4325,7/29/2011,44.9598,7/29/2011,40.8137,7/29/2011,25.0583,7/29/2011,6.0378,7/29/2011,41.9150,7/29/2011,9.2641,7/29/2011,103.1355,7/29/2011,27.7792,7/29/2011,9.1604,7/29/2011,20.8215,7/29/2011,11.9461,7/29/2011,10.6763,7/29/2011,14.1099,7/29/2011,21.0676,7/29/2011,10.2488,7/29/2011,14.1358,7/29/2011,19.3055,7/29/2011,9.8471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/2011,48.2445,8/1/2011,39.0117,,,8/1/2011,41.2874,8/1/2011,20.8323,8/1/2011,17.9974,8/1/2011,56.6320,8/1/2011,24.0832,8/1/2011,35.7997,8/1/2011,55.4616,8/1/2011,17.4512,8/1/2011,17.9194,8/1/2011,38.4395,8/1/2011,10.9753,8/1/2011,43.8232,8/1/2011,10.3121,8/1/2011,39.7269,8/1/2011,9.8049,8/1/2011,45.8388,8/1/2011,41.6775,8/1/2011,25.7217,8/1/2011,6.1118,8/1/2011,41.2874,8/1/2011,9.4929,8/1/2011,104.1613,8/1/2011,28.7516,8/1/2011,9.2978,8/1/2011,20.6112,8/1/2011,11.9376,8/1/2011,10.8193,8/1/2011,14.2263,8/1/2011,21.4824,8/1/2011,10.3771,8/1/2011,14.4213,8/1/2011,19.5319,8/1/2011,10.1561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/2/2011,47.7798,8/2/2011,39.0158,,,8/2/2011,41.4827,8/2/2011,20.6829,8/2/2011,17.8915,8/2/2011,55.8946,8/2/2011,23.9029,8/2/2011,35.1987,8/2/2011,55.6349,8/2/2011,16.9696,8/2/2011,17.9434,8/2/2011,38.3407,8/2/2011,10.6855,8/2/2011,43.8198,8/2/2011,10.4648,8/2/2011,40.1195,8/2/2011,9.8286,8/2/2011,45.3778,8/2/2011,41.9372,8/2/2011,25.6037,8/2/2011,6.0244,8/2/2011,41.4827,8/2/2011,9.3352,8/2/2011,105.0377,8/2/2011,28.5510,8/2/2011,9.2379,8/2/2011,20.6440,8/2/2011,11.7762,8/2/2011,10.8933,8/2/2011,14.1132,8/2/2011,23.3186,8/2/2011,10.3999,8/2/2011,14.2041,8/2/2011,19.8650,8/2/2011,9.5170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/3/2011,47.6593,8/3/2011,38.7776,,,8/3/2011,40.1821,8/3/2011,20.3771,8/3/2011,17.5813,8/3/2011,55.2666,8/3/2011,23.1730,8/3/2011,34.3043,8/3/2011,56.0468,8/3/2011,16.6710,8/3/2011,17.5683,8/3/2011,38.1404,8/3/2011,10.4421,8/3/2011,43.2380,8/3/2011,10.3901,8/3/2011,39.9870,8/3/2011,9.5969,8/3/2011,44.8635,8/3/2011,41.2874,8/3/2011,25.0585,8/3/2011,6.0208,8/3/2011,41.2224,8/3/2011,9.1027,8/3/2011,104.2913,8/3/2011,28.3875,8/3/2011,9.1352,8/3/2011,20.6372,8/3/2011,11.7945,8/3/2011,10.7412,8/3/2011,13.8101,8/3/2011,23.3030,8/3/2011,10.3771,8/3/2011,14.0182,8/3/2011,19.7659,8/3/2011,9.5709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/4/2011,46.4644,8/4/2011,37.8824,,,8/4/2011,39.2281,8/4/2011,19.8553,8/4/2011,17.2147,8/4/2011,54.2085,8/4/2011,22.5467,8/4/2011,33.1344,8/4/2011,55.2241,8/4/2011,16.2752,8/4/2011,17.0877,8/4/2011,36.6764,8/4/2011,10.3085,8/4/2011,41.8941,8/4/2011,10.1435,8/4/2011,39.4186,8/4/2011,9.3564,8/4/2011,43.7984,8/4/2011,40.4342,8/4/2011,24.5525,8/4/2011,5.8779,8/4/2011,40.2438,8/4/2011,8.8105,8/4/2011,101.1807,8/4/2011,25.8220,8/4/2011,8.9438,8/4/2011,20.5916,8/4/2011,11.5018,8/4/2011,10.4989,8/4/2011,13.5204,8/4/2011,22.4070,8/4/2011,10.2323,8/4/2011,13.8378,8/4/2011,19.4363,8/4/2011,9.2929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/5/2011,46.1088,8/5/2011,37.0908,,,8/5/2011,39.4217,8/5/2011,19.2205,8/5/2011,16.7749,8/5/2011,52.3500,8/5/2011,21.9717,8/5/2011,32.3908,8/5/2011,54.7701,8/5/2011,15.8833,8/5/2011,17.1061,8/5/2011,35.4222,8/5/2011,10.0115,8/5/2011,41.4597,8/5/2011,9.9223,8/5/2011,38.7849,8/5/2011,9.0562,8/5/2011,42.0329,8/5/2011,39.2307,8/5/2011,23.9333,8/5/2011,5.6935,8/5/2011,39.6128,8/5/2011,8.5976,8/5/2011,99.4778,8/5/2011,25.9585,8/5/2011,8.8333,8/5/2011,20.2140,8/5/2011,11.3616,8/5/2011,10.2917,8/5/2011,13.2213,8/5/2011,22.3156,8/5/2011,10.1261,8/5/2011,13.4505,8/5/2011,19.0804,8/5/2011,9.0307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/8/2011,46.5026,8/8/2011,36.9058,,,8/8/2011,39.8686,8/8/2011,19.0262,8/8/2011,16.7075,8/8/2011,52.2994,8/8/2011,21.9632,8/8/2011,31.0962,8/8/2011,54.2960,8/8/2011,15.9217,8/8/2011,17.1454,8/8/2011,33.8143,8/8/2011,9.9189,8/8/2011,41.6076,8/8/2011,9.8673,8/8/2011,38.3228,8/8/2011,9.0429,8/8/2011,41.5432,8/8/2011,38.7093,8/8/2011,24.1788,8/8/2011,5.3588,8/8/2011,40.2551,8/8/2011,8.4632,8/8/2011,100.2190,8/8/2011,25.7375,8/8/2011,8.7724,8/8/2011,20.2241,8/8/2011,11.2199,8/8/2011,10.3439,8/8/2011,13.4613,8/8/2011,21.7957,8/8/2011,10.1378,8/8/2011,13.0620,8/8/2011,19.0906,8/8/2011,8.8368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/9/2011,46.3095,8/9/2011,35.9191,,,8/9/2011,39.7587,8/9/2011,18.8611,8/9/2011,16.4353,8/9/2011,51.7577,8/9/2011,22.0911,8/9/2011,31.1324,8/9/2011,54.1575,8/9/2011,15.5922,8/9/2011,16.9931,8/9/2011,34.6997,8/9/2011,9.8197,8/9/2011,41.5748,8/9/2011,9.6770,8/9/2011,38.5134,8/9/2011,8.9376,8/9/2011,41.8342,8/9/2011,37.9038,8/9/2011,24.0239,8/9/2011,5.4482,8/9/2011,39.6939,8/9/2011,8.4187,8/9/2011,98.7158,8/9/2011,25.7880,8/9/2011,8.7560,8/9/2011,20.1972,8/9/2011,10.9872,8/9/2011,10.3775,8/9/2011,13.6464,8/9/2011,21.5852,8/9/2011,10.1440,8/9/2011,13.0627,8/9/2011,19.0686,8/9/2011,8.9246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/10/2011,46.7607,8/10/2011,37.1343,,,8/10/2011,40.8830,8/10/2011,19.3312,8/10/2011,16.9671,8/10/2011,52.3119,8/10/2011,22.1787,8/10/2011,30.1071,8/10/2011,54.9242,8/10/2011,16.0005,8/10/2011,17.3067,8/10/2011,34.5873,8/10/2011,10.1097,8/10/2011,41.8626,8/10/2011,10.0314,8/10/2011,39.0543,8/10/2011,9.0517,8/10/2011,41.8626,8/10/2011,38.5711,8/10/2011,24.3077,8/10/2011,5.5251,8/10/2011,40.0340,8/10/2011,8.5423,8/10/2011,92.7377,8/10/2011,26.4890,8/10/2011,8.8623,8/10/2011,20.4937,8/10/2011,11.7163,8/10/2011,10.4363,8/10/2011,13.7539,8/10/2011,22.1656,8/10/2011,10.3187,8/10/2011,13.1270,8/10/2011,19.3704,8/10/2011,8.9603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/11/2011,46.4677,8/11/2011,37.5000,,,8/11/2011,41.5146,8/11/2011,19.6689,8/11/2011,16.9578,8/11/2011,50.6387,8/11/2011,21.9369,8/11/2011,28.9494,8/11/2011,54.5490,8/11/2011,16.0454,8/11/2011,17.2706,8/11/2011,34.7888,8/11/2011,9.9844,8/11/2011,42.0360,8/11/2011,9.9974,8/11/2011,39.3639,8/11/2011,9.1111,8/11/2011,41.2539,8/11/2011,38.8165,8/11/2011,24.1919,8/11/2011,5.4484,8/11/2011,40.3415,8/11/2011,8.3551,8/11/2011,91.7623,8/11/2011,26.2643,8/11/2011,8.8047,8/11/2011,20.5422,8/11/2011,11.8874,8/11/2011,10.4275,8/11/2011,13.8817,8/11/2011,22.0151,8/11/2011,10.2972,8/11/2011,12.9823,8/11/2011,19.5907,8/11/2011,8.9937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/12/2011,47.2226,8/12/2011,37.7390,,,8/12/2011,41.8239,8/12/2011,19.6826,8/12/2011,16.8466,8/12/2011,52.1010,8/12/2011,21.6860,8/12/2011,28.5807,8/12/2011,54.4426,8/12/2011,16.0271,8/12/2011,17.1979,8/12/2011,35.3714,8/12/2011,10.0429,8/12/2011,42.2792,8/12/2011,10.0039,8/12/2011,40.1327,8/12/2011,9.0933,8/12/2011,41.1734,8/12/2011,38.6887,8/12/2011,24.1577,8/12/2011,5.5158,8/12/2011,41.0433,8/12/2011,8.2607,8/12/2011,95.0956,8/12/2011,26.1611,8/12/2011,9.0282,8/12/2011,20.6583,8/12/2011,12.1764,8/12/2011,10.5113,8/12/2011,13.9716,8/12/2011,21.6730,8/12/2011,10.3682,8/12/2011,12.8399,8/12/2011,19.7086,8/12/2011,8.8721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/15/2011,47.3897,8/15/2011,38.2502,,,8/15/2011,41.9867,8/15/2011,19.8542,8/15/2011,16.8728,8/15/2011,53.5738,8/15/2011,22.3148,8/15/2011,29.2280,8/15/2011,55.1361,8/15/2011,16.1307,8/15/2011,17.3024,8/15/2011,35.7245,8/15/2011,10.1289,8/15/2011,42.4424,8/15/2011,10.0508,8/15/2011,39.8386,8/15/2011,9.1525,8/15/2011,41.5962,8/15/2011,38.9923,8/15/2011,24.2286,8/15/2011,5.6113,8/15/2011,41.6612,8/15/2011,8.3062,8/15/2011,97.2530,8/15/2011,26.6762,8/15/2011,9.0613,8/15/2011,20.7265,8/15/2011,12.4203,8/15/2011,10.5064,8/15/2011,13.9956,8/15/2011,22.2627,8/15/2011,10.3763,8/15/2011,13.0191,8/15/2011,19.9453,8/15/2011,8.6968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/16/2011,47.4919,8/16/2011,37.9283,,,8/16/2011,41.8241,8/16/2011,19.7394,8/16/2011,16.6645,8/16/2011,54.0065,8/16/2011,22.3062,8/16/2011,29.5635,8/16/2011,55.5049,8/16/2011,15.9739,8/16/2011,17.2378,8/16/2011,36.3127,8/16/2011,10.1889,8/16/2011,42.2150,8/16/2011,9.9674,8/16/2011,39.0880,8/16/2011,9.1205,8/16/2011,42.1498,8/16/2011,38.8534,8/16/2011,24.1954,8/16/2011,5.6678,8/16/2011,41.7590,8/16/2011,8.3518,8/16/2011,96.9381,8/16/2011,26.9316,8/16/2011,9.0619,8/16/2011,20.7036,8/16/2011,12.3127,8/16/2011,10.4756,8/16/2011,14.0847,8/16/2011,22.5016,8/16/2011,10.3453,8/16/2011,12.9121,8/16/2011,19.6612,8/16/2011,8.8990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
