,XLE Equity,,XLB Equity,,XLI Equity,,XLF Equity,,XLU Equity,,XLK Equity,,XLV Equity,,XLP Equity,,XLY Equity,,,,,,,
11/12/2010,62.94,11/12/2010,35.51,11/12/2010,32.41,11/12/2010,14.94,11/12/2010,31.34,11/12/2010,24.34,11/12/2010,30.93,11/12/2010,28.71,11/12/2010,36.01,,,,,,,
11/15/2010,62.62,11/15/2010,35.23,11/15/2010,32.51,11/15/2010,15.005,11/15/2010,31.445,11/15/2010,24.27,11/15/2010,30.94,11/15/2010,28.72,11/15/2010,35.94,,,,,,,
11/16/2010,61.45,11/16/2010,34.47,11/16/2010,31.985,11/16/2010,14.755,11/16/2010,31.08,11/16/2010,23.83,11/16/2010,30.49,11/16/2010,28.4,11/16/2010,35.45,,,,,,,
11/17/2010,61.7,11/17/2010,34.46,11/17/2010,32.01,11/17/2010,14.6555,11/17/2010,31.065,11/17/2010,23.84,11/17/2010,30.54,11/17/2010,28.41,11/17/2010,35.76,,,,,,,
11/18/2010,63.06,11/18/2010,35.11,11/18/2010,32.66,11/18/2010,14.86,11/18/2010,31.25,11/18/2010,24.24,11/18/2010,30.97,11/18/2010,28.79,11/18/2010,36.07,,,,,,,
11/19/2010,63.59,11/19/2010,35.39,11/19/2010,32.76,11/19/2010,14.8545,11/19/2010,31.13,11/19/2010,24.31,11/19/2010,30.9975,11/19/2010,28.81,11/19/2010,36.24,,,,,,,
11/22/2010,63.392,11/22/2010,35.48,11/22/2010,32.69,11/22/2010,14.64,11/22/2010,31.22,11/22/2010,24.45,11/22/2010,31.01,11/22/2010,28.81,11/22/2010,36.41,,,,,,,
11/23/2010,62.152,11/23/2010,34.8,11/23/2010,32.24,11/23/2010,14.41,11/23/2010,30.88,11/23/2010,24.09,11/23/2010,30.56,11/23/2010,28.47,11/23/2010,35.87,,,,,,,
11/24/2010,63.2725,11/24/2010,35.47,11/24/2010,32.97,11/24/2010,14.63,11/24/2010,31.065,11/24/2010,24.49,11/24/2010,30.845,11/24/2010,28.69,11/24/2010,36.61,,,,,,,
11/26/2010,62.51,11/26/2010,34.87,11/26/2010,32.7,11/26/2010,14.42,11/26/2010,30.86,11/26/2010,24.25,11/26/2010,30.58,11/26/2010,28.5,11/26/2010,36.31,,,,,,,
11/29/2010,62.93,11/29/2010,35.17,11/29/2010,32.69,11/29/2010,14.54,11/29/2010,30.8,11/29/2010,24.19,11/29/2010,30.55,11/29/2010,28.45,11/29/2010,36.23,,,,,,,
11/30/2010,62.71,11/30/2010,35.19,11/30/2010,32.61,11/30/2010,14.46,11/30/2010,30.76,11/30/2010,23.95,11/30/2010,30.27,11/30/2010,28.32,11/30/2010,36.15,,,,,,,
12/1/2010,64.57,12/1/2010,36.15,12/1/2010,33.45,12/1/2010,14.7525,12/1/2010,31.12,12/1/2010,24.46,12/1/2010,30.85,12/1/2010,28.78,12/1/2010,36.92,,,,,,,
12/2/2010,65.53,12/2/2010,36.7,12/2/2010,33.97,12/2/2010,15.13,12/2/2010,31.21,12/2/2010,24.75,12/2/2010,31.09,12/2/2010,28.8,12/2/2010,37.4,,,,,,,
12/3/2010,65.82,12/3/2010,37.01,12/3/2010,34.04,12/3/2010,15.1805,12/3/2010,31.275,12/3/2010,24.805,12/3/2010,31.09,12/3/2010,28.81,12/3/2010,37.42,,,,,,,
12/6/2010,66.04,12/6/2010,37.07,12/6/2010,34.0175,12/6/2010,15.155,12/6/2010,31.19,12/6/2010,24.81,12/6/2010,30.89,12/6/2010,28.74,12/6/2010,37.46,,,,,,,
12/7/2010,65.79,12/7/2010,37.12,12/7/2010,34.11,12/7/2010,15.18,12/7/2010,30.98,12/7/2010,24.84,12/7/2010,30.91,12/7/2010,28.9,12/7/2010,37.48,,,,,,,
12/8/2010,65.48,12/8/2010,36.73,12/8/2010,33.99,12/8/2010,15.425,12/8/2010,30.87,12/8/2010,25.05,12/8/2010,30.94,12/8/2010,29.01,12/8/2010,37.38,,,,,,,
12/9/2010,65.63,12/9/2010,36.93,12/9/2010,34.09,12/9/2010,15.615,12/9/2010,31,12/9/2010,25.07,12/9/2010,30.99,12/9/2010,29.09,12/9/2010,37.43,,,,,,,
12/10/2010,65.9,12/10/2010,37.25,12/10/2010,34.395,12/10/2010,15.7545,12/10/2010,31.12,12/10/2010,25.185,12/10/2010,31.29,12/10/2010,29.14,12/10/2010,37.56,,,,,,,
