,XLE Equity,,XLB Equity,,XLI Equity,,XLF Equity,,XLU Equity,,XLK Equity,,XLV Equity,,XLP Equity,,XLY Equity,,,,,,,
12/13/2010,66.46,12/13/2010,37.45,12/13/2010,34.42,12/13/2010,15.7445,12/13/2010,31.265,12/13/2010,25.14,12/13/2010,31.34,12/13/2010,29.14,12/13/2010,37.38,,,,,,,
12/14/2010,66.15,12/14/2010,37.42,12/14/2010,34.58,12/14/2010,15.605,12/14/2010,31.35,12/14/2010,25.18,12/14/2010,31.655,12/14/2010,29.28,12/14/2010,37.37,,,,,,,
12/15/2010,65.79,12/15/2010,37.22,12/15/2010,34.44,12/15/2010,15.48,12/15/2010,31.08,12/15/2010,25.08,12/15/2010,31.56,12/15/2010,29.31,12/15/2010,37.25,,,,,,,
12/16/2010,66.16,12/16/2010,37.57,12/16/2010,34.82,12/16/2010,15.5,12/16/2010,31.3575,12/16/2010,25.12,12/16/2010,31.78,12/16/2010,29.5675,12/16/2010,37.52,,,,,,,
12/17/2010,65.89,12/17/2010,37.56,12/17/2010,34.54,12/17/2010,15.53,12/17/2010,31.15,12/17/2010,25.08,12/17/2010,31.67,12/17/2010,29.36,12/17/2010,37.36,,,,,,,
12/20/2010,66.32,12/20/2010,37.68,12/20/2010,34.53,12/20/2010,15.54,12/20/2010,31.19,12/20/2010,25.1,12/20/2010,31.66,12/20/2010,29.33,12/20/2010,37.58,,,,,,,
12/21/2010,66.99,12/21/2010,38.06,12/21/2010,34.81,12/21/2010,15.81,12/21/2010,31.2,12/21/2010,25.25,12/21/2010,31.58,12/21/2010,29.26,12/21/2010,37.74,,,,,,,
12/22/2010,67.22,12/22/2010,38.04,12/22/2010,34.89,12/22/2010,15.985,12/22/2010,31.34,12/22/2010,25.22,12/22/2010,31.6675,12/22/2010,29.3875,12/22/2010,37.79,,,,,,,
12/23/2010,67.41,12/23/2010,38.14,12/23/2010,34.82,12/23/2010,15.87,12/23/2010,31.36,12/23/2010,25.21,12/23/2010,31.65,12/23/2010,29.4,12/23/2010,37.63,,,,,,,
12/27/2010,67.17,12/27/2010,38.2,12/27/2010,34.88,12/27/2010,16.01,12/27/2010,31.38,12/27/2010,25.26,12/27/2010,31.59,12/27/2010,29.26,12/27/2010,37.52,,,,,,,
12/28/2010,67.42,12/28/2010,38.28,12/28/2010,34.86,12/28/2010,16.012,12/28/2010,31.49,12/28/2010,25.23,12/28/2010,31.61,12/28/2010,29.34,12/28/2010,37.44,,,,,,,
12/29/2010,68.09,12/29/2010,38.44,12/29/2010,34.89,12/29/2010,15.98,12/29/2010,31.38,12/29/2010,25.28,12/29/2010,31.62,12/29/2010,29.35,12/29/2010,37.56,,,,,,,
12/30/2010,68.15,12/30/2010,38.44,12/30/2010,34.83,12/30/2010,15.93,12/30/2010,31.33,12/30/2010,25.22,12/30/2010,31.51,12/30/2010,29.3,12/30/2010,37.49,,,,,,,
12/31/2010,68.25,12/31/2010,38.41,12/31/2010,34.87,12/31/2010,15.95,12/31/2010,31.34,12/31/2010,25.19,12/31/2010,31.5,12/31/2010,29.31,12/31/2010,37.41,,,,,,,
1/3/2011,68.76,1/3/2011,38.72,1/3/2011,35.12,1/3/2011,16.3,1/3/2011,31.4925,1/3/2011,25.47,1/3/2011,31.7875,1/3/2011,29.35,1/3/2011,37.85,,,,,,,
1/4/2011,68.17,1/4/2011,38.46,1/4/2011,35.07,1/4/2011,16.275,1/4/2011,31.635,1/4/2011,25.57,1/4/2011,31.89,1/4/2011,29.27,1/4/2011,37.64,,,,,,,
1/5/2011,68.44,1/5/2011,38.55,1/5/2011,35.25,1/5/2011,16.47,1/5/2011,31.44,1/5/2011,25.72,1/5/2011,31.96,1/5/2011,29.28,1/5/2011,37.95,,,,,,,
