"","Omega (L = 0%)","Omega (L = 0%)","Omega (L = 0%)","Omega (L = 0%)"
"AHPALES.NA.Equity",6.8740260707635,1.74529616771934,1.46313311959458,1.46313311959458
"AHPALFS.NA.Equity",4.54175670040563,1.0449110415907,1.02373090184051,1.02373090184051
"AHPALLM.NA.Equity",11.8359913501825,1.69930003689264,1.86931084563772,1.86931084563772
"AIMSPHG.VI.Equity",0.534650735912107,1.22989535234118,0.911132325147863,0.911132325147863
"AISBALA.US.Equity",0.895153958944282,0.886223268559946,0.751206918082522,0.751206918082522
"AISFUT2.US.Equity",0.755971280052518,0.458398593517882,0.464633234676439,0.464633234676439
"AISFUTU.US.Equity",0.77214920335798,0.466404004275881,0.474368424803729,0.474368424803729
"AISGOLD.US.Equity",1.26387040579925,1.27228695522916,1.03488852702292,1.03488852702292
"AISMERC.KY.Equity",0.585658159225193,1.45544095701151,1.53265310088819,1.53265310088819
"AJAOPAR.KY.Equity",2.42427235316124,1.1365481274021,1.83279606633886,1.83279606633886
"AJRINTL.VI.Equity",1.06343684452857,0.755683726200764,1.24947502900189,1.24947502900189
"AKABONA.KY.Equity",41.6833385432948,2.35897708980589,3.89803700705176,3.89803700705176
"AKAMFDA.KY.Equity",11.0546604427044,1.56919189033878,2.1988279960383,2.1988279960383
"AKTAGAA.SS.Equity",3.79426269932599,1.65517359524897,2.53502338079619,2.53502338079619
"AKTAGKA.SS.Equity",1.88328937527064,1.47163977907161,1.62007537553342,1.62007537553342
"AKTAGTA.SS.Equity",0.603338023904099,0.912936907346264,0.890259066911635,0.890259066911635
"ALASOPP.KY.Equity",0.733771122961445,0.868920073551705,1.24157374366671,1.24157374366671
"ALCINDA.KY.Equity",3.0664795428109,1.96531235152418,1.98462017145711,1.98462017145711
"ALCOREB.KY.Equity",12.521715858694,2.24851517533843,2.43401623446071,2.43401623446071
"ALGCOCO.LX.Equity",3.68734152525844,1.99520978288098,3.22653104198091,3.22653104198091
"ALINALT.AV.Equity",1.13847628174413,2.64834547463436,2.65480361845872,2.65480361845872
"ALLIVFD.AU.Equity",0.762071575947394,1.11547739315094,1.29867059235985,1.29867059235985
"ALPGCAP.KY.Equity",3.84120185922975,1.34258486284377,2.55013759399665,2.55013759399665
"ALPHANOR.CN.Equity",1.87739433275289,0.633147828553153,0.703715371581056,0.703715371581056
"ALPIHDG.IM.Equity",3.06828754498376,5.33891717304429,11.3619610868261,11.3619610868261
"ALPOCTA.KY.Equity",3.71830303030303,2.81032290169192,4.25508504421157,4.25508504421157
"ALPQORI.US.Equity",0.159025289654171,1.18461384571225,1.26185987601941,1.26185987601941
"ALPSSPA.KY.Equity",10.0218485702779,1.5414715886633,2.0897784263406,2.0897784263406
"ALPTECH.ID.Equity",3.89943988337298,1.84630930222492,1.55779340488807,1.55779340488807
"ALSMR1A.ID.Equity",0.453877337944648,1.39211423470291,1.07522921861815,1.07522921861815
"ALTACIF.MP.Equity",2.9309147911768,1.84337490166143,1.95563492276145,1.95563492276145
"ALTAGLE.KY.Equity",7.87541899441341,2.59413244465295,2.19745559437593,2.19745559437593
"ALTCRED.KY.Equity",Inf,7.64141305129865,9.8397087857848,9.8397087857848
"ALTGOPP.KY.Equity",0.320843357517665,0.805425605396256,0.849878397541016,0.849878397541016
"ALTLSAB.KY.Equity",4.0134977988205,0.846075644949716,1.61417930660888,1.61417930660888
"ALTOGLA.KY.Equity",0.124841044137708,0.933215845416316,2.03165946038296,2.03165946038296
"ALTOLEV.KY.Equity",1.86161509653492,2.2569572189991,3.02919723299211,3.02919723299211
"AM2GBP1.BH.Equity",2.24149033518985,2.21871885594419,0.98732002873294,0.98732002873294
"AMPDYAU.KY.Equity",1.34417409598041,0.926135118569355,1.06797699736995,1.06797699736995
"AMPKLAU.KY.Equity",1.553369247626,1.59611730709641,1.40243509318069,1.40243509318069
"ANCHORA.VI.Equity",4.72205195004214,1.61331017680971,4.60597819289035,4.60597819289035
"ANCIGMP.US.Equity",1.36517533252721,1.81695728412628,1.88322200793996,1.88322200793996
"ANEURFD.NA.Equity",1.52551498526179,1.88957851898812,1.83232186315887,1.83232186315887
"ANGOAKS.US.Equity",Inf,2.06646825990886,3.39525713026704,3.39525713026704
"ANINMAS.KY.Equity",0.902161621789934,1.86855419248523,2.0988754250731,2.0988754250731
"ANNOGOF.KY.Equity",1.25383402127588,1.10001517748074,1.24006107241367,1.24006107241367
"ANTEECU.BH.Equity",3.8046398046398,1.56953951838355,2.12192089057319,2.12192089057319
"ANTEUSD.BH.Equity",4.11468297349002,1.59971226206286,2.12886084080301,2.12886084080301
"APEXGCE.US.Equity",12.1788741721854,1.96879234435219,2.39986201274917,2.39986201274917
"APFIIBL.KY.Equity",1.8901378295196,1.16769323613652,2.15845470970044,2.15845470970044
