"","Omega (L = 0%)","Omega (L = 0%)","Omega (L = 0%)"
"SPYGPAR.US.Equity",2.85164629176854,1.56084701589784,1.56084701589784
"SRUSOGP.US.Equity",2.6414686825054,1.74998046794215,2.28455110943484
"STONEPC.US.Equity",5.98863636363636,2.4933389544688,2.7591158453388
"SUMUSEV.US.Equity",2.73096446700508,1.45601384559178,1.82302409784538
"SYNCCAP.US.Equity",2.4560327198364,4.31238564742887,2.88099579400265
"SYWLPHF.US.Equity",7.5763459759482,1.11093280693606,1.14654750051794
"TALCPFI.US.Equity",2.18434845911187,2.19005095850522,2.19005095850522
"TAMGLHC.US.Equity",1.92521994134897,1.70453022578296,2.25708208818686
"THETHAI.US.Equity",7.50649350649351,3.84399117971334,3.33623609095307
"TIBTIAD.US.Equity",3.97564932648657,1.39784983228692,1.31498047176681
"TPHMLPF.US.Equity",1.19824028768496,0.631495437528432,1.02378451123602
"TRELLUS.US.Equity",0.747384155455904,0.581509846827133,0.831029647435897
"TRGLATF.KY.Equity",1.47722246793454,1.48336866507038,1.48336866507038
"TRINNFA.KY.Equity",2.60266515452226,2.60266515452226,2.60266515452226
"TRINNLB.US.Equity",2.8219696969697,2.8219696969697,2.8219696969697
"TRIUMII.US.Equity",0.554411611076489,0.675325737094271,1.1226669247908
"TRIUMPH.US.Equity",0.93266527832189,0.716060612849984,1.1687397807647
"TWINLLP.US.Equity",258.208955223881,1.35622966619277,2.14796240461003
"VAHOLLP.US.Equity",12.0786516853933,3.17853457172343,3.22001282873637
"VALUEWO.US.Equity",21.7232075471698,1.30039563804237,2.23736437735034
"VICEQLP.US.Equity",0.694095000758792,1.05086210807571,1.1426373622583
"VLDSX.US.Equity",2.89622757434259,2.89622757434259,2.89622757434259
"VLTAVAF.MV.Equity",1.79887987290479,1.22816650862608,1.81767163011438
"VOYPART.US.Equity",2.52005714285714,0.855936193415721,1.43070190771075
"WEACX.US.Equity",9.73441915429276,1.66015685758384,2.00961816067113
"WEBCAPV.US.Equity",1.29855714285714,2.48476784822766,2.43416717697489
"WEDOPPT.US.Equity",96.3069230769231,3.94820717131474,6.06077112122799
"WEISABR.US.Equity",1.14439457175106,1.16454867129404,1.16454867129404
"WELENLP.US.Equity",2.95833333333333,1.50833787431208,1.76178496327333
"WELENQP.US.Equity",3.0272952853598,1.52016317538793,1.75119602717564
"WESTPRT.US.Equity",2.58493550140859,1.56813597102257,1.98948820682663
"WINDMIL.US.Equity",6.14292857142857,1.65788254860475,2.43692542982471
"WYPSCVA.US.Equity",1.51181102362205,1.21060445387063,1.77446808510638
"WYPSCVI.US.Equity",1.50796460176991,1.25218722659668,1.85429392741646
"ZLPOFUT.KY.Equity",4.35483870967742,2.69047619047619,4.77642276422764
"ZLPUTLP.US.Equity",4.35483870967742,2.69047619047619,4.77642276422764
"ZPENRGF.US.Equity",1.35106382978723,1.39865419984361,1.39865419984361
"ZWDIMIL.KY.Equity",1.23080936394157,0.867997823776764,1.11594777648279
