"","mtd.ret","ytd.ret","ann.ret.5","ann.std.5","downrisk.5","drawdown.5","sharpe.5","sortino.5","inforatio.5","alpha.5","beta.5","corr.bhf.5","corr.bidx.5","omega.5","wl.5","skewness.5","kurtosis.5"
"APEXGCE.US.Equity",-0.016099,0.172669162822716,0.0865615798900936,0.0930299393891174,0.0444250842629637,-0.0905355835518695,0.876723992573456,1.83593528843545,0.692260725873288,0.00673699965754655,0.109894454298635,0.149463358234964,0.123038215147807,2.15400555220702,0.583333333333333,0.725487448570968,0.667117052373683
"APSASPH.KY.Equity",-0.007124,-0.0177099318923775,0.0461046149335309,0.195046589051046,0.115596018505626,-0.251581737601589,0.210742546862859,0.355588500926877,0.159340237976995,0.0017308548857856,0.707049605957301,0.489090328535294,0.37757089412049,1.33732707246047,0.527777777777778,0.717465033251693,1.29510723388017
"APSCHIA.KY.Equity",0.024567,0.237660283271206,0.154251887426102,0.308067916472651,0.262184907116509,-0.430832761448108,0.48447721896854,0.569261934516232,0.387839884237935,0.00807616661655857,1.57659256144464,0.648242018674599,0.533040227293086,1.71671308566551,0.638888888888889,-0.397385856083478,1.16699119143736
"APSCHIN.KY.Equity",0.011901,-0.008662256217015,0.0757291653127903,0.266436180925296,0.172749513478501,-0.377877387482622,0.265463816014618,0.409431921911564,0.159416539464765,0.00334717401196946,1.12499019215731,0.576297161318208,0.439787134063589,1.39646077680203,0.5,0.0974917225571774,1.1801072911732
"ARASALP.KY.Equity",NA,0.320101321783059,0.0672135627047494,0.146380105198142,0.0993504065253384,-0.2367676683224,0.425013785995962,0.626203403494705,0.220094105245963,0.00186457874981055,1.05871632454848,0.788188609740369,0.765865887580292,1.48759797993251,0.555555555555556,-0.214289041200724,0.122978608929302
"ARMACRO.KY.Equity",NA,0.0238056286854371,0.0951238040164462,0.0618636432812405,0.0410722179705234,-0.065866590551,1.45681371539551,2.19427653215919,0.747064322317557,0.00818834375349057,0.119841712399543,0.102447799758509,0.204382268090837,3.31762596199347,0.694444444444444,0.209870952827656,1.4332726285689
"ARMLLOA.KY.Equity",NA,0.0814047049931055,-0.00423610137498032,0.0835168545910972,0.0468333816965768,-0.191087395256321,-0.110589669836116,-0.197211925348867,0.103222402421661,-0.00102276794860237,0.262767813888605,0.34409054718664,0.331946993615688,0.992642300642267,0.5,0.162676554719852,-0.541184398885237
"ARNASIA.KY.Equity",NA,0.284569306408799,0.0574783813311559,0.140149937570242,0.0968546788273545,-0.225679993428451,0.374444557314583,0.541825980598208,0.194909306894137,0.0011439601880819,1.03028101476193,0.794763689912728,0.778427123002136,1.44201594586762,0.555555555555556,-0.195513458320276,0.369397804696167
"ARQCALA.KY.Equity",NA,0.110877386512015,-0.0311694217811067,0.110820846249723,0.101880606250931,-0.249828384136858,-0.326377419096789,-0.355017732148373,-0.401807933436295,-0.00388306418766365,0.486341602117356,0.502257131310275,0.463010308438566,0.829214547827525,0.555555555555556,-1.21187907642312,2.11989231960961
"ARQVALA.KY.Equity",NA,0.18410698665673,0.101252387069442,0.107697433521351,0.0828457168401821,-0.154169549258209,0.8937296268101,1.16182695666842,0.424302619379378,0.00697554998096596,0.432465085842099,0.504135655571763,0.423658962851411,2.08949237103758,0.666666666666667,-0.442423497609969,2.2139886000981
"ARXBRLS.KY.Equity",NA,0.0218112166885294,0.0540735573345565,0.0993625603931668,0.042671419395831,-0.138636731725962,0.493883784197769,1.15003339540543,0.292788529515606,0.00373861601232664,0.303326588449926,0.375203213322898,0.32424672604422,1.56411748932302,0.5,0.627811453346394,-0.400714923619484
"ASCREHA.KY.Equity",0.027816,0.0830971302419474,0.105565174124255,0.0984167121272263,0.0821883090469685,-0.0908180461510001,1.02183025576237,1.22359463639512,0.252208465808524,0.00598929799606219,0.561191062488946,0.659372817337223,0.593921267867149,2.29367654510682,0.666666666666667,-0.82352923174372,1.87444610180648
"ASEASCF.KY.Equity",NA,0.679680049462372,0.100216489089756,0.214421802979414,0.0877695409699654,-0.302127907959283,0.444061600857342,1.08484661122176,0.370900028750857,0.00787212657064174,0.621465237049291,0.311078071545993,0.307254901960799,1.56295561831139,0.5,1.14121080365566,1.49044666982543
"ATCHSTA.KY.Equity",NA,-0.0330550093066402,0.0356107160564574,0.28496911075647,0.195401862496625,-0.25847385877,0.107417663532722,0.156655190822381,0.295684759157361,0.000144881716306331,1.43552488882763,0.565508301969347,0.533418545451755,1.28281778141312,0.555555555555556,0.479602917390299,3.10981547010548
"ATHASIE.SP.Equity",-0.001962,0.150432074981375,-0.0127219675254597,0.102914795868788,0.078352489246992,-0.208627855896043,-0.1722003855311,-0.226182571808209,-0.325808073757183,-0.00362107510715596,0.598030593983405,0.669107686442707,0.60524689317298,0.944261420375555,0.583333333333333,-0.476165257524438,0.111096797230114
"ATLRIVR.KY.Equity",0.008335,-0.18505475451592,0.00488714993311801,0.361907818718313,0.201045532050329,-0.449422287754659,-0.000311819919452552,-0.000561315965249815,0.00326729912804201,0.000396915878309267,0.978471530744115,0.41955298030477,0.281602957717332,1.18076561050043,0.444444444444444,1.64833285882501,6.43942637112121
"ATMOSBE.KY.Equity",0.041702,0.20460833366859,0.133220953461366,0.2002819399766,0.0999579336298525,-0.21140823572374,0.640202274235743,1.28274914061521,0.265127158536736,0.00720650348258456,0.972578513768514,0.542201462364951,0.505789564975335,1.7124002289384,0.527777777777778,0.364706291836357,0.20746433943734
"BERINUR.KY.Equity",-0.007407,0.0229002672466638,-0.141122374655901,0.270918542886691,0.27177004626898,-0.515366643656969,-0.539359074867812,-0.537669167967388,-0.473791894842987,-0.00542775220228192,0.73903791394025,0.228361988582431,0.284128613167488,0.509210376845214,0.166666666666667,-1.9894461735653,11.697639116481
"BRASCEH.KY.Equity",NA,0.244494846685061,0.0753460178968113,0.269622937063897,0.150245950134937,-0.446719731931942,0.260905168762183,0.468205750861391,0.160204310621663,0.00301686686988061,1.42132313035959,0.585958372607684,0.558201706504267,1.34590116742594,0.555555555555556,0.2100553316311,-0.145941819774258
"BRASFXI.KY.Equity",-0.000144,-0.00136849925070448,0.125031157286972,0.204315005599803,0.0401077134369794,-0.0925252143233126,0.587480870211169,2.99272002817052,0.480904399704507,0.0122340834918798,0.191851060075996,0.0397278082430292,0.0978027177089524,4.88489256831124,0.361111111111111,5.07937109433361,26.0764862979021
