,6301 JP Equity,,TPX Index,,.GOVTUSJP Index
2/27/2013,-1.6572,2/27/2013,-1.35,2/26/2013,-3.6071
2/28/2013,3.6807,2/28/2013,2.3,2/27/2013,-2.9292
3/1/2013,-0.6416,3/1/2013,0.89,2/28/2013,1.7117
3/4/2013,-2.669,3/4/2013,0.8,3/1/2013,2.6277
3/5/2013,-0.0442,3/5/2013,-0.37,3/4/2013,-7.0714
3/6/2013,0.6637,3/6/2013,1.48,3/5/2013,0.2946
3/7/2013,-3.033,3/7/2013,0.11,3/6/2013,-2.7114
3/8/2013,1.3146,3/8/2013,1.61,3/7/2013,-4.31
3/11/2013,2.5056,3/11/2013,1.91,3/8/2013,-4.9041
3/12/2013,0.2182,3/12/2013,-0.39,3/11/2013,-0.709
3/13/2013,-1.6115,3/13/2013,-0.43,3/12/2013,1.5632
3/14/2013,-1.6822,3/14/2013,0.65,3/13/2013,-1.0293
3/15/2013,-0.3602,3/15/2013,1.3,3/14/2013,-0.9832
3/18/2013,-0.4519,3/18/2013,-2.22,3/15/2013,2.6325
3/19/2013,2.2242,3/19/2013,1.71,3/18/2013,0.3507
3/21/2013,0.7105,3/21/2013,1.17,3/19/2013,4.2995
3/22/2013,1.3228,3/22/2013,-1.85,3/20/2013,-4.2982
3/25/2013,1.6101,3/25/2013,0.84,3/21/2013,2.4046
3/26/2013,-1.242,3/26/2013,-0.27,3/22/2013,-2.1586
3/27/2013,-1.0408,3/27/2013,0.2,3/25/2013,0.0899
3/28/2013,-2.1472,3/28/2013,-0.93,3/26/2013,-0.2623
3/29/2013,0.7165,3/29/2013,-0.2,3/27/2013,2.8543
4/1/2013,-1.823,4/1/2013,-3.3,3/28/2013,-0.6248
4/2/2013,-3.8496,4/2/2013,-0.92,3/29/2013,3.7492
4/3/2013,-2.0254,4/3/2013,1.93,4/1/2013,1.4199
4/4/2013,0.3365,4/4/2013,2.7,4/2/2013,-2.1765
4/5/2013,5.4624,4/5/2013,2.74,4/3/2013,2.9608
4/8/2013,4.2708,4/8/2013,3.33,4/4/2013,-5.1683
4/9/2013,2.4401,4/9/2013,0.03,4/5/2013,10.7345
4/10/2013,1.6589,4/10/2013,1.72,4/8/2013,-3.5832
4/11/2013,5.272,4/11/2013,2.34,4/9/2013,0.1463
4/12/2013,-0.4372,4/12/2013,0.11,4/10/2013,0.068
4/15/2013,-2.8743,4/15/2013,-1.27,4/11/2013,-1.2575
4/16/2013,-1.3564,4/16/2013,-1.3,4/12/2013,11.0168
4/17/2013,1.6667,4/17/2013,1.5,4/15/2013,6.0144
4/18/2013,0.5328,4/18/2013,-1.15,4/16/2013,-9.2649
4/19/2013,1.4268,4/19/2013,0.33,4/17/2013,3.2298
4/22/2013,0.8039,4/22/2013,1.68,4/18/2013,-0.4294
4/23/2013,-0.1595,4/23/2013,-0.16,4/19/2013,-2.305
4/24/2013,3.0751,4/24/2013,1.8,4/22/2013,3.5722
4/25/2013,0.2325,4/25/2013,0.72,4/23/2013,-3.3863
4/26/2013,2.6285,4/26/2013,-0.99,4/24/2013,1.1443
