,1800 HK Equity,,1186 HK Equity,,390 HK Equity,,2338 HK Equity,,1919 HK Equity,,177 HK Equity,,552 HK Equity,,576 HK Equity,,2866 HK Equity,,2357 HK Equity,,694 HK Equity,,3898 HK Equity,,1882 HK Equity,,1138 HK Equity,,1333 HK Equity,,2880 HK Equity,,3808 HK Equity,,107 HK Equity,,2382 HK Equity,,38 HK Equity,,1308 HK Equity,,2222 HK Equity,,995 HK Equity,,1133 HK Equity,,631 HK Equity,,598 HK Equity,,3339 HK Equity,,1101 HK Equity,,1893 HK Equity,,1685 HK Equity,,826 HK Equity,,187 HK Equity,,357 HK Equity,,6888 HK Equity,,3378 HK Equity,,1080 HK Equity,,1708 HK Equity,,569 HK Equity,,2345 HK Equity
5/17/2010,0.8293,5/17/2010,1.1575,5/17/2010,0.6127,5/17/2010,3.0710,5/17/2010,1.16132,5/17/2010,0.9229,5/17/2010,0.4376,5/17/2010,0.9024,5/17/2010,0.36275,5/17/2010,0.3589,5/17/2010,0.52426,5/17/2010,2.0509,5/17/2010,0.7665,5/17/2010,1.37153,5/17/2011,0.4206,5/17/2010,0.40633,5/17/2010,0.8242,5/17/2010,0.52554,5/17/2010,0.2192,5/17/2010,0.60117,10/15/2012,0.24384,5/31/2012,0.22933,5/17/2010,0.61911,5/17/2010,0.70756,12/2/2011,0.963,5/17/2010,0.22303,5/17/2010,0.3275,11/29/2012,0.18064,5/17/2010,0.52939,10/30/2012,0.35612,5/17/2010,0.10831,5/17/2010,0.37044,5/17/2010,1.11261,,,5/17/2010,0.17048,12/29/2011,0.09907,5/17/2010,1.34077,5/17/2010,0.74345,5/17/2010,0.17433
5/18/2010,0.8516,5/18/2010,1.1915,5/18/2010,0.63488,5/18/2010,3.0649,5/18/2010,1.15433,5/18/2010,0.9145,5/18/2010,0.44791,5/18/2010,0.9299,5/18/2010,0.36297,5/18/2010,0.3540,5/18/2010,0.52843,5/18/2010,2.0675,5/18/2010,0.7657,5/18/2010,1.37238,5/18/2011,0.4334,5/18/2010,0.40273,5/18/2010,0.81445,5/18/2010,0.52073,5/18/2010,0.2206,5/18/2010,0.58999,10/16/2012,0.24512,6/1/2012,0.21132,5/18/2010,0.61565,5/18/2010,0.71312,12/5/2011,0.98331,5/18/2010,0.21804,5/18/2010,0.32514,11/30/2012,0.16387,5/18/2010,0.52971,10/31/2012,0.36128,5/18/2010,0.10453,5/18/2010,0.37067,5/18/2010,1.11329,,,5/18/2010,0.16802,12/30/2011,0.10172,5/18/2010,1.3339,5/18/2010,0.73749,5/18/2010,0.17443
5/19/2010,0.8244,5/19/2010,1.1705,5/19/2010,0.61794,5/19/2010,2.8712,5/19/2010,1.09358,5/19/2010,0.9436,5/19/2010,0.43642,5/19/2010,0.8974,5/19/2010,0.33846,5/19/2010,0.3321,5/19/2010,0.51538,5/19/2010,2.0154,5/19/2010,0.7372,5/19/2010,1.28973,5/19/2011,0.4386,5/19/2010,0.38205,5/19/2010,0.76537,5/19/2010,0.51794,5/19/2010,0.2180,5/19/2010,0.53974,10/17/2012,0.25157,6/4/2012,0.18302,5/19/2010,0.61025,5/19/2010,0.69743,12/6/2011,0.97396,5/19/2010,0.21025,5/19/2010,0.30833,12/3/2012,0.16129,5/19/2010,0.50512,11/1/2012,0.36129,5/19/2010,0.10256,5/19/2010,0.37179,5/19/2010,1.07691,,,5/19/2010,0.16538,1/3/2012,0.10299,5/19/2010,1.3205,5/19/2010,0.71794,5/19/2010,0.17051
5/20/2010,0.8189,5/20/2010,1.1496,5/20/2010,0.61772,5/20/2010,2.8515,5/20/2010,1.04961,5/20/2010,0.9317,5/20/2010,0.42749,5/20/2010,0.8702,5/20/2010,0.31783,5/20/2010,0.3127,5/20/2010,0.50879,5/20/2010,1.9608,5/20/2010,0.7100,5/20/2010,1.22519,5/20/2011,0.4373,5/20/2010,0.36269,5/20/2010,0.75869,5/20/2010,0.49341,5/20/2010,0.2102,5/20/2010,0.50622,10/18/2012,0.25547,6/5/2012,0.19461,5/20/2010,0.58696,5/20/2010,0.69205,12/7/2011,0.99969,5/20/2010,0.20377,5/20/2010,0.29156,12/4/2012,0.15871,5/20/2010,0.51519,11/2/2012,0.3716,5/20/2010,0.10413,5/20/2010,0.355,5/20/2010,1.05089,,,5/20/2010,0.1602,1/4/2012,0.1017,5/20/2010,1.34309,5/20/2010,0.67283,5/20/2010,0.16532
5/24/2010,0.8165,5/24/2010,1.1729,5/24/2010,0.62937,5/24/2010,2.9161,5/24/2010,1.07801,5/24/2010,0.9280,5/24/2010,0.43133,5/24/2010,0.8755,5/24/2010,0.33327,5/24/2010,0.3217,5/24/2010,0.51657,5/24/2010,1.9253,5/24/2010,0.7332,5/24/2010,1.269,5/23/2011,0.4333,5/24/2010,0.37173,5/24/2010,0.75371,5/24/2010,0.48837,5/24/2010,0.2205,5/24/2010,0.52555,10/19/2012,0.25935,6/6/2012,0.22041,5/24/2010,0.58323,5/24/2010,0.71269,12/8/2011,0.99667,5/24/2010,0.22176,5/24/2010,0.29995,12/5/2012,0.16387,5/24/2010,0.56656,11/5/2012,0.36773,5/24/2010,0.10703,5/24/2010,0.35891,5/24/2010,1.04468,,,5/24/2010,0.16407,1/5/2012,0.10431,5/24/2010,1.41,5/24/2010,0.65757,5/24/2010,0.16792
5/25/2010,0.7704,5/25/2010,1.1191,5/25/2010,0.58965,5/25/2010,2.7426,5/25/2010,1.00882,5/25/2010,0.8883,5/25/2010,0.42382,5/25/2010,0.8576,5/25/2010,0.31277,5/25/2010,0.2859,5/25/2010,0.47813,5/25/2010,1.8715,5/25/2010,0.7281,5/25/2010,1.17931,5/24/2011,0.4410,5/25/2010,0.3602,5/25/2010,0.72809,5/25/2010,0.48326,5/25/2010,0.2051,5/25/2010,0.5089,10/22/2012,0.25806,6/7/2012,0.21526,5/25/2010,0.56402,5/25/2010,0.68836,12/9/2011,0.97913,5/25/2010,0.20638,5/25/2010,0.28393,12/6/2012,0.15742,5/25/2010,0.54351,11/6/2012,0.38579,5/25/2010,0.10255,5/25/2010,0.34866,5/25/2010,0.97421,,,5/25/2010,0.15767,1/6/2012,0.10302,5/25/2010,1.39466,5/25/2010,0.64093,5/25/2010,0.16023
5/26/2010,0.7938,5/26/2010,1.1283,5/26/2010,0.62014,5/26/2010,2.8921,5/26/2010,1.04986,5/26/2010,0.8723,5/26/2010,0.43546,5/26/2010,0.8852,5/26/2010,0.33065,5/26/2010,0.2972,5/26/2010,0.49276,5/26/2010,1.8733,5/26/2010,0.7076,5/26/2010,1.21968,5/25/2011,0.4369,5/26/2010,0.35638,5/26/2010,0.73335,5/26/2010,0.47861,5/26/2010,0.2059,5/26/2010,0.50434,10/24/2012,0.26064,6/8/2012,0.21655,5/26/2010,0.56867,5/26/2010,0.66388,12/12/2011,0.98935,5/26/2010,0.211,5/26/2010,0.28434,12/7/2012,0.16516,5/26/2010,0.53651,11/7/2012,0.39739,5/26/2010,0.10389,5/26/2010,0.33451,5/26/2010,1.00354,,,5/26/2010,0.1634,1/9/2012,0.10687,5/26/2010,1.35864,5/26/2010,0.64329,5/26/2010,0.15825
5/27/2010,0.8357,5/27/2010,1.1413,5/27/2010,0.64189,5/27/2010,2.9072,5/27/2010,1.09121,5/27/2010,0.8909,5/27/2010,0.43199,5/27/2010,0.8987,5/27/2010,0.33763,5/27/2010,0.3068,5/27/2010,0.51736,5/27/2010,2.0130,5/27/2010,0.6971,5/27/2010,1.2825,5/26/2011,0.4290,5/27/2010,0.35817,5/27/2010,0.75486,5/27/2010,0.51351,5/27/2010,0.2131,5/27/2010,0.52507,10/25/2012,0.25805,6/11/2012,0.2268,5/27/2010,0.57128,5/27/2010,0.70736,12/13/2011,0.96936,5/27/2010,0.21824,5/27/2010,0.30361,12/10/2012,0.16774,5/27/2010,0.56871,11/8/2012,0.38961,5/27/2010,0.10431,5/27/2010,0.3325,5/27/2010,1.02959,,,5/27/2010,0.16432,1/10/2012,0.10946,5/27/2010,1.37364,5/27/2010,0.64061,5/27/2010,0.16432
5/28/2010,0.8579,5/28/2010,1.1571,5/28/2010,0.66654,5/28/2010,3.0769,5/28/2010,1.1186,5/28/2010,0.9016,5/28/2010,0.43467,5/28/2010,0.9195,5/28/2010,0.35189,5/28/2010,0.3134,5/28/2010,0.54839,5/28/2010,1.9804,5/28/2010,0.7346,5/28/2010,1.36647,5/27/2011,0.4342,5/28/2010,0.37501,5/28/2010,0.79368,5/28/2010,0.51371,5/28/2010,0.2183,5/28/2010,0.54839,10/26/2012,0.25806,6/12/2012,0.23197,5/28/2010,0.61003,5/28/2010,0.72818,12/14/2011,0.95699,5/28/2010,0.22346,5/28/2010,0.31015,12/11/2012,0.16903,5/28/2010,0.57664,11/9/2012,0.38446,5/28/2010,0.10435,5/28/2010,0.33263,5/28/2010,1.06466,,,5/28/2010,0.16567,1/11/2012,0.11202,5/28/2010,1.37417,5/28/2010,0.63828,5/28/2010,0.16567
5/31/2010,0.8489,5/31/2010,1.1905,5/31/2010,0.6537,5/31/2010,3.0903,5/31/2010,1.11091,5/31/2010,0.9119,5/31/2010,0.42965,5/31/2010,0.9208,5/31/2010,0.35061,5/31/2010,0.3275,5/31/2010,0.54582,5/31/2010,2.0138,5/31/2010,0.7359,5/31/2010,1.37162,5/30/2011,0.4242,5/31/2010,0.38143,5/31/2010,0.79754,5/31/2010,0.52271,5/31/2010,0.2171,5/31/2010,0.58692,10/29/2012,0.26193,6/13/2012,0.22428,5/31/2010,0.60233,5/31/2010,0.73847,12/15/2011,0.89831,5/31/2010,0.22347,5/31/2010,0.30695,12/12/2012,0.16645,5/31/2010,0.56509,11/12/2012,0.38449,5/31/2010,0.10563,5/31/2010,0.33263,5/31/2010,1.06596,,,5/31/2010,0.16439,1/12/2012,0.11072,5/31/2010,1.37419,5/31/2010,0.64215,5/31/2010,0.16696
6/1/2010,0.8177,6/1/2010,1.1668,6/1/2010,0.6418,6/1/2010,2.9844,6/1/2010,1.07309,6/1/2010,0.8998,6/1/2010,0.42314,6/1/2010,0.9306,6/1/2010,0.32988,6/1/2010,0.3119,6/1/2010,0.53398,6/1/2010,1.9999,6/1/2010,0.7304,6/1/2010,1.30157,5/31/2011,0.4256,6/1/2010,0.37738,6/1/2010,0.76117,6/1/2010,0.51601,6/1/2010,0.2182,6/1/2010,0.56093,10/30/2012,0.25935,6/14/2012,0.21524,6/1/2010,0.58275,6/1/2010,0.71881,12/16/2011,0.90313,6/1/2010,0.21564,6/1/2010,0.29523,12/13/2012,0.16774,6/1/2010,0.5481,11/13/2012,0.36126,6/1/2010,0.10269,6/1/2010,0.33245,6/1/2010,1.03586,,,6/1/2010,0.16302,1/13/2012,0.11202,6/1/2010,1.37345,6/1/2010,0.64565,6/1/2010,0.16687
6/2/2010,0.8302,6/2/2010,1.1497,6/2/2010,0.63515,6/2/2010,2.9138,6/2/2010,1.09067,6/2/2010,0.8969,6/2/2010,0.42425,6/2/2010,0.9251,6/2/2010,0.32078,6/2/2010,0.3144,6/2/2010,0.53378,6/2/2010,1.9478,6/2/2010,0.7198,6/2/2010,1.28185,6/1/2011,0.4307,6/2/2010,0.37339,6/2/2010,0.74422,6/2/2010,0.50427,6/2/2010,0.2143,6/2/2010,0.5556,10/31/2012,0.2658,6/15/2012,0.21912,6/2/2010,0.56971,6/2/2010,0.71856,12/19/2011,0.90686,6/2/2010,0.21043,6/2/2010,0.29705,12/14/2012,0.17161,6/2/2010,0.5402,11/14/2012,0.37804,6/2/2010,0.10041,6/2/2010,0.33233,6/2/2010,1.02009,,,6/2/2010,0.16039,1/16/2012,0.112,6/2/2010,1.38579,6/2/2010,0.64798,6/2/2010,0.16937
6/3/2010,0.8638,6/3/2010,1.1873,6/3/2010,0.65718,6/3/2010,2.9843,6/3/2010,1.07946,6/3/2010,0.9152,6/3/2010,0.43317,6/3/2010,0.9319,6/3/2010,0.3273,6/3/2010,0.3158,6/3/2010,0.54422,6/3/2010,1.9587,6/3/2010,0.7303,6/3/2010,1.29895,6/2/2011,0.4254,6/3/2010,0.37865,6/3/2010,0.77655,6/3/2010,0.5224,6/3/2010,0.2221,6/3/2010,0.58016,11/1/2012,0.29161,6/18/2012,0.21909,6/3/2010,0.58273,6/3/2010,0.72392,12/20/2011,0.88275,6/3/2010,0.2182,6/3/2010,0.29522,12/17/2012,0.16903,6/3/2010,0.55963,11/15/2012,0.37539,6/3/2010,0.1014,6/3/2010,0.34913,6/3/2010,1.03326,,,6/3/2010,0.16558,1/17/2012,0.11333,6/3/2010,1.3888,6/3/2010,0.65333,6/3/2010,0.17071
6/4/2010,0.8715,6/4/2010,1.2052,6/4/2010,0.6456,6/4/2010,3.0323,6/4/2010,1.06787,6/4/2010,0.9100,6/4/2010,0.43692,6/4/2010,0.9190,6/4/2010,0.34911,6/4/2010,0.3234,6/4/2010,0.54035,6/4/2010,1.9843,6/4/2010,0.7162,6/4/2010,1.27965,6/3/2011,0.4372,6/4/2010,0.3966,6/4/2010,0.79064,6/4/2010,0.52623,6/4/2010,0.2182,6/4/2010,0.59683,11/2/2012,0.28902,6/19/2012,0.20493,6/4/2010,0.57372,6/4/2010,0.72389,12/21/2011,0.82116,6/4/2010,0.21948,6/4/2010,0.29649,12/18/2012,0.16774,6/4/2010,0.56089,11/16/2012,0.37153,6/4/2010,0.10493,6/4/2010,0.34398,6/4/2010,1.0653,,,6/4/2010,0.16429,1/18/2012,0.11081,6/4/2010,1.38875,6/4/2010,0.67384,6/4/2010,0.17327
6/7/2010,0.8459,6/7/2010,1.1945,6/7/2010,0.62287,6/7/2010,2.8783,6/7/2010,1.02786,6/7/2010,0.9061,6/7/2010,0.41999,6/7/2010,0.8984,6/7/2010,0.3345,6/7/2010,0.3076,6/7/2010,0.51265,6/7/2010,1.9224,6/7/2010,0.6972,6/7/2010,1.23677,6/7/2011,0.4255,6/7/2010,0.38833,6/7/2010,0.77538,6/7/2010,0.51265,6/7/2010,0.2140,6/7/2010,0.57801,11/5/2012,0.2929,6/20/2012,0.19978,6/7/2010,0.56648,6/7/2010,0.69592,12/22/2011,0.79928,6/7/2010,0.22044,6/7/2010,0.28708,12/19/2012,0.17935,6/7/2010,0.53956,11/19/2012,0.3741,6/7/2010,0.09804,6/7/2010,0.34091,6/7/2010,1.0253,,,6/7/2010,0.16148,1/19/2012,0.10954,6/7/2010,1.35852,6/7/2010,0.6908,6/7/2010,0.1743
6/8/2010,0.8571,6/8/2010,1.1941,6/8/2010,0.6329,6/8/2010,2.9093,6/8/2010,1.02493,6/8/2010,0.8968,6/8/2010,0.4261,6/8/2010,0.9084,6/8/2010,0.33567,6/8/2010,0.3177,6/8/2010,0.52015,6/8/2010,1.9243,6/8/2010,0.7149,6/8/2010,1.23376,6/8/2011,0.4189,6/8/2010,0.40485,6/8/2010,0.80841,6/8/2010,0.51503,6/8/2010,0.2165,6/8/2010,0.58934,11/6/2012,0.2916,6/21/2012,0.19846,6/8/2010,0.57012,6/8/2010,0.69567,12/23/2011,0.82299,6/8/2010,0.22292,6/8/2010,0.28314,12/20/2012,0.18193,6/8/2010,0.53809,11/20/2012,0.3716,6/8/2010,0.10249,6/8/2010,0.34079,6/8/2010,1.02493,,,6/8/2010,0.16399,1/20/2012,0.10695,6/8/2010,1.38622,6/8/2010,0.68927,6/8/2010,0.17424
6/9/2010,0.8601,6/9/2010,1.1908,6/9/2010,0.6332,6/9/2010,2.9508,6/9/2010,1.01773,6/9/2010,0.9101,6/9/2010,0.42254,6/9/2010,0.9267,6/9/2010,0.32172,6/9/2010,0.3128,6/9/2010,0.52168,6/9/2010,1.9329,6/9/2010,0.7178,6/9/2010,1.20743,6/9/2011,0.4214,6/9/2010,0.39863,6/9/2010,0.80111,6/9/2010,0.52424,6/9/2010,0.2141,6/9/2010,0.57167,11/7/2012,0.28901,6/22/2012,0.19199,6/9/2010,0.57295,6/9/2010,0.68062,12/28/2011,0.80633,6/9/2010,0.22303,6/9/2010,0.28007,12/21/2012,0.17677,6/9/2010,0.53065,11/21/2012,0.38966,6/9/2010,0.09934,6/9/2010,0.33711,6/9/2010,1.03183,,,6/9/2010,0.1615,1/26/2012,0.10829,6/9/2010,1.38688,6/9/2010,0.67934,6/9/2010,0.1756
6/10/2010,0.8688,6/10/2010,1.1999,6/10/2010,0.64166,6/10/2010,2.7431,6/10/2010,1.0151,6/10/2010,0.9060,6/10/2010,0.42807,6/10/2010,0.9240,6/10/2010,0.31955,6/10/2010,0.3054,6/10/2010,0.51974,6/10/2010,1.9609,6/10/2010,0.7097,6/10/2010,1.19605,6/10/2011,0.4227,6/10/2010,0.39398,6/10/2010,0.78924,6/10/2010,0.53258,6/10/2010,0.2066,6/10/2010,0.56723,11/8/2012,0.28253,6/25/2012,0.20489,6/10/2010,0.57493,6/10/2010,0.68914,12/29/2011,0.79767,6/10/2010,0.22458,6/10/2010,0.2849,12/24/2012,0.17418,6/10/2010,0.53386,11/22/2012,0.39093,6/10/2010,0.09689,6/10/2010,0.35163,6/10/2010,1.02665,,,6/10/2010,0.16683,1/27/2012,0.10573,6/10/2010,1.38855,6/10/2010,0.66476,6/10/2010,0.17325
6/11/2010,0.8857,6/11/2010,1.2181,6/11/2010,0.65077,6/11/2010,2.8399,6/11/2010,1.03584,6/11/2010,0.9216,6/11/2010,0.43569,6/11/2010,0.9126,6/11/2010,0.32731,6/11/2010,0.3209,6/11/2010,0.54423,6/11/2010,1.9716,6/11/2010,0.6931,6/11/2010,1.22195,6/13/2011,0.4200,6/11/2010,0.39919,6/11/2010,0.80351,6/11/2010,0.52883,6/11/2010,0.2079,6/11/2010,0.57375,11/9/2012,0.2877,6/26/2012,0.19976,6/11/2010,0.57119,6/11/2010,0.70211,12/30/2011,0.81503,6/11/2010,0.22847,6/11/2010,0.29201,12/27/2012,0.16125,6/11/2010,0.5314,11/23/2012,0.38838,6/11/2010,0.09627,6/11/2010,0.33501,6/11/2010,1.04097,,,6/11/2010,0.16815,1/30/2012,0.10186,6/11/2010,1.33491,6/11/2010,0.65719,6/11/2010,0.17456
6/14/2010,0.9112,6/14/2010,1.2346,6/14/2010,0.66737,6/14/2010,2.8770,6/14/2010,1.07164,6/14/2010,0.9292,6/14/2010,0.44568,6/14/2010,0.9164,6/14/2010,0.33882,6/14/2010,0.3311,6/14/2010,0.56341,6/14/2010,2.0201,6/14/2010,0.6866,6/14/2010,1.2757,6/14/2011,0.4240,6/14/2010,0.39785,6/14/2010,0.81753,6/14/2010,0.54416,6/14/2010,0.2118,6/14/2010,0.58266,11/12/2012,0.28127,6/27/2012,0.19591,6/14/2010,0.56983,6/14/2010,0.73796,1/3/2012,0.82004,6/14/2010,0.22845,6/14/2010,0.30481,12/28/2012,0.16125,6/14/2010,0.5416,11/26/2012,0.37548,6/14/2010,0.09626,6/14/2010,0.32342,6/14/2010,1.05881,,,6/14/2010,0.17198,1/31/2012,0.10314,6/14/2010,1.33474,6/14/2010,0.67764,6/14/2010,0.17198
6/15/2010,0.9023,6/15/2010,1.2360,6/15/2010,0.66354,6/15/2010,2.8450,6/15/2010,1.07938,6/15/2010,0.9074,6/15/2010,0.45071,6/15/2010,0.9125,6/15/2010,0.3414,6/15/2010,0.3363,6/15/2010,0.56728,6/15/2010,1.9996,6/15/2010,0.6956,6/15/2010,1.28858,6/15/2011,0.4275,6/15/2010,0.3953,6/15/2010,0.84708,6/15/2010,0.55445,6/15/2010,0.2143,6/15/2010,0.58397,11/13/2012,0.27353,6/28/2012,0.19332,6/15/2010,0.56215,6/15/2010,0.74697,1/4/2012,0.82006,6/15/2010,0.22974,6/15/2010,0.31573,12/31/2012,0.15998,6/15/2010,0.55573,11/27/2012,0.40644,6/15/2010,0.09433,6/15/2010,0.32728,6/15/2010,1.05243,,,6/15/2010,0.17198,2/1/2012,0.10446,6/15/2010,1.33479,6/15/2010,0.67895,6/15/2010,0.17327
6/17/2010,0.9106,6/17/2010,1.2432,6/17/2010,0.664,6/17/2010,2.8443,6/17/2010,1.07885,6/17/2010,0.8965,6/17/2010,0.46108,6/17/2010,0.9055,6/17/2010,0.34292,6/17/2010,0.3365,6/17/2010,0.57153,6/17/2010,2.0293,6/17/2010,0.7167,6/17/2010,1.35883,6/16/2011,0.4052,6/17/2010,0.41356,6/17/2010,0.86051,6/17/2010,0.54713,6/17/2010,0.2132,6/17/2010,0.58694,11/14/2012,0.27611,6/29/2012,0.1882,6/17/2010,0.55483,6/17/2010,0.74106,1/5/2012,0.84739,6/17/2010,0.23375,6/17/2010,0.32686,1/2/2013,0.17159,6/17/2010,0.55869,11/28/2012,0.40644,6/17/2010,0.096,6/17/2010,0.32879,6/17/2010,1.08527,,,6/17/2010,0.17082,2/2/2012,0.10702,6/17/2010,1.29975,6/17/2010,0.69226,6/17/2010,0.1721
6/18/2010,0.9046,6/18/2010,1.2605,6/18/2010,0.66432,6/18/2010,2.8697,6/18/2010,1.06265,6/18/2010,0.9149,6/18/2010,0.46381,6/18/2010,0.9123,6/18/2010,0.34694,6/18/2010,0.3354,6/18/2010,0.5808,6/18/2010,2.0996,6/18/2010,0.7286,6/18/2010,1.35434,6/17/2011,0.4004,6/18/2010,0.44202,6/18/2010,0.85706,6/18/2010,0.56152,6/18/2010,0.2133,6/18/2010,0.57694,11/15/2012,0.27735,7/3/2012,0.19085,6/18/2010,0.55253,6/18/2010,0.74399,1/6/2012,0.83702,6/18/2010,0.22358,6/18/2010,0.33152,1/3/2013,0.1832,6/18/2010,0.55638,11/29/2012,0.42064,6/18/2010,0.09766,6/18/2010,0.32895,6/18/2010,1.08193,,,6/18/2010,0.17218,2/3/2012,0.10704,6/18/2010,1.30037,6/18/2010,0.69259,6/18/2010,0.17218
6/21/2010,0.9445,6/21/2010,1.3049,6/21/2010,0.6846,6/21/2010,3.0133,6/21/2010,1.12341,6/21/2010,0.9278,6/21/2010,0.48086,6/21/2010,0.9188,6/21/2010,0.36546,6/21/2010,0.3513,6/21/2010,0.60224,6/21/2010,2.1722,6/21/2010,0.7309,6/21/2010,1.42067,6/20/2011,0.4004,6/21/2010,0.43624,6/21/2010,0.86347,6/21/2010,0.5868,6/21/2010,0.2213,6/21/2010,0.58937,11/16/2012,0.27606,7/4/2012,0.19083,6/21/2010,0.5572,6/21/2010,0.75923,1/9/2012,0.83824,6/21/2010,0.22777,6/21/2010,0.34616,1/4/2013,0.19998,6/21/2010,0.58808,11/30/2012,0.42967,6/21/2010,0.09812,6/21/2010,0.32943,6/21/2010,1.14271,,,6/21/2010,0.18144,2/6/2012,0.10575,6/21/2010,1.31,6/21/2010,0.69875,6/21/2010,0.1763
6/22/2010,0.9408,6/22/2010,1.2930,6/22/2010,0.67862,6/22/2010,3.0498,6/22/2010,1.1079,6/22/2010,0.9228,6/22/2010,0.48278,6/22/2010,0.9318,6/22/2010,0.36502,6/22/2010,0.3522,6/22/2010,0.59508,6/22/2010,2.1721,6/22/2010,0.7506,6/22/2010,1.38294,6/21/2011,0.3993,6/22/2010,0.43956,6/22/2010,0.84699,6/22/2010,0.58608,6/22/2010,0.2159,6/22/2010,0.5848,11/19/2012,0.2838,7/5/2012,0.20116,6/22/2010,0.5578,6/22/2010,0.75188,1/10/2012,0.8486,6/22/2010,0.22749,6/22/2010,0.34702,1/7/2013,0.2103,6/22/2010,0.59765,12/3/2012,0.41419,6/22/2010,0.09864,6/22/2010,0.33674,6/22/2010,1.11432,,,6/22/2010,0.18251,2/7/2012,0.10963,6/22/2010,1.24671,6/22/2010,0.68119,6/22/2010,0.1748
6/23/2010,0.9232,6/23/2010,1.2820,6/23/2010,0.6815,6/23/2010,2.9226,6/23/2010,1.09811,6/23/2010,0.9310,6/23/2010,0.48426,6/23/2010,0.9194,6/23/2010,0.38318,6/23/2010,0.3459,6/23/2010,0.5902,6/23/2010,2.1705,6/23/2010,0.7226,6/23/2010,1.41443,6/22/2011,0.4045,6/23/2010,0.43976,6/23/2010,0.8718,6/23/2010,0.57863,6/23/2010,0.2096,6/23/2010,0.57863,11/20/2012,0.28386,7/6/2012,0.20379,6/23/2010,0.55548,6/23/2010,0.73936,1/11/2012,0.87042,6/23/2010,0.23017,6/23/2010,0.35361,1/8/2013,0.19998,6/23/2010,0.60563,12/4/2012,0.41419,6/23/2010,0.09837,6/23/2010,0.3356,6/23/2010,1.12125,,,6/23/2010,0.18259,2/8/2012,0.11478,6/23/2010,1.22798,6/23/2010,0.66864,6/23/2010,0.17616
6/24/2010,0.9322,6/24/2010,1.2883,6/24/2010,0.66987,6/24/2010,2.8340,6/24/2010,1.08902,6/24/2010,0.9425,6/24/2010,0.47919,6/24/2010,0.9283,6/24/2010,0.37672,6/24/2010,0.3484,6/24/2010,0.59144,6/24/2010,2.1112,6/24/2010,0.7200,6/24/2010,1.37832,6/23/2011,0.3992,6/24/2010,0.44358,6/24/2010,0.88331,6/24/2010,0.56958,6/24/2010,0.2057,6/24/2010,0.57858,11/21/2012,0.28128,7/9/2012,0.19341,6/24/2010,0.55673,6/24/2010,0.75345,1/12/2012,0.8729,6/24/2010,0.23272,6/24/2010,0.34651,1/9/2013,0.2064,6/24/2010,0.61844,12/5/2012,0.4129,6/24/2010,0.09579,6/24/2010,0.34458,6/24/2010,1.12503,,,6/24/2010,0.18129,2/9/2012,0.11862,6/24/2010,1.22146,6/24/2010,0.66216,6/24/2010,0.17743
6/25/2010,0.9294,6/25/2010,1.2714,6/25/2010,0.66333,6/25/2010,2.7559,6/25/2010,1.07342,6/25/2010,0.9282,6/25/2010,0.4854,6/25/2010,0.9166,6/25/2010,0.3728,6/25/2010,0.3368,6/25/2010,0.58106,6/25/2010,2.0928,6/25/2010,0.7315,6/25/2010,1.34981,6/24/2011,0.4058,6/25/2010,0.44351,6/25/2010,0.85102,6/25/2010,0.55535,6/25/2010,0.2018,6/25/2010,0.55278,11/22/2012,0.289,7/10/2012,0.18956,6/25/2010,0.55921,6/25/2010,0.73789,1/13/2012,0.89098,6/25/2010,0.23011,6/25/2010,0.34002,1/10/2013,0.21157,6/25/2010,0.6042,12/6/2012,0.41548,6/25/2010,0.09449,6/25/2010,0.33552,6/25/2010,1.10555,,,6/25/2010,0.18255,2/10/2012,0.11606,6/25/2010,1.22125,6/25/2010,0.65562,6/25/2010,0.1774
6/28/2010,0.9291,6/28/2010,1.2928,6/28/2010,0.66566,6/28/2010,2.7897,6/28/2010,1.07046,6/28/2010,0.9253,6/28/2010,0.49528,6/28/2010,0.9201,6/28/2010,0.37652,6/28/2010,0.3380,6/28/2010,0.58985,6/28/2010,2.1666,6/28/2010,0.7055,6/28/2010,1.34932,6/27/2011,0.4045,6/28/2010,0.44849,6/28/2010,0.85328,6/28/2010,0.56029,6/28/2010,0.1979,6/28/2010,0.5423,11/23/2012,0.2929,7/11/2012,0.19343,6/28/2010,0.559,6/28/2010,0.73634,1/16/2012,0.8535,6/28/2010,0.22874,6/28/2010,0.33476,1/11/2013,0.2064,6/28/2010,0.59499,12/7/2012,0.42451,6/28/2010,0.09895,6/28/2010,0.32512,6/28/2010,1.12315,,,6/28/2010,0.18505,2/13/2012,0.11736,6/28/2010,1.24651,6/28/2010,0.6708,6/28/2010,0.18119
