,1800 HK Equity,,1186 HK Equity,,390 HK Equity,,2338 HK Equity,,1919 HK Equity,,177 HK Equity,,552 HK Equity,,576 HK Equity,,2866 HK Equity,,2357 HK Equity,,694 HK Equity,,3898 HK Equity,,1882 HK Equity,,1138 HK Equity,,1333 HK Equity,,2880 HK Equity,,3808 HK Equity,,107 HK Equity,,2382 HK Equity,,38 HK Equity,,1308 HK Equity,,2222 HK Equity,,995 HK Equity,,1133 HK Equity,,631 HK Equity,,598 HK Equity,,3339 HK Equity,,1101 HK Equity,,1893 HK Equity,,1685 HK Equity,,826 HK Equity,,187 HK Equity,,357 HK Equity,,6888 HK Equity,,3378 HK Equity,,1080 HK Equity,,1708 HK Equity,,569 HK Equity,,2345 HK Equity
9/4/2012,0.7529,9/4/2012,0.7878,9/4/2012,0.37647,9/4/2012,2.7204,9/4/2012,0.36615,9/4/2012,0.8084,9/4/2012,0.54407,9/4/2012,0.6575,9/4/2012,0.1805,9/4/2012,0.3584,9/4/2012,0.66655,9/4/2012,2.4084,9/4/2012,1.0172,9/4/2012,0.37002,,,9/4/2012,0.19468,9/4/2012,0.53118,9/4/2012,0.27977,9/4/2012,0.5222,9/4/2012,0.72457,,,,,9/4/2012,0.42159,9/4/2012,0.78904,,,9/4/2012,0.13408,9/4/2012,0.14827,,,9/4/2012,0.24109,,,9/4/2012,0.18308,9/4/2012,0.24496,9/4/2012,0.61241,,,9/4/2012,0.0967,,,9/4/2012,1.2622,9/4/2012,0.17147,9/4/2012,0.13151
9/5/2012,0.7477,9/5/2012,0.7735,9/5/2012,0.38159,9/5/2012,2.6685,9/5/2012,0.3558,9/5/2012,0.8044,9/5/2012,0.54144,9/5/2012,0.6562,9/5/2012,0.18306,9/5/2012,0.3532,9/5/2012,0.66906,9/5/2012,2.3823,9/5/2012,0.9991,9/5/2012,0.36483,,,9/5/2012,0.19208,9/5/2012,0.51952,9/5/2012,0.27459,9/5/2012,0.5118,9/5/2012,0.70258,,,,,9/5/2012,0.42026,9/5/2012,0.7593,,,9/5/2012,0.13278,9/5/2012,0.13794,,,9/5/2012,0.23076,,,9/5/2012,0.1779,9/5/2012,0.23205,9/5/2012,0.59301,,,9/5/2012,0.09669,,,9/5/2012,1.25047,9/5/2012,0.1663,9/5/2012,0.12763
9/6/2012,0.7568,9/6/2012,0.8238,9/6/2012,0.40868,9/6/2012,2.7009,9/6/2012,0.36098,9/6/2012,0.8032,9/6/2012,0.53374,9/6/2012,0.6549,9/6/2012,0.19467,9/6/2012,0.3584,9/6/2012,0.68845,9/6/2012,2.5217,9/6/2012,0.9850,9/6/2012,0.3713,,,9/6/2012,0.19081,9/6/2012,0.54019,9/6/2012,0.27976,9/6/2012,0.5221,9/6/2012,0.73228,,,,,9/6/2012,0.42287,9/6/2012,0.76064,,,9/6/2012,0.13408,9/6/2012,0.13021,,,9/6/2012,0.23593,,,9/6/2012,0.17662,9/6/2012,0.23851,9/6/2012,0.60207,,,9/6/2012,0.09669,,,9/6/2012,1.25055,9/6/2012,0.18952,9/6/2012,0.12763
9/7/2012,0.8033,9/7/2012,0.8587,9/7/2012,0.41517,9/7/2012,2.9397,9/7/2012,0.36875,9/7/2012,0.8123,9/7/2012,0.54152,9/7/2012,0.6705,9/7/2012,0.20243,9/7/2012,0.3688,9/7/2012,0.68077,9/7/2012,2.7141,9/7/2012,1.0237,9/7/2012,0.39325,,,9/7/2012,0.19598,9/7/2012,0.56731,9/7/2012,0.28366,9/7/2012,0.5157,9/7/2012,0.76071,,,,,9/7/2012,0.43322,9/7/2012,0.80842,,,9/7/2012,0.13667,9/7/2012,0.15601,,,9/7/2012,0.25916,,,9/7/2012,0.1818,9/7/2012,0.24497,9/7/2012,0.61373,,,9/7/2012,0.10057,,,9/7/2012,1.25066,9/7/2012,0.20243,9/7/2012,0.12893
9/10/2012,0.8330,9/10/2012,0.8820,9/10/2012,0.41778,9/10/2012,3.0818,9/10/2012,0.37652,9/10/2012,0.8343,9/10/2012,0.54543,9/10/2012,0.6615,9/10/2012,0.19986,9/10/2012,0.3688,9/10/2012,0.6589,9/10/2012,2.7465,9/10/2012,1.0251,9/10/2012,0.40617,,,9/10/2012,0.19213,9/10/2012,0.57509,9/10/2012,0.28368,9/10/2012,0.5209,9/10/2012,0.76335,,,,,9/10/2012,0.41907,9/10/2012,0.82008,,,9/10/2012,0.14184,9/10/2012,0.17021,,,9/10/2012,0.25531,,,9/10/2012,0.18697,9/10/2012,0.24241,9/10/2012,0.61119,,,9/10/2012,0.10058,,,9/10/2012,1.25076,9/10/2012,0.21534,9/10/2012,0.12894
9/11/2012,0.8202,9/11/2012,0.8756,9/11/2012,0.41783,9/11/2012,3.0822,9/11/2012,0.3727,9/11/2012,0.8202,9/11/2012,0.54035,9/11/2012,0.6680,9/11/2012,0.19215,9/11/2012,0.3650,9/11/2012,0.67189,9/11/2012,2.6566,9/11/2012,1.0188,9/11/2012,0.38688,,,9/11/2012,0.19086,9/11/2012,0.57388,9/11/2012,0.27856,9/11/2012,0.5391,9/11/2012,0.74797,,,,,9/11/2012,0.42299,9/11/2012,0.81503,,,9/11/2012,0.13928,9/11/2012,0.16765,,,9/11/2012,0.25276,,,9/11/2012,0.1857,9/11/2012,0.25276,9/11/2012,0.61256,,,9/11/2012,0.0993,,,9/11/2012,1.25092,9/11/2012,0.21536,9/11/2012,0.12767
9/12/2012,0.8163,9/12/2012,0.8885,9/12/2012,0.4217,9/12/2012,3.1015,9/12/2012,0.37398,9/12/2012,0.8382,9/12/2012,0.55066,9/12/2012,0.6719,9/12/2012,0.19602,9/12/2012,0.3830,9/12/2012,0.68477,9/12/2012,2.7726,9/12/2012,1.0085,9/12/2012,0.39977,,,9/12/2012,0.19473,9/12/2012,0.57903,9/12/2012,0.28242,9/12/2012,0.5829,9/12/2012,0.75183,,,,,9/12/2012,0.42814,9/12/2012,0.81115,,,9/12/2012,0.14185,9/12/2012,0.17796,,,9/12/2012,0.25534,,,9/12/2012,0.18828,9/12/2012,0.26308,9/12/2012,0.61642,,,9/12/2012,0.10317,,,9/12/2012,1.26122,9/12/2012,0.21923,9/12/2012,0.12767
9/13/2012,0.8073,9/13/2012,0.8899,9/13/2012,0.43332,9/13/2012,2.9984,9/13/2012,0.37271,9/13/2012,0.8499,9/13/2012,0.56099,9/13/2012,0.6616,9/13/2012,0.20247,9/13/2012,0.3921,9/13/2012,0.68996,9/13/2012,2.7469,9/13/2012,1.0175,9/13/2012,0.39205,,,9/13/2012,0.19603,9/13/2012,0.57776,9/13/2012,0.27727,9/13/2012,0.5662,9/13/2012,0.7467,,,,,9/13/2012,0.42687,9/13/2012,0.80989,,,9/13/2012,0.14186,9/13/2012,0.17281,,,9/13/2012,0.25148,,,9/13/2012,0.19087,9/13/2012,0.25664,9/13/2012,0.61645,,,9/13/2012,0.10188,,,9/13/2012,1.26127,9/13/2012,0.21666,9/13/2012,0.12767
9/14/2012,0.8475,9/14/2012,0.8940,9/14/2012,0.44117,9/14/2012,3.1217,9/14/2012,0.40505,9/14/2012,0.8553,9/14/2012,0.57533,9/14/2012,0.6656,9/14/2012,0.21672,9/14/2012,0.3986,9/14/2012,0.69401,9/14/2012,2.8057,9/14/2012,1.0126,9/14/2012,0.42182,,,9/14/2012,0.20124,9/14/2012,0.58565,9/14/2012,0.2825,9/14/2012,0.5869,9/14/2012,0.76237,,,,,9/14/2012,0.43859,9/14/2012,0.83203,,,9/14/2012,0.14448,9/14/2012,0.17415,,,9/14/2012,0.26831,,,9/14/2012,0.19479,9/14/2012,0.25283,9/14/2012,0.63854,,,9/14/2012,0.10449,,,9/14/2012,1.27578,9/14/2012,0.21801,9/14/2012,0.13029
9/17/2012,0.8514,9/17/2012,0.9004,9/17/2012,0.44117,9/17/2012,3.1733,9/17/2012,0.40118,9/17/2012,0.8604,9/17/2012,0.58952,9/17/2012,0.6734,9/17/2012,0.21414,9/17/2012,0.3999,9/17/2012,0.69659,9/17/2012,2.8508,9/17/2012,1.0320,9/17/2012,0.42569,,,9/17/2012,0.19866,9/17/2012,0.58178,9/17/2012,0.2825,9/17/2012,0.5663,9/17/2012,0.78817,,,,,9/17/2012,0.43343,9/17/2012,0.84493,,,9/17/2012,0.1419,9/17/2012,0.17415,,,9/17/2012,0.26315,,,9/17/2012,0.18576,9/17/2012,0.25154,9/17/2012,0.62048,,,9/17/2012,0.1032,,,9/17/2012,1.27578,9/17/2012,0.2064,9/17/2012,0.129
