,9531 JP Equity,,9503 JP Equity,,9502 JP Equity,,9501 JP Equity,,9532 JP Equity,,9508 JP Equity,,9506 JP Equity,,9504 JP Equity,,9513 JP Equity,,9507 JP Equity,,9505 JP Equity,,9509 JP Equity,,9533 JP Equity,,8088 JP Equity,,9536 JP Equity,,9793 JP Equity,,9511 JP Equity,,8174 JP Equity,,9543 JP Equity,,6332 JP Equity,,9539 JP Equity,,9534 JP Equity,,9535 JP Equity,,7568 JP Equity,,9537 JP Equity,,9540 JP Equity,,2766 JP Equity,,3361 JP Equity,,9541 JP Equity,,9818 JP Equity,,1981 JP Equity,,1783 JP Equity,,9542 JP Equity,,1875 JP Equity,,1844 JP Equity,,9544 JP Equity
5/27/2009,3.7158,5/27/2009,21.6842,5/27/2009,22.3158,5/27/2009,25.2105,5/27/2009,3.1684,5/27/2009,21.0526,5/27/2009,20.7895,5/27/2009,20.9474,5/27/2009,29.2105,5/27/2009,28.2105,5/27/2009,23.579,5/27/2009,18.9368,5/27/2009,4.1579,5/27/2009,2.7895,5/27/2009,2.6316,5/27/2009,19.7368,5/27/2009,54.7368,5/27/2009,15.3263,5/27/2009,5.3579,5/27/2009,5.3895,12/24/2009,4.5832,5/27/2009,2.5579,9/8/2009,2.452,6/8/2010,8.7466,8/24/2009,3.1002,9/16/2009,2.5102,5/27/2009,3231.579,8/12/2009,2.6111,5/7/2010,5.6713,9/17/2009,6.3883,4/28/2010,3.6671,6/2/2009,0.4701,12/15/2009,3.0829,5/27/2009,2.6316,5/27/2009,0.1684,2/1/2011,3.9936
5/28/2009,3.6094,5/28/2009,21.2953,5/28/2009,21.8109,5/28/2009,24.6468,5/28/2009,3.1144,5/28/2009,20.5734,5/28/2009,20.1609,5/28/2009,20.3981,5/28/2009,28.2562,5/28/2009,27.7921,5/28/2009,22.9452,5/28/2009,18.5109,5/28/2009,4.0425,5/28/2009,2.7947,5/28/2009,2.5987,5/28/2009,19.6556,5/28/2009,52.3873,5/28/2009,15.0562,5/28/2009,5.2594,5/28/2009,5.3006,12/25/2009,4.4758,5/28/2009,2.5369,9/9/2009,2.4581,6/9/2010,8.738,8/25/2009,3.0875,9/18/2009,2.509,5/28/2009,3454.6767,8/13/2009,2.6316,5/10/2010,5.5651,9/18/2009,6.4424,4/30/2010,3.7218,6/3/2009,0.5001,12/22/2009,3.0207,5/28/2009,2.5781,5/28/2009,0.1547,2/2/2011,3.9794
5/29/2009,3.6510,5/29/2009,21.6550,5/29/2009,22.1781,5/29/2009,25.0026,5/29/2009,3.1489,5/29/2009,20.9227,5/29/2009,20.3892,5/29/2009,20.5356,5/29/2009,28.4026,5/29/2009,28.0887,5/29/2009,23.1719,5/29/2009,18.7781,5/29/2009,4.0695,5/29/2009,2.7618,5/29/2009,2.5735,5/29/2009,19.5941,5/29/2009,52.7252,5/29/2009,14.761,5/29/2009,5.3144,5/29/2009,5.3981,12/29/2009,4.3445,5/29/2009,2.5317,9/10/2009,2.4613,6/10/2010,8.7744,8/26/2009,3.0756,9/24/2009,2.5003,5/29/2009,3943.9272,8/14/2009,2.6591,5/11/2010,5.4368,9/24/2009,6.5029,5/6/2010,3.794,6/4/2009,0.4972,12/25/2009,3.0204,5/29/2009,2.6676,5/29/2009,0.1778,2/3/2011,4.0025
6/1/2009,3.6143,6/1/2009,21.6446,6/1/2009,22.4731,6/1/2009,24.855,6/1/2009,3.1276,6/1/2009,20.9714,6/1/2009,20.35,6/1/2009,20.495,6/1/2009,28.2208,6/1/2009,27.9619,6/1/2009,22.9391,6/1/2009,18.7863,6/1/2009,4.0597,6/1/2009,2.7133,6/1/2009,2.5891,6/1/2009,19.4905,6/1/2009,51.1599,6/1/2009,14.478,6/1/2009,5.2713,6/1/2009,5.6649,1/18/2010,4.3766,6/1/2009,2.5166,9/11/2009,2.4978,6/11/2010,8.7227,8/27/2009,3.0763,9/25/2009,2.5613,6/1/2009,3790.3894,8/17/2009,2.6701,5/12/2010,5.4208,9/25/2009,6.6592,5/7/2010,3.8172,6/5/2009,0.4989,12/28/2009,3.0141,6/1/2009,2.6409,6/1/2009,0.1761,2/4/2011,3.9791
6/2/2009,3.6143,6/2/2009,21.5711,6/2/2009,22.5112,6/2/2009,24.9138,6/2/2009,3.1547,6/2/2009,20.9966,6/2/2009,20.422,6/2/2009,20.5265,6/2/2009,28.361,6/2/2009,28.2043,6/2/2009,22.9291,6/2/2009,18.8656,6/2/2009,4.1471,6/2/2009,2.7682,6/2/2009,2.6324,6/2/2009,20.1713,6/2/2009,51.3946,6/2/2009,14.5409,6/2/2009,5.223,6/2/2009,5.8707,1/19/2010,4.3598,6/2/2009,2.5488,9/14/2009,2.4873,6/14/2010,8.7075,8/28/2009,3.0779,9/28/2009,2.5718,6/2/2009,3927.7134,8/18/2009,2.6488,5/13/2010,5.4418,9/28/2009,6.4967,5/10/2010,3.753,6/8/2009,0.5691,12/29/2009,2.9977,6/2/2009,2.6637,6/2/2009,0.1671,2/7/2011,3.8336
6/3/2009,3.6045,6/3/2009,21.5127,6/3/2009,22.3461,6/3/2009,24.8984,6/3/2009,3.1774,6/3/2009,20.8876,6/3/2009,20.1271,6/3/2009,20.325,6/3/2009,28.0758,6/3/2009,28.1279,6/3/2009,22.7628,6/3/2009,18.6061,6/3/2009,4.1046,6/3/2009,2.792,6/3/2009,2.594,6/3/2009,21.6168,6/3/2009,51.047,6/3/2009,14.5328,6/3/2009,5.3026,6/3/2009,5.7506,1/20/2010,4.3526,6/3/2009,2.5315,9/15/2009,2.4973,6/15/2010,8.7437,9/1/2009,3.1475,9/29/2009,2.5499,6/3/2009,3958.7457,8/19/2009,2.6532,5/14/2010,5.1992,9/29/2009,6.4856,5/11/2010,3.7821,6/9/2009,0.533,12/30/2009,2.9877,6/3/2009,2.6565,6/3/2009,0.1667,2/8/2011,3.9053
6/4/2009,3.6044,6/4/2009,21.3361,6/4/2009,22.2683,6/4/2009,24.6504,6/4/2009,3.1797,6/4/2009,20.7664,6/4/2009,19.9586,6/4/2009,20.0725,6/4/2009,27.913,6/4/2009,27.913,6/4/2009,22.7343,6/4/2009,18.3739,6/4/2009,4.0601,6/4/2009,2.7551,6/4/2009,2.5893,6/4/2009,23.0968,6/4/2009,50.4402,6/4/2009,14.407,6/4/2009,5.2926,6/4/2009,5.8208,1/21/2010,4.4238,6/4/2009,2.5168,9/16/2009,2.5322,6/16/2010,8.7428,9/2/2009,3.1474,9/30/2009,2.5535,6/4/2009,4142.9311,8/20/2009,2.6344,5/17/2010,5.0586,10/5/2009,6.3804,5/12/2010,3.7785,6/10/2009,0.5294,1/4/2010,2.9777,6/4/2009,2.6411,6/4/2009,0.1657,2/9/2011,3.8728
6/5/2009,3.5227,6/5/2009,20.9733,6/5/2009,21.8896,6/5/2009,24.2822,6/5/2009,3.1256,6/5/2009,20.3116,6/5/2009,19.6192,6/5/2009,19.721,6/5/2009,27.133,6/5/2009,27.4384,6/5/2009,22.246,6/5/2009,18.1226,6/5/2009,4.0521,6/5/2009,2.698,6/5/2009,2.5249,6/5/2009,21.8387,6/5/2009,48.5645,6/5/2009,14.0603,6/5/2009,5.1212,6/5/2009,5.6811,1/22/2010,4.4444,6/5/2009,2.4842,9/17/2009,2.5203,6/17/2010,8.8115,9/3/2009,3.1226,10/1/2009,2.5753,6/5/2009,4113.2152,8/21/2009,2.6655,5/18/2010,4.9611,10/6/2009,6.4189,5/13/2010,3.7931,6/11/2009,0.5109,1/7/2010,2.8982,6/5/2009,2.5962,6/5/2009,0.1731,2/10/2011,3.8337
6/8/2009,3.5468,6/8/2009,20.7825,6/8/2009,21.6972,6/8/2009,24.2378,6/8/2009,3.1504,6/8/2009,20.2744,6/8/2009,19.5325,6/8/2009,19.624,6/8/2009,26.7785,6/8/2009,27.185,6/8/2009,21.9512,6/8/2009,18.0691,6/8/2009,4.0142,6/8/2009,2.6626,6/8/2009,2.5203,6/8/2009,21.4431,6/8/2009,49.2886,6/8/2009,14.0549,6/8/2009,5.1016,6/8/2009,5.6504,1/25/2010,4.3883,6/8/2009,2.4797,9/18/2009,2.52,6/18/2010,8.8203,9/4/2009,3.0443,10/2/2009,2.5984,6/8/2009,4512.1951,8/24/2009,2.6452,5/19/2010,4.982,10/7/2009,6.2043,5/14/2010,3.8207,6/12/2009,0.4987,1/14/2010,2.9648,6/8/2009,2.5915,6/8/2009,0.1728,2/14/2011,3.8314
6/9/2009,3.5154,6/9/2009,20.9081,6/9/2009,21.933,6/9/2009,24.3927,6/9/2009,3.1465,6/9/2009,20.4879,6/9/2009,19.6577,6/9/2009,19.8832,6/9/2009,26.6988,6/9/2009,27.5187,6/9/2009,22.138,6/9/2009,18.2638,6/9/2009,4.0176,6/9/2009,2.6648,6/9/2009,2.5418,6/9/2009,21.3693,6/9/2009,50.0154,6/9/2009,14.0925,6/9/2009,5.0733,6/9/2009,5.6575,1/29/2010,4.2993,6/9/2009,2.511,9/24/2009,2.5003,6/21/2010,8.7912,9/7/2009,2.9814,10/5/2009,2.5767,6/9/2009,4427.5905,8/25/2009,2.7586,5/20/2010,5.1024,10/9/2009,6.4832,5/17/2010,3.8211,6/15/2009,0.5611,1/25/2010,2.9699,6/9/2009,2.6648,6/9/2009,0.164,2/15/2011,3.7621
