,9531 JP Equity,,9503 JP Equity,,9502 JP Equity,,9501 JP Equity,,9532 JP Equity,,9508 JP Equity,,9506 JP Equity,,9504 JP Equity,,9513 JP Equity,,9507 JP Equity,,9505 JP Equity,,9509 JP Equity,,9533 JP Equity,,8088 JP Equity,,9536 JP Equity,,9793 JP Equity,,9511 JP Equity,,8174 JP Equity,,9543 JP Equity,,6332 JP Equity,,9539 JP Equity,,9534 JP Equity,,9535 JP Equity,,7568 JP Equity,,9537 JP Equity,,9540 JP Equity,,2766 JP Equity,,3361 JP Equity,,9541 JP Equity,,9818 JP Equity,,1981 JP Equity,,1783 JP Equity,,9542 JP Equity,,1875 JP Equity,,1844 JP Equity,,9544 JP Equity
6/24/2010,4.6381,6/24/2010,23.9525,6/24/2010,24.4118,6/24/2010,27.1678,6/24/2010,3.585,6/24/2010,22.2272,6/24/2010,21.3982,6/24/2010,20.4123,6/24/2010,31.4363,6/24/2010,28.2882,6/24/2010,21.7119,6/24/2010,21.4206,6/24/2010,5.3103,6/24/2010,2.9353,6/24/2010,2.7224,6/24/2010,21.1629,6/24/2010,49.2942,6/24/2010,15.9758,6/24/2010,6.6995,6/24/2010,7.2373,5/24/2011,4.5449,6/24/2010,2.7224,1/12/2011,2.7414,7/5/2011,12.9406,11/1/2010,2.4932,1/5/2011,2.6076,6/24/2010,630.7417,9/9/2010,2.8636,2/1/2012,5.1134,2/9/2011,7.527,5/31/2011,4.8808,6/30/2010,0.2709,9/22/2011,4.4195,6/24/2010,2.5207,6/24/2010,0.1569,7/12/2012,3.5935
6/25/2010,4.6243,6/25/2010,24.2750,6/25/2010,24.5437,6/25/2010,27.2198,6/25/2010,3.6054,6/25/2010,22.3379,6/25/2010,21.4982,6/25/2010,20.5128,6/25/2010,32.0681,6/25/2010,28.6418,6/25/2010,21.9572,6/25/2010,21.5429,6/25/2010,5.3186,6/25/2010,2.9224,6/25/2010,2.7209,6/25/2010,21.0839,6/25/2010,49.5465,6/25/2010,15.6198,6/25/2010,6.5614,6/25/2010,7.1996,5/25/2011,4.4656,6/25/2010,2.7321,1/13/2011,2.7566,7/6/2011,12.9726,11/2/2010,2.5273,1/6/2011,2.6338,6/25/2010,665.0991,9/10/2010,2.8381,2/2/2012,5.1996,2/10/2011,7.5111,6/1/2011,4.9067,7/1/2010,0.2855,9/26/2011,4.4206,6/25/2010,2.5305,6/25/2010,0.1568,7/13/2012,3.4849
6/28/2010,4.5968,6/28/2010,24.2143,6/28/2010,24.6952,6/28/2010,27.3236,6/28/2010,3.6126,6/28/2010,22.3689,6/28/2010,21.5524,6/28/2010,20.6576,6/28/2010,32.077,6/28/2010,28.744,6/28/2010,21.9439,6/28/2010,21.5748,6/28/2010,5.3238,6/28/2010,2.9303,6/28/2010,2.7402,6/28/2010,20.7471,6/28/2010,52.3991,6/28/2010,15.5799,6/28/2010,6.733,6/28/2010,6.9903,5/26/2011,4.4242,6/28/2010,2.6955,1/14/2011,2.7486,7/7/2011,12.9279,11/4/2010,2.5282,1/12/2011,2.5971,6/28/2010,776.1995,9/13/2010,2.8923,2/3/2012,5.1332,2/14/2011,7.4586,6/2/2011,4.9103,7/2/2010,0.2852,9/27/2011,4.9367,6/28/2010,2.5165,6/28/2010,0.179,7/17/2012,3.5638
6/29/2010,4.6737,6/29/2010,24.4186,6/29/2010,24.9492,6/29/2010,27.557,6/29/2010,3.6577,6/29/2010,22.5333,6/29/2010,21.7318,6/29/2010,20.7948,6/29/2010,32.3662,6/29/2010,28.9569,6/29/2010,22.1156,6/29/2010,21.8108,6/29/2010,5.4188,6/29/2010,2.9239,6/29/2010,2.7884,6/29/2010,20.3206,6/29/2010,52.3256,6/29/2010,15.5679,6/29/2010,6.8074,6/29/2010,7.2025,5/27/2011,4.5556,6/29/2010,2.7546,1/17/2011,2.8288,7/8/2011,13.0176,11/5/2010,2.4828,1/13/2011,2.6115,6/29/2010,733.8,9/14/2010,2.988,2/6/2012,5.0934,2/15/2011,7.4048,6/3/2011,4.9458,7/5/2010,0.2735,9/28/2011,4.9392,6/29/2010,2.5401,6/29/2010,0.1693,7/18/2012,3.5769
6/30/2010,4.5721,6/30/2010,24.3960,6/30/2010,24.8589,6/30/2010,27.2183,6/30/2010,3.6126,6/30/2010,22.4656,6/30/2010,21.506,6/30/2010,20.648,6/30/2010,31.7679,6/30/2010,28.6295,6/30/2010,21.9688,6/30/2010,21.5624,6/30/2010,5.3511,6/30/2010,2.7772,6/30/2010,2.811,6/30/2010,20.9415,6/30/2010,50.7451,6/30/2010,15.5904,6/30/2010,6.8187,6/30/2010,7.0332,5/31/2011,4.5734,6/30/2010,2.7433,1/18/2011,2.755,7/11/2011,13.0711,11/8/2010,2.488,1/14/2011,2.604,6/30/2010,743.9603,9/15/2010,2.8575,2/7/2012,5.0865,2/16/2011,7.4065,6/6/2011,4.952,7/6/2010,0.2859,9/29/2011,4.927,6/30/2010,2.5401,6/30/2010,0.1693,7/20/2012,3.515
7/1/2010,4.6015,7/1/2010,24.4234,7/1/2010,25.0286,7/1/2010,27.4834,7/1/2010,3.6424,7/1/2010,22.5622,7/1/2010,21.7401,7/1/2010,20.7011,7/1/2010,32.359,7/1/2010,29.0363,7/1/2010,22.0598,7/1/2010,21.7059,7/1/2010,5.3551,7/1/2010,2.7974,7/1/2010,2.8431,7/1/2010,20.9066,7/1/2010,51.2103,7/1/2010,14.9235,7/1/2010,6.908,7/1/2010,7.0907,6/8/2011,4.6707,7/1/2010,2.7632,1/19/2011,2.8442,7/12/2011,13.1993,11/9/2010,2.5015,1/17/2011,2.6354,7/1/2010,759.3058,9/16/2010,2.9048,2/8/2012,5.1935,2/17/2011,7.3838,6/7/2011,4.9532,7/7/2010,0.2752,10/3/2011,4.9289,7/1/2010,2.5234,7/1/2010,0.1599,7/25/2012,3.5157
7/2/2010,4.5626,7/2/2010,24.4211,7/2/2010,25.0257,7/2/2010,27.364,7/2/2010,3.6501,7/2/2010,22.6075,7/2/2010,21.6836,7/2/2010,20.7369,7/2/2010,32.6109,7/2/2010,29.2118,7/2/2010,21.9688,7/2/2010,21.6836,7/2/2010,5.3838,7/2/2010,2.8288,7/2/2010,2.7946,7/2/2010,21.5125,7/2/2010,52.2414,7/2/2010,14.9082,7/2/2010,6.9465,7/2/2010,7.186,6/15/2011,4.6782,7/2/2010,2.7489,1/20/2011,2.8234,7/13/2011,13.2895,11/10/2010,2.4718,1/18/2011,2.61,7/2/2010,759.6669,9/17/2010,2.9494,2/9/2012,5.1593,2/18/2011,7.4564,6/8/2011,4.9712,7/8/2010,0.2715,10/11/2011,4.927,7/2/2010,2.5094,7/2/2010,0.1597,7/26/2012,3.5003
7/5/2010,4.5584,7/5/2010,24.3191,7/5/2010,25.0484,7/5/2010,27.3732,7/5/2010,3.6467,7/5/2010,22.6439,7/5/2010,21.7208,7/5/2010,20.7749,7/5/2010,32.114,7/5/2010,29.1054,7/5/2010,22.0513,7/5/2010,21.7094,7/5/2010,5.3561,7/5/2010,2.8376,7/5/2010,2.7806,7/5/2010,22.0513,7/5/2010,51.9658,7/5/2010,15.7379,7/5/2010,7.0541,7/5/2010,6.9972,6/16/2011,4.8315,7/5/2010,2.7692,1/21/2011,2.8413,7/14/2011,13.2777,11/11/2010,2.4612,1/19/2011,2.6489,7/5/2010,849.0029,9/21/2010,2.9398,2/10/2012,5.1411,2/21/2011,7.3989,6/9/2011,4.9563,7/9/2010,0.2599,10/24/2011,4.7557,7/5/2010,2.4501,7/5/2010,0.1595,7/27/2012,3.5001
7/6/2010,4.5751,7/6/2010,24.5339,7/6/2010,25.1859,7/6/2010,27.6107,7/6/2010,3.6944,7/6/2010,22.8183,7/6/2010,21.9147,7/6/2010,20.9425,7/6/2010,32.5174,7/6/2010,29.5665,7/6/2010,22.2349,7/6/2010,21.9261,7/6/2010,5.4215,7/6/2010,2.8709,7/6/2010,2.7908,7/6/2010,21.8461,7/6/2010,52.3276,7/6/2010,15.9328,7/6/2010,7.1257,7/6/2010,7.0685,6/20/2011,4.8598,7/6/2010,2.7908,1/24/2011,2.8994,7/15/2011,12.5285,11/12/2010,2.4582,1/20/2011,2.6303,7/6/2010,1017.9572,9/22/2010,2.9137,2/13/2012,5.1038,2/22/2011,7.4374,6/10/2011,4.9421,7/12/2010,0.2711,10/26/2011,4.7594,7/6/2010,2.4591,7/6/2010,0.1601,7/30/2012,3.5281
7/7/2010,4.5752,7/7/2010,24.6073,7/7/2010,25.3526,7/7/2010,27.9096,7/7/2010,3.7037,7/7/2010,22.979,7/7/2010,22.0502,7/7/2010,21.087,7/7/2010,32.6683,7/7/2010,29.7558,7/7/2010,22.3713,7/7/2010,22.0846,7/7/2010,5.3549,7/7/2010,2.8552,7/7/2010,2.7749,7/7/2010,21.7521,7/7/2010,52.6316,7/7/2010,15.6519,7/7/2010,7.1666,7/7/2010,7.0175,6/21/2011,4.917,7/7/2010,2.7749,1/25/2011,2.9008,7/19/2011,12.5412,11/15/2010,2.4523,1/21/2011,2.6357,7/7/2010,1169.5906,9/24/2010,2.8568,2/14/2012,5.1007,2/23/2011,7.514,6/13/2011,4.9489,7/13/2010,0.2605,10/27/2011,4.7751,7/7/2010,2.4195,7/7/2010,0.1605,7/31/2012,3.4425
7/8/2010,4.5588,7/8/2010,24.4796,7/8/2010,25.362,7/8/2010,27.7149,7/8/2010,3.6878,7/8/2010,22.9072,7/8/2010,21.8891,7/8/2010,21.0294,7/8/2010,32.6697,7/8/2010,29.7511,7/8/2010,22.2511,7/8/2010,21.957,7/8/2010,5.362,7/8/2010,2.8394,7/8/2010,2.7715,7/8/2010,21.2443,7/8/2010,52.4887,7/8/2010,15.7692,7/8/2010,6.957,7/8/2010,6.9683,6/22/2011,4.9657,7/8/2010,2.7489,1/26/2011,2.9112,7/20/2011,12.5682,11/16/2010,2.4323,1/25/2011,2.6217,7/8/2010,1052.0362,9/27/2010,2.8395,2/15/2012,5.0925,2/24/2011,7.5813,6/14/2011,4.9305,7/14/2010,0.2488,10/31/2011,4.5414,7/8/2010,2.3869,7/8/2010,0.1697,8/2/2012,3.476
7/9/2010,4.4972,7/9/2010,24.2825,7/9/2010,25.1977,7/9/2010,27.6271,7/9/2010,3.661,7/9/2010,22.7119,7/9/2010,21.7062,7/9/2010,20.8362,7/9/2010,32.4068,7/9/2010,29.5254,7/9/2010,22.113,7/9/2010,21.7514,7/9/2010,5.2994,7/9/2010,2.8701,7/9/2010,2.7797,7/9/2010,21.6158,7/9/2010,52.0339,7/9/2010,15.7175,7/9/2010,6.8136,7/9/2010,7.0509,6/23/2011,4.9559,7/9/2010,2.7458,1/27/2011,2.894,7/21/2011,12.2293,11/17/2010,2.427,1/26/2011,2.6201,7/9/2010,912.9944,9/28/2010,2.8541,2/16/2012,5.0418,2/25/2011,7.4337,6/15/2011,4.9134,7/15/2010,0.2516,11/1/2011,4.4706,7/9/2010,2.3842,7/9/2010,0.1695,8/7/2012,3.4689
7/12/2010,4.4397,7/12/2010,23.9720,7/12/2010,24.887,7/12/2010,27.2594,7/12/2010,3.5924,7/12/2010,22.3678,7/12/2010,21.4754,7/12/2010,20.6055,7/12/2010,31.7216,7/12/2010,29.1911,7/12/2010,21.8256,7/12/2010,21.4641,7/12/2010,5.2192,7/12/2010,2.892,7/12/2010,2.8016,7/12/2010,21.3511,7/12/2010,50.7795,7/12/2010,15.5445,7/12/2010,6.6087,7/12/2010,6.9589,6/24/2011,4.9639,7/12/2010,2.7451,1/28/2011,2.934,7/22/2011,12.234,11/18/2010,2.4402,1/27/2011,2.5926,7/12/2010,890.1943,9/29/2010,2.8582,2/17/2012,5.0737,2/28/2011,7.4527,6/16/2011,4.9182,7/16/2010,0.254,11/8/2011,4.4993,7/12/2010,2.3836,7/12/2010,0.1695,8/8/2012,3.4927
7/13/2010,4.4394,7/13/2010,23.9071,7/13/2010,24.8811,7/13/2010,27.1234,7/13/2010,3.59,7/13/2010,22.3556,7/13/2010,21.4949,7/13/2010,20.5436,7/13/2010,31.6761,7/13/2010,29.1733,7/13/2010,21.8007,7/13/2010,21.427,7/13/2010,5.1755,7/13/2010,2.8539,7/13/2010,2.786,7/13/2010,21.0646,7/13/2010,51.4723,7/13/2010,15.7305,7/13/2010,6.5232,7/13/2010,6.7384,6/27/2011,5.228,7/13/2010,2.752,1/31/2011,2.9767,7/25/2011,13.2755,11/19/2010,2.4659,1/28/2011,2.6175,7/13/2010,849.3771,9/30/2010,2.8517,2/20/2012,5.0522,3/1/2011,7.3662,6/17/2011,4.9526,7/20/2010,0.2293,11/10/2011,4.5086,7/13/2010,2.3896,7/13/2010,0.1699,8/9/2012,3.3804
7/14/2010,4.3990,7/14/2010,23.9172,7/14/2010,24.8332,7/14/2010,27.321,7/14/2010,3.5621,7/14/2010,22.3906,7/14/2010,21.4972,7/14/2010,20.5586,7/14/2010,31.72,7/14/2010,29.3566,7/14/2010,21.893,7/14/2010,21.3163,7/14/2010,5.2019,7/14/2010,2.8723,7/14/2010,2.7592,7/14/2010,20.536,7/14/2010,51.1139,7/14/2010,15.6282,7/14/2010,6.4345,7/14/2010,6.7059,6/28/2011,5.2125,7/14/2010,2.7592,2/1/2011,2.9368,7/26/2011,13.4495,11/22/2010,2.4452,1/31/2011,2.6229,7/14/2010,853.7827,10/1/2010,2.914,2/21/2012,5.0546,3/2/2011,7.3852,6/20/2011,4.947,7/21/2010,0.2407,11/15/2011,4.5437,7/14/2010,2.3861,7/14/2010,0.1696,8/10/2012,3.5012
7/15/2010,4.4597,7/15/2010,23.8651,7/15/2010,24.8485,7/15/2010,27.0783,7/15/2010,3.5906,7/15/2010,22.3213,7/15/2010,21.3608,7/15/2010,20.4688,7/15/2010,31.3894,7/15/2010,29.251,7/15/2010,21.6581,7/15/2010,21.315,7/15/2010,5.1801,7/15/2010,2.8588,7/15/2010,2.7787,7/15/2010,20.8005,7/15/2010,51.4008,7/15/2010,15.5746,7/15/2010,6.4151,7/15/2010,6.5981,6/29/2011,5.1961,7/15/2010,2.7559,2/2/2011,2.9876,7/27/2011,13.4409,11/24/2010,2.4589,2/1/2011,2.6665,7/15/2010,855.3459,10/4/2010,2.9867,2/22/2012,5.0137,3/3/2011,7.2902,6/21/2011,4.9545,7/22/2010,0.2297,11/17/2011,4.6753,7/15/2010,2.4128,7/15/2010,0.1715,8/13/2012,3.5491
7/16/2010,4.5135,7/16/2010,24.0563,7/16/2010,25.0952,7/16/2010,27.4616,7/16/2010,3.6477,7/16/2010,22.5672,7/16/2010,21.5168,7/16/2010,20.7319,7/16/2010,31.548,7/16/2010,29.6549,7/16/2010,22.0132,7/16/2010,21.563,7/16/2010,5.2291,7/16/2010,2.8628,7/16/2010,2.7935,7/16/2010,20.7434,7/16/2010,51.6565,7/16/2010,15.2141,7/16/2010,6.395,7/16/2010,6.522,6/30/2011,5.2135,7/16/2010,2.782,2/3/2011,3.008,7/28/2011,13.4875,11/25/2010,2.4755,2/2/2011,2.657,7/16/2010,1036.5924,10/5/2010,2.8829,2/24/2012,5.1076,3/4/2011,7.3017,6/22/2011,4.9782,7/23/2010,0.2521,11/18/2011,4.6796,7/16/2010,2.3895,7/16/2010,0.1616,8/14/2012,3.5297
7/20/2010,4.5168,7/20/2010,24.0743,7/20/2010,24.8538,7/20/2010,27.4676,7/20/2010,3.6341,7/20/2010,22.5267,7/20/2010,21.4376,7/20/2010,20.6351,7/20/2010,31.8698,7/20/2010,29.7146,7/20/2010,22.1254,7/20/2010,21.5752,7/20/2010,5.2046,7/20/2010,2.8087,7/20/2010,2.7857,7/20/2010,20.4861,7/20/2010,51.3585,7/20/2010,14.7885,7/20/2010,6.7867,7/20/2010,6.3052,7/7/2011,4.8757,7/20/2010,2.7972,2/4/2011,2.948,7/29/2011,13.6046,11/26/2010,2.4753,2/3/2011,2.6519,7/20/2010,1201.4215,10/6/2010,2.8961,2/27/2012,5.1263,3/7/2011,7.4002,6/23/2011,4.9559,7/26/2010,0.2761,11/21/2011,4.6784,7/20/2010,2.4418,7/20/2010,0.1605,8/15/2012,3.5466
7/21/2010,4.5382,7/21/2010,24.1806,7/21/2010,24.9599,7/21/2010,27.5957,7/21/2010,3.6672,7/21/2010,22.6335,7/21/2010,21.5907,7/21/2010,20.8687,7/21/2010,32.2255,7/21/2010,29.8762,7/21/2010,22.1751,7/21/2010,21.6136,7/21/2010,5.2028,7/21/2010,2.7733,7/21/2010,2.7848,7/21/2010,20.5363,7/21/2010,52.5441,7/21/2010,14.6115,7/21/2010,6.7385,7/21/2010,6.1884,7/12/2011,4.978,7/21/2010,2.8077,2/7/2011,3.0086,8/1/2011,13.6541,11/29/2010,2.4555,2/4/2011,2.6204,7/21/2010,1157.4605,10/7/2010,2.9144,2/29/2012,4.9747,3/8/2011,7.2578,6/24/2011,4.9639,7/27/2010,0.2732,11/22/2011,4.6759,7/21/2010,2.441,7/21/2010,0.1604,8/16/2012,3.5322
7/22/2010,4.5601,7/22/2010,24.2936,7/22/2010,24.9828,7/22/2010,27.9233,7/22/2010,3.6871,7/22/2010,22.6855,7/22/2010,21.6747,7/22/2010,21.0085,7/22/2010,32.7935,7/22/2010,30.0368,7/22/2010,22.3754,7/22/2010,21.6977,7/22/2010,5.2378,7/22/2010,2.7797,7/22/2010,2.8027,7/22/2010,20.2389,7/22/2010,52.55,7/22/2010,14.8403,7/22/2010,6.7425,7/22/2010,6.0418,7/13/2011,4.9108,7/22/2010,2.8601,2/8/2011,3.051,8/2/2011,13.6328,11/30/2010,2.4519,2/7/2011,2.6204,7/22/2010,1504.7094,10/8/2010,2.929,3/1/2012,4.9667,3/9/2011,7.2093,6/27/2011,4.7337,7/28/2010,0.2737,11/24/2011,4.6705,7/22/2010,2.4236,7/22/2010,0.1608,8/20/2012,3.5265
7/23/2010,4.4918,7/23/2010,24.2008,7/23/2010,25.0831,7/23/2010,27.73,7/23/2010,3.6782,7/23/2010,22.5965,7/23/2010,21.6455,7/23/2010,20.8892,7/23/2010,32.0156,7/23/2010,30.0676,7/23/2010,22.3445,7/23/2010,21.5538,7/23/2010,5.2137,7/23/2010,2.8647,7/23/2010,2.773,7/23/2010,20.0642,7/23/2010,52.3089,7/23/2010,15.3317,7/23/2010,6.5773,7/23/2010,6.2565,7/14/2011,4.8053,7/23/2010,2.8761,2/9/2011,3.023,8/3/2011,13.7841,12/1/2010,2.446,2/9/2011,2.6587,7/23/2010,1551.5068,10/12/2010,2.9574,3/2/2012,4.9767,3/10/2011,7.2298,6/28/2011,4.7801,7/29/2010,0.2652,11/28/2011,4.8602,7/23/2010,2.4178,7/23/2010,0.1604,8/23/2012,3.5673
7/26/2010,4.5099,7/26/2010,24.2752,7/26/2010,25.0345,7/26/2010,27.6231,7/26/2010,3.67,7/26/2010,22.6875,7/26/2010,21.6751,7/26/2010,20.9043,7/26/2010,31.2356,7/26/2010,29.9126,7/26/2010,22.2504,7/26/2010,21.6406,7/26/2010,5.1887,7/26/2010,2.8532,7/26/2010,2.7842,7/26/2010,20.6857,7/26/2010,52.0594,7/26/2010,15.1749,7/26/2010,6.6268,7/26/2010,6.4427,7/15/2011,4.7077,7/26/2010,2.8762,2/10/2011,2.9444,8/4/2011,13.4569,12/2/2010,2.4964,2/10/2011,2.6199,7/26/2010,1534.7446,10/13/2010,2.9311,3/5/2012,4.9871,3/11/2011,7.4472,6/29/2011,4.7878,7/30/2010,0.266,11/29/2011,4.7527,7/26/2010,2.4275,7/26/2010,0.1726,8/24/2012,3.5206
7/27/2010,4.4735,7/27/2010,24.1662,7/27/2010,24.8492,7/27/2010,27.399,7/27/2010,3.6767,7/27/2010,22.5612,7/27/2010,21.5367,7/27/2010,20.7285,7/27/2010,31.1895,7/27/2010,29.5731,7/27/2010,22.1514,7/27/2010,21.4684,7/27/2010,5.1338,7/27/2010,2.823,7/27/2010,2.7661,7/27/2010,20.4667,7/27/2010,52.1343,7/27/2010,15.2077,7/27/2010,6.5908,7/27/2010,6.4883,7/19/2011,4.6871,7/27/2010,2.8458,2/14/2011,3.0747,8/5/2011,13.5015,12/3/2010,2.5387,2/14/2011,2.6423,7/27/2010,1498.008,10/14/2010,2.9343,3/6/2012,5.0948,3/14/2011,7.3747,6/30/2011,4.9032,8/2/2010,0.2661,12/2/2011,4.6446,7/27/2010,2.288,7/27/2010,0.1821,8/27/2012,3.5574
7/28/2010,4.4817,7/28/2010,24.2559,7/28/2010,24.9629,7/28/2010,27.5516,7/28/2010,3.672,7/28/2010,22.5681,7/28/2010,21.6672,7/28/2010,20.7777,7/28/2010,31.1894,7/28/2010,29.6157,7/28/2010,22.226,7/28/2010,21.4962,7/28/2010,5.1659,7/28/2010,2.8738,7/28/2010,2.7825,7/28/2010,20.3786,7/28/2010,51.7733,7/28/2010,15.2241,7/28/2010,6.5458,7/28/2010,6.6598,7/20/2011,4.6591,7/28/2010,2.8852,2/15/2011,3.0216,8/8/2011,13.6545,12/6/2010,2.5151,2/15/2011,2.6514,7/28/2010,1621.6216,10/15/2010,2.9394,3/7/2012,5.0975,3/15/2011,6.2067,7/1/2011,4.8856,8/3/2010,0.2798,12/5/2011,4.6284,7/28/2010,2.3834,7/28/2010,0.1711,8/28/2012,3.5541
7/29/2010,4.5769,7/29/2010,24.5677,7/29/2010,25.1902,7/29/2010,27.7496,7/29/2010,3.7353,7/29/2010,22.8268,7/29/2010,21.8469,7/29/2010,20.9707,7/29/2010,31.4734,7/29/2010,30.0669,7/29/2010,22.2965,7/29/2010,21.7316,7/29/2010,5.1764,7/29/2010,2.8591,7/29/2010,2.79,7/29/2010,20.7863,7/29/2010,51.7063,7/29/2010,15.2525,7/29/2010,6.7558,7/29/2010,6.7674,7/21/2011,4.6752,7/29/2010,2.9052,2/16/2011,3.0821,8/9/2011,12.9719,12/7/2010,2.4979,2/16/2011,2.664,7/29/2010,1680.8854,10/18/2010,2.9434,3/8/2012,5.0785,3/16/2011,6.4581,7/4/2011,4.8904,8/4/2010,0.2667,12/6/2011,4.632,7/29/2010,2.4095,7/29/2010,0.1729,8/29/2012,3.5556
7/30/2010,4.5455,7/30/2010,24.2193,7/30/2010,24.7745,7/30/2010,27.4462,7/30/2010,3.6896,7/30/2010,22.6116,7/30/2010,21.5938,7/30/2010,20.7379,7/30/2010,30.9739,7/30/2010,29.4818,7/30/2010,22.1258,7/30/2010,21.4203,7/30/2010,5.0544,7/30/2010,2.8106,7/30/2010,2.7759,7/30/2010,20.4256,7/30/2010,51.1797,7/30/2010,14.8739,7/30/2010,6.7199,7/30/2010,6.8934,7/22/2011,4.7789,7/30/2010,2.9493,2/17/2011,3.0736,8/10/2011,13.0617,12/8/2010,2.492,2/17/2011,2.6774,7/30/2010,1619.2459,10/19/2010,2.9318,3/9/2012,5.0903,3/17/2011,6.5027,7/5/2011,4.8681,8/5/2010,0.2561,12/8/2011,4.7601,7/30/2010,2.4173,7/30/2010,0.1851,8/30/2012,3.6151
8/2/2010,4.4997,8/2/2010,24.0139,8/2/2010,24.9161,8/2/2010,27.3684,8/2/2010,3.6784,8/2/2010,22.406,8/2/2010,21.4228,8/2/2010,20.6362,8/2/2010,30.2256,8/2/2010,29.2886,8/2/2010,22.2556,8/2/2010,21.365,8/2/2010,5.0318,8/2/2010,2.7762,8/2/2010,2.7762,8/2/2010,19.8843,8/2/2010,50.6073,8/2/2010,14.9104,8/2/2010,6.6744,8/2/2010,6.8942,7/25/2011,4.723,8/2/2010,2.9728,2/18/2011,3.175,8/11/2011,11.8613,12/9/2010,2.5072,2/18/2011,2.6939,8/2/2010,1470.214,10/20/2010,2.9499,3/13/2012,5.1397,3/18/2011,6.4532,7/6/2011,5.0037,8/6/2010,0.2581,12/9/2011,4.8184,8/2/2010,2.406,8/2/2010,0.1735,8/31/2012,3.5751
8/3/2010,4.4999,8/3/2010,24.2131,8/3/2010,24.9009,8/3/2010,27.6405,8/3/2010,3.6838,8/3/2010,22.6626,8/3/2010,21.6368,8/3/2010,20.879,8/3/2010,30.3567,8/3/2010,29.4008,8/3/2010,22.4644,8/3/2010,21.4502,8/3/2010,5.0711,8/3/2010,2.8328,8/3/2010,2.8212,8/3/2010,20.1795,8/3/2010,50.886,8/3/2010,15.2949,8/3/2010,6.6566,8/3/2010,6.913,7/26/2011,4.5856,8/3/2010,3.0194,2/21/2011,3.1882,8/12/2011,11.8382,12/10/2010,2.4896,2/21/2011,2.6468,8/3/2010,1294.0079,10/21/2010,2.9897,3/16/2012,5.1368,3/22/2011,7.5355,7/7/2011,4.9865,8/9/2010,0.2562,12/12/2011,4.8029,8/3/2010,2.3549,8/3/2010,0.1865,9/4/2012,3.622
8/4/2010,4.4754,8/4/2010,24.1044,8/4/2010,24.8232,8/4/2010,27.5942,8/4/2010,3.6754,8/4/2010,22.458,8/4/2010,21.4493,8/4/2010,20.7073,8/4/2010,30.2377,8/4/2010,29.2058,8/4/2010,22.3073,8/4/2010,21.3101,8/4/2010,4.9971,8/4/2010,2.7594,8/4/2010,2.7826,8/4/2010,19.7681,8/4/2010,50.1449,8/4/2010,14.9101,8/4/2010,6.5739,8/4/2010,6.8638,7/27/2011,4.5827,8/4/2010,3.0029,2/22/2011,3.2168,8/15/2011,11.8474,12/13/2010,2.5042,2/22/2011,2.6726,8/4/2010,1478.2609,10/22/2010,2.9831,3/19/2012,5.036,3/23/2011,7.6333,7/8/2011,5.0211,8/10/2010,0.2564,12/26/2011,4.7998,8/4/2010,2.4,8/4/2010,0.1739,9/5/2012,3.5477
8/5/2010,4.5275,8/5/2010,24.3832,8/5/2010,25.2328,8/5/2010,28.0959,8/5/2010,3.7244,8/5/2010,22.7654,8/5/2010,21.8343,8/5/2010,21.1359,8/5/2010,30.7379,8/5/2010,29.7253,8/5/2010,22.6723,8/5/2010,21.6364,8/5/2010,5.0629,8/5/2010,2.8166,8/5/2010,2.8282,8/5/2010,20.0652,8/5/2010,51.094,8/5/2010,15.4912,8/5/2010,6.6574,8/5/2010,6.96,7/28/2011,4.8555,8/5/2010,3.0261,2/23/2011,3.2168,8/16/2011,11.8567,12/14/2010,2.5174,2/23/2011,2.6827,8/5/2010,1425.7449,10/25/2010,2.9485,3/21/2012,5.1162,3/24/2011,8.4065,7/11/2011,5.0417,8/11/2010,0.2462,12/27/2011,4.8053,8/5/2010,2.351,8/5/2010,0.1862,9/6/2012,3.5343
8/6/2010,4.5748,8/6/2010,24.6334,8/6/2010,25.4663,8/6/2010,28.3402,8/6/2010,3.7419,8/6/2010,22.9912,8/6/2010,22.1466,8/6/2010,21.3842,8/6/2010,30.9912,8/6/2010,29.9824,8/6/2010,23.0381,8/6/2010,21.9238,8/6/2010,5.0909,8/6/2010,2.8622,8/6/2010,2.8622,8/6/2010,20.2463,8/6/2010,52.2581,8/6/2010,16.0587,8/6/2010,6.8504,8/6/2010,6.9912,7/29/2011,4.8847,8/6/2010,3.0381,2/24/2011,3.1793,8/17/2011,11.8923,12/15/2010,2.511,2/25/2011,2.6287,8/6/2010,1442.8153,10/26/2010,2.8508,3/22/2012,5.182,3/25/2011,7.6176,7/12/2011,5.0911,8/12/2010,0.2444,1/10/2012,4.8685,8/6/2010,2.4633,8/6/2010,0.1877,9/7/2012,3.5819
