"","ann.ret.incep","ann.std.incep","downrisk.incep","drawdown.incep","sharpe.incep","sortino.incep","inforatio.incep","alpha.incep","beta.incep","corr.bhf.incep","corr.bidx.incep","omega.incep","wl.incep","skewness.incep","kurtosis.incep"
"KOMOFUN.KY.Equity",0.130113148336931,0.264619217209704,0.237322215163869,-0.548869500024364,0.472804468459226,0.527186838579528,0.224954373169815,0.00949770339093256,1.03116657061522,0.63014712901614,0.61552319186401,1.7287959693572,0.621212121212121,-1.00468326433677,8.41011965446829
"KONDORA.KY.Equity",0.0415772990407439,0.0635360725484286,0.0511754502484105,-0.0995969078912563,0.575693422234493,0.714743082145721,0.0193761164668964,0.00346462354838688,0.0294280925698154,0.163127157650888,0.0741979974439389,1.77659541901646,0.640625,-0.241187237604411,5.67717792981843
"KRENSAV.US.Equity",0.301273099796775,0.180839798612903,0.11207515501135,-0.23003138897646,1.6383180144486,2.64352165978954,1.13315159113444,0.020107290512808,0.737465741838391,0.625207400421929,0.664371826682861,3.5183989364678,0.707964601769911,0.261188515608743,2.1297418256358
"KRIYCHN.KY.Equity",0.0195614844270511,0.15637282876034,0.117522297576267,-0.270283895677562,0.0931202980881565,0.123904014194424,-0.310160030807165,0.000567154136218956,0.319704786634988,0.250044936197707,0.268825988232517,1.1863725822354,0.526881720430108,-0.161317983279799,3.59786862399242
"KUROTOF.US.Equity",0.0899533034573679,0.195624272854998,0.152057037649043,-0.594760603025423,0.434267702149301,0.558693663712199,0.15844897878342,0.00433462465072583,0.983348228177775,0.784584965557335,0.752442907788452,1.57251307437822,0.634615384615385,-0.0138367375518209,7.68814047228455
"KWKMARB.US.Equity",0.028125904953993,0.0164634156307977,0.0162380493620913,-0.0171,1.40468451216964,1.424179988514,-0.312509727484797,0.00218818212201125,0.016186075119184,0.0726129491290817,0.101809416711159,3.65309647565923,0.791666666666667,-1.0615129569533,3.35671316882313
"LABINDX.KY.Equity",0.0302581062398048,0.0470077940324883,0.0327231855106431,-0.0952331233935442,0.537317412136981,0.771871865335046,-0.602831175561916,0.000353018761169151,0.330375567067798,0.870529049638178,0.907632799037856,1.64322791618492,0.602150537634409,-0.220090874754642,1.05701877610906
"LADMUNR.KY.Equity",0.120157570140261,0.112374482725862,0.0601953465403498,-0.203944179395532,1.02476618665456,1.91306432737403,0.396621544024814,0.00831231457710983,0.337072584043145,0.553909616561148,0.437513180704529,2.11357300794807,0.642424242424242,-0.140000588663307,-0.279514652236042
"LAELOER.KY.Equity",0.0710974970346272,0.132336659833065,0.0817100357889447,-0.235605393110256,0.499464752382336,0.808927525198442,-0.10019706837683,0.00168662840359417,0.775368856936972,0.756877259429778,0.784391391171338,1.50132925958257,0.569767441860465,-0.35607515068119,-0.427802321158813
"LAKERDI.CN.Equity",0.166793176902247,0.137505195372376,0.101007972125947,-0.151460608346794,1.1766331916703,1.60178621050334,0.736011564025403,0.00952019884135253,0.498648723026904,0.283470028759486,0.378148963541729,2.49991143258942,0.676056338028169,-0.444058160877958,1.14639297165215
"LANTHCV.AU.Equity",0.175759820333288,0.111196395635509,0.0867038860801724,-0.156179074225102,1.53565967095752,1.96945982531154,1.2025868794266,0.0121678057615442,0.354919213455059,0.334283016643345,0.392888973734524,3.30508782652359,0.736111111111111,-0.423092043224758,1.50437917164151
"LASIUSP.VI.Equity",0.0319618698210027,0.140745781056294,0.0894258599039908,-0.208071889153421,0.191564319858503,0.301499698744294,-0.207473544588425,-0.00272684087151812,0.857979560181361,0.634038812679625,0.643782947416466,1.25547768376478,0.492307692307692,0.0394649856130463,0.212293404848423
"LAUOSSP.KY.Equity",0.105368136852881,0.212330199762081,0.180746072953401,-0.369809987564028,0.472698358336898,0.555299128843357,0.181109468716478,0.00515663149818614,0.591386096278952,0.374122336010105,0.412990605571561,2.06205369396977,0.647058823529412,2.21470923699366,32.8844374352093
"LAURGLA.VI.Equity",-0.0266477161760971,0.244633318495899,0.203532376228368,-0.695862183466514,-0.129367971503962,-0.155492294457308,-0.356332869612764,-0.0061411667383169,0.897373146580352,0.433715523702906,0.433644701543229,1.01433839743159,0.551724137931034,-0.9317298792259,3.06120859331894
"LAUSTNU.KY.Equity",0.0737890124002374,0.184483724419522,0.144469419778496,-0.563096755043237,0.372873068432903,0.476149295163684,0.0653842399238585,0.00421605196957693,0.977590669835017,0.859773188402744,0.852804063941491,1.44660322533361,0.563492063492063,-0.836482495918733,2.67581554870059
"LAZEILP.US.Equity",0.0307464476728816,0.0535546929274112,0.0480414235946438,-0.16135766396657,0.480750542399313,0.535921830504458,-0.309851819130561,0.00136466774215608,0.255327210158332,0.713959317121484,0.697461874273532,1.59744283187789,0.634146341463415,-1.2758165901125,4.75265492025254
"LAZRAA2.KY.Equity",0.0775635756230655,0.0768116796609562,0.0611535164937108,-0.1625072226,0.944694556132066,1.18658058904148,0.552097558295296,0.00568812375833523,0.258981441217457,0.644697545066133,0.548805106858866,2.42135115918297,0.680327868852459,-0.358786745038679,5.36570670076921
"LAZRATH.US.Equity",0.0535598130147634,0.0485514605117494,0.0263904735764081,-0.0784881364269915,1.00017203402176,1.84005083782102,0.285035105259458,0.00310757168409727,0.198764087040807,0.608015916458866,0.533422333745989,2.31330738526671,0.673684210526316,0.227322173160612,0.401738254037501
"LBNCHPO.KY.Equity",0.140975833720163,0.17448564480877,0.127326687127151,-0.309682873735836,0.779295247292046,1.06792878058921,0.521472460481785,0.011352824968791,0.334222865139094,0.37558359936478,0.312655055776467,1.97465445928423,0.59504132231405,-0.257650986408703,2.21915138173694
"LBVPRA2.KY.Equity",0.0544154614643484,0.057772806413259,0.03011777967949,-0.0808004032513038,0.8553411982598,1.6407405190629,0.237662111787182,0.00403360566839539,0.103118866689389,0.380168393949684,0.291337063513029,1.99223471020459,0.625,0.125199398393239,-0.1517068133738
"LCEQCHF.KY.Equity",0.101006251540794,0.0548157374261366,0.0269790099020942,-0.0529277961040001,1.75143592057228,3.55855355289897,0.584724617513736,0.00791898291163986,0.054387326023252,0.190642908033196,0.15060764707099,5.26946873878324,0.748299319727891,1.3858201728587,4.48699589404559
"LCJFXFD.KY.Equity",0.0535242093815527,0.0656463015487483,0.0384889865740838,-0.0963761439509998,0.739176590862763,1.2607297229859,0.150472786644199,0.00446707267140585,0.01868870845246,0.104971554323228,0.0463068009109359,1.89621820836435,0.601626016260163,0.252414504427622,0.944479678199979
"LCSLAFD.US.Equity",0.0106360417394191,0.065581899880005,0.0623238744686162,-0.193348853852909,0.0859389823980606,0.0904315045794723,-0.391364204803034,-0.000103375965567808,0.171898549695325,0.372459196120201,0.34152601787163,1.19667473819563,0.631578947368421,-0.709763568499409,5.3944375339298
"LCSTRID.KY.Equity",-0.0034887925199043,0.0761783980230541,0.0641497773830433,-0.24233424457017,-0.111433066856241,-0.132327700363122,-0.75894996582703,-0.00149060075770817,0.370345168387395,0.78331435300853,0.765498463526377,0.99419942915017,0.556390977443609,-1.01140029705225,2.35022349215219
"LDILIAU.ID.Equity",0.0327215354146051,0.0150778572124921,0.0238486665790773,-0.0229508182829999,1.83855935388734,1.16239351674804,0.10538651916147,0.00266438731127613,0.00497695304648455,0.0524775163508707,0.0393558180916493,4.65871840964365,0.922077922077922,-3.06745370203129,12.3294702398113
"LDRPREF.US.Equity",0.116617396505728,0.0661195693864992,0.0391684815370726,-0.0607286269179191,1.68811438945213,2.84967382256273,0.97503995267931,0.00697711970755405,0.272202333031612,0.542448767192723,0.544479016851307,3.81752582113235,0.747572815533981,0.233386461115573,1.14536862006791
"LEBEQPR.KY.Equity",0.101578209590754,0.297859127180041,0.169150088249982,-0.731876737184354,0.324241229419762,0.570961626978424,0.281772636609039,0.00133103564197765,1.25651773606669,0.692874570041861,0.631390700373093,1.4230310314306,0.56,0.227089809297814,0.243836724509687
"LEGCHNA.KY.Equity",0.0891763682127686,0.284486418814453,0.201448813144432,-0.465546516591765,0.29588888131658,0.417854872902215,0.253800421340731,0.00189989531303417,1.25077368597093,0.603422757536,0.523536240574119,1.44325177773777,0.541176470588235,0.298582412429857,4.24963847733678
"LEVPART.US.Equity",0.138048024420885,0.205318936816474,0.143497940311833,-0.3806435,0.648006591519667,0.927177241232597,0.468749408483802,0.00887768526750009,0.729683007489218,0.519870479863747,0.518370934771919,1.81746251551717,0.6,0.0158016404484653,3.41724346470956
"LHACTST.KY.Equity",0.00528456982655134,0.0277302001676303,0.0194205519424655,-0.0524272602225671,0.0102620906027042,0.0146530246614205,-0.392389125246769,-0.000448624663868377,0.151363384132546,0.686629189397773,0.655770302429918,1.17228199388644,0.565789473684211,0.111296109989748,2.6194753342243
"LHASARB.VI.Equity",0.0964750735516711,0.0776197054491814,0.0607138449737036,-0.176411152242651,1.17850322958982,1.50665920748868,0.282864171998603,0.00664729438623334,0.253521671661048,0.538637006074406,0.483402546501682,2.8043659423392,0.716981132075472,-0.0684560346855854,3.65357125786239
"LHYF001.US.Equity",0.155071576377226,0.254801274233176,0.196130177954061,-0.547617601375471,0.588974983853068,0.765163107190863,0.170455831554099,0.00817773701911484,0.75722466930781,0.431851113191074,0.42682826915652,1.7549881381924,0.642201834862385,-0.245702284597425,2.72690849348689
"LIFESET.BM.Equity",-0.149244190123178,0.47539364429567,0.739543689333653,-0.82979452208302,-0.324455726268074,-0.208566704506877,-0.437952272651017,0.00736474909033672,-0.210859924832424,-0.0795143596122706,-0.061584722246605,1.21905419911335,0.729166666666667,-4.21850182564475,24.1938163816858
"LIMJAPA.KY.Equity",0.0423036536782633,0.053561556207624,0.0373693996216914,-0.116798438828697,0.696463215774777,0.998240647586162,-0.102855421361423,0.00279305821282275,0.156106669617616,0.453103031317199,0.426372492083234,2.00385366346155,0.597560975609756,0.158108157136331,3.40077987439931
"LIVEQOP.US.Equity",0.162453294259198,0.104315683222185,0.0747615017801345,-0.165942216855447,1.50939235017839,2.106074523787,0.724127522487081,0.00446790065399243,0.948833809981077,0.830288705638608,0.868384198020667,2.99528561988744,0.716417910447761,-0.550846862381835,0.8094212570122
"LIVHIOP.US.Equity",0.0502714360439958,0.0538183043590321,0.0343528114492472,-0.100645725041927,0.84119030844936,1.31783787510026,-0.364696300683752,0.000270401294158393,0.435051223726354,0.735845998891409,0.771759086416701,1.99230382664985,0.671641791044776,-0.214147732131957,0.223026809450869
"LIZARDI.US.Equity",0.114623109012685,0.0812953540711037,0.0572149526855595,-0.0993145,1.34845478275185,1.91598706050057,0.644484210612821,0.00580998780609315,0.417250774788955,0.772453703340535,0.743080900127735,2.72918825561313,0.654205607476635,-0.592178171326531,0.581281607940761
"LMLSMOME.CN.Equity",0.0264530287454738,0.0954902541532061,0.0821923098990742,-0.265473300336797,0.224661971378296,0.261010169586625,-0.0621336605419849,0.00304225926717545,-0.094962663338854,0.0222284826094316,-0.145053847797175,1.31273567206364,0.593939393939394,-0.755650607532316,4.13450306186793
"LMPBLCH.US.Equity",0.0341475057506067,0.124375140924342,0.141650925363536,-0.486933222009929,0.23435153949564,0.205769963562199,-0.0395380484710068,-5.95981180198441e-05,0.704481655360921,0.698964084579972,0.828623047818142,1.35349324601509,0.695121951219512,-2.09149090777729,10.3189798782057
"LOGICAL.US.Equity",0.0670763952472886,0.0749272720029261,0.0551098020136304,-0.0899058075064035,0.828488660909266,1.12641296065508,-0.113729305705096,0.00408172674659176,0.190340285838471,0.291832936555972,0.263234566814966,1.97546551567208,0.638888888888889,-0.561973803909337,0.802676932809054
"LOGSTNE.US.Equity",0.0711481903636966,0.0861951434451902,0.0755351271644375,-0.179191448622394,0.767423635715148,0.875727530314394,0.463831166463927,0.00586758257262883,0.0584024212791695,0.252996825464402,0.110570632679084,2.10749306864145,0.69672131147541,-0.194249221930303,2.86684343498119
"LOYCFND.BH.Equity",0.141449169077887,0.505898049409081,0.372776291777775,-0.880022101604884,0.269716732921322,0.366034997631312,0.179020560111592,0.0118673182667332,1.97969421914902,0.631792534408737,0.573905608738874,1.58557735203374,0.58641975308642,0.225392494496296,4.82116587092976
