Date,TPTRAN Index
1/30/2012,-0.39529
1/31/2012,-0.03968
2/1/2012,1.22625
2/2/2012,1.59772
2/3/2012,-0.99839
2/6/2012,2.79971
2/7/2012,-0.57228
2/8/2012,3.06299
2/9/2012,-0.87341
2/10/2012,-1.86022
2/13/2012,0.40484
2/14/2012,-0.00071
2/15/2012,3.9186
2/16/2012,-1.09196
2/17/2012,0.95176
2/20/2012,1.41254
2/21/2012,-1.35593
2/22/2012,1.1679
2/23/2012,0.55706
2/24/2012,-0.02904
2/27/2012,1.07305
2/28/2012,-0.41438
2/29/2012,-1.2411
3/1/2012,-0.56157
3/2/2012,-0.83637
3/5/2012,-0.51897
3/6/2012,-0.35381
3/7/2012,-1.1456
3/8/2012,1.43641
3/9/2012,1.43912
3/12/2012,-0.02781
3/13/2012,-0.64216
3/14/2012,1.07222
3/15/2012,2.89165
3/16/2012,-0.16025
3/19/2012,-0.32899
3/21/2012,-1.4096
3/22/2012,2.02664
3/23/2012,-2.15963
3/26/2012,-0.07757
3/27/2012,2.50673
3/28/2012,0.67795
3/29/2012,-1.01041
3/30/2012,-0.65873
4/2/2012,1.33634
4/3/2012,-0.35456
4/4/2012,-2.93865
4/5/2012,-0.38408
4/6/2012,-0.91233
4/9/2012,-2.19522
4/10/2012,1.44295
4/11/2012,-1.29332
4/12/2012,0.89697
4/13/2012,-0.21817
4/16/2012,-1.32508
4/17/2012,-1.27641
4/18/2012,2.6498
4/19/2012,-0.13426
4/20/2012,-1.10602
4/23/2012,0.08036
4/24/2012,-0.28057
4/25/2012,0.2388
4/26/2012,1.15984
4/27/2012,0.71819
5/1/2012,-2.62751
5/2/2012,0.59935
5/7/2012,-3.69925
5/8/2012,1.92445
5/9/2012,-0.56848
5/10/2012,-0.0356
5/11/2012,1.50483
5/14/2012,-0.75901
5/15/2012,-2.50516
5/16/2012,-2.44817
5/17/2012,3.03781
5/18/2012,-3.37694
5/21/2012,-0.86889
5/22/2012,1.52218
5/23/2012,-0.29238
5/24/2012,-0.59237
5/25/2012,-0.22712
5/28/2012,-0.01863
5/29/2012,0.70288
5/30/2012,0.92415
5/31/2012,-0.5478
6/1/2012,-1.87082
6/4/2012,-3.45264
6/5/2012,0.97137
6/6/2012,2.17602
6/7/2012,1.57012
6/8/2012,-1.4902
6/11/2012,2.40234
6/12/2012,-1.04201
6/13/2012,0.27109
6/14/2012,-0.56296
6/15/2012,0.22792
6/18/2012,1.84075
6/19/2012,-1.20745
6/20/2012,0.28647
6/21/2012,1.12905
6/22/2012,-0.72117
6/25/2012,0.49148
6/26/2012,-1.02266
6/27/2012,-0.60187
6/28/2012,2.63178
6/29/2012,1.8999
7/2/2012,0.02498
7/3/2012,0.36725
7/4/2012,0.20676
7/5/2012,-0.06871
7/6/2012,-0.16579
7/9/2012,-2.35922
7/10/2012,-1.41772
7/11/2012,-0.57635
7/12/2012,-1.81538
7/13/2012,-0.18845
7/17/2012,-1.08688
7/18/2012,0.69732
7/19/2012,1.44903
7/20/2012,-1.33075
7/23/2012,-1.77968
7/24/2012,-0.4481
7/25/2012,-2.38681
7/26/2012,1.44781
7/27/2012,2.5847
7/30/2012,1.3272
7/31/2012,1.61755
8/1/2012,-1.93856
8/2/2012,0.64849
8/3/2012,-0.61893
8/6/2012,3.07805
8/7/2012,0.88616
8/8/2012,0.64452
8/9/2012,0.67757
8/10/2012,-0.84497
8/13/2012,-0.17671
8/14/2012,-0.94505
8/15/2012,0.05514
8/16/2012,2.22442
8/17/2012,1.20943
8/20/2012,-0.27025
8/21/2012,0.37371
8/22/2012,0.05921
8/23/2012,0.57233
8/24/2012,-1.22385
8/27/2012,-0.1688
8/28/2012,-1.29754
8/29/2012,-0.26133
8/30/2012,-0.32369
8/31/2012,-2.1233
9/3/2012,-0.49291
9/4/2012,-0.1258
9/5/2012,-1.33843
9/6/2012,0.45897
9/7/2012,4.90126
9/10/2012,0.01158
9/11/2012,-0.57763
9/12/2012,1.00739
9/13/2012,-0.09582
9/14/2012,0.76024
9/18/2012,-1.71441
9/19/2012,2.30992
9/20/2012,-1.90528
9/21/2012,-0.32831
9/24/2012,-1.20302
9/25/2012,0.83755
9/26/2012,-3.03885
9/27/2012,0.45668
9/28/2012,-2.34608
10/1/2012,-1.32763
10/2/2012,0.0002
10/3/2012,-0.81279
10/4/2012,3.61429
10/5/2012,-1.33516
10/9/2012,-1.16673
10/10/2012,-1.43319
10/11/2012,-1.15499
10/12/2012,1.21246
10/15/2012,1.88519
10/16/2012,0.72
10/17/2012,0.69151
10/18/2012,2.2279
10/19/2012,0.50432
10/22/2012,-0.25468
10/23/2012,0.03183
10/24/2012,-1.65001
10/25/2012,0.73413
10/26/2012,-1.52382
10/29/2012,-2.10856
10/30/2012,-0.67888
10/31/2012,1.80336
11/1/2012,0.28047
11/2/2012,1.65335
11/5/2012,1.49184
11/6/2012,-0.65381
11/7/2012,0.81591
11/8/2012,-1.73601
11/9/2012,-0.30929
11/12/2012,-1.25366
11/13/2012,-0.20997
11/14/2012,-1.56625
11/15/2012,3.08857
11/16/2012,3.67191
11/19/2012,1.25726
11/20/2012,-0.98015
11/21/2012,1.51754
11/22/2012,2.77859
11/26/2012,1.60022
11/27/2012,-1.32488
11/28/2012,-1.40518
11/29/2012,1.44046
11/30/2012,0.02948
12/3/2012,-0.14669
12/4/2012,0.24327
12/5/2012,-0.78069
12/6/2012,0.81425
12/7/2012,0.08575
12/10/2012,-0.25773
12/11/2012,-0.31997
12/12/2012,0.36427
12/13/2012,1.29477
12/14/2012,0.14419
12/17/2012,0.21543
12/18/2012,1.33374
12/19/2012,3.48872
12/20/2012,-0.7553
12/21/2012,-1.56831
12/25/2012,-0.2047
12/26/2012,0.40842
12/27/2012,1.53436
12/28/2012,1.51768
1/4/2013,2.69493
1/7/2013,-0.68909
1/8/2013,-1.25221
1/9/2013,0.55856
1/10/2013,1.30512
1/11/2013,0.51916
1/15/2013,1.03559
1/16/2013,-2.42827
1/17/2013,-0.40219
1/18/2013,2.49652
1/21/2013,-0.59415
1/22/2013,0.13782
1/23/2013,-1.81537
1/24/2013,0.39491
1/25/2013,1.35635
1/28/2013,-0.25721
1/29/2013,1.08964
1/30/2013,0.78383
1/31/2013,0.34376
2/1/2013,0.47511
2/4/2013,2.58966
2/5/2013,-2.54243
2/6/2013,4.55606
2/7/2013,0.39659
2/8/2013,0.29604
2/12/2013,-0.82024
2/13/2013,-1.70853
2/14/2013,0.03495
2/15/2013,-1.92951
2/18/2013,0.80746
2/19/2013,-0.17886
2/20/2013,0.99416
2/21/2013,-0.04664
2/22/2013,-0.88369
2/25/2013,1.46853
2/26/2013,-0.15166
2/27/2013,-2.09244
2/28/2013,3.08815
3/1/2013,-1.50312
3/4/2013,0.44233
3/5/2013,-0.21921
3/6/2013,1.20653
3/7/2013,-0.62193
3/8/2013,1.48877
3/11/2013,1.27841
3/12/2013,-0.52515
3/13/2013,-0.28331
3/14/2013,0.62467
3/15/2013,1.48221
3/18/2013,-3.1834
3/19/2013,2.56185
3/21/2013,0.41834
3/22/2013,-1.81802
3/25/2013,1.12056
3/26/2013,-1.09486
3/27/2013,0.17
3/28/2013,-1.1888
3/29/2013,-0.08211
4/1/2013,-1.85923
4/2/2013,-2.91462
4/3/2013,4.79478
4/4/2013,-0.72831
4/5/2013,1.50495
4/8/2013,1.70524
4/9/2013,-0.46524
4/10/2013,0.5043
4/11/2013,4.68054
4/12/2013,0.74706
4/15/2013,-1.15912
4/16/2013,-0.77358
4/17/2013,2.34272
4/18/2013,-2.34617
4/19/2013,-0.57319
4/22/2013,1.55709
4/23/2013,-0.74874
4/24/2013,2.2888
4/25/2013,1.00058
4/26/2013,1.12584
4/30/2013,-1.09829
5/1/2013,-1.10987
5/2/2013,-1.70977
5/7/2013,3.27677
5/8/2013,0.80181
5/9/2013,-1.33102
5/10/2013,2.3232
5/13/2013,2.82544
5/14/2013,-1.26662
5/15/2013,3.62938
5/16/2013,0.55232
5/17/2013,-0.45876
5/20/2013,3.20887
5/21/2013,1.40295
5/22/2013,-1.53952
5/23/2013,-4.42611
5/24/2013,1.1995
5/27/2013,-5.22754
5/28/2013,3.63061
5/29/2013,1.12087
5/30/2013,-2.64834
5/31/2013,-1.01754
6/3/2013,-1.98477
6/4/2013,1.04252
6/5/2013,-1.92626
6/6/2013,0.43676
6/7/2013,-3.9515
6/10/2013,6.38904
6/11/2013,1.64612
6/12/2013,-0.21178
6/13/2013,-4.13557
6/14/2013,0.769
6/17/2013,1.29187
6/18/2013,0.50144
6/19/2013,1.62851
6/20/2013,-3.99415
6/21/2013,1.03325
6/24/2013,-1.64833
6/25/2013,-1.13176
6/26/2013,0.29013
6/27/2013,2.28276
6/28/2013,1.2566
7/1/2013,0.83609
7/2/2013,1.89318
7/3/2013,0.9695
7/4/2013,-0.83924
7/5/2013,0.9898
7/8/2013,-0.98901
7/9/2013,2.36328
7/10/2013,0.42349
7/11/2013,0.89083
7/12/2013,0.55823
7/16/2013,0.74676
7/17/2013,0.58054
7/18/2013,-1.04247
7/19/2013,-0.00248
7/22/2013,1.50569
7/23/2013,-0.29696
7/24/2013,-0.86647
7/25/2013,-0.03611
