"","Omega (L = 0%)","Omega (L = 0%)","Omega (L = 0%)","Omega (L = 0%)"
"FBDREOI.KY.Equity",10.5965192278462,1.18625531389462,1.40371217609008,1.40371217609008
"FIREFND.KY.Equity",16.651737704918,1.12528627571411,1.14778978160035,1.14778978160035
"FORASMA.KY.Equity",6.15294117647059,2.50170571414238,2.87491762098969,2.87491762098969
"FOUCHOP.KY.Equity",6.31140083217753,1.44303548289361,2.0455902436749,2.0455902436749
"FPP395A.KY.Equity",1.52764145990733,0.530950742966449,0.628193896319284,0.628193896319284
"FRTNHDG.KY.Equity",5.57899601256965,1.28202833994837,1.8891227113247,1.8891227113247
"GAAOPPO.KY.Equity",2.10042626314867,1.08645007842695,1.19988608984663,1.19988608984663
"GAMCOFA.KY.Equity",0.991104004117155,1.24644650954715,1.1873185553314,1.1873185553314
"GBAMBOO.KY.Equity",2.21031140896505,1.07723363830577,1.40040855861105,1.40040855861105
"GHKNCVF.KY.Equity",5.81867823848182,1.81821960521843,2.1871018423822,2.1871018423822
"GLDCHPL.KY.Equity",4.5155861261525,1.38180187569716,1.79587797489971,1.79587797489971
"GLXCDVA.KY.Equity",1.34967112915847,1.1326623166709,1.52904990932745,1.52904990932745
"GOLDCHI.KY.Equity",2.60194476274109,2.04226110974635,2.54119142415675,2.54119142415675
"GREASHI.KY.Equity",1.03293286425412,1.14771614707939,0.639444200112344,0.639444200112344
"GRECVPD.MV.Equity",3.89717024895624,1.20918866779886,1.53489039638482,1.53489039638482
"GRNDRGN.KY.Equity",0.90653676081146,0.917428126687633,1.3451825249623,1.3451825249623
"GRSPOPA.KY.Equity",674.526315789474,4.69979482970866,2.14244688115034,2.14244688115034
"HALCYON.KY.Equity",4.50661465400271,1.16756112104949,0.834207100492356,0.834207100492356
"HARMFDR.KY.Equity",1.57742061936496,0.631180838563217,1.44513891914803,1.44513891914803
"HARUSFD.KY.Equity",1.59020733930931,0.631265887859407,1.38655673247626,1.38655673247626
"HKPTRLP.US.Equity",2.36177267940761,1.06714740053423,1.43511526373423,1.43511526373423
"ICAPNIT.SJ.Equity",17.7087003222342,11.5887410834779,10.5180383623763,10.5180383623763
"ILASCON.US.Equity",2.87124094098479,1.05596221272446,1.15921314925765,1.15921314925765
"INDMAXG.MP.Equity",2.49316017687104,1.48992959505593,1.41705199019725,1.41705199019725
"INDSMLI.MP.Equity",2.59166562658307,1.83905562688317,1.7037841191067,1.7037841191067
"INFCOPP.KY.Equity",2.20817604186133,0.906765400984813,1.18604872864358,1.18604872864358
"IVMAOPP.KY.Equity",2.12018148248221,0.884989030111075,1.15754684861996,1.15754684861996
"JABEMX1.KY.Equity",3.99335998150045,1.3814999115916,2.50293686767792,2.50293686767792
"K2AARFA.AU.Equity",1.91940538368823,1.02369572738589,1.58937589173125,1.58937589173125
