7201 JP,,JPY,,NKY,,Industry,,Production,,Anti-Japanese
11/18/2010,800,11/11/2010,0.26,11/18/2010,2.06,11/19/2010,-0.178205882,,,
11/19/2010,802,11/12/2010,0.05,11/19/2010,0.09,11/22/2010,0.289088235,,,
11/22/2010,804,11/15/2010,0.65,11/22/2010,0.93,11/24/2010,-1.166311765,,,
11/24/2010,787,11/16/2010,0.26,11/24/2010,-0.84,11/25/2010,0.2164,,,
11/25/2010,797,11/17/2010,-0.13,11/25/2010,0.5,11/26/2010,0.713752941,,,
11/26/2010,785,11/18/2010,0.41,11/26/2010,-0.4,11/29/2010,0.240188235,,,
11/29/2010,797,11/19/2010,0.04,11/29/2010,0.86,11/30/2010,0.242817647,,,
11/30/2010,785,11/22/2010,-0.26,11/30/2010,-1.87,12/1/2010,0.203452941,,,
12/1/2010,800,11/23/2010,-0.2,12/1/2010,0.51,12/2/2010,1.625182353,,,
12/2/2010,825,11/24/2010,0.46,12/2/2010,1.81,12/3/2010,0.619294118,,,
12/3/2010,822,11/25/2010,0.07,12/3/2010,0.1,12/6/2010,-0.308411765,,,
12/6/2010,821,11/26/2010,0.6,12/6/2010,-0.11,12/7/2010,0.626182353,,,
12/7/2010,808,11/29/2010,0.19,12/7/2010,-0.26,12/8/2010,-0.061641176,,,
12/8/2010,815,11/30/2010,-0.68,12/8/2010,0.9,12/9/2010,-0.323876471,,,
12/9/2010,825,12/1/2010,0.6,12/9/2010,0.52,12/10/2010,-0.4169,,,
12/10/2010,814,12/2/2010,-0.44,12/10/2010,-0.72,12/13/2010,0.120394118,,,
12/13/2010,807,12/3/2010,-1.54,12/13/2010,0.8,12/14/2010,0.664264706,,,
12/14/2010,809,12/6/2010,0.16,12/14/2010,0.22,12/15/2010,-0.092370588,,,
12/15/2010,808,12/7/2010,1,12/15/2010,-0.07,12/16/2010,-0.389882353,,,
12/16/2010,807,12/8/2010,0.66,12/16/2010,0.01,12/17/2010,-0.068211765,,,
12/17/2010,795,12/9/2010,-0.33,12/17/2010,-0.07,12/20/2010,0.074711765,,,
12/20/2010,789,12/10/2010,0.23,12/20/2010,-0.85,12/21/2010,0.150123529,,,
12/21/2010,796,12/13/2010,-0.67,12/21/2010,1.51,12/22/2010,0.214182353,,,
12/22/2010,795,12/14/2010,0.32,12/22/2010,-0.23,12/24/2010,-0.1744,,,
12/24/2010,785,12/15/2010,0.69,12/24/2010,-0.65,12/28/2010,-0.225658824,,,
12/27/2010,791,12/16/2010,-0.39,12/27/2010,0.75,12/29/2010,0.938517647,,,
12/28/2010,781,12/17/2010,0.08,12/28/2010,-0.61,12/30/2010,0.617329412,,,
12/29/2010,785,12/20/2010,-0.25,12/29/2010,0.5,1/4/2011,1.578052941,,,
12/30/2010,773,12/21/2010,-0.02,12/30/2010,-1.12,1/5/2011,-0.295029412,,,
1/4/2011,806,12/22/2010,-0.21,1/4/2011,1.65,1/6/2011,0.187111765,,,
1/5/2011,814,12/23/2010,-0.79,1/5/2011,-0.17,1/7/2011,0.066023529,,,
1/6/2011,825,12/24/2010,-0.04,1/6/2011,1.44,1/11/2011,-0.824635294,,,
1/7/2011,861,12/27/2010,-0.08,1/7/2011,0.11,1/12/2011,-0.078347059,,,
1/11/2011,855,12/28/2010,-0.52,1/11/2011,-0.29,1/13/2011,0.851447059,,,
1/12/2011,853,12/29/2010,-0.92,1/12/2011,0.02,1/14/2011,-0.288488235,,,
1/13/2011,858,12/30/2010,-0.11,1/13/2011,0.73,1/17/2011,-0.216117647,,,
1/14/2011,846,12/31/2010,-0.5,1/14/2011,-0.86,1/18/2011,0.426035294,,,
1/17/2011,837,1/3/2011,0.76,1/17/2011,0.04,1/19/2011,-0.207311765,,,
1/18/2011,844,1/4/2011,0.37,1/18/2011,0.15,1/20/2011,-1.393617647,,,
1/19/2011,849,1/5/2011,1.47,1/19/2011,0.36,1/21/2011,-0.4006,,,
1/20/2011,835,1/6/2011,0.1,1/20/2011,-1.13,1/24/2011,1.114123529,,,
1/21/2011,824,1/7/2011,-0.22,1/21/2011,-1.56,1/25/2011,0.519452941,,,
1/24/2011,830,1/10/2011,-0.53,1/24/2011,0.69,1/26/2011,0.793041176,,,
1/25/2011,846,1/11/2011,0.64,1/25/2011,1.15,1/27/2011,-1.456182353,,,
1/26/2011,835,1/12/2011,-0.29,1/26/2011,-0.6,1/28/2011,-0.873741176,,,
1/27/2011,843,1/13/2011,-0.23,1/27/2011,0.74,1/31/2011,-0.709188235,,,
1/28/2011,849,1/14/2011,0.07,1/28/2011,-1.13,2/1/2011,0.0053,,,
1/31/2011,830,1/17/2011,-0.23,1/31/2011,-1.18,2/2/2011,1.013641176,,,
2/1/2011,837,1/18/2011,-0.15,2/1/2011,0.36,2/7/2011,-0.300370588,,,
2/2/2011,863,1/19/2011,-0.65,2/2/2011,1.78,2/8/2011,0.226964706,,,
2/3/2011,862,1/20/2011,1.21,2/3/2011,-0.25,2/9/2011,-0.287211765,,,
2/4/2011,867,1/21/2011,-0.53,2/4/2011,1.08,2/10/2011,0.009682353,,,
2/7/2011,867,1/24/2011,-0.05,2/7/2011,0.46,2/14/2011,-0.038341176,,,
2/8/2011,871,1/25/2011,-0.34,2/8/2011,0.41,2/15/2011,0.262464706,,,
2/9/2011,893,1/26/2011,-0.1,2/9/2011,-0.17,2/16/2011,-0.371223529,,,
2/10/2011,868,1/27/2011,0.91,2/10/2011,-0.11,2/17/2011,0.835552941,,,
2/14/2011,880,1/28/2011,-0.96,2/14/2011,1.13,2/18/2011,0.322452941,,,
2/15/2011,883,1/31/2011,-0.1,2/15/2011,0.2,2/21/2011,-0.013817647,,,
2/16/2011,875,2/1/2011,-0.84,2/16/2011,0.57,2/22/2011,-2.118152941,,,
2/17/2011,885,2/2/2011,0.25,2/17/2011,0.26,2/23/2011,-0.171041176,,,
2/18/2011,885,2/3/2011,0.1,2/18/2011,0.06,2/24/2011,-0.033264706,,,
2/21/2011,877,2/4/2011,0.67,2/21/2011,0.14,2/25/2011,-1.002229412,,,
2/22/2011,859,2/7/2011,0.18,2/22/2011,-1.78,2/28/2011,0.152147059,,,
2/23/2011,841,2/8/2011,0.04,2/23/2011,-0.8,3/1/2011,0.095682353,,,
2/24/2011,832,2/9/2011,0,2/24/2011,-1.19,3/2/2011,0.709429412,,,
2/25/2011,838,2/10/2011,1.06,2/25/2011,0.71,3/3/2011,-0.248035294,,,
2/28/2011,835,2/11/2011,0.24,2/28/2011,0.92,3/4/2011,-2.903464706,,,
3/1/2011,857,2/14/2011,-0.13,3/1/2011,1.22,3/7/2011,-4.150929412,,,
3/2/2011,843,2/15/2011,0.54,3/2/2011,-2.43,3/8/2011,2.819241176,,,
3/3/2011,840,2/16/2011,-0.11,3/3/2011,0.89,3/9/2011,-0.883882353,,,
3/4/2011,851,2/17/2011,-0.44,3/4/2011,1.02,3/10/2011,-0.057694118,,,
3/7/2011,829,2/18/2011,-0.16,3/7/2011,-1.76,3/11/2011,1.610629412,,,
3/8/2011,819,2/21/2011,-0.05,3/8/2011,0.19,3/14/2011,-1.801923529,,,
3/9/2011,814,2/22/2011,-0.45,3/9/2011,0.61,3/15/2011,-1.577235294,,,
3/10/2011,816,2/23/2011,-0.31,3/10/2011,-1.46,3/16/2011,0.5566,,,
3/11/2011,798,2/24/2011,-0.75,3/11/2011,-1.72,3/17/2011,-0.070570588,,,
3/14/2011,722,2/25/2011,-0.26,3/14/2011,-6.18,3/18/2011,-0.708905882,,,
3/15/2011,698,2/28/2011,0.12,3/15/2011,-10.55,3/22/2011,0.725535294,,,
3/16/2011,741,3/1/2011,0.1,3/16/2011,5.68,3/23/2011,-0.604241176,,,
3/17/2011,733,3/2/2011,0.01,3/17/2011,-1.44,3/24/2011,0.2356,,,
3/18/2011,725,3/3/2011,0.71,3/18/2011,2.72,3/25/2011,-0.542994118,,,
3/22/2011,724,3/4/2011,-0.16,3/22/2011,4.36,3/28/2011,0.483676471,,,
3/23/2011,703,3/7/2011,-0.1,3/23/2011,-1.65,3/29/2011,0.941488235,,,
3/24/2011,671,3/8/2011,0.52,3/24/2011,-0.15,3/30/2011,0.914935294,,,
3/25/2011,681,3/9/2011,0.08,3/25/2011,1.07,3/31/2011,-0.226088235,,,
3/28/2011,705,3/10/2011,0.29,3/28/2011,-0.6,4/1/2011,-0.288952941,,,
3/29/2011,704,3/11/2011,-1.37,3/29/2011,-0.21,4/4/2011,1.0184,,,
3/30/2011,731,3/14/2011,-0.26,3/30/2011,2.64,4/6/2011,1.177758824,,,
3/31/2011,738,3/15/2011,-1.11,3/31/2011,0.48,4/7/2011,0.441952941,,,
4/1/2011,729,3/16/2011,-1.4,4/1/2011,-0.48,4/8/2011,-0.568464706,,,
4/4/2011,731,3/17/2011,-0.88,4/4/2011,0.11,4/11/2011,-0.019364706,,,
4/5/2011,715,3/18/2011,2.14,4/5/2011,-1.06,4/12/2011,0.667270588,,,
4/6/2011,712,3/21/2011,0.56,4/6/2011,-0.32,4/13/2011,0.991141176,,,
4/7/2011,720,3/22/2011,-0.07,4/7/2011,0.07,4/14/2011,0.998594118,,,
4/8/2011,714,3/23/2011,-0.06,4/8/2011,1.85,4/15/2011,-1.202641176,,,
4/11/2011,697,3/24/2011,0.06,4/11/2011,-0.5,4/18/2011,-0.6204,,,
4/12/2011,696,3/25/2011,0.46,4/12/2011,-1.69,4/19/2011,1.063641176,,,
4/13/2011,716,3/28/2011,0.43,4/13/2011,0.9,4/20/2011,0.672947059,,,
4/14/2011,727,3/29/2011,0.97,4/14/2011,0.13,4/21/2011,1.578452941,,,
4/15/2011,723,3/30/2011,0.5,4/15/2011,-0.65,4/26/2011,-1.033905882,,,
4/18/2011,715,3/31/2011,0.29,4/18/2011,-0.36,4/27/2011,-0.387817647,,,
4/19/2011,709,4/1/2011,1.12,4/19/2011,-1.21,4/28/2011,1.244682353,,,
4/20/2011,723,4/4/2011,0,4/20/2011,1.76,5/6/2011,-0.618041176,,,
4/21/2011,746,4/5/2011,0.96,4/21/2011,0.82,5/9/2011,0.608176471,,,
4/22/2011,773,4/6/2011,0.73,4/22/2011,-0.04,5/11/2011,-0.038123529,,,
4/25/2011,759,4/7/2011,-0.68,4/25/2011,-0.11,5/12/2011,-0.758988235,,,
4/26/2011,761,4/8/2011,-0.18,4/26/2011,-1.17,5/13/2011,-0.303247059,,,
4/27/2011,778,4/11/2011,-0.19,4/27/2011,1.39,5/16/2011,-0.4938,,,
4/28/2011,774,4/12/2011,-1.21,4/28/2011,1.63,5/17/2011,0.561747059,,,
5/2/2011,795,4/13/2011,0.31,5/2/2011,1.57,5/18/2011,1.746723529,,,
5/6/2011,777,4/14/2011,-0.41,5/6/2011,-1.45,5/19/2011,-0.918152941,,,
5/9/2011,767,4/15/2011,-0.44,5/9/2011,-0.66,5/20/2011,-0.048676471,,,
5/10/2011,769,4/18/2011,-0.57,5/10/2011,0.25,5/23/2011,-0.074511765,,,
5/11/2011,784,4/19/2011,-0.08,5/11/2011,0.46,5/24/2011,0.112011765,,,
5/12/2011,795,4/20/2011,-0.04,5/12/2011,-1.5,5/25/2011,-1.373435294,,,
5/13/2011,823,4/21/2011,-0.86,5/13/2011,-0.7,5/26/2011,0.360752941,,,
5/16/2011,803,4/22/2011,0.04,5/16/2011,-0.94,5/27/2011,-0.036817647,,,
5/17/2011,809,4/25/2011,-0.06,5/17/2011,0.09,5/30/2011,0.366470588,,,
5/18/2011,812,4/26/2011,-0.34,5/18/2011,0.99,5/31/2011,-0.532735294,,,
5/19/2011,804,4/27/2011,0.75,5/19/2011,-0.43,6/1/2011,-0.533229412,,,
5/20/2011,779,4/28/2011,-0.75,5/20/2011,-0.14,6/2/2011,0.178894118,,,
5/23/2011,783,4/29/2011,-0.43,5/23/2011,-1.52,6/3/2011,-0.920794118,,,
5/24/2011,781,5/2/2011,0.05,5/24/2011,0.17,6/7/2011,-0.299547059,,,
5/25/2011,791,5/3/2011,-0.36,5/25/2011,-0.57,6/8/2011,0.125717647,,,
5/26/2011,800,5/4/2011,-0.41,5/26/2011,1.48,6/9/2011,-0.641117647,,,
5/27/2011,796,5/5/2011,-0.67,5/27/2011,-0.42,6/10/2011,-0.401229412,,,
5/30/2011,794,5/6/2011,0.7,5/30/2011,-0.18,6/13/2011,-0.612523529,,,
5/31/2011,814,5/9/2011,-0.33,5/31/2011,1.99,6/14/2011,1.003317647,,,
6/1/2011,807,5/10/2011,0.65,6/1/2011,0.27,6/15/2011,0.892570588,,,
6/2/2011,781,5/11/2011,0.21,6/2/2011,-1.69,6/16/2011,-0.688082353,,,
6/3/2011,773,5/12/2011,-0.14,6/3/2011,-0.66,6/17/2011,-0.175870588,,,
6/6/2011,767,5/13/2011,-0.17,6/6/2011,-1.18,6/20/2011,0.603211765,,,
6/7/2011,782,5/16/2011,-0.01,6/7/2011,0.67,6/21/2011,0.084929412,,,
6/8/2011,778,5/17/2011,0.78,6/8/2011,0.07,6/22/2011,0.660605882,,,
6/9/2011,778,5/18/2011,0.32,6/9/2011,0.19,6/23/2011,-0.530282353,,,
6/10/2011,793,5/19/2011,-0.09,6/10/2011,0.5,6/24/2011,0.893629412,,,
6/13/2011,784,5/20/2011,0.11,6/13/2011,-0.7,6/27/2011,1.153994118,,,
6/14/2011,804,5/23/2011,0.38,6/14/2011,1.05,6/28/2011,-0.445911765,,,
6/15/2011,810,5/24/2011,-0.07,6/15/2011,0.28,6/29/2011,1.2556,,,
6/16/2011,794,5/25/2011,0.02,6/16/2011,-1.7,6/30/2011,0.096629412,,,
6/17/2011,800,5/26/2011,-0.83,6/17/2011,-0.64,7/4/2011,1.513882353,,,
6/20/2011,795,5/27/2011,-0.6,6/20/2011,0.03,7/5/2011,0.459935294,,,
6/21/2011,820,5/30/2011,0.17,6/21/2011,1.13,7/6/2011,-0.415164706,,,
6/22/2011,828,5/31/2011,0.72,6/22/2011,1.79,7/7/2011,-0.177023529,,,
6/23/2011,839,6/1/2011,-0.7,6/23/2011,-0.34,7/8/2011,0.935264706,,,
6/24/2011,844,6/2/2011,-0.06,6/24/2011,0.85,7/11/2011,0.092194118,,,
6/27/2011,845,6/3/2011,-0.69,6/27/2011,-1.04,7/12/2011,-0.981047059,,,
6/28/2011,825,6/6/2011,-0.3,6/28/2011,0.74,7/13/2011,0.500458824,,,
6/29/2011,847,6/7/2011,-0.01,6/29/2011,1.54,7/14/2011,0.119588235,,,
6/30/2011,842,6/8/2011,-0.25,6/30/2011,0.19,7/15/2011,0.155311765,,,
7/1/2011,850,6/9/2011,0.59,7/1/2011,0.53,7/19/2011,0.241470588,,,
7/4/2011,859,6/10/2011,-0.05,7/4/2011,0.98,7/20/2011,-0.398129412,,,
7/5/2011,858,6/13/2011,-0.1,7/5/2011,0.07,7/21/2011,-0.706235294,,,
7/6/2011,877,6/14/2011,0.31,7/6/2011,1.1,7/22/2011,-0.552288235,,,
7/7/2011,863,6/15/2011,0.58,7/7/2011,-0.11,7/25/2011,0.681441176,,,
7/8/2011,870,6/16/2011,-0.41,7/8/2011,0.66,7/26/2011,-0.164152941,,,
7/11/2011,871,6/17/2011,-0.72,7/11/2011,-0.67,7/27/2011,-0.616711765,,,
7/12/2011,852,6/20/2011,0.25,7/12/2011,-1.43,7/28/2011,0.088652941,,,
7/13/2011,840,6/21/2011,-0.05,7/13/2011,0.37,7/29/2011,-1.632723529,,,
7/14/2011,846,6/22/2011,0.1,7/14/2011,-0.27,8/1/2011,-1.102835294,,,
7/15/2011,848,6/23/2011,0.27,7/15/2011,0.39,8/2/2011,-1.148229412,,,
7/19/2011,835,6/24/2011,-0.1,7/19/2011,-0.85,8/3/2011,-1.444847059,,,
7/20/2011,838,6/27/2011,0.57,7/20/2011,1.17,8/4/2011,-1.020864706,,,
7/21/2011,847,6/28/2011,0.28,7/21/2011,0.04,8/5/2011,-1.802029412,,,
7/22/2011,861,6/29/2011,-0.42,7/22/2011,1.22,8/8/2011,-0.291052941,,,
7/25/2011,851,6/30/2011,-0.27,7/25/2011,-0.81,8/9/2011,-1.355870588,,,
7/26/2011,864,7/1/2011,0.34,7/26/2011,0.47,8/10/2011,-1.424541176,,,
7/27/2011,848,7/4/2011,-0.04,7/27/2011,-0.5,8/11/2011,-1.633429412,,,
7/28/2011,830,7/5/2011,0.33,7/28/2011,-1.45,8/12/2011,-3.141794118,,,
7/29/2011,822,7/6/2011,-0.2,7/29/2011,-0.69,8/15/2011,-0.961788235,,,
8/1/2011,833,7/7/2011,0.42,8/1/2011,1.34,8/16/2011,1.003758824,,,
8/2/2011,820,7/8/2011,-0.75,8/2/2011,-1.21,8/17/2011,-0.993723529,,,
8/3/2011,797,7/11/2011,-0.47,8/3/2011,-2.11,8/18/2011,-0.064270588,,,
8/4/2011,793,7/12/2011,-1.27,8/4/2011,0.23,8/19/2011,-0.570194118,,,
8/5/2011,769,7/13/2011,-0.33,8/5/2011,-3.72,8/22/2011,-2.376223529,,,
8/8/2011,748,7/14/2011,0.2,8/8/2011,-2.18,8/23/2011,1.768752941,,,
8/9/2011,733,7/15/2011,-0.01,8/9/2011,-1.68,8/24/2011,-0.991558824,,,
8/10/2011,735,7/18/2011,-0.11,8/10/2011,1.05,8/25/2011,1.774652941,,,
8/11/2011,709,7/19/2011,0.18,8/11/2011,-0.63,8/26/2011,-1.142111765,,,
8/12/2011,693,7/20/2011,-0.51,8/12/2011,-0.2,8/29/2011,-1.069123529,,,
8/15/2011,716,7/21/2011,-0.61,8/15/2011,1.37,8/30/2011,-1.437776471,,,
8/16/2011,720,7/22/2011,0.31,8/16/2011,0.23,8/31/2011,0.573847059,,,
8/17/2011,709,7/25/2011,-0.32,8/17/2011,-0.55,9/1/2011,0.608311765,,,
8/18/2011,683,7/26/2011,-0.52,8/18/2011,-1.25,9/2/2011,0.108435294,,,
8/19/2011,653,7/27/2011,0.13,8/19/2011,-2.51,9/5/2011,-1.729041176,,,
8/22/2011,626,7/28/2011,-0.4,8/22/2011,-1.04,9/6/2011,0.892476471,,,
8/23/2011,645,7/29/2011,-1.17,8/23/2011,1.22,9/7/2011,1.020841176,,,
8/24/2011,629,8/1/2011,0.59,8/24/2011,-1.07,9/8/2011,0.617570588,,,
8/25/2011,673,8/2/2011,-0.08,8/25/2011,1.54,9/9/2011,0.853611765,,,
8/26/2011,674,8/3/2011,-0.12,8/26/2011,0.29,9/12/2011,-0.978529412,,,
8/29/2011,674,8/4/2011,2.37,8/29/2011,0.61,9/14/2011,0.014417647,,,
8/30/2011,679,8/5/2011,-0.62,8/30/2011,1.16,9/15/2011,-1.096976471,,,
8/31/2011,697,8/8/2011,-0.8,8/31/2011,0.01,9/16/2011,-1.414641176,,,
9/1/2011,715,8/9/2011,-1.04,9/1/2011,1.18,9/20/2011,2.074858824,,,
9/2/2011,703,8/10/2011,-0.13,9/2/2011,-1.21,9/21/2011,0.664035294,,,
9/5/2011,677,8/11/2011,-0.03,9/5/2011,-1.86,9/22/2011,-1.114852941,,,
9/6/2011,655,8/12/2011,-0.17,9/6/2011,-2.21,9/26/2011,-1.907947059,,,
9/7/2011,672,8/15/2011,0.16,9/7/2011,2.01,9/27/2011,0.786258824,,,
9/8/2011,673,8/16/2011,-0.04,9/8/2011,0.34,9/28/2011,1.015305882,,,
9/9/2011,667,8/17/2011,-0.26,9/9/2011,-0.63,9/30/2011,0.173447059,,,
9/12/2011,647,8/18/2011,-0.03,9/12/2011,-2.31,10/3/2011,-0.263876471,,,
9/13/2011,657,8/19/2011,-0.04,9/13/2011,0.95,10/4/2011,-0.483770588,,,
9/14/2011,648,8/22/2011,0.31,9/14/2011,-1.14,10/6/2011,1.237070588,,,
