,ann.ret.5,ann.std.5,downrisk.5,drawdown.5,sharpe.5,sortino.5,inforatio.5,alpha.5,beta.5,corr.bhf.5,corr.bidx.5,omega.5,wl.5,skewness.5,kurtosis.5
GBAMBOO.KY.Equity,0.082598863,0.262271384,0.186902031,-0.471003019,0.295872397,0.415184696,0.14207783,-0.000763469,1.357992783,0.609060348,0.51064883,1.413462043,0.6,0.006986256,2.150899676
GHKNCVF.KY.Equity,0.212971692,0.331430868,0.167464739,-0.41483338,0.627496447,1.241883473,0.54246741,0.013921474,0.81023581,0.328035649,0.241098366,2.187101842,0.583333333,3.321357777,19.59850951
GLDCHPL.KY.Equity,0.14213976,0.192124546,0.155377983,-0.352362139,0.71380655,0.882620286,0.913151672,0.005359763,0.970629057,0.574725062,0.498248754,1.856257442,0.666666667,-0.502697128,2.275769145
GOLDCHI.KY.Equity,0.210508504,0.174501897,0.108065766,-0.184053455,1.177686364,1.901698483,0.972317913,0.011292453,0.793729117,0.519968124,0.448588306,2.557238807,0.666666667,0.247947714,1.174431737
GREASHI.KY.Equity,-0.049336911,0.088873394,0.071887719,-0.341475127,-0.611396832,-0.755858058,-0.970694562,-0.004495739,0.082110056,0.163154624,0.091117201,0.662318039,0.483333333,-0.839773976,1.503548436
GRECVPD.MV.Equity,0.06909722,0.151627956,0.140302093,-0.332607932,0.42272693,0.456851492,0.559788557,-0.000623578,0.962073449,NA,0.624862151,1.523779633,0.65,-0.969383003,2.73355623
GRNDRGN.KY.Equity,0.054693137,0.182444058,0.142624515,-0.342862902,0.272374655,0.348419325,0.16821289,-0.002974406,1.170662652,0.698773238,0.632816548,1.34518317,0.566666667,-0.621622696,1.701661737
GRSPOPA.KY.Equity,0.033825533,0.062860385,0.101288668,-0.100766,0.458564381,0.284587939,-0.101280287,0.002334667,0.080632947,0.148772959,0.126506048,2.181601532,0.816666667,-1.957385834,19.73189258
HALCYON.KY.Equity,-0.108075884,0.321697925,0.202487695,-0.792721147,-0.351497088,-0.558433359,-0.206751442,-0.013272579,1.070997646,0.401570327,0.328334141,0.86191857,0.466666667,0.162846109,0.662177136
ILASCON.US.Equity,0.033496458,0.227695729,0.116514702,-0.524221192,0.12515148,0.244573921,-0.028859088,-0.005366585,1.355374275,0.582977528,0.587056824,1.199455549,0.55,0.411966361,0.899640543
INFCOPP.KY.Equity,0.027036962,0.177625408,0.138760162,-0.40626094,0.124064245,0.158813322,0.174608418,-0.002959791,0.863991746,0.603424923,0.479711679,1.200822871,0.566666667,-0.58335815,1.484925744
