,6301 JP Equity,,TPX Index,,.GOVTUSJP Index
5/31/2013,2611,5/31/2013,1135.78,5/24/2013,-1.1661
6/3/2013,2580,6/3/2013,1096.95,5/27/2013,-1.1681
6/4/2013,2583,6/4/2013,1125.47,5/28/2013,-1.2602
6/5/2013,2514,6/5/2013,1090.03,5/29/2013,-1.1783
6/6/2013,2415,6/6/2013,1070.77,5/30/2013,-1.222
6/7/2013,2405,6/7/2013,1056.95,5/31/2013,-1.2632
6/10/2013,2503,6/10/2013,1111.97,6/3/2013,-1.3103
6/11/2013,2440,6/11/2013,1101.15,6/4/2013,-1.2772
6/12/2013,2443,6/12/2013,1096.54,6/5/2013,-1.2392
6/13/2013,2321,6/13/2013,1044.17,6/6/2013,-1.2459
6/14/2013,2303,6/14/2013,1056.45,6/7/2013,-1.3258
6/17/2013,2359,6/17/2013,1084.72,6/10/2013,-1.3767
6/18/2013,2360,6/18/2013,1086.4,6/11/2013,-1.3186
6/19/2013,2410,6/19/2013,1106.57,6/12/2013,-1.356
6/20/2013,2319,6/20/2013,1091.81,6/13/2013,-1.2909
6/21/2013,2320,6/21/2013,1099.4,6/14/2013,-1.3155
6/24/2013,2214,6/24/2013,1089.64,6/17/2013,-1.3477
6/25/2013,2129,6/25/2013,1078.66,6/18/2013,-1.3654
6/26/2013,2121,6/26/2013,1069.28,6/19/2013,-1.5427
6/27/2013,2225,6/27/2013,1098.83,6/20/2013,-1.5804
6/28/2013,2293,6/28/2013,1133.84,6/21/2013,-1.659
7/1/2013,2315,7/1/2013,1150.7,6/24/2013,-1.6588
7/2/2013,2388,7/2/2013,1171.84,6/25/2013,-1.7442
7/3/2013,2300,7/3/2013,1173.81,6/26/2013,-1.6713
7/4/2013,2274,7/4/2013,1170.71,6/27/2013,-1.6361
7/5/2013,2328,7/5/2013,1188.58,6/28/2013,-1.6407
7/8/2013,2257,7/8/2013,1172.58,7/1/2013,-1.5975
7/9/2013,2335,7/9/2013,1196.89,7/2/2013,-1.5803
7/10/2013,2338,7/10/2013,1195.2,7/3/2013,-1.6232
7/11/2013,2339,7/11/2013,1194.77,7/4/2013,-1.6422
7/12/2013,2400,7/12/2013,1201.99,7/5/2013,-1.8841
7/16/2013,2405,7/16/2013,1210.54,7/8/2013,-1.7566
7/17/2013,2434,7/17/2013,1213.24,7/9/2013,-1.767
7/18/2013,2429,7/18/2013,1222.01,7/10/2013,-1.7728
7/19/2013,2384,7/19/2013,1211.98,7/11/2013,-1.7541
7/22/2013,2387,7/22/2013,1216.53,7/12/2013,-1.7641
7/23/2013,2397,7/23/2013,1222.72,7/15/2013,-1.7192
7/24/2013,2386,7/24/2013,1219.92,7/16/2013,-1.7077
7/25/2013,2330,7/25/2013,1202.32,7/17/2013,-1.6708
7/26/2013,2246,7/26/2013,1167.06,7/18/2013,-1.7234
7/29/2013,2163,7/29/2013,1128.45,7/19/2013,-1.6799
7/30/2013,2192,7/30/2013,1148.53,7/22/2013,-1.6884
7/31/2013,2188,7/31/2013,1131.7,7/23/2013,-1.7249
8/1/2013,2209,8/1/2013,1163.39,7/24/2013,-1.811
8/2/2013,2225,8/2/2013,1196.17,7/25/2013,-1.7702
8/5/2013,2214,8/5/2013,1184.74,7/26/2013,-1.7704
8/6/2013,2196,8/6/2013,1193.66,7/29/2013,-1.8053
8/7/2013,2135,8/7/2013,1155.26,7/30/2013,-1.8131
8/8/2013,2154,8/8/2013,1139.59,7/31/2013,-1.7792
8/9/2013,2177,8/9/2013,1140.91,8/1/2013,-1.909
8/12/2013,2272,8/12/2013,1134.62,8/2/2013,-1.785
8/13/2013,2315,8/13/2013,1157.15,8/5/2013,-1.8553
8/14/2013,2304,8/14/2013,1171.34,8/6/2013,-1.8541
8/15/2013,2275,8/15/2013,1151.82,8/7/2013,-1.8386
8/16/2013,2220,8/16/2013,1142.65,8/8/2013,-1.8292
8/19/2013,2236,8/19/2013,1149.13,8/9/2013,-1.8194
8/20/2013,2168,8/20/2013,1125.27,8/12/2013,-1.8666
8/21/2013,2198,8/21/2013,1121.74,8/13/2013,-1.979
8/22/2013,2189,8/22/2013,1119.56,8/14/2013,-1.9526
8/23/2013,2245,8/23/2013,1141.63,8/15/2013,-2.0144
8/26/2013,2244,8/26/2013,1140,8/16/2013,-2.0581
8/27/2013,2209,8/27/2013,1134.02,8/19/2013,-2.1074
8/28/2013,2179,8/28/2013,1114.03,8/20/2013,-2.0602
8/29/2013,2170,8/29/2013,1116.51,8/21/2013,-2.1495
8/30/2013,2155,8/30/2013,1106.05,8/22/2013,-2.1254
9/2/2013,2175,9/2/2013,1117.78,8/23/2013,-2.0406
9/3/2013,2247,9/3/2013,1149.18,8/26/2013,-2.0103
9/4/2013,2261,9/4/2013,1156.3,8/27/2013,-1.9527
9/5/2013,2249,9/5/2013,1157.84,8/28/2013,-2.0343
9/6/2013,2223,9/6/2013,1147.82,8/29/2013,-2.0417
9/9/2013,2282,9/9/2013,1173,8/30/2013,-2.0489
9/10/2013,2428,9/10/2013,1190.22,9/2/2013,-2.0279
9/11/2013,2493,9/11/2013,1189.25,9/3/2013,-2.0936
9/12/2013,2525,9/12/2013,1184.36,9/4/2013,-2.1286
9/13/2013,2537,9/13/2013,1185.28,9/5/2013,-2.2257
9/17/2013,2533,9/17/2013,1181.64,9/6/2013,-2.1502
9/18/2013,2553,9/18/2013,1193.07,9/9/2013,-2.162
9/19/2013,2584,9/19/2013,1215.48,9/10/2013,-2.2333
9/20/2013,2572,9/20/2013,1218.98,9/11/2013,-2.1762
9/24/2013,2532,9/24/2013,1214.87,9/12/2013,-2.1855
9/25/2013,2467,9/25/2013,1211.15,9/13/2013,-2.1626
9/26/2013,2480,9/26/2013,1220.49,9/16/2013,-2.1423
9/27/2013,2456,9/27/2013,1217.52,9/17/2013,-2.1348
9/30/2013,2439,9/30/2013,1194.1,9/18/2013,-1.9798
10/1/2013,2406,10/1/2013,1193.44,9/19/2013,-2.0779
10/2/2013,2359,10/2/2013,1175.16,9/20/2013,-2.0397
10/3/2013,2353,10/3/2013,1173.99,9/23/2013,-2.0059
10/4/2013,2341,10/4/2013,1163.82,9/24/2013,-1.9802
10/7/2013,2309,10/7/2013,1147.58,9/25/2013,-1.953
10/8/2013,2262,10/8/2013,1150.13,9/26/2013,-1.9548
10/9/2013,2316,10/9/2013,1166.9,9/27/2013,-1.9395
10/10/2013,2318,10/10/2013,1177.95,9/30/2013,-1.925
10/11/2013,2364,10/11/2013,1197.17,10/1/2013,-1.988
10/15/2013,2372,10/15/2013,1197.47,10/2/2013,-1.9703
10/16/2013,2370,10/16/2013,1196.78,10/3/2013,-1.9626
10/17/2013,2393,10/17/2013,1206.25,10/4/2013,-1.9877
10/18/2013,2366,10/18/2013,1205.52,10/7/2013,-1.9785
10/21/2013,2402,10/21/2013,1212.36,10/8/2013,-1.975
10/22/2013,2400,10/22/2013,1214.44,10/9/2013,-2.0061
10/23/2013,2371,10/23/2013,1195.98,10/10/2013,-2.0244
10/24/2013,2322,10/24/2013,1203.35,10/11/2013,-2.0291
10/25/2013,2298,10/25/2013,1178.28,10/14/2013,-2.0291
10/28/2013,2358,10/28/2013,1198.36,10/15/2013,-2.0596
10/29/2013,2168,10/29/2013,1193.5,10/16/2013,-2.0193
10/30/2013,2152,10/30/2013,1204.5,10/17/2013,-1.9544
10/31/2013,2140,10/31/2013,1194.26,10/18/2013,-1.9527
11/1/2013,2109,11/1/2013,1183.03,10/21/2013,-1.9714
11/5/2013,2076,11/5/2013,1182.58,10/22/2013,-1.8864
11/6/2013,2105,11/6/2013,1192.16,10/23/2013,-1.8906
11/7/2013,2093,11/7/2013,1184.73,10/24/2013,-1.9037
11/8/2013,2090,11/8/2013,1176.42,10/25/2013,-1.8878
11/11/2013,2116,11/11/2013,1185.65,10/28/2013,-1.9013
11/12/2013,2160,11/12/2013,1205.41,10/29/2013,-1.8874
11/13/2013,2171,11/13/2013,1204.19,10/30/2013,-1.9408
11/14/2013,2179,11/14/2013,1218.55,10/31/2013,-1.9512
11/15/2013,2175,11/15/2013,1239.04,11/1/2013,-2.0188
11/18/2013,2181,11/18/2013,1241.67,11/4/2013,-2.0005
11/19/2013,2126,11/19/2013,1236.86,11/5/2013,-2.0556
11/20/2013,2132,11/20/2013,1233.43,11/6/2013,-2.0231
11/21/2013,2156,11/21/2013,1246.31,11/7/2013,-2.0009
11/22/2013,2152,11/22/2013,1248.57,11/8/2013,-2.1537
11/25/2013,2162,11/25/2013,1259.61,11/11/2013,-2.1527
11/26/2013,2170,11/26/2013,1253.02,11/12/2013,-2.1688
11/27/2013,2165,11/27/2013,1247.08,11/13/2013,-2.0906
11/28/2013,2155,11/28/2013,1261.04,11/14/2013,-2.085
11/29/2013,2129,11/29/2013,1258.66,11/15/2013,-2.0643
12/2/2013,2109,12/2/2013,1258.94,11/18/2013,-2.0258
12/3/2013,2090,12/3/2013,1262.54,11/19/2013,-2.0799
12/4/2013,2056,12/4/2013,1240.99,11/20/2013,-2.1767
12/5/2013,2024,12/5/2013,1229.65,11/21/2013,-2.1482
12/6/2013,2059,12/6/2013,1235.83,11/22/2013,-2.1067
12/9/2013,2076,12/9/2013,1255.32,11/25/2013,-2.0823
12/10/2013,2079,12/10/2013,1256.33,11/26/2013,-2.0817
12/11/2013,2050,12/11/2013,1250.45,11/27/2013,-2.1263
12/12/2013,2029,12/12/2013,1242.23,11/28/2013,-2.1263
12/13/2013,2025,12/13/2013,1238.88,11/29/2013,-2.1335
12/16/2013,2007,12/16/2013,1222.95,12/2/2013,-2.1731
12/17/2013,2045,12/17/2013,1232.31,12/3/2013,-2.1395
12/18/2013,2089,12/18/2013,1250.49,12/4/2013,-2.1922
12/19/2013,2116,12/19/2013,1263.07,12/5/2013,-2.2287
12/20/2013,2102,12/20/2013,1261.64,12/6/2013,-2.1883
12/24/2013,2117,12/24/2013,1257.55,12/9/2013,-2.1859
12/25/2013,2104,12/25/2013,1258.18,12/10/2013,-2.1376
12/26/2013,2119,12/26/2013,1279.34,12/11/2013,-2.2005
12/27/2013,2121,12/27/2013,1290.07,12/12/2013,-2.2243
12/30/2013,2137,12/30/2013,1302.29,12/13/2013,-2.1826
1/6/2014,2090,1/6/2014,1292.15,12/16/2013,-2.1964
1/7/2014,2056,1/7/2014,1283.25,12/17/2013,-2.1754
1/8/2014,2114,1/8/2014,1306.23,12/18/2013,-2.2401
1/9/2014,2072,1/9/2014,1296.75,12/19/2013,-2.2561
1/10/2014,2064,1/10/2014,1298.48,12/20/2013,-2.2106
1/14/2014,2038,1/14/2014,1269.08,12/23/2013,-2.2494
1/15/2014,2052,1/15/2014,1294.52,12/24/2013,-2.3035
1/16/2014,2054,1/16/2014,1294.39,12/25/2013,-2.2885
1/17/2014,2052,1/17/2014,1297.39,12/26/2013,-2.2835
1/20/2014,2087,1/20/2014,1293.86,12/27/2013,-2.292
,,,,12/30/2013,-2.2343
,,,,12/31/2013,-2.2922
,,,,1/1/2014,-2.2922
,,,,1/2/2014,-2.253
,,,,1/3/2014,-2.2588
,,,,1/6/2014,-2.2326
,,,,1/7/2014,-2.2431
,,,,1/8/2014,-2.2884
,,,,1/9/2014,-2.2692
,,,,1/10/2014,-2.1619
,,,,1/13/2014,-2.1297
,,,,1/14/2014,-2.2179
,,,,1/15/2014,-2.2292
,,,,1/16/2014,-2.1684
,,,,1/17/2014,-2.1454
,,,,1/20/2014,-2.1454
