,857 HK Equity,,386 HK Equity,,883 HK Equity,,1088 HK Equity,,2883 HK Equity,,1898 HK Equity,,1171 HK Equity,,384 HK Equity,,3337 HK Equity,,956 HK Equity,,196 HK Equity,,568 HK Equity,,975 HK Equity,,1393 HK Equity,,951 HK Equity,,686 HK Equity,,712 HK Equity,,839 HK Equity,,866 HK Equity,,3303 HK Equity,,842 HK Equity,,,,,,,,,
6/30/2010,1.12632,6/30/2010,0.63,6/30/2010,1.71838,6/30/2010,3.66,6/30/2010,1.18283,6/30/2010,1.27,6/30/2010,1.95983,6/30/2010,0.56,6/30/2010,0.09247,12/4/2012,0.19,6/30/2010,0.14641,6/30/2010,0.45,12/5/2012,0.49548,6/30/2010,0.74746,8/27/2012,0.59,6/30/2010,0.07,12/20/2011,0.14134,6/30/2010,0.35,8/22/2011,0.16156,6/30/2010,0.11,1/10/2013,0.19738,,,,,,,,,
7/2/2010,1.09825,7/2/2010,0.61,7/2/2010,1.66021,7/2/2010,3.53,7/2/2010,1.14572,7/2/2010,1.21,7/2/2010,1.88345,7/2/2010,0.54,7/2/2010,0.09109,12/5/2012,0.20,7/2/2010,0.13985,7/2/2010,0.45,12/6/2012,0.48257,7/2/2010,0.72618,8/28/2012,0.55,7/2/2010,0.07,12/21/2011,0.1465,7/2/2010,0.34,8/23/2011,0.16674,7/2/2010,0.11,1/11/2013,0.18447,,,,,,,,,
7/5/2010,1.10484,7/5/2010,0.61,7/5/2010,1.6502,7/5/2010,3.55,7/5/2010,1.13307,7/5/2010,1.21,7/5/2010,1.91967,7/5/2010,0.54,7/5/2010,0.09111,12/6/2012,0.19,7/5/2010,0.13859,7/5/2010,0.46,12/7/2012,0.4929,7/5/2010,0.69678,8/29/2012,0.58,7/5/2010,0.07,12/22/2011,0.14135,7/5/2010,0.33,8/24/2011,0.16549,7/5/2010,0.11,1/14/2013,0.18833,,,,,,,,,
7/6/2010,1.12342,7/6/2010,0.63,7/6/2010,1.67679,7/6/2010,3.65,7/6/2010,1.13755,7/6/2010,1.26,7/6/2010,1.96952,7/6/2010,0.54,7/6/2010,0.09244,12/7/2012,0.20,7/6/2010,0.13738,7/6/2010,0.50,12/10/2012,0.49032,7/6/2010,0.7344,8/30/2012,0.55,7/6/2010,0.07,12/23/2011,0.14531,7/6/2010,0.35,8/25/2011,0.16354,7/6/2010,0.12,1/15/2013,0.18447,,,,,,,,,
7/7/2010,1.09492,7/7/2010,0.62,7/7/2010,1.63019,7/7/2010,3.59,7/7/2010,1.11289,7/7/2010,1.24,7/7/2010,1.93056,7/7/2010,0.54,7/7/2010,0.08985,12/10/2012,0.20,7/7/2010,0.13478,7/7/2010,0.48,12/11/2012,0.4929,7/7/2010,0.74193,8/31/2012,0.52,7/7/2010,0.07,12/28/2011,0.14017,7/7/2010,0.34,8/26/2011,0.15715,7/7/2010,0.11,1/16/2013,0.1922,,,,,,,,,
7/8/2010,1.09921,7/8/2010,0.61,7/8/2010,1.65139,7/8/2010,3.62,7/8/2010,1.15186,7/8/2010,1.27,7/8/2010,1.94673,7/8/2010,0.55,7/8/2010,0.09246,12/11/2012,0.20,7/8/2010,0.13355,7/8/2010,0.48,12/12/2012,0.48516,7/8/2010,0.76277,9/3/2012,0.54,7/8/2010,0.06,12/29/2011,0.14024,7/8/2010,0.37,8/29/2011,0.18795,7/8/2010,0.11,1/17/2013,0.18704,,,,,,,,,
7/9/2010,1.12693,7/9/2010,0.62,7/9/2010,1.67496,7/9/2010,3.69,7/9/2010,1.17196,7/9/2010,1.33,7/9/2010,2.0043,7/9/2010,0.55,7/9/2010,0.09391,12/12/2012,0.20,7/9/2010,0.13379,7/9/2010,0.48,12/13/2012,0.48774,7/9/2010,0.78345,9/4/2012,0.53,7/9/2010,0.07,12/30/2011,0.13906,7/9/2010,0.37,8/30/2011,0.1899,7/9/2010,0.11,1/18/2013,0.19219,,,,,,,,,
7/12/2010,1.13364,7/12/2010,0.61,7/12/2010,1.68309,7/12/2010,3.76,7/12/2010,1.18125,7/12/2010,1.34,7/12/2010,2.0331,7/12/2010,0.54,7/12/2010,0.09265,12/13/2012,0.20,7/12/2010,0.13382,7/12/2010,0.48,12/14/2012,0.49419,7/12/2010,0.7785,9/5/2012,0.53,7/12/2010,0.08,1/3/2012,0.13903,7/12/2010,0.37,8/31/2011,0.19906,7/12/2010,0.11,1/21/2013,0.18832,,,,,,,,,
7/13/2010,1.1244,7/13/2010,0.61,7/13/2010,1.66474,7/13/2010,3.73,7/13/2010,1.16943,7/13/2010,1.31,7/13/2010,2.00952,7/13/2010,0.55,7/13/2010,0.09134,12/14/2012,0.20,7/13/2010,0.1338,7/13/2010,0.46,12/17/2012,0.48514,7/13/2010,0.77448,9/6/2012,0.55,7/13/2010,0.08,1/4/2012,0.13904,7/13/2010,0.37,9/1/2011,0.19721,7/13/2010,0.11,1/22/2013,0.19089,,,,,,,,,
7/14/2010,1.12861,7/14/2010,0.61,7/14/2010,1.63951,7/14/2010,3.71,7/14/2010,1.17365,7/14/2010,1.33,7/14/2010,2.01786,7/14/2010,0.55,7/14/2010,0.09266,12/17/2012,0.20,7/14/2010,0.13641,7/14/2010,0.46,12/18/2012,0.48516,7/14/2010,0.78501,9/7/2012,0.56,7/14/2010,0.08,1/5/2012,0.13909,7/14/2010,0.37,9/2/2011,0.19002,7/14/2010,0.11,1/23/2013,0.19476,,,,,,,,,
7/15/2010,1.10563,7/15/2010,0.60,7/15/2010,1.59603,7/15/2010,3.64,7/15/2010,1.15841,7/15/2010,1.29,7/15/2010,1.95127,7/15/2010,0.54,7/15/2010,0.09267,12/18/2012,0.20,7/15/2010,0.13643,7/15/2010,0.45,12/19/2012,0.48516,7/15/2010,0.77999,9/10/2012,0.57,7/15/2010,0.08,1/6/2012,0.13779,7/15/2010,0.36,9/5/2011,0.18869,7/15/2010,0.11,1/24/2013,0.18702,,,,,,,,,
7/16/2010,1.10422,7/16/2010,0.60,7/16/2010,1.57782,7/16/2010,3.64,7/16/2010,1.16085,7/16/2010,1.30,7/16/2010,1.97164,7/16/2010,0.54,7/16/2010,0.09137,12/19/2012,0.21,7/16/2010,0.13256,7/16/2010,0.46,12/20/2012,0.48386,7/16/2010,0.7503,9/11/2012,0.58,7/16/2010,0.08,1/9/2012,0.1352,7/16/2010,0.36,9/6/2011,0.18352,7/16/2010,0.11,1/25/2013,0.1754,,,,,,,,,
7/19/2010,1.08799,7/19/2010,0.59,7/19/2010,1.58955,7/19/2010,3.62,7/19/2010,1.15744,7/19/2010,1.29,7/19/2010,1.97279,7/19/2010,0.54,7/19/2010,0.08874,12/20/2012,0.21,7/19/2010,0.13761,7/19/2010,0.47,12/21/2012,0.48386,7/19/2010,0.7459,9/12/2012,0.58,7/19/2010,0.08,1/10/2012,0.13907,7/19/2010,0.35,9/7/2011,0.1854,7/19/2010,0.10,1/28/2013,0.17789,,,,,,,,,
7/20/2010,1.09845,7/20/2010,0.60,7/20/2010,1.61294,7/20/2010,3.72,7/20/2010,1.19106,7/20/2010,1.34,7/20/2010,2.0374,7/20/2010,0.53,7/20/2010,0.09261,12/21/2012,0.20,7/20/2010,0.1402,7/20/2010,0.48,12/24/2012,0.48772,7/20/2010,0.74731,9/13/2012,0.57,7/20/2010,0.09,1/11/2012,0.13777,7/20/2010,0.36,9/8/2011,0.18415,7/20/2010,0.11,1/29/2013,0.17916,,,,,,,,,
7/21/2010,1.11877,7/21/2010,0.61,7/21/2010,1.65115,7/21/2010,3.81,7/21/2010,1.22807,7/21/2010,1.40,7/21/2010,2.05751,7/21/2010,0.52,7/21/2010,0.09387,12/24/2012,0.20,7/21/2010,0.14017,7/21/2010,0.47,12/27/2012,0.48375,7/21/2010,0.76128,9/14/2012,0.57,7/21/2010,0.08,1/12/2012,0.16351,7/21/2010,0.36,9/9/2011,0.18092,7/21/2010,0.11,1/30/2013,0.17658,,,,,,,,,
7/22/2010,1.12818,7/22/2010,0.61,7/22/2010,1.65432,7/22/2010,3.83,7/22/2010,1.22209,7/22/2010,1.40,7/22/2010,2.11742,7/22/2010,0.50,7/22/2010,0.09262,12/27/2012,0.21,7/22/2010,0.13379,7/22/2010,0.48,12/28/2012,0.48763,7/22/2010,0.8323,9/17/2012,0.56,7/22/2010,0.08,1/13/2012,0.15708,7/22/2010,0.37,9/12/2011,0.15447,7/22/2010,0.11,1/31/2013,0.17277,,,,,,,,,
7/23/2010,1.14718,7/23/2010,0.62,7/23/2010,1.67119,7/23/2010,3.97,7/23/2010,1.26176,7/23/2010,1.45,7/23/2010,2.1656,7/23/2010,0.52,7/23/2010,0.0927,12/28/2012,0.21,7/23/2010,0.13776,7/23/2010,0.48,12/31/2012,0.49027,7/23/2010,0.8459,9/18/2012,0.55,7/23/2010,0.09,1/16/2012,0.15705,7/23/2010,0.38,9/14/2011,0.14736,7/23/2010,0.10,2/1/2013,0.17277,,,,,,,,,
7/26/2010,1.13708,7/26/2010,0.61,7/26/2010,1.6715,7/26/2010,4.00,7/26/2010,1.26199,7/26/2010,1.44,7/26/2010,2.18917,7/26/2010,0.52,7/26/2010,0.09272,12/31/2012,0.22,7/26/2010,0.1365,7/26/2010,0.46,1/2/2013,0.49542,7/26/2010,0.86279,9/19/2012,0.53,7/26/2010,0.09,1/17/2012,0.16613,7/26/2010,0.38,9/15/2011,0.15083,7/26/2010,0.10,2/4/2013,0.17282,,,,,,,,,
7/27/2010,1.14959,7/27/2010,0.62,7/27/2010,1.68898,7/27/2010,4.02,7/27/2010,1.26416,7/27/2010,1.44,7/27/2010,2.21164,7/27/2010,0.51,7/27/2010,0.10041,1/2/2013,0.21,7/27/2010,0.13774,7/27/2010,0.46,1/3/2013,0.50961,7/27/2010,0.89341,9/20/2012,0.54,7/27/2010,0.09,1/18/2012,0.16235,7/27/2010,0.38,9/16/2011,0.16872,7/27/2010,0.10,2/5/2013,0.17022,,,,,,,,,
7/28/2010,1.15105,7/28/2010,0.62,7/28/2010,1.69182,7/28/2010,3.97,7/28/2010,1.28109,7/28/2010,1.44,7/28/2010,2.19653,7/28/2010,0.51,7/28/2010,0.09914,1/3/2013,0.21,7/28/2010,0.13262,7/28/2010,0.46,1/4/2013,0.5393,7/28/2010,0.90127,9/21/2012,0.55,7/28/2010,0.09,1/19/2012,0.18687,7/28/2010,0.38,9/19/2011,0.15779,7/28/2010,0.11,2/6/2013,0.16507,,,,,,,,,
7/29/2010,1.1435,7/29/2010,0.62,7/29/2010,1.69208,7/29/2010,3.92,7/29/2010,1.30576,7/29/2010,1.41,7/29/2010,2.17369,7/29/2010,0.51,7/29/2010,0.09787,1/4/2013,0.22,7/29/2010,0.1365,7/29/2010,0.47,1/7/2013,0.58188,7/29/2010,0.90141,9/24/2012,0.55,7/29/2010,0.10,1/20/2012,0.18685,7/29/2010,0.38,9/20/2011,0.15723,7/29/2010,0.11,2/7/2013,0.16505,,,,,,,,,
7/30/2010,1.13424,7/30/2010,0.62,7/30/2010,1.68398,7/30/2010,3.85,7/30/2010,1.3132,7/30/2010,1.40,7/30/2010,2.14746,7/30/2010,0.51,7/30/2010,0.10171,1/7/2013,0.22,7/30/2010,0.13518,7/30/2010,0.47,1/8/2013,0.57155,7/30/2010,0.90379,9/25/2012,0.56,7/30/2010,0.10,1/26/2012,0.18178,7/30/2010,0.38,9/21/2011,0.15471,7/30/2010,0.11,2/8/2013,0.16634,,,,,,,,,
8/2/2010,1.1643,8/2/2010,0.63,8/2/2010,1.72327,8/2/2010,3.97,8/2/2010,1.34977,8/2/2010,1.46,8/2/2010,2.22557,8/2/2010,0.51,8/2/2010,0.10304,1/8/2013,0.22,8/2/2010,0.13523,8/2/2010,0.48,1/9/2013,0.56116,8/2/2010,0.91702,9/26/2012,0.54,8/2/2010,0.09,1/27/2012,0.1831,8/2/2010,0.40,9/22/2011,0.14743,8/2/2010,0.11,2/14/2013,0.17023,,,,,,,,,
8/3/2010,1.15842,8/3/2010,0.62,8/3/2010,1.73698,8/3/2010,4.00,8/3/2010,1.35557,8/3/2010,1.44,8/3/2010,2.23952,8/3/2010,0.51,8/3/2010,0.1018,1/9/2013,0.23,8/3/2010,0.13401,8/3/2010,0.53,1/10/2013,0.56635,8/3/2010,0.9007,9/27/2012,0.54,8/3/2010,0.09,1/30/2012,0.17535,8/3/2010,0.41,9/23/2011,0.1378,8/3/2010,0.11,2/15/2013,0.17023,,,,,,,,,
8/4/2010,1.16697,8/4/2010,0.63,8/4/2010,1.73629,8/4/2010,3.95,8/4/2010,1.33957,8/4/2010,1.45,8/4/2010,2.18453,8/4/2010,0.51,8/4/2010,0.10304,1/10/2013,0.23,8/4/2010,0.13396,8/4/2010,0.55,1/11/2013,0.56502,8/4/2010,0.89133,9/28/2012,0.55,8/4/2010,0.09,1/31/2012,0.18308,8/4/2010,0.44,9/26/2011,0.11666,8/4/2010,0.11,2/18/2013,0.16765,,,,,,,,,
8/5/2010,1.16562,8/5/2010,0.63,8/5/2010,1.7362,8/5/2010,3.93,8/5/2010,1.34207,8/5/2010,1.45,8/5/2010,2.20502,8/5/2010,0.51,8/5/2010,0.09917,1/11/2013,0.22,8/5/2010,0.13395,8/5/2010,0.58,1/14/2013,0.56758,8/5/2010,0.88355,10/3/2012,0.55,8/5/2010,0.09,2/1/2012,0.1857,8/5/2010,0.44,9/27/2011,0.12698,8/5/2010,0.11,2/19/2013,0.16636,,,,,,,,,
8/6/2010,1.17486,8/6/2010,0.63,8/6/2010,1.74168,8/6/2010,3.94,8/6/2010,1.33718,8/6/2010,1.44,8/6/2010,2.20029,8/6/2010,0.50,8/6/2010,0.10306,1/14/2013,0.23,8/6/2010,0.1314,8/6/2010,0.60,1/15/2013,0.56759,8/6/2010,0.89274,10/4/2012,0.55,8/6/2010,0.09,2/2/2012,0.19212,8/6/2010,0.44,9/28/2011,0.12702,8/6/2010,0.11,2/20/2013,0.17666,,,,,,,,,
8/9/2010,1.16983,8/9/2010,0.63,8/9/2010,1.73156,8/9/2010,3.97,8/9/2010,1.34763,8/9/2010,1.45,8/9/2010,2.19794,8/9/2010,0.51,8/9/2010,0.10178,1/15/2013,0.23,8/9/2010,0.1327,8/9/2010,0.58,1/16/2013,0.56498,8/9/2010,0.90701,10/5/2012,0.55,8/9/2010,0.09,2/3/2012,0.19345,8/9/2010,0.43,9/30/2011,0.12587,8/9/2010,0.11,2/21/2013,0.17148,,,,,,,,,
8/10/2010,1.14124,8/10/2010,0.61,8/10/2010,1.70284,8/10/2010,3.86,8/10/2010,1.31642,8/10/2010,1.40,8/10/2010,2.13563,8/10/2010,0.51,8/10/2010,0.10176,1/16/2013,0.23,8/10/2010,0.13138,8/10/2010,0.57,1/17/2013,0.55984,8/10/2010,0.90037,10/8/2012,0.54,8/10/2010,0.09,2/6/2012,0.19732,8/10/2010,0.43,10/3/2011,0.11814,8/10/2010,0.11,2/22/2013,0.17793,,,,,,,,,
8/11/2010,1.12918,8/11/2010,0.61,8/11/2010,1.68154,8/11/2010,3.75,8/11/2010,1.29785,8/11/2010,1.35,8/11/2010,2.0987,8/11/2010,0.50,8/11/2010,0.103,1/17/2013,0.23,8/11/2010,0.13133,8/11/2010,0.58,1/18/2013,0.55465,8/11/2010,0.86781,10/9/2012,0.54,8/11/2010,0.09,2/7/2012,0.20894,8/11/2010,0.42,10/4/2011,0.12075,8/11/2010,0.11,2/25/2013,0.17663,,,,,,,,,
8/12/2010,1.11357,8/12/2010,0.61,8/12/2010,1.64268,8/12/2010,3.64,8/12/2010,1.28994,8/12/2010,1.35,8/12/2010,2.10613,8/12/2010,0.49,8/12/2010,0.1017,1/18/2013,0.23,8/12/2010,0.13131,8/12/2010,0.57,1/21/2013,0.55592,8/12/2010,0.86897,10/10/2012,0.54,8/12/2010,0.09,2/8/2012,0.22183,8/12/2010,0.41,10/6/2011,0.12208,8/12/2010,0.11,2/26/2013,0.17272,,,,,,,,,
8/13/2010,1.10775,8/13/2010,0.61,8/13/2010,1.6494,8/13/2010,3.61,8/13/2010,1.30203,8/13/2010,1.35,8/13/2010,2.11,8/13/2010,0.49,8/13/2010,0.10293,1/21/2013,0.23,8/13/2010,0.12866,8/13/2010,0.58,1/22/2013,0.53655,8/13/2010,0.86973,10/11/2012,0.56,8/13/2010,0.09,2/9/2012,0.22693,8/13/2010,0.42,10/7/2011,0.14136,8/13/2010,0.12,2/27/2013,0.15469,,,,,,,,,
8/16/2010,1.11426,8/16/2010,0.61,8/16/2010,1.66752,8/16/2010,3.63,8/16/2010,1.29182,8/16/2010,1.39,8/16/2010,2.09727,8/16/2010,0.50,8/16/2010,0.10422,1/22/2013,0.24,8/16/2010,0.12867,8/16/2010,0.58,1/23/2013,0.52883,8/16/2010,0.86593,10/12/2012,0.56,8/16/2010,0.09,2/10/2012,0.20503,8/16/2010,0.43,10/10/2011,0.14779,8/16/2010,0.12,2/28/2013,0.15346,,,,,,,,,
8/17/2010,1.11456,8/17/2010,0.61,8/17/2010,1.66798,8/17/2010,3.67,8/17/2010,1.29217,8/17/2010,1.43,8/17/2010,2.12615,8/17/2010,0.50,8/17/2010,0.10296,1/23/2013,0.23,8/17/2010,0.1287,8/17/2010,0.57,1/24/2013,0.53012,8/17/2010,0.85973,10/15/2012,0.56,8/17/2010,0.09,2/13/2012,0.20893,8/17/2010,0.42,10/11/2011,0.16322,8/17/2010,0.12,3/1/2013,0.14958,,,,,,,,,
8/18/2010,1.10566,8/18/2010,0.61,8/18/2010,1.65785,8/18/2010,3.65,8/18/2010,1.2923,8/18/2010,1.45,8/18/2010,2.12895,8/18/2010,0.49,8/18/2010,0.10297,1/24/2013,0.22,8/18/2010,0.12614,8/18/2010,0.57,1/25/2013,0.51201,8/18/2010,0.85596,10/16/2012,0.55,8/18/2010,0.09,2/14/2012,0.20506,8/18/2010,0.43,10/12/2011,0.16711,8/18/2010,0.12,3/4/2013,0.14698,,,,,,,,,
8/19/2010,1.12355,8/19/2010,0.63,8/19/2010,1.6731,8/19/2010,3.83,8/19/2010,1.30759,8/19/2010,1.47,8/19/2010,2.16731,8/19/2010,0.51,8/19/2010,0.10296,1/25/2013,0.22,8/19/2010,0.1287,8/19/2010,0.57,1/28/2013,0.51176,8/19/2010,0.88417,10/17/2012,0.55,8/19/2010,0.09,2/15/2012,0.20636,8/19/2010,0.43,10/13/2011,0.17357,8/19/2010,0.12,3/5/2013,0.14956,,,,,,,,,
8/20/2010,1.11498,8/20/2010,0.63,8/20/2010,1.70527,8/20/2010,3.82,8/20/2010,1.30917,8/20/2010,1.45,8/20/2010,2.15538,8/20/2010,0.51,8/20/2010,0.10288,1/28/2013,0.22,8/20/2010,0.12732,8/20/2010,0.57,1/29/2013,0.50782,8/20/2010,0.88607,10/18/2012,0.56,8/20/2010,0.09,2/16/2012,0.2115,8/20/2010,0.42,10/14/2011,0.16843,8/20/2010,0.12,3/6/2013,0.15085,,,,,,,,,
8/23/2010,1.1087,8/23/2010,0.62,8/23/2010,1.6952,8/23/2010,3.77,8/23/2010,1.29905,8/23/2010,1.43,8/23/2010,2.12736,8/23/2010,0.51,8/23/2010,0.1029,1/29/2013,0.22,8/23/2010,0.12476,8/23/2010,0.57,1/30/2013,0.51298,8/23/2010,0.88104,10/19/2012,0.56,8/23/2010,0.09,2/17/2012,0.20763,8/23/2010,0.42,10/17/2011,0.17227,8/23/2010,0.12,3/7/2013,0.15084,,,,,,,,,
8/24/2010,1.09557,8/24/2010,0.61,8/24/2010,1.68193,8/24/2010,3.74,8/24/2010,1.27687,8/24/2010,1.42,8/24/2010,2.11141,8/24/2010,0.51,8/24/2010,0.10287,1/30/2013,0.23,8/24/2010,0.12344,8/24/2010,0.58,1/31/2013,0.4951,8/24/2010,0.86925,10/22/2012,0.56,8/24/2010,0.09,2/20/2012,0.20892,8/24/2010,0.42,10/18/2011,0.15685,8/24/2010,0.11,3/8/2013,0.14955,,,,,,,,,
8/25/2010,1.08652,8/25/2010,0.61,8/25/2010,1.69215,8/25/2010,3.67,8/25/2010,1.28325,8/25/2010,1.41,8/25/2010,2.0959,8/25/2010,0.51,8/25/2010,0.10029,1/31/2013,0.22,8/25/2010,0.12087,8/25/2010,0.57,2/1/2013,0.49769,8/25/2010,0.81779,10/24/2012,0.56,8/25/2010,0.10,2/21/2012,0.20763,8/25/2010,0.41,10/19/2011,0.16074,8/25/2010,0.11,3/11/2013,0.14825,,,,,,,,,
8/26/2010,1.09404,8/26/2010,0.61,8/26/2010,1.67899,8/26/2010,3.66,8/26/2010,1.2406,8/26/2010,1.40,8/26/2010,2.09552,8/26/2010,0.51,8/26/2010,0.10028,2/1/2013,0.22,8/26/2010,0.12342,8/26/2010,0.57,2/4/2013,0.49525,8/26/2010,0.82021,10/25/2012,0.55,8/26/2010,0.10,2/22/2012,0.21277,8/26/2010,0.41,10/20/2011,0.15425,8/26/2010,0.11,3/12/2013,0.14568,,,,,,,,,
8/27/2010,1.08629,8/27/2010,0.61,8/27/2010,1.69178,8/27/2010,3.63,8/27/2010,1.26755,8/27/2010,1.42,8/27/2010,2.05687,8/27/2010,0.51,8/27/2010,0.10156,2/4/2013,0.23,8/27/2010,0.12213,8/27/2010,0.57,2/5/2013,0.47714,8/27/2010,0.82403,10/26/2012,0.54,8/27/2010,0.09,2/23/2012,0.205,8/27/2010,0.35,10/21/2011,0.16449,8/27/2010,0.11,3/13/2013,0.1392,,,,,,,,,
8/30/2010,1.10038,8/30/2010,0.61,8/30/2010,1.71999,8/30/2010,3.69,8/30/2010,1.30606,8/30/2010,1.44,8/30/2010,2.10307,8/30/2010,0.51,8/30/2010,0.10027,2/5/2013,0.23,8/30/2010,0.11827,8/30/2010,0.58,2/6/2013,0.47714,8/30/2010,0.83172,10/29/2012,0.54,8/30/2010,0.10,2/24/2012,0.1986,8/30/2010,0.32,10/24/2011,0.17485,8/30/2010,0.11,3/14/2013,0.14436,,,,,,,,,
8/31/2010,1.08503,8/31/2010,0.61,8/31/2010,1.72782,8/31/2010,3.64,8/31/2010,1.27915,8/31/2010,1.41,8/31/2010,2.05178,8/31/2010,0.51,8/31/2010,0.09642,2/6/2013,0.23,8/31/2010,0.1157,8/31/2010,0.58,2/7/2013,0.46936,8/31/2010,0.81891,10/30/2012,0.54,8/31/2010,0.11,2/27/2012,0.196,8/31/2010,0.34,10/25/2011,0.18651,8/31/2010,0.11,3/15/2013,0.14432,,,,,,,,,
9/1/2010,1.09207,9/1/2010,0.61,9/1/2010,1.7005,9/1/2010,3.69,9/1/2010,1.2773,9/1/2010,1.43,9/1/2010,2.08896,9/1/2010,0.51,9/1/2010,0.09776,2/7/2013,0.24,9/1/2010,0.11448,9/1/2010,0.57,2/8/2013,0.46549,9/1/2010,0.86568,10/31/2012,0.54,9/1/2010,0.11,2/28/2012,0.19987,9/1/2010,0.36,10/26/2011,0.19425,9/1/2010,0.11,3/18/2013,0.13786,,,,,,,,,
9/2/2010,1.10422,9/2/2010,0.61,9/2/2010,1.71424,9/2/2010,3.81,9/2/2010,1.35132,9/2/2010,1.46,9/2/2010,2.14152,9/2/2010,0.53,9/2/2010,0.10038,2/8/2013,0.25,9/2/2010,0.11197,9/2/2010,0.57,2/14/2013,0.472,9/2/2010,0.86356,11/1/2012,0.56,9/2/2010,0.11,2/29/2012,0.20501,9/2/2010,0.35,10/27/2011,0.19433,9/2/2010,0.11,3/19/2013,0.13915,,,,,,,,,
9/3/2010,1.10149,9/3/2010,0.62,9/3/2010,1.714,9/3/2010,3.83,9/3/2010,1.38973,9/3/2010,1.48,9/3/2010,2.16437,9/3/2010,0.52,9/3/2010,0.09908,2/14/2013,0.25,9/3/2010,0.11195,9/3/2010,0.58,2/15/2013,0.4707,9/3/2010,0.86858,11/2/2012,0.58,9/3/2010,0.11,3/1/2012,0.19858,9/3/2010,0.36,10/28/2011,0.19449,9/3/2010,0.11,3/20/2013,0.14043,,,,,,,,,
9/6/2010,1.10876,9/6/2010,0.63,9/6/2010,1.73848,9/6/2010,3.88,9/6/2010,1.41396,9/6/2010,1.52,9/6/2010,2.18662,9/6/2010,0.53,9/6/2010,0.10173,2/15/2013,0.26,9/6/2010,0.12105,9/6/2010,0.57,2/18/2013,0.47201,9/6/2010,0.87825,11/5/2012,0.56,9/6/2010,0.11,3/2/2012,0.21266,9/6/2010,0.37,10/31/2011,0.19437,9/6/2010,0.11,3/21/2013,0.13784,,,,,,,,,
9/7/2010,1.11869,9/7/2010,0.63,9/7/2010,1.74305,9/7/2010,3.89,9/7/2010,1.40577,9/7/2010,1.52,9/7/2010,2.20649,9/7/2010,0.53,9/7/2010,0.1017,2/18/2013,0.26,9/7/2010,0.11972,9/7/2010,0.58,2/19/2013,0.47069,9/7/2010,0.8741,11/6/2012,0.55,9/7/2010,0.10,3/5/2012,0.21125,9/7/2010,0.37,11/1/2011,0.1943,9/7/2010,0.11,3/22/2013,0.13783,,,,,,,,,
9/8/2010,1.08742,9/8/2010,0.62,9/8/2010,1.73472,9/8/2010,3.78,9/8/2010,1.41557,9/8/2010,1.50,9/8/2010,2.14395,9/8/2010,0.51,9/8/2010,0.09909,2/19/2013,0.25,9/8/2010,0.11968,9/8/2010,0.58,2/20/2013,0.45262,9/8/2010,0.86479,11/7/2012,0.55,9/8/2010,0.10,3/6/2012,0.20224,9/8/2010,0.37,11/2/2011,0.1943,9/8/2010,0.11,3/25/2013,0.13657,,,,,,,,,
9/9/2010,1.09793,9/9/2010,0.63,9/9/2010,1.76337,9/9/2010,3.82,9/9/2010,1.44159,9/9/2010,1.49,9/9/2010,2.15724,9/9/2010,0.53,9/9/2010,0.09911,2/20/2013,0.26,9/9/2010,0.12356,9/9/2010,0.58,2/21/2013,0.44095,9/9/2010,0.86495,11/8/2012,0.53,9/9/2010,0.10,3/7/2012,0.19578,9/9/2010,0.38,11/3/2011,0.19438,9/9/2010,0.11,3/26/2013,0.13402,,,,,,,,,
9/10/2010,1.09686,9/10/2010,0.62,9/10/2010,1.82038,9/10/2010,3.82,9/10/2010,1.43931,9/10/2010,1.51,9/10/2010,2.13708,9/10/2010,0.56,9/10/2010,0.09913,2/21/2013,0.25,9/10/2010,0.12359,9/10/2010,0.58,2/22/2013,0.42548,9/10/2010,0.85483,11/9/2012,0.54,9/10/2010,0.10,3/8/2012,0.19341,9/10/2010,0.37,11/4/2011,0.1944,9/10/2010,0.11,3/27/2013,0.13139,,,,,,,,,
9/13/2010,1.11367,9/13/2010,0.64,9/13/2010,1.8926,9/13/2010,3.93,9/13/2010,1.48575,9/13/2010,1.55,9/13/2010,2.17842,9/13/2010,0.55,9/13/2010,0.10171,2/22/2013,0.25,9/13/2010,0.1236,9/13/2010,0.58,2/25/2013,0.41901,9/13/2010,0.86261,11/12/2012,0.55,9/13/2010,0.10,3/9/2012,0.20371,9/13/2010,0.37,11/7/2011,0.22783,9/13/2010,0.11,3/28/2013,0.13268,,,,,,,,,
9/14/2010,1.11384,9/14/2010,0.64,9/14/2010,1.88001,9/14/2010,3.97,9/14/2010,1.52204,9/14/2010,1.53,9/14/2010,2.17618,9/14/2010,0.55,9/14/2010,0.10044,2/25/2013,0.24,9/14/2010,0.12233,9/14/2010,0.58,2/26/2013,0.41892,9/14/2010,0.88335,11/13/2012,0.54,9/14/2010,0.10,3/12/2012,0.20109,9/14/2010,0.37,11/8/2011,0.24199,9/14/2010,0.11,4/2/2013,0.12754,,,,,,,,,
