,857 HK Equity,,386 HK Equity,,883 HK Equity,,1088 HK Equity,,2883 HK Equity,,1898 HK Equity,,1171 HK Equity,,384 HK Equity,,3337 HK Equity,,956 HK Equity,,196 HK Equity,,568 HK Equity,,975 HK Equity,,1393 HK Equity,,951 HK Equity,,686 HK Equity,,712 HK Equity,,839 HK Equity,,866 HK Equity,,3303 HK Equity,,842 HK Equity,,,,,,,,,
10/25/2011,1.27602,10/25/2011,0.74,10/25/2011,1.85485,10/25/2011,4.39,10/25/2011,1.57958,10/25/2011,1.18,10/25/2011,2.37967,10/25/2011,0.27,10/25/2011,0.12863,,,10/25/2011,0.09776,10/25/2011,0.28,,,10/25/2011,0.41033,,,10/25/2011,0.12,4/24/2013,0.19834,10/25/2011,0.18,12/17/2012,0.14967,10/25/2011,0.05,,,,,,,,,,,
10/26/2011,1.28641,10/26/2011,0.74,10/26/2011,1.87043,10/26/2011,4.53,10/26/2011,1.61315,10/26/2011,1.20,10/26/2011,2.37728,10/26/2011,0.28,10/26/2011,0.12864,,,10/26/2011,0.09905,10/26/2011,0.29,,,10/26/2011,0.4168,,,10/26/2011,0.11,4/25/2013,0.20091,10/26/2011,0.18,12/18/2012,0.15355,10/26/2011,0.06,,,,,,,,,,,
10/27/2011,1.33587,10/27/2011,0.76,10/27/2011,1.9845,10/27/2011,4.63,10/27/2011,1.7477,10/27/2011,1.28,10/27/2011,2.60611,10/27/2011,0.30,10/27/2011,0.13256,,,10/27/2011,0.10167,10/27/2011,0.30,,,10/27/2011,0.44272,,,10/27/2011,0.11,4/26/2013,0.19707,10/27/2011,0.19,12/19/2012,0.15484,10/27/2011,0.06,,,,,,,,,,,
10/28/2011,1.33182,10/28/2011,0.74,10/28/2011,1.97584,10/28/2011,4.73,10/28/2011,1.72596,10/28/2011,1.30,10/28/2011,2.65978,10/28/2011,0.30,10/28/2011,0.13911,,,10/28/2011,0.10433,10/28/2011,0.31,,,10/28/2011,0.44437,,,10/28/2011,0.12,4/29/2013,0.19585,10/28/2011,0.19,12/20/2012,0.14839,10/28/2011,0.07,,,,,,,,,,,
10/31/2011,1.3207,10/31/2011,0.74,10/31/2011,1.96432,10/31/2011,4.66,10/31/2011,1.69915,10/31/2011,1.27,10/31/2011,2.5809,10/31/2011,0.29,10/31/2011,0.13645,,,10/31/2011,0.10298,10/31/2011,0.30,,,10/31/2011,0.42607,,,10/31/2011,0.12,4/30/2013,0.19715,10/31/2011,0.18,12/21/2012,0.1458,10/31/2011,0.07,,,,,,,,,,,
11/1/2011,1.29449,11/1/2011,0.73,11/1/2011,1.87868,11/1/2011,4.52,11/1/2011,1.59559,11/1/2011,1.25,11/1/2011,2.51435,11/1/2011,0.27,11/1/2011,0.12482,,,11/1/2011,0.10165,11/1/2011,0.30,,,11/1/2011,0.40791,,,11/1/2011,0.11,5/2/2013,0.1972,11/1/2011,0.18,12/24/2012,0.14838,11/1/2011,0.07,,,,,,,,,,,
11/2/2011,1.2919,11/2/2011,0.74,11/2/2011,1.94042,11/2/2011,4.64,11/2/2011,1.62903,11/2/2011,1.30,11/2/2011,2.59924,11/2/2011,0.28,11/2/2011,0.1261,,,11/2/2011,0.10037,11/2/2011,0.33,,,11/2/2011,0.41819,,,11/2/2011,0.11,5/3/2013,0.2062,11/2/2011,0.18,12/27/2012,0.14964,11/2/2011,0.07,,,,,,,,,,,
11/3/2011,1.2435,11/3/2011,0.72,11/3/2011,1.86911,11/3/2011,4.49,11/3/2011,1.58076,11/3/2011,1.27,11/3/2011,2.55651,11/3/2011,0.28,11/3/2011,0.12358,,,11/3/2011,0.10169,11/3/2011,0.32,,,11/3/2011,0.40549,,,11/3/2011,0.11,5/6/2013,0.19588,11/3/2011,0.18,12/28/2012,0.14706,11/3/2011,0.07,,,,,,,,,,,
11/4/2011,1.29257,11/4/2011,0.78,11/4/2011,1.9646,11/4/2011,4.71,11/4/2011,1.67621,11/4/2011,1.32,11/4/2011,2.66495,11/4/2011,0.29,11/4/2011,0.1223,,,11/4/2011,0.10428,11/4/2011,0.33,,,11/4/2011,0.41455,,,11/4/2011,0.11,5/7/2013,0.19199,11/4/2011,0.19,12/31/2012,0.15353,11/4/2011,0.07,,,,,,,,,,,
11/7/2011,1.29748,11/7/2011,0.79,11/7/2011,1.92048,11/7/2011,4.67,11/7/2011,1.66562,11/7/2011,1.29,11/7/2011,2.64516,11/7/2011,0.28,11/7/2011,0.12228,,,11/7/2011,0.10297,11/7/2011,0.33,,,11/7/2011,0.40546,,,11/7/2011,0.11,5/8/2013,0.18557,11/7/2011,0.20,1/2/2013,0.16127,11/7/2011,0.07,,,,,,,,,,,
11/8/2011,1.31806,11/8/2011,0.80,11/8/2011,1.93847,11/8/2011,4.63,11/8/2011,1.645,11/8/2011,1.31,11/8/2011,2.76097,11/8/2011,0.30,11/8/2011,0.11713,,,11/8/2011,0.10426,11/8/2011,0.33,,,11/8/2011,0.40674,,,11/8/2011,0.12,5/9/2013,0.18173,11/8/2011,0.21,1/3/2013,0.16772,11/8/2011,0.07,,,,,,,,,,,
11/9/2011,1.3614,11/9/2011,0.81,11/9/2011,2.01508,11/9/2011,4.73,11/9/2011,1.65736,11/9/2011,1.34,11/9/2011,2.79872,11/9/2011,0.30,11/9/2011,0.11838,,,11/9/2011,0.10165,11/9/2011,0.34,,,11/9/2011,0.41048,,,11/9/2011,0.11,5/10/2013,0.19071,11/9/2011,0.21,1/4/2013,0.16643,11/9/2011,0.07,,,,,,,,,,,
11/10/2011,1.31099,11/10/2011,0.79,11/10/2011,1.9125,11/10/2011,4.47,11/10/2011,1.56033,11/10/2011,1.27,11/10/2011,2.63483,11/10/2011,0.30,11/10/2011,0.11568,,,11/10/2011,0.0964,11/10/2011,0.32,,,11/10/2011,0.38173,,,11/10/2011,0.11,5/13/2013,0.19713,11/10/2011,0.20,1/7/2013,0.17031,11/10/2011,0.06,,,,,,,,,,,
