,151 HK Equity,,322 HK Equity,,1044 HK Equity,,220 HK Equity,,1112 HK Equity,,1025 HK Equity,,1230 HK Equity,,829 HK Equity,,1117 HK Equity,,1700 HK Equity,,1068 HK Equity,,1886 HK Equity,,980 HK Equity,,1006 HK Equity,,1007 HK Equity,,1717 HK Equity,,1338 HK Equity,,2218 HK Equity,,814 HK Equity,,,,
8/17/2009,0.58703,8/17/2009,1.88,8/17/2009,5.41,8/17/2009,0.57413,3/30/2012,2.57,8/17/2009,1.61014,2/13/2012,0.17,1/18/2011,0.69173,3/9/2012,0.29,2/2/2012,0.60988,8/17/2009,1.68,8/17/2009,0.71,8/17/2009,1.12,3/28/2011,0.67,2/9/2012,0.2192,1/13/2011,0.36,10/8/2010,0.44,8/17/2009,0.44511,8/17/2009,0.66,,,,
8/18/2009,0.57407,8/18/2009,1.81,8/18/2009,5.35,8/18/2009,0.56633,4/2/2012,2.50,8/18/2009,1.57127,2/14/2012,0.17,1/19/2011,0.7187,3/12/2012,0.29,2/3/2012,0.62934,8/18/2009,1.63,8/18/2009,0.70,8/18/2009,1.10,3/29/2011,0.67,2/10/2012,0.21148,1/14/2011,0.37,10/11/2010,0.45,8/18/2009,0.43861,8/18/2009,0.64,,,,
8/19/2009,0.5947,8/19/2009,1.79,8/19/2009,5.14,8/19/2009,0.52633,4/3/2012,2.50,8/19/2009,1.50933,2/15/2012,0.18,1/20/2011,0.70015,3/13/2012,0.29,2/6/2012,0.62678,8/19/2009,1.66,8/19/2009,0.68,8/19/2009,1.11,3/30/2011,0.67,2/13/2012,0.21151,1/17/2011,0.37,10/12/2010,0.50,8/19/2009,0.41926,8/19/2009,0.61,,,,
8/20/2009,0.59989,8/20/2009,1.81,8/20/2009,5.06,8/20/2009,0.56764,4/5/2012,2.50,8/20/2009,1.52489,2/16/2012,0.17,1/21/2011,0.66626,3/14/2012,0.29,2/7/2012,0.62037,8/20/2009,1.66,8/20/2009,0.69,8/20/2009,1.10,3/31/2011,0.67,2/14/2012,0.20893,1/18/2011,0.36,10/13/2010,0.49,8/20/2009,0.43218,8/20/2009,0.63,,,,
8/21/2009,0.60117,8/21/2009,1.81,8/21/2009,5.15,8/21/2009,0.57408,4/10/2012,2.48,8/21/2009,1.58419,2/17/2012,0.18,1/24/2011,0.65799,3/15/2012,0.28,2/8/2012,0.62034,8/21/2009,1.67,8/21/2009,0.68,8/21/2009,1.09,4/1/2011,0.67,2/15/2012,0.21538,1/19/2011,0.37,10/14/2010,0.48,8/21/2009,0.43862,8/21/2009,0.63,,,,
8/24/2009,0.58965,8/24/2009,1.78,8/24/2009,5.47,8/24/2009,0.57288,4/11/2012,2.51,8/24/2009,1.57671,2/20/2012,0.18,1/25/2011,0.67895,3/16/2012,0.29,2/9/2012,0.62535,8/24/2009,1.67,8/24/2009,0.69,8/24/2009,1.12,4/4/2011,0.67,2/16/2012,0.21666,1/20/2011,0.36,10/15/2010,0.47,8/24/2009,0.42579,8/24/2009,0.63,,,,
8/25/2009,0.5548,8/25/2009,1.78,8/25/2009,5.37,8/25/2009,0.58448,4/12/2012,2.55,8/25/2009,1.61022,2/21/2012,0.19,1/26/2011,0.67939,3/19/2012,0.29,2/10/2012,0.62542,8/25/2009,1.67,8/25/2009,0.72,8/25/2009,1.11,4/6/2011,0.66,2/17/2012,0.2244,1/21/2011,0.36,10/18/2010,0.46,8/25/2009,0.42578,8/25/2009,0.64,,,,
8/26/2009,0.53931,8/26/2009,1.80,8/26/2009,5.49,8/26/2009,0.5793,4/13/2012,2.62,8/26/2009,1.59728,2/22/2012,0.19,1/27/2011,0.67927,3/20/2012,0.29,2/13/2012,0.62291,8/26/2009,1.70,8/26/2009,0.70,8/26/2009,1.14,4/7/2011,0.67,2/20/2012,0.23342,1/24/2011,0.35,10/19/2010,0.47,8/26/2009,0.44512,8/26/2009,0.67,,,,
8/27/2009,0.54183,8/27/2009,1.84,8/27/2009,5.57,8/27/2009,0.57408,4/16/2012,2.71,8/27/2009,1.61517,2/23/2012,0.19,1/28/2011,0.67752,3/21/2012,0.29,2/14/2012,0.61905,8/27/2009,1.73,8/27/2009,0.69,8/27/2009,1.10,4/8/2011,0.68,2/21/2012,0.22956,1/25/2011,0.35,10/20/2010,0.47,8/27/2009,0.43862,8/27/2009,0.67,,,,
8/28/2009,0.53412,8/28/2009,1.83,8/28/2009,5.42,8/28/2009,0.56638,4/17/2012,2.80,8/28/2009,1.61011,2/24/2012,0.19,1/31/2011,0.67103,3/22/2012,0.30,2/15/2012,0.62165,8/28/2009,1.72,8/28/2009,0.69,8/28/2009,1.11,4/11/2011,0.68,2/22/2012,0.24243,1/26/2011,0.35,10/21/2010,0.46,8/28/2009,0.43865,8/28/2009,0.65,,,,
