,151 HK Equity,,322 HK Equity,,1044 HK Equity,,220 HK Equity,,1112 HK Equity,,1025 HK Equity,,1230 HK Equity,,829 HK Equity,,1117 HK Equity,,1700 HK Equity,,1068 HK Equity,,1886 HK Equity,,980 HK Equity,,1006 HK Equity,,1007 HK Equity,,1717 HK Equity,,1338 HK Equity,,2218 HK Equity,,814 HK Equity,,,,
7/23/2009,0.5729,7/23/2009,1.69,7/23/2009,5.31,7/23/2009,0.60773,3/7/2012,1.84,7/23/2009,1.2645,1/16/2012,0.15,12/23/2010,0.66226,2/15/2012,0.27,1/5/2012,0.61429,7/23/2009,1.85,7/23/2009,0.80,7/23/2009,1.04,3/3/2011,0.65,1/12/2012,0.18411,12/20/2010,0.35,9/13/2010,0.47,7/23/2009,0.51612,7/23/2009,0.70,,,,
7/24/2009,0.57806,7/24/2009,1.75,7/24/2009,5.41,7/24/2009,0.61031,3/8/2012,1.92,7/24/2009,1.23869,1/17/2012,0.16,12/24/2010,0.65547,2/16/2012,0.27,1/6/2012,0.61425,7/24/2009,1.62,7/24/2009,0.78,7/24/2009,1.03,3/4/2011,0.65,1/13/2012,0.18412,12/21/2010,0.35,9/14/2010,0.47,7/24/2009,0.50967,7/24/2009,0.69,,,,
7/27/2009,0.60644,7/27/2009,1.82,7/27/2009,5.55,7/27/2009,0.60644,3/9/2012,2.08,7/27/2009,1.22579,1/18/2012,0.16,12/28/2010,0.64906,2/17/2012,0.27,1/9/2012,0.61419,7/27/2009,1.63,7/27/2009,0.79,7/27/2009,1.07,3/7/2011,0.64,1/16/2012,0.17765,12/22/2010,0.35,9/15/2010,0.46,7/27/2009,0.50967,7/27/2009,0.68,,,,
7/28/2009,0.61935,7/28/2009,1.83,7/28/2009,5.58,7/28/2009,0.60386,3/12/2012,1.99,7/28/2009,1.24902,1/19/2012,0.16,12/29/2010,0.645,2/20/2012,0.27,1/10/2012,0.60265,7/28/2009,1.63,7/28/2009,0.83,7/28/2009,1.05,3/8/2011,0.64,1/17/2012,0.18416,12/23/2010,0.35,9/16/2010,0.44,7/28/2009,0.50967,7/28/2009,0.67,,,,
7/29/2009,0.60515,7/29/2009,1.83,7/29/2009,5.50,7/29/2009,0.56773,3/13/2012,2.04,7/29/2009,1.24127,1/20/2012,0.15,12/30/2010,0.6297,2/21/2012,0.25,1/11/2012,0.60646,7/29/2009,1.58,7/29/2009,0.81,7/29/2009,1.03,3/9/2011,0.65,1/18/2012,0.18683,12/24/2010,0.34,9/17/2010,0.46,7/29/2009,0.50322,7/29/2009,0.68,,,,
7/30/2009,0.59999,7/30/2009,1.81,7/30/2009,5.63,7/30/2009,0.57806,3/14/2012,2.01,7/30/2009,1.28644,1/26/2012,0.15,12/31/2010,0.65485,2/22/2012,0.26,1/12/2012,0.60511,7/30/2009,1.55,7/30/2009,0.79,7/30/2009,1.02,3/10/2011,0.67,1/19/2012,0.19975,12/28/2010,0.32,9/20/2010,0.45,7/30/2009,0.49677,7/30/2009,0.68,,,,
7/31/2009,0.59612,7/31/2009,1.85,7/31/2009,5.82,7/31/2009,0.58064,3/15/2012,2.06,7/31/2009,1.45288,1/27/2012,0.16,1/3/2011,0.6552,2/23/2012,0.26,1/13/2012,0.60515,7/31/2009,1.58,7/31/2009,0.80,7/31/2009,1.02,3/11/2011,0.68,1/20/2012,0.20231,12/29/2010,0.34,9/21/2010,0.45,7/31/2009,0.50967,7/31/2009,0.73,,,,
8/3/2009,0.6129,8/3/2009,1.90,8/3/2009,6.10,8/3/2009,0.58451,3/16/2012,2.19,8/3/2009,1.66708,1/30/2012,0.16,1/4/2011,0.63839,2/24/2012,0.27,1/16/2012,0.60505,8/3/2009,1.64,8/3/2009,0.82,8/3/2009,1.09,3/14/2011,0.70,1/26/2012,0.20627,12/30/2010,0.33,9/22/2010,0.44,8/3/2009,0.50967,8/3/2009,0.77,,,,
8/4/2009,0.6129,8/4/2009,1.87,8/4/2009,5.74,8/4/2009,0.60644,3/19/2012,2.13,8/4/2009,1.61546,1/31/2012,0.16,1/5/2011,0.63443,2/27/2012,0.26,1/17/2012,0.58726,8/4/2009,1.65,8/4/2009,0.80,8/4/2009,1.09,3/15/2011,0.69,1/27/2012,0.20244,12/31/2010,0.33,9/24/2010,0.44,8/4/2009,0.50967,8/4/2009,0.75,,,,
8/5/2009,0.60257,8/5/2009,1.85,8/5/2009,5.71,8/5/2009,0.60644,3/20/2012,2.14,8/5/2009,1.58706,2/1/2012,0.16,1/6/2011,0.64324,2/28/2012,0.26,1/18/2012,0.58625,8/5/2009,1.65,8/5/2009,0.79,8/5/2009,1.18,3/16/2011,0.67,1/30/2012,0.19212,1/3/2011,0.34,9/27/2010,0.43,8/5/2009,0.49031,8/5/2009,0.73,,,,
8/6/2009,0.61932,8/6/2009,1.85,8/6/2009,5.71,8/6/2009,0.60642,3/21/2012,2.28,8/6/2009,1.57411,2/2/2012,0.16,1/7/2011,0.63113,2/29/2012,0.26,1/19/2012,0.59024,8/6/2009,1.69,8/6/2009,0.79,8/6/2009,1.14,3/17/2011,0.65,1/31/2012,0.1934,1/4/2011,0.35,9/28/2010,0.44,8/6/2009,0.4903,8/6/2009,0.74,,,,
8/7/2009,0.59478,8/7/2009,1.86,8/7/2009,5.65,8/7/2009,0.59995,3/22/2012,2.46,8/7/2009,1.48374,2/3/2012,0.16,1/10/2011,0.62746,3/1/2012,0.26,1/20/2012,0.5773,8/7/2009,1.64,8/7/2009,0.76,8/7/2009,1.15,3/18/2011,0.67,2/1/2012,0.19602,1/5/2011,0.36,9/29/2010,0.44,8/7/2009,0.48383,8/7/2009,0.73,,,,
8/10/2009,0.60255,8/10/2009,1.87,8/10/2009,5.68,8/10/2009,0.60771,3/23/2012,2.52,8/10/2009,1.51218,2/6/2012,0.16,1/11/2011,0.65084,3/2/2012,0.26,1/26/2012,0.56467,8/10/2009,1.66,8/10/2009,0.73,8/10/2009,1.10,3/21/2011,0.70,2/2/2012,0.20243,1/6/2011,0.36,9/30/2010,0.44,8/10/2009,0.4903,8/10/2009,0.72,,,,
8/11/2009,0.60124,8/11/2009,1.89,8/11/2009,5.64,8/11/2009,0.60898,3/26/2012,2.46,8/11/2009,1.47858,2/7/2012,0.16,1/12/2011,0.68817,3/5/2012,0.26,1/27/2012,0.56478,8/11/2009,1.72,8/11/2009,0.75,8/11/2009,1.15,3/22/2011,0.70,2/3/2012,0.21408,1/7/2011,0.35,10/4/2010,0.45,8/11/2009,0.49028,8/11/2009,0.73,,,,
8/12/2009,0.60638,8/12/2009,1.87,8/12/2009,5.61,8/12/2009,0.59735,3/27/2012,2.60,8/12/2009,1.54305,2/8/2012,0.17,1/13/2011,0.70493,3/6/2012,0.26,1/30/2012,0.5828,8/12/2009,1.70,8/12/2009,0.74,8/12/2009,1.14,3/23/2011,0.67,2/6/2012,0.21022,1/10/2011,0.35,10/5/2010,0.45,8/12/2009,0.47091,8/12/2009,0.70,,,,
8/13/2009,0.60252,8/13/2009,1.91,8/13/2009,5.58,8/13/2009,0.59607,3/28/2012,2.63,8/13/2009,1.65918,2/9/2012,0.17,1/14/2011,0.70233,3/7/2012,0.26,1/31/2012,0.58148,8/13/2009,1.72,8/13/2009,0.74,8/13/2009,1.13,3/24/2011,0.67,2/7/2012,0.21281,1/11/2011,0.35,10/6/2010,0.44,8/13/2009,0.47737,8/13/2009,0.70,,,,
8/14/2009,0.6064,8/14/2009,1.92,8/14/2009,5.64,8/14/2009,0.58834,3/29/2012,2.51,8/14/2009,1.67213,2/10/2012,0.17,1/17/2011,0.67518,3/8/2012,0.27,2/1/2012,0.59322,8/14/2009,1.73,8/14/2009,0.73,8/14/2009,1.14,3/25/2011,0.66,2/8/2012,0.21796,1/12/2011,0.37,10/7/2010,0.44,8/14/2009,0.47093,8/14/2009,0.71,,,,
