,6954 JP Equity,,6501 JP Equity,,6301 JP Equity,,6503 JP Equity,,7011 JP Equity,,6861 JP Equity,,6326 JP Equity,,6981 JP Equity,,8053 JP Equity,,6273 JP Equity,,6367 JP Equity,,9064 JP Equity,,1963 JP Equity,,7205 JP Equity,,6645 JP Equity,,7013 JP Equity,,6806 JP Equity,,6471 JP Equity,,9062 JP Equity,,9104 JP Equity,,9101 JP Equity,,1801 JP Equity,,6305 JP Equity,,1802 JP Equity,,1812 JP Equity,,1803 JP Equity,,6841 JP Equity,,6506 JP Equity,,6366 JP Equity,,6481 JP Equity,,6113 JP Equity,,6370 JP Equity,,6302 JP Equity,,6504 JP Equity,,6268 JP Equity,,9301 JP Equity,,6361 JP Equity,,6465 JP Equity,,9962 JP Equity,,9364 JP Equity,,6146 JP Equity,,1881 JP Equity,,1944 JP Equity,,9107 JP Equity,,6395 JP Equity,,1721 JP Equity,,9076 JP Equity,,6754 JP Equity,,6472 JP Equity,,9086 JP Equity,,9075 JP Equity,,5801 JP Equity,,7458 JP Equity,,6845 JP Equity,,1883 JP Equity,,6856 JP Equity,,6961 JP Equity,,6136 JP Equity,,1983 JP Equity,,6269 JP Equity,,6141 JP Equity,,9375 JP Equity,,9706 JP Equity,,7003 JP Equity,,1951 JP Equity,,6103 JP Equity,,9065 JP Equity,,1414 JP Equity,,7004 JP Equity,,9303 JP Equity,,9072 JP Equity,,6755 JP Equity,,6474 JP Equity,,6371 JP Equity,,6005 JP Equity,,6383 JP Equity
6/24/2010,123.34752,6/24/2010,3.88752,6/24/2010,19.20233,6/24/2010,8.55927,6/24/2010,3.61864,6/24/2010,222.63867,6/24/2010,8.04392,6/24/2010,49.2942,6/24/2010,10.84472,6/24/2010,143.62536,6/24/2010,33.12794,6/24/2010,14.13847,6/24/2010,15.72933,6/24/2010,5.31033,6/24/2010,23.86287,6/24/2010,1.7253,6/24/2010,93.88304,6/24/2010,7.68541,6/24/2010,4.67175,6/24/2010,7.21488,6/24/2010,3.87632,6/24/2010,2.095,6/24/2010,20.03137,6/24/2010,4.22362,6/24/2010,2.4199,6/24/2010,3.68586,6/24/2010,7.18127,6/24/2010,8.46964,6/24/2010,7.94309,6/24/2010,23.2691,6/24/2010,7.19247,6/24/2010,28.38898,6/24/2010,6.36343,6/24/2010,3.14811,6/24/2010,15.56128,6/24/2010,11.95384,6/24/2010,4.64934,2/3/2011,19.21424,6/24/2010,19.7961,6/24/2010,8.04392,6/24/2010,69.46,6/24/2010,7.55097,6/24/2010,8.80574,6/24/2010,4.41407,6/24/2010,5.06386,6/24/2010,9.27627,6/24/2010,7.17006,6/24/2010,4.70536,6/24/2010,4.39166,6/24/2010,14.65382,6/24/2010,4.851,6/24/2010,4.64934,6/24/2010,14.27291,6/24/2010,24.62469,6/24/2010,8.30159,6/24/2010,29.37486,6/24/2010,20.65875,6/24/2010,11.4497,6/24/2010,12.87251,6/24/2010,14.86668,6/24/2010,11.19202,6/24/2010,25.09523,6/24/2010,15.25879,6/24/2010,2.18463,6/24/2010,8.80574,6/24/2010,6.92359,6/24/2010,4.19001,6/24/2010,20.30025,6/24/2010,1.43401,6/24/2010,4.78378,6/24/2010,11.62895,6/24/2010,4.851,6/24/2010,3.04728,6/24/2010,4.38046,6/24/2010,24.23258,6/24/2010,6.85637
6/25/2010,117.56802,6/25/2010,3.81816,6/25/2010,18.79969,6/25/2010,8.31934,6/25/2010,3.54943,6/25/2010,219.46031,6/25/2010,8.00582,6/25/2010,48.20289,6/25/2010,10.6483,6/25/2010,140.74572,6/25/2010,32.348,6/25/2010,13.87303,6/25/2010,15.83249,6/25/2010,5.1618,6/25/2010,23.9055,6/25/2010,1.69074,6/25/2010,92.48684,6/25/2010,7.54675,6/25/2010,4.60195,6/25/2010,7.05408,6/25/2010,3.81816,6/25/2010,2.06024,6/25/2010,19.57228,6/25/2010,4.13168,6/25/2010,2.35136,6/25/2010,3.60542,6/25/2010,6.71817,6/25/2010,8.03941,6/25/2010,7.82667,6/25/2010,21.86765,6/25/2010,7.06528,6/25/2010,28.12675,6/25/2010,6.09114,6/25/2010,3.06797,6/25/2010,15.23905,6/25/2010,11.63364,6/25/2010,4.54596,2/4/2011,18.92515,6/25/2010,19.34834,6/25/2010,7.96103,6/25/2010,66.28597,6/25/2010,7.43478,6/25/2010,8.74482,6/25/2010,4.31083,6/25/2010,4.88187,6/25/2010,9.02475,6/25/2010,7.04288,6/25/2010,4.63554,6/25/2010,4.34442,6/25/2010,14.66801,6/25/2010,4.7923,6/25/2010,4.51237,6/25/2010,14.26492,6/25/2010,24.09585,6/25/2010,8.0954,6/25/2010,28.85455,6/25/2010,20.32247,6/25/2010,11.30892,6/25/2010,12.8653,6/25/2010,14.57843,6/25/2010,10.52514,6/25/2010,25.31631,6/25/2010,15.28384,6/25/2010,2.12742,6/25/2010,8.65525,6/25/2010,6.58381,6/25/2010,4.17646,6/25/2010,20.44564,6/25/2010,1.42201,6/25/2010,4.7923,6/25/2010,11.63364,6/25/2010,4.66913,6/25/2010,2.9336,6/25/2010,4.25484,6/25/2010,23.55839,6/25/2010,6.66219
6/28/2010,118.55497,6/28/2010,3.76915,6/28/2010,18.64445,6/28/2010,8.23174,6/28/2010,3.5231,6/28/2010,219.62156,6/28/2010,7.91858,6/28/2010,48.09305,6/28/2010,10.491,6/28/2010,139.46986,6/28/2010,32.00984,6/28/2010,13.76803,6/28/2010,15.8036,6/28/2010,5.16721,6/28/2010,24.01297,6/28/2010,1.66648,6/28/2010,91.26496,6/28/2010,7.44883,6/28/2010,4.5968,6/28/2010,6.8225,6/28/2010,3.7356,6/28/2010,2.0803,6/28/2010,19.30433,6/28/2010,4.16061,6/28/2010,2.34873,6/28/2010,3.60139,6/28/2010,6.65474,6/28/2010,7.90739,6/28/2010,7.70607,6/28/2010,21.65306,6/28/2010,6.92316,6/28/2010,27.8045,6/28/2010,6.02841,6/28/2010,3.00861,6/28/2010,14.93122,6/28/2010,11.66536,6/28/2010,4.44022,2/7/2011,19.19204,6/28/2010,18.76748,6/28/2010,7.94095,6/28/2010,65.09339,6/28/2010,7.42646,6/28/2010,8.70149,6/28/2010,4.19416,6/28/2010,4.84286,6/28/2010,8.99228,6/28/2010,7.03501,6/28/2010,4.57443,6/28/2010,4.31719,6/28/2010,14.71871,6/28/2010,4.75338,6/28/2010,4.47377,6/28/2010,14.04765,6/28/2010,23.88995,6/28/2010,8.25411,6/28/2010,28.47556,6/28/2010,20.13198,6/28/2010,11.0614,6/28/2010,12.54893,6/28/2010,14.20423,6/28/2010,10.59166,6/28/2010,25.61235,6/28/2010,15.03188,6/28/2010,2.10267,6/28/2010,8.6903,6/28/2010,6.43105,6/28/2010,4.14942,6/28/2010,20.23264,6/28/2010,1.39805,6/28/2010,4.75338,6/28/2010,11.60944,6/28/2010,4.49614,6/28/2010,2.90795,6/28/2010,4.27245,6/28/2010,22.84979,6/28/2010,6.4646
6/29/2010,117.06932,6/29/2010,3.70287,6/29/2010,18.57078,6/29/2010,8.03793,6/29/2010,3.52224,6/29/2010,217.88214,6/29/2010,7.91375,6/29/2010,48.3179,6/29/2010,10.31836,6/29/2010,137.38993,6/29/2010,31.85821,6/29/2010,13.88575,6/29/2010,15.78234,6/29/2010,5.08015,6/29/2010,23.12034,6/29/2010,1.65952,6/29/2010,91.32987,6/29/2010,7.20253,6/29/2010,4.65116,6/29/2010,6.80741,6/29/2010,3.71416,6/29/2010,2.07722,6/29/2010,19.05622,6/29/2010,4.10928,6/29/2010,2.32558,6/29/2010,3.54482,6/29/2010,6.44615,6/29/2010,7.62023,6/29/2010,7.7557,6/29/2010,21.09957,6/29/2010,6.82998,6/29/2010,27.83924,6/29/2010,6.03974,6/29/2010,2.98036,6/29/2010,14.86792,6/29/2010,11.6392,6/29/2010,4.44796,2/8/2011,19.2702,6/29/2010,18.49176,6/29/2010,7.94762,6/29/2010,65.36464,6/29/2010,7.59765,6/29/2010,8.86205,6/29/2010,4.17702,6/29/2010,4.98984,6/29/2010,9.17814,6/29/2010,7.03319,6/29/2010,4.48182,6/29/2010,4.25604,6/29/2010,14.75502,6/29/2010,4.73019,6/29/2010,4.47054,6/29/2010,14.60826,6/29/2010,23.56062,6/29/2010,8.33145,6/29/2010,27.83924,6/29/2010,20.27546,6/29/2010,11.01829,6/29/2010,12.72296,6/29/2010,14.37119,6/29/2010,10.29578,6/29/2010,25.92007,6/29/2010,15.15015,6/29/2010,2.08851,6/29/2010,8.86205,6/29/2010,6.36713,6/29/2010,4.14315,6/29/2010,20.42222,6/29/2010,1.366,6/29/2010,4.68503,6/29/2010,11.75209,6/29/2010,4.38022,6/29/2010,2.91262,6/29/2010,4.21088,6/29/2010,23.15421,6/29/2010,6.44615
6/30/2010,114.47279,6/30/2010,3.65771,6/30/2010,18.26597,6/30/2010,7.90246,6/30/2010,3.48837,6/30/2010,212.1349,6/30/2010,7.76699,6/30/2010,48.26146,6/30/2010,10.12644,6/30/2010,135.13208,6/30/2010,30.89862,6/30/2010,13.35516,6/30/2010,15.39851,6/30/2010,5.00113,6/30/2010,22.05916,6/30/2010,1.61436,6/30/2010,92.23301,6/30/2010,7.05577,6/30/2010,4.54956,6/30/2010,6.7058,6/30/2010,3.69158,6/30/2010,2.02077,6/30/2010,18.69497,6/30/2010,4.00768,6/30/2010,2.29171,6/30/2010,3.4545,6/30/2010,6.2881,6/30/2010,7.50734,6/30/2010,7.37187,6/30/2010,21.00926,6/30/2010,6.66065,6/30/2010,27.61346,6/30/2010,5.94942,6/30/2010,2.92391,6/30/2010,15.56785,6/30/2010,11.27794,6/30/2010,4.31249,2/9/2011,19.1696,6/30/2010,18.64981,6/30/2010,7.72183,6/30/2010,64.12283,6/30/2010,7.48476,6/30/2010,8.54595,6/30/2010,4.13186,6/30/2010,4.95597,6/30/2010,9.03138,6/30/2010,6.93159,6/30/2010,4.48182,6/30/2010,4.15444,6/30/2010,14.66471,6/30/2010,4.65116,6/30/2010,4.42538,6/30/2010,14.56311,6/30/2010,23.47031,6/30/2010,8.18469,6/30/2010,26.95868,6/30/2010,20.85121,6/30/2010,10.76993,6/30/2010,12.5762,6/30/2010,13.89704,6/30/2010,10.20546,6/30/2010,25.29916,6/30/2010,14.86792,6/30/2010,2.04335,6/30/2010,8.87333,6/30/2010,6.1865,6/30/2010,4.01897,6/30/2010,20.18514,6/30/2010,1.35471,6/30/2010,4.68503,6/30/2010,11.69564,6/30/2010,4.22217,6/30/2010,2.82231,6/30/2010,4.06412,6/30/2010,22.89456,6/30/2010,6.20908
7/1/2010,113.38205,7/1/2010,3.59671,7/1/2010,18.16625,7/1/2010,7.85567,7/1/2010,3.47111,7/1/2010,211.65065,7/1/2010,7.61589,7/1/2010,47.0427,7/1/2010,10.23065,7/1/2010,134.16305,7/1/2010,30.57776,7/1/2010,13.07376,7/1/2010,15.19753,7/1/2010,4.79562,7/1/2010,22.37954,7/1/2010,1.59854,7/1/2010,92.25851,7/1/2010,6.87372,7/1/2010,4.49874,7/1/2010,6.6111,7/1/2010,3.66522,7/1/2010,2.04385,7/1/2010,18.41745,7/1/2010,3.99635,7/1/2010,2.29504,7/1/2010,3.49395,7/1/2010,6.00594,7/1/2010,7.34186,7/1/2010,7.3076,7/1/2010,20.54122,7/1/2010,6.6111,7/1/2010,27.75748,7/1/2010,5.78899,7/1/2010,2.79744,7/1/2010,14.88924,7/1/2010,11.18977,7/1/2010,4.23613,2/10/2011,18.85591,7/1/2010,18.38319,7/1/2010,7.77575,7/1/2010,62.91391,7/1/2010,7.46746,7/1/2010,8.60927,7/1/2010,4.07627,7/1/2010,4.9098,7/1/2010,8.86047,7/1/2010,6.85088,7/1/2010,4.47591,7/1/2010,4.11053,7/1/2010,14.4211,7/1/2010,4.77278,7/1/2010,4.30464,7/1/2010,14.23841,7/1/2010,23.74971,7/1/2010,8.22106,7/1/2010,26.21603,7/1/2010,21.61452,7/1/2010,10.63028,7/1/2010,12.12606,7/1/2010,13.87303,7/1/2010,10.27632,7/1/2010,25.63371,7/1/2010,14.98059,7/1/2010,2.02101,7/1/2010,8.71203,7/1/2010,6.04019,7/1/2010,4.0306,7/1/2010,20.43846,7/1/2010,1.37018,7/1/2010,4.6586,7/1/2010,11.72642,7/1/2010,4.23613,7/1/2010,2.77461,7/1/2010,4.01918,7/1/2010,23.32724,7/1/2010,6.14296
7/2/2010,114.29223,7/2/2010,3.66146,7/2/2010,18.3301,7/2/2010,7.93886,7/2/2010,3.47896,7/2/2010,209.87795,7/2/2010,7.63089,7/2/2010,47.56473,7/2/2010,10.08327,7/2/2010,133.56907,7/2/2010,30.6034,7/2/2010,13.04893,7/2/2010,15.38725,7/2/2010,4.81351,7/2/2010,22.99532,7/2/2010,1.61971,7/2/2010,92.73412,7/2/2010,6.764,7/2/2010,4.50553,7/2/2010,6.50165,7/2/2010,3.66146,7/2/2010,1.98472,7/2/2010,18.60386,7/2/2010,3.98084,7/2/2010,2.28128,7/2/2010,3.47896,7/2/2010,6.09102,7/2/2010,7.50542,7/2/2010,7.26588,7/2/2010,20.83951,7/2/2010,6.57009,7/2/2010,28.18524,7/2/2010,5.84008,7/2/2010,2.81738,7/2/2010,15.41006,7/2/2010,11.07562,7/2/2010,4.24318,2/14/2011,18.59236,7/2/2010,18.56964,7/2/2010,7.81339,7/2/2010,62.96339,7/2/2010,7.43698,7/2/2010,8.68028,7/2/2010,4.02646,7/2/2010,4.93898,7/2/2010,8.78294,7/2/2010,6.82103,7/2/2010,4.83632,7/2/2010,4.07209,7/2/2010,14.57739,7/2/2010,4.631,7/2/2010,4.35725,7/2/2010,13.91582,7/2/2010,24.05612,7/2/2010,8.26965,7/2/2010,26.8621,7/2/2010,22.44782,7/2/2010,10.72203,7/2/2010,12.52424,7/2/2010,14.78271,7/2/2010,10.43687,7/2/2010,25.6188,7/2/2010,14.7713,7/2/2010,2.01893,7/2/2010,8.66887,7/2/2010,6.09102,7/2/2010,4.03787,7/2/2010,20.69123,7/2/2010,1.35736,7/2/2010,4.64241,7/2/2010,11.72579,7/2/2010,4.33444,7/2/2010,2.76035,7/2/2010,3.98084,7/2/2010,23.42877,7/2/2010,6.27353
7/5/2010,115.78348,7/5/2010,3.7265,7/5/2010,18.34758,7/5/2010,8.07977,7/5/2010,3.49858,7/5/2010,210.92981,7/5/2010,7.65812,7/5/2010,48.09117,7/5/2010,10.21083,7/5/2010,132.87749,7/5/2010,30.83761,7/5/2010,12.8433,7/5/2010,15.4302,7/5/2010,4.76353,7/5/2010,23.35043,7/5/2010,1.62963,7/5/2010,93.21937,7/5/2010,6.90598,7/5/2010,4.45584,7/5/2010,6.50712,7/5/2010,3.63533,7/5/2010,1.98291,7/5/2010,18.37037,7/5/2010,3.89744,7/5/2010,2.26781,7/5/2010,3.45299,7/5/2010,6.17664,7/5/2010,7.66952,7/5/2010,7.33903,7/5/2010,21.10541,7/5/2010,6.51852,7/5/2010,28.19373,7/5/2010,5.92593,7/5/2010,2.82621,7/5/2010,15.39601,7/5/2010,11.09972,7/5/2010,4.2735,2/15/2011,18.63131,7/5/2010,18.5641,7/5/2010,7.84046,7/5/2010,63.58974,7/5/2010,7.45299,7/5/2010,8.72934,7/5/2010,4.04558,7/5/2010,4.94587,7/5/2010,8.80912,7/5/2010,6.80342,7/5/2010,5.10541,7/5/2010,4.13675,7/5/2010,14.46154,7/5/2010,4.68376,7/5/2010,4.37607,7/5/2010,14.92877,7/5/2010,24.49003,7/5/2010,8.37607,7/5/2010,26.83761,7/5/2010,22.79202,7/5/2010,10.95157,7/5/2010,12.43305,7/5/2010,14.2906,7/5/2010,10.2792,7/5/2010,25.23077,7/5/2010,14.71225,7/5/2010,2.10826,7/5/2010,8.67236,7/5/2010,6.03989,7/5/2010,4.06838,7/5/2010,20.90028,7/5/2010,1.37892,7/5/2010,4.67236,7/5/2010,11.54416,7/5/2010,4.42165,7/5/2010,2.73504,7/5/2010,4.03419,7/5/2010,23.36182,7/5/2010,6.2906
7/6/2010,117.80853,7/6/2010,3.85451,7/6/2010,18.82649,7/6/2010,8.30379,7/6/2010,3.54569,7/6/2010,216.48488,7/6/2010,7.81196,7/6/2010,49.41096,7/6/2010,10.39689,7/6/2010,135.42262,7/6/2010,31.65961,7/6/2010,12.81025,7/6/2010,15.60105,7/6/2010,4.86103,7/6/2010,23.79046,7/6/2010,1.66991,7/6/2010,95.16184,7/6/2010,6.97701,7/6/2010,4.44927,7/6/2010,6.65675,7/6/2010,3.71726,7/6/2010,2.01304,7/6/2010,18.94087,7/6/2010,3.95745,7/6/2010,2.31042,7/6/2010,3.52282,7/6/2010,6.46231,7/6/2010,7.78909,7/6/2010,7.32014,7/6/2010,21.11403,7/6/2010,6.67963,7/6/2010,28.80018,7/6/2010,6.15349,7/6/2010,2.84799,7/6/2010,16.01281,7/6/2010,11.1289,7/6/2010,4.23196,2/16/2011,18.40879,7/6/2010,18.7693,7/6/2010,7.93778,7/6/2010,66.11003,7/6/2010,7.59465,7/6/2010,8.95574,7/6/2010,4.14046,7/6/2010,5.05547,7/6/2010,9.00149,7/6/2010,6.83976,7/6/2010,5.31854,7/6/2010,4.19764,7/6/2010,14.53734,7/6/2010,4.68947,7/6/2010,4.46071,7/6/2010,14.80041,7/6/2010,25.20874,7/6/2010,8.5211,7/6/2010,27.49628,7/6/2010,22.87544,7/6/2010,11.28903,7/6/2010,12.66156,7/6/2010,14.82329,7/6/2010,10.39689,7/6/2010,25.02573,7/6/2010,14.91479,7/6/2010,2.17317,7/6/2010,8.86423,7/6/2010,6.17637,7/6/2010,4.12902,7/6/2010,20.90816,7/6/2010,1.40684,7/6/2010,4.76953,7/6/2010,11.63216,7/6/2010,4.55221,7/6/2010,2.81368,7/6/2010,4.14046,7/6/2010,23.66465,7/6/2010,6.39369
7/7/2010,115.35374,7/7/2010,3.78397,7/7/2010,18.83958,7/7/2010,8.233,7/7/2010,3.53171,7/7/2010,214.32071,7/7/2010,7.68261,7/7/2010,49.24894,7/7/2010,10.50338,7/7/2010,133.81493,7/7/2010,32.45041,7/7/2010,12.6935,7/7/2010,15.60601,7/7/2010,4.74716,7/7/2010,23.39181,7/7/2010,1.62825,7/7/2010,96.66323,7/7/2010,6.87994,7/7/2010,4.44903,7/7/2010,6.53595,7/7/2010,3.64637,7/7/2010,2.02958,7/7/2010,19.14918,7/7/2010,3.88717,7/7/2010,2.30478,7/7/2010,3.50877,7/7/2010,6.30662,7/7/2010,7.64821,7/7/2010,7.23541,7/7/2010,20.69717,7/7/2010,6.60475,7/7/2010,28.52884,7/7/2010,6.03142,7/7/2010,2.80931,7/7/2010,15.47988,7/7/2010,11.03085,7/7/2010,4.17383,2/17/2011,18.63369,7/7/2010,18.34652,7/7/2010,7.90047,7/7/2010,64.32749,7/7/2010,7.47621,7/7/2010,8.96686,7/7/2010,4.02477,7/7/2010,4.99943,7/7/2010,8.94393,7/7/2010,6.79968,7/7/2010,5.24022,7/7/2010,4.17383,7/7/2010,14.48228,7/7/2010,4.7013,7/7/2010,4.38023,7/7/2010,14.78042,7/7/2010,24.77927,7/7/2010,8.39353,7/7/2010,26.39606,7/7/2010,22.29102,7/7/2010,11.20284,7/7/2010,12.37243,7/7/2010,14.52815,7/7/2010,10.40018,7/7/2010,24.29767,7/7/2010,14.72308,7/7/2010,2.17865,7/7/2010,8.82926,7/7/2010,6.05435,7/7/2010,4.02477,7/7/2010,21.07556,7/7/2010,1.37599,7/7/2010,4.68983,7/7/2010,11.43218,7/7/2010,4.3573,7/7/2010,2.94691,7/7/2010,4.09357,7/7/2010,23.40328,7/7/2010,6.28368
7/8/2010,118.43891,7/8/2010,3.82353,7/8/2010,19.12896,7/8/2010,8.45023,7/8/2010,3.58597,7/8/2010,220.27972,7/8/2010,7.74887,7/8/2010,50.11312,7/8/2010,10.58824,7/8/2010,133.82353,7/8/2010,33.45023,7/8/2010,12.98643,7/8/2010,15.67873,7/8/2010,4.80769,7/8/2010,23.5181,7/8/2010,1.67421,7/8/2010,96.71946,7/8/2010,7.01357,7/8/2010,4.42308,7/8/2010,6.61765,7/8/2010,3.6991,7/8/2010,2.07014,7/8/2010,19.28733,7/8/2010,4.02715,7/8/2010,2.39819,7/8/2010,3.6086,7/8/2010,6.43665,7/8/2010,7.88462,7/8/2010,7.33032,7/8/2010,20.79186,7/8/2010,6.58371,7/8/2010,28.23529,7/8/2010,6.14253,7/8/2010,2.82805,7/8/2010,15.36199,7/8/2010,11.11991,7/8/2010,4.26471,2/18/2011,18.65304,7/8/2010,18.52941,7/8/2010,7.91855,7/8/2010,66.06335,7/8/2010,7.56787,7/8/2010,9.0724,7/8/2010,4.06109,7/8/2010,5.06787,7/8/2010,8.95928,7/8/2010,6.82127,7/8/2010,5.22624,7/8/2010,4.20814,7/8/2010,14.50226,7/8/2010,4.71719,7/8/2010,4.47964,7/8/2010,14.57014,7/8/2010,25.13575,7/8/2010,8.52941,7/8/2010,27.16063,7/8/2010,22.17195,7/8/2010,11.49321,7/8/2010,12.26244,7/8/2010,14.66063,7/8/2010,10.42986,7/8/2010,24.55882,7/8/2010,14.79638,7/8/2010,2.20588,7/8/2010,9.01584,7/8/2010,6.22172,7/8/2010,4.10633,7/8/2010,21.4819,7/8/2010,1.36878,7/8/2010,4.64932,7/8/2010,11.45928,7/8/2010,4.57014,7/8/2010,3.0543,7/8/2010,4.23077,7/8/2010,23.58597,7/8/2010,6.26697
7/9/2010,121.01695,7/9/2010,3.89831,7/9/2010,19.49153,7/9/2010,8.29379,7/9/2010,3.60452,7/9/2010,217.77093,7/9/2010,7.84181,7/9/2010,50.50847,7/9/2010,10.59887,7/9/2010,135.48023,7/9/2010,34.0678,7/9/2010,12.98305,7/9/2010,16.40678,7/9/2010,4.83616,7/9/2010,23.54802,7/9/2010,1.76271,7/9/2010,98.41808,7/9/2010,7.00565,7/9/2010,4.45198,7/9/2010,6.61017,7/9/2010,3.75141,7/9/2010,2.0791,7/9/2010,19.36723,7/9/2010,4.0226,7/9/2010,2.38418,7/9/2010,3.66102,7/9/2010,6.42938,7/9/2010,7.9322,7/9/2010,7.55932,7/9/2010,20.64407,7/9/2010,6.62147,7/9/2010,28.35028,7/9/2010,6.0565,7/9/2010,2.83616,7/9/2010,15.46893,7/9/2010,11.22034,7/9/2010,4.33898,2/21/2011,18.71992,7/9/2010,18.47458,7/9/2010,7.9209,7/9/2010,65.76271,7/9/2010,7.59322,7/9/2010,9.07345,7/9/2010,4.11299,7/9/2010,5.10734,7/9/2010,8.99435,7/9/2010,6.79096,7/9/2010,5.17514,7/9/2010,4.25989,7/9/2010,14.56497,7/9/2010,4.72316,7/9/2010,4.46328,7/9/2010,14.38418,7/9/2010,25.08475,7/9/2010,8.40678,7/9/2010,27.22034,7/9/2010,22.0339,7/9/2010,11.50282,7/9/2010,12.55367,7/9/2010,15.55932,7/9/2010,10.16949,7/9/2010,24.76836,7/9/2010,15.18644,7/9/2010,2.18079,7/9/2010,9.05085,7/9/2010,6.25989,7/9/2010,4.0791,7/9/2010,21.23164,7/9/2010,1.40113,7/9/2010,4.71186,7/9/2010,11.46893,7/9/2010,4.67797,7/9/2010,3.08475,7/9/2010,4.37288,7/9/2010,23.71751,7/9/2010,6.30508
7/12/2010,119.97289,7/12/2010,3.94261,7/12/2010,19.49842,7/12/2010,8.3258,7/12/2010,3.58111,7/12/2010,217.41363,7/12/2010,7.85133,7/12/2010,50.38409,7/12/2010,10.66426,7/12/2010,134.65883,7/12/2010,34.22955,7/12/2010,12.93493,7/12/2010,16.70809,7/12/2010,4.85766,7/12/2010,23.62178,7/12/2010,1.73972,7/12/2010,98.84772,7/12/2010,6.99277,7/12/2010,4.338,7/12/2010,6.65386,7/12/2010,3.76186,7/12/2010,2.10122,7/12/2010,19.60009,7/12/2010,4.07817,7/12/2010,2.36105,7/12/2010,3.615,7/12/2010,6.33755,7/12/2010,7.94171,7/12/2010,7.81744,7/12/2010,20.662,7/12/2010,6.66516,7/12/2010,28.15183,7/12/2010,6.12291,7/12/2010,2.86941,7/12/2010,15.88342,7/12/2010,11.10484,7/12/2010,4.14596,2/22/2011,18.49075,7/12/2010,18.43651,7/12/2010,7.74966,7/12/2010,65.18301,7/12/2010,7.48983,7/12/2010,9.03751,7/12/2010,4.15725,7/12/2010,5.12878,7/12/2010,9.00362,7/12/2010,6.75554,7/12/2010,5.30953,7/12/2010,4.22503,7/12/2010,14.4939,7/12/2010,4.7221,7/12/2010,4.49616,7/12/2010,14.57298,7/12/2010,24.96611,7/12/2010,8.40488,7/12/2010,27.48531,7/12/2010,21.63353,7/12/2010,11.44374,7/12/2010,12.41527,7/12/2010,16.12065,7/12/2010,10.28016,7/12/2010,24.67239,7/12/2010,15.11523,7/12/2010,2.1916,7/12/2010,9.03751,7/12/2010,6.28107,7/12/2010,4.08947,7/12/2010,21.20425,7/12/2010,1.37822,7/12/2010,4.66561,7/12/2010,11.33077,7/12/2010,4.63172,7/12/2010,3.10664,7/12/2010,4.38319,7/12/2010,23.66697,7/12/2010,6.21329
7/13/2010,117.78029,7/13/2010,3.89581,7/13/2010,19.2299,7/13/2010,8.34655,7/13/2010,3.57871,7/13/2010,218.676,7/13/2010,7.73499,7/13/2010,50.11325,7/13/2010,10.55493,7/13/2010,133.29558,7/13/2010,34.42809,7/13/2010,12.77463,7/13/2010,16.30804,7/13/2010,4.76784,7/13/2010,23.74858,7/13/2010,1.71008,7/13/2010,98.30125,7/13/2010,6.93092,7/13/2010,4.37146,7/13/2010,6.59117,7/13/2010,3.74858,7/13/2010,2.08381,7/13/2010,19.44507,7/13/2010,4.09966,7/13/2010,2.36693,7/13/2010,3.66931,7/13/2010,6.33069,7/13/2010,7.84824,7/13/2010,7.39524,7/13/2010,20.70215,7/13/2010,6.50057,7/13/2010,28.40317,7/13/2010,6.08154,7/13/2010,2.86523,7/13/2010,15.17554,7/13/2010,10.98528,7/13/2010,4.14496,2/23/2011,18.22044,7/13/2010,17.99547,7/13/2010,7.70102,7/13/2010,65.34541,7/13/2010,7.34994,7/13/2010,8.92412,7/13/2010,4.12231,7/13/2010,5.02831,7/13/2010,8.87882,7/13/2010,6.68177,7/13/2010,5.25481,7/13/2010,4.22424,7/13/2010,14.37146,7/13/2010,4.67724,7/13/2010,4.50736,7/13/2010,14.55266,7/13/2010,25.39071,7/13/2010,8.34655,7/13/2010,26.72707,7/13/2010,21.6308,7/13/2010,11.33635,7/13/2010,12.17441,7/13/2010,16.00227,7/13/2010,10.37373,7/13/2010,24.67724,7/13/2010,15.03964,7/13/2010,2.18573,7/13/2010,8.9128,7/13/2010,6.29672,7/13/2010,4.00906,7/13/2010,21.0419,7/13/2010,1.37033,7/13/2010,4.57531,7/13/2010,11.42695,7/13/2010,4.57531,7/13/2010,3.05776,7/13/2010,4.36014,7/13/2010,23.78256,7/13/2010,6.07022
