,X2600.HK.Equity,X486.HK.Equity,AA.Equity,AWC.AU.Equity,HNDL.IN.Equity,Y
1799,-0.2778,4.1916,-0.3785,0.5602,0.5712,0
1800,-1.3928,-0.3831,0.57,0.8357,1.0413,0
1801,-1.3928,-0.3831,0.57,0.8357,1.0413,0
1802,-1.3928,-0.3831,0.57,0.8357,1.0413,0
1803,12.4294,0.3846,-5.7935,0.8287,-2.03,1
1804,1.5075,0.1916,0.7353,-1.3699,-2.1996,1
1805,2.7228,1.5296,2.5879,0.2778,-2.9335,1
1806,-1.2048,0.9416,2.8461,3.8781,2.4513,0
1807,-1.7073,-0.1866,1.3208,0.2667,1.606,0
1808,-1.7073,-0.1866,1.3208,0.2667,1.606,0
1809,-1.7073,-0.1866,1.3208,0.2667,1.606,0
1810,-1.9851,-1.6822,0.3724,0.266,-2.5161,0
1811,-1.2658,-1.3308,-2.2882,4.244,0.3971,0
1812,-0.5128,-0.3854,-5.3797,-0.2545,-6.2953,0
1813,0.2577,-3.4816,0.1338,-6.8878,-0.1759,1
1814,-1.0283,-1.2024,2.0708,-4.1096,-2.3608,0
1815,-1.0283,-1.2024,2.0708,-4.1096,-2.3608,0
1816,-1.0283,-1.2024,2.0708,-4.1096,-2.3608,0
1817,-4.1558,-2.0284,2.0708,2.8571,1.227,0
1818,1.355,-0.207,1.767,1.9444,3.1729,1
1819,2.4064,6.639,2.3794,2.1798,-1.0366,1
1820,2.611,-0.7782,0.7538,1.3333,0.1746,1
1821,-1.7812,5.6863,-1.7456,0.7895,0.9411,0
1822,-1.7812,5.6863,-1.7456,0.7895,0.9411,0
1823,-1.7812,5.6863,-1.7456,0.7895,0.9411,0
1824,-2.3316,-3.7106,2.0305,0.7895,0.9411,0
1825,-0.7958,-1.9268,-0.995,-2.3499,-1.5884,0
1826,-1.3369,5.1081,-0.7538,2.6738,-1.6491,0
1827,-1.897,-2.9907,1.1392,1.5625,1.6054,0
1828,-1.6575,0.9634,-2.0651,-0.5128,-1.8961,0
1829,-1.6575,0.9634,-2.0651,-0.5128,-1.8961,0
1830,-1.6575,0.9634,-2.0651,-0.5128,-1.8961,0
1831,-2.5281,-0.7634,2.6837,-0.5155,3.9728,0
1832,-0.2882,3.6538,3.3603,2.5907,0.8262,0
1833,1.7341,-0.3711,-0.965,4.0404,4.0628,1
1834,-0.2841,1.8622,3.9586,-1.4563,-2.8543,0
1835,-1.9943,7.4954,-2.9291,-0.4926,-0.5066,0
1836,-1.9943,7.4954,-2.9291,-0.4926,-0.5066,0
1837,-1.9943,7.4954,-2.9291,-0.4926,-0.5066,0
1838,-2.0349,0.8503,-5.5522,-1.4851,-0.5092,0
1839,1.1869,1.0118,1.6613,-5.7789,1.8083,1
1840,1.4663,-0.8347,-2.8284,-2.9333,0.4357,1
1841,2.0231,0.5051,1.229,-1.0989,1.9686,1
1842,3.1161,-1.34,1.0224,3.3333,0.4908,1
1843,3.1161,-1.34,1.0224,3.3333,0.4908,1
1844,3.1161,-1.34,1.0224,3.3333,0.4908,1
1845,0.5495,1.528,1.0224,-1.3441,-1.6933,1
1846,-1.0929,-3.3445,-0.3795,1.9074,-1.6933,0
1847,-0.8287,1.2111,0.6349,3.4759,0.4637,0
1848,-0.8287,1.2111,0.9464,-3.876,3.0333,0
1849,-0.8287,1.2111,-1.3125,-0.2688,0.192,0
1850,-0.8287,1.2111,-1.3125,-0.2688,0.192,0
1851,-0.8287,1.2111,-1.3125,-0.2688,0.192,0
1852,0.8357,0,-1.7733,-0.2695,-1.0859,1
1853,-1.9337,-3.4188,1.4829,-0.5405,-0.7749,0
1854,2.2535,1.7699,-4.7014,0.8152,0,1
1855,1.9284,-1.3913,0.7333,-1.0782,-2.5382,1
1856,1.6216,-0.5291,-2.1178,0.2725,3.606,1
1857,1.6216,-0.5291,-2.1178,0.2725,-1.4824,1
1858,1.6216,-0.5291,-2.1178,0.2725,-1.4824,1
1859,-0.7979,-2.6596,1.0818,1.6304,2.4207,0
